time,journal,doi_info,authors,key words,title,abstract
2023 Apr 12,Journal of neuroengineering and rehabilitation,J Neuroeng Rehabil. 2023 Apr 12;20(1):44. doi: 10.1186/s12984-023-01162-3.,"['Bayón, Cristina', 'Hoorn, Marleen van', 'Barrientos, Antonio', 'Rocon, Eduardo', 'Trost, Joyce P', 'Asseldonk, Edwin H F van']","['humans', 'child', 'ankle', ' cerebral palsy', ' foot orthoses', 'biomechanical phenomena', 'gait physiology', 'technology', 'ankle-foot orthosis', 'assistive technology', 'cerebral palsy', 'daily-life', 'gait']","Perspectives on ankle-foot technology for improving gait performance of children with Cerebral Palsy in daily-life: requirements, needs and wishes.","BACKGROUND: Ankle-foot orthoses (AFOs) are extensively used as a primary management method to assist ambulation of children with Cerebral Palsy (CP). However, there are certain barriers that hinder their prescription as well as their use as a mobility device in all kinds of daily-life activities. This exploratory research attempts to further understand the existing limitations of current AFOs to promote a better personalization of new design solutions. METHODS: Stakeholders' (professionals in CP and end-users with CP) perspectives on AFO technology were collected by two online surveys. Respondents evaluated the limitations of current assistive solutions and assessment methods, provided their expectations for a new AFO design, and analyzed the importance of different design features and metrics to enrich the gait performance of these patients in daily-life. Quantitative responses were rated and compared with respect to their perceived importance. Qualitative responses were classified into themes by using content analysis. RESULTS: 130 survey responses from ten countries were analyzed, 94 from professionals and 36 from end-users with CP. The most highly rated design features by both stakeholder groups were the comfort and the ease of putting on and taking off the assistive device. In general, professionals preferred new features to enrich the independence of the patient by improving gait at functional levels. End-users also considered their social acceptance and participation. Health care professionals reported a lack of confidence concerning decision-making about AFO prescription. To some degree, this may be due to the reported inconsistent understanding of the type of assistance required for each pathological gait. Thus, they indicated that more information about patients' day-to-day walking performance would be beneficial to assess patients' capabilities. CONCLUSION: This study emphasizes the importance of developing new approaches to assess and treat CP gait in daily-life situations. The stakeholders' needs and criteria reported here may serve as insights for the design of future assistive devices and for the follow-up monitoring of these patients."
2023,PloS one,PLoS One. 2023 Apr 12;18(4):e0272245. doi: 10.1371/journal.pone.0272245. ,"['van Mierlo, Michelle', 'Ormiston, Jean A', 'Vlutters, Mark', 'van Asseldonk, Edwin H F', 'van der Kooij, Herman']","['humans', ' postural balance physiology', ' ankle physiology', 'ankle joint physiology', 'pelvis', 'muscle, skeletal physiology', 'biomechanical phenomena']",Pelvis perturbations in various directions while standing in staggered stance elicit concurrent responses in both the sagittal and frontal plane.,"Increasing knowledge on human balance recovery strategies is important for the development of balance assistance strategies using assistive devices like a powered lower-limb exoskeleton. One of the postures which is relevant for this scenario, but underexposed in research, is staggered stance, a posture with one foot in front. We therefore aimed to gain a better understanding of balance recovery in staggered stance. We studied balance responses at joint- and muscle levels to pelvis perturbations in various directions while standing in this posture. Ten healthy individuals participated in this study. We used one actuator beside and one behind the participant to apply 150 ms perturbations in mediolateral (ML), anteroposterior (AP) and diagonal directions, with a magnitude of 3, 6, 9 and 12% of the participant's body weight (BW). Meanwhile, motion capture, ground reaction forces and moments, and electromyography of the muscles around the ankles and hips were recorded. The perturbations caused movements of the centre of mass (CoM) and centre of pressure (CoP) in the direction of the perturbation. These were often accompanied by motions in a direction different from the perturbation direction. After perturbations perpendicular to the line between both feet, large and significant AP deviations were present of the CoM (-0.27 till 0.40 cm/%BW, p < 0.029) and CoP (-0.99 till 0.80 cm/%BW, p < 0.001). Also, stronger responses on joint and muscle level were present after these perturbations, compared to AP and diagonal perturbations collinear with the line between both feet. The hip, knee and ankle joints contributed differently to the balance responses after the different perturbation directions. To conclude, standing in a staggered stance posture makes individuals more vulnerable to perturbations perpendicular to the line between both feet, requiring larger responses on joint level as well as contributions in the sagittal plane."
2023 Feb 7,Journal of neuroengineering and rehabilitation,J Neuroeng Rehabil. 2023 Feb 7;20(1):19. doi: 10.1186/s12984-023-01141-8.,"[""Van't Veld, Ronald C"", 'Flux, Eline', 'van Oorschot, Wieneke', 'Schouten, Alfred C', 'van der Krogt, Marjolein M', 'van der Kooij, Herman', 'Vos-van der Hulst, Marije', 'Keijsers, Noël L W', 'van Asseldonk, Edwin H F']","['humans', ' botulinum toxins, type a therapeutic use', ' neuromuscular agents therapeutic use', 'ankle joint', 'muscle, skeletal', 'muscle spasticity etiology', ' stroke complications', 'treatment outcome', 'bont-a injections', 'instrumented spat', 'joint resistance', 'spasticity', 'system identification']",Examining the role of intrinsic and reflexive contributions to ankle joint hyper-resistance treated with botulinum toxin-A.,"BACKGROUND: Spasticity, i.e. stretch hyperreflexia, increases joint resistance similar to symptoms like hypertonia and contractures. Botulinum neurotoxin-A (BoNT-A) injections are a widely used intervention to reduce spasticity. BoNT-A effects on spasticity are poorly understood, because clinical measures, e.g. modified Ashworth scale (MAS), cannot differentiate between the symptoms affecting joint resistance. This paper distinguishes the contributions of the reflexive and intrinsic pathways to ankle joint hyper-resistance for participants treated with BoNT-A injections. We hypothesized that the overall joint resistance and reflexive contribution decrease 6 weeks after injection, while returning close to baseline after 12 weeks. METHODS: Nine participants with spasticity after spinal cord injury or after stroke were evaluated across three sessions: 0, 6 and 12 weeks after BoNT-A injection in the calf muscles. Evaluation included clinical measures (MAS, Tardieu Scale) and motorized instrumented assessment using the instrumented spasticity test (SPAT) and parallel-cascade (PC) system identification. Assessments included measures for: (1) overall resistance from MAS and fast velocity SPAT; (2) reflexive resistance contribution from Tardieu Scale, difference between fast and slow velocity SPAT and PC reflexive gain; and (3) intrinsic resistance contribution from slow velocity SPAT and PC intrinsic stiffness/damping. RESULTS: Individually, the hypothesized BoNT-A effect, the combination of a reduced resistance (week 6) and return towards baseline (week 12), was observed in the MAS (5 participants), fast velocity SPAT (2 participants), Tardieu Scale (2 participants), SPAT (1 participant) and reflexive gain (4 participants). On group-level, the hypothesis was only confirmed for the MAS, which showed a significant resistance reduction at week 6. All instrumented measures were strongly correlated when quantifying the same resistance contribution. CONCLUSION: At group-level, the expected joint resistance reduction due to BoNT-A injections was only observed in the MAS (overall resistance). This observed reduction could not be attributed to an unambiguous group-level reduction of the reflexive resistance contribution, as no instrumented measure confirmed the hypothesis. Validity of the instrumented measures was supported through a strong association between different assessment methods. Therefore, further quantification of the individual contributions to joint resistance changes using instrumented measures across a large sample size are essential to understand the heterogeneous response to BoNT-A injections."
2022 Dec 5,Journal of neuroengineering and rehabilitation,J Neuroeng Rehabil. 2022 Dec 5;19(1):134. doi: 10.1186/s12984-022-01117-0.,"['Zwijgers, Eline', 'van Asseldonk, Edwin H F', 'Vos-van der Hulst, Marije', 'Geurts, Alexander C H', 'Keijsers, Noël L W']","['humans', ' walking', ' spinal cord injuries complications', 'foot', 'walking speed', 'exercise test', 'balance', 'foot placement strategy', 'spinal cord injury', 'walking']",Impaired foot placement strategy during walking in people with incomplete spinal cord injury.,BACKGROUND: Impaired balance during walking is a common problem in people with incomplete spinal cord injury (iS
2021,Frontiers in rehabilitation sciences,Front Rehabil Sci. 2021 Oct 12;2:742030. doi: 10.3389/fresc.2021.742030. ,"[""van 't Veld, Ronald C"", 'Flux, Eline', 'Schouten, Alfred C', 'van der Krogt, Marjolein M', 'van der Kooij, Herman', 'van Asseldonk, Edwin H F']","['electromyography', 'gamification', 'operant conditioning', 'plasticity', 'system identification']",Reducing the Soleus Stretch Reflex With Conditioning: Exploring Game- and Impedance-Based Biofeedback.,"People with spasticity, i.e., stretch hyperreflexia, have a limited functional independence and mobility. While a broad range of spasticity treatments is available, many treatments are invasive, non-specific, or temporary and might have negative side effects. Operant conditioning of the stretch reflex is a promising non-invasive paradigm with potential long-term sustained effects. Within this conditioning paradigm, seated participants have to reduce the mechanically elicited reflex response using biofeedback of reflex magnitude quantified using electromyography (EMG). Before clinical application of the conditioning paradigm, improvements are needed regarding the time-intensiveness and slow learning curve. Previous studies have shown that gamification of biofeedback can improve participant motivation and long-term engagement. Moreover, quantification of reflex magnitude for biofeedback using reflexive joint impedance may obtain similar effectiveness within fewer sessions. Nine healthy volunteers participated in the study, split in three groups. First, as a reference the ""Conventional"" group received EMG- and bar-based biofeedback similar to previous research. Second, we explored feasibility of game-based biofeedback with the ""Gaming"" group receiving EMG- and game-based biofeedback. Third, we explored feasibility of game- and impedance-based biofeedback with the ""Impedance"" group receiving impedance and game-based biofeedback. Participants completed five baseline sessions (without reflex biofeedback) and six conditioning sessions (with reflex biofeedback). Participants were instructed to reduce reflex magnitude without modulating background activity. The Conventional and Gaming groups showed feasibility of the protocol in 2 and 3 out of 3 participants, respectively. These participants achieved a significant Soleus short-latency (M1) within-session reduction in at least -15% in the 4th-6th conditioning session. None of the Impedance group participants showed any within-session decrease in Soleus reflex magnitude. The feasibility in the EMG- and game-based biofeedback calls for further research on gamification of the conditioning paradigm to obtain improved participant motivation and engagement, while achieving long-term conditioning effects. Before clinical application, the time-intensiveness and slow learning curve of the conditioning paradigm remain an open challenge."
2022 Feb 17,Journal of neuroengineering and rehabilitation,J Neuroeng Rehabil. 2022 Feb 17;19(1):21. doi: 10.1186/s12984-022-01000-y.,"['Bayón, Cristina', 'Keemink, Arvid Q L', 'van Mierlo, Michelle', 'Rampeltshammer, Wolfgang', 'van der Kooij, Herman', 'van Asseldonk, Edwin H F']","['ankle physiology', 'ankle joint physiology', 'biomechanical phenomena physiology', ' exoskeleton device', 'gait physiology', 'humans', 'walking physiology', 'ankle', 'balance', 'control', 'exoskeleton', 'gait', 'human–robot interaction']",Cooperative ankle-exoskeleton control can reduce effort to recover balance after unexpected disturbances during walking.,"BACKGROUND: In the last two decades, lower-limb exoskeletons have been developed to assist human standing and locomotion. One of the ongoing challenges is the cooperation between the exoskeleton balance support and the wearer control. Here we present a cooperative ankle-exoskeleton control strategy to assist in balance recovery after unexpected disturbances during walking, which is inspired on human balance responses. METHODS: We evaluated the novel controller in ten able-bodied participants wearing the ankle modules of the Symbitron exoskeleton. During walking, participants received unexpected forward pushes with different timing and magnitude at the pelvis level, while being supported (Exo-Assistance) or not (Exo-NoAssistance) by the robotic assistance provided by the controller. The effectiveness of the assistive strategy was assessed in terms of (1) controller performance (Detection Delay, Joint Angles, and Exerted Ankle Torques), (2) analysis of effort (integral of normalized Muscle Activity after perturbation onset); and (3) Analysis of center of mass COM kinematics (relative maximum COM Motion, Recovery Time and Margin of Stability) and spatio-temporal parameters (Step Length and Swing Time). RESULTS: In general, the results show that when the controller was active, it was able to reduce participants' effort while keeping similar ability to counteract and withstand the balance disturbances. Significant reductions were found for soleus and gastrocnemius medialis activity of the stance leg when comparing Exo-Assistance and Exo-NoAssistance walking conditions. CONCLUSIONS: The proposed controller was able to cooperate with the able-bodied participants in counteracting perturbations, contributing to the state-of-the-art of bio-inspired cooperative ankle exoskeleton controllers for supporting dynamic balance. In the future, this control strategy may be used in exoskeletons to support and improve balance control in users with motor disabilities."
2021 Dec 24,"Sensors (Basel, Switzerland)",Sensors (Basel). 2021 Dec 24;22(1):119. doi: 10.3390/s22010119.,"['Bayón, Cristina', 'Delgado-Oleas, Gabriel', 'Avellar, Leticia', 'Bentivoglio, Francesca', 'Di Tommaso, Francesco', 'Tagliamonte, Nevio L', 'Rocon, Eduardo', 'van Asseldonk, Edwin H F']","['benchmarking', 'crutches', ' exoskeleton device', 'humans', 'lower extremity', ' wearable electronic devices', 'assessment', 'balance', 'benchmarking', 'exoskeletons']",Development and Evaluation of BenchBalance: A System for Benchmarking Balance Capabilities of Wearable Robots and Their Users.,"Recent advances in the control of overground exoskeletons are being centered on improving balance support and decreasing the reliance on crutches. However, appropriate methods to quantify the stability of these exoskeletons (and their users) are still under development. A reliable and reproducible balance assessment is critical to enrich exoskeletons' performance and their interaction with humans. In this work, we present the BenchBalance system, which is a benchmarking solution to conduct reproducible balance assessments of exoskeletons and their users. Integrating two key elements, i.e., a hand-held perturbator and a smart garment, BenchBalance is a portable and low-cost system that provides a quantitative assessment related to the reaction and capacity of wearable exoskeletons and their users to respond to controlled external perturbations. A software interface is used to guide the experimenter throughout a predefined protocol of measurable perturbations, taking into account antero-posterior and mediolateral responses. In total, the protocol is composed of sixteen perturbation conditions, which vary in magnitude and location while still controlling their orientation. The data acquired by the interface are classified and saved for a subsequent analysis based on synthetic metrics. In this paper, we present a proof of principle of the BenchBalance system with a healthy user in two scenarios: subject not wearing and subject wearing the H2 lower-limb exoskeleton. After a brief training period, the experimenter was able to provide the manual perturbations of the protocol in a consistent and reproducible way. The balance metrics defined within the BenchBalance framework were able to detect differences in performance depending on the perturbation magnitude, location, and the presence or not of the exoskeleton. The BenchBalance system will be integrated at EUROBENCH facilities to benchmark the balance capabilities of wearable exoskeletons and their users."
2021 Oct 1,Journal of neurophysiology,J Neurophysiol. 2021 Oct 1;126(4):1015-1029. doi: 10.1152/jn.00704.2020. Epub ,"[""van 't Veld, Ronald C"", 'van Asseldonk, Edwin H F', 'van der Kooij, Herman', 'Schouten, Alfred C']","['adult', 'ankle  physiology', 'biomechanical phenomena  physiology', 'female', 'humans', 'male', 'muscle, skeletal  physiology', 'reflex, stretch  physiology', 'young adult', 'm1-m2 stretch reflex', 'group ia afferents', 'motoneuron pool', 'motorized assessment']","Disentangling acceleration-, velocity-, and duration-dependency of the short- and medium-latency stretch reflexes in the ankle plantarflexors.","Motorized assessment of the stretch reflex is instrumental to gain understanding of the stretch reflex, its physiological origin and to differentiate effects of neurological disorders, like spasticity. Both short-latency (M1) and medium-latency (M2) stretch reflexes have been reported to depend on the velocity and acceleration of an applied ramp-and-hold perturbation. In the upper limb, M2 has also been reported to depend on stretch duration. However, wrong conclusions might have been drawn in previous studies as the interdependence of perturbation parameters (amplitude, duration, velocity, and acceleration) possibly created uncontrolled, confounding effects. We disentangled the duration-, velocity-, and acceleration-dependence and their interactions of the M1 and M2 stretch reflex in the ankle plantarflexors. To disentangle the parameter interdependence, 49 unique ramp-and-hold joint perturbations elicited reflexes in 10 healthy volunteers during a torque control task. Linear mixed model analysis showed that M1 depended on acceleration, not velocity or duration, whereas M2 depended on acceleration, velocity, and duration. Simulations of the muscle spindle Ia afferents coupled to a motoneuron pool corroborated these experimental findings. In addition, this simulation model did show a nonlinear M1 velocity- and duration-dependence for perturbation parameters outside the experimental scope. In conclusion, motorized assessment of the stretch reflex or spasticity using ramp-and-hold perturbations should be systematically executed and reported. Our systematic motorized and simulation assessments showed that M1 and M2 depend on acceleration, velocity, and duration of the applied perturbation. The simulation model suggested that these dependencies emerge from: muscle-tendon unit and muscle cross-bridge dynamics, Ia sensitivity to force and yank, and motoneuron synchronization.NEW & NOTEWORTHY Previous research and definitions of the stretch reflex and spasticity have focused on velocity-dependence. We showed that perturbation acceleration, velocity, and duration all shape the M1 and M2 response, often via nonlinear or interacting dependencies. Consequently, systematic execution and reporting of stretch reflex and spasticity studies, avoiding uncontrolled parameter interdependence, is essential for proper understanding of the reflex neurophysiology."
2021 Feb 17,Journal of neuroengineering and rehabilitation,J Neuroeng Rehabil. 2021 Feb 17;18(1):36. doi: 10.1186/s12984-021-00809-3.,"[""van 't Veld, Ronald C"", 'Schouten, Alfred C', 'van der Kooij, Herman', 'van Asseldonk, Edwin H F']","['adult', ' algorithms', 'ankle joint', 'contracture diagnosis etiology  physiopathology', 'electric impedance', 'electromyography  methods', 'female', 'humans', 'male', 'muscle, skeletal physiology', 'neuromuscular diseases  complications physiopathology', 'online systems', ' signal processing, computer-assisted', 'electromyography', 'joint resistance', 'parallel-cascade model', 'system identification', 'validation']",Neurophysiological validation of simultaneous intrinsic and reflexive joint impedance estimates.,"BACKGROUND: People with brain or neural injuries, such as cerebral palsy or spinal cord injury, commonly have joint hyper-resistance. Diagnosis and treatment of joint hyper-resistance is challenging due to a mix of tonic and phasic contributions. The parallel-cascade (PC) system identification technique offers a potential solution to disentangle the intrinsic (tonic) and reflexive (phasic) contributions to joint impedance, i.e. resistance. However, a simultaneous neurophysiological validation of both intrinsic and reflexive joint impedances is lacking. This simultaneous validation is important given the mix of tonic and phasic contributions to joint hyper-resistance. Therefore, the main goal of this paper is to perform a group-level neurophysiological validation of the PC system identification technique using electromyography (EMG) measurements. METHODS: Ten healthy people participated in the study. Perturbations were applied to the ankle joint to elicit reflexes and allow for system identification. Participants completed 20 hold periods of 60 seconds, assumed to have constant joint impedance, with varying magnitudes of intrinsic and reflexive joint impedances across periods. Each hold period provided a paired data point between the PC-based estimates and neurophysiological measures, i.e. between intrinsic stiffness and background EMG, and between reflexive gain and reflex EMG. RESULTS: The intrinsic paired data points, with all subjects combined, were strongly correlated, with a range of [Formula: see text] in both ankle plantarflexors and dorsiflexors. The reflexive paired data points were moderately correlated, with [Formula: see text] in the ankle plantarflexors only. CONCLUSION: An agreement with the neurophysiological basis on which PC algorithms are built is necessary to support its clinical application in people with joint hyper-resistance. Our results show this agreement for the PC system identification technique on group-level. Consequently, these results show the validity of the use of the technique for the integrated assessment and training of people with joint hyper-resistance in clinical practice."
2020 Nov 16,Scientific reports,Sci Rep. 2020 Nov 16;10(1):19902. doi: 10.1038/s41598-020-76706-x.,"['Beckers, Niek', 'van Asseldonk, Edwin H F', 'van der Kooij, Herman']","[' adaptation, physiological', 'adult', ' communication', ' cooperative behavior', 'female', 'humans', 'male', 'motor skills  physiology', ' psychomotor performance', 'touch', 'visual perception  physiology', 'young adult']",Haptic human-human interaction does not improve individual visuomotor adaptation.,"Haptic interaction between two humans, for example, a physiotherapist assisting a patient regaining the ability to grasp a cup, likely facilitates motor skill acquisition. Haptic human-human interaction has been shown to enhance individual performance improvement in a tracking task with a visuomotor rotation perturbation. These results are remarkable given that haptically assisting or guiding an individual rarely benefits their individual improvement when the assistance is removed. We, therefore, replicated a study that reported that haptic interaction between humans was beneficial for individual improvement for tracking a target in a visuomotor rotation perturbation. In addition, we tested the effect of more interaction time and a stronger haptic coupling between the partners on individual improvement in the same task. We found no benefits of haptic interaction on individual improvement compared to individuals who practised the task alone, independent of interaction time or interaction strength."
