time,journal,doi_info,authors,key words,title,abstract
2024 May 1,ASAIO journal (American Society for Artificial Internal Organs : 1992),ASAIO J. 2024 May 1;70(5):377-386. doi: 10.1097/MAT.0000000000002153. Epub 2024 ,"['van Galen, Danny J M', 'Meinders, Quint', 'Halfwerk, Frank R', 'Arens, Jutta']","[' extracorporeal membrane oxygenation instrumentation methods', 'humans', 'equipment design', 'critical illness therapy', 'heart failure therapy']",ECMOve: A Mobilization Device for Extracorporeal Membrane Oxygenation Patients.,"Extracorporeal membrane oxygenation (ECMO) is a temporary lifesaving treatment for critically ill patients with severe respiratory or cardiac failure. Studies demonstrated the feasibility of in-hospital mobilizing during and after ECMO treatment preventing neuromuscular weakness and impaired physical functioning. Despite more compact mobile ECMO devices, implementation of ambulatory ECMO remains labor-intensive, complex, and challenging. It requires a large multidisciplinary team to carry equipment, monitor and physically support the patient, and to provide a back-up wheelchair in case of fatigue. Moreover, there is no adequate solution to ensure the stability of the patient's cannula and circuit management during ambulation. We developed a system contributing to improvement and innovation of current ambulatory ECMO patient programs. Our modular cart-in-cart system carries necessary ECMO equipment, features an extendable walking frame, and contains a folding seat for patient transport. An adjustable shoulder brace with lockable tubing-connectors enables safe fixation of the blood tubing. ECMOve provides safety, support, and accessibility while performing ambulatory ECMO for both patient and caregiver. Prototype evaluation in a simulated intensive care unit showed feasibility of our design, but needs to be evaluated in clinical care."
2023 Mar 31,Micromachines,Micromachines (Basel). 2023 Mar 31;14(4):800. doi: 10.3390/mi14040800.,"['Strudthoff, Lasse J', 'Focke, Jannis', 'Hesselmann, Felix', 'Kaesler, Andreas', 'Martins Costa, Ana', 'Schlanstein, Peter C', 'Schmitz-Rode, Thomas', 'Steinseifer, Ulrich', 'Steuer, Niklas B', 'Wiegmann, Bettina', 'Arens, Jutta', 'Jansen, Sebastian V']","['cpb', 'ecls', 'ecmo', 'animal model', 'hamster', 'in vivo', 'mouse', 'oxygenator', 'rat', 'rodent']","Novel Size-Variable Dedicated Rodent Oxygenator for ECLS Animal Models-Introduction of the ""RatOx"" Oxygenator and Preliminary In Vitro Results.","The overall survival rate of extracorporeal life support (ECLS) remains at 60%. Research and development has been slow, in part due to the lack of sophisticated experimental models. This publication introduces a dedicated rodent oxygenator (""RatOx"") and presents preliminary in vitro classification tests. The RatOx has an adaptable fiber module size for various rodent models. Gas transfer performances over the fiber module for different blood flows and fiber module sizes were tested according to DIN EN ISO 7199. At the maximum possible amount of effective fiber surface area and a blood flow of 100 mL/min, the oxygenator performance was tested to a maximum of 6.27 mL O(2)/min and 8.2 mL CO(2)/min, respectively. The priming volume for the largest fiber module is 5.4 mL, while the smallest possible configuration with a single fiber mat layer has a priming volume of 1.1 mL. The novel RatOx ECLS system has been evaluated in vitro and has demonstrated a high degree of compliance with all pre-defined functional criteria for rodent-sized animal models. We intend for the RatOx to become a standard testing platform for scientific studies on ECLS therapy and technology."
2023 Feb 22,Journal of clinical medicine,J Clin Med. 2023 Feb 22;12(5):1765. doi: 10.3390/jcm12051765.,"['Duinmeijer, Wytze C', 'Fresiello, Libera', 'Swol, Justyna', 'Torrella, Pau', 'Riera, Jordi', 'Obreja, Valentina', 'Puślecki, Mateusz', 'Dąbrowski, Marek', 'Arens, Jutta', 'Halfwerk, Frank R']","['classification', 'extracorporeal life support (ecls)', 'fidelity', 'model', 'simulation training']",Simulators and Simulations for Extracorporeal Membrane Oxygenation: An ECMO Scoping Review.,"High-volume extracorporeal membrane oxygenation (ECMO) centers generally have better outcomes than (new) low-volume ECMO centers, most likely achieved by a suitable exposure to ECMO cases. To achieve a higher level of training, simulation-based training (SBT) offers an additional option for education and extended clinical skills. SBT could also help to improve the interdisciplinary team interactions. However, the level of ECMO simulators and/or simulations (ECMO sims) techniques may vary in purpose. We present a structured and objective classification of ECMO sims based on the broad experience of users and the developer for the available ECMO sims as low-, mid-, or high-fidelity. This classification is based on overall ECMO sim fidelity, established by taking the median of the definition-based fidelity, component fidelity, and customization fidelity as determined by expert opinion. According to this new classification, only low- and mid-fidelity ECMO sims are currently available. This comparison method may be used in the future for the description of new developments in ECMO sims, making it possible for ECMO sim designers, users, and researchers to compare accordingly, and ultimately improve ECMO patient outcomes."
2023 Apr,Artificial organs,Artif Organs. 2023 Apr;47(4):695-704. doi: 10.1111/aor.14465. Epub 2022 Dec 2.,"['Arens, Jutta', 'Schraven, Lotte', 'Kaesler, Andreas', 'Flege, Christian', 'Schmitz-Rode, Thomas', 'Rossaint, Rolf', 'Steinseifer, Ulrich', 'Kopp, Rüdger']","['humans', 'oxygenators', ' extracorporeal membrane oxygenation methods', ' thrombosis', ' respiratory distress syndrome diagnosis therapy', ' pulmonary disease, chronic obstructive', 'equipment design', 'oxygenators, membrane', 'adaptable', 'extracorporeal lung assist', 'gas exchange', 'hemocompatibility', 'hemolysis', 'oxygenator', 'variable']","Development and evaluation of a variable, miniaturized oxygenator for various test methods.","BACKGROUND: Extracorporeal membrane oxygenation (ECMO) became an accepted therapy for the treatment of severe acute respiratory distress syndrome and chronic obstructive pulmonary disease. However, ECMO systems are still prone to thrombus formation and decrease of gas exchange over time. Therefore, it is necessary to conduct qualified studies to identify parameters for optimization of ECMO systems, and especially the oxygenator. However, commercially marketed oxygenators are not always appropriate and available for certain research use cases. Therefore, we aimed to design an oxygenator, which is suitable for various test conditions such as blood tests, numerical simulation, and membrane studies, and can be modified in membrane area size and manufactured in laboratory. METHODS: Main design criteria are a homogeneous blood flow without stagnation zones, low pressure drop, manufacturability in the lab, size variability with one set of housing parts and cost-efficiency. Our newly designed oxygenator was tested comparatively regarding blood cell damage, gas transfer performance and pressure drop to prove the validity of the design in accordance with a commercial device. RESULTS: No statistically significant difference between the tested oxygenators was detected and our new oxygenator demonstrated sufficient hemocompatibility. Furthermore, our variable oxygenator has proven that it can be easily manufactured in the laboratory, allows to use various membrane fiber configurations and can be reopened easily and non-destructively for analysis after use, and the original geometry is available for numerical simulations. CONCLUSION: Therefore, we consider this newly developed device as a valuable tool for basic experimental and numerical research on the optimization of oxygenators."
2022 Dec 16,Biomedizinische Technik. Biomedical engineering,Biomed Tech (Berl). 2022 Aug 31;67(6):471-480. doi: 10.1515/bmt-2022-0078. Print ,"['Klein, Mario', 'Tack, Jana Christine', 'Mager, Ilona', 'Maas, Judith', 'Schmitz-Rode, Thomas', 'Arens, Jutta', 'Steinseifer, Ulrich', 'Clauser, Johanna Charlotte']","['swine', 'animals', 'thrombelastography', ' assisted circulation', 'blood coagulation', ' thrombosis', 'blood platelets', ' heart-assist devices', 'centrifugal blood pumps', 'clot formation', 'hemocompatibility', 'mechanical circulatory support', 'mock loop']",In vitro thrombogenicity evaluation of rotary blood pumps by thromboelastometry.,"In vitro thrombogenicity tests for rotary blood pumps (RBPs) could benefit from assessing coagulation kinematics, as RBP design improves. In this feasibility study, we investigated if the method of thromboelastometry (TEM) is able to assess coagulation kinematics under the in vitro conditions of RBP tests. We conducted in vitro thrombogenicity tests (n=4) by placing Deltastream(®) DP3 pumps into test loops that were filled with 150 mL of slightly anti-coagulated porcine blood, adjusted to an activated clotting time (ACT) well below clinically recommended levels. Blood samples were taken at certain time points during the experiment until a continuous decrease in pump flow indicated major thrombus formation. Blood samples were analyzed for ACT, platelet count (PLT), and several TEM parameters. While visible thrombus formation was observed in three pumps, ACT indicated an ongoing activation of coagulation, PLT might have indicated platelet consumption. Unexpectedly, most TEM results gave no clear indications. Nonetheless, TEM clotting time obtained by non-anticoagulated and chemically non-activated whole blood (HEPNATEM-CT) appeared to be more sensitive for the activation of coagulation in vitro than ACT, which might be of interest for future pump tests. However, more research regarding standardization of thrombogenicity pump tests is urgently required."
2022,Frontiers in medical technology,Front Med Technol. 2022 Jun 21;4:909990. doi: 10.3389/fmedt.2022.909990. ,"['Martins Costa, Ana', 'Halfwerk, Frank', 'Wiegmann, Bettina', 'Neidlin, Michael', 'Arens, Jutta']","['artificial kidney', 'artificial lung', 'artificial organ', 'continuous rrt', 'extracorporeal life support', 'kidney insufficiency', 'veno-venous ecmo']","Trends, Advantages and Disadvantages in Combined Extracorporeal Lung and Kidney Support From a Technical Point of View.","Extracorporeal membrane oxygenation (ECMO) provides pulmonary and/or cardiac support for critically ill patients. Due to their diseases, they are at high risk of developing acute kidney injury. In that case, continuous renal replacement therapy (CRRT) is applied to provide renal support and fluid management. The ECMO and CRRT circuits can be combined by an integrated or parallel approach. So far, all methods used for combined extracorporeal lung and kidney support present serious drawbacks. This includes not only high risks of circuit related complications such as bleeding, thrombus formation, and hemolysis, but also increase in technical workload and health care costs. In this sense, the development of a novel optimized artificial lung device with integrated renal support could offer important treatment benefits. Therefore, we conducted a review to provide technical background on existing techniques for extracorporeal lung and kidney support and give insight on important aspects to be addressed in the development of this novel highly integrated artificial lung device."
2022 May 3,Scientific reports,Sci Rep. 2022 May 3;12(1):7160. doi: 10.1038/s41598-022-11175-y.,"['Hesselmann, Felix', 'Halwes, Michael', 'Bongartz, Patrick', 'Wessling, Matthias', 'Cornelissen, Christian', 'Schmitz-Rode, Thomas', 'Steinseifer, Ulrich', 'Jansen, Sebastian Victor', 'Arens, Jutta']","['computer simulation', ' lung', 'membranes', 'permeability', 'porosity']",TPMS-based membrane lung with locally-modified permeabilities for optimal flow distribution.,"Membrane lungs consist of thousands of hollow fiber membranes packed together as a bundle. The devices often suffer from complications because of non-uniform flow through the membrane bundle, including regions of both excessively high flow and stagnant flow. Here, we present a proof-of-concept design for a membrane lung containing a membrane module based on triply periodic minimal surfaces (TPMS). By warping the original TPMS geometries, the local permeability within any region of the module could be raised or lowered, allowing for the tailoring of the blood flow distribution through the device. By creating an iterative optimization scheme for determining the distribution of streamwise permeability inside a computational porous domain, the desired form of a lattice of TPMS elements was determined via simulation. This desired form was translated into a computer-aided design (CAD) model for a prototype device. The device was then produced via additive manufacturing in order to test the novel design against an industry-standard predicate device. Flow distribution was verifiably homogenized and residence time reduced, promising a more efficient performance and increased resistance to thrombosis. This work shows the promising extent to which TPMS can serve as a new building block for exchange processes in medical devices."
2022 Jan 22,Membranes,Membranes (Basel). 2022 Jan 22;12(2):133. doi: 10.3390/membranes12020133.,"['Strudthoff, Lasse J', 'Lüken, Hannah', 'Jansen, Sebastian V', 'Petran, Jan', 'Schlanstein, Peter C', 'Schraven, Lotte', 'Schürmann, Benjamin J', 'Steuer, Niklas B', 'Wagner, Georg', 'Schmitz-Rode, Thomas', 'Steinseifer, Ulrich', 'Arens, Jutta', 'Kopp, Rüdger']","['ards', 'din en iso 7199', 'ecco2r', 'ecls', 'ecmo', 'ltx', 'acute respiratory distress syndrome', 'animal model', 'extracorporeal membrane oxygenation', 'respiratory failure']",In Vitro and In Vivo Feasibility Study for a Portable VV-ECMO and ECCO(2)R System.,"Extracorporeal membrane oxygenation (ECMO) is an established rescue therapy for patients with chronic respiratory failure waiting for lung transplantation (LTx). The therapy inherent immobilization may result in fatigue, consecutive deteriorated prognosis, and even lost eligibility for transplantation. We conducted a feasibility study on a novel system designed for the deployment of a portable ECMO device, enabling the physical exercise of awake patients prior to LTx. The system comprises a novel oxygenator with a directly connected blood pump, a double-lumen cannula, gas blender and supply, as well as control and energy management. In vitro experiments included tests regarding performance, efficiency, and blood damage. A reduced system was tested in vivo for feasibility using a novel large animal model. Six anesthetized pigs were first positioned in supine position, followed by a 45° angle, simulating an upright position of the patients. We monitored performance and vital parameters. All in vitro experiments showed good performance for the respective subsystems and the integrated system. The acute in vivo trials of 8 h duration confirmed the results. The novel portable ECMO-system enables adequate oxygenation and decarboxylation sufficient for, e.g., the physical exercise of designated LTx-recipients. These results are promising and suggest further preclinical studies on safety and efficacy to facilitate translation into clinical application."
2021 Dec 31,Membranes,Membranes (Basel). 2021 Dec 31;12(1):56. doi: 10.3390/membranes12010056.,"['Steuer, Niklas B', 'Schlanstein, Peter C', 'Hannig, Anke', 'Sibirtsev, Stephan', 'Jupke, Andreas', 'Schmitz-Rode, Thomas', 'Kopp, Rüdger', 'Steinseifer, Ulrich', 'Wagner, Georg', 'Arens, Jutta']","['bubble oxygenator', 'carbon monoxide', 'extracorporeal therapy', 'hollow fibre membrane oxygenator', 'hyperoxygenation', 'oxygenator', 'poisoning']",Extracorporeal Hyperoxygenation Therapy (EHT) for Carbon Monoxide Poisoning: In-Vitro Proof of Principle.,"Carbon monoxide (CO) poisoning is the leading cause of poisoning-related deaths globally. The currently available therapy options are normobaric oxygen (NBO) and hyperbaric oxygen (HBO). While NBO lacks in efficacy, HBO is not available in all areas and countries. We present a novel method, extracorporeal hyperoxygenation therapy (EHT), for the treatment of CO poisoning that eliminates the CO by treating blood extracorporeally at elevated oxygen partial pressure. In this study, we proof the principle of the method in vitro using procine blood: Firstly, we investigated the difference in the CO elimination of a hollow fibre membrane oxygenator and a specifically designed batch oxygenator based on the bubble oxygenator principle at elevated pressures (1, 3 bar). Secondly, the batch oxygenator was redesigned and tested for a broader range of pressures (1, 3, 5, 7 bar) and temperatures (23, 30, 37 °C). So far, the shortest measured carboxyhemoglobin half-life in the blood was 21.32 min. In conclusion, EHT has the potential to provide an easily available and effective method for the treatment of CO poisoning."
2022 May,Artificial organs,Artif Organs. 2022 May;46(5):922-931. doi: 10.1111/aor.14146. Epub 2021 Dec 20.,"['Clauser, Johanna C', 'Maas, Judith', 'Mager, Ilona', 'Halfwerk, Frank R', 'Arens, Jutta']","[' abattoirs', 'adenosine diphosphate pharmacology', 'animals', 'blood platelets', 'collagen pharmacology', 'humans', ' platelet aggregation', 'platelet aggregation inhibitors', 'platelet function tests', 'species specificity', 'swine', 'abattoir slaughterhouse', 'animal blood', 'in-vitro testing', 'light transmission aggregometry', 'platelet activation']",The porcine abattoir blood model-Evaluation of platelet function for in-vitro hemocompatibility investigations.,"BACKGROUND: The major obstacle of blood-contacting medical devices is insufficient hemocompatibility, particularly thrombogenicity and platelet activation. Pre-clinical in-vitro testing allows for the evaluation of adverse thrombogenicity-related events, but is limited, among others, by the availability and quantity of human blood donations. The use of animal blood is an accepted alternative for several tests; however, animal and particularly abattoir blood might present species-specific differences to human blood as well as elevated blood values, and pre-activated platelets due to stressed animals and non-standardized blood collection. MATERIAL & METHODS: To this end, we investigated porcine abattoir blood in comparison to human donor blood with the focus on platelet pre-activation and remaining activation potential. By means of light transmission aggregometry, aggregation kinetics of platelet rich plasma after stimulation with three different concentrations of each adenosine diphosphate (ADP) (5 µM, 10 µM, 20 µM) and collagen (2.5 µg/ml, 5 µg/ml, 10 µg/ml) were monitored. RESULTS: The activation with collagen revealed no significant differences in platelet behavior of the two species. In contrast, stimulation with ADP resulted in a lower maximum aggregation and a high disaggregation for porcine abattoir blood. The latter is a species-specific phenomenon of porcine platelets. Variations within each study cohort were comparable for human and abattoir pig. CONCLUSION: The similarities in platelet activation following collagen stimulation and the preservation of the porcine-specific reaction to ADP prove a general functionality of the abattoir blood. This finding provides a first step towards the complete validation of the porcine abattoir blood model."
