time,journal,doi_info,authors,key words,title,abstract
2024,Frontiers in neurorobotics,Front Neurorobot. 2024 Jun 4;18:1437717. doi: 10.3389/fnbot.2024.1437717. ,"['Romero-Sánchez, Francisco', 'Menegaldo, Luciano Luporini', 'Font-Llagunes, Josep M', 'Sartori, Massimo']","['assistive devices', 'exoskeletons', 'exosuits', 'human augmentation', 'neuromusculoskeletal modeling', 'rehabilitation', 'wearable robots']","Editorial: Rehabilitation robotics: challenges in design, control, and real applications, volume II.",
2024,Wearable technologies,Wearable Technol. 2024 Feb 15;5:e6. doi: 10.1017/wtc.2024.2. eCollection 2024.,"['Mohamed Refai, Mohamed I', 'Moya-Esteban, Alejandro', 'van Zijl, Lynn', 'van der Kooij, Herman', 'Sartori, Massimo']","['biomechanics', 'exoskeletons', 'exosuits']",Benchmarking commercially available soft and rigid passive back exoskeletons for an industrial workplace.,"Low-back pain is a common occupational hazard for industrial workers. Several studies show the advantages of using rigid and soft back-support passive exoskeletons and exosuits (exos) to reduce the low-back loading and risk of injury. However, benefits of using these exos have been shown to be task-specific. Therefore, in this study, we developed a benchmarking approach to assess exos for an industrial workplace at Hankamp Gears B.V. We assessed two rigid (Laevo Flex, Paexo back) and two soft (Auxivo Liftsuit 1.0, and Darwing Hakobelude) exos for tasks resembling the workplace. We measured the assistive moment provided by each exo and their respective influence on muscle activity as well as the user's perception of comfort and exertion. Ten participants performed four lifting tasks (Static hold, Asymmetric, Squat, and Stoop), while their electromyography and subjective measures were collected. The two rigid exos provided the largest assistance during the Dynamic tasks. Reductions in erector spinae activity were seen to be task-specific, with larger reductions for the two rigid exos. Overall, Laevo Flex offered a good balance between assistive moments, reductions in muscle activity, as well as user comfort and reductions in perceived exertion. Thus, we recommend benchmarking exos for intended use in the industrial workplace. This will hopefully result in a better adoption of the back-support exoskeletons in the workplace and help reduce low-back pain."
2024,Frontiers in neurology,Front Neurol. 2024 Feb 21;15:1371430. doi: 10.3389/fneur.2024.1371430. ,"['Ranavolo, Alberto', 'Ajoudani, Arash', 'Bonnet, Vincent', 'De Nunzio, Alessandro Marco', 'Draicchio, Francesco', 'Sartori, Massimo', 'Serrao, Mariano']","['biomechanic analysis', 'industry 4.0', 'job reintegration', 'neurological disorders', 'return to work']","Editorial: Job integration/reintegration of people with neuromuscular disorders in the epoch of ""industry 4.0"".",
2024 Feb,Journal of biomechanics,J Biomech. 2024 Feb;164:111987. doi: 10.1016/j.jbiomech.2024.111987. Epub 2024 ,"['Mohamed Refai, Mohamed Irfan', 'Moya-Esteban, Alejandro', 'Sartori, Massimo']","['humans', 'electromyography methods', ' lifting', ' spine physiology', 'joints physiology', 'lumbosacral region physiology', 'muscle fatigue physiology', 'muscle, skeletal physiology', 'electromyography-driven modelling', 'muscle fatigue', 'musculoskeletal model', 'digital twin']",Electromyography-driven musculoskeletal models with time-varying fatigue dynamics improve lumbosacral joint moments during lifting.,"Muscle fatigue is prevalent across different aspects of daily life. Tracking muscle fatigue is useful to understand muscle overuse and possible risk of injury leading to musculoskeletal disorders. Current fatigue models are not suitable for real-world settings as they are either validated using simulations or non-functional tasks. Moreover, models that capture the changes to muscle activity due to fatigue either assume a linear relationship between muscle activity and muscle force or utilize a simple muscle model. Personalised electromygraphy (EMG)-driven musculoskeletal models (pEMS) offer person-specific approaches to model muscle and joint kinetics during a wide repertoire of daily life tasks. These models utilize EMG, thus capturing central fatigue-dependent changes in multi-muscle bio-electrical activity. However, the peripheral muscle force decay is missing in these models. Thus, we studied the influence of fatigue on a large scale pEMS of the trunk. Eleven healthy participants performed functional asymmetric lifting task. Average peak body-weight normalized lumbosacral moments (BW-LM) were estimated to be 2.55 ± 0.26 Nm/kg by reference inverse dynamics. After complete exhaustion of the lower back, the pEMS overestimated the peak BW-LM by 0.64 ± 0.37 Nm/kg. Then, we developed a time-varying muscle force decay model resulting in a time-varying pEMS (t-pEMS). This reduced the difference between BW-LM estimated by the t-pEMS and reference to 0.49 ± 0.14 Nm/kg. We also showed that five fatiguing contractions are sufficient to calibrate the t-pEMS. Thus, this study presents a person and muscle specific model to track fatigue during functional tasks."
2023 Dec,Journal of electromyography and kinesiology : official journal of the ,J Electromyogr Kinesiol. 2023 Dec;73:102830. doi: 10.1016/j.jelekin.2023.102830. ,"['Brouwer, Niels P', 'Tabasi, Ali', 'Kingma, Idsart', 'Stegeman, Dick F', 'van Dijk, Wietse', 'Moya-Esteban, Alejandro', 'Sartori, Massimo', 'van Dieën, Jaap H']","['male', 'humans', ' muscle, skeletal physiology', 'electromyography methods', 'action potentials', 'muscle fatigue physiology', ' low back pain', 'physical endurance physiology', 'emg', 'erector spinae', 'fatigue', 'low back', 'lumbar', 'paraspinal muscles']",Trunk extensor muscle endurance and its relationship to action potential conduction velocity and spectral parameters estimated using high-density electromyography.,"Trunk extensor muscle fatigue typically manifests as a decline in spectral content of surface electromyography. However, previous research on the relationship of this decline with trunk extensor muscle endurance have shown inconsistent results. The decline of spectral content mainly reflects the decrease in average motor unit action potential conduction velocity (CV). We evaluated whether the rate of change in CV, as well as two approaches employing the change in spectral content, are related to trunk extensor muscle endurance. Fourteen healthy male participants without a low-back pain history performed a non-strictly controlled static forward trunk bending trial until exhaustion while standing. For 13 participants, physiologically plausible CV estimates were obtained from high-density surface electromyography bilaterally from T6 to L5. Laterally between L1 and L2, the linear rate of CV change was strongly correlated to endurance time (R(2) = 0.79), whereas analyses involving the linear rate of change in spectral measures showed a lower (R(2) = 0.38) or no correlation. For medial electrode locations, estimating CV and its relationship with endurance time was less successful, while the linear rate of change in spectral measures correlated moderately to endurance time (R(2) = 0.44; R(2) = 0.56). This study provides guidance on monitoring trunk extensor muscle fatigue development using electromyography."
2023 Oct 1,Journal of applied biomechanics,J Appl Biomech. 2023 Sep 26;39(5):318-333. doi: 10.1123/jab.2023-0046. Print 2023 ,"['Mahdian, Zahra S', 'Wang, Huawei', 'Refai, Mohamed Irfan Mohamed', 'Durandau, Guillaume', 'Sartori, Massimo', 'MacLean, Mhairi K']","['human locomotion', 'human–machine interaction', 'musculoskeletal modeling', 'sensor-based control']",Tapping Into Skeletal Muscle Biomechanics for Design and Control of Lower Limb Exoskeletons: A Narrative Review.,"Lower limb exoskeletons and exosuits (""exos"") are traditionally designed with a strong focus on mechatronics and actuation, whereas the ""human side"" is often disregarded or minimally modeled. Muscle biomechanics principles and skeletal muscle response to robot-delivered loads should be incorporated in design/control of exos. In this narrative review, we summarize the advances in literature with respect to the fusion of muscle biomechanics and lower limb exoskeletons. We report methods to measure muscle biomechanics directly and indirectly and summarize the studies that have incorporated muscle measures for improved design and control of intuitive lower limb exos. Finally, we delve into articles that have studied how the human-exo interaction influences muscle biomechanics during locomotion. To support neurorehabilitation and facilitate everyday use of wearable assistive technologies, we believe that future studies should investigate and predict how exoskeleton assistance strategies would structurally remodel skeletal muscle over time. Real-time mapping of the neuromechanical origin and generation of muscle force resulting in joint torques should be combined with musculoskeletal models to address time-varying parameters such as adaptation to exos and fatigue. Development of smarter predictive controllers that steer rather than assist biological components could result in a synchronized human-machine system that optimizes the biological and electromechanical performance of the combined system."
2023 Oct,Journal of electromyography and kinesiology : official journal of the ,J Electromyogr Kinesiol. 2023 Oct;72:102808. doi: 10.1016/j.jelekin.2023.102808. ,"['Simonetti, Donatella', 'Hendriks, Maartje', 'Herijgers, Joost', 'Cuerdo Del Rio, Carmen', 'Koopman, Bart', 'Keijsers, Noel', 'Sartori, Massimo']","['humans', 'ankle', 'muscle, skeletal physiology', 'torque', 'leg physiology', 'ankle joint', 'walking physiology', 'electromyography methods', ' stroke', ' wearable electronic devices', 'clothing', 'biomechanical phenomena', 'emg-driven musculoskeletal modeling', 'electromyography', 'muscle localization', 'non-negative matrix factorization', 'smart wearable technology']",Automated spatial localization of ankle muscle sites and model-based estimation of joint torque post-stroke via a wearable sensorised leg garment.,"Assessing a patient's musculoskeletal function during over-ground walking is a primary objective in post-stroke rehabilitation, due to the importance of walking recovery for everyday life. However, the quantitative assessment of musculoskeletal function currently requires lab-constrained equipment, and labor-intensive analyses, which hampers assessment in standard clinical settings. The development of fully wearable systems for the online estimation of muscle-tendon forces and resulting joint torque would aid clinical assessment of motor recovery, it would enhance the detection of neuro-muscular anomalies and it would consequently enable highly personalized treatments. Here, we present a wearable technology that combines (1) a soft garment for the human leg sensorized with 64 flexible and dry electromyography (EMG) electrodes, (2) a generalized and automated algorithm for the localization of leg muscle sites, and (3) an EMG-driven musculoskeletal modeling framework for the estimation of ankle dorsi-plantar flexion torques. Our results showed that the automated clustering algorithm could detect muscle locations in both healthy and post-stroke individuals. The estimated muscle-specific EMG envelopes could be used to drive forward person-specific musculoskeletal models and estimate resulting joint torques accurately across all healthy and post-stroke individuals and across different walking speeds (R2 > 0.82 and RMSD < 0.16). The technology we proposed opens new avenues for automated muscle localization and quantitative musculoskeletal function assessment during gait in both healthy and neurologically impaired individuals."
2023 Apr 11,Wearable technologies,Wearable Technol. 2023 Apr 11;4:e11. doi: 10.1017/wtc.2023.7. eCollection 2023 ,"['Wang, Huawei', 'Basu, Akash', 'Durandau, Guillaume', 'Sartori, Massimo']",[],A Wearable Real-time Kinematic and Kinetic Measurement Sensor Setup for Human Locomotion.,"Current laboratory-based setups (optical marker cameras + force plates) for human motion measurement require participants to stay in a constrained capture region which forbids rich movement types. This study established a fully wearable system, based on commercially available sensors (inertial measurement units + pressure insoles) that can measure both kinematic and kinetic motion data simultaneously and support wireless frame-by-frame streaming. In addition, its capability and accuracy were tested against a conventional laboratory-based setup. An experiment was conducted, with 9 participants wearing the wearable measurement system and performing 13 daily motion activities, from slow walking to fast running, together with vertical jump, squat, lunge and single-leg landing, inside the capture space of the laboratory-based motion capture system. The recorded sensor data were post-processed to obtain joint angles, ground reaction forces (GRFs), and joint torques (via multi-body inverse dynamics). Compared to the laboratory-based system, the established wearable measurement system can measure accurate information of all lower limb joint angles (Pearson's r = 0.929), vertical GRFs (Pearson's r = 0.954), and ankle joint torques (Pearson's r = 0.917). Center of pressure (CoP) in the anterior-posterior direction and knee joint torques were fairly matched (Pearson's r = 0.683 and 0.612, respectively). Calculated hip joint torques and measured medial-lateral CoP did not match with the laboratory-based system (Pearson's r = 0.21 and 0.47, respectively). Furthermore, both raw and processed datasets are openly accessible (https://doi.org/10.5281/zenodo.6457662). Documentation, data processing codes, and guidelines to establish the real-time wearable kinetic measurement system are also shared (https://github.com/HuaweiWang/WearableMeasurementSystem)."
2023,Frontiers in robotics and AI,Front Robot AI. 2023 Apr 6;10:1100411. doi: 10.3389/frobt.2023.1100411. ,"['Nizamis, Kostas', 'Ayvaz, Anıl', 'Rijken, Noortje H M', 'Koopman, Bart F J M', 'Sartori, Massimo']","['duchenne muscular dystrophy', 'admittance', 'forearm', 'intention decoding', 'myoelectric control', 'pattern recognition', 'surface electromyography', 'wrist']",Real-time myoelectric control of wrist/hand motion in Duchenne muscular dystrophy: A case study.,"Introduction: Duchenne muscular dystrophy (DMD) is a genetic disorder that induces progressive muscular degeneration. Currently, the increase in DMD individuals' life expectancy is not being matched by an increase in quality of life. The functioning of the hand and wrist is central for performing daily activities and for providing a higher degree of independence. Active exoskeletons can assist this functioning but require the accurate decoding of the users' motor intention. These methods have, however, never been systematically analyzed in the context of DMD. Methods: This case study evaluated direct control (DC) and pattern recognition (PR), combined with an admittance model. This enabled customization of myoelectric controllers to one DMD individual and to a control population of ten healthy participants during a target-reaching task in 1- and 2- degrees of freedom (DOF). We quantified real-time myocontrol performance using target reaching times and compared the differences between the healthy individuals and the DMD individual. Results and Discussion: Our findings suggest that despite the muscle tissue degeneration, the myocontrol performance of the DMD individual was comparable to that of the healthy individuals in both DOFs and with both control approaches. It was also evident that PR control performed better for the 2-DOF tasks for both DMD and healthy participants, while DC performed better for the 1-DOF tasks. The insights gained from this study can lead to further developments for the intuitive multi-DOF myoelectric control of active hand exoskeletons for individuals with DMD."
2022 Dec,Journal of biomechanics,J Biomech. 2022 Dec;145:111383. doi: 10.1016/j.jbiomech.2022.111383. Epub 2022 ,"['Cop, Christopher P', 'Schouten, Alfred C', 'Koopman, Bart', 'Sartori, Massimo']","['humans', ' robotics', 'calibration', 'electromyography', 'joint stiffness', 'musculoskeletal modeling']",Electromyography-driven model-based estimation of ankle torque and stiffness during dynamic joint rotations in perturbed and unperturbed conditions.,"The simultaneous modulation of joint torque and stiffness enables humans to perform large repertoires of movements, while versatilely adapting to external mechanical demands. Multi-muscle force control is key for joint torque and stiffness modulation. However, the inability to directly measure muscle force in the intact moving human prevents understanding how muscle force causally links to joint torque and stiffness. Joint stiffness is predominantly estimated via joint perturbation-based experiments in combination with system identification techniques. However, these techniques provide joint-level stiffness estimations with no causal link to the underlying muscle forces. Moreover, the need for joint perturbations limits the generalizability and applicability to study natural movements. Here, we present an electromyography (EMG)-driven musculoskeletal modeling framework that can be calibrated to match reference joint torque and stiffness profiles simultaneously via a multi-term objective function. EMG-driven models calibrated on <2 s of reference torque and stiffness data could blindly estimate reference profiles across 100 s of data not used for calibration. Model calibrations using an objective function comprising torque and stiffness terms always provided less feasible solutions than an objective function comprising solely a torque term, thereby reducing the space of feasible muscle-tendon parameters. Results also showed the proposed framework's ability to estimate joint stiffness in unperturbed conditions, while capturing differences against stiffness profiles derived during perturbed conditions. The proposed framework may provide new ways for studying causal relationships between muscle force and joint torque and stiffness during movements in interaction with the environment, with broad implications across biomechanics, rehabilitation and robotics."
