time,journal,doi_info,authors,key words,title,abstract
2024 Feb 16,ACS synthetic biology,ACS Synth Biol. 2024 Feb 16;13(2):466-473. doi: 10.1021/acssynbio.3c00682. Epub ,"['Howe, Geoffrey', 'Wasmuth, Matthew', 'Emanuelle, Pamela', 'Massaro, Giulia', 'Rahim, Ahad A', 'Ali, Sadfer', 'Rivera, Milena', 'Ward, John', 'Keshavarz-Moore, Eli', 'Mason, Chris', 'Nesbeth, Darren N']","['animals', 'humans', ' lentivirus genetics', ' genetic vectors genetics', 'hek293 cells', 'transfection', 'dna genetics', 'tetracycline', 'mammals genetics', ' acidulated phosphate fluoride', 'bioprocess', 'gene therapy', 'lentivirus', 'mammalian cells', 'nuclease']",Engineering an Autonucleolytic Mammalian Suspension Host Cell Line to Reduce DNA Impurity Levels in Serum-Free Lentiviral Process Streams.,"We engineered HEK293T cells with a transgene encoding tetracycline-inducible expression of a Staphylococcus aureus nuclease incorporating a translocation signal. We adapted the unmodified and nuclease-engineered cell lines to grow in suspension in serum-free media, generating the HEK293TS and NuPro-2S cell lines, respectively. Transient transfection yielded 1.19 × 10(6) lentiviral transducing units per milliliter (TU/mL) from NuPro-2S cells and 1.45 × 10(6) TU/mL from HEK293TS cells. DNA ladder disappearance revealed medium-resident nuclease activity arising from NuPro-2S cells in a tetracycline-inducible manner. DNA impurity levels in lentiviral material arising from NuPro-2S and HEK293TS cells were undetectable by SYBR Safe agarose gel staining. Direct measurement by PicoGreen reagent revealed DNA to be present at 636 ng/mL in lentiviral material from HEK293TS cells, an impurity level reduced by 89% to 70 ng/mL in lentiviral material from NuPro-2S cells. This reduction was comparable to the 23 ng/mL achieved by treating HEK293TS-derived lentiviral material with 50 units/mL Benzonase."
2023 Jun,Heliyon,Heliyon. 2023 Jun 7;9(6):e17067. doi: 10.1016/j.heliyon.2023.e17067. eCollection ,"['Ali, Sadfer', 'Rivera, Milena', 'Ward, John', 'Keshavarz-Moore, Eli', 'Mason, Chris', 'Nesbeth, Darren N']","['gene therapy', 'lentivirus', 'medium', 'nuclease', 'serum', 't-cell', 'transfection', 'transgene', 'transient']",Serum-free lentiviral vector production is compatible with medium-resident nuclease activity arising from adherent HEK293T host cells engineered with a nuclease-encoding transgene.,"At present lentiviral vector production for cell and gene therapy commonly involves transient plasmid transfection of mammalian cells cultivated in serum-containing media and addition of exogenous nuclease to reduce host cell and plasmid DNA impurities. Switching from serum-containing media to chemically-defined, serum free media, and minimising the number of process additions, are both increasingly regarded as necessary steps for simplifying and potentially automating lentiviral vector bioprocessing in future. Here we adapted human embryonic kidney 293T (HEK293T) cells to grow in serum-free media and also modified these cells with transgenes designed to encode a secreted nuclease activity. Stable transfection of HEK293T cells with transgenes encoding the Staphylococcus aureus nuclease B (NucB) open reading frame with either its native secretion signal peptide, the murine Igκ chain leader sequence or a novel viral transport fusion protein, all resulted in qualitatively detectable nuclease activity in serum-free media. Serum-free transient transfection of human embryonic kidney HEK293T cells stably harbouring the transgene for NucB with its native secretion signal produced active lentivirus in the presence of medium-resident nuclease activity. This lentivirus material was able to transduce the AGF-T immortal T cell line with a green fluorescent protein reporter payload at a level of 2.05 × 10(5) TU/mL (±3.34 × 10(4) TU/mL). Sufficient nuclease activity was present in 10 μL of this unconcentrated lentivirus material to degrade 1.5 μg DNA within 2 h at 37 °C, without agitation - conditions compatible with lentivirus production. These observations demonstrate that lentiviral vector production, by transient transfection, is compatible with host cells harbouring a nuclease transgene and evidencing nuclease activity in their surrounding growth media. This work provides a solid basis for future investigations, beyond the scope of this present study, in which commercial and academic groups can apply this approach to therapeutic payloads and potentially omit exogenous nuclease bioprocess additions."
2022 Dec 8,Molecular therapy. Methods & clinical development,Mol Ther Methods Clin Dev. 2022 Nov 3;27:464-487. doi: ,"['Dogan, Yildirim', 'Barese, Cecilia N', 'Schindler, Jeffrey W', 'Yoon, John K', 'Unnisa, Zeenath', 'Guda, Swaroopa', 'Jacobs, Mary E', 'Oborski, Christine', 'Maiwald, Tim', 'Clarke, Diana L', 'Schambach, Axel', 'Pfeifer, Richard', 'Harper, Claudia', 'Mason, Chris', 'van Til, Niek P']","['pompe disease', 'glycosylation-independent lysosomal targeting', 'hematopoietic stem and progenitor cells', 'lentiviral vector', 'tag technology']",Screening chimeric GAA variants in preclinical study results in hematopoietic stem cell gene therapy candidate vectors for Pompe disease.,"Pompe disease is a rare genetic neuromuscular disorder caused by acid α-glucosidase (GAA) deficiency resulting in lysosomal glycogen accumulation and progressive myopathy. Enzyme replacement therapy, the current standard of care, penetrates poorly into the skeletal muscles and the peripheral and central nervous system (CNS), risks recombinant enzyme immunogenicity, and requires high doses and frequent infusions. Lentiviral vector-mediated hematopoietic stem and progenitor cell (HSPC) gene therapy was investigated in a Pompe mouse model using a clinically relevant promoter driving nine engineered GAA coding sequences incorporating distinct peptide tags and codon optimizations. Vectors solely including glycosylation-independent lysosomal targeting tags enhanced secretion and improved reduction of glycogen, myofiber, and CNS vacuolation in key tissues, although GAA enzyme activity and protein was consistently lower compared with native GAA. Genetically modified microglial cells in brains were detected at low levels but provided robust phenotypic correction. Furthermore, an amino acid substitution introduced in the tag reduced insulin receptor-mediated signaling with no evidence of an effect on blood glucose levels in Pompe mice. This study demonstrated the therapeutic potential of lentiviral HSPC gene therapy exploiting optimized GAA tagged coding sequences to reverse Pompe disease pathology in a preclinical mouse model, providing promising vector candidates for further investigation."
2022 Oct 5,Molecular therapy : the journal of the American Society of Gene Therapy,Mol Ther. 2022 Oct 5;30(10):3209-3225. doi: 10.1016/j.ymthe.2022.05.022. Epub ,"['Plasschaert, Robert N', 'DeAndrade, Mark P', 'Hull, Fritz', 'Nguyen, Quoc', 'Peterson, Tara', 'Yan, Aimin', 'Loperfido, Mariana', 'Baricordi, Cristina', 'Barbarossa, Luigi', 'Yoon, John K', 'Dogan, Yildirim', 'Unnisa, Zeenath', 'Schindler, Jeffrey W', 'van Til, Niek P', 'Biasco, Luca', 'Mason, Chris']","['animals', 'genetic engineering', 'genetic therapy', ' hematopoietic stem cell transplantation', 'hematopoietic stem cells metabolism', 'mice', 'tissue distribution', 'parkinson’s disease', 'autologous transplant', 'frontotemporal dementia', 'gene therapy', 'hematopoiesis', 'hematopoietic stem cells', 'lentiviral vector', 'microglia', 'neurodegenerative disease', 'single cell analysis']",High-throughput analysis of hematopoietic stem cell engraftment after intravenous and intracerebroventricular dosing.,"Hematopoietic stem/progenitor cell gene therapy (HSPC-GT) has shown clear neurological benefit in rare diseases, which is achieved through the engraftment of genetically modified microglia-like cells (MLCs) in the brain. Still, the engraftment dynamics and the nature of engineered MLCs, as well as their potential use in common neurogenerative diseases, have remained largely unexplored. Here, we comprehensively characterized how different routes of administration affect the biodistribution of genetically engineered MLCs and other HSPC derivatives in mice. We generated a high-resolution single-cell transcriptional map of MLCs and discovered that they could clearly be distinguished from macrophages as well as from resident microglia by the expression of a specific gene signature that is reflective of their HSPC ontogeny and irrespective of their long-term engraftment history. Lastly, using murine models of Parkinson's disease and frontotemporal dementia, we demonstrated that MLCs can deliver therapeutically relevant levels of transgenic protein to the brain, thereby opening avenues for the clinical translation of HSPC-GT to the treatment of major neurological diseases."
2022 Jan 28,Biomedicines,Biomedicines. 2022 Jan 28;10(2):302. doi: 10.3390/biomedicines10020302.,"['Unnisa, Zeenath', 'Yoon, John K', 'Schindler, Jeffrey W', 'Mason, Chris', 'van Til, Niek P']","['pompe disease', 'adeno-associated viral vector', 'enzyme replacement therapy', 'hematopoietic stem cell', 'lentiviral vectors']",Gene Therapy Developments for Pompe Disease.,"Pompe disease is an inherited neuromuscular disorder caused by deficiency of the lysosomal enzyme acid alpha-glucosidase (GAA). The most severe form is infantile-onset Pompe disease, presenting shortly after birth with symptoms of cardiomyopathy, respiratory failure and skeletal muscle weakness. Late-onset Pompe disease is characterized by a slower disease progression, primarily affecting skeletal muscles. Despite recent advancements in enzyme replacement therapy management several limitations remain using this therapeutic approach, including risks of immunogenicity complications, inability to penetrate CNS tissue, and the need for life-long therapy. The next wave of promising single therapy interventions involves gene therapies, which are entering into a clinical translational stage. Both adeno-associated virus (AAV) vectors and lentiviral vector (LV)-mediated hematopoietic stem and progenitor (HSPC) gene therapy have the potential to provide effective therapy for this multisystemic disorder. Optimization of viral vector designs, providing tissue-specific expression and GAA protein modifications to enhance secretion and uptake has resulted in improved preclinical efficacy and safety data. In this review, we highlight gene therapy developments, in particular, AAV and LV HSPC-mediated gene therapy technologies, to potentially address all components of the neuromuscular associated Pompe disease pathology."
2021 Mar 12,Molecular therapy. Methods & clinical development,Mol Ther Methods Clin Dev. 2020 Dec 3;20:312-323. doi: ,"['Dahl, Maria', 'Smith, Emma M K', 'Warsi, Sarah', 'Rothe, Michael', 'Ferraz, Maria J', 'Aerts, Johannes M F G', 'Golipour, Azadeh', 'Harper, Claudia', 'Pfeifer, Richard', 'Pizzurro, Daniella', 'Schambach, Axel', 'Mason, Chris', 'Karlsson, Stefan']",[],Correction of pathology in mice displaying Gaucher disease type 1 by a clinically-applicable lentiviral vector.,"Gaucher disease type 1 (GD1) is an inherited lysosomal disorder with multisystemic effects in patients. Hallmark symptoms include hepatosplenomegaly, cytopenias, and bone disease with varying degrees of severity. Mutations in a single gene, glucosidase beta acid 1 (GBA1), are the underlying cause for the disorder, resulting in insufficient activity of the enzyme glucocerebrosidase, which in turn leads to a progressive accumulation of the lipid component glucocerebroside. In this study, we treat mice with signs consistent with GD1, with hematopoietic stem/progenitor cells transduced with a lentiviral vector containing an RNA transcript that, after reverse transcription, results in codon-optimized cDNA that, upon its integration into the genome encodes for functional human glucocerebrosidase. Five months after gene transfer, a highly significant reduction in glucocerebroside accumulation with subsequent reversal of hepatosplenomegaly, restoration of blood parameters, and a tendency of increased bone mass and density was evident in vector-treated mice compared to non-treated controls. Furthermore, histopathology revealed a prominent reduction of Gaucher cell infiltration after gene therapy. The vector displayed an oligoclonal distribution pattern but with no sign of vector-induced clonal dominance and a typical lentiviral vector integration profile. Cumulatively, our findings support the initiation of the first clinical trial for GD1 using the lentiviral vector described here."
2019 Sep 13,Scientific reports,Sci Rep. 2019 Sep 13;9(1):13190. doi: 10.1038/s41598-019-49315-6.,"['Santiago-Toledo, Gerardo', 'Georgiou, Melanie', 'Dos Reis, Joana', 'Roberton, Victoria H', 'Valinhas, Ana', 'Wood, Rachael C', 'Phillips, James B', 'Mason, Chris', 'Li, Daqing', 'Li, Ying', 'Sinden, John D', 'Choi, David', 'Jat, Parmjit S', 'Wall, Ivan B']","['adult', 'animals', 'biomarkers metabolism', 'cell line', 'coculture techniques', 'ganglia, spinal cytology', ' genes, myc', 'gentamicins pharmacology', 'humans', 'karyotyping', 'mice', 'neuroblastoma pathology', 'olfactory mucosa  cytology drug effects', 'rats', 'rats, sprague-dawley', 'receptors, estrogen genetics', 'recombinant proteins  genetics metabolism', 'sensory receptor cells cytology', 'tamoxifen analogs & derivatives pharmacology', 'transduction, genetic  methods', 'transgenes']",Generation of c-MycER(TAM)-transduced human late-adherent olfactory mucosa cells for potential regenerative applications.,"Human olfactory mucosa cells (hOMCs) have been transplanted to the damaged spinal cord both pre-clinically and clinically. To date mainly autologous cells have been tested. However, inter-patient variability in cell recovery and quality, and the fact that the neuroprotective olfactory ensheathing cell (OEC) subset is difficult to isolate, means an allogeneic hOMC therapy would be an attractive ""off-the-shelf"" alternative. The aim of this study was to generate a candidate cell line from late-adherent hOMCs, thought to contain the OEC subset. Primary late-adherent hOMCs were transduced with a c-MycER(TAM) gene that enables cell proliferation in the presence of 4-hydroxytamoxifen (4-OHT). Two c-MycER(TAM)-derived polyclonal populations, PA5 and PA7, were generated and expanded. PA5 cells had a normal human karyotype (46, XY) and exhibited faster growth kinetics than PA7, and were therefore selected for further characterisation. PA5 hOMCs express glial markers (p75(NTR), S100ß, GFAP and oligodendrocyte marker O4), neuronal markers (nestin and ß-III-tubulin) and fibroblast-associated markers (CD90/Thy1 and fibronectin). Co-culture of PA5 cells with a neuronal cell line (NG108-15) and with primary dorsal root ganglion (DRG) neurons resulted in significant neurite outgrowth after 5 days. Therefore, c-MycER(TAM)-derived PA5 hOMCs have potential as a regenerative therapy for neural cells."
2018 Sep 27,Scientific reports,Sci Rep. 2018 Sep 27;8(1):14440. doi: 10.1038/s41598-018-32748-w.,"['Georgiou, Melanie', 'Reis, Joana Neves Dos', 'Wood, Rachael', 'Esteban, Patricia Perez', 'Roberton, Victoria', 'Mason, Chris', 'Li, Daqing', 'Li, Ying', 'Choi, David', 'Wall, Ivan']","['animals', 'cell culture techniques  methods', 'cell line', 'cell separation  methods', 'nerve growth factors pharmacology', 'nerve tissue proteins', 'neurons  cytology metabolism', 'olfactory mucosa  cytology metabolism', 'rats', 'rats, sprague-dawley', 'receptors, growth factor', 'receptors, nerve growth factor metabolism']",Bioprocessing strategies to enhance the challenging isolation of neuro-regenerative cells from olfactory mucosa.,"Olfactory ensheathing cells (OECs) are a promising potential cell therapy to aid regeneration. However, there are significant challenges in isolating and characterizing them. In the current study, we have explored methods to enhance the recovery of cells expressing OEC marker p75NTR from rat mucosa. With the addition of a 24-hour differential adhesion step, the expression of p75NTR was significantly increased to 73 ± 5% and 46 ± 18% on PDL and laminin matrices respectively. Additionally, the introduction of neurotrophic factor NT-3 and the decrease in serum concentration to 2% FBS resulted in enrichment of OECs, with p75NTR at nearly 100% (100 ± 0% and 98 ± 2% on PDL and laminin respectively), and candidate fibroblast marker Thy1.1 decreased to zero. Culturing OECs at physiologically relevant oxygen tension (2-8%) had a negative impact on p75NTR expression and overall cell survival. Regarding cell potency, co-culture of OECs with NG108-15 neurons resulted in more neuronal growth and potential migration at atmospheric oxygen. Moreover, OECs behaved similarly to a Schwann cell line positive control. In conclusion, this work identified key bioprocessing fundamentals that will underpin future development of OEC-based cell therapies for potential use in spinal cord injury repair. However, there is still much work to do to create optimized isolation methods."
2018 May 3,Cell stem cell,Cell Stem Cell. 2018 May 3;22(5):623-626. doi: 10.1016/j.stem.2018.03.004. Epub ,"['Smith, Devyn M', 'Culme-Seymour, Emily J', 'Mason, Chris']","['animals', ' cell- and tissue-based therapy', ' genetic therapy', 'humans', 'stem cells  cytology']",Evolving Industry Partnerships and Investments in Cell and Gene Therapies.,"Cell and gene therapies hold the promise of providing significant and durable health gains to patients in many disease states and have recently elicited significant investor and partner interest. We cover the current state of industry partnerships and investments, highlight what makes a partnership advantageous, and discuss implications for stem cell therapies."
2018 Feb,Biotechnology journal,Biotechnol J. 2018 Feb;13(2). doi: 10.1002/biot.201700085. Epub 2018 Jan 25.,"['Detela, Giulia', 'Bain, Owen W', 'Kim, Hae-Won', 'Williams, David J', 'Mason, Chris', 'Mathur, Anthony', 'Wall, Ivan B']","['adipogenesis', 'adolescent', 'bone marrow cells cytology', 'cell adhesion', ' cell culture techniques', 'cell differentiation', 'cell proliferation', ' cell- and tissue-based therapy', 'cells, cultured', 'chondrogenesis', 'culture media chemistry', 'humans', 'male', 'mesenchymal stem cells  cytology', 'osteogenesis', ' tissue donors', 'autologous cell therapies', 'bioprocess design', 'expansion potential', 'human mesenchymal stromal cells (hmscs)', 'variability']",Donor Variability in Growth Kinetics of Healthy hMSCs Using Manual Processing: Considerations for Manufacture of Cell Therapies.,"Human mesenchymal stromal cells (hMSCs) are excellent candidates for cell therapy but their expansion to desired clinical quantities can be compromised by ex vivo processing, due to differences between donor material and process variation. The aim of this article is to characterize growth kinetics of healthy baseline ""reference"" hMSCs using typical manual processing. Bone-marrow derived hMSCs from ten donors are isolated based on plastic adherence, expanded, and analyzed for their growth kinetics until passage 4. Results indicate that hMSC density decreases with overall time in culture (p < 0.001) but no significant differences are observed between successive passages after passage 1. In addition, fold increase in cell number dropped between passage 1 and 2 for three batches, which correlated to lower performance in total fold increase and expansion potential of these batches, suggesting that proliferative ability of hMSCs can be predicted at an early stage. An indicative bounded operating window is determined between passage 1 and 3 (PDL < 10), despite the high inter-donor variability present under standardized hMSC expansion conditions used. hMSC growth profile analysis will be of benefit to cell therapy manufacturing as a tool to predict culture performance and attainment of clinically-relevant yields, therefore stratifying the patient population based on early observation."
