time,journal,doi_info,authors,key words,title,abstract
2024 Feb 16,ACS synthetic biology,ACS Synth Biol. 2024 Feb 16;13(2):466-473. doi: 10.1021/acssynbio.3c00682. Epub ,"['Howe, Geoffrey', 'Wasmuth, Matthew', 'Emanuelle, Pamela', 'Massaro, Giulia', 'Rahim, Ahad A', 'Ali, Sadfer', 'Rivera, Milena', 'Ward, John', 'Keshavarz-Moore, Eli', 'Mason, Chris', 'Nesbeth, Darren N']","['animals', 'humans', ' lentivirus genetics', ' genetic vectors genetics', 'hek293 cells', 'transfection', 'dna genetics', 'tetracycline', 'mammals genetics', ' acidulated phosphate fluoride', 'bioprocess', 'gene therapy', 'lentivirus', 'mammalian cells', 'nuclease']",Engineering an Autonucleolytic Mammalian Suspension Host Cell Line to Reduce DNA Impurity Levels in Serum-Free Lentiviral Process Streams.,"We engineered HEK293T cells with a transgene encoding tetracycline-inducible expression of a Staphylococcus aureus nuclease incorporating a translocation signal. We adapted the unmodified and nuclease-engineered cell lines to grow in suspension in serum-free media, generating the HEK293TS and NuPro-2S cell lines, respectively. Transient transfection yielded 1.19 × 10(6) lentiviral transducing units per milliliter (TU/mL) from NuPro-2S cells and 1.45 × 10(6) TU/mL from HEK293TS cells. DNA ladder disappearance revealed medium-resident nuclease activity arising from NuPro-2S cells in a tetracycline-inducible manner. DNA impurity levels in lentiviral material arising from NuPro-2S and HEK293TS cells were undetectable by SYBR Safe agarose gel staining. Direct measurement by PicoGreen reagent revealed DNA to be present at 636 ng/mL in lentiviral material from HEK293TS cells, an impurity level reduced by 89% to 70 ng/mL in lentiviral material from NuPro-2S cells. This reduction was comparable to the 23 ng/mL achieved by treating HEK293TS-derived lentiviral material with 50 units/mL Benzonase."
2023 Jun,Heliyon,Heliyon. 2023 Jun 7;9(6):e17067. doi: 10.1016/j.heliyon.2023.e17067. eCollection ,"['Ali, Sadfer', 'Rivera, Milena', 'Ward, John', 'Keshavarz-Moore, Eli', 'Mason, Chris', 'Nesbeth, Darren N']","['gene therapy', 'lentivirus', 'medium', 'nuclease', 'serum', 't-cell', 'transfection', 'transgene', 'transient']",Serum-free lentiviral vector production is compatible with medium-resident nuclease activity arising from adherent HEK293T host cells engineered with a nuclease-encoding transgene.,"At present lentiviral vector production for cell and gene therapy commonly involves transient plasmid transfection of mammalian cells cultivated in serum-containing media and addition of exogenous nuclease to reduce host cell and plasmid DNA impurities. Switching from serum-containing media to chemically-defined, serum free media, and minimising the number of process additions, are both increasingly regarded as necessary steps for simplifying and potentially automating lentiviral vector bioprocessing in future. Here we adapted human embryonic kidney 293T (HEK293T) cells to grow in serum-free media and also modified these cells with transgenes designed to encode a secreted nuclease activity. Stable transfection of HEK293T cells with transgenes encoding the Staphylococcus aureus nuclease B (NucB) open reading frame with either its native secretion signal peptide, the murine Igκ chain leader sequence or a novel viral transport fusion protein, all resulted in qualitatively detectable nuclease activity in serum-free media. Serum-free transient transfection of human embryonic kidney HEK293T cells stably harbouring the transgene for NucB with its native secretion signal produced active lentivirus in the presence of medium-resident nuclease activity. This lentivirus material was able to transduce the AGF-T immortal T cell line with a green fluorescent protein reporter payload at a level of 2.05 × 10(5) TU/mL (±3.34 × 10(4) TU/mL). Sufficient nuclease activity was present in 10 μL of this unconcentrated lentivirus material to degrade 1.5 μg DNA within 2 h at 37 °C, without agitation - conditions compatible with lentivirus production. These observations demonstrate that lentiviral vector production, by transient transfection, is compatible with host cells harbouring a nuclease transgene and evidencing nuclease activity in their surrounding growth media. This work provides a solid basis for future investigations, beyond the scope of this present study, in which commercial and academic groups can apply this approach to therapeutic payloads and potentially omit exogenous nuclease bioprocess additions."
2023 Jul 15,Biology open,Biol Open. 2023 Jul 15;12(7):bio059691. doi: 10.1242/bio.059691. Epub 2023 Jun ,"['Redwood-Sawyerr, Chileab', 'Nesbeth, Darren N']","['humans', 'hela cells', 'hek293 cells', ' tetracycline pharmacology metabolism', ' anti-bacterial agents', 'beta-galactosidase metabolism', 'cellular', 'hek293t', 'hela', 'marker', 'senescence', 'tetracycline']",Tetracycline-mediated fluorescence correlates with passage number and β-galactosidase activity in HeLa and HEK293T cells.,"We report data consistent with tetracycline-mediated fluorescence having the potential to be an effective marker of senescence in immortalised cells. HeLa cells that had previously undergone more than 20 passages were transiently transfected with a plasmid encoding a novel tetracycline-inducible transgene featuring an open reading frame for green fluorescent protein. While characterising the performance of this plasmid and transfection procedure, HeLa cell fluorescence was observed to result from incubating cells with media containing 2 μg/ml tetracycline alone, without plasmid or transfection reagent. To investigate this phenomenon further, HeLa and HEK293T cells were purchased from a tissue culture collection and after cultivation over 4-23 passages, incubated with media containing 2 μg/ml tetracycline. For both cell lines, tetracycline-mediated fluorescence increase correlated with passage number increase. This effect in HeLa and HEK293T cells was also borne out by expression of β-galactosidase activity, an imperfect but widely used marker of cellular senescence. These data suggest tetracycline may have utility as a marker of cellular senescence in immortal cells and can inform future investigation and validation of this previously unreported application for this reagent."
2023 Mar 17,ACS synthetic biology,ACS Synth Biol. 2023 Mar 17;12(3):657-663. doi: 10.1021/acssynbio.2c00342. Epub ,"['Bandyopadhyay, Sushobhan', 'Pavlika, Vasos', 'Bracewell, Daniel G', 'Nesbeth, Darren N']","[' pichia metabolism', ' vaccines, virus-like particle metabolism', 'lipase genetics metabolism', 'carbon metabolism', 'methanol metabolism', 'triacylglycerol lipase', 'bioreactor, carbon source', 'logic gate', 'vaccine', 'virus-like particle']",A Biological OR(XNOR) Logic Gate Couples Carbon Source and Transgene Expression Switching in a Komagataella phaffii (Pichia pastoris) Strain Co-producing Process-Enhancing Lipase and a Virus-like Particle (VLP) Vaccine.,"We constructed a three-input biological logic gate: S OR (G XNOR M), where S is sorbitol, G is glycerol, and M is methanol, to optimize co-expression of two transgenes in Komagataella phaffii using batch-mode carbon source switching (CSS). K. phaffii was engineered to harbor transgenes encoding a Candida rugosa triacylglycerol lipase, which can enhance downstream processing by removing host cell lipids from homogenates, and the hepatitis B virus surface antigen (HBsAg), a protein that self-assembles into a virus-like particle (VLP) vaccine. Using the native alcohol oxidase 1 (P(AOX1)) and enolase 1 (P(ENO1)) promoters to direct VLP vaccine and lipase expression, respectively, successfully provided an OR(XNOR) gate function with double-repression as the output. This logic gate functionality enabled use of CSS to ensure that approximately 80% of total VLP yield was accumulated before cells were burdened with lipase expression in 250 mL DasGip bioreactor cultivation."
2022,Journal of immunology research,J Immunol Res. 2022 Sep 16;2022:9493019. doi: 10.1155/2022/9493019. eCollection ,"['Kriston-Vizi, Janos', 'Lenart, Izabela', 'Iwawaki, Takao', 'Gould, Keith', 'Nesbeth, Darren', 'Powis, Simon J', 'Antoniou, Antony N']","['cell line', 'epithelial cells', ' hla-b27 antigen genetics metabolism', 'humans', 'salmonella metabolism', ' salmonella infections']",Salmonella Exhibit Altered Cellular Localization in the Presence of HLA-B27 and Codistribute with Endo-Reticular Membrane.,"Salmonella enteritica (S. enteritica) induce and require unfolded protein response (UPR) pathways for intracellular replication. Salmonella infections can lead to reactive arthritis (ReA), which can exhibit associations with Human Leucocyte Antigen (HLA)-B(∗)27 : 05. S. enteritica normally reside in a juxtanuclear position to the Golgi apparatus, representing the formation and residence within the Salmonella-containing vacuole (SCV). Changes in cellular localization of infecting Salmonella can alter their ability to replicate. We therefore used isogenic epithelial cell lines expressing physiological levels of HLA-B(∗)27 : 05 heavy chain (HC) and a control HLA-B allele, HLA-B(∗)35 : 01.HC to determine any changes in Salmonella localization within epithelial cells. Expression of HLA-B(∗)27 : 05 but not HLA-B(∗)35 : 01 was associated with a quantifiable change in S. enteritica cellular distribution away from the Golgi apparatus. Furthermore, the Salmonella requirements for UPR induction and the consequences of the concomitant endoplasmic reticulum (ER) membrane expansion were determined. Using confocal imaging, S. enteritica bacteria exhibited a significant and quantifiable codistribution with endo-reticular membrane as determined by ER tracker staining. Isogenic S. enterica Typhimurium mutant strains, which can infect but exhibit impaired intracellular growth, demonstrated that the activation of the UPR was dependent on an integral intracellular niche. Therefore, these data identify cellular changes accompanying Salmonella induction of the UPR and in the presence of HLA-B27."
2022,Frontiers in immunology,Front Immunol. 2022 Jul 25;13:902135. doi: 10.3389/fimmu.2022.902135. eCollection ,"['Lenart, Izabela', 'Truong, Linh-Huyen', 'Nguyen, Dinh Dung', 'Rasiukienė, Olga', 'Tsao, Edward', 'Armstrong, Jonathan', 'Kumar, Pankaj', 'McHugh, Kirsty', 'Pereira, Branca I', 'Maan, Balraj S', 'Garstka, Malgorzata A', 'Bowness, Paul', 'Blake, Neil', 'Powis, Simon J', 'Gould, Keith', 'Nesbeth, Darren', 'Antoniou, Antony N']","['antigen presentation', 'genes, mhc class i', ' hla-b27 antigen genetics', ' histocompatibility antigens class i genetics', 'humans', 'molecular chaperones genetics', 'peptides genetics', 'f pocket', 'hla-b27', 'hla-b27 alleles', 'mhc class i misfolding', 'ankylosying spondylitis', 'single chain trimers']",Intrinsic Folding Properties of the HLA-B27 Heavy Chain Revealed by Single Chain Trimer Versions of Peptide-Loaded Class I Major Histocompatibility Complex Molecules.,"Peptide-loaded Major Histocompatibility Complex (pMHC) class I molecules can be expressed in a single chain trimeric (SCT) format, composed of a specific peptide fused to the light chain beta-2 microglobulin (β2m) and MHC class I heavy chain (HC) by flexible linker peptides. pMHC SCTs have been used as effective molecular tools to investigate cellular immunity and represent a promising vaccine platform technology, due to their intracellular folding and assembly which is apparently independent of host cell folding pathways and chaperones. However, certain MHC class I HC molecules, such as the Human Leukocyte Antigen B27 (HLA-B27) allele, present a challenge due to their tendency to form HC aggregates. We constructed a series of single chain trimeric molecules to determine the behaviour of the HLA-B27 HC in a scenario that usually allows for efficient MHC class I molecule folding. When stably expressed, a pMHC SCT incorporating HLA-B27 HC formed chaperone-bound homodimers within the endoplasmic reticulum (ER). A series of HLA-B27 SCT substitution mutations revealed that the F pocket and antigen binding groove regions of the HLA-B27 HC defined the folding and dimerisation of the single chain complex, independently of the peptide sequence. Furthermore, pMHC SCTs can demonstrate variability in their association with the intracellular antigen processing machinery."
2022 Feb,Heliyon,Heliyon. 2022 Feb 3;8(2):e08891. doi: 10.1016/j.heliyon.2022.e08891. eCollection ,"['Borg, Yanika', 'Alsford, Sam', 'Pavlika, Vasos', 'Zaikin, Alexei', 'Nesbeth, Darren N']","['live cell imaging', 'oscillation', 'synthetic biology', 'synthetic gene networks', 'trypanosoma brucei']",Synthetic biology tools for engineering Goodwin oscillation in Trypanosoma brucei brucei.,"Kinetoplastid protozoa possess properties that are highly divergent from the mammalian, yeast and bacterial cells more commonly used in synthetic biology and represent a tantalisingly untapped source of bioengineering potential. Trypanosoma brucei brucei (T. b. brucei), an established model organism for studying the Kinetoplastida, is non-pathogenic to humans and provides an interesting test case for establishing synthetic biology in this phylogenetic class. To demonstrate further the tractability of Kinetoplastida to synthetic biology, we sought to construct and demonstrate a Goodwin oscillator, the simplest oscillatory gene network, in T. b. brucei for the first time. We report one completed iteration of the archetypal synthetic biology Design-Build-Test-Learn (DBTL) cycle; firstly, using Ab initio mathematical modelling of the behaviour a theoretical, oscillatory, trypanosomal synthetic gene network (SGN) to inform the design of a plasmid encoding that network. Once assembled, the plasmid was then used to generate a stable transfectant T. b. brucei cell line. To test the performance of the oscillatory SGN, a novel experimental setup was established to capture images of the fluorescent signal from motion-restricted live cells. Data captured were consistent with oscillatory behaviour of the SGN, with cellular fluorescence observed to oscillate with a period of 50 min, with varying amplitude and linear growth trend. This first DBTL cycle establishes a foundation for future cycles in which the SGN design and experimental monitoring setup can be further refined."
2022 Mar 30,Food chemistry,Food Chem. 2022 Mar 30;373(Pt B):131474. doi: 10.1016/j.foodchem.2021.131474. ,"['Panzella, Lucia', 'Benning, Kenneth', 'Nesbeth, Darren N', 'Setaro, Brunella', ""D'Errico, Gerardino"", 'Napolitano, Alessandra', ""d'Ischia, Marco""]","['animals', 'chromatography, high pressure liquid', 'mass spectrometry', ' melanins', ' pigmentation', 'black caviar', 'electron paramagnetic resonance (epr)', 'melanin', 'pyrrole-2,3,5-tricarboxylic acid (ptca)', 'sturgeon roe']",Identification of black sturgeon caviar pigment as eumelanin.,"Reported herein is the purification of the pigment of black sturgeon caviar and its unambiguous identification as a typical eumelanin by means of chemical degradation coupled with electron paramagnetic resonance (EPR) evidence. HPLC and LC-MS analysis of oxidative degradation mixtures revealed the formation of pyrrole-2,3,5-tricarboxylic acid (PTCA), a specific marker of eumelanin pigments, in yields compatible with a 6.5% w/w pigment content. EPR spectral features and parameters were in close agreement with those reported for a typical natural eumelanin such as Sepia melanin from squid ink. The identification for the first time of eumelanin in a fish roe is expected to provide a novel molecular basis for the valorization of black caviar and production wastes thereof in food chemistry and diet."
2020,Frontiers in bioengineering and biotechnology,Front Bioeng Biotechnol. 2020 Oct 6;8:571672. doi: 10.3389/fbioe.2020.571672. ,"['Elgabry, Mariam', 'Nesbeth, Darren', 'Johnson, Shane D']","['biocrime', 'biosecurity', 'crime harvest', 'crime science', 'cyberbiosecurity', 'synthetic biology', 'systematic review']",A Systematic Review of the Criminogenic Potential of Synthetic Biology and Routes to Future Crime Prevention.,"Synthetic biology has the potential to positively transform society in many application areas, including medicine. In common with all revolutionary new technologies, synthetic biology can also enable crime. Like cybercrime, that emerged following the advent of the internet, biocrime can have a significant effect on society, but may also impact on peoples' health. For example, the scale of harm caused by the SARS-CoV-2 pandemic illustrates the potential impact of future biocrime and highlights the need for prevention strategies. Systematic evidence quantifying the crime opportunities posed by synthetic biology has to date been very limited. Here, we systematically reviewed forms of crime that could be facilitated by synthetic biology with a view to informing their prevention. A total of 794 articles from four databases were extracted and a three-step screening phase resulted in 15 studies that met our threshold criterion for thematic synthesis. Within those studies, 13 exploits were identified. Of these, 46% were dependent on technologies characteristic of synthetic biology. Eight potential crime types emerged from the studies: bio-discrimination, cyber-biocrime, bio-malware, biohacking, at-home drug manufacturing, illegal gene editing, genetic blackmail, and neuro-hacking. 14 offender types were identified. For the most commonly identified offenders (>3 mentions) 40% were outsider threats. These observations suggest that synthetic biology presents substantial new offending opportunities. Moreover, that more effective engagement, such as ethical hacking, is needed now to prevent a crime harvest from developing in the future. A framework to address the synthetic biology crime landscape is proposed."
2020,Journal of genetics,J Genet. 2020;99:49.,"['Henríquez, Maria-José', 'Cardós-Elena, Rosalía Paula', 'Nesbeth, Darren Nicholas']","['data mining  methods', 'fungal proteins genetics  metabolism', ' gene expression profiling', ' genome, fungal', 'genomics  methods', 'molecular sequence annotation', 'phylogeny', 'saccharomycetales enzymology  genetics growth & development', 'terminology as topic', 'transaminases genetics  metabolism']",Genomic data mining reveals the transaminase repertoire of Komagataella phaffii (Pichia pastoris) strain GS115 and supports a systematic nomenclature.,"Transaminases are an industrially important class of enzyme, due to their ability to catalyse amination reactions for production of chiral amines, and are key building blocks of small molecule pharmaceuticals. We analysed the genome of strain GS115 of the methylotrophic yeast Komagataella phaffii, formerly known as Pichia pastoris, to identify the transaminase genes and propose a systematic nomenclature based on both phylogeny and structuro-functional features. K. phaffii is an increasingly attractive industrial host cell due to its ability to grow to high biomass, up to 60% wet cell weight by volume, using methanol as carbon source and inducer of transgene expression. Thirty-nine UniProt database hits were reduced to 19 on the basis of sequence similarity and hidden Markov model. Of the 19 genes, the open-reading frames of three (KpTam I-II.1b, KpTam I-II.7 and KpTam V.2) had strong homology with no characterized proteinand four (KpTam III.1a, KpTam III.1b, KpTam III.2a and KpTam III.2b) had relatively high sequence similarity to x-type transaminases, a subtype that typically accepts the broadest range of substrates. Comparison with Saccharomyces cerevisiae S288C suggested functions for KpTam I-II.1b and KpTam I-II.7. K. phaffii GS115 was originally generated by mutagenesis of K. phaffii CBS7435 and comparison revealed that one transaminase gene may have been deleted during this mutagenesis. These insights can advance fundamental understanding of yeast biology and can inform industrial screening and engineering of yeast transaminases."
