time,journal,doi_info,authors,key words,title,abstract
2023 Aug,EBioMedicine,EBioMedicine. 2023 Aug;94:104692. doi: 10.1016/j.ebiom.2023.104692. Epub 2023 Jul ,"['Murray, Aoife', 'Gough, Gillian', 'Cindrić, Ana', 'Vučković, Frano', 'Koschut, David', 'Borelli, Vincenzo', 'Petrović, Dražen J', 'Bekavac, Ana', 'Plećaš, Ante', 'Hribljan, Valentina', 'Brunmeir, Reinhard', 'Jurić, Julija', 'Pučić-Baković, Maja', 'Slana, Anita', 'Deriš, Helena', 'Frkatović, Azra', 'Groet, Jűrgen', ""O'Brien, Niamh L"", 'Chen, Hong Yu', 'Yeap, Yee Jie', 'Delom, Frederic', 'Havlicek, Steven', 'Gammon, Luke', 'Hamburg, Sarah', 'Startin, Carla', ""D'Souza, Hana"", 'Mitrečić, Dinko', 'Kero, Mijana', 'Odak, Ljubica', 'Krušlin, Božo', 'Krsnik, Željka', 'Kostović, Ivica', 'Foo, Jia Nee', 'Loh, Yuin-Han', 'Dunn, Norris Ray', 'de la Luna, Susana', 'Spector, Tim', 'Barišić, Ingeborg', 'Thomas, Michael S C', 'Strydom, Andre', 'Franceschi, Claudio', 'Lauc, Gordan', 'Krištić, Jasminka', 'Alić, Ivan', 'Nižetić, Dean']","['adult', 'humans', 'aging', 'cell differentiation', ' down syndrome genetics', ' induced pluripotent stem cells', 'dyrk kinases', 'ageing', 'chromosome 21', 'dyrk1a', 'dyrk1a inhibitors', 'down syndrome', 'down syndrome critical region', 'igg glycan', 'laminb1']",Dose imbalance of DYRK1A kinase causes systemic progeroid status in Down syndrome by increasing the un-repaired DNA damage and reducing LaminB1 levels.,"BACKGROUND: People with Down syndrome (DS) show clinical signs of accelerated ageing. Causative mechanisms remain unknown and hypotheses range from the (essentially untreatable) amplified-chromosomal-instability explanation, to potential actions of individual supernumerary chromosome-21 genes. The latter explanation could open a route to therapeutic amelioration if the specific over-acting genes could be identified and their action toned-down. METHODS: Biological age was estimated through patterns of sugar molecules attached to plasma immunoglobulin-G (IgG-glycans, an established ""biological-ageing-clock"") in n = 246 individuals with DS from three European populations, clinically characterised for the presence of co-morbidities, and compared to n = 256 age-, sex- and demography-matched healthy controls. Isogenic human induced pluripotent stem cell (hiPSCs) models of full and partial trisomy-21 with CRISPR-Cas9 gene editing and two kinase inhibitors were studied prior and after differentiation to cerebral organoids. FINDINGS: Biological age in adults with DS is (on average) 18.4-19.1 years older than in chronological-age-matched controls independent of co-morbidities, and this shift remains constant throughout lifespan. Changes are detectable from early childhood, and do not require a supernumerary chromosome, but are seen in segmental duplication of only 31 genes, along with increased DNA damage and decreased levels of LaminB1 in nucleated blood cells. We demonstrate that these cell-autonomous phenotypes can be gene-dose-modelled and pharmacologically corrected in hiPSCs and derived cerebral organoids. Using isogenic hiPSC models we show that chromosome-21 gene DYRK1A overdose is sufficient and necessary to cause excess unrepaired DNA damage. INTERPRETATION: Explanation of hitherto observed accelerated ageing in DS as a developmental progeroid syndrome driven by DYRK1A overdose provides a target for early pharmacological preventative intervention strategies. FUNDING: Main funding came from the ""Research Cooperability"" Program of the Croatian Science Foundation funded by the European Union from the European Social Fund under the Operational Programme Efficient Human Resources 2014-2020, Project PZS-2019-02-4277, and the Wellcome Trust Grants 098330/Z/12/Z and 217199/Z/19/Z (UK). All other funding is described in details in the ""Acknowledgements""."
2023,Frontiers in psychology,Front Psychol. 2023 Jun 22;14:1191893. doi: 10.3389/fpsyg.2023.1191893. ,"['Rogers, Cathy J', 'Tolmie, Andrew', 'Massonnié, Jessica', 'Thomas, Michael S C']","['creativity', 'executive control', 'methodology', 'mixed methods', 'qualitative', 'quantitative', 'triangulation']",Complex cognition and individual variability: a mixed methods study of the relationship between creativity and executive control.,"One of the methodological challenges of educational neuroscience is understanding real world cognition in the multifaceted environment of the classroom. Complex cognition does not simplify to processes (which might be satisfactorily measured in the lab) but to sets of activities, likely to vary between individuals, which involve the iterative use of multiple processes, as well as the environment, over an extended period of time. As such, studying complex cognition requires methodological flexibility; any single method is unlikely to provide complete answers. We illustrate this idea with our research exploring the relationship between executive control (EC) and creativity in primary school age children; in it, we used both qualitative and quantitative tools and a novel approach to bringing both sets of findings together. Quantitative findings helped inform 'how much' a participant could deploy EC or creative thinking, while qualitative findings told us more about 'how' they deployed EC in their creativity. Through triangulating findings, we gained insights which would have remained obscure using either approach alone; namely, first, that wide variation in how children deploy EC in creativity means that the same creative results can be achieved with very different levels of EC involvement, and second, that high levels of EC can limit creativity. We argue that, beyond the specific findings of this study, there might be useful broader methodological lessons for educational neuroscience. We also attempt to demystify mixed methods by showing that a multi-pronged approach is more feasible than many assume; for example, by using existing, familiar tools in novel ways. In our work, we redeployed well-established quantitative tests used in creativity research as stimuli for qualitative investigation. For educational neuroscience to evolve its understanding of complex cognition, we suggest it might benefit from being innovative, open-minded and ambitious in how it exploits the diversity of methodological tools available."
2023 May,Cancer medicine,Cancer Med. 2023 May;12(10):11191-11210. doi: 10.1002/cam4.5760. Epub 2023 Mar 7.,"['Kirkman, Matthew A', 'Ekert, Justyna O', 'Hunn, Benjamin H M', 'Thomas, Michael S C', 'Tolmie, Andrew K']","['adult', 'humans', 'quality of life', ' cognitive dysfunction etiology therapy', 'cognition', ' cognition disorders', ' brain neoplasms complications therapy', 'brain tumour', 'cognitive outcomes', 'interventions', 'pharmacological', 'rehabilitation']",A systematic review of cognitive interventions for adult patients with brain tumours.,"BACKGROUND: Neurocognitive impairments are common in patients with current or previously treated brain tumours, and such impairments can negatively affect patient outcomes including quality of life and survival. This systematic review aimed to identify and describe interventions used to ameliorate (improve) or prevent cognitive impairments in adults with brain tumours. METHODS: We performed a literature search of the Ovid MEDLINE, PsychINFO and PsycTESTS databases from commencement until September 2021. RESULTS: In total, 9998 articles were identified by the search strategy; an additional 14 articles were identified through other sources. Of these, 35 randomised and nonrandomised studies were deemed to meet the inclusion/exclusion criteria of our review and were subsequently included for evaluation. A range of interventions were associated with positive effects on cognition, including pharmacological agents such as memantine, donepezil, methylphenidate, modafinil, ginkgo biloba and shenqi fuzheng, and nonpharmacological interventions such as general and cognitive rehabilitation, working memory training, Goal Management Training, aerobic exercise, virtual reality training combined with computer-assisted cognitive rehabilitation, hyperbaric oxygen therapy and semantic strategy training. However, most identified studies had a number of methodological limitations and were judged to be at moderate-to-high risk of bias. In addition, it remains unclear whether and to what extent the identified interventions lead to durable cognitive benefits after cessation of the intervention. CONCLUSION: The 35 studies identified in this systematic review have indicated potential cognitive benefits for a number of pharmacological and nonpharmacological interventions in patients with brain tumours. Study limitations were identified and further studies should focus on improved study reporting, methods to reduce bias and minimise participant drop-out and withdrawal where possible, and consider standardisation of methods and interventions across studies. Greater collaboration between centres could result in larger studies with standardised methods and outcome measures, and should be a focus of future research in the field."
2022,International journal of bilingual education and bilingualism,Int J Biling Educ Biling. 2022 Apr 20;25(9):3489-3506. doi: ,"['Filippi, Roberto', 'Ceccolini, Andrea', 'Booth, Elizabeth', 'Shen, Chen', 'Thomas, Michael S C', 'Toledano, Mireille B', 'Dumontheil, Iroise']","['bilingualism', 'bilingual advantage', 'cognitive development', 'executive functions', 'multilingualism', 'working memory']",Modulatory effects of SES and multilinguistic experience on cognitive development: a longitudinal data analysis of multilingual and monolingual adolescents from the SCAMP cohort.,"Previous research has shown that cognitive development is sensitive to socio-economic status (SES) and multilinguistic experiences. However, these effects are difficult to disentangle and SES may modulate the effects of multilingualism. The present study used data from a large cohort of pupils who took part in the Study of Cognition, Adolescents and Mobile Phones (SCAMP) at ages 11-12 (T1) and 13-15 years old (T2). Cognitive measures were derived from tasks of cognitive flexibility, verbal, spatial and visuo-spatial working memory, speech processing and non-verbal reasoning. Using SES information collected through questionnaires (school type, level of deprivation, parental education and occupation), the sample was clustered into high/medium/low SES groups. Comparisons focused on 517 monolingual and 329 multilingual pupils in the high/low SES groups. Having controlled for multiple comparisons, the results indicated a significant beneficial effect of bilingualism in measures of working memory, visuo-spatial processing and non-verbal reasoning. These effects were present in both high and low SES individuals and sustained at both times of development, with a particularly significant improvement of working memory abilities in low SES bilinguals at T2 as compared to monolingual peers. Theoretical and practical implications of these findings are considered and guidance for educators is discussed."
2022 Sep 15,"Development (Cambridge, England)",Development. 2022 Sep 15;149(18):dev200654. doi: 10.1242/dev.200654. Epub 2022 ,"['DeBenedittis, Paige', 'Karpurapu, Anish', 'Henry, Albert', 'Thomas, Michael C', 'McCord, Timothy J', 'Brezitski, Kyla', 'Prasad, Anil', 'Baker, Caroline E', 'Kobayashi, Yoshihiko', 'Shah, Svati H', 'Kontos, Christopher D', 'Tata, Purushothama Rao', 'Lumbers, R Thomas', 'Karra, Ravi']","['animals', 'cell proliferation', ' endothelial cells physiology', 'heart physiology', 'humans', 'infant, newborn', 'mice', 'myocytes, cardiac metabolism', 'signal transduction', ' vascular endothelial growth factor a metabolism', 'cardiomyocyte proliferation', 'heart regeneration', 'mouse', 'myovascular']",Coupled myovascular expansion directs cardiac growth and regeneration.,"Heart regeneration requires multiple cell types to enable cardiomyocyte (CM) proliferation. How these cells interact to create growth niches is unclear. Here, we profile proliferation kinetics of cardiac endothelial cells (CECs) and CMs in the neonatal mouse heart and find that they are spatiotemporally coupled. We show that coupled myovascular expansion during cardiac growth or regeneration is dependent upon VEGF-VEGFR2 signaling, as genetic deletion of Vegfr2 from CECs or inhibition of VEGFA abrogates both CEC and CM proliferation. Repair of cryoinjury displays poor spatial coupling of CEC and CM proliferation. Boosting CEC density after cryoinjury with virus encoding Vegfa enhances regeneration. Using Mendelian randomization, we demonstrate that circulating VEGFA levels are positively linked with human myocardial mass, suggesting that Vegfa can stimulate human cardiac growth. Our work demonstrates the importance of coupled CEC and CM expansion and reveals a myovascular niche that may be therapeutically targeted for heart regeneration."
2022,Frontiers in oncology,Front Oncol. 2022 Aug 5;12:943600. doi: 10.3389/fonc.2022.943600. eCollection ,"['Kirkman, Matthew A', 'Hunn, Benjamin H M', 'Thomas, Michael S C', 'Tolmie, Andrew K']","['attention', 'brain tumor', 'cognitive function', 'executive function', 'glioma', 'memory', 'outcome']",Influences on cognitive outcomes in adult patients with gliomas: A systematic review.,"People with brain tumors, including those previously treated, are commonly affected by a range of neurocognitive impairments involving executive function, memory, attention, and social/emotional functioning. Several factors are postulated to underlie this relationship, but evidence relating to many of these factors is conflicting and does not fully explain the variation in cognitive outcomes seen in the literature and in clinical practice. To address this, we performed a systematic literature review to identify and describe the range of factors that can influence cognitive outcomes in adult patients with gliomas. A literature search was performed of Ovid MEDLINE, PsychINFO, and PsycTESTS from commencement until September 2021. Of 9,998 articles identified through the search strategy, and an additional 39 articles identified through other sources, 142 were included in our review. The results confirmed that multiple factors influence cognitive outcomes in patients with gliomas. The effects of tumor characteristics (including location) and treatments administered are some of the most studied variables but the evidence for these is conflicting, which may be the result of methodological and study population differences. Tumor location and laterality overall appear to influence cognitive outcomes, and detection of such an effect is contingent upon administration of appropriate cognitive tests. Surgery appears to have an overall initial deleterious effect on cognition with a recovery in most cases over several months. A large body of evidence supports the adverse effects of radiotherapy on cognition, but the role of chemotherapy is less clear. To contrast, baseline cognitive status appears to be a consistent factor that influences cognitive outcomes, with worse baseline cognition at diagnosis/pre-treatment correlated with worse long-term outcomes. Similarly, much evidence indicates that anti-epileptic drugs have a negative effect on cognition and genetics also appear to have a role. Evidence regarding the effect of age on cognitive outcomes in glioma patients is conflicting, and there is insufficient evidence for gender and fatigue. Cognitive reserve, brain reserve, socioeconomic status, and several other variables discussed in this review, and their influence on cognition and recovery, have not been well-studied in the context of gliomas and are areas for focus in future research. SYSTEMATIC REVIEW REGISTRATION: https://www.crd.york.ac.uk/prospero/, identifier CRD42017072976."
2022 Jul 1,Biosensors & bioelectronics,Biosens Bioelectron. 2022 Jul 1;207:114133. doi: 10.1016/j.bios.2022.114133. Epub ,"['Miller, Benjamin S', 'Thomas, Michael R', 'Banner, Matthew', 'Kim, Jeongyun', 'Chen, Yiyun', 'Wei, Qingshan', 'Tseng, Derek K', 'Göröcs, Zoltán S', 'Ozcan, Aydogan', 'Stevens, Molly M', 'McKendry, Rachel A']","[' biosensing techniques methods', 'biotin', 'gold', 'limit of detection', ' metal nanoparticles', 'biosensors', 'imaging', 'lateral flow', 'nanoparticles']",Sub-picomolar lateral flow antigen detection with two-wavelength imaging of composite nanoparticles.,"Lateral flow tests, commonly based on metal plasmonic nanoparticles, are rapid, robust, and low-cost. However, improvements in analytical sensitivity are required to allow detection of low-abundance biomarkers, for example detection of low antigen concentrations for earlier or asymptomatic diagnosis of infectious diseases. Efforts to improve sensitivity often require changes to the assay. Here, we developed optical methods to improve the sensitivity of absorption-based lateral flow tests, requiring no assay modifications to existing tests. We experimentally compared five different lock-in and subtraction-based methods, exploiting the narrow plasmonic peak of gold nanoparticles for background removal by imaging at different light wavelengths. A statistical framework and three fitting models were used to compare limits of detection, giving a 2.0-5.4-fold improvement. We then demonstrated the broad applicability of the method to an ultrasensitive assay, designing 530 nm composite nanoparticles to increase the particle volume, and therefore light absorption per particle, whilst retaining the plasmonic peak to allow background removal and without adding any assay steps. This multifaceted, modular approach gave a combined 58-fold improvement in the fundamental limit of detection using a biotin-avidin model over 50 nm gold nanoparticles with single-wavelength imaging. Applying to a sandwich assay for the detection of HIV capsid protein gave a limit of detection of 170 fM. Additionally, we developed an open-source software tool for performing the detection limit analysis used in this work."
2022 Mar 8,BMC gastroenterology,BMC Gastroenterol. 2022 Mar 8;22(1):111. doi: 10.1186/s12876-022-02173-5.,"['Aagaard, Niels Kristian', 'Malago, Massimo', 'De Gottardi, Andrea', 'Thomas, Michael', 'Sauter, Gerd', 'Engelmann, Cornelius', 'Aranovich, David', 'Cohen, Michal', 'Thévenot, Thierry', 'Ehmann, Thomas', 'Capel, Jeroen', 'Angeli, Paolo', 'Jalan, Rajiv', 'Stirnimann, Guido']","[' ascites etiology therapy', 'humans', ' liver cirrhosis complications surgery', 'paracentesis', 'urinary bladder', 'alfapump', 'ascites', 'cirrhosis', 'implantation', 'long-term antibiotics', 'medical device', 'paracentesis', 'patient management', 'refractory ascites', 'tipss']",Consensus care recommendations for alfapump(®) in cirrhotic patients with refractory or recurrent ascites.,"BACKGROUND: The alfapump(®) is an implantable class III medical device that pumps ascitic fluid from the peritoneal space to the urinary bladder from where it is excreted. The pump reduces or abrogates the need for repeated paracentesis in patients with recurrent or refractory ascites. AIMS: To improve outcomes for alfapump(®) implantation and pre- and post-implant patient management in both clinical trial and real-world settings by development of consensus recommendations. METHODS: The alfapump(®) working group consisting of hepatologists and surgeons with extensive experience in implantation of the alfapump(®) and patient management met on two occasions: (1) to determine the key areas where recommendations should be made; and (2) to discuss the experiences of the working group within those areas and formulate draft statements. Developed statements were submitted to the group and consensus sought on relevance and wording through a collaborative iterative approach in order to consolidate the recommendations into consensus statements. Only recommendations agreed upon unanimously were included. RESULTS: Twenty-three consensus recommendations were developed in the areas of pre-implantation procedure, (three statements), surgical implant procedure (11 statements), immediate post-implant care (three statements) and long-term management (six statements). CONCLUSIONS: The consensus statements are a valuable reference resource for physicians managing patients with the alfapump(®) and for those considering management strategies for patients with refractory ascites."
2021 Dec,Current opinion in chemical engineering,Curr Opin Chem Eng. 2021 Dec;34:None. doi: 10.1016/j.coche.2021.100758.,"['Banner, Matthew', 'Alosert, Haneen', 'Spencer, Christopher', 'Cheeks, Matthew', 'Farid, Suzanne S', 'Thomas, Michael', 'Goldrick, Stephen']",[],A decade in review: use of data analytics within the biopharmaceutical sector.,"There are large amounts of data generated within the biopharmaceutical sector. Traditionally, data analysis methods labelled as multivariate data analysis have been the standard statistical technique applied to interrogate these complex data sets. However, more recently there has been a surge in the utilisation of a broader set of machine learning algorithms to further exploit these data. In this article, the adoption of data analysis techniques within the biopharmaceutical sector is evaluated through a review of journal articles and patents published within the last ten years. The papers objectives are to identify the most dominant algorithms applied across different applications areas within the biopharmaceutical sector and to explore whether there is a trend between the size of the data set and the algorithm adopted."
2021 Oct 12,Langmuir : the ACS journal of surfaces and colloids,Langmuir. 2021 Oct 12;37(40):11909-11921. doi: 10.1021/acs.langmuir.1c02076. Epub ,"['Nele, Valeria', 'Holme, Margaret N', 'Rashid, M Harunur', 'Barriga, Hanna M G', 'Le, Tu C', 'Thomas, Michael R', 'Doutch, James J', 'Yarovsky, Irene', 'Stevens, Molly M']","[' 1,2-dipalmitoylphosphatidylcholine', 'cations', ' ethanol', 'phosphatidylcholines', 'scattering, small angle']",Design of Lipid-Based Nanocarriers via Cation Modulation of Ethanol-Interdigitated Lipid Membranes.,"Short-chain alcohols (i.e., ethanol) can induce membrane interdigitation in saturated-chain phosphatidylcholines (PCs). In this process, alcohol molecules intercalate between phosphate heads, increasing lateral separation and favoring hydrophobic interactions between opposing acyl chains, which interpenetrate forming an interdigitated phase. Unraveling mechanisms underlying the interactions between ethanol and model lipid membranes has implications for cell biology, biochemistry, and for the formulation of lipid-based nanocarriers. However, investigations of ethanol-lipid membrane systems have been carried out in deionized water, which limits their applicability. Here, using a combination of small- and wide-angle X-ray scattering, small-angle neutron scattering, and all-atom molecular dynamics simulations, we analyzed the effect of varying CaCl(2) and NaCl concentrations on ethanol-induced interdigitation. We observed that while ethanol addition leads to the interdigitation of bulk phase 1,2-dipalmitoyl-sn-glycero-3-phosphocholine (DPPC) bilayers in the presence of CaCl(2) and NaCl regardless of the salt concentration, the ethanol-induced interdigitation of vesicular DPPC depends on the choice of cation and its concentration. These findings unravel a key role for cations in the ethanol-induced interdigitation of lipid membranes in either bulk phase or vesicular form."
