time,journal,doi_info,authors,key words,title,abstract
2020 Nov,Cancer gene therapy,Cancer Gene Ther. 2020 Nov;27(10-11):799-809. doi: 10.1038/s41417-019-0157-z. ,"['Papathanasiou, Maria M', 'Stamatis, Christos', 'Lakelin, Matthew', 'Farid, Suzanne', 'Titchener-Hooker, Nigel', 'Shah, Nilay']","['humans', 'immunotherapy, adoptive  methods', 'receptors, chimeric antigen  metabolism']",Autologous CAR T-cell therapies supply chain: challenges and opportunities?,"Chimeric antigen receptor (CAR) T cells are considered a potentially disruptive cancer therapy, showing highly promising results. Their recent success and regulatory approval (both in the USA and Europe) are likely to generate a rapidly increasing demand and a need for the design of robust and scalable manufacturing and distribution models that will ensure timely and cost-effective delivery of the therapy to the patient. However, there are challenging tasks as these therapies are accompanied by a series of constraints and particularities that need to be taken into consideration in the decision-making process. Here, we present an overview of the current state of the art in the CAR T cell market and present novel concepts that can debottleneck key elements of the current supply chain model and, we believe, help this technology achieve its long-term potential."
2019 Jul 5,Journal of chromatography. A,J Chromatogr A. 2019 Jul 5;1596:104-116. doi: 10.1016/j.chroma.2019.03.005. Epub ,"['Stamatis, Christos', 'Goldrick, Stephen', 'Gruber, David', 'Turner, Richard', 'Titchener-Hooker, Nigel J', 'Farid, Suzanne S']","['antibodies  isolation & purification', 'chemistry techniques, analytical  methods', ' chromatography', 'decision making', 'multivariate analysis', 'research design', 'software', 'workflow', 'chromatographic antibody purification', 'decision-support tools', 'design of experiments', 'high-throughput process development', 'monte carlo simulations']",High throughput process development workflow with advanced decision-support for antibody purification.,"Chromatography remains the workhorse in antibody purification; however process development and characterisation still require significant resources. The high number of operating parameters involved requires extensive experimentation, traditionally performed at small- and pilot-scale, leading to demands in terms of materials and time that can be a challenge. The main objective of this research was the establishment of a novel High Throughput Process Development (HTPD) workflow combining scale-down chromatography experimentation with advanced decision-support techniques in order to minimise the consumption of resources and accelerate the development timeframe. Additionally, the HTPD workflow provides a framework to rapidly manipulate large datasets in an automated fashion. The central component of the HTPD workflow is the systematic integration of a microscale chromatography experimentation strategy with an advanced chromatogram evaluation method, design of experiments (DoE) and multivariate data analysis. The outputs of this are leveraged into the screening and optimisation components of the workflow. For the screening component, a decision-support tool was developed combining different multi-criteria decision-making techniques to enable a fair comparison of a number of CEX resin candidates and determine those that demonstrate superior purification performance. This provided a rational methodology for screening chromatography resins and process parameters. For the optimisation component, the workflow leverages insights provided through screening experimentation to guide subsequent DoE experiments so as to tune significant process parameters for the selected resin. The resulting empirical correlations are linked to a stochastic modelling technique so as to predict the optimal and most robust chromatographic process parameters to achieve the desired performance criteria."
2018 Sep 12,Separation and purification technology,Sep Purif Technol. 2018 Sep 12;203:178-184. doi: 10.1016/j.seppur.2018.04.041. ,"['Torres-Acosta, Mario A', 'Pereira, Jorge F B', 'Freire, Mara G', 'Aguilar-Yáñez, José M', 'Coutinho, João A P', 'Titchener-Hooker, Nigel J', 'Rito-Palomares, Marco']","['aqueous two-phase system (atps)', 'economic analysis', 'ionic liquids', 'monte carlo simulations', 'tetracycline']",Economic evaluation of the primary recovery of tetracycline with traditional and novel aqueous two-phase systems.,"Antibiotics are a key pharmaceutical to inhibit growth or kill microorganisms. They represent a profitable market and, in particular, tetracycline has been listed as an essential medicine by the WHO. Therefore it is important to improve their production processes. Recently novel and traditional aqueous two-phase systems for the extraction have been developed with positive results. The present work performs an economic analysis of the production and recovery of tetracycline through the use of several ATPS through bioprocess modeling using specialized software (BioSolve, Biopharm Services Ltd, UK) to determine production costs per gram (CoG/g). First, a virtual model was constructed using published data on the recovery of tetracycline and extended to incorporate uncertainties. To determine how the model behaved, a sensitivity analysis and Monte Carlo simulations were performed. Results showed that ATPS formed by cholinium chloride/K(3)PO(4) was the best option to recover tetracycline, as it had the lowest CoG/g (US$ 672.83/g), offered the highest recovery yield (92.42%), second best sample input capacity (45% of the ATPS composition) and one of the lowest materials contribution to cost. The ionic liquid-based method of ATPS is a promising alternative for recovering tetracycline from fermentation broth."
2018 Nov,Biotechnology progress,Biotechnol Prog. 2018 Nov;34(6):1393-1406. doi: 10.1002/btpr.2673. Epub 2018 Oct ,"['Konstantinidis, Spyridon', 'Welsh, John P', 'Titchener-Hooker, Nigel J', 'Roush, David J', 'Velayudhan, Ajoy']","[' algorithms', 'biotechnology  methods', 'chromatography  methods', 'high-throughput screening assays', 'pareto front', 'simplex optimization', 'chromatography', 'design of experiments', 'desirability', 'high throughput bioprocess development', 'multi-objective optimization']",Data-driven multi-objective optimization via grid compatible simplex technique and desirability approach for challenging high throughput chromatography applications.,"Recently, a grid compatible Simplex variant has been demonstrated to identify optima consistently and rapidly in challenging high throughput (HT) applications in early bioprocess development. Here, this method is extended by deploying it to multi-objective optimization problems. Three HT chromatography case studies are presented, each posing challenging early development situations and including three responses which were amalgamated by the adoption of the desirability approach. The suitability of a design of experiments (DoE) methodology per case study, using regression analysis in addition to the desirability approach, was evaluated for a large number of weights and in the presence of stringent and lenient performance requirements. Despite the adoption of high-order models, this approach had low success in identification of the optimal conditions. For the deployment of the Simplex approach, the deterministic specification of the weights of the merged responses was avoided by including them as inputs in the formulated multi-objective optimization problem, facilitating this way the decision making process. This, and the ability of the Simplex method to locate optima, rendered the presented approach highly successful in delivering rapidly operating conditions, which belonged to the Pareto set and offered a superior and balanced performance across all outputs compared to alternatives. Moreover, its performance was relatively independent of the starting conditions and required sub-minute computations despite its higher order mathematical functionality compared to DoE techniques. These evidences support the suitability of the grid compatible Simplex method for early bioprocess development studies involving complex data trends over multiple responses. © 2018 The Authors Biotechnology Progress published by Wiley Periodicals, Inc. on behalf of American Institute of Chemical Engineers Biotechnol. Prog., 34:1393-1406, 2018."
2018 Jul,"Journal of chemical technology and biotechnology (Oxford, Oxfordshire : 1986)",J Chem Technol Biotechnol. 2018 Jul;93(7):1959-1965. doi: 10.1002/jctb.5411. Epub ,"['Kong, Darryl Yc', 'Gerontas, Spyridon', 'McCluckie, Ross A', 'Mewies, Martin', 'Gruber, David', 'Titchener-Hooker, Nigel J']","['hetp', 'sepharose cl‐6b', 'bed compression', 'preparative chromatography', 'protein separation', 'size exclusion chromatography']",Effects of bed compression on protein separation on gel filtration chromatography at bench and pilot scale.,"BACKGROUND: Poorly packed chromatography columns are known to reduce drastically the column efficiency and produce broader peaks. Controlled bed compression has been suggested to be a useful approach for solving this problem. Here the relationship between column efficiency and resolution of protein separation are examined when preparative chromatography media were compressed using mechanical and hydrodynamic methods. Sepharose CL-6B, an agarose based size exclusion media was examined at bench and pilot scale. The asymmetry and height equivalent of a theoretical plate (HETP) was determined by using 2% v/v acetone, whereas the void volume and intraparticle porosity (ϵ (p)) were estimated by using blue dextran. A protein mixture of ovalbumin (chicken), bovine serum albumin (BSA) and γ'- globulin (bovine) with molecular weights of 44, 67 and 158 kDa, respectively, were used as a 'model' separation challenge. RESULTS: Mechanical compression achieved a reduction in plate height for the column with a concomitant improvement in asymmetry. Furthermore, the theoretical plate height decreased significantly with mechanical compression resulting in a 40% improvement in purity compared with uncompressed columns at the most extreme conditions of compression used. CONCLUSION: The results suggest that the mechanical bed compression of Sepharose CL-6B can be used to improve the resolution of protein separation. © 2017 The Authors. Journal of Chemical Technology & Biotechnology published by John Wiley & Sons Ltd on behalf of Society of Chemical Industry."
2018,Advances in biochemical engineering/biotechnology,Adv Biochem Eng Biotechnol. 2018;165:95-114. doi: 10.1007/10_2016_54.,"['Turner, Richard', 'Joseph, Adrian', 'Titchener-Hooker, Nigel', 'Bender, Jean']","[' antibodies', ' biotechnology methods', ' cell culture techniques standards', 'centrifugation', 'filtration', ' proteins', 'capillary shear', 'centrifugation', 'continuous centrifugation', 'depth filter', 'disk-stack centrifuge', 'filter capacity', 'harvest', 'mammalian cell', 'primary recovery', 'scale-down', 'sigma factor', 'single-use centrifuge', 'tangential flow filtration']",Manufacturing of Proteins and Antibodies: Chapter Downstream Processing Technologies.,"Cell harvesting is the separation or retention of cells and cellular debris from the supernatant containing the target molecule Selection of harvest method strongly depends on the type of cells, mode of bioreactor operation, process scale, and characteristics of the product and cell culture fluid. Most traditional harvesting methods use some form of filtration, centrifugation, or a combination of both for cell separation and/or retention. Filtration methods include normal flow depth filtration and tangential flow microfiltration. The ability to scale down predictably the selected harvest method helps to ensure successful production and is critical for conducting small-scale characterization studies for confirming parameter targets and ranges. In this chapter we describe centrifugation and depth filtration harvesting methods, share strategies for harvest optimization, present recent developments in centrifugation scale-down models, and review alternative harvesting technologies."
2017 Aug,Biotechnology journal,Biotechnol J. 2017 Aug;12(8). doi: 10.1002/biot.201700174. Epub 2017 Jul 19.,"['Konstantinidis, Spyridon', 'Titchener-Hooker, Nigel', 'Velayudhan, Ajoy']","['algorithms', 'antibodies, monoclonal  chemistry isolation & purification', ' chromatography', 'computer simulation', ' high-throughput screening assays', ' research design', 'categorical variables', 'chromatography', 'filter plates', 'high throughput bioprocess development', 'robocolumns', 'simplex optimization']",Simplex-based optimization of numerical and categorical inputs in early bioprocess development: Case studies in HT chromatography.,"Bioprocess development studies often involve the investigation of numerical and categorical inputs via the adoption of Design of Experiments (DoE) techniques. An attractive alternative is the deployment of a grid compatible Simplex variant which has been shown to yield optima rapidly and consistently. In this work, the method is combined with dummy variables and it is deployed in three case studies wherein spaces are comprised of both categorical and numerical inputs, a situation intractable by traditional Simplex methods. The first study employs in silico data and lays out the dummy variable methodology. The latter two employ experimental data from chromatography based studies performed with the filter-plate and miniature column High Throughput (HT) techniques. The solute of interest in the former case study was a monoclonal antibody whereas the latter dealt with the separation of a binary system of model proteins. The implemented approach prevented the stranding of the Simplex method at local optima, due to the arbitrary handling of the categorical inputs, and allowed for the concurrent optimization of numerical and categorical, multilevel and/or dichotomous, inputs. The deployment of the Simplex method, combined with dummy variables, was therefore entirely successful in identifying and characterizing global optima in all three case studies. The Simplex-based method was further shown to be of equivalent efficiency to a DoE-based approach, represented here by D-Optimal designs. Such an approach failed, however, to both capture trends and identify optima, and led to poor operating conditions. It is suggested that the Simplex-variant is suited to development activities involving numerical and categorical inputs in early bioprocess development."
2017 Jul,Biotechnology progress,Biotechnol Prog. 2017 Jul;33(4):1116-1126. doi: 10.1002/btpr.2479. Epub 2017 May ,"['Liu, Songsong', 'Gerontas, Spyridon', 'Gruber, David', 'Turner, Richard', 'Titchener-Hooker, Nigel J', 'Papageorgiou, Lazaros G']","['chromatography  methods', 'high-throughput screening assays', 'humans', 'immunoglobulin fc fragments chemistry  isolation & purification', 'recombinant fusion proteins chemistry  isolation & purification', 'resins, synthetic  chemistry', ""dinkelbach's algorithm"", 'multiobjective optimization', 'purification process development', 'resin selection', 'ε-constraint method']",Optimization-based framework for resin selection strategies in biopharmaceutical purification process development.,"This work addresses rapid resin selection for integrated chromatographic separations when conducted as part of a high-throughput screening exercise during the early stages of purification process development. An optimization-based decision support framework is proposed to process the data generated from microscale experiments to identify the best resins to maximize key performance metrics for a biopharmaceutical manufacturing process, such as yield and purity. A multiobjective mixed integer nonlinear programming model is developed and solved using the ε-constraint method. Dinkelbach's algorithm is used to solve the resulting mixed integer linear fractional programming model. The proposed framework is successfully applied to an industrial case study of a process to purify recombinant Fc Fusion protein from low molecular weight and high molecular weight product related impurities, involving two chromatographic steps with eight and three candidate resins for each step, respectively. The computational results show the advantage of the proposed framework in terms of computational efficiency and flexibility. © 2017 The Authors Biotechnology Progress published by Wiley Periodicals, Inc. on behalf of American Institute of Chemical Engineers Biotechnol. Prog., 33:1116-1126, 2017."
2018 Jan,Research in social & administrative pharmacy : RSAP,Res Social Adm Pharm. 2018 Jan;14(1):86-95. doi: 10.1016/j.sapharm.2017.02.003. ,"['Tetteh, Ebenezer K', 'Morris, Steve', 'Titchener-Hooker, Nigel']","['attitude of health personnel', 'biological factors administration & dosage economics', 'choice behavior', 'drug administration routes', 'drug costs', ' drug delivery systems', 'drug industry economics', 'female', 'health personnel psychology  statistics & numerical data', 'humans', 'male', 'middle aged', ' models, statistical', 'pharmaceutical preparations  administration & dosage economics', 'surveys and questionnaires', 'united states', 'discrete-choice experiments', 'drug administration', 'manufacturing', 'product differentiation']",Estimating preferences for modes of drug administration: The case of US healthcare professionals.,"BACKGROUND: There are hidden drug administration costs that arise from a mismatch between end-user preferences and how manufacturers choose to formulate their drug products for delivery to patients. The corollary of this is: there are ""intangible benefits"" from considering end-user preferences in manufacturing patient-friendly medicines. It is important then to have some idea of what pharmaceutical manufacturers should consider in making patient-friendly medicines and of the magnitude of the indirect benefits from doing so. OBJECTIVES: This study aimed to evaluate preferences of healthcare professionals in the US for the non-monetary attributes of different modes of drug administration. It uses these preference orderings to compute a monetary valuation of the indirect benefits from making patient-friendly medicines. METHODS: A survey collected choice preferences of a sample of 210 healthcare professionals in the US for two unlabelled drug options. These drugs were identical except in the levels of attributes of drug administration. Using the choice data collected, statistical models were estimated to compute gross welfare benefits, measured by the expected compensating variation, from making drugs in a more patient-friendly manner. RESULTS: The monetary value of end-user benefits from developing patient-friendly drug delivery systems is: (1) as large as the annual acquisition costs per full treatment episode for some biologic drugs; and (2) likely to fall in the ""high end"" of the distribution of the direct monetary costs of drug administration. CONCLUSIONS: An examination of end-user preferences should help manufacturers make more effective and efficient use of limited resources for innovations in drug delivery system, or manufacturing research in general."
2017 May,Biotechnology journal,Biotechnol J. 2017 May;12(5). doi: 10.1002/biot.201600730. Epub 2017 Mar 22.,"['Joseph, Adrian', 'Goldrick, Stephen', 'Mollet, Michael', 'Turner, Richard', 'Bender, Jean', 'Gruber, David', 'Farid, Suzanne S', 'Titchener-Hooker, Nigel']","['animals', 'automation, laboratory instrumentation  methods', 'biomechanical phenomena', 'biotechnology', 'cho cells', 'cell culture techniques instrumentation  methods', 'centrifugation', 'cricetinae', 'cricetulus', 'equipment design', 'capillary shear', 'disk-stack centrifuge', 'energy dissipation rate', 'mammalian cell', 'scale-down']",An automated laboratory-scale methodology for the generation of sheared mammalian cell culture samples.,"Continuous disk-stack centrifugation is typically used for the removal of cells and cellular debris from mammalian cell culture broths at manufacturing-scale. The use of scale-down methods to characterise disk-stack centrifugation performance enables substantial reductions in material requirements and allows a much wider design space to be tested than is currently possible at pilot-scale. The process of scaling down centrifugation has historically been challenging due to the difficulties in mimicking the Energy Dissipation Rates (EDRs) in typical machines. This paper describes an alternative and easy-to-assemble automated capillary-based methodology to generate levels of EDRs consistent with those found in a continuous disk-stack centrifuge. Variations in EDR were achieved through changes in capillary internal diameter and the flow rate of operation through the capillary. The EDRs found to match the levels of shear in the feed zone of a pilot-scale centrifuge using the experimental method developed in this paper (2.4×10(5) W/Kg) are consistent with those obtained through previously published computational fluid dynamic (CFD) studies (2.0×10(5) W/Kg). Furthermore, this methodology can be incorporated into existing scale-down methods to model the process performance of continuous disk-stack centrifuges. This was demonstrated through the characterisation of culture hold time, culture temperature and EDRs on centrate quality."
