time,journal,doi_info,authors,key words,title,abstract
2024 Apr 25,Advanced functional materials,Adv Funct Mater. 2024 Apr 25;34(17):2309567. doi: 10.1002/adfm.202309567. Epub ,"['Li, Linqing', 'Griebel, Megan E', 'Uroz, Marina', 'Bubli, Saniya Yesmin', 'Gagnon, Keith A', 'Trappmann, Britta', 'Baker, Brendon M', 'Eyckmans, Jeroen', 'Chen, Christopher S']","['cell adhesion', 'dextran', 'extra-cellular matrix', 'hydrogel', 'non-swelling', 'protein adsorbent', 'tissue culture']",A Protein-Adsorbent Hydrogel with Tunable Stiffness for Tissue Culture Demonstrates Matrix-Dependent Stiffness Responses.,"Although tissue culture plastic has been widely employed for cell culture, the rigidity of plastic is not physiologic. Softer hydrogels used to culture cells have not been widely adopted in part because coupling chemistries are required to covalently capture extracellular matrix (ECM) proteins and support cell adhesion. To create an in vitro system with tunable stiffnesses that readily adsorbs ECM proteins for cell culture, we present a novel hydrophobic hydrogel system via chemically converting hydroxyl residues on the dextran backbone to methacrylate groups, thereby transforming non-protein adhesive, hydrophilic dextran to highly protein adsorbent substrates. Increasing methacrylate functionality increases the hydrophobicity in the resulting hydrogels and enhances ECM protein adsorption without additional chemical reactions. These hydrophobic hydrogels permit facile and tunable modulation of substrate stiffness independent of hydrophobicity or ECM coatings. Using this approach, we show that substrate stiffness and ECM adsorption work together to affect cell morphology and proliferation, but the strengths of these effects vary in different cell types. Furthermore, we reveal that stiffness mediated differentiation of dermal fibroblasts into myofibroblasts is modulated by the substrate ECM. Our material system demonstrates remarkable simplicity and flexibility to tune ECM coatings and substrate stiffness and study their effects on cell function."
2024,PloS one,PLoS One. 2024 Mar 26;19(3):e0298863. doi: 10.1371/journal.pone.0298863. ,"['Kobeissi, Hiba', 'Jilberto, Javiera', 'Karakan, M Çağatay', 'Gao, Xining', 'DePalma, Samuel J', 'Das, Shoshana L', 'Quach, Lani', 'Urquia, Jonathan', 'Baker, Brendon M', 'Chen, Christopher S', 'Nordsletten, David', 'Lejeune, Emma']","['humans', ' induced pluripotent stem cells', 'myocytes, cardiac', 'cell culture techniques', 'cell differentiation']","MicroBundleCompute: Automated segmentation, tracking, and analysis of subdomain deformation in cardiac microbundles.","Advancing human induced pluripotent stem cell derived cardiomyocyte (hiPSC-CM) technology will lead to significant progress ranging from disease modeling, to drug discovery, to regenerative tissue engineering. Yet, alongside these potential opportunities comes a critical challenge: attaining mature hiPSC-CM tissues. At present, there are multiple techniques to promote maturity of hiPSC-CMs including physical platforms and cell culture protocols. However, when it comes to making quantitative comparisons of functional behavior, there are limited options for reliably and reproducibly computing functional metrics that are suitable for direct cross-system comparison. In addition, the current standard functional metrics obtained from time-lapse images of cardiac microbundle contraction reported in the field (i.e., post forces, average tissue stress) do not take full advantage of the available information present in these data (i.e., full-field tissue displacements and strains). Thus, we present ""MicroBundleCompute,"" a computational framework for automatic quantification of morphology-based mechanical metrics from movies of cardiac microbundles. Briefly, this computational framework offers tools for automatic tissue segmentation, tracking, and analysis of brightfield and phase contrast movies of beating cardiac microbundles. It is straightforward to implement, runs without user intervention, requires minimal input parameter setting selection, and is computationally inexpensive. In this paper, we describe the methods underlying this computational framework, show the results of our extensive validation studies, and demonstrate the utility of exploring heterogeneous tissue deformations and strains as functional metrics. With this manuscript, we disseminate ""MicroBundleCompute"" as an open-source computational tool with the aim of making automated quantitative analysis of beating cardiac microbundles more accessible to the community."
2024 Mar 20,Nature chemical biology,Nat Chem Biol. 2024 Mar 20. doi: 10.1038/s41589-024-01583-8.,"['Kumar, Roshan', 'Vitvitsky, Victor', 'Sethaudom, Apichaya', 'Singhal, Rashi', 'Solanki, Sumeet', 'Alibeckoff, Sydney', 'Hiraki, Harrison L', 'Bell, Hannah N', 'Andren, Anthony', 'Baker, Brendon M', 'Lyssiotis, Costas A', 'Shah, Yatrik M', 'Banerjee, Ruma']",[],Sulfide oxidation promotes hypoxic angiogenesis and neovascularization.,"Angiogenic programming in the vascular endothelium is a tightly regulated process for maintaining tissue homeostasis and is activated in tissue injury and the tumor microenvironment. The metabolic basis of how gas signaling molecules regulate angiogenesis is elusive. Here, we report that hypoxic upregulation of ·NO in endothelial cells reprograms the transsulfuration pathway to increase biogenesis of hydrogen sulfide (H(2)S), a proangiogenic metabolite. However, decreased H(2)S oxidation due to sulfide quinone oxidoreductase (SQOR) deficiency synergizes with hypoxia, inducing a reductive shift and limiting endothelial proliferation that is attenuated by dissipation of the mitochondrial NADH pool. Tumor xenografts in whole-body (WB(Cre)Sqor(fl/fl)) and endothelial-specific (VE-cadherin(Cre-ERT2)Sqor(fl/fl)) Sqor-knockout mice exhibit lower mass and angiogenesis than control mice. WB(Cre)Sqor(fl/fl) mice also exhibit decreased muscle angiogenesis following femoral artery ligation compared to control mice. Collectively, our data reveal the molecular intersections between H(2)S, O(2) and ·NO metabolism and identify SQOR inhibition as a metabolic vulnerability for endothelial cell proliferation and neovascularization."
2023 Oct 2,Advanced functional materials,Adv Funct Mater. 2023 Oct 2;33(40):2203715. doi: 10.1002/adfm.202203715. Epub ,"['Jewett, Maggie E', 'Hiraki, Harrison L', 'Wojasiński, Michał', 'Zhang, Zenghao', 'Xi, Susan S', 'Bluem, Amanda S', 'Prabhu, Eashan S', 'Wang, William Y', 'Pena-Francesch, Abdon', 'Baker, Brendon M']","['bioprinting', 'magnetic scaffolds', 'microfiber', 'microvasculature', 'regenerative medicine']",Rapid magnetically directed assembly of pre-patterned capillary-scale microvessels.,"Capillary scale vascularization is critical to the survival of engineered 3D tissues and remains an outstanding challenge for the field of tissue engineering. Current methods to generate micro-scale vasculature such as 3D printing, two photon hydrogel ablation, angiogenesis, and vasculogenic assembly face challenges in rapidly creating organized, highly vascularized tissues at capillary length-scales. Within metabolically demanding tissues, native capillary beds are highly organized and densely packed to achieve adequate delivery of nutrients and oxygen and efficient waste removal. Here, we adopt two existing techniques to fabricate lattices composed of sacrificial microfibers that can be efficiently and uniformly seeded with endothelial cells (ECs) by magnetizing both lattices and ECs. Ferromagnetic microparticles (FMPs) were incorporated into microfibers produced by solution electrowriting (SEW) and fiber electropulling (FEP). By loading ECs with superparamagnetic iron oxide nanoparticles (SPIONs), the cells could be seeded onto magnetized microfiber lattices. Following encapsulation in a hydrogel, the capillary templating lattice was selectively degraded by a bacterial lipase that does not impact mammalian cell viability or function. This work introduces a novel approach to rapidly producing organized capillary networks within metabolically demanding engineered tissue constructs which should have broad utility for the fields of tissue engineering and regenerative medicine."
2024 Mar 5,Advanced healthcare materials,Adv Healthc Mater. 2024 Mar 5:e2400529. doi: 10.1002/adhm.202400529.,"['Kent, Robert N 3rd', 'Jewett, Maggie E', 'Buck, Trevor P', 'Said, Mohamed', 'Hold, LeeAnn A', 'Crawford, Eileen A', 'Killian, Megan L', 'Abraham, Adam C', 'Huang, Alice H', 'Baker, Brendon M']","['electrospinning', 'fiber‐reinforced hydrogel composite', 'tendon', 'tendon progenitor cell', 'tenogenesis']",Engineered Microenvironmental Cues from Fiber-Reinforced Hydrogel Composites Drive Tenogenesis and Aligned Collagen Deposition.,"Effective tendon regeneration following injury is contingent on appropriate differentiation of recruited cells and deposition of mature, aligned, collagenous extracellular matrix that can withstand the extreme mechanical demands placed on the tissue. As such, myriad biomaterial approaches have been explored to provide biochemical and physical cues that encourage tenogenesis and template aligned matrix deposition in lieu of dysfunctional scar tissue formation. Fiber-reinforced hydrogels present an ideal biomaterial system toward this end given their transdermal injectability, tunable stiffness over a range amenable to tenogenic differentiation of progenitors, and capacity for modular inclusion of biochemical cues. Here, tunable and modular, fiber-reinforced, synthetic hydrogels are employed to elucidate salient microenvironmental determinants of tenogenesis and aligned collagen deposition by tendon progenitor cells. Transforming growth factor β3 drives a cell fate switch toward pro-regenerative or pro-fibrotic phenotypes, which can be biased toward the former by culture in softer microenvironments or inhibition of the RhoA/ROCK activity. Furthermore, studies demonstrate that topographical anisotropy in fiber-reinforced hydrogels critically mediates the alignment of de novo collagen fibrils, reflecting native tendon architecture. These findings inform the design of cell-free, injectable, synthetic hydrogels for tendon tissue regeneration and, likely, that of a range of load-bearing connective tissues."
2023 Dec 15,iScience,iScience. 2023 Nov 15;26(12):108472. doi: 10.1016/j.isci.2023.108472. eCollection ,"['Ahmed, Donia W', 'Eiken, Madeline K', 'DePalma, Samuel J', 'Helms, Adam S', 'Zemans, Rachel L', 'Spence, Jason R', 'Baker, Brendon M', 'Loebel, Claudia']","['bioengineering', 'biomaterials', 'biomechanics']",Integrating mechanical cues with engineered platforms to explore cardiopulmonary development and disease.,"Mechanical forces provide critical biological signals to cells during healthy and aberrant organ development as well as during disease processes in adults. Within the cardiopulmonary system, mechanical forces, such as shear, compressive, and tensile forces, act across various length scales, and dysregulated forces are often a leading cause of disease initiation and progression such as in bronchopulmonary dysplasia and cardiomyopathies. Engineered in vitro models have supported studies of mechanical forces in a number of tissue and disease-specific contexts, thus enabling new mechanistic insights into cardiopulmonary development and disease. This review first provides fundamental examples where mechanical forces operate at multiple length scales to ensure precise lung and heart function. Next, we survey recent engineering platforms and tools that have provided new means to probe and modulate mechanical forces across in vitro and in vivo settings. Finally, the potential for interdisciplinary collaborations to inform novel therapeutic approaches for a number of cardiopulmonary diseases are discussed."
2024 Jan,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)",Adv Sci (Weinh). 2024 Jan;11(3):e2306210. doi: 10.1002/advs.202306210. Epub 2023 ,"['Davidson, Christopher D', 'Midekssa, Firaol S', 'DePalma, Samuel J', 'Kamen, Jordan L', 'Wang, William Y', 'Jayco, Danica Kristen P', 'Wieger, Megan E', 'Baker, Brendon M']","[' endothelial cells', ' cell communication', 'extracellular matrix', 'tissue engineering', 'biocompatible materials', 'piezo1', 'trpv4', 'calcium signaling', 'electrospinning', 'endothelial cells', 'extracellular matrix', 'fibrous matrices', 'focal adhesion kinase', 'focal adhesions', 'force transmission', 'mechanical communication', 'mechanosensitive ion channels', 'vasculogenic assembly']",Mechanical Intercellular Communication via Matrix-Borne Cell Force Transmission During Vascular Network Formation.,"Intercellular communication is critical to the formation and homeostatic function of all tissues. Previous work has shown that cells can communicate mechanically via the transmission of cell-generated forces through their surrounding extracellular matrix, but this process is not well understood. Here, mechanically defined, synthetic electrospun fibrous matrices are utilized in conjunction with a microfabrication-based cell patterning approach to examine mechanical intercellular communication (MIC) between endothelial cells (ECs) during their assembly into interconnected multicellular networks. It is found that cell force-mediated matrix displacements in deformable fibrous matrices underly directional extension and migration of neighboring ECs toward each other prior to the formation of stable cell-cell connections enriched with vascular endothelial cadherin (VE-cadherin). A critical role is also identified for calcium signaling mediated by focal adhesion kinase and mechanosensitive ion channels in MIC that extends to multicellular assembly of 3D vessel-like networks when ECs are embedded within fibrin hydrogels. These results illustrate a role for cell-generated forces and ECM mechanical properties in multicellular assembly of capillary-like EC networks and motivates the design of biomaterials that promote MIC for vascular tissue engineering."
2023 Dec,Acta biomaterialia,Acta Biomater. 2023 Dec;172:123-134. doi: 10.1016/j.actbio.2023.10.025. Epub 2023 ,"['Jilberto, Javiera', 'DePalma, Samuel J', 'Lo, Jason', 'Kobeissi, Hiba', 'Quach, Lani', 'Lejeune, Emma', 'Baker, Brendon M', 'Nordsletten, David']","['humans', ' myocytes, cardiac', 'extracellular matrix', ' heart diseases', 'tissue engineering methods', 'myocardium', 'cardiac biomechanics', 'computational modeling', 'engineered heart tissues', 'mechanobiology']",A data-driven computational model for engineered cardiac microtissues.,"Engineered heart tissues (EHTs) present a potential solution to some of the current challenges in the treatment of heart disease; however, the development of mature, adult-like cardiac tissues remains elusive. Mechanical stimuli have been observed to improve whole-tissue function and cardiomyocyte (CM) maturation, although our ability to fully utilize these mechanisms is hampered, in part, by our incomplete understanding of the mechanobiology of EHTs. In this work, we leverage experimental data, produced by a mechanically tunable experimental setup, to introduce a tissue-specific computational modeling pipeline of EHTs. Our new modeling pipeline generates simulated, image-based EHTs, capturing ECM and myofibrillar structure as well as functional parameters estimated directly from experimental data. This approach enables the unique estimation of EHT function by data-based estimation of CM active stresses. We use this experimental and modeling pipeline to study different mechanical environments, where we contrast the force output of the tissue with the computed active stress of CMs. We show that the significant differences in measured experimental forces can largely be explained by the levels of myofibril formation achieved by the CMs in the distinct mechanical environments, with active stress showing more muted variations across conditions. The presented model also enables us to dissect the relative contributions of myofibrils and extracellular matrix to tissue force output, a task difficult to address experimentally. These results highlight the importance of tissue-specific modeling to augment EHT experiments, providing deeper insights into the mechanobiology driving EHT function. STATEMENT OF SIGNIFICANCE: Engineered heart tissues (EHTs) have the potential to revolutionize the way heart disease is treated. However, developing mature cardiomyocytes (CM) in these tissues remains a challenge due, in part, to our incomplete understanding of the fundamental biomechanical mechanisms that drive EHT development. This work integrates the experimental data of an EHT platform developed to study the influence of mechanics in CM maturation with computational biomechanical models. This approach is used to augment conclusions obtained in-vitro - by measuring quantities such as cell stress and strain - and to dissect the relevance of each component in the whole tissue performance. Our results show how a combination of specialized in-silico and in-vitro approaches can help us better understand the mechanobiology of EHTs."
2024 Feb,Bioactive materials,Bioact Mater. 2023 Oct 17;32:292-303. doi: 10.1016/j.bioactmat.2023.10.001. ,"['Nason-Tomaszewski, Claire E', 'Thomas, Emily E', 'Matera, Daniel L', 'Baker, Brendon M', 'Shikanov, Ariella']","['biomimetic matrix', 'fibrous hydrogels', 'ovarian follicle']",Extracellular matrix-templating fibrous hydrogels promote ovarian tissue remodeling and oocyte growth.,"Synthetic matrices which mimic the extracellular composition of native tissue create a comprehensive model for studying development and disease. Here, we have engineered a composite material which retains cell-secreted ECM for the culture of ovarian follicles by embedding electrospun dextran fibers functionalized with basement membrane binder (BMB) peptide in PEG hydrogels. In the presence of ECM-sequestering fibers, encapsulated immature primordial follicles and ovarian stromal cells aggregated into large organoid-like structures with dense deposition of laminin, perlecan, and collagen I, leading to steroidogenesis and significantly greater rates of oocyte survival and growth. We determined that cell aggregation restored key cell-cell interactions critical for oocyte survival, whereas oocyte growth was dependent on cell-matrix interactions achieved in the presence of BMB. Here we have shown that sequestration and retention of cell-secreted ECM along synthetic fibers mimics fibrous ECM structure and restores the cell-cell and cell-matrix interactions critical for engineering an artificial ovary."
2023 Sep 28,Advanced healthcare materials,Adv Healthc Mater. 2023 Sep 28:e2302498. doi: 10.1002/adhm.202302498.,"['Ross, Brian C', 'Kent, Robert N 3rd', 'Saunders, Michael N', 'Schwartz, Samantha R', 'Smiley, Brooke M', 'Hocevar, Sarah E', 'Chen, Shao-Chi', 'Xiao, Chengchuan', 'Williams, Laura A', 'Anderson, Aileen J', 'Cummings, Brian J', 'Baker, Brendon M', 'Shea, Lonnie D']","['microporous annealed particles', 'modular biomaterials', 'spinal cord injury', 'tissue repair']",Building-Block Size Mediates Microporous Annealed Particle Hydrogel Tube Microenvironment Following Spinal Cord Injury.,Spinal cord injury (S
