time,journal,doi_info,authors,key words,title,abstract
2024 Jun 25,Computers in biology and medicine,Comput Biol Med. 2024 Jun 25;178:108778. doi: 10.1016/j.compbiomed.2024.108778.,"['Augenstein, Thomas E', 'Nagalla, Deepak', 'Mohacey, Alexander', 'Cubillos, Luis H', 'Lee, Mei-Hua', 'Ranganathan, Rajiv', 'Krishnan, Chandramouli']","['postural control', 'rehabilitation', 'robot control', 'stroke']",A novel virtual robotic platform for controlling six degrees of freedom assistive devices with body-machine interfaces.,"Body-machine interfaces (BoMIs)-systems that control assistive devices (e.g., a robotic manipulator) with a person's movements-offer a robust and non-invasive alternative to brain-machine interfaces for individuals with neurological injuries. However, commercially-available assistive devices offer more degrees of freedom (DOFs) than can be efficiently controlled with a user's residual motor function. Therefore, BoMIs often rely on nonintuitive mappings between body and device movements. Learning these mappings requires considerable practice time in a lab/clinic, which can be challenging. Virtual environments can potentially address this challenge, but there are limited options for high-DOF assistive devices, and it is unclear if learning with a virtual device is similar to learning with its physical counterpart. We developed a novel virtual robotic platform that replicated a commercially-available 6-DOF robotic manipulator. Participants controlled the physical and virtual robots using four wireless inertial measurement units (IMUs) fixed to the upper torso. Forty-three neurologically unimpaired adults practiced a target-matching task using either the physical (sample size n = 25) or virtual device (sample size n = 18) involving pre-, mid-, and post-tests separated by four training blocks. We found that both groups made similar improvements from pre-test in movement time at mid-test (Δvirtual: 9.9 ± 9.5 s; Δphysical: 11.1 ± 9.9 s) and post-test (Δvirtual: 11.1 ± 9.1 s; Δphysical: 11.8 ± 10.5 s) and in path length at mid-test (Δvirtual: 6.1 ± 6.3 m/m; Δphysical: 3.3 ± 3.5 m/m) and post-test (Δvirtual: 6.6 ± 6.2 m/m; Δphysical: 3.5 ± 4.0 m/m). Our results indicate the feasibility of using virtual environments for learning to control assistive devices. Future work should determine how these findings generalize to clinical populations."
2024 Jun 12,Sports health,Sports Health. 2024 Jun 12:19417381241257258. doi: 10.1177/19417381241257258.,"['Rodriguez, Kazandra M', 'Moon, Jungsun', 'Krishnan, Chandramouli', 'Palmieri-Smith, Riann M']","['aclr', 'brain responses', 'cortical excitability', 'motor learning', 'neurorehabilitation']",Conditioning of Motor Evoked Responses After Anterior Cruciate Ligament Reconstruction: Effects of Stimulus Intensity.,"BACKGROUND: Operant conditioning of motor evoked torque (MEP(TORQUE)) can directly target the corticospinal pathway in patients with anterior cruciate ligament (ACL) reconstruction. However, it remains unclear whether operant conditioning can elicit short-term improvements in corticospinal excitability and whether these improvements are influenced by stimulus intensity. HYPOTHESIS: Quadriceps MEP(TORQUE) responses can be upconditioned in a single session and will elicit short-term adaptations in corticospinal excitability, with higher stimulus intensities eliciting greater effects. STUDY DESIGN: Randomized controlled laboratory study. LEVEL OF EVIDENCE: Level 2. METHODS: Thirty-six participants were assessed during a single session of an operant conditioning protocol. Participants were randomized into 1 of 3 groups for stimulus intensity used during operant conditioning based on the participant's active motor threshold (AMT: 100%, 120%, and 140%). Quadriceps MEP(TORQUE) amplitude was evaluated during a block of control transcranial magnetic stimulation trials (CTRL) to establish baseline corticospinal excitability, and 3 blocks of conditioning trials (COND) during which participants trained to upcondition their MEP(TORQUE). MEP(TORQUE) recruitment curves were collected to evaluate the effect of operant conditioning on acute corticospinal adaptations. RESULTS: Participants with ACL reconstruction could upcondition their MEP(TORQUE) in a single session (P < 0.01; CTRL, 17.27 ± 1.28; COND, 21.35 ± 1.28 [mean ± standard error [SE] in N·m]), but this ability was not influenced by the stimulus intensity used during training (P = 0.84). Furthermore, significant improvements in corticospinal excitability were observed (P = 0.05; PRE, 687.91 ± 50.15; POST, 761.08 ± 50.15 [mean ± SE in N·m %AMT]), but stimulus intensity did not influence corticospinal adaptations (P = 0.67). CONCLUSION: Operant conditioning can elicit short-term neural adaptations in ACL-reconstructed patients. Future operant conditioning paradigms may effectively use any of the 3 stimulus intensities studied herein. CLINICAL RELEVANCE: Operant conditioning may be a feasible approach to improve corticospinal excitability after ACL reconstruction."
2024 Apr 24,Journal of neuroengineering and rehabilitation,J Neuroeng Rehabil. 2024 Apr 24;21(1):62. doi: 10.1186/s12984-024-01356-3.,"['Krishnan, Chandramouli', 'Adeeko, Olugbenga P', 'Washabaugh, Edward Peter', 'Augenstein, Thomas E', 'Brudzinski, Maureen', 'Portelli, Alyssa', 'Kalpakjian, Claire Zabelle']","['humans', ' stroke rehabilitation instrumentation methods', ' exoskeleton device', ' gait disorders, neurologic rehabilitation etiology', ' equipment design', 'user-centered design', 'female', 'biomechanical phenomena', 'male', 'middle aged', 'robotics instrumentation', 'caregivers', 'cerebrovascular accident', 'empathy interview', 'end-user feedback', 'exoskeleton', 'hemiparesis', 'hemiplegia', 'mechanical testing', 'mixed methods', 'rehab', 'walking']",Human-centered design of a novel soft exosuit for post-stroke gait rehabilitation.,"BACKGROUND: Stroke remains a major cause of long-term adult disability in the United States, necessitating the need for effective rehabilitation strategies for post-stroke gait impairments. Despite advancements in post-stroke care, existing rehabilitation often falls short, prompting the development of devices like robots and exoskeletons. However, these technologies often lack crucial input from end-users, such as clinicians, patients, and caregivers, hindering their clinical utility. Employing a human-centered design approach can enhance the design process and address user-specific needs. OBJECTIVE: To establish a proof-of-concept of the human-centered design approach by refining the NewGait® exosuit device for post-stroke gait rehabilitation. METHODS: Using iterative design sprints, the research focused on understanding the perspectives of clinicians, stroke survivors, and caregivers. Two design sprints were conducted, including empathy interviews at the beginning of the design sprint to integrate end-users' insights. After each design sprint, the NewGait device underwent refinements based on emerging issues and recommendations. The final prototype underwent mechanical testing for durability, biomechanical simulation testing for clinical feasibility, and a system usability evaluation, where the new stroke-specific NewGait device was compared with the original NewGait device and a commercial product, Theratogs®. RESULTS: Affinity mapping from the design sprints identified crucial categories for stakeholder adoption, including fit for females, ease of donning and doffing, and usability during barefoot walking. To address these issues, a system redesign was implemented within weeks, incorporating features like a loop-backed neoprene, a novel closure mechanism for the shoulder harness, and a hook-and-loop design for the waist belt. Additional improvements included reconstructing anchors with rigid hook materials and replacing latex elastic bands with non-latex silicone-based bands for enhanced durability. Further, changes to the dorsiflexion anchor were made to allow for barefoot walking. Mechanical testing revealed a remarkable 10-fold increase in durability, enduring 500,000 cycles without notable degradation. Biomechanical simulation established the modularity of the NewGait device and indicated that it could be configured to assist or resist different muscles during walking. Usability testing indicated superior performance of the stroke-specific NewGait device, scoring 84.3 on the system usability scale compared to 62.7 for the original NewGait device and 46.9 for Theratogs. CONCLUSION: This study successfully establishes the proof-of-concept for a human-centered design approach using design sprints to rapidly develop a stroke-specific gait rehabilitation system. Future research should focus on evaluating the clinical efficacy and effectiveness of the NewGait device for post-stroke rehabilitation."
2024 Apr 3,medRxiv : the preprint server for health sciences,medRxiv [Preprint]. 2024 Apr 3:2024.04.01.24304938. doi: ,"['Krishnan, Chandramouli', 'Augenstein, Thomas E', 'Claflin, Edward S', 'Hemsley, Courtney R', 'Washabaugh, Edward P', 'Ranganathan, Rajiv']","['consolidation', 'error-based learning', 'hemiparesis', 'motor task', 'skill acquisition']",Rest the Brain to Learn New Gait Patterns after Stroke.,"BACKGROUND: The ability to relearn a lost skill is critical to motor recovery after a stroke. Previous studies indicate that stroke typically affects the processes underlying motor control and execution but not the learning of those skills. However, these prior studies could have been confounded by the presence of significant motor impairments and/or have not focused on motor acuity tasks (i.e., tasks focusing on the quality of executed actions) that have direct functional relevance to rehabilitation. METHODS: Twenty-five participants (10 stroke; 15 controls) were recruited for this prospective, case-control study. Participants learned a novel foot-trajectory tracking task on two consecutive days while walking on a treadmill. On day 1, participants learned a new gait pattern by performing a task that necessitated greater hip and knee flexion during the swing phase of the gait. On day 2, participants repeated the task with their training leg to test retention. An average tracking error was computed to determine online and offline learning and was compared between stroke survivors and uninjured controls. RESULTS: Stroke survivors were able to improve their tracking performance on the first day (p=0.033); however, the amount of learning in stroke survivors was lower in comparison with the control group on both days (p≤0.05). Interestingly, the offline gains in motor learning were higher in stroke survivors when compared with uninjured controls (p=0.011). CONCLUSIONS: The results suggest that even high-functioning stroke survivors may have difficulty acquiring new motor skills related to walking, which may be related to the underlying neural damage caused at the time of stroke. Furthermore, it is likely that stroke survivors may require longer training with adequate rest to acquire new motor skills, and rehabilitation programs should target motor skill learning to improve outcomes after stroke."
2024 Apr 8,Restorative neurology and neuroscience,Restor Neurol Neurosci. 2024 Apr 8. doi: 10.3233/RNN-231367.,"['Augenstein, Thomas E', 'Oh, Seonga', 'Norris, Trevor A', 'Mekler, Joshua', 'Sethi, Amit', 'Krishnan, Chandramouli']","['motor control', 'cortical excitability', 'movement planning', 'muscle synergy', 'stroke']",Corticospinal excitability during motor preparation of upper extremity reaches reflects flexor muscle synergies: A novel principal component-based motor evoked potential analyses.,"BACKGROUND: Previous research has shown that noninvasive brain stimulation can be used to study how the central nervous system (CNS) prepares the execution of a motor task. However, these previous studies have been limited to a single muscle or single degree of freedom movements (e.g., wrist flexion). It is currently unclear if the findings of these studies generalize to multi-joint movements involving multiple muscles, which may be influenced by kinematic redundancy and muscle synergies. OBJECTIVE: The objective of this study was to characterize corticospinal excitability during motor preparation in the cortex prior to functional upper extremity reaches. METHODS: 20 participants without neurological impairments volunteered for this study. During the experiment, the participants reached for a cup in response to a visual ""Go Cue"". Prior to movement onset, we used transcranial magnetic stimulation (TMS) to stimulate the motor cortex and measured the changes in motor evoked potentials (MEPs) in several upper extremity muscles. We varied each participant's initial arm posture and used a novel synergy-based MEP analysis to examine the effect of muscle coordination on MEPs. Additionally, we varied the timing of the stimulation between the Go Cue and movement onset to examine the time course of motor preparation. RESULTS: We found that synergies with strong proximal muscle (shoulder and elbow) components emerged as the stimulation was delivered closer to movement onset, regardless of arm posture, but MEPs in the distal (wrist and finger) muscles were not facilitated. We also found that synergies varied with arm posture in a manner that reflected the muscle coordination of the reach. CONCLUSIONS: We believe that these findings provide useful insight into the way the CNS plans motor skills."
2023,Restorative neurology and neuroscience,Restor Neurol Neurosci. 2023;41(5-6):193-202. doi: 10.3233/RNN-231314.,"['Sethi, Amit', 'Pascual-Leone, Alvaro', 'Santarnecchi, Emiliano', 'Almalki, Ghaleb', 'Krishnan, Chandramouli']","['humans', ' transcranial direct current stimulation methods', 'hand strength', 'pilot projects', ' stroke rehabilitation methods', 'recovery of function', ' stroke therapy', 'upper extremity', 'stroke', 'arm', 'hand', 'non-invasive brain stimulation', 'rehabilitation']",Transcranial random noise stimulation to augment hand function in individuals with moderate-to-severe stroke: A pilot randomized clinical trial.,"BACKGROUND: Interventions to recover upper extremity (UE) function after moderate-to-severe stroke are limited. Transcranial random noise stimulation (tRNS) is an emerging non-invasive technique to improve neuronal plasticity and may potentially augment functional outcomes when combined with existing interventions, such as functional electrical stimulation (FES). OBJECTIVE: The objective of this study was to investigate the feasibility and preliminary efficacy of combined tRNS and FES-facilitated task practice to improve UE impairment and function after moderate-to-severe stroke. METHODS: Fourteen individuals with UE weakness were randomized into one of two groups: 1) tRNS with FES-facilitated task practice, or 2) sham-tRNS with FES-facilitated task practice. Both groups involved 18 intervention sessions (3 per week for 6 weeks). tRNS was delivered at 2 mA current between 100-500 Hz for the first 30 minutes of FES-facilitated task practice. We evaluated the number of sessions completed, adverse effects, participant satisfaction, and intervention fidelity between the two therapists. UE impairment (Fugl-Meyer Upper Extremity, FMUE), function (Wolf Motor Function Test, WMFT), participation (Stroke Impact Scale hand score, SIS-H), and grip strength were assessed at baseline, within 1 week and 3 months after completing the intervention. RESULTS: All participants completed the 18 intervention sessions. Participants reported minimal adverse effects (mild tingling in head). The two trained therapists demonstrated 93% adherence and 96% competency with the intervention protocol. FMUE and SIS-H improved significantly more in the tRNS group than in the sham-tRNS group at both timepoints (p≤0.05), and the differences observed exceeded the clinically meaningful differences for these scores. The WMFT and paretic hand grip strength improved in both groups after the intervention (p≤0.05), with no significant between group differences. CONCLUSION: Our findings show for the first time that combining tRNS and FES-facilitated task practice is a feasible and promising approach to improve UE impairment and function after moderate-to-severe stroke."
2024 Feb,Gait & posture,Gait Posture. 2024 Feb;108:56-62. doi: 10.1016/j.gaitpost.2023.11.008. Epub 2023 ,"['Cubillos, Luis H', 'Rouse, Elliott J', 'Augenstein, Thomas E', 'Joshi, Varun', 'Claflin, Edward S', 'Krishnan, Chandramouli']","['humans', ' ankle joint physiology', 'reproducibility of results', ' walking physiology', 'ankle', 'standing position', 'biomechanical phenomena', 'biomechanics', 'joint stiffness', 'neural control', 'rehabilitation', 'robot', 'stroke']",Reliability and minimal detectable change of stiffness and other mechanical properties of the ankle joint in standing and walking.,"BACKGROUND: Ankle joint stiffness and viscosity are fundamental mechanical descriptions that govern the movement of the body and impact an individual's walking ability. Hence, these internal properties of a joint have been increasingly used to evaluate the effects of pathology (e.g., stroke) and in the design and control of robotic and prosthetic devices. However, the reliability of these measurements is currently unclear, which is important for translation to clinical use. RESEARCH QUESTION: Can we reliably measure the mechanical impedance parameters of the ankle while standing and walking? METHODS: Eighteen able-bodied individuals volunteered to be tested on two different days separated by at least 24 h. Participants received several small random ankle dorsiflexion perturbations while standing and during the stance phase of walking using a custom-designed robotic platform. Three-dimensional motion capture cameras and a 6-component force plate were used to quantify ankle joint motions and torque responses during normal and perturbed conditions. Ankle mechanical impedance was quantified by computing participant-specific ensemble averages of changes in ankle angle and torque due to perturbation and fitting a second-order parametric model consisting of stiffness, viscosity, and inertia. The test-retest reliability of each parameter was assessed using intraclass correlation coefficients (ICCs). We also computed the minimal detectable change (MDC) for each impedance parameter to establish the smallest amount of change that falls outside the measurement error of the instrument. RESULTS: In standing, the reliability of stiffness, viscosity, and inertia was good to excellent (ICCs=0.67-0.91). During walking, the reliability of stiffness and viscosity was good to excellent (ICCs=0.74-0.84) while that of inertia was fair to good (ICCs=0.47-0.68). The MDC for a single subject ranged from 20%- 65% of the measurement mean but was higher (>100%) for inertia during walking. SIGNIFICANCE: Results indicate that dynamic measures of ankle joint impedance were generally reliable and could serve as an adjunct clinical tool for evaluating gait impairments."
2023 Aug,"Clinical biomechanics (Bristol, Avon)","Clin Biomech (Bristol, Avon). 2023 Aug;108:106059. doi: ","['Garcia, Steven A', 'Kahan, Seth', 'Gallegos, Jovanna', 'Balza, Isabella', 'Krishnan, Chandramouli', 'Palmieri-Smith, Riann M']","['humans', ' anterior cruciate ligament injuries surgery', 'walking speed', 'biomechanical phenomena', 'knee joint surgery physiology', 'gait physiology', 'walking physiology', 'knee surgery', ' anterior cruciate ligament reconstruction', 'asymmetry', 'gait biomechanics', 'ground reaction force']",Walking speed differentially affects lower extremity biomechanics in individuals with anterior cruciate ligament reconstruction compared to uninjured controls.,"BACKGROUND: Walking biomechanics are commonly affected after anterior cruciate ligament reconstruction and differ compared to uninjured controls. Manipulating task difficulty has been shown to affect the magnitude of walking impairments in those early after knee surgery but it is unclear if patients in later phases post-op are similarly affected by differing task demands. Here, we evaluated the effects of manipulating walking speed on between-limb differences in ground reaction force and knee biomechanics in those with and without anterior cruciate ligament reconstruction. METHODS: We recruited 28 individuals with anterior cruciate ligament reconstruction and 20 uninjured control participants to undergo walking assessments at three speeds (self-selected, 120%, and 80% self-selected speed). Main outcomes included sagittal plane knee moments, angles, excursions, and ground reaction forces (vertical and anterior-posterior). FINDINGS: We observed walking speed differentially impacted force and knee-outcomes in those with anterior cruciate ligament reconstruction. Between-limb differences increased at fast and decreased at slow speeds in those with anterior cruciate ligament reconstruction while uninjured participants maintained between-limb differences regardless of speed (partial η(2) = 0.13-0.33, p < 0.05). Anterior cruciate ligament reconstruction patients underloaded the surgical limb relative to both the contralateral, and uninjured controls in GRFs and sagittal plane knee moments (partial η(2) range = 0.13-0.25, p < 0.05). INTERPRETATION: Overall, our findings highlight the persistence of walking impairments in those with anterior cruciate ligament reconstruction despite completing formal rehabilitation. Further research should consider determining if those displaying larger changes in gait asymmetries in response to fast walking also exhibit poorer strength and/or joint health outcomes."
2023 Mar,Computers in biology and medicine,Comput Biol Med. 2023 Mar;154:106627. doi: 10.1016/j.compbiomed.2023.106627. Epub ,"['Cubillos, Luis H', 'Augenstein, Thomas E', 'Ranganathan, Rajiv', 'Krishnan, Chandramouli']","['humans', ' psychomotor performance', ' motor skills', 'learning', 'hand', 'cloud computing', 'key pressing', 'machine learning', 'micro-offline', 'micro-online', 'offline gains']",Breaking the barriers to designing online experiments: A novel open-source platform for supporting procedural skill learning experiments.,"BACKGROUND: Motor learning experiments are typically performed in laboratory environments, which can be time-consuming and require dedicated equipment/personnel, thus limiting the ability to gather data from large samples. To address this problem, some researchers have transitioned to unsupervised online experiments, showing advantages in participant recruitment without losing validity. However, most online platforms require coding experience or time-consuming setups to create and run experiments, limiting their usage across the field. METHOD: To tackle this issue, an open-source web-based platform was developed (https://experiments.neurro-lab.engin.umich.edu/) to create, run, and manage procedural skill learning experiments without coding or setup requirements. The feasibility of the platform and the comparability of the results between supervised (n = 17) and unsupervised (n = 24) were tested in 41 naive right-handed participants using an established sequential finger tapping task. The study also tested if a previously reported rapid form of offline consolidation (i.e., microscale learning) in procedural skill learning could be replicated with the developed platform and evaluated the extent of interlimb transfer associated with the finger tapping task. RESULTS: The results indicated that the performance metrics were comparable between the supervised and unsupervised groups (all p's > 0.05). The learning curves, mean tapping speeds, and micro-scale learning were similar to previous studies. Training led to significant improvements in mean tapping speed (2.22 ± 1.48 keypresses/s, p < 0.001) and a significant interlimb transfer of learning (1.22 ± 1.43 keypresses/s, p < 0.05). CONCLUSIONS: The results show that the presented platform may serve as a valuable tool for conducting online procedural skill-learning experiments."
2023 Jan,Journal of biomechanics,J Biomech. 2023 Jan;146:111400. doi: 10.1016/j.jbiomech.2022.111400. Epub 2022 ,"['Garcia, Steven A', 'Johnson, Alexa K', 'Brown, Scott R', 'Washabaugh, Edward P', 'Krishnan, Chandramouli', 'Palmieri-Smith, Riann M']","['humans', 'adolescent', 'young adult', 'adult', ' anterior cruciate ligament injuries surgery', 'walking', 'knee joint surgery', 'gait', ' osteoarthritis surgery', ' anterior cruciate ligament reconstruction', 'biomechanical phenomena', 'aclr', 'kinematics', 'kinetics', 'knee loading', 'knee osteoarthritis', 'quasi-stiffness']",Dynamic knee stiffness during walking is increased in individuals with anterior cruciate ligament reconstruction.,"Individuals with anterior cruciate ligament (ACL) reconstruction often display abnormal gait mechanics reflective of a ""stiff-knee"" gait (i.e., reduced knee flexion angles and moments). However, dynamic knee stiffness, which is the dynamic relationship between the position of the knee and the moment acting on it, has not been directly examined during walking in individuals with ACL reconstruction. Here, we aimed to evaluate dynamic knee stiffness in the involved compared to the uninvolved limb during weight-acceptance and mid-stance phases of walking. Twenty-six individuals who underwent ACL reconstruction (Age: 20.2 ± 5.1 yrs., Time post-op: 7.2 ± 0.9 mo.) completed an overground walking assessment using a three-dimensional motion capture system and two force plates. Dynamic knee stiffness (Nm/°) was calculated as the slope of the regression line during weight-acceptance and midstance, obtained by plotting the sagittal plane knee angle versus knee moment. Paired t-tests with Bonferroni corrections were used to compare differences in dynamic stiffness, knee excursions, and moment ranges between limbs during both stance phases. Greater dynamic knee stiffness was found in the involved compared with the uninvolved limb during weight-acceptance and mid-stance (p < 0.01). Knee flexion and extension excursions were reduced in the involved limb during both weight-acceptance and mid-stance, respectively (p < 0.01). Sagittal plane knee moment ranges were not different between limbs during weight-acceptance (p = 0.1); however, the involved limb moment range was reduced relative to the uninvolved limb during mid-stance (p < 0.01). These results indicate that individuals with ACL reconstruction walk with a stiffer knee throughout stance, which may influence knee contact forces and could contribute to the high propensity for post-traumatic knee osteoarthritis development in this population."
