time,journal,doi_info,authors,key words,title,abstract
2024 Jun,Advanced biology,Adv Biol (Weinh). 2024 Jun;8(6):e2400091. doi: 10.1002/adbi.202400091. Epub 2024 ,"['Duran, Pamela', 'Yang, Benjamin A', 'Plaster, Eleanor', 'Eiken, Madeline', 'Loebel, Claudia', 'Aguilar, Carlos A']","[' extracellular matrix metabolism', 'animals', ' hydrogels', 'mice', 'muscle, skeletal metabolism cytology', 'stem cells metabolism drug effects', 'cell differentiation', 'cells, cultured', 'biomaterials', 'extracellular matrix', 'hyaluronic acid', 'protein labeling', 'skeletal muscle']",Tracking of Nascent Matrix Deposition during Muscle Stem Cell Activation across Lifespan Using Engineered Hydrogels.,"Adult stem cells occupy a niche that contributes to their function, but how stem cells rebuild their microenvironment after injury remains an open-ended question. Herein, biomaterial-based systems and metabolic labeling are utilized to evaluate how skeletal muscle stem cells deposit extracellular matrix. Muscle stem cells and committed myoblasts are observed to generate less nascent matrix than muscle resident fibro-adipogenic progenitors. When cultured on substrates that matched the stiffness of physiological uninjured and injured muscles, muscle stem cells increased nascent matrix deposition with activation kinetics. Reducing the ability to deposit nascent matrix by an inhibitor of vesicle trafficking (Exo-1) attenuated muscle stem cell function and mimicked impairments observed from muscle stem cells isolated from old muscles. Old muscle stem cells are observed to deposit less nascent matrix than young muscle stem cells, which is rescued with therapeutic supplementation of insulin-like growth factors. These results highlight the role of nascent matrix production with muscle stem cell activation."
2024 Mar 19,bioRxiv : the preprint server for biology,bioRxiv [Preprint]. 2024 Mar 19:2024.03.19.585720. doi: ,"['Eiken, Madeline K', 'Childs, Charlie J', 'Brastrom, Lindy K', 'Frum, Tristan', 'Plaster, Eleanor M', 'Shachaf, Orren', 'Pfeiffer, Suzanne', 'Levine, Justin E', 'Alysandratos, Konstantinos-Dionysios', 'Kotton, Darrell N', 'Spence, Jason R', 'Loebel, Claudia']",[],Nascent matrix deposition supports alveolar organoid formation from aggregates in synthetic hydrogels.,"Human induced pluripotent stem cell (iPSC) derived alveolar organoids have emerged as a system to model the alveolar epithelium in homeostasis and disease. However, alveolar organoids are typically grown in Matrigel, a mouse-sarcoma derived basement membrane matrix that offers poor control over matrix properties, prompting the development of synthetic hydrogels as a Matrigel alternative. Here, we develop a two-step culture method that involves pre-aggregation of organoids in hydrogel-based microwells followed by embedding in a synthetic hydrogel that supports alveolar organoid growth, while also offering considerable control over organoid and hydrogel properties. We find that the aggregated organoids secrete their own nascent extracellular matrix (ECM) both in the microwells and upon embedding in the synthetic hydrogels. Thus, the synthetic gels described here allow us to de-couple exogenous and nascent ECM in order to interrogate the role of ECM in organoid formation."
2024 Jan 23,bioRxiv : the preprint server for biology,bioRxiv [Preprint]. 2024 Jan 23:2024.01.20.576326. doi: ,"['Duran, Pamela', 'Yang, Benjamin A', 'Plaster, Eleanor', 'Eiken, Madeline', 'Loebel, Claudia', 'Aguilar, Carlos A']","['protein labeling', 'biomaterials', 'extracellular matrix', 'hyaluronic acid', 'skeletal muscle']",Quantification of local matrix deposition during muscle stem cell activation using engineered hydrogels.,"Adult stem cells occupy a niche that contributes to their function, but how stem cells remodel their microenvironment remains an open-ended question. Herein, biomaterials-based systems and metabolic labeling were utilized to evaluate how skeletal muscle stem cells deposit extracellular matrix. Muscle stem cells and committed myoblasts were observed to generate less nascent matrix than muscle resident fibro-adipogenic progenitors. When cultured on substrates that matched the stiffness of physiological uninjured and injured muscles, the increased nascent matrix deposition was associated with stem cell activation. Reducing the ability to deposit nascent matrix in muscle stem cells attenuated function and mimicked impairments observed from muscle stem cells isolated from old aged muscles, which could be rescued with therapeutic supplementation of insulin-like growth factors. These results highlight how nascent matrix production is critical for maintaining healthy stem cell function."
2024 May,Tissue engineering. Part A,Tissue Eng Part A. 2024 May;30(9-10):440-453. doi: 10.1089/ten.TEA.2023.0240. ,"['Su, Eileen Y', 'Kennedy, Christopher S', 'Vega-Soto, Emmanuel E', 'Pallas, Brooke D', 'Lukpat, Samantha N', 'Hwang, Derek H', 'Bosek, David W', 'Forester, Celeste E', 'Loebel, Claudia', 'Larkin, Lisa M']","['animals', ' hydrogels chemistry pharmacology', ' muscle, skeletal pathology drug effects injuries', 'sheep', 'disease models, animal', 'female', 'hyaluronic acid chemistry pharmacology', 'regeneration drug effects', 'inflammation pathology', 'hydrogels', 'scaffold-free', 'skeletal muscle', 'tissue engineering', 'volumetric muscle loss']",Repairing Volumetric Muscle Loss with Commercially Available Hydrogels in an Ovine Model.,"Volumetric muscle loss (VML) is the loss of skeletal muscle that exceeds the muscle's self-repair mechanism and leads to permanent functional deficits. In a previous study, we demonstrated the ability of our scaffold-free, multiphasic, tissue-engineered skeletal muscle units (SMUs) to restore muscle mass and force production. However, it was observed that the full recovery of muscle structure was inhibited due to increased fibrosis in the repair site. As such, novel biomaterials such as hydrogels (HGs) may have significant potential for decreasing the acute inflammation and subsequent fibrosis, as well as enhancing skeletal muscle regeneration following VML injury and repair. The goal of the current study was to assess the biocompatibility of commercially available poly(ethylene glycol), methacrylated gelatin, and hyaluronic acid (HA) HGs in combination with our SMUs to treat VML in a clinically relevant large animal model. An acute 30% VML injury created in the sheep peroneus tertius (PT) muscle was repaired with or without HGs and assessed for acute inflammation (incision swelling) and white blood cell counts in blood for 7 days. At the 7-day time point, HA was selected as the HG to use for the combined HG/SMU repair, as it exhibited a reduced inflammation response compared to the other HGs. Six weeks after implantation, all groups were assessed for gross and histological structural recovery. The results showed that the groups repaired with an SMU (SMU-Only and SMU+HA) restored muscle mass to greater degree than the groups with only HG and that the SMU groups had PT muscle masses that were statistically indistinguishable from its uninjured contralateral PT muscle. Furthermore, the HA HG, SMU-Only, and SMU+HA groups displayed notable efficacy in diminishing pro-inflammatory markers and showed an increased number of regenerating muscle fibers in the repair site. Taken together, the data demonstrates the efficacy of HA HG in decreasing acute inflammation and fibrotic response. The combination of HA and our SMUs also holds promise to decrease acute inflammation and fibrosis and increase muscle regeneration, advancing this combination therapy toward clinically relevant interventions for VML injuries in humans."
2023 Dec 15,iScience,iScience. 2023 Nov 15;26(12):108472. doi: 10.1016/j.isci.2023.108472. eCollection ,"['Ahmed, Donia W', 'Eiken, Madeline K', 'DePalma, Samuel J', 'Helms, Adam S', 'Zemans, Rachel L', 'Spence, Jason R', 'Baker, Brendon M', 'Loebel, Claudia']","['bioengineering', 'biomaterials', 'biomechanics']",Integrating mechanical cues with engineered platforms to explore cardiopulmonary development and disease.,"Mechanical forces provide critical biological signals to cells during healthy and aberrant organ development as well as during disease processes in adults. Within the cardiopulmonary system, mechanical forces, such as shear, compressive, and tensile forces, act across various length scales, and dysregulated forces are often a leading cause of disease initiation and progression such as in bronchopulmonary dysplasia and cardiomyopathies. Engineered in vitro models have supported studies of mechanical forces in a number of tissue and disease-specific contexts, thus enabling new mechanistic insights into cardiopulmonary development and disease. This review first provides fundamental examples where mechanical forces operate at multiple length scales to ensure precise lung and heart function. Next, we survey recent engineering platforms and tools that have provided new means to probe and modulate mechanical forces across in vitro and in vivo settings. Finally, the potential for interdisciplinary collaborations to inform novel therapeutic approaches for a number of cardiopulmonary diseases are discussed."
2023 Nov 9,Cell,Cell. 2023 Nov 9;186(23):4992-4993. doi: 10.1016/j.cell.2023.10.011. Epub 2023 ,"['Roy, Avinava', 'Loebel, Claudia']","[' tissue engineering', ' robotics', 'extracellular matrix', 'magnetic phenomena']",Magnetic soft robotics to manipulate the extracellular matrix in vitro.,"The importance of dynamic mechanical control over the cellular microenvironment has long been appreciated. In a recent issue of Device, Raman and colleagues design a clever yet generalizable tool to achieve this, illustrating magnetic stimulation of an engineered extracellular matrix to induce muscle fiber alignment toward programmed functioning."
2023 Dec 1,The Journal of clinical investigation,J Clin Invest. 2023 Dec 1;133(23):e168146. doi: 10.1172/JCI168146.,"['Cruz-Acuña, Ricardo', 'Kariuki, Secunda W', 'Sugiura, Kensuke', 'Karaiskos, Spyros', 'Plaster, Eleanor M', 'Loebel, Claudia', 'Efe, Gizem', 'Karakasheva, Tatiana', 'Gabre, Joel T', 'Hu, Jianhua', 'Burdick, Jason A', 'Rustgi, Anil K']","['humans', 'hydrogels', 'extracellular matrix metabolism', ' adenocarcinoma pathology', ' esophageal neoplasms genetics pathology', 'tumor microenvironment', 'cancer', 'cell biology', 'drug therapy', 'extracellular matrix', 'oncology']",Engineered hydrogel reveals contribution of matrix mechanics to esophageal adenocarcinoma and identifies matrix-activated therapeutic targets.,
2023 Jun 20,Proceedings of the National Academy of Sciences of the United States of America,Proc Natl Acad Sci U S A. 2023 Jun 20;120(25):e2215711120. doi: ,"['Guimarães, Pedro P G', 'Figueroa-Espada, Christian G', 'Riley, Rachel S', 'Gong, Ningqiang', 'Xue, Lulu', 'Sewastianik, Tomasz', 'Dennis, Peter S', 'Loebel, Claudia', 'Chung, Amanda', 'Shepherd, Sarah J', 'Haley, Rebecca M', 'Hamilton, Alex G', 'El-Mayta, Rakan', 'Wang, Karin', 'Langer, Robert', 'Anderson, Daniel G', 'Carrasco, Ruben D', 'Mitchell, Michael J']","['united states', 'humans', 'animals', 'mice', ' multiple myeloma drug therapy genetics', 'bone marrow', 'rna, small interfering genetics', 'endothelial cells', 'cyclophilin a', 'lipids', 'tumor microenvironment', 'rna therapeutics', 'drug delivery', 'nanomedicine']",In vivo bone marrow microenvironment siRNA delivery using lipid-polymer nanoparticles for multiple myeloma therapy.,"Multiple myeloma (MM), a hematologic malignancy that preferentially colonizes the bone marrow, remains incurable with a survival rate of 3 to 6 mo for those with advanced disease despite great efforts to develop effective therapies. Thus, there is an urgent clinical need for innovative and more effective MM therapeutics. Insights suggest that endothelial cells within the bone marrow microenvironment play a critical role. Specifically, cyclophilin A (CyPA), a homing factor secreted by bone marrow endothelial cells (BMECs), is critical to MM homing, progression, survival, and chemotherapeutic resistance. Thus, inhibition of CyPA provides a potential strategy to simultaneously inhibit MM progression and sensitize MM to chemotherapeutics, improving therapeutic response. However, inhibiting factors from the bone marrow endothelium remains challenging due to delivery barriers. Here, we utilize both RNA interference (RNAi) and lipid-polymer nanoparticles to engineer a potential MM therapy, which targets CyPA within blood vessels of the bone marrow. We used combinatorial chemistry and high-throughput in vivo screening methods to engineer a nanoparticle platform for small interfering RNA (siRNA) delivery to bone marrow endothelium. We demonstrate that our strategy inhibits CyPA in BMECs, preventing MM cell extravasation in vitro. Finally, we show that siRNA-based silencing of CyPA in a murine xenograft model of MM, either alone or in combination with the Food and Drug Administration (FDA)-approved MM therapeutic bortezomib, reduces tumor burden and extends survival. This nanoparticle platform may provide a broadly enabling technology to deliver nucleic acid therapeutics to other malignancies that home to bone marrow."
2023 Apr 12,Research square,Res Sq [Preprint]. 2023 Apr 12:rs.3.rs-2631314. doi: 10.21203/rs.3.rs-2631314/v1.,"['Brisson, Becky K', 'Dekky, Bassil', 'Berger, Ashton C', 'Mauldin, Elizabeth A', 'Loebel, Claudia', 'Yen, William', 'Stewart, Daniel C', 'Gillette, Deborah', 'Assenmacher, Charles-Antoine', 'Cukierman, Edna', 'Burdick, Jason A', 'Borges, Virginia F', 'Volk, Susan W']","['brca', 'tnbc', 'breast cancer', 'collagen', 'mammary tumors', 'metastasis', 'tumor microenvironment', 'tumor stroma', 'type iii collagen']",Tumor-restrictive type III collagen in the breast cancer microenvironment: prognostic and therapeutic implications.,"Collagen plays a critical role in regulating breast cancer progression and therapeutic resistance. An improved understanding of both the features and drivers of tumor-permissive and -restrictive collagen matrices are critical to improve prognostication and develop more effective therapeutic strategies. In this study, using a combination of in vitro, in vivo and in silico experiments, we show that type III collagen (Col3) plays a tumor-restrictive role in human breast cancer. We demonstrate that Col3-deficient, human fibroblasts produce tumor-permissive collagen matrices that drive cell proliferation and suppress apoptosis in noninvasive and invasive breast cancer cell lines. In human TNBC biopsy samples, we demonstrate elevated deposition of Col3 relative to type I collagen (Col1) in noninvasive compared to invasive regions. Similarly, in silico analyses of over 1000 breast cancer patient biopsies from The Cancer Genome Atlas BRCA cohort revealed that patients with higher Col3:Col1 bulk tumor expression had improved overall, disease-free and progression-free survival relative to those with higher Col1:Col3 expression. Using an established 3D culture model, we show that Col3 increases spheroid formation and induces formation of lumen-like structures that resemble non-neoplastic mammary acini. Finally, our in vivo study shows co-injection of murine breast cancer cells (4T1) with rhCol3-supplemented hydrogels limits tumor growth and decreases pulmonary metastatic burden compared to controls. Taken together, these data collectively support a tumor-suppressive role for Col3 in human breast cancer and suggest that strategies that increase Col3 may provide a safe and effective modality to limit recurrence in breast cancer patients."
2023 Sep,Journal of biomedical materials research. Part A,J Biomed Mater Res A. 2023 Sep;111(9):1441-1458. doi: 10.1002/jbm.a.37545. Epub ,"['Goldshmid, Revital', 'Simaan-Yameen, Haneen', 'Ifergan, Liaura', 'Loebel, Claudia', 'Burdick, Jason A', 'Seliktar, Dror']","['humans', ' hydrogels pharmacology metabolism', 'chondrogenesis genetics', 'cell differentiation', 'polyethylene glycols', 'tissue engineering methods', ' mesenchymal stem cells', 'biomaterials', 'hydrogel', 'shear modulus', 'stem cells', 'tissue engineering']","Modulus-dependent effects on neurogenic, myogenic, and chondrogenic differentiation of human mesenchymal stem cells in three-dimensional hydrogel cultures.","Human mesenchymal stromal cells (hMSCs) are of significant interest as a renewable source of therapeutically useful cells. In tissue engineering, hMSCs are implanted within a scaffold to provide enhanced capacity for tissue repair. The present study evaluates how mechanical properties of that scaffold can alter the phenotype and genotype of the cells, with the aim of augmenting hMSC differentiation along the myogenic, neurogenic or chondrogenic linages. The hMSCs were grown three-dimensionally (3D) in a hydrogel comprised of poly(ethylene glycol) (PEG)-conjugated to fibrinogen. The hydrogel's shear storage modulus (G'), which was controlled by increasing the amount of PEG-diacrylate cross-linker in the matrix, was varied in the range of 100-2000 Pascal (Pa). The differentiation into each lineage was initiated by a defined culture medium, and the hMSCs grown in the different modulus hydrogels were characterized using gene and protein expression. Materials having lower storage moduli (G' = 100 Pa) exhibited more hMSCs differentiating to neurogenic lineages. Myogenesis was favored in materials having intermediate modulus values (G' = 500 Pa), whereas chondrogenesis was favored in materials with a higher modulus (G' = 1000 Pa). Enhancing the differentiation pathway of hMSCs in 3D hydrogel scaffolds using simple modifications to mechanical properties represents an important achievement toward the effective application of these cells in tissue engineering."
