time,journal,doi_info,authors,key words,title,abstract
2024 Jun 21,American journal of physiology. Heart and circulatory physiology,Am J Physiol Heart Circ Physiol. 2024 Jun 21. doi: 10.1152/ajpheart.00766.2023.,"['Colebank, Mitchel J', 'Oomen, Pim A', 'Witzenburg, Colleen M', 'Grosberg, Anna', 'Beard, Daniel A', 'Husmeier, Dirk', 'Olufsen, Mette S', 'Chesler, Naomi C']","['computational modeling', 'mathematical models', 'model calibration', 'quantitative biology', 'simulation']",Guidelines for Mechanistic Modeling and Analysis in Cardiovascular Research.,"Computational, or in-silico, models are an effective, non-invasive tool for investigating cardiovascular function. These models can be used in the analysis of experimental and clinical data to identify possible mechanisms of (ab)normal cardiovascular physiology. Recent advances in computing power and data management have led to innovative and complex modeling frameworks that simulate cardiovascular function across multiple scales. While commonly used in multiple disciplines, there is a lack of concise guidelines for the implementation of computer models in cardiovascular research. In line with recent calls for more reproducible research, it is imperative that scientists adhere to credible practices when developing and applying computational models to their research. The goal of this manuscript is to provide a consensus document that identifies best practices for in-silico computational modeling in cardiovascular research. These guidelines provide the necessary methods for mechanistic model development, model analysis, and formal model calibration using fundamentals from statistics. We outline rigorous practices for computational modeling in cardiovascular research and discuss its synergistic value to experimental and clinical data."
2024 Jul,Journal of molecular and cellular cardiology,J Mol Cell Cardiol. 2024 Jul;192:94-108. doi: 10.1016/j.yjmcc.2024.05.006. Epub ,"['Sturgess, Victoria E', 'Tune, Johnathan D', 'Figueroa, C Alberto', 'Carlson, Brian E', 'Beard, Daniel A']","[' exercise physiology', 'humans', ' oxygen metabolism', ' models, cardiovascular', ' computer simulation', ' coronary circulation', ' myocardium metabolism', 'hemodynamics', 'oxygen consumption', 'heart physiology', 'vasodilation', 'computational modeling', 'exercise', 'myocardial oxygen transport', 'transmural myocardial perfusion']",Integrated modeling and simulation of recruitment of myocardial perfusion and oxygen delivery in exercise.,"While exercise-mediated vasoregulation in the myocardium is understood to be governed by autonomic, myogenic, and metabolic-mediated mechanisms, we do not yet understand the spatial heterogeneity of vasodilation or its effects on microvascular flow patterns and oxygen delivery. This study uses a simulation and modeling approach to explore the mechanisms underlying the recruitment of myocardial perfusion and oxygen delivery in exercise. The simulation approach integrates model components representing: whole-body cardiovascular hemodynamics, cardiac mechanics and myocardial work; myocardial perfusion; and myocardial oxygen transport. Integrating these systems together, model simulations reveal: (1.) To match expected flow and transmural flow ratios at increasing levels of exercise, a greater degree of vasodilation must occur in the subendocardium compared to the subepicardium. (2.) Oxygen extraction and venous oxygenation are predicted to substantially decrease with increasing exercise level preferentially in the subendocardium, suggesting that an oxygen-dependent error signal driving metabolic mediated recruitment of flow would be operative only in the subendocardium. (3.) Under baseline physiological conditions approximately 4% of the oxygen delivered to the subendocardium may be supplied via retrograde flow from coronary veins."
2024 May,Journal of molecular and cellular cardiology,J Mol Cell Cardiol. 2024 May;190:82-91. doi: 10.1016/j.yjmcc.2024.04.008. Epub ,"['Tune, Johnathan D', 'Warne, Cooper M', 'Essajee, Salman I', 'Tucker, Selina M', 'Figueroa, C Alberto', 'Dick, Gregory M', 'Beard, Daniel A']","['humans', ' coronary circulation physiology', ' homeostasis', 'animals', 'blood pressure physiology', 'coronary vessels physiopathology', 'hemodynamics', 'coronary blood flow', 'heterogeneity', 'local metabolic control', 'myogenic response']",Unraveling the Gordian knot of coronary pressure-flow autoregulation.,"The coronary circulation has the inherent ability to maintain myocardial perfusion constant over a wide range of perfusion pressures. The phenomenon of pressure-flow autoregulation is crucial in response to flow-limiting atherosclerotic lesions which diminish coronary driving pressure and increase risk of myocardial ischemia and infarction. Despite well over half a century of devoted research, understanding of the mechanisms responsible for autoregulation remains one of the most fundamental and contested questions in the field today. The purpose of this review is to highlight current knowledge regarding the complex interrelationship between the pathways and mechanisms proposed to dictate the degree of coronary pressure-flow autoregulation. Our group recently likened the intertwined nature of the essential determinants of coronary flow control to the symbolically unsolvable ""Gordian knot"". To further efforts to unravel the autoregulatory ""knot"", we consider recent challenges to the local metabolic and myogenic hypotheses and the complicated dynamic structural and functional heterogeneity unique to the heart and coronary circulation. Additional consideration is given to interrogation of putative mediators, role of K(+) and Ca(2+) channels, and recent insights from computational modeling studies. Improved understanding of how specific vasoactive mediators, pathways, and underlying disease states influence coronary pressure-flow relations stands to significantly reduce morbidity and mortality for what remains the leading cause of death worldwide."
2023 Dec 29,Comprehensive Physiology,Compr Physiol. 2023 Dec 29;14(1):5345-5369. doi: 10.1002/cphy.c230011.,"['Lopez-Schenk, Rachel', 'Collins, Nicole L', 'Schenk, Noah A', 'Beard, Daniel A']","['humans', 'adenosine triphosphate metabolism', 'myocardium metabolism', 'purine nucleotides metabolism', 'nucleotides metabolism', ' heart diseases metabolism', ' heart failure metabolism', 'energy metabolism', 'ischemia']","Integrated Functions of Cardiac Energetics, Mechanics, and Purine Nucleotide Metabolism.","Purine nucleotides play central roles in energy metabolism in the heart. Most fundamentally, the free energy of hydrolysis of the adenine nucleotide adenosine triphosphate (ATP) provides the thermodynamic driving force for numerous cellular processes including the actin-myosin crossbridge cycle. Perturbations to ATP supply and/or demand in the myocardium lead to changes in the homeostatic balance between purine nucleotide synthesis, degradation, and salvage, potentially affecting myocardial energetics and, consequently, myocardial mechanics. Indeed, both acute myocardial ischemia and decompensatory remodeling of the myocardium in heart failure are associated with depletion of myocardial adenine nucleotides and with impaired myocardial mechanical function. Yet there remain gaps in the understanding of mechanistic links between adenine nucleotide degradation and contractile dysfunction in heart disease. The scope of this article is to: (i) review current knowledge of the pathways of purine nucleotide depletion and salvage in acute ischemia and in chronic heart disease; (ii) review hypothesized mechanisms linking myocardial mechanics and energetics with myocardial adenine nucleotide regulation; and (iii) highlight potential targets for treating myocardial metabolic and mechanical dysfunction associated with these pathways. It is hypothesized that an imbalance in the degradation, salvage, and synthesis of adenine nucleotides leads to a net loss of adenine nucleotides in both acute ischemia and under chronic high-demand conditions associated with the development of heart failure. This reduction in adenine nucleotide levels results in reduced myocardial ATP and increased myocardial inorganic phosphate. Both of these changes have the potential to directly impact tension development and mechanical work at the cellular level. © 2024 American Physiological Society. Compr Physiol 14:5345-5369, 2024."
2023,Frontiers in physiology,Front Physiol. 2023 Sep 6;14:1231688. doi: 10.3389/fphys.2023.1231688. ,"['Kim, Salla M', 'Randall, E Benjamin', 'Jezek, Filip', 'Beard, Daniel A', 'Chesler, Naomi C']","['computational modeling', 'diastolic dysfunction', 'heart failure with preserved ejection fraction', 'right ventricular dysfunction', 'systolic dysfunction', 'ventricular interdependence']",Computational modeling of ventricular-ventricular interactions suggest a role in clinical conditions involving heart failure.,"Introduction: The left (LV) and right (RV) ventricles are linked biologically, hemodynamically, and mechanically, a phenomenon known as ventricular interdependence. While LV function has long been known to impact RV function, the reverse is increasingly being realized to have clinical importance. Investigating ventricular interdependence clinically is challenging given the invasive measurements required, including biventricular catheterization, and confounding factors such as comorbidities, volume status, and other aspects of subject variability. Methods: Computational modeling allows investigation of mechanical and hemodynamic interactions in the absence of these confounding factors. Here, we use a threesegment biventricular heart model and simple circulatory system to investigate ventricular interdependence under conditions of systolic and diastolic dysfunction of the LV and RV in the presence of compensatory volume loading. We use the end-diastolic pressure-volume relationship, end-systolic pressure-volume relationship, Frank Starling curves, and cardiac power output as metrics. Results: The results demonstrate that LV systolic and diastolic dysfunction lead to RV compensation as indicated by increases in RV power. Additionally, RV systolic and diastolic dysfunction lead to impaired LV filling, interpretable as LV stiffening especially with volume loading to maintain systemic pressure. Discussion: These results suggest that a subset of patients with intact LV systolic function and diagnosed to have impaired LV diastolic function, categorized as heart failure with preserved ejection fraction (HFpEF), may in fact have primary RV failure. Application of this computational approach to clinical data sets, especially for HFpEF, may lead to improved diagnosis and treatment strategies and consequently improved outcomes."
2023 Oct,Molecular metabolism,Mol Metab. 2023 Oct;76:101793. doi: 10.1016/j.molmet.2023.101793. Epub 2023 Aug ,"['Fleischman, Johanna Y', 'Van den Bergh, Françoise', 'Collins, Nicole L', 'Bowers, Madelyn', 'Beard, Daniel A', 'Burant, Charles F']","['humans', 'female', 'male', 'animals', 'rats', ' cardiorespiratory fitness', 'muscle, skeletal', 'fatty acids', 'mitochondria', 'oxidative stress', 'cardiorespiratory fitness', 'metabolism', 'mitochondria', 'muscle', 'oxidation', 'transcriptomics']",Higher mitochondrial oxidative capacity is the primary molecular differentiator in muscle of rats with high and low intrinsic cardiorespiratory fitness.,"OBJECTIVE: Cardiorespiratory fitness (CRF) is tightly linked with health and longevity and is implicated in metabolic flexibility and substrate metabolism. The high capacity runner (HCR) and low capacity runner (LCR) rat lines are a genetically heterogeneous rat model selected and bred for CRF that reflect CRF in humans by exhibiting differences in nutrient handling. This study aims to differentiate the intrinsic substrate preference of the HCR compared to LCR rats to better understand the intersection of mitochondrial respiration and intrinsic CRF. METHODS: We performed bulk skeletal muscle RNA-Sequencing on male and female HCR and LCR rats and assessed the effect of rat line on mitochondrial gene expression pathways using the MitoCarta3.0 database. In a separate cohort of rats, mitochondria were isolated from skeletal and cardiac muscle and maximal oxidation rates were measured using an Oroboros O2k when provided either pyruvate or fatty acid substrates. RESULTS: The expression of mitochondrial genes are significantly upregulated in HCR skeletal muscle in both male and female rats. In respirometry experiments, fatty acid oxidative capacities were greater in HCR compared to LCR, and male compared to female rats, as a function of both mitochondrial quality and mitochondrial density. This effect was greater in the skeletal muscle than in the heart. Pyruvate oxidation did not differ significantly between lines. CONCLUSIONS: The capacity for increased fatty acid oxidation in the HCR rat is a result of selection for running capacity and is likely a key contributor to the healthy metabolic phenotype of individuals with high CRF."
2023 Sep 1,Clinical and translational gastroenterology,Clin Transl Gastroenterol. 2023 Sep 1;14(9):e00590. doi: ,"['Mazumder, Nikhilesh R', 'Jezek, Filip', 'Tapper, Elliot B', 'Beard, Daniel A']","['humans', 'liver cirrhosis complications surgery', 'portal vein surgery', ' hypertension, portal surgery complications', ' portasystemic shunt, transjugular intrahepatic', 'systems analysis']",Portal Venous Remodeling Determines the Pattern of Cirrhosis Decompensation: A Systems Analysis.,"INTRODUCTION: As liver disease progresses, scarring results in worsening hemodynamics ultimately culminating in portal hypertension. This process has classically been quantified through the portosystemic pressure gradient (PSG), which is clinically estimated by hepatic venous pressure gradient (HVPG); however, PSG alone does not predict a given patient's clinical trajectory regarding the Baveno stage of cirrhosis. We hypothesize that a patient's PSG sensitivity to venous remodeling could explain disparate disease trajectories. METHODS: We created a computational model of the portal system in the context of worsening liver disease informed by physiologic measurements from the field of portal hypertension. We simulated progression of clinical complications, HVPG, and transjugular intrahepatic portosystemic shunt placement while only varying a patient's likelihood of portal venous remodeling. RESULTS: Our results unify hemodynamics, venous remodeling, and the clinical progression of liver disease into a mathematically consistent model of portal hypertension. We find that by varying how sensitive patients are to create venous collaterals with rising PSG we can explain variation in patterns of decompensation for patients with liver disease. Specifically, we find that patients who have higher proportions of portosystemic shunting earlier in disease have an attenuated rise in HVPG, delayed onset of ascites, and less hemodynamic shifting after transjugular intrahepatic portosystemic shunt placement. DISCUSSION: This article builds a computational model of portal hypertension which supports that patient-level differences in venous remodeling may explain disparate clinical trajectories of disease."
2023 Mar 29,Basic research in cardiology,Basic Res Cardiol. 2023 Mar 29;118(1):12. doi: 10.1007/s00395-023-00985-4.,"['Warne, Cooper M', 'Essajee, Salman I', 'Tucker, Selina M', 'Figueroa, C Alberto', 'Beard, Daniel A', 'Dick, Gregory M', 'Tune, Johnathan D']","['swine', 'animals', ' oxygen', 'blood pressure', ' dobutamine pharmacology', 'myocardium metabolism', 'coronary circulation physiology', 'homeostasis physiology', 'oxygen consumption physiology', 'hypoxia', 'perfusion', 'coronary circulation', 'feedback', 'homeostasis', 'hypoxia', 'oxygen consumption']",Oxygen-sensing pathways below autoregulatory threshold act to sustain myocardial oxygen delivery during reductions in perfusion pressure.,"The coronary circulation has an innate ability to maintain constant blood flow over a wide range of perfusion pressures. However, the mechanisms responsible for coronary autoregulation remain a fundamental and highly contested question. This study interrogated the local metabolic hypothesis of autoregulation by testing the hypothesis that hypoxemia-induced exaggeration of the metabolic error signal improves the autoregulatory response. Experiments were performed on open-chest anesthetized swine during stepwise changes in coronary perfusion pressure (CPP) from 140 to 40 mmHg under normoxic (n = 15) and hypoxemic (n = 8) conditions, in the absence and presence of dobutamine-induced increases in myocardial oxygen consumption (MVO(2)) (n = 5-7). Hypoxemia (PaO(2) < 40 mmHg) decreased coronary venous PO(2) (CvPO(2)) ~ 30% (P < 0.001) and increased coronary blood flow ~ 100% (P < 0.001), sufficient to maintain myocardial oxygen delivery (P = 0.14) over a wide range of CPPs. Autoregulatory responsiveness during hypoxemia-induced reductions in CvPO(2) were associated with increases of autoregulatory gain (Gc; P = 0.033) but not slope (P = 0.585) over a CPP range of 120 to 60 mmHg. Preservation of autoregulatory Gc (P = 0.069) and slope (P = 0.264) was observed during dobutamine administration ± hypoxemia. Reductions in coronary resistance in response to decreases in CPP predominantly occurred below CvPO(2) values of ~ 25 mmHg, irrespective of underlying vasomotor reserve. These findings support the presence of an autoregulatory threshold under which oxygen-sensing pathway(s) act to preserve sufficient myocardial oxygen delivery as CPP is reduced during increases in MVO(2) and/or reductions in arterial oxygen content."
2023 Feb 2,Nature communications,Nat Commun. 2023 Feb 2;14(1):562. doi: 10.1038/s41467-023-36181-0.,"['Choi, Hyo Sub', 'Bhat, Ajay', 'Howington, Marshall B', 'Schaller, Megan L', 'Cox, Rebecca L', 'Huang, Shijiao', 'Beydoun, Safa', 'Miller, Hillary A', 'Tuckowski, Angela M', 'Mecano, Joy', 'Dean, Elizabeth S', 'Jensen, Lindy', 'Beard, Daniel A', 'Evans, Charles R', 'Leiser, Scott F']","['animals', 'mice', ' caenorhabditis elegans genetics metabolism', ' tryptophan', 'longevity', 'oxygenases metabolism', 'carbon', 'mammals metabolism']",FMO rewires metabolism to promote longevity through tryptophan and one carbon metabolism in C. elegans.,"Flavin containing monooxygenases (FMOs) are promiscuous enzymes known for metabolizing a wide range of exogenous compounds. In C. elegans, fmo-2 expression increases lifespan and healthspan downstream of multiple longevity-promoting pathways through an unknown mechanism. Here, we report that, beyond its classification as a xenobiotic enzyme, fmo-2 expression leads to rewiring of endogenous metabolism principally through changes in one carbon metabolism (OCM). These changes are likely relevant, as we find that genetically modifying OCM enzyme expression leads to alterations in longevity that interact with fmo-2 expression. Using computer modeling, we identify decreased methylation as the major OCM flux modified by FMO-2 that is sufficient to recapitulate its longevity benefits. We further find that tryptophan is decreased in multiple mammalian FMO overexpression models and is a validated substrate for FMO-2. Our resulting model connects a single enzyme to two previously unconnected key metabolic pathways and provides a framework for the metabolic interconnectivity of longevity-promoting pathways such as dietary restriction. FMOs are well-conserved enzymes that are also induced by lifespan-extending interventions in mice, supporting a conserved and important role in promoting health and longevity through metabolic remodeling."
2022 Nov,Nature cancer,Nat Cancer. 2022 Nov;3(11):1386-1403. doi: 10.1038/s43018-022-00463-1. Epub 2022 ,"['Halbrook, Christopher J', 'Thurston, Galloway', 'Boyer, Seth', 'Anaraki, Cecily', 'Jiménez, Jennifer A', 'McCarthy, Amy', 'Steele, Nina G', 'Kerk, Samuel A', 'Hong, Hanna S', 'Lin, Lin', 'Law, Fiona V', 'Felton, Catherine', 'Scipioni, Lorenzo', 'Sajjakulnukit, Peter', 'Andren, Anthony', 'Beutel, Alica K', 'Singh, Rima', 'Nelson, Barbara S', 'Van Den Bergh, Fran', 'Krall, Abigail S', 'Mullen, Peter J', 'Zhang, Li', 'Batra, Sandeep', 'Morton, Jennifer P', 'Stanger, Ben Z', 'Christofk, Heather R', 'Digman, Michelle A', 'Beard, Daniel A', 'Viale, Andrea', 'Zhang, Ji', 'Crawford, Howard C', 'Pasca di Magliano, Marina', 'Jorgensen, Claus', 'Lyssiotis, Costas A']","['animals', 'mice', 'humans', ' pancreatic neoplasms drug therapy', 'asparagine metabolism', ' adenocarcinoma drug therapy', 'symbiosis', 'tumor microenvironment']",Differential integrated stress response and asparagine production drive symbiosis and therapy resistance of pancreatic adenocarcinoma cells.,"The pancreatic tumor microenvironment drives deregulated nutrient availability. Accordingly, pancreatic cancer cells require metabolic adaptations to survive and proliferate. Pancreatic cancer subtypes have been characterized by transcriptional and functional differences, with subtypes reported to exist within the same tumor. However, it remains unclear if this diversity extends to metabolic programming. Here, using metabolomic profiling and functional interrogation of metabolic dependencies, we identify two distinct metabolic subclasses among neoplastic populations within individual human and mouse tumors. Furthermore, these populations are poised for metabolic cross-talk, and in examining this, we find an unexpected role for asparagine supporting proliferation during limited respiration. Constitutive GCN2 activation permits ATF4 signaling in one subtype, driving excess asparagine production. Asparagine release provides resistance during impaired respiration, enabling symbiosis. Functionally, availability of exogenous asparagine during limited respiration indirectly supports maintenance of aspartate pools, a rate-limiting biosynthetic precursor. Conversely, depletion of extracellular asparagine with PEG-asparaginase sensitizes tumors to mitochondrial targeting with phenformin."
