time,journal,doi_info,authors,key words,title,abstract
2023 Sep,Tissue engineering. Part A,Tissue Eng Part A. 2023 Sep;29(17-18):471-480. doi: 10.1089/ten.TEA.2022.0196. ,"['Kennedy, Christopher S', 'Núñez, Carla N Villacís', 'Poli, Andrea', 'Vega-Soto, Emmanuel', 'Arruda, Ellen M', 'Larkin, Lisa M']","['sheep', 'animals', 'humans', 'rotator cuff surgery', 'wound healing', ' rotator cuff injuries surgery', 'tendons', ' tendon injuries surgery', 'connective tissue', 'biomechanical phenomena', 'biomechanical testing', 'biomedical engineering', 'enthesis regeneration', 'rotator cuff repair', 'tendon tissue engineering']",Engineered Tissue Graft for Repair of Injured Infraspinatus Rotator Cuff Tendon.,"Rotator cuff tears constitute a vast majority of shoulder-related injuries, occurring in a wide population range and increasing in incidence with age. Current treatments for full thickness tears use suture to secure the ruptured tendon back to its native attachment site and often retear due to improper enthesis regeneration. To reduce the occurrence of retear, our laboratory developed an engineered tendon graft for rotator cuff repair (ETG-RC) to serve as an underlayment to traditional suture repair. We hypothesize the ETG-RC will aid in the repair of the torn rotator cuff tendon by promoting the regeneration of a functional enthesis. This devitalized graft fabricated from ovine-derived bone marrow stromal cells was evaluated for biomechanical and histomorphology properties in an ovine infraspinatus rotator cuff repair model. Compared with a current standard practice Suture-Only model, the ETG-RC repair showed comparable high strain-to-failure forces, greater fibrocartilage deposition, regeneration of zonal gradients, and Shapey's fibers formation, indicative of enthesis regeneration. Enthesis regeneration after rotator cuff repair should repair mechanical properties and alleviate the need for subsequent surgeries required due to retear. The ETG-RC could potentially be used for repairing other tendon injuries throughout the body."
2023 May 26,Communications biology,Commun Biol. 2023 May 26;6(1):564. doi: 10.1038/s42003-023-04948-2.,"['Putera, Kevin H', 'Kim, Jinhee', 'Baek, So Young', 'Schlecht, Stephen H', 'Beaulieu, Mélanie L', 'Haritos, Victoria', 'Arruda, Ellen M', 'Ashton-Miller, James A', 'Wojtys, Edward M', 'Banaszak Holl, Mark M']","['humans', ' anterior cruciate ligament', 'biomechanical phenomena', 'knee joint', ' anterior cruciate ligament injuries', 'fatigue', 'collagen']",Fatigue-driven compliance increase and collagen unravelling in mechanically tested anterior cruciate ligament.,"Approximately 300,000 anterior cruciate ligament (ACL) tears occur annually in the United States, half of which lead to the onset of knee osteoarthritis within 10 years of injury. Repetitive loading is known to result in fatigue damage of both ligament and tendon in the form of collagen unravelling, which can lead to structural failure. However, the relationship between tissue's structural, compositional, and mechanical changes are poorly understood. Herein we show that repetitive submaximal loading of cadaver knees causes an increase in co-localised induction of collagen unravelling and tissue compliance, especially in regions of greater mineralisation at the ACL femoral enthesis. Upon 100 cycles of 4× bodyweight knee loading, the ACL exhibited greater unravelled collagen in highly mineralized regions across varying levels of stiffness domains as compared to unloaded controls. A decrease in the total area of the most rigid domain, and an increase in the total area of the most compliant domain was also found. The results highlight fatigue-driven changes in both protein structure and mechanics in the more mineralized regions of the ACL enthesis, a known site of clinical ACL failure. The results provide a starting point for designing studies to limit ligament overuse injury."
2023 Nov,Journal of orthopaedic research : official publication of the Orthopaedic ,J Orthop Res. 2023 Nov;41(11):2372-2383. doi: 10.1002/jor.25569. Epub 2023 Apr ,"['Rosario, Ryan', 'Arruda, Ellen M', 'Grant, John A', 'Coleman, Rhima M']","['humans', 'knee joint', 'cartilage transplantation', 'transplantation, homologous', 'patella surgery', ' intra-articular fractures', 'allografts', ' cartilage, articular', 'allograft', 'bone', 'cartilage', 'finite elements', 'patella']",Cartilage thickness mismatches in patellar osteochondral allograft transplants affect local cartilage stresses.,"Osteochondral allograft implantation is a form of cartilage transplant in which a cylindrical graft of cartilage and subchondral bone from a donor is implanted into a patient's prepared articular defect site. No standard exists for matching the cartilage thickness of the donor and recipient. The goal of this study was to use finite element (FE) analysis to identify the effect of cartilage thickness mismatches between donor and recipient cartilage on cartilage stresses in patellar transplants. Two types of FE models were used: patient-specific 3D models and simplified 2D models. 3D models highlighted which geometric features produced high-stress regions in the patellar cartilage and provided ranges for the parameter sweeps that were conducted with 2D models. 2D models revealed that larger thickness mismatches, thicker recipient cartilage, and a donor-to-recipient cartilage thickness ratio (DRCR) < 1 led to higher stresses at the interface between the donor and recipient cartilage. A surface angle between the donor-recipient cartilage interface and cartilage surface normal near the graft boundary increased stresses when DRCR > 1, with the largest increase observed for an angle of 15°. A surface angle decreased stresses when DRCR < 1. Clinical Significance: This study highlights a potential mechanism to explain the high rates of failure of patellar OCAs. Additionally, the relationship between geometric features and stresses explored in this study led to a hypothetical scoring system that indicates which transplanted patellar grafts may have a higher risk of failure."
2022 Dec 27,Proceedings of the National Academy of Sciences of the United States of America,Proc Natl Acad Sci U S A. 2022 Dec 27;119(52):e2211725119. doi: ,"['Xiu, Haning', 'Liu, Harry', 'Poli, Andrea', 'Wan, Guangchao', 'Sun, Kai', 'Arruda, Ellen M', 'Mao, Xiaoming', 'Chen, Zi']","[' commerce', 'elasticity', 'miniaturization', 'phase transition', ' printing, three-dimensional', '3d printing', 'bistability', 'maxwell lattice', 'stiffness tuning', 'topological transformation']",Topological transformability and reprogrammability of multistable mechanical metamaterials.,"Concepts from quantum topological states of matter have been extensively utilized in the past decade to create mechanical metamaterials with topologically protected features, such as one-way edge states and topologically polarized elasticity. Maxwell lattices represent a class of topological mechanical metamaterials that exhibit distinct robust mechanical properties at edges/interfaces when they are topologically polarized. Realizing topological phase transitions in these materials would enable on-and-off switching of these edge states, opening opportunities to program mechanical response and wave propagation. However, such transitions are extremely challenging to experimentally control in Maxwell topological metamaterials due to mechanical and geometric constraints. Here we create a Maxwell lattice with bistable units to implement synchronized transitions between topological states and demonstrate dramatically different stiffnesses as the lattice transforms between topological phases both theoretically and experimentally. By combining multistability with topological phase transitions, this metamaterial not only exhibits topologically protected mechanical properties that swiftly and reversibly change, but also offers a rich design space for innovating mechanical computing architectures and reprogrammable neuromorphic metamaterials. Moreover, we design and fabricate a topological Maxwell lattice using multimaterial 3D printing and demonstrate the potential for miniaturization via additive manufacturing. These design principles are applicable to transformable topological metamaterials for a variety of tasks such as switchable energy absorption, impact mitigation, wave tailoring, neuromorphic metamaterials, and controlled morphing systems."
2022 Oct 17,"Philosophical transactions. Series A, Mathematical, physical, and engineering ",Philos Trans A Math Phys Eng Sci. 2022 Oct 17;380(2234):20210324. doi: ,"['Nikolov, Denislav P', 'Srivastava, Siddhartha', 'Abeid, Bachir A', 'Scheven, Ulrich M', 'Arruda, Ellen M', 'Garikipati, Krishna', 'Estrada, Jonathan B']","['continuum mechanics', 'full-field deformations', 'magnetic resonance', 'physics inference', 'sensitivity']","Ogden material calibration via magnetic resonance cartography, parameter sensitivity and variational system identification.","Contemporary material characterization techniques that leverage deformation fields and the weak form of the equilibrium equations face challenges in the numerical solution procedure of the inverse characterization problem. As material models and descriptions differ, so too must the approaches for identifying parameters and their corresponding mechanisms. The widely used Ogden material model can be comprised of a chosen number of terms of the same mathematical form, which presents challenges of parsimonious representation, interpretability and stability. Robust techniques for system identification of any material model are important to assess and improve experimental design, in addition to their centrality to forward computations. Using fully three-dimensional displacement fields acquired in silicone elastomers with our recently developed magnetic resonance cartography (MR-u) technique on the order of greater than [Formula: see text], we leverage partial differential equation-constrained optimization as the basis of variational system identification of our material parameters. We incorporate the statistical F-test to maintain parsimony of representation. Using a new, local deformation decomposition locally into mixtures of biaxial and uniaxial tensile states, we evaluate experiments based on an analytical sensitivity metric and discuss the implications for experimental design. This article is part of the theme issue 'The Ogden model of rubber mechanics: Fifty years of impact on nonlinear elasticity'."
2022 May 1,Journal of biomechanical engineering,J Biomech Eng. 2022 May 1;144(5):050801. doi: 10.1115/1.4053086.,"['Eisner, Lainie E', 'Rosario, Ryan', 'Andarawis-Puri, Nelly', 'Arruda, Ellen M']","['animals', 'collagen metabolism', 'decorin analysis metabolism', ' extracellular matrix metabolism', 'extracellular matrix proteins analysis metabolism', 'glycosaminoglycans metabolism', 'ligaments', 'mice', ' tendons metabolism']",The Role of the Non-Collagenous Extracellular Matrix in Tendon and Ligament Mechanical Behavior: A Review.,"Tendon is a connective tissue that transmits loads from muscle to bone, while ligament is a similar tissue that stabilizes joint articulation by connecting bone to bone. The 70-90% of tendon and ligament's extracellular matrix (ECM) is composed of a hierarchical collagen structure that provides resistance to deformation primarily in the fiber direction, and the remaining fraction consists of a variety of non-collagenous proteins, proteoglycans, and glycosaminoglycans (GAGs) whose mechanical roles are not well characterized. ECM constituents such as elastin, the proteoglycans decorin, biglycan, lumican, fibromodulin, lubricin, and aggrecan and their associated GAGs, and cartilage oligomeric matrix protein (COMP) have been suggested to contribute to tendon and ligament's characteristic quasi-static and viscoelastic mechanical behavior in tension, shear, and compression. The purpose of this review is to summarize existing literature regarding the contribution of the non-collagenous ECM to tendon and ligament mechanics, and to highlight key gaps in knowledge that future studies may address. Using insights from theoretical mechanics and biology, we discuss the role of the non-collagenous ECM in quasi-static and viscoelastic tensile, compressive, and shear behavior in the fiber direction and orthogonal to the fiber direction. We also address the efficacy of tools that are commonly used to assess these relationships, including enzymatic degradation, mouse knockout models, and computational models. Further work in this field will foster a better understanding of tendon and ligament damage and healing as well as inform strategies for tissue repair and regeneration."
2021 Nov 1,Journal of biomechanical engineering,J Biomech Eng. 2021 Nov 1;143(11):111007. doi: 10.1115/1.4051525.,"['Tuttle, Tyler G', 'Morhardt, Duncan R', 'Poli, Andrea A', 'Park, John M', 'Arruda, Ellen M', 'Roccabianca, Sara']",[' urinary bladder'],Investigation of Fiber-Driven Mechanical Behavior of Human and Porcine Bladder Tissue Tested Under Identical Conditions.,"The urinary bladder is a highly dynamic organ that undergoes large deformations several times per day. Mechanical characteristics of the tissue are crucial in determining the function and dysfunction of the organ. Yet, literature reporting on the mechanical properties of human bladder tissue is scarce and, at times, contradictory. In this study, we focused on mechanically testing tissue from both human and pig bladders using identical protocols to validate the use of pigs as a model for the human bladder. Furthermore, we tested the effect of two treatments on tissue mechanical properties. Namely, elastase to digest elastin fibers, and oxybutynin to reduce smooth muscle cell spasticity. Additionally, mechanical properties based on the anatomical direction of testing were evaluated. We implemented two different material models to aid in the interpretation of the experimental results. We found that human tissue behaves similarly to pig tissue at high deformations (collagen-dominated behavior) while we detected differences between the species at low deformations (amorphous matrix-dominated behavior). Our results also suggest that elastin could play a role in determining the behavior of the fiber network. Finally, we confirmed the anisotropy of the tissue, which reached higher stresses in the transverse direction when compared to the longitudinal direction."
2020 Dec 2,Journal of biomechanics,J Biomech. 2020 Dec 2;113:110104. doi: 10.1016/j.jbiomech.2020.110104. Epub 2020 ,"['Luetkemeyer, Callan M', 'Rosario, Ryan A', 'Estrada, Jonathan B', 'Arruda, Ellen M']","['animals', 'anterior cruciate ligament surgery', ' anterior cruciate ligament injuries surgery', ' anterior cruciate ligament reconstruction', 'humans', ' patellar ligament', 'sheep', 'tendons', 'acl', 'anisotropy', 'geometry', 'ligament', 'material properties', 'mechanics', 'patellar tendon', 'splay']",Fiber splay precludes the direct identification of ligament material properties: Implications for ACL graft selection.,"Anterior cruciate ligament (ACL) injuries typically require surgical reconstruction to restore adequate knee stability. The middle third of an injured patient's patellar tendon (PT) is a commonly used graft for ACL reconstruction. However, many clinicians and researchers question whether it is the best option, as several studies have suggested that it is a stiffer material than the ACL. Still, there is little to no consensus on even the most basic material property of ligaments/tendons: the tangent modulus in the fiber direction, or slope of the linear portion of the uniaxial stress-strain curve. In this study, we investigate the effect of fiber splay (the tendency of collagen fibers to spread out near the enthesis) on the apparent tangent modulus. Using a simplified theoretical model, we establish a quantity we call the splay ratio, which describes the relationship between splay geometry and the apparent tangent modulus. We then more rigorously investigate the effect of the splay ratio on the apparent tangent modulus of the ovine PT and anteromedial and posterolateral regions of the ACL using experimental and computational methods. Both approaches confirmed that splay geometry significantly affects the apparent material behavior. Because true material properties are independent of geometry, we conclude that the macroscopic response of ligaments and tendons is not sufficient for the characterization of their material properties, but rather is reflective of both material and structural properties. We further conclude that the PT is probably not a stiffer material than ACL, but that the PT graft is likely a stiffer structure than either ACL region."
2020 Dec 1,Journal of biomechanical engineering,J Biomech Eng. 2020 Dec 1;142(12):121012. doi: 10.1115/1.4047658.,"['Rosario, Ryan', 'Marchi, Benjamin C', 'Arruda, Ellen M', 'Coleman, Rhima M']","[' anterior cruciate ligament', 'biomechanical phenomena', ' knee joint', 'tibia']",The Influence of Anterior Cruciate Ligament Matrix Mechanical Properties on Simulated Whole-Knee Biomechanics.,"Knee finite element (FE) models are used to study tissue deformation in response to complex loads. Typically, ligaments are modeled using transversely isotropic, hyperelastic material models fitted to tension data along the predominant fiber direction (longitudinal) and, less commonly, to tension data orthogonal to the fiber direction (transverse). Currently, the shear and bulk responses of the anterior cruciate ligament (ACL) are not fitted to experimental data. In this study, a newly proposed material model was fitted to longitudinal tension, transverse tension, and shear experimental data. The matrix transverse tensile, shear, and bulk stiffnesses were then varied independently to determine the impact of each property on knee kinematics and tissue deformation in a whole-knee FE model. The range of values for each parameter was chosen based on published FE studies of the knee. For a knee at full extension under 134 N anterior tibial force (ATF), increasing matrix transverse tensile stiffness, shear stiffness, or bulk stiffness decreased anterior tibial translation (ATT), ACL longitudinal strain, and ACL shear strain. For a knee under 134 N ATF and 1600 N compression, changing the ACL matrix mechanical properties caused variations in ATT and thus changed cartilage deformation contours by changing the point of contact between the femoral and the tibial cartilage. These findings indicate that material models for the ACL must describe matrix material properties to best predict the in vivo response to applied loads."
2020,PloS one,PLoS One. 2020 Jun 4;15(6):e0234138. doi: 10.1371/journal.pone.0234138. ,"['Liao, Yingqian', 'Gose, James W', 'Arruda, Ellen M', 'Liu, Allen P', 'Merajver, Sofia D', 'Young, Yin Lu']","['cell line, tumor', 'cell survival', ' high-energy shock waves', 'humans', 'pressure']",Shock wave impact on the viability of MDA-MB-231 cells.,"Shock waves are gaining interests in biological and medical applications. In this work, we investigated the mechanical characteristics of shock waves that affect cell viability. In vitro testing was conducted using the metastatic breast epithelial cell line MDA-MB-231. Shock waves were generated using a high-power pulse laser. Two different coating materials and different laser energy levels were used to vary the peak pressure, decay time, and the strength of subsequent peaks of the shock waves. Within the testing capability of the current study, it is shown that shock waves with a higher impulse led to lower cell viability, a higher detached cell ratio, and a higher cell death ratio, while shock waves with the same peak pressure could lead to different levels of cell damage. The results also showed that the detached cells had a higher cell death ratio compared to the attached cells. Moreover, a critical shock impulse of 5 Pa·s was found to cause the cell death ratio of the detached cells to exceed 50%. This work has demonstrated that, within the testing range shown here, the impulse, rather than the peak pressure, is the governing shock wave parameter for the damage of MDA-MB-231 breast cancer cells. The result suggests that a lower-pressure shock wave with a longer duration, or multiple sequential low amplitude shock waves can be applied over a duration shorter than the fundamental response period of the cells to achieve the same impact as shock waves with a high peak pressure but a short duration. The finding that cell viability is better correlated with shock impulse rather than peak pressure has potential significant implications on how shock waves should be tailored for cancer treatments, enhanced drug delivery, and diagnostic techniques to maximize efficacy while minimizing potential side effects."
