time,journal,doi_info,authors,key words,title,abstract
2024,"Methods in molecular biology (Clifton, N.J.)",Methods Mol Biol. 2024;2777:191-204. doi: 10.1007/978-1-0716-3730-2_14.,"['Snyder, Catherine S', 'Repetto, Taylor', 'Burkhard, Kathleen M', 'Tuteja, Anish', 'Mehta, Geeta']","['polylactic acid-polyglycolic acid copolymer', 'polyglycolic acid', 'glycols', 'sunitinib pharmacology', 'lactic acid', ' antineoplastic agents pharmacology', 'paclitaxel pharmacology', ' nanoparticles', 'cell line, tumor', 'drug carriers', ' neoplasms drug therapy', 'cancer stem cells', 'co-delivery', 'degradable', 'electrospray', 'mesenchymal stem cells', 'nanoparticle drug delivery', 'plga', 'paclitaxel', 'stromal cells', 'sunitinib']",Co-Delivery Polymeric Poly(Lactic-Co-Glycolic Acid) (PLGA) Nanoparticles to Target Cancer Stem-Like Cells.,"Nanoparticle drug delivery has been promoted as an effective mode of delivering antineoplastic therapeutics. However, most nanoparticle designs fail to consider the multifaceted tumor microenvironment (TME) that produce pro-tumoral niches, which are often resistant to chemo- and targeted therapies. In order to target the chemoresistant cancer stem-like cells (CSCs) and their supportive TME, in this chapter we describe a nanoparticle-based targeted co-delivery that addresses the paracrine interactions between CSC and non-cancerous mesenchymal stem cells (MSCs) in the TME. Carcinoma-activated MSCs have been shown to increase the chemoresistance and metastasis of CSC. Yet their contributions to protect the CSC TME have not yet been systematically investigated in the design of nanoparticles for drug delivery. Therefore, we describe the fabrication of degradable poly(lactic-co-glycolic acid) (PLGA) nanoparticles (120-200 nm), generated with an electrospraying process that encapsulates both a conventional chemotherapeutic, paclitaxel, and a targeted tyrosine kinase inhibitor, sunitinib, to limit MSC interactions with CSC. In the 3D hetero-spheroid model that comprises both CSCs and MSCs, the delivery of sunitinib as a free drug disrupted the MSC-protected CSC stemness and migration. Therefore, this chapter describes the co-delivery of paclitaxel and sunitinib via PLGA nanoparticles as a potential targeted therapy strategy for targeting CSCs. Overall, nanoparticles can provide an effective delivery platform for targeting CSCs and their TME together. Forthcoming studies can corroborate similar combined therapies with nanoparticles to improve the killing of CSC and chemoresistant cancer cells, thereby improving treatment efficiency."
2024,"Methods in molecular biology (Clifton, N.J.)",Methods Mol Biol. 2024;2777:99-122. doi: 10.1007/978-1-0716-3730-2_8.,"['Burkhard, Kathleen M', 'Mehta, Geeta']","['humans', 'tumor microenvironment', ' neoplasms genetics pathology', 'signal transduction', ' antineoplastic agents pharmacology', 'cell communication', 'neoplastic stem cells pathology', 'alternately activated macrophages, aam', 'cancer stem-like cells, csc', 'carcinoma associated mesenchymal stem cells, ca-msc', 'carcinoma-associated fibroblasts, caf', 'heterogeneity', 'immune microenvironment', 'macrophages', 'mesenchymal stem cells, msc', 'organoids', 'spheroids', 'tumor cells', 'tumor microenvironment', 'tumoroids']",Multicellular Tumoroids for Investigating Cancer Stem-Like Cells in the Heterogeneous Tumor Microenvironment.,"Cancer stem-like cells (CSC) are a major contributing factor to chemoresistance, tumor recurrence, and poor survival outcomes in patients across cancer types. Signaling from non-tumor cells in the tumor microenvironment (TME) enriches for and supports CSC. This complex cell-cell signaling in the heterogeneous TME presents a challenge for patient survival; however, it also presents an opportunity to develop new targeted therapies that can inhibit survival of CSC. In this chapter, we report a multicellular tumoroid model which can be used to investigate the interactions between cancer cells and non-tumor cells in the TME to better understand the contribution of various cell types to cancer cell phenotypes, as well as the underlying mechanisms involved. The following methods allow for each cell type to be distinguished using FACS and studied individually. Gene expression can be analyzed for cancer cells, as well as the other non-tumor cells using qPCR following sorting. The response to chemotherapeutic agents and expression of stem markers can be determined for cancer cells using flow cytometry, excluding the other cell types to get an accurate view of the cancer cells. Furthermore, the viability of non-tumor cells can be analyzed as well to determine if there are cytotoxic effects of the drugs on non-tumor cells. Thus, the multicellular tumoroid model will reveal the interactions between the CSC and non-tumor cells in the heterogenous TME, resulting in discoveries in the fields of cancer biology, novel targeted therapies, and personalized drug screening for precision medicine."
2023 Dec 8,ACS pharmacology & translational science,ACS Pharmacol Transl Sci. 2023 Nov 14;6(12):1758-1779. doi: ,"['Hasanzadeh, Akbar', 'Ebadati, Arefeh', 'Dastanpour, Lida', 'Aref, Amir R', 'Sahandi Zangabad, Parham', 'Kalbasi, Alireza', 'Dai, Xiaofeng', 'Mehta, Geeta', 'Ghasemi, Amir', 'Fatahi, Yousef', 'Joshi, Suhasini', 'Hamblin, Michael R', 'Karimi, Mahdi']",[],Applications of Innovation Technologies for Personalized Cancer Medicine: Stem Cells and Gene-Editing Tools.,"Personalized medicine is a new approach toward safer and even cheaper treatments with minimal side effects and toxicity. Planning a therapy based on individual properties causes an effective result in a patient's treatment, especially in a complex disease such as cancer. The benefits of personalized medicine include not only early diagnosis with high accuracy but also a more appropriate and effective therapeutic approach based on the unique clinical, genetic, and epigenetic features and biomarker profiles of a specific patient's disease. In order to achieve personalized cancer therapy, understanding cancer biology plays an important role. One of the crucial applications of personalized medicine that has gained consideration more recently due to its capability in developing disease therapy is related to the field of stem cells. We review various applications of pluripotent, somatic, and cancer stem cells in personalized medicine, including targeted cancer therapy, cancer modeling, diagnostics, and drug screening. CRISPR-Cas gene-editing technology is then discussed as a state-of-the-art biotechnological advance with substantial impacts on medical and therapeutic applications. As part of this section, the role of CRISPR-Cas genome editing in recent cancer studies is reviewed as a further example of personalized medicine application."
2022 Nov 2,Matter,Matter. 2022 Nov 2;5(11):4076-4091. doi: 10.1016/j.matt.2022.08.018. Epub 2022 ,"['Dhyani, Abhishek', 'Repetto, Taylor', 'Bartikofsky, Dylan', 'Mirabelli, Carmen', 'Gao, Zhihe', 'Snyder, Sarah A', 'Snyder, Catherine', 'Mehta, Geeta', 'Wobus, Christiane E', 'VanEpps, J Scott', 'Tuteja, Anish']","['covid-19', 'sars-cov-2', 'antimicrobial', 'antiviral', 'durable', 'gram-negative', 'gram-positive', 'instant kill', 'long-lasting', 'persistent']",Surfaces with instant and persistent antimicrobial efficacy against bacteria and SARS-CoV-2.,"Surfaces contaminated with bacteria and viruses contribute to the transmission of infectious diseases and pose a significant threat to global public health. Modern day disinfection either relies on fast-acting (>3-log reduction within a few minutes), yet impermanent, liquid-, vapor-, or radiation-based disinfection techniques, or long-lasting, but slower-acting, passive antimicrobial surfaces based on heavy metal surfaces, or metallic nanoparticles. There is currently no surface that provides instant and persistent antimicrobial efficacy against a broad spectrum of bacteria and viruses. In this work, we describe a class of extremely durable antimicrobial surfaces incorporating different plant secondary metabolites that are capable of rapid disinfection (>4-log reduction) of current and emerging pathogens within minutes, while maintaining persistent efficacy over several months and under significant environmental duress. We also show that these surfaces can be readily applied onto a variety of desired substrates or devices via simple application techniques such as spray, flow, or brush coating."
2022 May 5,Cancers,Cancers (Basel). 2022 May 5;14(9):2297. doi: 10.3390/cancers14092297.,"['Kapur, Arvinder', 'Mehta, Pooja', 'Simmons, Aaron D', 'Ericksen, Spencer S', 'Mehta, Geeta', 'Palecek, Sean P', 'Felder, Mildred', 'Stenerson, Zach', 'Nayak, Amruta', 'Dominguez, Jose Maria Ayuso', 'Patankar, Manish', 'Barroilhet, Lisa M']","['metabolism', 'mitochondria', 'oxidative phosphorylation']",Atovaquone: An Inhibitor of Oxidative Phosphorylation as Studied in Gynecologic Cancers.,"Oxidative phosphorylation is an active metabolic pathway in cancer. Atovaquone is an oral medication that inhibits oxidative phosphorylation and is FDA-approved for the treatment of malaria. We investigated its potential anti-cancer properties by measuring cell proliferation in 2D culture. The clinical formulation of atovaquone, Mepron, was given to mice with ovarian cancers to monitor its effects on tumor and ascites. Patient-derived cancer stem-like cells and spheroids implanted in NSG mice were treated with atovaquone. Atovaquone inhibited the proliferation of cancer cells and ovarian cancer growth in vitro and in vivo. The effect of atovaquone on oxygen radicals was determined using flow and imaging cytometry. The oxygen consumption rate (OCR) in adherent cells was measured using a Seahorse XFe96 Extracellular Flux Analyzer. Oxygen consumption and ATP production were inhibited by atovaquone. Imaging cytometry indicated that the majority of the oxygen radical flux triggered by atovaquone occurred in the mitochondria. Atovaquone decreased the viability of patient-derived cancer stem-like cells and spheroids implanted in NSG mice. NMR metabolomics showed shifts in glycolysis, citric acid cycle, electron transport chain, phosphotransfer, and metabolism following atovaquone treatment. Our studies provide the mechanistic understanding and preclinical data to support the further investigation of atovaquone's potential as a gynecologic cancer therapeutic."
2022 Jul 1,Acta biomaterialia,Acta Biomater. 2022 Jul 1;146:222-234. doi: 10.1016/j.actbio.2022.04.039. Epub ,"['Horst, Eric N', 'Novak, Caymen M', 'Burkhard, Kathleen', 'Snyder, Catherine S', 'Verma, Rhea', 'Crochran, Darel E', 'Geza, Izabella A', 'Fermanich, Wesley', 'Mehta, Pooja', 'Schlautman, Denise C', 'Tran, Linh A', 'Brezenger, Michael E', 'Mehta, Geeta']","['alginates chemistry', 'biophysics', 'carcinoma, ovarian epithelial metabolism', 'collagen chemistry', 'extracellular matrix metabolism', 'female', 'humans', 'hydrogels chemistry', 'mechanotransduction, cellular', ' ovarian neoplasms metabolism', 'sepharose', ' tumor microenvironment', 'agarose', 'alginate', 'cancers', 'collagen', 'extracellular matrix', 'hydrogel', 'injectable', 'interpenetrating network', 'mechanobiology', 'ovarian cancers', 'tumor microenvironment']",Injectable three-dimensional tumor microenvironments to study mechanobiology in ovarian cancer.,"Epithelial ovarian cancers are among the most aggressive forms of gynecological malignancies. Despite the advent of poly adenosine diphosphate-ribose polymerase (PARP) and checkpoint inhibitors, improvement to patient survival has been modest. Limited in part by clinical translation, beneficial therapeutic strategies remain elusive in ovarian cancers. Although elevated levels of extracellular proteins, including collagens, proteoglycans, and glycoproteins, have been linked to chemoresistance, they are often missing from the processes of drug- development and screening. Biophysical and biochemical signaling from the extracellular matrix (ECM) determine cellular phenotype and affect both tumor progression and therapeutic response. However, many state-of-the-art tumor models fail to mimic the complexities of the tumor microenvironment (TME) and omit key signaling components. In this article, two interpenetrating network (IPN) hydrogel scaffold platforms, comprising of alginate-collagen or agarose-collagen, have been characterized for use as 3D in vitro models of epithelial ovarian cancer ECM. These highly tunable, injection mold compatible, and inexpensive IPNs replicate the critical governing physical and chemical signaling present within the ovarian TME. Additionally, an effective and cell-friendly live-cell retrieval method has been established to recover cells post-encapsulation. Lastly, functional mechanotransduction in ovarian cancers was demonstrated by increasing scaffold stiffness within the 3D in vitro ECM models. With these features, the agarose-collagen and alginate-collagen hydrogels provide a robust TME for the study of mechanobiology in epithelial cancers. STATEMENT OF SIGNIFICANCE: Ovarian cancer is the most lethal gynecologic cancer afflicting women today. Here we present the development, characterization, and validation of 3D interpenetrating platforms to shift the paradigm in standard in vitro modeling. These models help elucidate the roles of biophysical and biochemical cues in ovarian cancer progression. The agarose-collagen and alginate-collagen interpenetrating network (IPN) hydrogels are simple to fabricate, inexpensive, and can be modified to create custom mechanical stiffnesses and concentrations of bio-adhesive motifs. Given that investigations into the roles of biophysical characteristics in ovarian cancers have provided incongruent results, we believe that the IPN platforms will be critically important to uncovering molecular drivers. We also expect these platforms to be broadly applicable to studies involving mechanobiology in solid tumors."
2022,Frontiers in bioengineering and biotechnology,Front Bioeng Biotechnol. 2022 Mar 25;10:797542. doi: 10.3389/fbioe.2022.797542. ,"['Aw Yong, Koh Meng', 'Horst, Eric', 'Neale, Dylan', 'Royzenblat, Sonya', 'Lahann, Joerg', 'Greineder, Colin', 'Weivoda, Megan', 'Mehta, Geeta', 'Keller, Evan T']","['bioreactor 3d cell culture', 'mechanotrasduction', 'osteoblast (ob)', 'osteocyte', 'prostate cancer']",A Bioreactor for 3D In Vitro Modeling of the Mechanical Stimulation of Osteocytes.,"The bone is a mechanosensitive organ that is also a common metastatic site for prostate cancer. However, the mechanism by which the tumor interacts with the bone microenvironment to further promote disease progression remains to be fully understood. This is largely due to a lack of physiological yet user-friendly models that limit our ability to perform in-depth mechanistic studies. Here, we report a tunable bioreactor which facilitates the 3D culture of the osteocyte cell line, MLO-Y4, in a hydroxyapatite/tricalcium phosphate (HA/TCP) scaffold under constant fluidic shear stress and tunable hydrostatic pressure within physiological parameters. Increasing hydrostatic pressure was sufficient to induce a change in the expression of several bone remodeling genes such as Dmp1, Rankl, and Runx2. Furthermore, increased hydrostatic pressure induced the osteocytes to promote the differentiation of the murine macrophage cell line RAW264.7 toward osteoclast-like cells. These results demonstrate that the bioreactor recapitulates the mechanotransduction response of osteocytes to pressure including the measurement of their functional ability in a 3D environment. In conclusion, the bioreactor would be useful for exploring the mechanisms of osteocytes in bone health and disease."
2022,"Methods in molecular biology (Clifton, N.J.)",Methods Mol Biol. 2022;2424:217-245. doi: 10.1007/978-1-0716-1956-8_15.,"['Bregenzer, Michael', 'Horst, Eric', 'Mehta, Pooja', 'Snyder, Catherine', 'Repetto, Taylor', 'Mehta, Geeta']","['cell line, tumor', 'coculture techniques', 'drug resistance, neoplasm', 'female', 'humans', 'neoplastic stem cells', ' ovarian neoplasms drug therapy', ' tumor microenvironment', 'cancer stem-like cells', 'chemoresistance', 'co-cultures', 'juxtacrine', 'ovarian cancers', 'paracrine', 'three-dimensional', 'tumor microenvironment']",The Role of the Tumor Microenvironment in CSC Enrichment and Chemoresistance: 3D Co-culture Methods.,"Cancer stem-like cells (CSC) are responsible for tumor progression, chemoresistance, recurrence, and poor outcomes in many cancers, making them critical research and therapeutic targets. One of the critical components potentiating CSC chemoresistance is the interactions between CSC and the surrounding cells in the tumor microenvironment. Our lab has developed several 3D co-culture models to study ovarian CSC interactions with stromal or immune cells found in ovarian tumor microenvironments. In this chapter, we use ovarian cancer as a model to describe the methodologies developed in our lab; however, these techniques are applicable to a wide range of cancers. First, we discuss our method for isolating CSC from heterogeneous tumors and for creating 3D self-assembled tumoroids in hanging drop plates, in either monoculture or co-culture with mesenchymal stem cells or monocytes/macrophages. We then discuss methods for analyzing these models with a focus on isolating cell-type-specific changes and mechanism investigation. Specifically, we describe lentiviral transduction and flow cytometry as established and robust methods to identify and separate each cell type for downstream analysis. We then describe methods to examine CSC functionality with transwell migration assays and colorimetric MTS-based proliferation assays. Finally, we demonstrate enzyme-linked immunosorbent assays (ELISA ) and quantitative polymerase chain reaction (qPCR) methods as mechanistic investigation tools to decouple paracrine and juxtacrine interactions. These methods have wide-reaching applications in cancer research from basic biological investigations, to drug discovery, and personalized drug screening for precision medicine."
2021 Jul 16,"Science (New York, N.Y.)",Science. 2021 Jul 16;373(6552):eaba5010. doi: 10.1126/science.aba5010.,"['Dhyani, Abhishek', 'Wang, Jing', 'Halvey, Alex Kate', 'Macdonald, Brian', 'Mehta, Geeta', 'Tuteja, Anish']",[],Design and applications of surfaces that control the accretion of matter.,"Surfaces that provide control over liquid, solid, or vapor accretion provide an evolutionary advantage to numerous plants, insects, and animals. Synthetic surfaces inspired by these natural surfaces can have a substantial impact on diverse commercial applications. Engineered liquid and solid repellent surfaces are often designed to impart control over a single state of matter, phase, or fouling length scale. However, surfaces used in diverse real-world applications need to effectively control the accrual of matter across multiple phases and fouling length scales. We discuss the surface design strategies aimed at controlling the accretion of different states of matter, particularly those that work across multiple length scales and different foulants. We also highlight notable applications, as well as challenges associated with these designer surfaces' scale-up and commercialization."
2021 Jun 8,Analytical chemistry,Anal Chem. 2021 Jun 8;93(22):8054-8061. doi: 10.1021/acs.analchem.1c01326. Epub ,"['Boban, Mathew', 'Mehta, Pooja', 'Halvey, Alex Kate', 'Repetto, Taylor', 'Tuteja, Anish', 'Mehta, Geeta']","['drug evaluation, preclinical', 'drug screening assays, antitumor', 'humans', ' neoplasms', ' spheroids, cellular']","Novel Omniphobic Platform for Multicellular Spheroid Generation, Drug Screening, and On-Plate Analysis.","Multicellular spheroids are superior to other culture geometries in reproducing critical physiological conditions of tumors, such as the diffusion of oxygen, nutrients, waste, and drugs, leading to a more precise model of in vivo drug sensitivity and resistance. Previously reported spheroid culture platforms are often difficult to use, expensive, single-use, or mechanically unstable. Here, we report a facile, mechanically stable, high-throughput spheroid culture platform based on hierarchically textured omniphobic surfaces. The developed omniphobic surfaces display very high contact angles with a range of different liquids, including the cell-laden culture media, thereby minimizing the cell surface contact area. Additionally, these surfaces maintain these high contact angles for extended periods of time to ensure cell aggregation. Using this novel platform, we demonstrate the generation and maintenance of robust multicellular spheroids, as well as heterogeneous, multicell-type spheroids. The platform is extremely robust, resistant to mechanical shock, allows for on-plate imaging, and is also the first-ever spheroid generation platform that can be reused repeatedly. Finally, the platform is suitable for on-plate drug screening and enables the first-ever, on-plate immunofluorescence staining and imaging of spheroids."
