time,journal,doi_info,authors,key words,title,abstract
2024 May 30,The Annals of thoracic surgery,Ann Thorac Surg. 2024 May 30:S0003-4975(24)00397-7. doi: ,"['Brescia, Alexander A', 'Groskurth, Jordan D', 'Murphy, Edward T', 'Hawkins, Robert B', 'Theurer, Patricia', 'Clark, Melissa', 'He, Chang', 'Bolling, Steven F', 'Pruitt, Andrew L', 'Prager, Richard L', 'Pagani, Francis D', 'Ailawadi, Gorav']",[],Increasing Adoption of Left Atrial Appendage Occlusion in Isolated Coronary Artery Bypass Grafting.,"BACKGROUND: Recent randomized trial data showed fewer strokes with left atrial appendage occlusion (LAAO) following cardiac surgery in patients with atrial fibrillation. We developed a quality initiative to increase LAAO adoption. METHODS: Among 11,099 patients undergoing isolated CABG between January 2019-March 2021 at 33 hospitals in Michigan, those with atrial fibrillation undergoing first-time, on-pump CABG were eligible (n=1,241). A goal LAAO rate of 75% was selected as a quality improvement target through a statewide collaborative. An interrupted time series analysis evaluated the change in LAAO rate before (January-December 2019) versus after (January 2020-March 2021) implementation. RESULTS: Implementation of the quality metric improved LAAO rate from 61% (357/581) before to 79% (520/660) after implementation (p<0.001). Compared to patients not undergoing concomitant LAAO, LAAO patients (71%, 877/1,241) were older, more frequently male, and had a lower STS-PROM (2.9±3.5% vs. 3.7±5.7%, p=0.003), while other baseline characteristics including CHA(2)DS(2)-VASc scores were similar. Mean bypass and cross-clamp times were 7 and 6 minutes longer, respectively, in the LAAO group among those who did not undergo concomitant ablation. Operative mortality, major morbidity, blood product administration, and thromboembolic events were similar between groups. Interrupted time series analysis showed a significant increase in LAAO rate after implementation (p=0.009). CONCLUSIONS: LAAO in patients with atrial fibrillation undergoing isolated CABG did not add operative risk versus isolated CABG without LAAO. A statewide quality improvement initiative was successful in increasing the rate of concomitant LAAO and could be further evaluated as a potential quality metric in cardiac surgery."
2024 May 25,The Annals of thoracic surgery,Ann Thorac Surg. 2024 May 25:S0003-4975(24)00385-0. doi: ,"['Brescia, Alexander A', 'Wagner, Catherine M', 'Meldrum, Danika E', 'Watt, Tessa M F', 'Hawkins, Robert B', 'Green, China J', 'Romano, Matthew A', 'Bolling, Steven F', 'Ailawadi, Gorav']",[],Risk of Pacemaker Implantation After Degenerative Mitral and Concomitant Tricuspid Valve Surgery.,"BACKGROUND: A recent multicenter trial showed a reduction in tricuspid regurgitation (TR) progression when tricuspid annuloplasty was performed at the time of surgery for degenerative mitral regurgitation (MR), but with a 14% pacemaker (PPM) rate. We present real-world outcomes at a high-volume center for degenerative MR surgery with/without tricuspid annuloplasty. METHODS: Patients undergoing first-time degenerative mitral surgery between 2011-2021 were identified (n=1,738). After excluding patients undergoing aortic, aortic valve, or tricuspid replacement procedures, patients were stratified into mitral surgery alone (n=1,068) versus mitral surgery plus tricuspid annuloplasty (n=417). Outcomes including operative mortality, new PPM implantation, and postoperative length of stay as well as risk-adjusted overall mortality were compared. RESULTS: Among 1,485 patients in this study, 98% underwent mitral repair. Compared to concomitant tricuspid annuloplasty patients, those undergoing mitral surgery alone were 6 years younger and had lower median STS PROM. Among concomitant tricuspid repair patients, 85% (355/417) had moderate or less preoperative TR, while 15% (61/417) had severe TR. Operative mortality was 1.4%. The incidence of new PPM implantation was 0.7% (7/1,068) in the mitral only group and 5.5% (23/417) in the concomitant tricuspid group (p<0.001). Although unadjusted cumulative survival was lower in the concomitant tricuspid group, after risk adjustment, concomitant tricuspid surgery was not associated with worse overall mortality (HR 0.80 [95%"
2024 May 21,Journal of the American College of Cardiology,J Am Coll Cardiol. 2024 May 21;83(20):2002-2014. doi: 10.1016/j.jacc.2024.02.045.,"['Hahn, Rebecca T', 'Wilkoff, Bruce Larry', 'Kodali, Susheel', 'Birgersdotter-Green, Ulrika Maria', 'Ailawadi, Gorav', 'Addetia, Karima', 'Andreas, Martin', 'Auricchio, Angelo', 'Ehlert, Frederick', 'George, Isaac', 'Gupta, Aakriti', 'Harrison, Rachel', 'Ho, Edwin C', 'Kusumoto, Fred', 'Latib, Azeem', ""O'Gara, Patrick"", 'Patton, Kristen K', 'Pinney, Sean', 'Zeitler, Emily P', 'Mack, Michael J', 'Leon, Martin B', 'Epstein, Laurence M']","['humans', ' tricuspid valve insufficiency surgery', ' defibrillators, implantable adverse effects', ' pacemaker, artificial adverse effects', 'heart valve prosthesis implantation methods adverse effects', 'severity of illness index', 'cardiac implantable electronic device', 'transcatheter tricuspid valve replacement', 'tricuspid regurgitation']",Managing Implanted Cardiac Electronic Devices in Patients With Severe Tricuspid Regurgitation: JACC State-of-the-Art Review.,"Orthotopic transcatheter tricuspid valve replacement (TTVR) devices have been shown to be highly effective in reducing tricuspid regurgitation (TR), and interest in this therapy is growing with the recent commercial approval of the first orthotopic TTVR. Recent TTVR studies report preexisting cardiac implantable electronic device ("
2024 Apr 29,The Journal of thoracic and cardiovascular surgery,J Thorac Cardiovasc Surg. 2024 Apr 29:S0022-5223(24)00309-X. doi: ,"['Wagner, Catherine M', 'Theurer, Patricia F', 'Clark, Melissa J', 'He, Chang', 'Ling, Carol', 'Murphy, Edward', 'Martin, James', 'Bolling, Steven F', 'Likosky, Donald S', 'Thompson, Michael P', 'Pagani, Francis D', 'Ailawadi, Gorav', 'Hawkins, Robert B']","['atrial fibrillation', 'health equity', 'quality', 'sex disparities']",Evaluation of sex differences in the receipt of concomitant atrial fibrillation procedures during nonmitral cardiac surgery.,"OBJECTIVE: Women are less likely to receive guideline-recommended cardiovascular care, but evaluation of sex-based disparities in cardiac surgical procedures is limited. Receipt of concomitant atrial fibrillation (AF) procedures during nonmitral cardiac surgery was compared by sex for patients with preoperative AF. METHODS: Patients with preoperative AF undergoing coronary artery bypass grafting and/or aortic valve replacement at any of the 33 hospitals in Michigan from 2014 to 2022 were included. Patients with prior cardiac surgery, transcatheter AF procedure, or emergency/salvage status were excluded. Hierarchical logistic regression identified predictors of concomitant AF procedures, account for hospital and surgeon as random effects. RESULTS: Of 5460 patients with preoperative AF undergoing nonmitral cardiac surgery, 24% (n = 1291) were women with a mean age of 71 years. Women were more likely to have paroxysmal (vs persistent) AF than men (80% vs 72%; P < .001) and had a higher mean predicted risk of mortality (5% vs 3%; P < .001). The unadjusted rate of concomitant AF procedure was 59% for women and 67% for men (P < .001). After risk adjustment, women had 26% lower adjusted odds of concomitant AF procedure than men (adjusted odds ratio, 0.74; 95%"
2024 Apr 30,Journal of the American College of Cardiology,J Am Coll Cardiol. 2024 Apr 30;83(17):1656-1668. doi: 10.1016/j.jacc.2024.02.042.,"['Iribarne, Alexander', 'Alabbadi, Sundos H', 'Moskowitz, Alan J', 'Ailawadi, Gorav', 'Badhwar, Vinay', 'Gillinov, Marc', 'Thourani, Vinod H', 'Allen, Keith B', 'Halkos, Michael E', 'Patel, Nirav C', 'Kramer, Robert S', ""D'Alessandro, David"", 'Raymond, Samantha', 'Chang, Helena L', 'Gupta, Lopa', 'Fenton, Kathleen N', 'Taddei-Peters, Wendy C', 'Chu, Michael W A', 'Falk, Volkmar', 'Chikwe, Joanna', 'Jeffries, Neal', 'Bagiella, Emilia', ""O'Gara, Patrick T"", 'Gelijns, Annetine C', 'Egorova, Natalia N']","['humans', 'female', 'male', 'aged', ' pacemaker, artificial adverse effects', ' tricuspid valve surgery', 'middle aged', 'mitral valve surgery', 'retrospective studies', 'cardiac valve annuloplasty adverse effects', 'postoperative complications epidemiology etiology', 'treatment outcome', 'heart failure hospitalizations', 'mitral valve repair', 'mortality', 'tricuspid annuloplasty']",Permanent Pacemaker Implantation and Long-Term Outcomes of Patients Undergoing Concomitant Mitral and Tricuspid Valve Surgery.,"BACKGROUND: Tricuspid valve annuloplasty (TA) during mitral valve repair (MVr) is associated with increased risk of permanent pacemaker (PPM) implantation, but the magnitude of risk and long-term clinical consequences have not been firmly established. OBJECTIVES: This study assesses the incidence rates of PPM implantation after isolated MVr and following MVr with TA as well as the associated long-term clinical consequences of PPM implantation. METHODS: State-mandated hospital discharge databases of New York and California were queried for patients undergoing MVr (isolated or with concomitant TA) between 2004 and 2019. Patients were stratified by whether or not they received a PPM within 90 days of index surgery. After weighting by propensity score, survival, heart failure hospitalizations (HFHs), endocarditis, stroke, and reoperation were compared between patients with or without PPM. RESULTS: A total of 32,736 patients underwent isolated MVr (n = 28,003) or MVr + TA (n = 4,733). Annual MVr + TA volumes increased throughout the study period (P < 0.001, trend), and PPM rates decreased (P < 0.001, trend). The incidence of PPM implantation <90 days after surgery was 7.7% for MVr and 14.0% for MVr + TA. In 90-day conditional landmark-weighted analyses, PPMs were associated with reduced long-term survival among MVr (HR: 1.96; 95%"
2024 Jul,The Annals of thoracic surgery,Ann Thorac Surg. 2024 Jul;118(1):147-154. doi: 10.1016/j.athoracsur.2024.03.032. ,"['Wagner, Catherine M', 'Fu, Whitney', 'Brescia, Alexander A', 'Woodford, Jessica', 'Green, China', 'Likosky, Donald S', 'Hawkins, Robert B', 'Romano, Matthew A', 'Ailawadi, Gorav', 'Bolling, Steven F']","['humans', 'female', 'male', 'aged', ' tricuspid valve insufficiency surgery', 'sex factors', 'retrospective studies', ' mitral valve insufficiency surgery', ' mitral valve surgery', ' tricuspid valve surgery', 'middle aged', 'reoperation statistics & numerical data', 'treatment outcome']",Sex-Based Differences in Concomitant Tricuspid Repair During Degenerative Mitral Surgery.,"BACKGROUND: Women with mitral valve disease have higher rates of tricuspid regurgitation (TR) than men. Although tricuspid valve repair (TVr) decreases the progression of TR, we hypothesize that there may be sex-based differences in concomitant TVr at the time of mitral valve operations. METHODS: Adults undergoing mitral valve operation for degenerative disease with moderate or worse preoperative TR at a high-volume center from 2014 to 2023 were identified. Patients with a previous tricuspid intervention were excluded. A multivariable logistic regression identified predictors of concomitant TVr. To evaluate the clinical impact of not performing TVr, a competing risk model compared development of severe TR or valve-related reoperation by sex among patients without TVr. RESULTS: Most included patients were women (55% [n = 214 of 388]), and the median age was 73 years (quartile 1-quartile 3, 65-79 years). There was no difference in the rate of severe TR by sex (female, 28%; male, 26%; P = .63). The unadjusted rate of concomitant TVr was 57% for women and 73% for men (P < .001). Overall, women had 52% lower adjusted odds of TVr (adjusted odds ratio, 0.48; 95%"
2024 May,The Annals of thoracic surgery,Ann Thorac Surg. 2024 May;117(5):1061. doi: 10.1016/j.athoracsur.2024.02.023. ,"['Kazaleh, Matthew', 'Ailawadi, Gorav']","['humans', ' anemia therapy etiology', ' blood transfusion']",Anemia vs Transfusion: The Chicken or the Egg.,
2024 Jun,The Annals of thoracic surgery,Ann Thorac Surg. 2024 Jun;117(6):1164-1171. doi: ,"['Thourani, Vinod H', 'Abbas, Amr E', 'Ternacle, Julien', 'Hahn, Rebecca T', 'Makkar, Raj', 'Kodali, Susheel K', 'George, Isaac', 'Kapadia, Samir', 'Svensson, Lars G', 'Szeto, Wilson Y', 'Herrmann, Howard C', 'Ailawadi, Gorav', 'Leipsic, Jonathon', 'Blanke, Philipp', 'Webb, John', 'Jaber, Wael A', 'Russo, Mark', 'Malaisrie, S Chris', 'Yadav, Pradeep', 'Clavel, Marie-Annick', 'Khalique, Omar K', 'Weissman, Neil J', 'Douglas, Pamela', 'Bax, Jeroen', 'Dahou, Abdellaziz', 'Xu, Ke', 'Bapat, Vinayak', 'Alu, Maria C', 'Leon, Martin B', 'Mack, Michael J', 'Pibarot, Philippe']","['humans', 'female', 'male', 'aged', ' heart valve prosthesis', ' aortic valve stenosis surgery', 'prospective studies', 'transcatheter aortic valve replacement methods adverse effects', 'aortic valve surgery', 'postoperative complications epidemiology', 'heart valve prosthesis implantation methods adverse effects', 'prosthesis design', 'aged, 80 and over', 'treatment outcome', 'prosthesis fitting']",Patient-Prosthesis Mismatch After Surgical Aortic Valve Replacement: Analysis of the PARTNER Trials.,"BACKGROUND: Our objective was to compare the impact of patient-prosthesis mismatch (PPM) for 2 years after surgical aortic valve replacement within the prospective, randomized Placement of Aortic Transcatheter Valves (PARTNER) trials. METHODS: Surgical aortic valve replacement patients from the PARTNER 1, 2, and 3 trials were included. PPM was classified as moderate (indexed effective orifice area ≤0.85 cm(2)/m(2)) or severe (indexed effective orifice area ≤0.65 cm(2)/m(2)). The primary endpoint was the composite of all-cause death and heart failure rehospitalization at 2 years. RESULTS: By the predicted PPM method (PPM(P)), 59.1% had no PPM, 38.8% moderate PPM, and 2.1% severe PPM; whereas by the measured PPM method (PPM(M)), 42.4% had no PPM, 36.0% moderate, and 21.6% severe. Patients with no PPM(P) (23.6%) had a lower rate of the primary endpoint compared with patients with moderate (28.2%, P = .03) or severe PPM(P) (38.8%, P = .02). Using the PPM(M) method, there was no difference between the no (17.7%) and moderate PPM(M) groups (21.1%) in the primary outcome (P = .16). However, those with no PPM(M) or moderate PPM(M) were improved compared with severe PPM(M) (27.4%, P < .001 and P = .02, respectively). CONCLUSIONS: Severe PPM analyzed by PPM(P) was only 2.1% for surgical aortic valve replacement patients. The PPM(M) method overestimated the incidence of severe PPM relative to PPM(P), but was also associated with worse outcome. There was higher all-cause mortality in patients with severe PPM, thus surgical techniques to minimize PPM remain critical."
2024 Jan-Feb,"Innovations (Philadelphia, Pa.)",Innovations (Phila). 2024 Jan-Feb;19(1):64-71. doi: 10.1177/15569845231222315. ,"['Wisniewski, Alex M', 'Young, Steven D', 'Do-Nguyen, Chi Chi', 'Hawkins, Robert B', 'Romano, Matthew P', 'Teman, Nicholas R', 'Ailawadi, Gorav']","['humans', ' frailty complications epidemiology', 'mitral valve surgery', 'risk factors', 'retrospective studies', ' sarcopenia complications epidemiology', 'minimally invasive surgical procedures adverse effects methods', ' cardiac surgical procedures', 'treatment outcome', 'frailty', 'minimally invasive', 'mitral valve', 'psoas']",Impact of Frailty in Patients Undergoing Minimally Invasive Mitral Valve Surgery.,"OBJECTIVE: Psoas muscle size is a reliable marker of sarcopenia and frailty that correlates with adverse outcomes after cardiac surgery. However, its use in mitral and minimally invasive cardiac surgery is lacking. We sought to determine whether frailty, as measured by psoas muscle index, increases surgical risk for minimally invasive mitral valve surgery. METHODS: Patients undergoing isolated minimally invasive mitral surgery via right minithoracotomy were identified. Patients who underwent maze, tricuspid intervention, and those who were emergent were excluded. Total psoas muscle area was calculated using the average cross-sectional area at the L3 vertebra on computed tomography scan and indexed to body surface area. Sarcopenia was defined as <25th gender-specific percentile. Patients were stratified by sarcopenia status and outcomes compared. RESULTS: Of 287 total patients, 192 patients met inclusion criteria. Sarcopenic patients were 6 years older (66 vs 60 years, P = 0.01), had lower preoperative albumin levels (4.0 vs 4.3 g/dL, P < 0.001), and had higher Society of Thoracic Surgeons risk of morbidity/mortality (13.1% vs 9.0%, P = 0.003). Operative major morbidity or mortality was 6.4% versus 5.5% (P = 0.824), while the 1-year mortality rate was 2.1% versus 0% (P = 0.08). After risk adjustment, psoas index did not predict operative morbidity or mortality. However, sarcopenia was associated with higher odds of readmission (odds ratio = 0.74, P = 0.02). CONCLUSIONS: Contrary to other cardiac operations, for patients undergoing isolated minimally invasive mitral valve surgery, sarcopenia was not associated with increased perioperative risk except for higher readmission rates. Minimally invasive surgical approaches should be strongly considered as the approach of choice in frail patients."
2023 Dec 19,Biomedicines,Biomedicines. 2023 Dec 19;12(1):3. doi: 10.3390/biomedicines12010003.,"['Kazaleh, Matthew', 'Gioscia-Ryan, Rachel', 'Ailawadi, Gorav', 'Salmon, Morgan']","['abdominal aortic aneurysm', 'antioxidant', 'aortic aneurysm', 'oxidative stress', 'reactive oxygen species', 'thoracic aortic aneurysm']",Oxidative Stress and the Pathogenesis of Aortic Aneurysms.,"Aortic aneurysms are responsible for significant morbidity and mortality. Despite their clinical significance, there remain critical knowledge gaps in the pathogenesis of aneurysm disease and the mechanisms involved in aortic rupture. Recent studies have drawn attention to the role of reactive oxygen species (ROS) and their down-stream effectors in chronic cardiovascular diseases and specifically in the pathogenesis of aortic aneurysm formation. This review will discuss current mechanisms of ROS in mediating aortic aneurysms, the failure of endogenous antioxidant systems in chronic vascular diseases, and their relation to the development of aortic aneurysms."
