time,journal,doi_info,authors,key words,title,abstract
2024 May 17,American journal of obstetrics and gynecology,Am J Obstet Gynecol. 2024 May 17:S0002-9378(24)00530-1. doi: ,"['DeVore, Greggory R', 'Polanco, Bardo', 'Lee, Wesley', 'Fowlkes, Jeffrey Brian', 'Peek, Emma E', 'Putra, Manesha', 'Hobbins, John C']","['doppler velocimetry', 'abdominal circumference', 'bed rest', 'estimated fetal weight', 'femur length', 'fetal growth restriction', 'head circumference', 'left lateral recumbent position', 'longitudinal study', 'middle cerebral artery', 'small for gestational age', 'umbilical artery']",Maternal rest improves growth in small-for-gestational-age fetuses (<10th percentile).,"BACKGROUND: Optimal management of fetuses diagnosed as small for gestational age based on an estimated fetal weight of <10th percentile represents a major clinical problem. The standard approach is to increase fetal surveillance with serial biometry and antepartum testing to assess fetal well-being and timing of delivery. Observational studies have indicated that maternal rest in the left lateral position improves maternal cardiac output and uterine blood flow. However, maternal bed rest has not been recommended based on the results of a randomized clinical trial that showed that maternal rest does not improve fetal growth in small-for-gestational-age fetuses. This study was conducted to revisit this question. OBJECTIVE: This study aimed to determine whether maternal bed rest was associated with an increase in the fetal biometric parameters that reflect growth after the diagnosis of a small-for-gestational-age fetus. STUDY DESIGN: A retrospective study was conducted on fetuses who were diagnosed as small for gestational age because of an estimated fetal weight of <10th percentile for gestational age. The mothers were asked to rest in the left lateral recumbent position. Fetal biometry was performed 2 weeks after the diagnosis. All fetuses before entry into the study had a previous ultrasound that demonstrated an estimated fetal weight of >10th percentile. To assess the response to bed rest, the change in fetal biometric parameters (estimated fetal weight, head circumference, abdominal circumference, and femur length) after the recommendation of bed rest was computed for 2 periods: (1) before the diagnosis of a weight of <10th percentile vs at the time of diagnosis of a weight of <10th percentile and (2) at the time of diagnosis of a weight of <10th percentile vs 2 weeks after maternal bed rest. For repeated measures, proportions were compared using the McNemar test, and percentile values were compared using the Kruskal-Wallis test. A P value of <.05 was considered significant. To describe changes in the estimated fetal weight without bed rest, 2 control groups in which the mothers were not placed on bed rest after the diagnosis of a small-for-gestational-age fetus were included. RESULTS: A total of 265 fetuses were observed before and after maternal bed rest. The following were observed in this study: (1) after 2 weeks of maternal rest, 199 of 265 fetuses (75%) had a fetal weight of >10th percentile; (2) the median fetal weight percentile increased from 6.8 (interquartile range, 4.4-8.4) to 18.0 (interquartile range, 9.5-29.5) after 2 weeks of bed rest; (3) similar trends were noted for the head circumference, abdominal circumference, and femur length. In the groups of patients who were not asked to be on bed rest, a reassignment to a weight of >10th percentile at a follow-up examination only occurred in 7 of 37 patients (19%) in the Texas-Michigan group and 13 of 111 patients (12%) in the Colorado group compared with the bed rest group (199/265 [75%]) (P<.001). CONCLUSION: Patients who were prescribed 2 weeks of bed rest after the diagnosis of a fetal weight of <10th percentile had an increase in weight of >10th percentile in 199 of 265 fetuses (75%). This increase in fetal weight was significantly higher than that in the 2 control groups in which bed rest was not prescribed. This observation suggests that bed rest improves fetal growth in a subset of patients."
2024 Aug,Ultrasound in medicine & biology,Ultrasound Med Biol. 2024 Aug;50(8):1122-1133. doi: ,"['Pinter, Stephen Z', 'Rubin, Jonathan M', 'Hall, Anne L', 'Fowlkes, J Brian', 'Kripfgans, Oliver D']","[' phantoms, imaging', ' imaging, three-dimensional methods', 'ultrasonography, doppler, color methods', 'blood flow velocity', 'computer simulation', 'beam density', 'c-plane', 'color flow ultrasound', 'color power ultrasound', 'flow phantom', 'gaussian surface integration principle', 'partial volume', 'point spread function', 'three-dimensional imaging', 'volume flow']","Color Flow Ultrasound Spatial Sampling Beam Density for Partial Volume-Corrected Three-Dimensional Volume Flow (3DVF): Theory, Simulation, and Experiment.","OBJECTIVE: The purpose of this study was to quantify the accuracy of partial volume-corrected three-dimensional volume flow (3DVF) measurements as a function of spatial sampling beam density using carefully-designed parametric analyses in order to inform the target applications of 3DVF. METHODS: Experimental investigations employed a mechanically-swept curvilinear ultrasound array to acquire 3D color flow (6.3 MHz) images in flow phantoms consisting of four lumen diameters (6.35, 4.88, 3.18 and 1.65 mm) with volume flow rates of 440, 260, 110 and 30 mL/min, respectively. Partial volume-corrected three-dimensional volume flow (3DVF) measurements, based on the Gaussian surface integration principle, were computed at five regions of interest positioned between depths of 2 and 6 cm in 1 cm increments. At each depth, the color flow beam point spread function (PSF) was also determined, using in-phase/quadrature data, such that 3DVF bias could then be related to spatial sampling beam density. Corresponding simulations were performed for a laminar parabolic flow profile that was sampled using the experimentally-measured PSFs. Volume flow was computed for all combinations of lumen diameters and the PSFs at each depth. RESULTS: Accurate 3DVF measurements, i.e., bias less than ±20%, were achieved for spatial sampling beam densities where at least 6 elevational color flow beams could be positioned across the lumen. In these cases, greater than 8 lateral color flow beams were present. PSF measurements showed an average lateral-to-elevational beam width asymmetry of 1:2. Volume flow measurement bias increased as the color flow beam spatial sampling density within the lumen decreased. CONCLUSION: Applications of 3DVF, particularly those in the clinical domain, should focus on areas where a spatial sampling density of 6 × 6 (lateral x elevational) beams can be realized in order to minimize measurement bias. Matrix-based ultrasound arrays that possess symmetric PSFs may be advantageous to achieve adequate beam densities in smaller vessels."
2024 Jan,Neurourology and urodynamics,Neurourol Urodyn. 2024 Jan;43(1):258-266. doi: 10.1002/nau.25332. Epub 2023 Nov ,"['Kalayeh, Kourosh', 'Fowlkes, J Brian', 'Xie, Haotian', 'Schultz, William W', 'Sack, Bryan S']","['humans', 'peristalsis physiology', 'dilatation', ' ureter physiology', ' ureteral obstruction', 'urinary bladder', 'fluid mechanics', 'megaureter', 'peristalsis', 'reflux', 'ureter', 'ureteral dilation']",Peristalsis prevents ureteral dilation.,"PURPOSE: The etiology of ureteral dilation in primary nonrefluxing, nonobstructing megaureters is still not well understood. Impaired ureteral peristalsis has been theorized as one of the contributing factors. However, ureteral peristalsis and its ""normal"" function is not well defined. In this study, using mathematical modeling techniques, we aim to better understand how ureteral peristalsis works. This is the first model to consider clinically observed, back-and-forth, cyclic wall longitudinal motion during peristalsis. We hypothesize that dysfunctional ureteral peristalsis, caused by insufficient peristaltic amplitudes (e.g., circular muscle dysfunction) and/or lack of ureteral wall longitudinal motion (e.g., longitudinal muscle dysfunction), promotes peristaltic reflux (i.e., retrograde flow of urine during an episode of peristalsis) and may result in urinary stasis, urine accumulation, and consequent dilation. METHODS: Based on lubrication theory in fluid mechanics, we developed a two-dimensional (planar) model of ureteral peristalsis. In doing so, we treated ureteral peristalsis as an infinite train of sinusoidal waves. We then analyzed antegrade and retrograde flows in the ureter under different bladder-kidney differential pressure and peristalsis conditions. RESULTS: There is a minimum peristaltic amplitude required to prevent peristaltic reflux. Ureteral wall longitudinal motion decreases this minimum required amplitude, increasing the nonrefluxing range of peristaltic amplitudes. As an example, for a normal bladder-kidney differential pressure of 5 cmH(2) O, ureteral wall longitudinal motion increases nonrefluxing range of peristaltic amplitude by 65%. Additionally, ureteral wall longitudinal motion decreases refluxing volumetric flow rates. For a similar normal bladder pressure example of 5 cmH(2) O, refluxing volumetric flow rate decreases by a factor of 18. Finally, elevated bladder pressure, not only increases the required peristaltic amplitude for reflux prevention but it increases maximum refluxing volumetric flow rates. For the case without wall longitudinal motion, as bladder-kidney differential pressure increases from 5 to 40 cmH(2) O, minimum required peristaltic amplitude to prevent reflux increases by 40% while the maximum refluxing volumetric flow rate increases by approximately 100%. CONCLUSION: The results presented in this study show how abnormal ureteral peristalsis, caused by the absence of wall longitudinal motion and/or lack of sufficient peristaltic amplitudes, facilitates peristaltic reflux and retrograde flow. We theorize that this retrograde flow can lead to urinary stasis and urine accumulation in the ureters, resulting in ureteral dilation seen on imaging studies and elevated infection risk. Our results also show how chronically elevated bladder pressures are more susceptible to such refluxing conditions that could lead to ureteral dilation."
2023 Sep 11,Applied physics letters,Appl Phys Lett. 2023 Sep 11;123(11):114101. doi: 10.1063/5.0159661.,"['Aliabouzar, Mitra', 'Abeid, Bachir A', 'Kripfgans, Oliver D', 'Fowlkes, J Brian', 'Estrada, Jonathan B', 'Fabiilli, Mario L']",[],Real-time spatiotemporal characterization of mechanics and sonoporation of acoustic droplet vaporization in acoustically responsive scaffolds.,"Phase-shift droplets provide a flexible and dynamic platform for therapeutic and diagnostic applications of ultrasound. The spatiotemporal response of phase-shift droplets to focused ultrasound, via the mechanism termed acoustic droplet vaporization (ADV), can generate a range of bioeffects. Although ADV has been used widely in theranostic applications, ADV-induced bioeffects are understudied. Here, we integrated ultra-high-speed microscopy, confocal microscopy, and focused ultrasound for real-time visualization of ADV-induced mechanics and sonoporation in fibrin-based, tissue-mimicking hydrogels. Three monodispersed phase-shift droplets-containing perfluoropentane (PFP), perfluorohexane (PFH), or perfluorooctane (PFO)-with an average radius of ∼6 μm were studied. Fibroblasts and tracer particles, co-encapsulated within the hydrogel, were used to quantify sonoporation and mechanics resulting from ADV, respectively. The maximum radial expansion, expansion velocity, induced strain, and displacement of tracer particles were significantly higher in fibrin gels containing PFP droplets compared to PFH or PFO. Additionally, cell membrane permeabilization significantly depended on the distance between the droplet and cell (d), decreasing rapidly with increasing d. Significant membrane permeabilization occurred when d was smaller than the maximum radius of expansion. Both ultra-high-speed and confocal images indicate a hyper-local region of influence by an ADV bubble, which correlated inversely with the bulk boiling point of the phase-shift droplets. The findings provide insight into developing optimal approaches for therapeutic applications of ADV."
2023 Oct,Placenta,Placenta. 2023 Oct;142:119-127. doi: 10.1016/j.placenta.2023.08.072. Epub 2023 ,"['Rubin, Jonathan M', 'Pinter, Stephen Z', 'Halloran, Katherine M', 'Pallas, Brooke D', 'Fowlkes, J Brian', 'Vyas, Arpita K', 'Padmanabhan, Vasantha', 'Kripfgans, Oliver D']","['sheep', 'pregnancy', 'animals', 'female', 'humans', ' placenta blood supply', ' fetus blood supply', 'umbilical veins', 'arteries', 'umbilical arteries', 'fetal growth retardation veterinary', 'fast fourier transform of umbilical venous doppler spectral envelope', 'hyperandrosterone sheep model', 'intrauterine growth restriction (iugr)', 'umbilical venous doppler spectral analysis', 'umbilical venous blood flow']",Placental assessment using spectral analysis of the envelope of umbilical venous waveforms in sheep.,"INTRODUCTION: This study was designed to test the efficacy of an ultrasound flow measurement method to evaluate placental function in a hyperandrogenic sheep model that produces placental morphologic changes and an intrauterine growth restriction (IUGR) phenotype. MATERIALS AND METHODS: Pregnant ewes were assigned randomly between control (n = 12) and testosterone-treatment (T-treated, n = 22) groups. The T-treated group was injected twice weekly intramuscularly (IM) with 100 mg testosterone propionate. Control sheep were injected with corn oil vehicle. Lambs were delivered at 119.5 ± 0.48 days gestation. At the time of delivery of each lamb, flow spectra were generated from one fetal artery and two fetal veins, and the spectral envelopes examined using fast Fourier transform analysis. Base 10 logarithms of the ratio of the amplitudes of the maternal and fetal spectral peaks (LRSP) in the venous power spectrum were compared in the T-treated and control populations. In addition, we calculated the resistive index (RI) for the artery defined as ((peak systole - min diastole)/peak systole). Two-tailed T-tests were used for comparisons. RESULTS: LRSPs, after removal of significant outliers, were -0.158 ± 0.238 for T-treated and 0.057 ± 0.213 for control (p = 0.015) animals. RIs for the T-treated sheep fetuses were 0.506 ± 0.137 and 0.497 ± 0.086 for controls (p = 0.792) DISCUSSION: LRSP analysis distinguishes between T-treated and control sheep, whereas RIs do not. LRSP has the potential to identify compromised pregnancies."
2023 Jul 1,Acta biomaterialia,Acta Biomater. 2023 Jul 1;164:195-208. doi: 10.1016/j.actbio.2023.04.037. Epub ,"['Aliabouzar, Mitra', 'Quesada, Carole', 'Chan, Ze Qi', 'Fowlkes, J Brian', 'Franceschi, Renny T', 'Putnam, Andrew J', 'Fabiilli, Mario L']","['animals', 'mice', ' hydrogels', 'volatilization', ' acoustics', 'tissue scaffolds', 'fibrin', 'acoustic droplet vaporization', 'cavitation', 'fibrin hydrogel', 'microporosity', 'phase-shift droplet', 'ultrasound']",Acoustic droplet vaporization for on-demand modulation of microporosity in smart hydrogels.,"Microporosity in hydrogels is critical for directing tissue formation and function. We have developed a fibrin-based smart hydrogel, termed an acoustically responsive scaffold (ARS), which responds to focused ultrasound in a spatiotemporally controlled, user-defined manner. ARSs are highly flexible platforms due to the inclusion of phase-shift droplets and their tunable response to ultrasound through a mechanism termed acoustic droplet vaporization (ADV). Here, we demonstrated that ADV enabled consistent generation of micropores in ARSs, throughout the entire thickness (∼5.5 mm), utilizing perfluorooctane phase-shift droplets. Size characteristics of the generated micropores were quantified in response to critical parameters including acoustic properties, droplet size, and shear elastic modulus of fibrin using confocal microscopy. The findings showed that the length of the generated micropores correlated directly with excitation frequency, peak rarefactional pressure, pulse duration, droplet size, and indirectly with the shear elastic modulus of the fibrin matrix. The ADV-generated micropores in ARSs were further compared with cavitation-mediated micropores in fibrin gels without droplets. Additionally, the Keller-Miksis equation was used to predict an upper bound for micropore formation in ARSs at varying driving frequencies and droplet sizes. Finally, our in vivo studies showed that host cell migration following ADV-induced micropore formation was frequency-dependent, with up to 2.6 times higher cell migration at lower frequencies. Overall, these findings demonstrate a new potential application of ADV in hydrogels. STATEMENT OF SIGNIFICANCE: Interconnected micropores within a hydrogel can facilitate many cell-mediated processes. Most techniques for generating micropores are typically not biocompatible or do not enable controlled, in situ micropore formation. We used an ultrasound-based technique, termed acoustic droplet vaporization, to generate microporosity in smart hydrogels termed acoustically responsive scaffolds (ARSs). ARSs contain a fibrin matrix doped with a phase-shift droplet. We demonstrate that unique acoustic properties of phase-shift droplets can be tailored to yield spatiotemporally controlled, on-demand micropore formation. Additionally, the size characteristics of the ultrasound-generated micropores can be modulated by tuning ultrasound parameters, droplet properties, and bulk elastic properties of fibrin. Finally, we demonstrate significant, frequency-dependent host cell migration in subcutaneously implanted ARSs in mice following ultrasound-induced micropore formation in situ."
2023 Apr,Radiology,Radiology. 2023 Apr;307(2):e230047. doi: 10.1148/radiol.230047. Epub 2023 Jan 31.,"['Fowlkes, J Brian']","['animals', 'mice', ' neurodegenerative diseases diagnostic imaging therapy', ' tauopathies', 'disease models, animal']",Sonobiopsy for Neurodegenerative Diseases: At the Intersection of Diagnostic and Therapeutic US.,
2023 Jan,Ultrasound in medicine & biology,Ultrasound Med Biol. 2023 Jan;49(1):136-151. doi: ,"['Kalayeh, Kourosh', 'Fowlkes, J Brian', 'Claflin, Jake', 'Fabiilli, Mario L', 'Schultz, William W', 'Sack, Bryan S']","[' urinary bladder diagnostic imaging', ' microbubbles', 'ultrasonography', 'contrast media', 'pelvis', 'contrast media', 'contrast-enhanced ultrasound', 'cystometrogram', 'microbubble size measurement', 'microbubbles', 'ultrasonography', 'urodynamics']",Ultrasound Contrast Stability for Urinary Bladder Pressure Measurement.,"The goal of this study was to evaluate ultrasound contrast microbubbles (MB) stability during a typical cystometrogram (CMG) for bladder pressure measurement application using the subharmonic-aided pressure estimation technique. A detailed study of MB stability was required given two unique characteristics of this application: first, bulk infusion of MBs into the bladder through the CMG infusion system, and second, duration of a typical CMG which may last up to 30 min. To do so, a series of size measurement and contrast-enhanced ultrasound imaging studies under different conditions were performed and the effects of variables that we hypothesized have an effect on MB stability, namely, i) IV bag air headspace, ii) MB dilution factor, and iii) CMG infusion system were investigated. The results verified that air volume in intravenous (IV) bag headspace was not enough to have a significant effect on MB stability during a CMG. We also showed that higher MB dosage results in a more stable condition. Finally, the results indicated that the CMG infusion system adversely affects MB stability. In summary, to ensure MB stability during the entire duration of a CMG, lower filling rates (limited by estimated bladder capacity in clinical applications) and/or higher MB dosage (limited by FDA regulations and shadowing artifact) and/or the consideration of alternative catheter design may be needed."
2022 Dec,Ultrasound in medicine & biology,Ultrasound Med Biol. 2022 Dec;48(12):2468-2475. doi: ,"['Rubin, Jonathan M', 'Kripfgans, Oliver D', 'Fowlkes, J Brian', 'Weiner, Gary M', 'Treadwell, Marjorie C', 'Pinter, Stephen Z']","['infant, newborn', 'infant', 'humans', ' contrast media', ' ductus arteriosus, patent diagnostic imaging', 'infant, very low birth weight', 'cerebrovascular circulation', 'blood volume', 'biomarker', 'color flow', 'partial volume', 'real time', 'ultrasound', 'volume flow']",Bedside Cerebral Blood Flow Quantification in Neonates.,"Measurement of blood flow to the brain in neonates would be a very valuable addition to the medical diagnostic armamentarium. Such conditions such as assessment of closure of a patent ductus arteriosus (PDA) would greatly benefit from such an evaluation. However, measurement of cerebral blood flow in a clinical setting has proven very difficult and, as such, is rarely employed. Present techniques are often cumbersome, difficult to perform and potentially dangerous for very low birth weight (VLBW) infants. We have been developing an ultrasound blood volume flow technique that could be routinely used to assess blood flow to the brain in neonates. By scanning through the anterior fontanelles of 10 normal, full-term newborn infants, we were able to estimate total brain blood flows that closely match those published in the literature using much more invasive and technically demanding methods. Our method is safe, easy to do, does not require contrast agents and can be performed in the baby's incubator. The method has the potential for monitoring and assessing blood flows to the brain and could be used to routinely assess cerebral blood flow in many different clinical conditions."
2022 Nov,Radiology,Radiology. 2022 Nov;305(2):265-276. doi: 10.1148/radiol.212808. Epub 2022 Sep 13.,"['Fetzer, David T', 'Rosado-Mendez, Ivan M', 'Wang, Michael', 'Robbin, Michelle L', 'Ozturk, Arinc', 'Wear, Keith A', 'Ormachea, Juvenal', 'Stiles, Timothy A', 'Fowlkes, J Brian', 'Hall, Timothy J', 'Samir, Anthony E']","['humans', ' fatty liver diagnostic imaging', 'liver diagnostic imaging', 'ultrasonography methods', 'biomarkers', 'reference standards', ' non-alcoholic fatty liver disease', 'magnetic resonance imaging']",Pulse-Echo Quantitative US Biomarkers for Liver Steatosis: Toward Technical Standardization.,"Excessive liver fat (steatosis) is now the most common cause of chronic liver disease worldwide and is an independent risk factor for cirrhosis and associated complications. Accurate and clinically useful diagnosis, risk stratification, prognostication, and therapy monitoring require accurate and reliable biomarker measurement at acceptable cost. This article describes a joint effort by the American Institute of Ultrasound in Medicine (AIUM) and the RSNA Quantitative Imaging Biomarkers Alliance (QIBA) to develop standards for clinical and technical validation of quantitative biomarkers for liver steatosis. The AIUM Liver Fat Quantification Task Force provides clinical guidance, while the RSNA QIBA Pulse-Echo Quantitative Ultrasound Biomarker Committee develops methods to measure biomarkers and reduce biomarker variability. In this article, the authors present the clinical need for quantitative imaging biomarkers of liver steatosis, review the current state of various imaging modalities, and describe the technical state of the art for three key liver steatosis pulse-echo quantitative US biomarkers: attenuation coefficient, backscatter coefficient, and speed of sound. Lastly, a perspective on current challenges and recommendations for clinical translation for each biomarker is offered."
