time,journal,doi_info,authors,key words,title,abstract
2023 Nov 7,Scientific reports,Sci Rep. 2023 Nov 7;13(1):19237. doi: 10.1038/s41598-023-46518-w.,"['Hendren, Christina', 'Li, Weiping', 'Stegemann, Jan P', 'Hall, Timothy L', 'Deng, Cheri X']","['humans', ' blood coagulation', 'blood coagulation tests methods', 'international normalized ratio', 'warfarin', 'acoustics', ' thrombosis']",Multichannel resonant acoustic rheometry system for quantification of coagulation of multiple human plasma samples.,"Resonant Acoustic Rheometry (RAR), a newly developed ultrasound-based technique for non-contact characterization of soft viscoelastic materials, has shown promise for quantitative viscoelastic assessment of temporally changing soft biomaterials in real time, and may be used to monitor blood coagulation process. Here, we report the development of a novel, multichannel RAR (mRAR) system for simultaneous measurements of multiple temporally evolving samples and demonstration of its use for monitoring the coagulation of multiple small-volume plasma samples. The mRAR system was constructed using an array of 4 custom-designed ultrasound transducers at 5.0 MHz and a novel electronic driving system that controlled the generation of synchronized ultrasound pulses for real time assessment of multiple samples simultaneously. As a proof-of-concept of the operation of the mRAR system, we performed tests using pooled normal human plasma samples and anti-coagulated plasma samples from patients treated with warfarin with a range of International Normalized Ratio (INR) values as well-characterized samples with different coagulation kinetics. Our results show that simultaneous tracking of dynamic changes in 4 plasma samples triggered by either kaolin or tissue factor was achieved for the entire duration of coagulation. The mRAR system captured distinct changes in the samples and identified parameters including the clotting start time and parameters associated with the stiffness of the final clots that were consistent with INR levels. Data from this study demonstrate the feasibility of the mRAR system for efficient characterization of the kinetic coagulation processes of multiple plasma samples."
2023 Nov,Biomaterials,Biomaterials. 2023 Nov;302:122282. doi: 10.1016/j.biomaterials.2023.122282. Epub ,"['Hobson, Eric C', 'Li, Weiping', 'Friend, Nicole E', 'Putnam, Andrew J', 'Stegemann, Jan P', 'Deng, Cheri X']","[' biocompatible materials', 'viscosity', 'elasticity', ' acoustics', 'hydrogels', 'hydrogel', 'phase transition', 'polymerization', 'resonant acoustic rheometry', 'surface wave', 'viscoelasticity']",Crossover of surface waves and capillary-viscous-elastic transition in soft biomaterials detected by resonant acoustic rheometry.,"Viscoelastic properties of hydrogels are important for their application in science and industry. However, rheological assessment of soft hydrogel biomaterials is challenging due to their complex, rapid, and often time-dependent behaviors. Resonant acoustic rheometry (RAR) is a newly developed technique capable of inducing and measuring resonant surface waves in samples in a non-contact fashion. By applying RAR at high temporal resolution during thrombin-induced fibrin gelation and ultraviolet-initiated polyethylene glycol (PEG) polymerization, we observed distinct changes in both frequency and amplitude of the resonant surface waves as the materials changed over time. RAR detected a series of capillary-elastic, capillary-viscous, and visco-elastic transitions that are uniquely manifested as crossover of different types of surface waves in the temporally evolving materials. These results reveal the dynamic interplay of surface tension, viscosity, and elasticity that is controlled by the kinetics of polymerization and crosslinking during hydrogel formation. RAR overcomes many limitations of conventional rheological approaches by offering a new way to comprehensively and longitudinally characterize soft materials during dynamic processes."
2023 Jul 14,Research square,Res Sq [Preprint]. 2023 Jul 14:rs.3.rs-3132931. doi: 10.21203/rs.3.rs-3132931/v1.,"['Hendren, Christina', 'Li, Weiping', 'Stegemann, Jan P', 'Hall, Timothy L', 'Deng, Cheri X']","['coumadin monitoring', 'hemostasis', 'resonant acoustic rheometry', 'thromboelastography', 'plasma coagulation']",Multichannel Resonant Acoustic Rheometry System for Rapid and Efficient Quantification of Human Plasma Coagulation.,"Resonant Acoustic Rheometry (RAR), a newly developed ultrasound-based technique for non-contact characterization of soft viscoelastic materials, has shown promise for quantitative assessment of plasma coagulation by monitoring the entire dynamic process in real time. Here, we report the development of a multichannel RAR (mRAR) system for simultaneous monitoring of the coagulation of multiple small-volume plasma samples, a capability that is critical to efficiently provide improved assessment of coagulation. The mRAR system was constructed using an array of 4 custom-designed ultrasound transducers at 5.0 MHz and an electronic driving system that controlled the generation of synchronized ultrasound pulses for real time monitoring of multiple samples simultaneously. The mRAR system was tested using Coumadin-treated plasma samples with a range of International Normalized Ratio (INR) values, as well as normal pooled plasma samples. Tracking of dynamic changes in clotting of plasma samples triggered by either kaolin or tissue factor was performed for the entire duration of coagulation. The mRAR system captured distinct changes in the samples and identified parameters including clotting time, clotting speed, and the mechanical properties of the clots that were consistent with Coumadin dose and INR levels Data from this study demonstrate the feasibility of the mRAR system for the rapid, efficient, and accurate characterization of plasma coagulation."
2024 Apr,Journal of biomedical materials research. Part A,J Biomed Mater Res A. 2024 Apr;112(4):549-561. doi: 10.1002/jbm.a.37580. Epub ,"['Friend, Nicole E', 'Beamish, Jeffrey A', 'Margolis, Emily A', 'Schott, Nicholas G', 'Stegemann, Jan P', 'Putnam, Andrew J']","['animals', 'mice', 'humans', 'cells, cultured', ' fibrin pharmacology chemistry', 'microspheres', ' neovascularization, physiologic', 'mice, scid', 'human umbilical vein endothelial cells', 'tissue engineering', 'neovascularization, pathologic', 'ischemia therapy', 'cell-based therapy', 'fibrin', 'hindlimb ischemia', 'microbeads', 'prevascularization']","Pre-cultured, cell-encapsulating fibrin microbeads for the vascularization of ischemic tissues.","There is a significant clinical need to develop effective vascularization strategies for tissue engineering and the treatment of ischemic pathologies. In patients afflicted with critical limb ischemia, comorbidities may limit common revascularization strategies. Cell-encapsulating modular microbeads possess a variety of advantageous properties, including the ability to support prevascularization in vitro while retaining the ability to be injected in a minimally invasive manner in vivo. Here, fibrin microbeads containing human umbilical vein endothelial cells (HUVEC) and bone marrow-derived mesenchymal stromal cells (MSC) were cultured in suspension for 3 days (D3 PC microbeads) before being implanted within intramuscular pockets in a S"
2023 Sep,Journal of biomedical materials research. Part A,J Biomed Mater Res A. 2023 Sep;111(9):1298-1308. doi: 10.1002/jbm.a.37529. Epub ,"['Stegemann, Jan P', 'Wagner, William R', 'Göbel, Uta', 'Perets, Ekaterina', 'Leong, Kam W', 'Leach, J Kent', 'Gilbert, Jeremy']","['biocompatible materials', ' periodicals as topic', 'tissue engineering methods', 'proteins', ' bioprinting', 'printing, three-dimensional', 'biofabrication', 'biointerfaces', 'biomaterials', 'biomedical engineering', 'nanomedicine']",The Year 2022 in biomaterials research: A perspective from the editors of six leading journals.,"The field of biomaterials science is highly active, with a steadily increasing number of publications and new journals being founded. This article brings together contributions from the editors of six leading journals in the area of biomaterials science and engineering. Each contributor highlights specific advances, topics, and trends that have emerged through the publications in their respective journal in the calendar year 2022. It presents a global perspective on a wide range of material types, functionalities, and applications. The highlighted topics include a diversity of biomaterials; from proteins, polysaccharides, and lipids to ceramics, metals, advanced composites, and a variety of new forms of these materials. Important advances in dynamically functional materials are presented, including a range of fabrication techniques such as bioassembly, 3D bioprinting and microgel formation. Similarly, several applications are highlighted in drug and gene delivery, biological sensing, cell guidance, immunoengineering, electroconductivity, wound healing, infection resistance, tissue engineering, and treatment of cancer. The goal of this paper is to provide the reader with both a broad view of recent biomaterials research, as well as expert commentary on some of the key advances that will shape the future of biomaterials science and engineering."
2023 Apr,Biomaterials,Biomaterials. 2023 Apr;295:122050. doi: 10.1016/j.biomaterials.2023.122050. Epub ,"['Friend, Nicole E', 'McCoy, Atticus J', 'Stegemann, Jan P', 'Putnam, Andrew J']","[' endothelial cells', ' extracellular matrix proteins', 'biocompatible materials', 'microvessels', 'hydrogels chemistry', 'polyethylene glycols chemistry', 'degradability', 'matrix remodeling', 'mechanical properties', 'poly(ethylene glycol)', 'vascularization']",A combination of matrix stiffness and degradability dictate microvascular network assembly and remodeling in cell-laden poly(ethylene glycol) hydrogels.,"The formation of functional capillary blood vessels that can sustain the metabolic demands of transplanted parenchymal cells remains one of the biggest challenges to the clinical realization of engineered tissues for regenerative medicine. As such, there remains a need to better understand the fundamental influences of the microenvironment on vascularization. Poly(ethylene glycol) (PEG) hydrogels have been widely adopted to interrogate the influence of matrix physicochemical properties on cellular phenotypes and morphogenetic programs, including the formation of microvascular networks, in part due to the ease with which their properties can be controlled. In this study, we co-encapsulated endothelial cells and fibroblasts in PEG-norbornene (PEGNB) hydrogels in which stiffness and degradability were tuned to assess their independent and synergistic effects on vessel network formation and cell-mediated matrix remodeling longitudinally. Specifically, we achieved a range of stiffnesses and differing rates of degradation by varying the crosslinking ratio of norbornenes to thiols and incorporating either one (sVPMS) or two (dVPMS) cleavage sites within the matrix metalloproteinase- (MMP-) sensitive crosslinker, respectively. In less degradable sVPMS gels, decreasing the crosslinking ratio (thereby decreasing the initial stiffness) supported enhanced vascularization. When degradability was increased in dVPMS gels, all crosslinking ratios supported robust vascularization regardless of initial mechanical properties. The vascularization in both conditions was coincident with the deposition of extracellular matrix proteins and cell-mediated stiffening, which was greater in dVPMS conditions after a week of culture. Collectively, these results indicate that enhanced cell-mediated remodeling of a PEG hydrogel, achieved either by reduced crosslinking or increased degradability, leads to more rapid vessel formation and higher degrees of cell-mediated stiffening."
2023 Mar,Seminars in thrombosis and hemostasis,Semin Thromb Hemost. 2023 Mar;49(2):201-208. doi: 10.1055/s-0042-1757896. Epub ,"['Li, Weiping', 'Hobson, Eric C', 'Bunch, Connor M', 'Miller, Joseph B', 'Nehme, Jimmy', 'Kwaan, Hau C', 'Walsh, Mark M', 'McCurdy, Michael T', 'Aversa, John G', 'Thomas, Anthony V', 'Zackariya, Nuha', 'Thomas, Samuel J', 'Smith, Stephanie A', 'Cook, Bernard C', 'Boyd, Bryan', 'Stegemann, Jan P', 'Deng, Cheri X']","['humans', ' hemophilia a', 'thromboplastin', 'kinetics', 'blood coagulation', 'blood coagulation tests methods', 'acoustics']",Resonant Acoustic Rheometry to Measure Coagulation Kinetics in Hemophilia A and Healthy Plasma: A Novel Viscoelastic Method.,"Compared with conventional coagulation tests and factor-specific assays, viscoelastic hemostatic assays (VHAs) can provide a more thorough evaluation of clot formation and lysis but have several limitations including clot deformation. In this proof-of-concept study, we test a noncontact technique, termed resonant acoustic rheometry (RAR), for measuring the kinetics of human plasma coagulation. Specifically, RAR utilizes a dual-mode ultrasound technique to induce and detect surface oscillation of blood samples without direct physical contact and measures the resonant frequency of the surface oscillation over time, which is reflective of the viscoelasticity of the sample. Analysis of RAR results of normal plasma allowed defining a set of parameters for quantifying coagulation. RAR detected a flat-line tracing of resonant frequency in hemophilia A plasma that was corrected with the addition of tissue factor. Our RAR results captured the kinetics of plasma coagulation and the newly defined RAR parameters correlated with increasing tissue factor concentration in both healthy and hemophilia A plasma. These findings demonstrate the feasibility of RAR as a novel approach for VHA, providing the foundation for future studies to compare RAR parameters to conventional coagulation tests, factor-specific assays, and VHA parameters."
2022 Nov,Biotechnology and bioengineering,Biotechnol Bioeng. 2022 Nov;119(11):3284-3296. doi: 10.1002/bit.28201. Epub 2022 ,"['Schott, Nicholas G', 'Vu, Huy', 'Stegemann, Jan P']","['biocompatible materials', 'cell differentiation', ' chitosan', 'collagen', ' endothelial cells', 'fibrin', 'humans', 'hydrogels pharmacology', 'osteogenesis', 'tissue engineering methods', 'bone tissue engineering', 'mesenchymal stromal cells', 'vascularization']",Multimodular vascularized bone construct comprised of vasculogenic and osteogenic microtissues.,"Bioengineered bone designed to heal large defects requires concomitant development of osseous and vascular tissue to ensure engraftment and survival. Adult human mesenchymal stromal cells (MSC) are promising in this application because they have demonstrated both osteogenic and vasculogenic potential. This study employed a modular approach in which cells were encapsulated in biomaterial carriers (microtissues) designed to support tissue-specific function. Osteogenic microtissues consisting of MSC embedded in a collagen-chitosan matrix; vasculogenic (VAS) microtissues consisted of endothelial cells and MSC in a fibrin matrix. Microtissues were precultured under differentiation conditions to induce appropriate MSC lineage commitment, and were then combined in a surrounding fibrin hydrogel to create a multimodular construct. Results demonstrated the ability of microtissues to support lineage commitment, and that preculture primes the microtissues for the desired function. Combination of osteogenic and vasculogenic microtissues into multimodular constructs demonstrated that osteogenic priming resulted in sustained osteogenic activity even when cultured in vasculogenic medium, and that vasculogenic priming induced a pericyte-like phenotype that resulted in development of a primitive vessel network in the constructs. The modular approach allows microtissues to be separately precultured to harness the dual differentiation potential of MSC to support both bone and blood vessel formation in a unified construct."
2022 Jun,"Journal of biomedical materials research. Part B, Applied biomaterials",J Biomed Mater Res B Appl Biomater. 2022 Jun;110(6):1265-1278. doi: ,"['Nweke, Chukwuma E', 'Stegemann, Jan P']","['calcium', 'cell differentiation', 'cells, cultured', ' gelatin pharmacology', 'humans', ' mesenchymal stem cells', 'microspheres', 'osteogenesis', 'microspheres', 'modular', 'osteogenesis', 'regenerative medicine', 'stem progenitor cells']",Fabrication and characterization of osteogenic function of progenitor cell-laden gelatin microcarriers.,"Biomaterial-based bone regeneration strategies often include a cellular component to accelerate healing. Modular approaches have the potential for minimally-invasive delivery and the ability to conformally fill complex defects. In this study, spherical gelatin microparticles were fabricated via water-in-oil emulsification and were subsequently crosslinked with genipin. Microparticle diameter depended on impeller geometry, and increased stirring rates consistently produced smaller particles with narrower size distributions. Increasing the concentration of gelatin resulted in larger particles with a broader size distribution. Viscoelastic characterization showed that increased gelatin concentration produced stiffer matrices, though the mechanical properties at lower gelatin concentration were more stable across strain rate. Microparticles of 6.0% wt/vol gelatin were then applied as microcarriers for packed-bed culture of human mesenchymal stromal cells (MSC) at seeding densities of 5.0 × 10(3) , 2.5 × 10(4) , or 5.0 × 10(4) cells/cm(2) of surface area, in either control or osteogenic medium. Cell viability was uniformly high (>90%) across seeding densities over 22 days in culture. MSC number stayed approximately constant in the 5.0 × 10(3) and 2.5 × 10(4) cells/cm(2) samples, while it dropped over time at 5.0 × 10(4) cells/cm(2) . Alkaline phosphatase activity was significantly upregulated in osteogenic conditions relative to controls at day 15, and absolute calcium deposition was strongly induced by days 15 and 22. However, calcium deposition per cell was highest in the lowest cell density, suggesting an inhibitory effect of high cell numbers. These results show that genipin-crosslinked gelatin microcarriers can be reproducibly fabricated and used as microcarriers for progenitor cells, which may have utility in treating large and complex bone defects."
2021 Nov 11,Cells,Cells. 2021 Nov 11;10(11):3123. doi: 10.3390/cells10113123.,"['Walters, Brandan', 'Turner, Paul A', 'Rolauffs, Bernd', 'Hart, Melanie L', 'Stegemann, Jan P']","['adipose tissue  cytology', 'adult', 'biomarkers metabolism', 'bioreactors', 'cell differentiation drug effects', 'cell shape drug effects', 'cells, cultured', 'cross-linking reagents chemistry', 'gelatin chemistry', 'gels chemistry', 'humans', 'intercellular signaling peptides and proteins  pharmacology', 'iridoids chemistry', 'microspheres', 'myocytes, smooth muscle  cytology drug effects metabolism', 'phenotype', 'stem cells  cytology drug effects metabolism', ' stress, mechanical', 'adipose-derived stem cells', 'bladder', 'cell morphology', 'cell shape', 'cyclic stretch', 'growth factors', 'microspheres', 'smooth muscle tissue engineering', 'sphincter', 'vascular tissue engineering']",Controlled Growth Factor Delivery and Cyclic Stretch Induces a Smooth Muscle Cell-like Phenotype in Adipose-Derived Stem Cells.,"Adipose-derived stem cells (ASCs) are an abundant and easily accessible multipotent stem cell source with potential application in smooth muscle regeneration strategies. In 3D collagen hydrogels, we investigated whether sustained release of growth factors (GF) PDGF-AB and TGF-β1 from GF-loaded microspheres could induce a smooth muscle cell (SMC) phenotype in ASCs, and if the addition of uniaxial cyclic stretch could enhance the differentiation level. This study demonstrated that the combination of cyclic stretch and GF release over time from loaded microspheres potentiated the differentiation of ASCs, as quantified by protein expression of early to late SMC differentiation markers (SMA, TGLN and smooth muscle MHC). The delivery of GFs via microspheres produced large ASCs with a spindle-shaped, elongated SMC-like morphology. Cyclic strain produced the largest, longest, and most spindle-shaped cells regardless of the presence or absence of growth factors or the growth factor delivery method. Protein expression and cell morphology data confirmed that the sustained release of GFs from GF-loaded microspheres can be used to promote the differentiation of ASCs into SMCs and that the addition of uniaxial cyclic stretch significantly enhances the differentiation level, as quantified by intermediate and late SMC markers and a SMC-like elongated cell morphology."
