time,journal,doi_info,authors,key words,title,abstract
2024 Jun,Nature,Nature. 2024 Jun;630(8018):860-865. doi: 10.1038/s41586-024-07455-4. Epub 2024 ,"['Lu, Jun', 'Wu, Wenbing', 'Colombari, Felippe Mariano', 'Jawaid, Ali', 'Seymour, Bryan', 'Whisnant, Kody', 'Zhong, Xiaoyang', 'Choi, Wonjin', 'Lahann, Joerg', 'Vaia, Richard A', 'de Moura, André Farias', 'Nepal, Dhriti', 'Kotov, Nicholas A']",[],Nano-achiral complex composites for extreme polarization optics.,"Composites from 2D nanomaterials show uniquely high electrical, thermal and mechanical properties(1,2). Pairing their robustness with polarization rotation is needed for hyperspectral optics in extreme conditions(3,4). However, the rigid nanoplatelets have randomized achiral shapes, which scramble the circular polarization of photons with comparable wavelengths. Here we show that multilayer nanocomposites from 2D nanomaterials with complex textured surfaces strongly and controllably rotate light polarization, despite being nano-achiral and partially disordered. The intense circular dichroism (CD) in nanocomposite films originates from the diagonal patterns of wrinkles, grooves or ridges, leading to an angular offset between axes of linear birefringence (LB) and linear dichroism (LD). Stratification of the layer-by-layer (LBL) assembled nanocomposites affords precise engineering of the polarization-active materials from imprecise nanoplatelets with an optical asymmetry g-factor of 1.0, exceeding those of typical nanomaterials by about 500 times. High thermal resilience of the composite optics enables operating temperature as high as 250 °C and imaging of hot emitters in the near-infrared (NIR) part of the spectrum. Combining LBL engineered nanocomposites with achiral dyes results in anisotropic factors for circularly polarized emission approaching the theoretical limit. The generality of the observed phenomena is demonstrated by nanocomposite polarizers from molybdenum sulfide (MoS(2)), MXene and graphene oxide (GO) and by two manufacturing methods. A large family of LBL optical nanocomponents can be computationally designed and additively engineered for ruggedized optics."
2024 Jun 10,Carcinogenesis,Carcinogenesis. 2024 Jun 10;45(6):436-449. doi: 10.1093/carcin/bgae022.,"['Wang, Daren', 'Pei, Ping', 'Shea, Fortune', 'Spinney, Richard', 'Chang, Albert', 'Lahann, Joerg', 'Mallery, Susan R']","['humans', ' keratinocytes drug effects metabolism pathology', ' cell differentiation drug effects', ' mouth neoplasms pathology drug therapy prevention & control', ' fenretinide pharmacology', ' carcinoma, squamous cell drug therapy pathology prevention & control metabolism', 'chemoprevention methods', 'receptors, retinoic acid metabolism', 'cell proliferation drug effects', 'cell line, tumor', 'mouth mucosa pathology drug effects metabolism']",Growth modulatory effects of fenretinide encompass keratinocyte terminal differentiation: a favorable outcome for oral squamous cell carcinoma chemoprevention.,"Oral squamous cell carcinoma (OSCC) is worldwide health problem associated with high morbidity and mortality. From both the patient and socioeconomic perspectives, prevention of progression of premalignant oral intraepithelial neoplasia (OIN) to OSCC is clearly the preferable outcome. Optimal OSCC chemopreventives possess a variety of attributes including high tolerability, bioavailability, efficacy and preservation of an intact surface epithelium. Terminal differentiation, which directs oral keratinocytes leave the proliferative pool to form protective cornified envelopes, preserves the protective epithelial barrier while concurrently eliminating growth-aberrant keratinocytes. This study employed human premalignant oral keratinocytes and an OSCC cell line to evaluate the differentiation-inducing capacity of the synthetic retinoid, fenretinide (4HPR). Full-thickness oral mucosal explants were evaluated for proof of concept differentiation studies. Results of this study characterize the ability of 4HPR to fulfill all requisite components for keratinocyte differentiation, i.e. nuclear import via binding to cellular RA binding protein-II (molecular modeling), binding to and subsequent activation of retinoic acid nuclear receptors (receptor activation assays), increased expression and translation of genes associated with keratinocyte differentiation [Reverse transcription polymerase chain reaction (RT-PCR), immunoblotting] upregulation of a transglutaminase enzyme essential for cornified envelope formation (transglutaminase 3, functional assay) and augmentation of terminal differentiation in human oral epithelial explants (image-analyses quantified corneocyte desquamation). These data build upon the chemoprevention repertoire of 4HPR that includes function as a small molecule kinase inhibitor and inhibition of essential mechanisms necessary for basement membrane invasion. An upcoming clinical trial, which will assess whether a 4HPR-releasing mucoadhesive patch induces histologic, clinical and molecular regression in OIN lesions, will provide essential clinical insights."
2023 Jul,Annals of clinical and translational neurology,Ann Clin Transl Neurol. 2023 Jul;10(7):1239-1253. doi: 10.1002/acn3.51820. Epub ,"['Muñiz, Ayşe J', 'Topal, Tuğba', 'Brooks, Michael D', 'Sze, Angela', 'Kim, Do Hoon', 'Jordahl, Jacob', 'Nguyen, Joe', 'Krebsbach, Paul H', 'Savelieff, Masha G', 'Feldman, Eva L', 'Lahann, Joerg']","['adult', 'humans', ' organoids metabolism', 'extracellular matrix', ' pluripotent stem cells', 'brain', 'neurogenesis']",Engineered extracellular matrices facilitate brain organoids from human pluripotent stem cells.,"OBJECTIVE: Brain organoids are miniaturized in vitro brain models generated from pluripotent stem cells, which resemble full-sized brain more closely than conventional two-dimensional cell cultures. Although brain organoids mimic the human brain's cell-to-cell network interactions, they generally fail to faithfully recapitulate cell-to-matrix interactions. Here, an engineered framework, called an engineered extracellular matrix (EECM), was developed to provide support and cell-to-matrix interactions to developing brain organoids. METHODS: We generated brain organoids using EECMs comprised of human fibrillar fibronectin supported by a highly porous polymer scaffold. The resultant brain organoids were characterized by immunofluorescence microscopy, transcriptomics, and proteomics of the cerebrospinal fluid (CSF) compartment. RESULTS: The interstitial matrix-mimicking EECM enhanced neurogenesis, glial maturation, and neuronal diversity from human embryonic stem cells versus conventional protein matrix (Matrigel). Additionally, EECMs supported long-term culture, which promoted large-volume organoids containing over 250 μL of CSF. Proteomics analysis of the CSF found it superseded previous brain organoids in protein diversity, as indicated by 280 proteins spanning 500 gene ontology pathways shared with adult CSF. INTERPRETATION: Engineered EECM matrices represent a major advancement in neural engineering as they have the potential to significantly enhance the structural, cellular, and functional diversity that can be achieved in advanced brain models."
2023 May 3,ACS applied materials & interfaces,ACS Appl Mater Interfaces. 2023 May 3;15(17):21618-21628. doi: ,"['Zhong, Xiaoyang', 'Jordan, Rob', 'Chen, Jiun-Ruey', 'Raymond, Jeffery', 'Lahann, Joerg']","['area-selective deposition', 'chemical vapor deposition', 'polymer', 'surface modification', 'thin films']",Systematic Studies into the Area Selectivity of Chemical Vapor Deposition Polymerization.,"As the current top-down microchip manufacturing processes approach their resolution limits, there is a need for alternative patterning technologies that offer high feature densities and edge fidelity with single-digit nanometer resolution. To address this challenge, bottom-up processes have been considered, but they typically require sophisticated masking and alignment schemes and/or face materials' compatibility issues. In this work, we report a systematic study into the impact of thermodynamic processes on the area selectivity of chemical vapor deposition (CVD) polymerization of functional [2.2]paracyclophanes (PCP). Adhesion mapping of preclosure CVD films by atomic force microscopy (AFM) provided a detailed understanding of the geometric features of the polymer islands that form under different deposition conditions. Our results suggest a correlation between interfacial transport processes, including adsorption, diffusion, and desorption, and thermodynamic control parameters, such as substrate temperature and working pressure. This work culminates in a kinetic model that predictes both area-selective and nonselective CVD parameters for the same polymer/substrate ensemble (PPX-C + Cu). While limited to a focused subset of CVD polymers and substrates, this work provides an improved mechanistic understanding of area-selective CVD polymerization and highlights the potential for thermodynamic control in tuning area selectivity."
2023,Beilstein journal of nanotechnology,Beilstein J Nanotechnol. 2023 Mar 17;14:351-361. doi: 10.3762/bjnano.14.30. ,"['Yao, Yao', 'Ko, Yeongun', 'Grasman, Grant', 'Raymond, Jeffery E', 'Lahann, Joerg']","['characterization', 'dosage', 'gene delivery', 'transfection', 'uptake']",The steep road to nonviral nanomedicines: Frequent challenges and culprits in designing nanoparticles for gene therapy.,"The potential of therapeutically loaded nanoparticles (NPs) has been successfully demonstrated during the last decade, with NP-mediated nonviral gene delivery gathering significant attention as highlighted by the broad clinical acceptance of mRNA-based COVID-19 vaccines. A significant barrier to progress in this emerging area is the wild variability of approaches reported in published literature regarding nanoparticle characterizations. Here, we provide a brief overview of the current status and outline important concerns regarding the need for standardized protocols to evaluate NP uptake, NP transfection efficacy, drug dose determination, and variability of nonviral gene delivery systems. Based on these concerns, we propose wide adherence to multimodal, multiparameter, and multistudy analysis of NP systems. Adoption of these proposed approaches will ensure improved transparency, provide a better basis for interlaboratory comparisons, and will simplify judging the significance of new findings in a broader context, all critical requirements for advancing the field of nonviral gene delivery."
2023 Mar,Pharmaceutical research,Pharm Res. 2023 Mar;40(3):749-764. doi: 10.1007/s11095-022-03465-x. Epub 2023 Jan ,"['Habibi, Nahal', 'Bissonnette, Caroline', 'Pei, Ping', 'Wang, Daren', 'Chang, Albert', 'Raymond, Jeffery E', 'Lahann, Joerg', 'Mallery, Susan R']","['humans', ' carcinoma, squamous cell', ' chemoprevention', 'delayed-action preparations', 'drug carriers chemistry', ' mouth neoplasms drug therapy prevention & control', ' multifunctional nanoparticles', 'nanoparticles chemistry', 'anticarcinogenic agents', 'chemoprevention', 'controlled-release preparations', 'nanoparticle drug delivery system', 'oral cancer', 'tocilizumab']",Mucopenetrating Janus Nanoparticles For Field-Coverage Oral Cancer Chemoprevention.,"INTRODUCTION: Oral squamous cell carcinoma (OSCC), is associated with high morbidity and mortality. Preemptive interventions have been postulated to provide superior therapeutic options, but their implementation has been restricted by the availability of broadly applicable local delivery systems. METHODS: We address this challenge by engineering a delivery vehicle, Janus nanoparticles (JNP), that combine the dual mucoadhesive properties of a first cationic chitosan compartment with a second hydrophobic poly(lactide-co-glycolide) release compartment. JNP are designed to avoid rapid mucus clearance while ensuring stable loading and controlled release of the IL-6 receptor antagonist, tocilizumab (TCZ). RESULTS: The JNP featured defined and monodispersed sizes with an average diameter of 327 nm and a PDI of 0.245, high circularities above 0.90 and supported controlled release of TCZ and effective internalization by oral keratinocytes. TCZ released from JNP retained its biological activity and effectively reduced both, soluble and membrane-bound IL-6Rα (71% and 50%). In full-thickness oral mucosal explants, 76% of the JNP breached the stratum corneum and in 41% were observed in the basal cell layer indicating excellent mucopenetrating properties. When tested in an aggressive OSCC xenograft model, TCZ-loaded JNP showed high levels of xenograft inhibition and outperformed all control groups with respect to inhibition of tumor cell proliferation, reduction in tumor size and reduced expression of the proto-oncogene ERG. CONCLUSION: By combining critically required, yet orthogonal properties within the same nanoparticle design, the JNP in this study, demonstrate promise as precision delivery platforms for intraoral field-coverage chemoprevention, a vastly under-researched area of high clinical importance."
2022 Aug 3,Advanced materials interfaces,Adv Mater Interfaces. 2022 Aug 3;9(22):2200531. doi: 10.1002/admi.202200531. Epub ,"['Maekawa, Shogo', 'Cho, Young-Dan', 'Kauffmann, Frederic', 'Yao, Yao', 'Sugai, James V', 'Zhong, Xiaoyang', 'Schmiedeler, Caroline', 'Kinra, Nitin', 'Moy, Alyssa', 'Larsson, Lena', 'Lahann, Joerg', 'Giannobile, William V']","['bmp-7', 'bone regeneration', 'chemical vapor deposition', 'gene delivery', 'implants']",BMP Gene-Immobilization to Dental Implants Enhances Bone Regeneration.,"For individuals who have experienced tooth loss, dental implants are an important treatment option for oral reconstruction. For these patients, alveolar bone augmentation and acceleration of osseointegration optimize implant stability. Traditional oral surgery often requires invasive procedures, which can result in prolonged treatment time and associated morbidity. It has been previously shown that chemical vapor deposition (CVD) polymerization of functionalized [2.2]paracyclophanes can be used to anchor gene encoding vectors onto biomaterial surfaces and local delivery of a bone morphogenetic protein (BMP)-encoding vector can increase alveolar bone volume and density in vivo. This study is the first to combine the use of CVD technology and BMP gene delivery on titanium for the promotion of bone regeneration and bone to implant contact in vivo. BMP-7 tethered to titanium surface enhances osteoblast cell differentiation and alkaline phosphatase activity in vitro and increases alveolar bone regeneration and % bone to implant contact similar to using high doses of exogenously applied BMP-7 in vivo. The use of this innovative gene delivery strategy on implant surfaces offers an alternative treatment option for targeted alveolar bone reconstruction."
2022,Caries research,Caries Res. 2022;56(4):419-428. doi: 10.1159/000527118. Epub 2022 Sep 26.,"['Jones, Kai A', 'Jones, Nathan', 'Tenuta, Livia Maria Andalo', 'Bloembergen, Wendy', 'Flannagan, Susan E', 'González-Cabezas, Carlos', 'Clarkson, Brian', 'Pan, Li-Chi', 'Lahann, Joerg', 'Bloembergen, Steven']","['humans', 'dental caries susceptibility', 'artificial intelligence', ' dental caries diagnostic imaging pathology', 'neural networks, computer', ' nanoparticles', 'caries detection', 'image analysis', 'machine learning', 'nanoparticles', 'noncavitated caries lesions']",Convolution Neural Networks and Targeted Fluorescent Nanoparticles to Detect and ICDAS Score Caries.,"Previous work has shown targeted fluorescent starch nanoparticles (TFSNs) can label the subsurface of carious lesions and assist dental professionals in the diagnostic process. In this study, we aimed to evaluate the potential of using artificial intelligence (AI) to detect and score carious lesions using ICDAS in combination with fluorescent imaging following application of TFSNs on teeth with a range of lesion severities, using ICDAS-labeled images as the reference standard. A total of 130 extracted human teeth with ICDAS scores from 0 to 6 were selected by a calibrated cariologist. Then, the same surface was imaged with a stereomicroscope under white light illumination, without visible fluorescence, and blue light illumination with an orange filter following application of the TFSNs. Both sets of images were labeled by another blinded ICDAS-calibrated cariologist to demarcate lesion position and severity. Convolutional neural networks, state-of-the-art models in imaging AI, were trained to determine the presence, location, ICDAS score (severity), and lesion surface porosity (as an indicator of activity) of carious lesions, and tested by 30 k-fold validation for white light, blue light, and the combined image sets. The best models showed high performance for the detection of carious lesions (sensitivity 80.26%, PPV 76.36%), potential for determining the severity via ICDAS scoring (accuracy 72%, SD 5.67%), and the detection of surface porosity as an indicator of the activity of the lesions (accuracy 90%, SD 7.00%). More broadly, the combination of targeted biopolymer nanoparticles with imaging AI is a promising combination of novel technologies that could be applied to many other applications."
2022 Oct,Journal of dentistry,J Dent. 2022 Oct;125:104243. doi: 10.1016/j.jdent.2022.104243. Epub 2022 Jul 27.,"['Jones, Nathan A', 'Bloembergen, Wendy', 'Tenuta, Livia M A', 'Flannagan, Susan E', 'Jones, Glenn W', 'Pan, Li-Chi', 'Newton, Mariah', 'Clarkson, Brian H', 'Lahann, Joerg', 'Bloembergen, Steven', 'González-Cabezas, Carlos']","[' dental caries diagnosis', 'dental caries susceptibility', 'fluorescence', 'humans', ' nanoparticles', 'reproducibility of results', 'sensitivity and specificity', 'starch', 'water']",Early occlusal caries detection using targeted fluorescent starch nanoparticles.,"OBJECTIVES: We have previously shown fluorescent cationic starch nanoparticles (FCSNs) penetrate enamel surface porosity of active carious lesions, potentially aiding their detection. Here, we evaluate the in vitro diagnostic accuracy of FCSNs in detecting occlusal caries compared to histologic reference standard. METHODS: 100 extracted human teeth were selected with sound (50), or either non-cavitated (25) or cavitated (25) lesions. A region of interest (ROI) on the occlusal surface was assessed for fluorescence by two independent examiners, after immersion in FCSN solution, water rinse, and illumination by dental curing lamp viewed through orange UV-filter glasses. ROIs were sectioned and evaluated by histology (Downer Criteria) as a gold standard for caries presence. Cohen's Kappa was determined for inter- and intra-examiner agreement, and sensitivity, specificity, and area under the curve of Receiver Operator Curves (ROC(AUC)) were calculated. The analysis was repeated for the subset of ""early"" lesions, defined as being limited to enamel. RESULTS: FCSN use resulted in substantial inter-user (k=0.74±0.07), and high intra-user agreement (k=0.80±0.06; 0.94±0.03, by examiner). Sensitivity, specificity and ROC(AUC) for FCSNs were 88.9%; 94.6%; 0.92±0.06 for all, and 76.9%, 94.6%, and 0.86±0.10 for early lesions. In post hoc analysis, sensitivity seemed to be greater with the FCSN than the expert visual exam, particularly for early lesions. CONCLUSIONS/CLINICAL SIGNIFICANCE: FCSNs are a reproducible and accurate novel technology for occlusal caries detection, with high sensitivity and specificity compared to histology. Future clinical validation is necessary. FCSNs can improve early caries detection and shift treatment towards non-invasive approaches, improving oral health."
2022 Jun 8,RSC chemical biology,RSC Chem Biol. 2022 Apr 29;3(6):748-764. doi: 10.1039/d2cb00030j. eCollection ,"['Swanson, W Benton', 'Durdan, Margaret', 'Eberle, Miranda', 'Woodbury, Seth', 'Mauser, Ava', 'Gregory, Jason', 'Zhang, Boya', 'Niemann, David', 'Herremans, Jacob', 'Ma, Peter X', 'Lahann, Joerg', 'Weivoda, Megan', 'Mishina, Yuji', 'Greineder, Colin F']",[],A library of Rhodamine6G-based pH-sensitive fluorescent probes with versatile in vivo and in vitro applications.,"Acidic pH is critical to the function of the gastrointestinal system, bone-resorbing osteoclasts, and the endolysosomal compartment of nearly every cell in the body. Non-invasive, real-time fluorescence imaging of acidic microenvironments represents a powerful tool for understanding normal cellular biology, defining mechanisms of disease, and monitoring for therapeutic response. While commercially available pH-sensitive fluorescent probes exist, several limitations hinder their widespread use and potential for biologic application. To address this need, we developed a novel library of pH-sensitive probes based on the highly photostable and water-soluble fluorescent molecule, Rhodamine 6G. We demonstrate versatility in terms of both pH sensitivity (i.e., pK (a)) and chemical functionality, allowing conjugation to small molecules, proteins, nanoparticles, and regenerative biomaterial scaffold matrices. Furthermore, we show preserved pH-sensitive fluorescence following a variety of forms of covalent functionalization and demonstrate three potential applications, both in vitro and in vivo, for intracellular and extracellular pH sensing. Finally, we develop a computation approach for predicting the pH sensitivity of R6G derivatives, which could be used to expand our library and generate probes with novel properties."
