time,journal,doi_info,authors,key words,title,abstract
2024 Feb 15,JCI insight,JCI Insight. 2024 Feb 15;9(6):e173437. doi: 10.1172/jci.insight.173437.,"['Shoffner-Beck, Suzanne K', 'Abernathy-Close, Lisa', 'Lazar, Stephanie', 'Ma, Feiyang', 'Gharaee-Kermani, Mehrnaz', 'Hurst, Amy', 'Dobry, Craig', 'Pandian, Deepika', 'Wasikowski, Rachael', 'Victory, Amanda', 'Arnold, Kelly', 'Gudjonsson, Johann E', 'Tsoi, Lam C', 'Kahlenberg, J Michelle']","['humans', 'cicatrix metabolism', ' lupus erythematosus, cutaneous pathology', 'cytokines metabolism', ' lupus erythematosus, systemic', 'phenotype', 'transforming growth factor beta metabolism', 'fibroblasts metabolism', 'autoimmune diseases', 'autoimmunity', 'collagens', 'dermatology', 'skin']",Lupus dermal fibroblasts are proinflammatory and exhibit a profibrotic phenotype in scarring skin disease.,"Fibroblasts are stromal cells known to regulate local immune responses important for wound healing and scar formation; however, the cellular mechanisms driving damage and scarring in patients with cutaneous lupus erythematosus (CLE) remain poorly understood. Dermal fibroblasts in patients with systemic lupus erythematosus (SLE) experience increased cytokine signaling in vivo, but the effect of inflammatory mediators on fibroblast responses in nonscarring versus scarring CLE subtypes is unclear. Here, we examined responses to cytokines in dermal fibroblasts from nonlesional skin of 22 patients with SLE and CLE and 34 individuals acting as healthy controls. Notably, inflammatory cytokine responses were exaggerated in SLE fibroblasts compared with those from individuals acting as healthy controls. In lesional CLE biopsies, these same inflammatory profiles were reflected in single-cell RNA-Seq of SFRP2+ and inflammatory fibroblast subsets, and TGF-β was identified as a critical upstream regulator for inflammatory fibroblasts in scarring discoid lupus lesions. In vitro cytokine stimulation of nonlesional fibroblasts from patients who scar from CLE identified an upregulation of collagens, particularly in response to TGF-β, whereas inflammatory pathways were more prominent in nonscarring patients. Our study revealed that SLE fibroblasts are poised to hyperrespond to inflammation, with differential responses among patients with scarring versus nonscarring disease, providing a potential skin-specific target for mitigating damage."
2023,Frontiers in immunology,Front Immunol. 2023 Jun 27;14:1183727. doi: 10.3389/fimmu.2023.1183727. ,"['Purcell, Ruth A', 'Theisen, Robert M', 'Arnold, Kelly B', 'Chung, Amy W', 'Selva, Kevin J']","['adult', 'child', 'aged', 'humans', ' vulnerable populations', ' vaccines', 'vaccination', 'antibodies, neutralizing', 'immunization', 'fc function', 'fc receptor', 'igg glycosylation', 'allotype', 'antibody', 'computational modelling', 'polymorphism', 'vaccine design']",Polyfunctional antibodies: a path towards precision vaccines for vulnerable populations.,"Vaccine efficacy determined within the controlled environment of a clinical trial is usually substantially greater than real-world vaccine effectiveness. Typically, this results from reduced protection of immunologically vulnerable populations, such as children, elderly individuals and people with chronic comorbidities. Consequently, these high-risk groups are frequently recommended tailored immunisation schedules to boost responses. In addition, diverse groups of healthy adults may also be variably protected by the same vaccine regimen. Current population-based vaccination strategies that consider basic clinical parameters offer a glimpse into what may be achievable if more nuanced aspects of the immune response are considered in vaccine design. To date, vaccine development has been largely empirical. However, next-generation approaches require more rational strategies. We foresee a generation of precision vaccines that consider the mechanistic basis of vaccine response variations associated with both immunogenetic and baseline health differences. Recent efforts have highlighted the importance of balanced and diverse extra-neutralising antibody functions for vaccine-induced protection. However, in immunologically vulnerable populations, significant modulation of polyfunctional antibody responses that mediate both neutralisation and effector functions has been observed. Here, we review the current understanding of key genetic and inflammatory modulators of antibody polyfunctionality that affect vaccination outcomes and consider how this knowledge may be harnessed to tailor vaccine design for improved public health."
2023 Aug,PLoS computational biology,PLoS Comput Biol. 2023 Aug 11;19(8):e1011295. doi: 10.1371/journal.pcbi.1011295. ,"['Lee, Christina Y', 'Diegel, Jenna', 'France, Michael T', 'Ravel, Jacques', 'Arnold, Kelly B']","['humans', 'female', 'vagina', ' vaginosis, bacterial drug therapy microbiology', ' microbiota', 'anti-bacterial agents pharmacology therapeutic use', 'lactobacillus']",Evaluation of vaginal microbiome equilibrium states identifies microbial parameters linked to resilience after menses and antibiotic therapy.,"The vaginal microbiome (VMB) is a complex microbial community that is closely tied to reproductive health. Optimal VMB communities have compositions that are commonly defined by the dominance of certain Lactobacillus spp. and can remain stable over time or transition to non-optimal states dominated by anaerobic bacteria and associated with bacterial vaginosis (BV). The ability to remain stable or undergo transitions suggests a system with either single (mono-stable) or multiple (multi-stable) equilibrium states, though factors that contribute to stability have been difficult to determine due to heterogeneity in microbial growth characteristics and inter-species interactions. Here, we use a computational model to determine whether differences in microbial growth and interaction parameters could alter equilibrium state accessibility and account for variability in community composition after menses and antibiotic therapies. Using a global uncertainty and sensitivity analysis that captures parameter sets sampled from a physiologically relevant range, model simulations predicted that 79.7% of microbial communities were mono-stable (gravitate to one composition type) and 20.3% were predicted to be multi-stable (can gravitate to more than one composition type, given external perturbations), which was not significantly different from observations in two clinical cohorts (HMP cohort, 75.2% and 24.8%; Gajer cohort, 78.1% and 21.9%, respectively). The model identified key microbial parameters that governed equilibrium state accessibility, such as the importance of non-optimal anaerobic bacteria interactions with Lactobacillus spp., which is largely understudied. Model predictions for composition changes after menses and antibiotics were not significantly different from those observed in clinical cohorts. Lastly, simulations were performed to illustrate how this quantitative framework can be used to gain insight into the development of new combinatorial therapies involving altered prebiotic and antibiotic dosing strategies. Altogether, dynamical models could guide development of more precise therapeutic strategies to manage BV."
2023 May 22,Scientific reports,Sci Rep. 2023 May 22;13(1):8228. doi: 10.1038/s41598-023-32216-0.,"['DiLillo, Katarina M', 'Norman, Katy C', 'Freeman, Christine M', 'Christenson, Stephanie A', 'Alexis, Neil E', 'Anderson, Wayne H', 'Barjaktarevic, Igor Z', 'Barr, R Graham', 'Comellas, Alejandro P', 'Bleecker, Eugene R', 'Boucher, Richard C', 'Couper, David J', 'Criner, Gerard J', 'Doerschuk, Claire M', 'Wells, J Michael', 'Han, MeiLan K', 'Hoffman, Eric A', 'Hansel, Nadia N', 'Hastie, Annette T', 'Kaner, Robert J', 'Krishnan, Jerry A', 'Labaki, Wassim W', 'Martinez, Fernando J', 'Meyers, Deborah A', ""O'Neal, Wanda K"", 'Ortega, Victor E', 'Paine, Robert 3rd', 'Peters, Stephen P', 'Woodruff, Prescott G', 'Cooper, Christopher B', 'Bowler, Russell P', 'Curtis, Jeffrey L', 'Arnold, Kelly B']","['humans', ' lung', 'disease progression', ' pulmonary disease, chronic obstructive', 'smoking adverse effects', 'forced expiratory volume', 'bronchoalveolar lavage', 'biomarkers']",A blood and bronchoalveolar lavage protein signature of rapid FEV(1) decline in smoking-associated COPD.,"Accelerated progression of chronic obstructive pulmonary disease (COPD) is associated with increased risks of hospitalization and death. Prognostic insights into mechanisms and markers of progression could facilitate development of disease-modifying therapies. Although individual biomarkers exhibit some predictive value, performance is modest and their univariate nature limits network-level insights. To overcome these limitations and gain insights into early pathways associated with rapid progression, we measured 1305 peripheral blood and 48 bronchoalveolar lavage proteins in individuals with COPD [n = 45, mean initial forced expiratory volume in one second (FEV(1)) 75.6 ± 17.4% predicted]. We applied a data-driven analysis pipeline, which enabled identification of protein signatures that predicted individuals at-risk for accelerated lung function decline (FEV(1) decline ≥ 70 mL/year) ~ 6 years later, with high accuracy. Progression signatures suggested that early dysregulation in elements of the complement cascade is associated with accelerated decline. Our results propose potential biomarkers and early aberrant signaling mechanisms driving rapid progression in COPD."
2023 Apr,Trends in microbiology,Trends Microbiol. 2023 Apr;31(4):356-368. doi: 10.1016/j.tim.2022.09.011. Epub ,"['Lee, Christina Y', 'Dillard, Lillian R', 'Papin, Jason A', 'Arnold, Kelly B']","['female', 'humans', ' systems biology', 'vagina', ' microbiota', ""women's health"", 'gastrointestinal tract', 'systems biology', 'vaginal microbiome']",New perspectives into the vaginal microbiome with systems biology.,"The vaginal microbiome (VMB) is critical to female reproductive health; however, the mechanisms associated with optimal and non-optimal states remain poorly understood due to the complex community structure and dynamic nature. Quantitative systems biology techniques applied to the VMB have improved understanding of community composition and function using primarily statistical methods. In contrast, fewer mechanistic models that use a priori knowledge of VMB features to develop predictive models have been implemented despite their use for microbiomes at other sites, including the gastrointestinal tract. Here, we explore systems biology approaches that have been applied in the VMB, highlighting successful techniques and discussing new directions that hold promise for improving understanding of health and disease."
2022 May 19,Nature communications,Nat Commun. 2022 May 19;13(1):2774. doi: 10.1038/s41467-022-30088-y.,"['Zhang, Wuji', 'Chua, Brendon Y', 'Selva, Kevin J', 'Kedzierski, Lukasz', 'Ashhurst, Thomas M', 'Haycroft, Ebene R', 'Shoffner-Beck, Suzanne K', 'Hensen, Luca', 'Boyd, David F', 'James, Fiona', 'Mouhtouris, Effie', 'Kwong, Jason C', 'Chua, Kyra Y L', 'Drewett, George', 'Copaescu, Ana', 'Dobson, Julie E', 'Rowntree, Louise C', 'Habel, Jennifer R', 'Allen, Lilith F', 'Koay, Hui-Fern', 'Neil, Jessica A', 'Gartner, Matthew J', 'Lee, Christina Y', 'Andersson, Patiyan', 'Khan, Sadid F', 'Blakeway, Luke', 'Wisniewski, Jessica', 'McMahon, James H', 'Vine, Erica E', 'Cunningham, Anthony L', 'Audsley, Jennifer', 'Thevarajan, Irani', 'Seemann, Torsten', 'Sherry, Norelle L', 'Amanat, Fatima', 'Krammer, Florian', 'Londrigan, Sarah L', 'Wakim, Linda M', 'King, Nicholas J C', 'Godfrey, Dale I', 'Mackay, Laura K', 'Thomas, Paul G', 'Nicholson, Suellen', 'Arnold, Kelly B', 'Chung, Amy W', 'Holmes, Natasha E', 'Smibert, Olivia C', 'Trubiano, Jason A', 'Gordon, Claire L', 'Nguyen, Thi H O', 'Kedzierska, Katherine']","['antibodies, viral', ' covid-19', 'humans', 'immunity', 'immunoglobulin g', 'immunoglobulin m', 'respiratory system', 'sars-cov-2', 'severity of illness index', 'spike glycoprotein, coronavirus']",SARS-CoV-2 infection results in immune responses in the respiratory tract and peripheral blood that suggest mechanisms of disease severity.,"Respiratory tract infection with SARS-CoV-2 results in varying immunopathology underlying COVID-19. We examine cellular, humoral and cytokine responses covering 382 immune components in longitudinal blood and respiratory samples from hospitalized COVID-19 patients. SARS-CoV-2-specific IgM, IgG, IgA are detected in respiratory tract and blood, however, receptor-binding domain (RBD)-specific IgM and IgG seroconversion is enhanced in respiratory specimens. SARS-CoV-2 neutralization activity in respiratory samples correlates with RBD-specific IgM and IgG levels. Cytokines/chemokines vary between respiratory samples and plasma, indicating that inflammation should be assessed in respiratory specimens to understand immunopathology. IFN-α2 and IL-12p70 in endotracheal aspirate and neutralization in sputum negatively correlate with duration of hospital stay. Diverse immune subsets are detected in respiratory samples, dominated by neutrophils. Importantly, dexamethasone treatment does not affect humoral responses in blood of COVID-19 patients. Our study unveils differential immune responses between respiratory samples and blood, and shows how drug therapy affects immune responses during COVID-19."
2022,Frontiers in immunology,Front Immunol. 2022 Feb 22;13:820148. doi: 10.3389/fimmu.2022.820148. eCollection ,"['Lemke, Melissa M', 'Theisen, Robert M', 'Bozich, Emily R', 'McLean, Milla R', 'Lee, Christina Y', 'Lopez, Ester', 'Rerks-Ngarm, Supachai', 'Pitisuttithum, Punnee', 'Nitayaphan, Sorachai', 'Kratochvil, Sven', 'Wines, Bruce D', 'Hogarth, P Mark', 'Kent, Stephen J', 'Chung, Amy W', 'Arnold, Kelly B']","[' aids vaccines', 'humans', 'immunoglobulin g', 'receptors, fc metabolism', ' receptors, igg metabolism', 'vaccination', 'adcc', 'fc receptor', 'fc receptor polymorphism', 'hiv', 'igg1 allotype', 'rv144', 'systems serology', 'vaccine boosting']",A Quantitative Approach to Unravel the Role of Host Genetics in IgG-FcγR Complex Formation After Vaccination.,"Fc-mediated immune functions have been correlated with protection in the RV144 HIV vaccine trial and are important for immunity to a range of pathogens. IgG antibodies (Abs) that form complexes with Fc receptors (FcRs) on innate immune cells can activate Fc-mediated immune functions. Genetic variation in both IgGs and FcRs have the capacity to alter IgG-FcR complex formation via changes in binding affinity and concentration. A growing challenge lies in unraveling the importance of multiple variations, especially in the context of vaccine trials that are conducted in homogenous genetic populations. Here we use an ordinary differential equation model to quantitatively assess how IgG1 allotypes and FcγR polymorphisms influence IgG-FcγRIIIa complex formation in vaccine-relevant settings. Using data from the RV144 HIV vaccine trial, we map the landscape of IgG-FcγRIIIa complex formation predicted post-vaccination for three different IgG1 allotypes and two different FcγRIIIa polymorphisms. Overall, the model illustrates how specific vaccine interventions could be applied to maximize IgG-FcγRIIIa complex formation in different genetic backgrounds. Individuals with the G1m1,17 and G1m1,3 allotypes were predicted to be more responsive to vaccine adjuvant strategies that increase antibody FcγRIIIa affinity (e.g. glycosylation modifications), compared to the G1m-1,3 allotype which was predicted to be more responsive to vaccine boosting regimens that increase IgG1 antibody titers (concentration). Finally, simulations in mixed-allotype populations suggest that the benefit of boosting IgG1 concentration versus IgG1 affinity may be dependent upon the presence of the G1m-1,3 allotype. Overall this work provides a quantitative tool for rationally improving Fc-mediated functions after vaccination that may be important for assessing vaccine trial results in the context of under-represented genetic populations."
2022 Jan 25,Vaccines,Vaccines (Basel). 2022 Jan 25;10(2):187. doi: 10.3390/vaccines10020187.,"['Herrera, Carolina', 'Veazey, Ronald', 'Lemke, Melissa M', 'Arnold, Kelly', 'Kim, Jerome H', 'Shattock, Robin J']","['hiv-1', 'mucosal immunology', 'vaccine']",Ex Vivo Evaluation of Mucosal Responses to Vaccination with ALVAC and AIDSVAX of Non-Human Primates.,"Non-human primates (NHPs) remain the most relevant challenge model for the evaluation of HIV vaccine candidates; however, discrepancies with clinical trial results have emphasized the need to further refine the NHP model. Furthermore, classical evaluation of vaccine candidates is based on endpoints measured systemically. We assessed the mucosal responses elicited upon vaccination with ALVAC and AIDSVAX using ex vivo Rhesus macaque mucosal tissue explant models. Following booster immunization with ALVAC/AIDSVAX, anti-gp120 HIV-1(CM244)-specific IgG and IgA were detected in culture supernatant cervicovaginal and colorectal tissue explants, as well as systemically. Despite protection from ex vivo viral challenge, no neutralization was observed with tissue explant culture supernatants. Priming with ALVAC induced distinct cytokine profiles in cervical and rectal tissue. However, ALVAC/AIDSVAX boosts resulted in similar modulations in both mucosal tissues with a statistically significant decrease in cytokines linked to inflammatory responses and lymphocyte differentiation. With ALVAC/AIDSVAX boosts, significant correlations were observed between cytokine levels and specific IgA in cervical explants and specific IgG and IgA in rectal tissue. The cytokine secretome revealed differences between vaccination with ALVAC and ALVAC/AIDSVAX not previously observed in mucosal tissues and distinct from the systemic response, which could represent a biosignature of the vaccine combination."
2021 Sep 21,Cell reports. Medicine,Cell Rep Med. 2021 Sep 1;2(9):100386. doi: 10.1016/j.xcrm.2021.100386. ,"['Lemke, Melissa M', 'McLean, Milla R', 'Lee, Christina Y', 'Lopez, Ester', 'Bozich, Emily R', 'Rerks-Ngarm, Supachai', 'Pitisuttithum, Punnee', 'Nitayaphan, Sorachai', 'Kratochvil, Sven', 'Wines, Bruce D', 'Hogarth, P Mark', 'Kent, Stephen J', 'Chung, Amy W', 'Arnold, Kelly B']","['hiv antibodies  immunology', 'humans', 'immunoglobulin g metabolism', 'models, biological', ' precision medicine', 'receptors, fc  metabolism', 'receptors, igg metabolism', 'reproducibility of results', ' systems analysis', ' vaccination', 'env gene products, human immunodeficiency virus metabolism', 'adcc', 'fc receptor', 'hiv', 'igg', 'ode model', 'rv144', 'precision medicine', 'sensitivity analysis', 'systems serology', 'vaccine']",A systems approach to elucidate personalized mechanistic complexities of antibody-Fc receptor activation post-vaccination.,"Immunoglobulin G (IgG) antibodies that activate Fc-mediated immune functions have been correlated with vaccine efficacy, but it is difficult to unravel the relative roles of multiple IgG and Fc receptor (FcR) features that have the capacity to influence IgG-FcR complex formation but vary on a personalized basis. Here, we develop an ordinary differential-equation model to determine how personalized variability in IgG subclass concentrations and binding affinities influence IgG-FcγRIIIa complex formation and validate it with samples from the HIV RV144 vaccine trial. The model identifies individuals who are sensitive, insensitive, or negatively affected by increases in HIV-specific IgG1, which is validated with the addition of HIV-specific IgG1 monoclonal antibodies to vaccine samples. IgG1 affinity to FcγRIIIa is also prioritized as the most influential parameter for dictating activation broadly across a population. Overall, this work presents a quantitative tool for evaluating personalized differences underlying FcR activation, which is relevant to ongoing efforts to improve vaccine efficacy."
2021 Aug 26,Research square,Res Sq [Preprint]. 2021 Aug 26:rs.3.rs-802084. doi: 10.21203/rs.3.rs-802084/v1.,"['Zhang, Wuji', 'Chua, Brendon', 'Selva, Kevin', 'Kedzierski, Lukasz', 'Ashhurst, Thomas', 'Haycroft, Ebene', 'Shoffner, Suzanne', 'Hensen, Luca', 'Boyd, David', 'James, Fiona', 'Mouhtouris, Effie', 'Kwong, Jason', 'Chua, Kyra', 'Drewett, George', 'Copaescu, Ana', 'Dobson, Julie', 'Rowntree, Louise', 'Habel, Jennifer', 'Allen, Lilith', 'Koay, Hui-Fern', 'Neil, Jessica', 'Gartner, Matthew', 'Lee, Christina', 'Andersson, Patiyan', 'Seemann, Torsten', 'Sherry, Norelle', 'Amanat, Fatima', 'Krammer, Florian', 'Londrigan, Sarah', 'Wakim, Linda', 'King, Nicholas', 'Godfrey, Dale', 'Mackay, Laura', 'Thomas, Paul', 'Nicholson, Suellen', 'Arnold, Kelly', 'Chung, Amy', 'Holmes, Natasha', 'Smibert, Olivia', 'Trubiano, Jason', 'Gordon, Claire', 'Nguyen, Thi', 'Kedzierska, Katherine']",[],Immune responses in COVID-19 respiratory tract and blood reveal mechanisms of disease severity.,"Although the respiratory tract is the primary site of SARS-CoV-2 infection and the ensuing immunopathology, respiratory immune responses are understudied and urgently needed to understand mechanisms underlying COVID-19 disease pathogenesis. We collected paired longitudinal blood and respiratory tract samples (endotracheal aspirate, sputum or pleural fluid) from hospitalized COVID-19 patients and non-COVID-19 controls. Cellular, humoral and cytokine responses were analysed and correlated with clinical data. SARS-CoV-2-specific IgM, IgG and IgA antibodies were detected using ELISA and multiplex assay in both the respiratory tract and blood of COVID-19 patients, although a higher receptor binding domain (RBD)-specific IgM and IgG seroconversion level was found in respiratory specimens. SARS-CoV-2 neutralization activity in respiratory samples was detected only when high levels of RBD-specific antibodies were present. Strikingly, cytokine/chemokine levels and profiles greatly differed between respiratory samples and plasma, indicating that inflammation needs to be assessed in respiratory specimens for the accurate assessment of SARS-CoV-2 immunopathology. Diverse immune cell subsets were detected in respiratory samples, albeit dominated by neutrophils. Importantly, we also showed that dexamethasone and/or remdesivir treatment did not affect humoral responses in blood of COVID-19 patients. Overall, our study unveils stark differences in innate and adaptive immune responses between respiratory samples and blood and provides important insights into effect of drug therapy on immune responses in COVID-19 patients."
