time,journal,doi_info,authors,key words,title,abstract
2024 Jun 13,Bone,Bone. 2024 Jun 13;186:117167. doi: 10.1016/j.bone.2024.117167.,"['Sung, Hsiao H', 'Kwon, Hanna H', 'Stephan, Chris', 'Reynolds, Skylar M', 'Dai, Zongrui', 'Van der Kraan, Peter M', 'Caird, Michelle S', 'Blaney Davidson, Esmeralda N', 'Kozloff, Kenneth M']","['alveolar bone', 'maxilla', 'osteogenesis imperfecta', 'sclerostin', 'tibia']",Sclerostin antibody enhances implant osseointegration in bone with Col1a1 mutation.,"We evaluated the potential of sclerostin antibody (SclAb) therapy to enhance osseointegration of dental and orthopaedic implants in a mouse model (Brtl/+) mimicking moderate to severe Osteogenesis Imperfecta (OI). To address the challenges in achieving stable implant integration in compromised bone conditions, our aim was to determine the effectiveness of sclerostin antibody (SclAb) at improving bone-to-implant contact and implant fixation strength. Utilizing a combination of micro-computed tomography, mechanical push-in testing, immunohistochemistry, and Western blot analysis, we observed that SclAb treatment significantly enhances bone volume fraction (BV/TV) and bone-implant contact (BIC) in Brtl/+ mice, suggesting a normalization of bone structure toward WT levels. Despite variations in implant survival rates between the maxilla and tibia, SclAb treatment consistently improved implant stability and resistance to mechanical forces, highlighting its potential to overcome the inherent challenges of OI in dental and orthopaedic implant integration. These results suggest that SclAb could be a valuable therapeutic approach for enhancing implant success in compromised bone conditions."
2024 May 14,Journal of periodontology,J Periodontol. 2024 May 14. doi: 10.1002/JPER.23-0370.,"['Rodriguez, Amanda B', 'Kripfgans, Oliver D', 'Kozloff, Kenneth M', 'Samal, Ankita', 'Woo, Jae-Man', 'Shehabeldin, Mostafa', 'Chan, Hsun-Liang']","['alveolar ridge preservation', 'bone mineral density', 'bone regeneration', 'jaw, edentulous', 'ultrasonography', 'wound healing']",Ultrasound-based jawbone surface quality evaluation after alveolar ridge preservation.,"BACKGROUND: Bone readiness for implant placement is typically evaluated by bone quality/density on 2-dimensional radiographs and cone beam computed tomography at an arbitrary time between 3 and 6 months after tooth extraction and alveolar ridge preservation (ARP). The aim of this study is to investigate if high-frequency ultrasound (US) can classify bone readiness in humans, using micro-CT as a reference standard to obtain bone mineral density (BMD) and bone volume fraction (BVTV) of healed sockets receiving ARP in humans. METHODS: A total of 27 bone cores were harvested during the implant surgery from 24 patients who received prior extraction with ARP. US images were taken immediately before the implant surgery at a site co-registered with the tissue biopsy collection location, made possible with a specially designed guide, and then classified into 3 tiers using B-mode image criteria (1) favorable, (2) questionable, and (3) unfavorable. Bone mineral density (hydroxyapatite) and BVTV were obtained from micro-CT as the gold standard. RESULTS: Hydroxyapatite and BVTV were evaluated within the projected US slice plane and thresholded to favorable (>2200 mg/cm(3); >0.45 mm(3)/mm(3)), questionable (1500-2200 mg/cm(3); 0.4-0.45 mm(3)/mm(3)), and unfavorable (<1500 mg/cm(3); <0.4 mm(3)/mm(3)). The present US B-mode classification inversely scales with BMD. Regression analysis showed a significant relation between US classification and BMD as well as BVTV. T-test analysis demonstrated a significant correlation between US reader scores and the gold standard. When comparing Tier 1 with the combination of Tier 2 and 3, US achieved a significant group differentiation relative to mean BMD (p = 0.004, true positive 66.7%, false positive 0%, true negative 100%, false negative 33.3%, specificity 100%, sensitivity 66.7%, receiver operating characteristics area under the curve 0.86). Similar results were found between US-derived tiers and BVTV. CONCLUSION: Preliminary data suggest US could classify jawbone surface quality that correlates with BMD/BVTV and serve as the basis for future development of US-based socket healing evaluation after ARP."
2024 Jan,JBMR plus,JBMR Plus. 2024 Jan 4;8(1):ziad004. doi: 10.1093/jbmrpl/ziad004. eCollection 2024 ,"['Sung, Hsiao H', 'Spresser, Wyatt J', 'Hoffmann, Joseph P', 'Dai, Zongrui', 'Van der Kraan, Peter M', 'Caird, Michelle S', 'Davidson, Esmeralda Blaney', 'Kozloff, Kenneth M']","['alveolar bone', 'mandible', 'maxilla', 'micro-ct imaging', 'osteogenesis imperfecta', 'teeth']",Collagen mutation and age contribute to differential craniofacial phenotypes in mouse models of osteogenesis imperfecta.,"Craniofacial and dentoalveolar abnormalities are present in all types of osteogenesis imperfecta (OI). Mouse models of the disorder are critical to understand these abnormalities and underlying OI pathogenesis. Previous studies on severely affected OI mice report a broad spectrum of craniofacial phenotypes, exhibiting some similarities to the human disorder. The Brtl/+ and G610c/+ are moderately severe and mild-type IV OI, respectively. Little is known about the aging effects on the craniofacial bones of these models and their homology to human OI. This study aimed to analyze the Brtl/+ and G610c/+ craniofacial morphometries during aging to establish suitability for further OI craniofacial bone intervention studies. We performed morphological measurements on the micro-CT-scanned heads of 3-wk-old, 3-mo-old, and 6-mo-old female Brtl/+ and G610c/+ mice. We observed that Brtl/+ skulls are shorter in length than WT (P < .05), whereas G610c/+ skulls are similar in length to their WT counterparts. The Brtl/+ mice exhibit alveolar bone with a porotic-like appearance that is not observed in G610c/+. As they age, Brtl/+ mice show severe bone resorption in both the maxilla and mandible (P < .05). By contrast, G610c/+ mice experience mandibular resorption consistently across all ages, but maxillary resorption is only evident at 6 mo (P < .05). Western blot shows high osteoclastic activities in the Brtl/+ maxilla. Both models exhibit delayed pre-functional eruptions of the third molars (P < .05), which are similar to those observed in some bisphosphonate-treated OI subjects. Our study shows that the Brtl/+ and G610c/+ mice display clear features found in type IV OI patients; both show age-related changes in the craniofacial growth phenotype. Therefore, understanding the craniofacial features of these models and how they age will allow us to select the most accurate mouse model, mouse age, and bone structure for the specific craniofacial bone treatment of differing OI groups."
2024 Feb,Bone,Bone. 2024 Feb;179:116983. doi: 10.1016/j.bone.2023.116983. Epub 2023 Nov 25.,"['Zweifler, Laura E', 'Sinder, Benjamin P', 'Stephan, Chris', 'Koh, Amy J', 'Do, Justin', 'Ulrich, Emily', 'Grewal, Jobanpreet', 'Woo, Cecilia', 'Batoon, Lena', 'Kozloff, Kenneth', 'Roca, Hernan', 'Mishina, Yuji', 'McCauley, Laurie K']","['humans', 'male', 'mice', 'animals', 'infant', ' parathyroid hormone pharmacology therapeutic use', 'trabectedin pharmacology', ' fractures, stress drug therapy pathology', 'x-ray microtomography methods', 'mice, inbred c57bl', 'bony callus pathology', 'fracture healing', 'macrophages', 'bone healing', 'macrophage', 'parathyroid hormone (pth)', 'stress fracture', 'trabectedin']",Parathyroid hormone and trabectedin have differing effects on macrophages and stress fracture repair.,"Stress fractures occur as a result of repeated mechanical stress on bone and are commonly found in the load-bearing lower extremities. Macrophages are key players in the immune system and play an important role in bone remodeling and fracture healing. However, the role of macrophages in stress fractures has not been adequately addressed. We hypothesize that macrophage infiltration into a stress fracture callus site promotes bone healing. To test this, a unilateral stress fracture induction model was employed in which the murine ulna of four-month-old, C57BL/6 J male mice was repeatedly loaded with a pre-determined force until the bone was displaced a distance below the threshold for complete fracture. Mice were treated daily with parathyroid hormone (PTH, 50 μg/kg/day) starting two days before injury and continued until 24 h before euthanasia either four or six days after injury, or treated with trabectedin (0.15 mg/kg) on the day of stress fracture and euthanized three or seven days after injury. These treatments were used due to their established effects on macrophages. While macrophages have been implicated in the anabolic effects of PTH, trabectedin, an FDA approved chemotherapeutic, compromises macrophage function and reduces bone mass. At three- and four-days post injury, callus macrophage numbers were analyzed histologically. There was a significant increase in macrophages with PTH treatment compared to vehicle in the callus site. By one week of healing, treatments differentially affected the bony callus as analyzed by microcomputed tomography. PTH enhanced callus bone volume. Conversely, callus bone volume was decreased with trabectedin treatment. Interestingly, concurrent treatment with PTH and trabectedin rescued the reduction observed in the callus with trabectedin treatment alone. This study reports on the key involvement of macrophages during stress fracture healing. Given these observed outcomes on macrophage physiology and bone healing, these findings may be important for patients actively receiving either of these FDA-approved therapeutics."
2024 Mar,Journal of orthopaedic research : official publication of the Orthopaedic ,J Orthop Res. 2024 Mar;42(3):647-660. doi: 10.1002/jor.25702. Epub 2023 Oct 17.,"['Xu, Zhanpeng', 'Locke, Conor S', 'Morris, Richard', 'Jamison, DeAndre', 'Kozloff, Kenneth M', 'Wang, Xueding']","['humans', 'bone density', ' calcaneus diagnostic imaging', 'stereolithography', ' osteoporosis', 'ultrasonography', 'tomography', 'bone', 'osteoporosis', 'phantom', 'photoacoustic', 'ultrasound']",Development of a semi-anthropomorphic photoacoustic calcaneus phantom based on nano computed tomography and stereolithography 3D printing.,"Osteoporosis is a major public health threat with significant physical, psychosocial, and financial consequences. The calcaneus bone has been used as a measurement site for risk prediction of osteoporosis by noninvasive quantitative ultrasound (QUS). By adding optical contrast to QUS, our previous studies indicate that a combination of photoacoustic (PA) and QUS, that is, PAQUS, provides a novel opportunity to assess the health of human calcaneus. Calibration of the PAQUS system is crucial to realize quantitative and repeatable measurements of the calcaneus. Therefore, a phantom which simulates the optical, ultrasound, and architectural properties of the human calcaneus, for PAQUS system calibration, is required. Additionally, a controllable phantom offers researchers a versatile framework for developing versatile structures, allowing more controlled assessment of how varying bone structures cause defined alterations in PA and QUS signals. In this work, we present the first semi-anthropomorphic calcaneus phantom for PAQUS. The phantom was developed based on nano computed-tomography (nano-CT) and stereolithography 3D printing, aiming to maximize accuracy in the approximation of both trabecular and cortical bone microstructures. Compared with the original digital input calcaneus model from a human cadaveric donor, the printed model achieved accuracies of 71.15% in total structure and 87.21% in bone volume fraction. Inorganic materials including synthetic blood, mineral oil, intralipid, and agar gel were used to model the substitutes of bone marrow and soft tissue, filling and covering the calcaneus phantom. The ultrasound and optical properties of this phantom were measured, and the results were consistent with those measured by a commercialized device and from previous in vivo studies. In addition, a short-term stability test was conducted for this phantom, demonstrating that the optical and ultrasound properties of the phantom were stable without significant variation over 1 month. This semi-anthropomorphic calcaneus phantom shows structural, ultrasound, and optical properties similar to those from a human calcaneus in vivo and, thereby, can serve as an effective source for equipment calibration and the comprehensive study of human patients."
2023 Sep,Aging cell,Aging Cell. 2023 Sep;22(9):e13903. doi: 10.1111/acel.13903. Epub 2023 Jun 26.,"['Cabral, Wayne A', 'Stephan, Chris', 'Terajima, Masahiko', 'Thaivalappil, Abhirami A', 'Blanchard, Owen', 'Tavarez, Urraca L', 'Narisu, Narisu', 'Yan, Tingfen', 'Wincovitch, Stephen M', 'Taga, Yuki', 'Yamauchi, Mitsuo', 'Kozloff, Kenneth M', 'Erdos, Michael R', 'Collins, Francis S']","['mice', 'animals', ' progeria genetics metabolism', ' aging, premature', 'mutation', 'lamin type a genetics metabolism', 'cell differentiation', ' bone diseases, developmental', 'hutchinson-gilford progeria syndrome', 'bone dysplasia', 'lamin a c', 'osteoblasts', 'osteoclasts']",Bone dysplasia in Hutchinson-Gilford progeria syndrome is associated with dysregulated differentiation and function of bone cell populations.,"Hutchinson-Gilford progeria syndrome (HGPS) is a premature aging disorder affecting tissues of mesenchymal origin. Most individuals with HGPS harbor a de novo c.1824C > T (p.G608G) mutation in the gene encoding lamin A (LMNA), which activates a cryptic splice donor site resulting in production of the toxic ""progerin"" protein. Clinical manifestations include growth deficiency, lipodystrophy, sclerotic dermis, cardiovascular defects, and bone dysplasia. Here we utilized the Lmna(G609G) knock-in (KI) mouse model of HGPS to further define mechanisms of bone loss associated with normal and premature aging disorders. Newborn skeletal staining of KI mice revealed altered rib cage shape and spinal curvature, and delayed calvarial mineralization with increased craniofacial and mandibular cartilage content. MicroCT analysis and mechanical testing of adult femurs indicated increased fragility associated with reduced bone mass, recapitulating the progressive bone deterioration that occurs in HGPS patients. We investigated mechanisms of bone loss in KI mice at the cellular level in bone cell populations. Formation of wild-type and KI osteoclasts from marrow-derived precursors was inhibited by KI osteoblast-conditioned media in vitro, suggesting a secreted factor(s) responsible for decreased osteoclasts on KI trabecular surfaces in vivo. Cultured KI osteoblasts exhibited abnormal differentiation characterized by reduced deposition and mineralization of extracellular matrix with increased lipid accumulation compared to wild-type, providing a mechanism for altered bone formation. Furthermore, quantitative analyses of KI transcripts confirmed upregulation of adipogenic genes both in vitro and in vivo. Thus, osteoblast phenotypic plasticity, inflammation and altered cellular cross-talk contribute to abnormal bone formation in HGPS mice."
2023 Jan 17,International journal of molecular sciences,Int J Mol Sci. 2023 Jan 17;24(3):1809. doi: 10.3390/ijms24031809.,"['Oranger, Angela', 'Zerlotin, Roberta', 'Buccoliero, Cinzia', 'Sanesi, Lorenzo', 'Storlino, Giuseppina', 'Schipani, Ernestina', 'Kozloff, Kenneth Michael', 'Mori, Giorgio', 'Colaianni, Graziana', 'Colucci, Silvia', 'Grano, Maria']","['animals', 'male', 'mice', 'fibronectins genetics', ' fracture healing', 'mice, inbred c57bl', 'osteogenesis', ' tibial fractures drug therapy', 'vascular endothelial growth factor a genetics', 'bmp2', 'mip-1α', 'mmp-13', 'tnfα', 'vegf', 'fracture', 'irisin']","Irisin Modulates Inflammatory, Angiogenic, and Osteogenic Factors during Fracture Healing.","Bone fractures are a widespread clinical event due to accidental falls and trauma or bone fragility; they also occur in association with various diseases and are common with aging. In the search for new therapeutic strategies, a crucial link between irisin and bone fractures has recently emerged. To explore this issue, we subjected 8-week-old C57BL/6 male mice to tibial fracture, and then we treated them with intra-peritoneal injection of r-Irisin (100 µg/kg/weekly) or vehicle as control. At day 10 post fracture, histological analysis showed a significant reduced expression of inflammatory cytokines as tumor necrosis factor-alpha (TNFα) (p = 0.004) and macrophage inflammatory protein-alpha (MIP-1α) (p = 0.015) in the cartilaginous callus of irisin-treated mice compared to controls, supporting irisin's anti-inflammatory role. We also found increased expressions of the pro-angiogenic molecule vascular endothelial growth factor (VEGF) (p = 0.002) and the metalloproteinase MMP-13 (p = 0.0006) in the irisin-treated mice compared to the vehicle ones, suggesting a myokine involvement in angiogenesis and cartilage matrix degradation processes. Moreover, the bone morphogenetic protein (BMP2) expression was also upregulated (p = 0.002). Taken together, our findings suggest that irisin can contribute to fracture repair by reducing inflammation and promoting vessel invasion, matrix degradation, and bone formation, supporting its possible role as a novel molecule for fracture treatment."
2022 Sep,Journal of structural biology,J Struct Biol. 2022 Sep;214(3):107878. doi: 10.1016/j.jsb.2022.107878. Epub 2022 ,"['Ahn, Taeyong', 'Jueckstock, Max', 'Mandair, Gurjit S', 'Henderson, James', 'Sinder, Benjamin P', 'Kozloff, Kenneth M', 'Banaszak Holl, Mark M']","[' bone and bones', 'microscopy, atomic force methods', 'minerals', 'spectrophotometry, infrared methods', 'spectroscopy, fourier transform infrared methods', ' spectrum analysis, raman methods', 'afm-ir', 'bone', 'matrix mineral ratio', 'mineralization domain size', 'mineralized collagen fibril', 'nanoscale chemical heterogeneity', 'o-ptir']",Matrix/mineral ratio and domain size variation with bone tissue age: A photothermal infrared study.,"Atomic force microscopy-infrared spectroscopy (AFM-IR) and optical photothermal infrared spectroscopy (O-PTIR), which feature spectroscopic imaging spatial resolution down to ∼ 50 nm and ∼ 500 nm, respectively, were employed to characterize the nano- to microscale chemical compositional changes in bone. Since these changes are known to be age dependent, fluorescently labelled bone samples were employed. The average matrix/mineral ratio values decrease as the bone tissue matures as measured by both AFM-IR and O-PTIR, which agrees with previously published FTIR and Raman spectroscopy results. IR ratio maps obtained by AFM-IR reveal variation in matrix/mineral ratio-generating micron-scale bands running parallel to the bone surface as well as smaller domains within these bands ranging from ∼ 50 to 700 nm in size, which is consistent with the previously published length scale of nanomechanical heterogeneity. The matrix/mineral changes do not exhibit a smooth gradient with tissue age. Rather, the matrix/mineral transition occurs sharply within the length scale of 100-200 nm. O-PTIR also reveals matrix/mineral band domains running parallel to the bone surface, resulting in waves of matrix/mineral ratios progressing from the youngest to most mature tissue. Both AFM-IR and O-PTIR show a greater variation in matrix/mineral ratio value for younger tissue as compared to older tissue. Together, this data confirms O-PTIR and AFM-IR as techniques that visualize bulk spectroscopic data consistent with higher-order imaging techniques such as Raman and FTIR, while revealing novel insight into how mineralization patterns vary as bone tissue ages."
2022 Dec,International urogynecology journal,Int Urogynecol J. 2022 Dec;33(12):3543-3553. doi: 10.1007/s00192-022-05125-5. ,"['Xu, Jiajie Jessica', 'Zimmerman, Lauren L', 'Soriano, Vanessa H', 'Mentzelopoulos, Georgios', 'Kennedy, Eric', 'Bottorff, Elizabeth C', 'Stephan, Chris', 'Kozloff, Kenneth', 'Devlin, Maureen J', 'Bruns, Tim M']","['humans', 'rats', 'female', 'animals', ' bone density', 'rats, sprague-dawley', ' blood glucose', 'tibial nerve physiology', 'menopause', 'estrogens', 'body weight', 'estradiol', 'perfusion', 'ovariectomy adverse effects', 'bone mineral density', 'electrical stimulation', 'menopause', 'neuromodulation', 'tibial nerve', 'vaginal blood perfusion']",Tibial nerve stimulation increases vaginal blood perfusion and bone mineral density and yield load in ovariectomized rat menopause model.,"INTRODUCTION AND HYPOTHESIS: Human menopause transition and post-menopausal syndrome, driven by reduced ovarian activity and estrogen levels, are associated with an increased risk for symptoms including but not limited to sexual dysfunction, metabolic disease, and osteoporosis. Current treatments are limited in efficacy and may have adverse consequences, so investigation for additional treatment options is necessary. Previous studies have demonstrated that percutaneous tibial nerve stimulation (PTNS) and electro-acupuncture near the tibial nerve are minimally invasive treatments that increase vaginal blood perfusion or serum estrogen in the rat model. We hypothesized that PTNS would protect against harmful reproductive and systemic changes associated with menopause. METHODS: We examined the effects of twice-weekly PTNS (0.2 ms pulse width, 20 Hz, 2× motor threshold) under ketamine-xylazine anesthesia in ovariectomized (OVX) female Sprague-Dawley rats on menopause-associated physiological parameters including serum estradiol, body weight, blood glucose, bone health, and vaginal blood perfusion. Rats were split into three groups (n = 10 per group): (1) intact control (no stimulation), (2) OVX control (no stimulation), and (3) OVX stimulation (treatment group). RESULTS: PTNS did not affect serum estradiol levels, body weight, or blood glucose. PTNS transiently increased vaginal blood perfusion during stimulation for up to 5 weeks after OVX and increased areal bone mineral density and yield load of the right femur (side of stimulation) compared to the unstimulated OVX control. CONCLUSIONS: PTNS may ameliorate some symptoms associated with menopause. Additional studies to elucidate the full potential of PTNS on menopause-associated symptoms under different experimental conditions are warranted."
2022 Feb 1,Journal of strength and conditioning research,J Strength Cond Res. 2022 Feb 1;36(2):420-426. doi: 10.1519/JSC.0000000000004174.,"['Mamon, Mark A Jr', 'Olthof, Sigrid B H', 'Burns, Geoffrey T', 'Lepley, Adam S', 'Kozloff, Kenneth M', 'Zernicke, Ronald F']","['athletes', ' athletic performance', ' football', 'geographic information systems', 'humans', ' running', 'workload']",Position-Specific Physical Workload Intensities in American Collegiate Football Training.,"MamonJr, MA, Olthof, SBH, Burns, GT, Lepley, AS, Kozloff, KM, and Zernicke, RF. Position-specific physical workload intensities in American collegiate football training. J Strength Cond Res 36(2): 420-426, 2022-Quantifying player training loads allows football coaching staff to make informed adjustments to the volume and intensity of training. Physical workload intensity in American football practices have not been extensively quantified. The current study examined physical workload intensities across positions in American collegiate football during training. Data from player tracking technology (Catapult Vector) were collected from 72 American football players (National Collegiate Athletic Association Division I) during in-season practices. Players were involved in individualized skill (indy), team playbook (team), and special team (ST) drills during practice and analyzed for their specialist offensive or defensive role (e.g., linebacker or wide receiver). Player running (i.e., high-speed running and sprint) and accelerations (i.e., high-intensity PlayerLoad and high-intensity inertial movement analysis) per minute were of interest. Drill type and practice day had significant effects on all workload intensity metrics (p < 0.01), but not position. Greater running intensities were seen in ST drills compared with other drill types. Tuesday practice sessions had greater overall intensities compared with other days. Interaction effect of position and drill type was significant (p < 0.001) for all intensity metrics, indicating that position groups exhibited unique workload responses to the drill types. Drill type and practice day interaction effect was significant for all intensity metrics (p < 0.01). The findings may be informative for coaches to tailor physical workloads of practice drills for positional roles in preparation for games and practices. Player tracking technology can add value for strength and conditioning coaches to adjust training programs based on position-specific on-field demands of players."
