time,journal,doi_info,authors,key words,title,abstract
2024 Aug,Magnetic resonance in medicine,Magn Reson Med. 2024 Aug;92(2):881. doi: 10.1002/mrm.30099. Epub 2024 Apr 24.,"['Qin, Qin', 'Alsop, David C', 'Bolar, Divya S', 'Hernandez-Garcia, Luis', 'Meakin, James', 'Liu, Dapeng', 'Nayak, Krishna S', 'Schmid, Sophie', 'van Osch, Matthias J P', 'Wong, Eric C', 'Woods, Joseph G', 'Zaharchuk, Greg', 'Zhao, Moss Y', 'Zun, Zungho', 'Guo, Jia']",[],Erratum to: Velocity-selective arterial spin labeling perfusion MRI: A review of the state of the art and recommendations for clinical implementation (Magn Reson Med. 2022; 88:1528-1547).,
2024 Aug,Magnetic resonance in medicine,Magn Reson Med. 2024 Aug;92(2):469-495. doi: 10.1002/mrm.30091. Epub 2024 Apr 9.,"['Woods, Joseph G', 'Achten, Eric', 'Asllani, Iris', 'Bolar, Divya S', 'Dai, Weiying', 'Detre, John A', 'Fan, Audrey P', 'Fernández-Seara, María A', 'Golay, Xavier', 'Günther, Matthias', 'Guo, Jia', 'Hernandez-Garcia, Luis', 'Ho, Mai-Lan', 'Juttukonda, Meher R', 'Lu, Hanzhang', 'MacIntosh, Bradley J', 'Madhuranthakam, Ananth J', 'Mutsaerts, Henk-Jan', 'Okell, Thomas W', 'Parkes, Laura M', 'Pinter, Nandor', 'Pinto, Joana', 'Qin, Qin', 'Smits, Marion', 'Suzuki, Yuriko', 'Thomas, David L', 'Van Osch, Matthias J P', 'Wang, Danny J J', 'Warnert, Esther A H', 'Zaharchuk, Greg', 'Zelaya, Fernando', 'Zhao, Moss', 'Chappell, Michael A']","['humans', ' brain diagnostic imaging blood supply', ' cerebrovascular circulation physiology', 'image processing, computer-assisted methods', 'magnetic resonance angiography methods', 'magnetic resonance imaging methods', ' spin labels', 'perfusion imaging', 'arterial spin labeling', 'arterial transit time', 'cerebral blood flow', 'multi‐timepoint', 'perfusion']","Recommendations for quantitative cerebral perfusion MRI using multi-timepoint arterial spin labeling: Acquisition, quantification, and clinical applications.","Accurate assessment of cerebral perfusion is vital for understanding the hemodynamic processes involved in various neurological disorders and guiding clinical decision-making. This guidelines article provides a comprehensive overview of quantitative perfusion imaging of the brain using multi-timepoint arterial spin labeling (ASL), along with recommendations for its acquisition and quantification. A major benefit of acquiring ASL data with multiple label durations and/or post-labeling delays (PLDs) is being able to account for the effect of variable arterial transit time (ATT) on quantitative perfusion values and additionally visualize the spatial pattern of ATT itself, providing valuable clinical insights. Although multi-timepoint data can be acquired in the same scan time as single-PLD data with comparable perfusion measurement precision, its acquisition and postprocessing presents challenges beyond single-PLD ASL, impeding widespread adoption. Building upon the 2015 ASL consensus article, this work highlights the protocol distinctions specific to multi-timepoint ASL and provides robust recommendations for acquiring high-quality data. Additionally, we propose an extended quantification model based on the 2015 consensus model and discuss relevant postprocessing options to enhance the analysis of multi-timepoint ASL data. Furthermore, we review the potential clinical applications where multi-timepoint ASL is expected to offer significant benefits. This article is part of a series published by the International Society for Magnetic Resonance in Medicine (ISMRM) Perfusion Study Group, aiming to guide and inspire the advancement and utilization of ASL beyond the scope of the 2015 consensus article."
2024 Feb,Biological psychiatry. Cognitive neuroscience and neuroimaging,Biol Psychiatry Cogn Neurosci Neuroimaging. 2024 Feb;9(2):235-244. doi: ,"['Taylor, Stephan F', 'Gu, Pan', 'Simmonite, Molly', 'Lasagna, Carly', 'Tso, Ivy F', 'Lee, Taraz G', 'Vesia, Michael', 'Hernandez-Garcia, Luis']","['humans', 'female', 'male', ' transcranial magnetic stimulation methods', ' prefrontal cortex physiology', 'cerebral cortex', 'magnetic resonance imaging', 'memory, short-term physiology', 'cognitive control', 'depression', 'dorsolateral prefrontal cortex', 'functional magnetic resonance imaging', 'n-back']",Lateral Prefrontal Stimulation of Active Cortex With Theta Burst Transcranial Magnetic Stimulation Affects Subsequent Engagement of the Frontoparietal Network.,"BACKGROUND: A critical unanswered question about therapeutic transcranial magnetic stimulation is what patients should do during treatment to optimize its effectiveness. Here, we address this lack of knowledge in healthy participants, testing the hypotheses that stimulating the left dorsolateral prefrontal cortex (dlPFC) while participants perform a working memory task will provide stronger effects on subsequent activation, perfusion, connectivity, and performance than stimulating resting dlPFC. METHODS: After a baseline functional magnetic resonance imaging session to localize dlPFC activation and the associated frontoparietal network (FPN) engaged by an n-back task, healthy participants (N = 40, 67.5% female) underwent 3 counterbalanced sessions, separated by several weeks, during which they received intermittent theta burst stimulation (iTBS) followed by magnetic resonance imaging scans as follows: 1) iTBS to the dlPFC while resting passively (passive), 2) iTBS to the dlPFC while performing the n-back task (active), and 3) iTBS to a vertex site, while not engaged in the n-back task and resting passively (control). RESULTS: We found no difference in n-back performance between the 3 conditions. However, FPN activation was reduced while performing the n-back task in the active condition relative to the passive and control conditions. There was no differential activity in the FPN on comparing passive with control conditions, i.e., there was no effect of the site of stimulation. We found no effects of state or site of stimulation on perfusion or connectivity with the dlPFC. CONCLUSIONS: In this study, the state of the brain while receiving iTBS affected FPN activation, possibly reflecting greater efficiency of FPN network activation when participants were stimulated while engaging the FPN."
2023 Feb 1,Quantitative imaging in medicine and surgery,Quant Imaging Med Surg. 2023 Feb 1;13(2):1126-1137. doi: 10.21037/qims-22-565. ,"['Schollenberger, Jonas', 'Braet, Drew J', 'Hernandez-Garcia, Luis', 'Osborne, Nicholas H', 'Figueroa, C Alberto']","['computational fluid dynamics (cfd)', 'carotid artery stenosis (cas)', 'cerebral hemodynamics', 'collateral flow', 'magnetic resonance imaging (mri)']",A magnetic resonance imaging-based computational analysis of cerebral hemodynamics in patients with carotid artery stenosis.,"Management of asymptomatic carotid artery stenosis (CAS) relies on measuring the percentage of stenosis. The aim of this study was to investigate the impact of CAS on cerebral hemodynamics using magnetic resonance imaging (MRI)-informed computational fluid dynamics (CFD) and to provide novel hemodynamic metrics that may improve the understanding of stroke risk. CFD analysis was performed in two patients with similar degrees of asymptomatic high-grade CAS. Three-dimensional anatomical-based computational models of cervical and cerebral blood flow were constructed and calibrated patient-specifically using phase-contrast MRI flow and arterial spin labeling perfusion data. Differences in cerebral hemodynamics were assessed in preoperative and postoperative models. Preoperatively, patient 1 demonstrated large flow and pressure reductions in the stenosed internal carotid artery, while patient 2 demonstrated only minor reductions. Patient 1 exhibited a large amount of flow compensation between hemispheres (80.31%), whereas patient 2 exhibited only a small amount of collateral flow (20.05%). There were significant differences in the mean pressure gradient over the stenosis between patients preoperatively (26.3 vs. 1.8 mmHg). Carotid endarterectomy resulted in only minor hemodynamic changes in patient 2. MRI-informed CFD analysis of two patients with similar clinical classifications of stenosis revealed significant differences in hemodynamics which were not apparent from anatomical assessment alone. Moreover, revascularization of CAS might not always result in hemodynamic improvements. Further studies are needed to investigate the clinical impact of hemodynamic differences and how they pertain to stroke risk and clinical management."
2023 Jun,Magnetic resonance in medicine,Magn Reson Med. 2023 Jun;89(6):2305-2317. doi: 10.1002/mrm.29603. Epub 2023 Feb ,"['Lee, Seongtaek', 'Meyer, Briana P', 'Hernandez-Garcia, Luis', 'Kurpad, Shekar N', 'Schmit, Brian D', 'Budde, Matthew D']","['rats', 'animals', ' magnetic resonance angiography methods', 'spin labels', 'blood flow velocity physiology', ' magnetic resonance imaging', 'arteries', 'cerebrovascular circulation physiology', 'brain blood supply', 'arterial spin labeling', 'multimodal mri', 'pseudo-continuous arterial spin labeling', 'rat model', 'spinal cord injury', 'velocity-selective arterial spin labeling']",Comparison and optimization of pCASL and VSASL for rat thoracolumbar spinal cord MRI at 9.4 T.,"PURPOSE: To evaluate pseudo-continuous arterial spin labeling (pCASL) and velocity-selective arterial spin labeling (VSASL) for quantification of spinal cord blood flow (SCBF) in the rat thoracolumbar spinal cord. METHODS: Labeling efficiency (LE) was compared between pCASL and three VSASL variants in simulations and both phantom and in vivo experiments at 9.4 T. For pCASL, the effects of label plane position and shimming were systematically evaluated. For VSASL, the effects of composite pulses and phase cycling were evaluated to reduce artifacts. Additionally, vessel suppression, respiratory, and cardiac gating were evaluated to reduce motion artifacts. pCASL and VSASL maps of spinal cord blood flow were acquired with the optimized protocols. RESULTS: LE of the descending aorta was larger in pCASL compared to VSASL variants. In pCASL, LE off-isocenter was improved by local shimming positioned at the label plane and the anatomical level of labeling for the thoracic cord was only viable at the level of the T10 vertebra. Cardiac gating was essential to reduce motion artifacts. Both pCASL and VSASL successfully demonstrated comparable SCBF values in the thoracolumbar cord. CONCLUSION: pCASL demonstrated high and consistent LE in the thoracic aorta, and VSASL was also feasible, but with reduced efficiency. A combination of cardiac gating and recording of actual post-label delays was important for accurate SCBF quantification. These results highlight the challenges and solutions to achieve sufficient ASL labeling and contrast at high field in organs prone to motion."
2023 Mar,Magnetic resonance in medicine,Magn Reson Med. 2023 Mar;89(3):1278-1279. doi: 10.1002/mrm.29504. Epub 2022 Nov ,"['Qin, Qin', 'Alsop, David C', 'Bolar, Divya S', 'Hernandez-Garcia, Luis', 'Meakin, James', 'Liu, Dapeng', 'Nayak, Krishna S', 'Schmid, Sophie', 'van Osch, Matthias J P', 'Wong, Eric C', 'Woods, Joseph G', 'Zaharchuk, Greg', 'Zhao, Moss Y', 'Zun, Zungho', 'Guo, Jia']",[],Erratum to: Velocity-selective arterial spin labeling perfusion MRI: A review of the state of the art and recommendations for clinical implementation (Magn Reson Med. 2022; 88:1528-1547).,
2022 Sep 6,Scientific data,Sci Data. 2022 Sep 6;9(1):543. doi: 10.1038/s41597-022-01615-9.,"['Clement, Patricia', 'Castellaro, Marco', 'Okell, Thomas W', 'Thomas, David L', 'Vandemaele, Pieter', 'Elgayar, Sara', 'Oliver-Taylor, Aaron', 'Kirk, Thomas', 'Woods, Joseph G', 'Vos, Sjoerd B', 'Kuijer, Joost P A', 'Achten, Eric', 'van Osch, Matthias J P', 'Detre, John A', 'Lu, Hanzhang', 'Alsop, David C', 'Chappell, Michael A', 'Hernandez-Garcia, Luis', 'Petr, Jan', 'Mutsaerts, Henk J M M']","['humans', ' brain diagnostic imaging', ' magnetic resonance imaging standards', ' neuroimaging methods', 'reproducibility of results', 'spin labels']","ASL-BIDS, the brain imaging data structure extension for arterial spin labeling.","Arterial spin labeling (ASL) is a non-invasive MRI technique that allows for quantitative measurement of cerebral perfusion. Incomplete or inaccurate reporting of acquisition parameters complicates quantification, analysis, and sharing of ASL data, particularly for studies across multiple sites, platforms, and ASL methods. There is a strong need for standardization of ASL data storage, including acquisition metadata. Recently, ASL-BIDS, the BIDS extension for ASL, was developed and released in BIDS 1.5.0. This manuscript provides an overview of the development and design choices of this first ASL-BIDS extension, which is mainly aimed at clinical ASL applications. Discussed are the structure of the ASL data, focussing on storage order of the ASL time series and implementation of calibration approaches, unit scaling, ASL-related BIDS fields, and storage of the labeling plane information. Additionally, an overview of ASL-BIDS compatible conversion and ASL analysis software and ASL example datasets in BIDS format is provided. We anticipate that large-scale adoption of ASL-BIDS will improve the reproducibility of ASL research."
2022 Nov,Magnetic resonance in medicine,Magn Reson Med. 2022 Nov;88(5):2021-2042. doi: 10.1002/mrm.29381. Epub 2022 Aug ,"['Hernandez-Garcia, Luis', 'Aramendía-Vidaurreta, Verónica', 'Bolar, Divya S', 'Dai, Weiying', 'Fernández-Seara, Maria A', 'Guo, Jia', 'Madhuranthakam, Ananth J', 'Mutsaerts, Henk', 'Petr, Jan', 'Qin, Qin', 'Schollenberger, Jonas', 'Suzuki, Yuriko', 'Taso, Manuel', 'Thomas, David L', 'van Osch, Matthias J P', 'Woods, Joseph', 'Zhao, Moss Y', 'Yan, Lirong', 'Wang, Ze', 'Zhao, Li', 'Okell, Thomas W']","[' brain', 'cerebrovascular circulation', 'image processing, computer-assisted methods', 'magnetic resonance angiography methods', ' magnetic resonance imaging methods', 'spin labels', 'cbf', 'mr imaging', 'arterial spin labeling', 'perfusion', 'technical advances', 'vascular imaging']",Recent Technical Developments in ASL: A Review of the State of the Art.,"This review article provides an overview of a range of recent technical developments in advanced arterial spin labeling (ASL) methods that have been developed or adopted by the community since the publication of a previous ASL consensus paper by Alsop et al. It is part of a series of review/recommendation papers from the International Society for Magnetic Resonance in Medicine Perfusion Study Group. Here, we focus on advancements in readouts and trajectories, image reconstruction, noise reduction, partial volume correction, quantification of nonperfusion parameters, fMRI, fingerprinting, vessel selective ASL, angiography, deep learning, and ultrahigh field ASL. We aim to provide a high level of understanding of these new approaches and some guidance for their implementation, with the goal of facilitating the adoption of such advances by research groups and by MRI vendors. Topics outside the scope of this article that are reviewed at length in separate articles include velocity selective ASL, multiple-timepoint ASL, body ASL, and clinical ASL recommendations."
2022 Oct,Magnetic resonance in medicine,Magn Reson Med. 2022 Oct;88(4):1528-1547. doi: 10.1002/mrm.29371. Epub 2022 Jul ,"['Qin, Qin', 'Alsop, David C', 'Bolar, Divya S', 'Hernandez-Garcia, Luis', 'Meakin, James', 'Liu, Dapeng', 'Nayak, Krishna S', 'Schmid, Sophie', 'van Osch, Matthias J P', 'Wong, Eric C', 'Woods, Joseph G', 'Zaharchuk, Greg', 'Zhao, Moss Y', 'Zun, Zungho', 'Guo, Jia']","[' cerebrovascular circulation', ' magnetic resonance angiography methods', 'magnetic resonance imaging', 'perfusion', 'spin labels', 'arterial spin labeling', 'arterial transit delay', 'cerebral blood flow', 'perfusion', 'velocity selective arterial spin labeling', 'velocity selectivity']",Velocity-selective arterial spin labeling perfusion MRI: A review of the state of the art and recommendations for clinical implementation.,"This review article provides an overview of the current status of velocity-selective arterial spin labeling (VSASL) perfusion MRI and is part of a wider effort arising from the International Society for Magnetic Resonance in Medicine (ISMRM) Perfusion Study Group. Since publication of the 2015 consensus paper on arterial spin labeling (ASL) for cerebral perfusion imaging, important advancements have been made in the field. The ASL community has, therefore, decided to provide an extended perspective on various aspects of technical development and application. Because VSASL has the potential to become a principal ASL method because of its unique advantages over traditional approaches, an in-depth discussion was warranted. VSASL labels blood based on its velocity and creates a magnetic bolus immediately proximal to the microvasculature within the imaging volume. VSASL is, therefore, insensitive to transit delay effects, in contrast to spatially selective pulsed and (pseudo-) continuous ASL approaches. Recent technical developments have improved the robustness and the labeling efficiency of VSASL, making it a potentially more favorable ASL approach in a wide range of applications where transit delay effects are of concern. In this review article, we (1) describe the concepts and theoretical basis of VSASL; (2) describe different variants of VSASL and their implementation; (3) provide recommended parameters and practices for clinical adoption; (4) describe challenges in developing and implementing VSASL; and (5) describe its current applications. As VSASL continues to undergo rapid development, the focus of this review is to summarize the fundamental concepts of VSASL, describe existing VSASL techniques and applications, and provide recommendations to help the clinical community adopt VSASL."
2022,Frontiers in radiology,Front Radiol. 2022 Jun 14;2:929533. doi: 10.3389/fradi.2022.929533. eCollection ,"['Clement, Patricia', 'Petr, Jan', 'Dijsselhof, Mathijs B J', 'Padrela, Beatriz', 'Pasternak, Maurice', 'Dolui, Sudipto', 'Jarutyte, Lina', 'Pinter, Nandor', 'Hernandez-Garcia, Luis', 'Jahn, Andrew', 'Kuijer, Joost P A', 'Barkhof, Frederik', 'Mutsaerts, Henk J M M', 'Keil, Vera C']","['mri', 'arterial spin labeling', 'cerebral blood flow', 'graphical user interface', 'image processing', 'perfusion', 'processing pipeline']",A Beginner's Guide to Arterial Spin Labeling (ASL) Image Processing.,"Arterial spin labeling (ASL) is a non-invasive and cost-effective MRI technique for brain perfusion measurements. While it has developed into a robust technique for scientific and clinical use, its image processing can still be daunting. The 2019 Ann Arbor ISMRM ASL working group established that education is one of the main areas that can accelerate the use of ASL in research and clinical practice. Specifically, the post-acquisition processing of ASL images and their preparation for region-of-interest or voxel-wise statistical analyses is a topic that has not yet received much educational attention. This educational review is aimed at those with an interest in ASL image processing and analysis. We provide summaries of all typical ASL processing steps on both single-subject and group levels. The readers are assumed to have a basic understanding of cerebral perfusion (patho) physiology; a basic level of programming or image analysis is not required. Starting with an introduction of the physiology and MRI technique behind ASL, and how they interact with the image processing, we present an overview of processing pipelines and explain the specific ASL processing steps. Example video and image illustrations of ASL studies of different cases, as well as model calculations, help the reader develop an understanding of which processing steps to check for their own analyses. Some of the educational content can be extrapolated to the processing of other MRI data. We anticipate that this educational review will help accelerate the application of ASL MRI for clinical brain research."
