time,journal,doi_info,authors,key words,title,abstract
2023 Jan 1,Biomedical optics express,Biomed Opt Express. 2022 Dec 20;14(1):367-384. doi: 10.1364/BOE.469419. ,"['Helton, Michael', 'Rajasekhar, Suraj', 'Zerafa, Samantha', 'Vishwanath, Karthik', 'Mycek, Mary-Ann']",[],Numerical approach to quantify depth-dependent blood flow changes in real-time using the diffusion equation with continuous-wave and time-domain diffuse correlation spectroscopy.,"Diffuse correlation spectroscopy (DCS) is a non-invasive optical technique that can measure brain perfusion by quantifying temporal intensity fluctuations of multiply scattered light. A primary limitation for accurate quantitation of cerebral blood flow (CBF) is the fact that experimental measurements contain information about both extracerebral scalp blood flow (SBF) as well as CBF. Separating CBF from SBF is typically achieved using multiple source-detector channels when using continuous-wave (CW) light sources, or more recently with use of time-domain (TD) techniques. Analysis methods that account for these partial volume effects are often employed to increase CBF contrast. However, a robust, real-time analysis procedure that can separate and quantify SBF and CBF with both traditional CW and TD-DCS measurements is still needed. Here, we validate a data analysis procedure based on the diffusion equation in layered media capable of quantifying both extra- and cerebral blood flow in the CW and TD. We find that the model can quantify SBF and CBF coefficients with less than 5% error compared to Monte Carlo simulations using a 3-layered brain model in both the CW and TD. The model can accurately fit data at a rate of <10 ms for CW data and <250 ms for TD data when using a least-squares optimizer."
2022 Nov 8,Scientific reports,Sci Rep. 2022 Nov 8;12(1):18979. doi: 10.1038/s41598-022-22649-4.,"['Helton, Michael', 'Zerafa, Samantha', 'Vishwanath, Karthik', 'Mycek, Mary-Ann']","['scattering, radiation', 'diffusion', ' photons', 'monte carlo method', ' optics and photonics']",Efficient computation of the steady-state and time-domain solutions of the photon diffusion equation in layered turbid media.,"Accurate and efficient forward models of photon migration in heterogeneous geometries are important for many applications of light in medicine because many biological tissues exhibit a layered structure of independent optical properties and thickness. However, closed form analytical solutions are not readily available for layered tissue-models, and often are modeled using computationally expensive numerical techniques or theoretical approximations that limit accuracy and real-time analysis. Here, we develop an open-source accurate, efficient, and stable numerical routine to solve the diffusion equation in the steady-state and time-domain for a layered cylinder tissue model with an arbitrary number of layers and specified thickness and optical coefficients. We show that the steady-state ([Formula: see text] ms) and time-domain ([Formula: see text] ms) fluence (for an 8-layer medium) can be calculated with absolute numerical errors approaching machine precision. The numerical implementation increased computation speed by 3 to 4 orders of magnitude compared to previously reported theoretical solutions in layered media. We verify our solutions asymptotically to homogeneous tissue geometries using closed form analytical solutions to assess convergence and numerical accuracy. Approximate solutions to compute the reflected intensity are presented which can decrease the computation time by an additional 2-3 orders of magnitude. We also compare our solutions for 2, 3, and 5 layered media to gold-standard Monte Carlo simulations in layered tissue models of high interest in biomedical optics (e.g. skin/fat/muscle and brain). The presented routine could enable more robust real-time data analysis tools in heterogeneous tissues that are important in many clinical applications such as functional brain imaging and diffuse optical spectroscopy."
2022 Mar 1,Biomedical optics express,Biomed Opt Express. 2022 Feb 22;13(3):1595-1608. doi: 10.1364/BOE.447685. ,"['Helton, Michael', 'Mycek, Mary-Ann', 'Vishwanath, Karthik']",[],Reconstruction of optical coefficients in turbid media using time-resolved reflectance and calibration-free instrument response functions.,"Measurements of time-resolved reflectance from a homogenous turbid medium can be employed to retrieve the absolute values of its optical transport coefficients. However, the uncertainty in the temporal shift of the experimentally determined instrument response function (IRF) with respect to the real system response can lead to errors in optical property reconstructions. Instrument noise and measurement of the IRF in a reflectance geometry can exacerbate these errors. Here, we examine three reconstruction approaches that avoid requiring direct measurements of photon launch times. They work by (a) fitting relative shapes of the reflectance profile with a pre-determined constraint on the scattering coefficient, (b) calibrating launch-time differences via a reference sample, and (c) freely fitting for the launch-time difference within the inverse problem. Analysis methods that can place a tight bound on the scattering coefficient can produce errors within 5-15% for both absorption and scattering at source-detector separations of 10 and 15 mm. Including the time-shift in the fitting procedure also recovered optical coefficients to under 20% but showed large crosstalk between extracted scattering and absorption coefficients. We find that the uncertainty in the temporal shift greatly impacts the reconstructed reduced scattering coefficient compared to absorption."
2021 May,"Tissue engineering. Part C, Methods",Tissue Eng Part C Methods. 2021 May;27(5):287-295. doi: ,"['Lloyd, William R', 'Lee, Seung Yup', 'Elahi, Sakib F', 'Chen, Leng-Chun', 'Kuo, Shiuhyang', 'Kim, Hyungjin Myra', 'Marcelo, Cynthia', 'Feinberg, Stephen E', 'Mycek, Mary-Ann']","['animals', 'cell count', 'humans', 'keratinocytes', 'mice', ' tissue engineering', ' tissue scaffolds', 'alloderm', 'evpome', 'diffuse reflectance spectroscopy', 'light propagation in tissues', 'optical diagnostics for medicine', 'tissue diagnostics', 'tissue engineering and regenerative medicine']",Noninvasive Optical Assessment of Implanted Tissue-Engineered Construct Success In Situ.,"Quantitative diffuse reflectance spectroscopy (DRS) was developed for label-free, noninvasive, and real-time assessment of implanted tissue-engineered devices manufactured from primary human oral keratinocytes (six batches in two 5-patient cohorts). Constructs were implanted in a murine model for 1 and 3 weeks. DRS evaluated construct success in situ using optical absorption (hemoglobin concentration and oxygenation, attributed to revascularization) and optical scattering (attributed to cellular density and layer thickness). Destructive pre- and postimplantation histology distinguished experimental control from stressed constructs, whereas noninvasive preimplantation measures of keratinocyte glucose consumption and residual glucose in spent culture media did not. In constructs implanted for 1 week, DRS distinguished control due to stressed and compromised from healthy constructs. In constructs implanted for 3 weeks, DRS identified constructs with higher postimplantation success. These results suggest that quantitative DRS is a promising, clinically compatible technology for rapid, noninvasive, and localized tissue assessment to characterize tissue-engineered construct success in vivo. Impact statement Despite the recent advance in tissue engineering and regenerative medicine, there is still a lack of nondestructive tools to longitudinally monitor the implanted tissue-engineered devices. In this study, we demonstrate the potential of quantitative diffuse reflectance spectroscopy as a clinically viable technique for noninvasive, label-free, and rapid characterization of graft success in situ."
2020 Nov,Science advances,Sci Adv. 2020 Nov 20;6(47):eabc1746. doi: 10.1126/sciadv.abc1746. Print 2020 Nov.,"['Lee, Seung Yup', 'Pakela, Julia M', 'Na, Kyounghwan', 'Shi, Jiaqi', 'McKenna, Barbara J', 'Simeone, Diane M', 'Yoon, Euisik', 'Scheiman, James M', 'Mycek, Mary-Ann']","['endoscopic ultrasound-guided fine needle aspiration methods', 'humans', ' pancreas diagnostic imaging', ' pancreatic neoplasms diagnosis']",Needle-compatible miniaturized optoelectronic sensor for pancreatic cancer detection.,"Pancreatic cancer is one of the deadliest cancers, with a 5-year survival rate of <10%. The current approach to confirming a tissue diagnosis, endoscopic ultrasound-guided fine-needle aspiration (EUS-FNA), requires a time-consuming, qualitative cytology analysis and may be limited because of sampling error. We designed and engineered a miniaturized optoelectronic sensor to assist in situ, real-time, and objective evaluation of human pancreatic tissues during EUS-FNA. A proof-of-concept prototype sensor, compatible with a 19-gauge hollow-needle commercially available for EUS-FNA, was constructed using microsized optoelectronic chips and microfabrication techniques to perform multisite tissue optical sensing. In our bench-top verification and pilot validation during surgery on freshly excised human pancreatic tissues (four patients), the fabricated sensors showed a comparable performance to our previous fiber-based system. The flexibility in source-detector configuration using microsized chips potentially allows for various light-based sensing techniques inside a confined channel such as a hollow needle or endoscopy."
2020 Aug 1,Biomedical optics express,Biomed Opt Express. 2020 Jul 16;11(8):4366-4378. doi: 10.1364/BOE.398256. ,"['Helton, Michael', 'Mycek, Mary-Ann', 'Vishwanath, Karthik']",[],Direct estimation of the reduced scattering coefficient from experimentally measured time-resolved reflectance via Monte Carlo based lookup tables.,"A heuristic method for estimating the reduced scattering coefficient (µ(s)') of turbid media using time-resolved reflectance is presented. The technique requires measurements of the distributions of times-of-flight (DTOF) of photons arriving at two identical detection channels placed at unique distances relative to a source. Measured temporal shifts in DTOF peak intensities at the two channels were used to estimate µ(s)' of the medium using Monte Carlo (MC) simulation-based lookup tables. MC simulations were used to compute temporal shifts in modeled reflectance at experimentally employed source-detector separations (SDS) for media spanning a wide range of optical properties to construct look up tables. Experiments in Intralipid (IL) phantoms demonstrated that we could retrieve µ(s)' with errors ranging between 6-25% of expected (literature) values, using reflectance measured across 650-800 nm and SDS of 5-15 mm. Advantages of the technique include direct processing of measured data without requiring iterative non-linear curve fitting. We also discuss applicability of this approach for media with low scattering coefficients where the commonly employed diffusion theory analysis could be inaccurate, with practical recommendations for use."
2019 May,"Tissue engineering. Part C, Methods",Tissue Eng Part C Methods. 2019 May;25(5):305-313. doi: ,"['Chen, Leng-Chun', 'Kuo, Shiuhyang', 'Lloyd, William R', 'Kim, Hyungjin Myra', 'Marcelo, Cynthia L', 'Feinberg, Stephen E', 'Mycek, Mary-Ann']","['cell survival', 'humans', 'keratinocytes cytology', 'molecular imaging', ' optical imaging', 'staining and labeling', 'tissue engineering  methods', 'tissue scaffolds chemistry', ' tissue survival', 'imaging', 'label-free', 'noninvasive', 'optical metric', 'tissue engineering', 'viability']",Optical Metric Assessed Engineered Tissues Over a Range of Viability States.,"Many conventional methods to assess engineered tissue morphology and viability are destructive techniques with limited utility for tissue constructs intended for implantation in patients. Sterile label-free optical molecular imaging methods analyzed tissue endogenous fluorophores without staining, noninvasively and quantitatively assessing engineered tissue, in lieu of destructive assessment methods. The objective of this study is to further investigate label-free optical metrics and their correlation with destructive methods. Tissue-engineered constructs (n = 33 constructs) fabricated with primary human oral keratinocytes (n = 10 patients) under control, thermal stress, and rapamycin treatment manufacturing conditions exhibited a range of tissue viability states, as evaluated by quantitative histology scoring, WST-1 assay, Ki-67 immunostaining imaging, and label-free optical molecular imaging methods. Both histology sections of fixed tissues and cross-sectioned label-free optical images of living tissues provided quantitative spatially selective information on local tissue morphology, but optical methods noninvasively characterized both local tissue morphology and cellular viability at the same living tissue site. Furthermore, optical metrics noninvasively assessed living tissue viability with a statistical significance consistent with the destructive tissue assays WST-1 and histology. Over the range of cell viability states created experimentally, optical metrics noninvasively and quantitatively characterized living tissue viability and correlated with the destructive WST-1 tissue assay. By providing, under sterile conditions, noninvasive metrics that were comparable with conventional destructive tissue assays, label-free optical molecular imaging has the potential to monitor and assess engineered tissue construct viability before surgical implantation."
2018 Apr,"Tissue engineering. Part C, Methods",Tissue Eng Part C Methods. 2018 Apr;24(4):214-221. doi: ,"['Elahi, Sakib F', 'Lee, Seung Yup', 'Lloyd, William R', 'Chen, Leng-Chun', 'Kuo, Shiuhyang', 'Zhou, Ying', 'Kim, Hyungjin Myra', 'Kennedy, Robert', 'Marcelo, Cynthia', 'Feinberg, Stephen E', 'Mycek, Mary-Ann']","['animals', 'cell survival', 'cytokines  metabolism', 'female', 'humans', 'image processing, computer-assisted  methods', 'keratinocytes cytology metabolism  transplantation', 'mice, scid', 'microscopy, fluorescence  methods', 'mouth mucosa cytology metabolism  transplantation', 'tissue engineering  methods', 'tissue scaffolds', 'transplantation, heterologous', 'evpome', 'endogenous fluorescence', 'in vivo fluorescence lifetime spectroscopy', 'intravital spectroscopy', 'oral mucosa', 'tissue viability']",Noninvasive Optical Assessment of Implanted Engineered Tissues Correlates with Cytokine Secretion.,"Fluorescence lifetime sensing has been shown to noninvasively characterize the preimplantation health and viability of engineered tissue constructs. However, current practices to monitor postimplantation construct integration are either qualitative (visual assessment) or destructive (tissue histology). We employed label-free fluorescence lifetime spectroscopy for quantitative, noninvasive optical assessment of engineered tissue constructs that were implanted into a murine model. The portable system was designed to be suitable for intravital measurements and included a handheld probe to precisely and rapidly acquire data at multiple sites per construct. Our model tissue constructs were manufactured from primary human cells to simulate patient variability based on a standard protocol, and half of the manufactured constructs were stressed to create a range of health states. Secreted amounts of three cytokines that relate to cellular viability were measured in vitro to assess preimplantation construct health: interleukin-8 (IL-8), human β-defensin 1 (hBD-1), and vascular endothelial growth factor (VEGF). Preimplantation cytokine secretion ranged from 1.5 to 33.5 pg/mL for IL-8, from 3.4 to 195.0 pg/mL for hBD-1, and from 0.1 to 154.3 pg/mL for VEGF. In vivo optical sensing assessed constructs at 1 and 3 weeks postimplantation. We found that at 1 week postimplantation, in vivo optical parameters correlated with in vitro preimplantation secretion levels of all three cytokines (p < 0.05). This correlation was not observed in optical measurements at 3 weeks postimplantation when histology showed that the constructs had re-epithelialized, independent of preimplantation health state, supporting the lack of a correlation. These results suggest that clinical optical diagnostic tools based on label-free fluorescence lifetime sensing of endogenous tissue fluorophores could noninvasively monitor postimplantation integration of engineered tissues."
2017 Dec,Journal of biomedical optics,J Biomed Opt. 2017 Dec;22(12):1-14. doi: 10.1117/1.JBO.22.12.121609.,"['Lee, Seung Yup', 'Pakela, Julia M', 'Helton, Michael C', 'Vishwanath, Karthik', 'Chung, Yooree G', 'Kolodziejski, Noah J', 'Stapels, Christopher J', 'McAdams, Daniel R', 'Fernandez, Daniel E', 'Christian, James F', ""O'Reilly, Jameson"", 'Farkas, Dana', 'Ward, Brent B', 'Feinberg, Stephen E', 'Mycek, Mary-Ann']","['anastomosis, surgical', 'animals', 'arteries diagnostic imaging pathology', 'free tissue flaps  blood supply', 'hemodynamic monitoring  instrumentation', ' optical devices', 'swine', 'veins diagnostic imaging pathology', 'blood flow', 'blood perfusion', 'diffuse correlation spectroscopy', 'diffuse reflectance spectroscopy', 'free tissue flap', 'porcine model']",Compact dual-mode diffuse optical system for blood perfusion monitoring in a porcine model of microvascular tissue flaps.,"In reconstructive surgery, the ability to detect blood flow interruptions to grafted tissue represents a critical step in preventing postsurgical complications. We have developed and pilot tested a compact, fiber-based device that combines two complimentary modalities-diffuse correlation spectroscopy (DCS) and diffuse reflectance spectroscopy-to quantitatively monitor blood perfusion. We present a proof-of-concept study on an in vivo porcine model (n=8). With a controllable arterial blood flow supply, occlusion studies (n=4) were performed on surgically isolated free flaps while the device simultaneously monitored blood flow through the supplying artery as well as flap perfusion from three orientations: the distal side of the flap and two transdermal channels. Further studies featuring long-term monitoring, arterial failure simulations, and venous failure simulations were performed on flaps that had undergone an anastomosis procedure (n=4). Additionally, benchtop verification of the DCS system was performed on liquid flow phantoms. Data revealed relationships between diffuse optical measures and state of occlusion as well as the ability to detect arterial and venous compromise. The compact construction of the device, along with its noninvasive and quantitative nature, would make this technology suitable for clinical translation."
2017 Oct,"Tissue engineering. Part C, Methods",Tissue Eng Part C Methods. 2017 Oct;23(10):616-626. doi: ,"['Syverud, Brian C', 'Mycek, Mary-Ann', 'Larkin, Lisa M']","['animals', 'collagen metabolism', 'female', 'flavin-adenine dinucleotide metabolism', 'microscopy, fluorescence, multiphoton  methods', 'molecular imaging', 'muscle contraction', 'muscle, skeletal  metabolism', 'myosins metabolism', 'nad metabolism', 'optical imaging', 'rats, inbred f344', 'signal processing, computer-assisted', ' staining and labeling', 'tissue engineering  methods', 'optical molecular imaging', 'skeletal muscle', 'tissue engineering', 'two-photon imaging']","Quantitative, Label-Free Evaluation of Tissue-Engineered Skeletal Muscle Through Multiphoton Microscopy.","The lack of tools for assessing engineered tissue viability and function in a noninvasive manner is a major regulatory and translational challenge facing tissue engineers. Label-free, nonlinear optical molecular imaging (OMI) has utilized endogenous nicotinamide adenine dinucleotide and flavin adenine dinucleotide fluorescence to indicate metabolic activity. Similarly, second harmonic generation (SHG) signals from myosin and collagen can measure overall muscle structural integrity and function. The purpose of this study was to demonstrate these OMI techniques for the first time in engineered skeletal muscle and to develop a novel method for evaluating our engineered skeletal muscle units (SMUs) before implantation. Three experimental groups were studied: Control, Steroid Supplemented, and Metabolically Stressed SMUs. After imaging and analysis in ImageJ, a redox ratio (RR) metric was calculated to indicate metabolic activity, and a structure ratio metric was calculated to reflect structural composition. In addition, function was evaluated as tetanic force production in response to electrical stimulation. In living tissues, the RRs successfully distinguished control and metabolically stressed SMUs in both monolayer and 3D form. OMI of myosin and collagen SHG similarly differentiated control SMUs from the steroid supplemented group. With respect to function, steroid supplementation significantly increased active force generation. When comparing functional and OMI measures, a significant correlation was present between overall myosin density and active force generation. This work demonstrates the potential for using label-free OMI to evaluate tissue-engineered skeletal muscle constructs. The positive correlation between structural OMI measures and force production suggests that OMI could potentially serve as an accurate predictor of functional behaviors, such as integration and tissue regeneration, after implantation. This noninvasive OMI methodology, demonstrated for the first time in engineered skeletal muscle, could prove invaluable for assessing our tissue engineering technology and confirming release criteria for validation."
