time,journal,doi_info,authors,key words,title,abstract
2024 Jun 15,Journal of dentistry,J Dent. 2024 Jun 15:105136. doi: 10.1016/j.jdent.2024.105136.,"['Rodriguez, Amanda', 'Kripfgans, Oliver', 'Meneghetti, Priscila Ceolin', 'Mendonça, Gustavo', 'Pereira, Rafael', 'Teixeira, Wendel', 'Zambrana, Nataly', 'Samal, Ankita', 'Chan, Hsun-Liang']","['ultrasound', 'digital dentistry', 'digital workflow', 'edentulous ridge', 'free-hand ultrasound', 'registration', 'ultrasound-guided']",Intraoral Ultrasonography Image Registration for Evaluation of Partial Edentulous Ridge: A Methodology and Validation Study.,"OBJECTIVES: Ultrasound (US) reveals details for diagnosing soft- and hard-tissue dimensions around teeth, implants, and the edentulous ridge, not seen in 2D radiographs. Co-registering free-hand US scans with other 3D modalities presents reliability challenges. This study first aims to develop and validate a registration method to longitudinally reproduce US images of the jawbone on a simulator. In addition, it also evaluates the degree of the anatomical match in humans between US images acquired by the proposed registration method and the commonly used freehand acquisitions in comparison to cone beam computed tomography (CBCT) and intra-oral optical scan (IOS), used as references. METHODS: A previously introduced ultrasound phantom was employed as a CBCT-US hybrid, suitable for training and technique development of US guides in edentulous ridges. After establishing feasibility in the phantom, the methodology was validated in a cohort of 24 human subjects (26 cases). Soft tissues were delineated on US and IOS, and hard tissues on US and CBCT. US accuracy and repeatability from both guided and freehand scans (non-guided) was assessed as the average distance between US and the references. RESULTS: Guided US images resembled the references more closely than freehand (non-guided) scans. Notably, delineation of soft and hard tissues was significantly more accurate when employing guides. In the phantom, guided scans exhibited an absolute mean deviation of 81.8 µm for gingiva and 90.4 µm for bone, whereas non-guided scans showed deviations of 150.4 µm and 177.2 µm, respectively. Similarly, in vivo, guided US outperformed non-guided US, with gingiva deviations of 125 µm and 196 µm, and bone deviations of 354 µm and 554 µm, respectively. CONCLUSIONS: By using a registration method, guided US scans improved repeatability and accuracy of mapping hard and soft tissue of the edentulous ridge when compared to non-guided scans. CLINICAL RELEVANCE: This guided US imaging method could lay the foundation for longitudinal evaluation of tissue behavior and dimensional changes with improved accuracy."
2024 Jun 4,Clinical oral implants research,Clin Oral Implants Res. 2024 Jun 4. doi: 10.1111/clr.14302.,"['Bykhovsky, Igor', 'Hildner, Alexander', 'Kripfgans, Oliver D', 'Mengel, Reiner']","['dental implant', 'diagnostics', 'human cadaver study', 'peri‐implant bone defects', 'sonography']",Sonography in the diagnosis of peri-implant bone defects: An in vitro study on native human mandibles.,"AIM: The aim of this study on native human cadavers was to compare clinical, sonographic, and radiological measurements of fenestrations, dehiscences, and 3-wall bone defects on implants. MATERIALS AND METHODS: The examination was carried out on five human mandibles. After the insertion of 27 implants, dehiscences (n = 14), fenestrations (n = 7) and 3-wall bone defects (n = 6) were prepared in a standardized manner. The direct measurement of the bone defects was carried out with a periodontal probe and the radiological examination was carried out using digital volume tomography (DVT). The ultrasound examination (US) was performed using a clinical 24-MHz US imaging probe. Means and standard deviations of the direct, US, and DVT measurements were calculated. Measurements were statistically compared using the Pearson correlation coefficient and Bland-Altman analysis. RESULTS: Bone defects were on average 3.22 ± 1.58 mm per direct measurement, 2.90 ± 1.47 mm using US, and 2.99 ± 1.52 mm per DVT assessment. Pairwise correlations of these measurements were R = .94 (p < .0001) between direct and US, R = .95 (p < .0001) between DVT and US, and R = .96 (p < .0001) between direct and DVT. The mean differences of the measurements (and 95%"
2024 May 14,Journal of periodontology,J Periodontol. 2024 May 14. doi: 10.1002/JPER.23-0370.,"['Rodriguez, Amanda B', 'Kripfgans, Oliver D', 'Kozloff, Kenneth M', 'Samal, Ankita', 'Woo, Jae-Man', 'Shehabeldin, Mostafa', 'Chan, Hsun-Liang']","['alveolar ridge preservation', 'bone mineral density', 'bone regeneration', 'jaw, edentulous', 'ultrasonography', 'wound healing']",Ultrasound-based jawbone surface quality evaluation after alveolar ridge preservation.,"BACKGROUND: Bone readiness for implant placement is typically evaluated by bone quality/density on 2-dimensional radiographs and cone beam computed tomography at an arbitrary time between 3 and 6 months after tooth extraction and alveolar ridge preservation (ARP). The aim of this study is to investigate if high-frequency ultrasound (US) can classify bone readiness in humans, using micro-CT as a reference standard to obtain bone mineral density (BMD) and bone volume fraction (BVTV) of healed sockets receiving ARP in humans. METHODS: A total of 27 bone cores were harvested during the implant surgery from 24 patients who received prior extraction with ARP. US images were taken immediately before the implant surgery at a site co-registered with the tissue biopsy collection location, made possible with a specially designed guide, and then classified into 3 tiers using B-mode image criteria (1) favorable, (2) questionable, and (3) unfavorable. Bone mineral density (hydroxyapatite) and BVTV were obtained from micro-CT as the gold standard. RESULTS: Hydroxyapatite and BVTV were evaluated within the projected US slice plane and thresholded to favorable (>2200 mg/cm(3); >0.45 mm(3)/mm(3)), questionable (1500-2200 mg/cm(3); 0.4-0.45 mm(3)/mm(3)), and unfavorable (<1500 mg/cm(3); <0.4 mm(3)/mm(3)). The present US B-mode classification inversely scales with BMD. Regression analysis showed a significant relation between US classification and BMD as well as BVTV. T-test analysis demonstrated a significant correlation between US reader scores and the gold standard. When comparing Tier 1 with the combination of Tier 2 and 3, US achieved a significant group differentiation relative to mean BMD (p = 0.004, true positive 66.7%, false positive 0%, true negative 100%, false negative 33.3%, specificity 100%, sensitivity 66.7%, receiver operating characteristics area under the curve 0.86). Similar results were found between US-derived tiers and BVTV. CONCLUSION: Preliminary data suggest US could classify jawbone surface quality that correlates with BMD/BVTV and serve as the basis for future development of US-based socket healing evaluation after ARP."
2024 Aug,Ultrasound in medicine & biology,Ultrasound Med Biol. 2024 Aug;50(8):1122-1133. doi: ,"['Pinter, Stephen Z', 'Rubin, Jonathan M', 'Hall, Anne L', 'Fowlkes, J Brian', 'Kripfgans, Oliver D']","[' phantoms, imaging', ' imaging, three-dimensional methods', 'ultrasonography, doppler, color methods', 'blood flow velocity', 'computer simulation', 'beam density', 'c-plane', 'color flow ultrasound', 'color power ultrasound', 'flow phantom', 'gaussian surface integration principle', 'partial volume', 'point spread function', 'three-dimensional imaging', 'volume flow']","Color Flow Ultrasound Spatial Sampling Beam Density for Partial Volume-Corrected Three-Dimensional Volume Flow (3DVF): Theory, Simulation, and Experiment.","OBJECTIVE: The purpose of this study was to quantify the accuracy of partial volume-corrected three-dimensional volume flow (3DVF) measurements as a function of spatial sampling beam density using carefully-designed parametric analyses in order to inform the target applications of 3DVF. METHODS: Experimental investigations employed a mechanically-swept curvilinear ultrasound array to acquire 3D color flow (6.3 MHz) images in flow phantoms consisting of four lumen diameters (6.35, 4.88, 3.18 and 1.65 mm) with volume flow rates of 440, 260, 110 and 30 mL/min, respectively. Partial volume-corrected three-dimensional volume flow (3DVF) measurements, based on the Gaussian surface integration principle, were computed at five regions of interest positioned between depths of 2 and 6 cm in 1 cm increments. At each depth, the color flow beam point spread function (PSF) was also determined, using in-phase/quadrature data, such that 3DVF bias could then be related to spatial sampling beam density. Corresponding simulations were performed for a laminar parabolic flow profile that was sampled using the experimentally-measured PSFs. Volume flow was computed for all combinations of lumen diameters and the PSFs at each depth. RESULTS: Accurate 3DVF measurements, i.e., bias less than ±20%, were achieved for spatial sampling beam densities where at least 6 elevational color flow beams could be positioned across the lumen. In these cases, greater than 8 lateral color flow beams were present. PSF measurements showed an average lateral-to-elevational beam width asymmetry of 1:2. Volume flow measurement bias increased as the color flow beam spatial sampling density within the lumen decreased. CONCLUSION: Applications of 3DVF, particularly those in the clinical domain, should focus on areas where a spatial sampling density of 6 × 6 (lateral x elevational) beams can be realized in order to minimize measurement bias. Matrix-based ultrasound arrays that possess symmetric PSFs may be advantageous to achieve adequate beam densities in smaller vessels."
2024 Apr 18,Journal of clinical medicine,J Clin Med. 2024 Apr 18;13(8):2347. doi: 10.3390/jcm13082347.,"['Rubin, Jonathan M', 'Kripfgans, Oliver D']",[],"Comment on Barbieri et al. Umbilical Vein Blood Flow in Uncomplicated Pregnancies: Systematic Review of Available Reference Charts and Comparison with a New Cohort. J. Clin. Med. 2023, 12, 3132.",We would like to comment on the systemic review article published in the Journal of Clinical Medicine by Barbieri et al [...].
2024 Jun,Ultrasound in medicine & biology,Ultrasound Med Biol. 2024 Jun;50(6):817-824. doi: ,"['Kripfgans, Oliver D', 'Pinter, Stephen Z', 'McCracken, Brendan M', 'Colmenero Mahmood, Carmen I', 'Rajajee, Venkatakrishna Krishna', 'Tiba, Hakam', 'Rubin, Jonathan M']","[' cerebrovascular circulation physiology', 'animals', 'swine', ' hemodynamics physiology', ' brain diagnostic imaging blood supply metabolism', 'blood flow velocity physiology', 'brain injuries, traumatic diagnostic imaging physiopathology metabolism', 'biomarker', 'blood flow', 'color flow', 'critical care', 'traumatic brain injury']",Measurement of Cerebral Metabolism Under Non-Chronic Hemodynamic Conditions.,"BACKGROUND: Blood flow to the brain is a critical physiological function and is useful to monitor in critical care settings. Despite that, a surrogate is most likely measured instead of actual blood flow. Such surrogates include velocity measurements in the carotid artery and systemic blood pressure, even though true blood flow can actually be obtained using MRI and other modalities. Ultrasound is regularly used to measure blood flow and is, under certain conditions, able to provide quantitative volumetric blood flow in milliliters per minute. Unfortunately, most times the resulting flow data is not valid due to unmet assumptions (such as flow profile and angle correction). Color flow, acquired in three dimensions, has been shown to yield quantitative blood flow without any assumptions (3DVF). METHODS: Here we are testing whether color flow can perform during physiological conditions common to severe injury. Specifically, we are simulating severe traumatic brain injury (epidural hematoma) as well as hemorrhagic shock with 50% blood loss. Blood flow was measured in the carotid artery of a cohort of 7 Yorkshire mix pigs (40-60 kg) using 3DVF (4D16L, LOGIQ 9, GE HealthCare, Milwaukee, WI, USA) and compared to an invasive flow meter (TS420, Transonic Systems Inc., Ithaca, NY, USA). RESULTS: Six distinct physiological conditions were achieved: baseline, hematoma, baseline 2, hemorrhagic shock, hemorrhagic shock plus hematoma, and post-hemorrhage resuscitation. Mean cerebral oxygen extraction ratio varied from 40.6% ± 13.0% of baseline to a peak of 68.4% ± 15.6% during hemorrhagic shock. On average 3DVF estimated blood flow with a bias of -9.6% (-14.3% root mean squared error) relative to the invasive flow meter. No significant flow estimation error was detected during phases of flow reversal, that was seen in the carotid artery during traumatic conditions. The invasive flow meter showed a median error of -11.5% to 39.7%. CONCLUSIONS: Results suggest that absolute volumetric carotid blood flow to the brain can be obtained and potentially become a more specific biomarker related to cerebral hemodynamics than current surrogate markers."
2023 Oct 20,Journal of clinical periodontology,J Clin Periodontol. 2023 Oct 20. doi: 10.1111/jcpe.13889.,"['Tavelli, Lorenzo', 'Kripfgans, Oliver D', 'Chan, Hsun-Liang', 'Vera Rodriguez, Maria', 'Sabri, Hamoun', 'Mancini, Leonardo', 'Wang, Hom-Lay', 'Giannobile, William V', 'Barootchi, Shayan']","['blood flow circulation', 'blood supply', 'dental implant', 'soft-tissue augmentation', 'wound healing']",Doppler ultrasonographic evaluation of tissue revascularization following connective tissue graft at implant sites.,"AIM: To assess the Doppler ultrasonographic tissue perfusion at dental implant sites augmented with connective tissue graft (CTG) using coronally advanced flap (CAF) or tunnel technique (TUN). MATERIALS AND METHODS: Twenty-eight patients presenting with isolated healthy peri-implant soft-tissue dehiscence (PSTD) were included in this randomized clinical trial. PSTDs were treated with either CAF + CTG or TUN + CTG. Ultrasound scans were taken at baseline, 1 week, 1 month, 6 months and 12 months. Tissue perfusion at the mid-facial, mesial and distal aspects of the implant sites was assessed by colour Doppler velocity (CDV) and power Doppler imaging (PDI). Early vascularization of the graft and the flap at 1 week and at 1 month were evaluated via dynamic tissue perfusion measurements (DTPMs), including flow intensity (FI), mean perfusion relief intensity (pRI) and mean perfused area (pA). RESULTS: Regression analysis did not reveal significant differences in terms of mid-facial CDV and PDI changes between CAF and TUN over 12 months (p > .05), while significant differences between the two groups were observed at the interproximal areas (p < .001 for both CDV and PDI changes). Higher early DTPMs were observed at the TUN-treated sites in terms of mean FI of the graft (p = .027) and mean FI (p = .024) and pRI of the flap (p = .031) compared with CAF-treated sites at 1 week. Assessment of the FI direction showed that CTG perfusion at 1 week and at 1 month mainly occurred from the flap towards the implant/bone. Early tissue perfusion outcomes were found to be associated with the 12-month mean PSTD coverage and mucosal thickness gain. CONCLUSIONS: Doppler ultrasonography shows tissue perfusion changes occurring at implant sites augmented with CTG. The main differences in tissue perfusion between CAF and TUN were observed at the interproximal sites, with early perfusion associated with clinical and volumetric outcomes at 12 months."
2024 Feb,Journal of ultrasound in medicine : official journal of the American Institute of ,J Ultrasound Med. 2024 Feb;43(2):237-251. doi: 10.1002/jum.16352. Epub 2023 Oct ,"['Yu, Hsi-Chien', 'Kripfgans, Oliver D', 'Rodriguez, Amanda B', 'Samal, Ankita', 'Quesada, Carole', 'Webber, Liana P', 'Mazzocco, John P', 'Wang, I-Ching', 'Woo, Jaeman', 'Chan, Hsun-Liang']","['male', 'female', 'animals', 'swine', ' mouth mucosa diagnostic imaging', 'swine, miniature', ' gingiva diagnostic imaging', 'ultrasonography', 'elasticity', 'elasticity', 'oral mucosa', 'periodontitis', 'periodontium', 'speckle tracking', 'strain']",Ultrasonography-Derived Elasticity Estimation of Live Porcine Oral Mucosa.,"OBJECTIVES: To investigate the biomechanical properties of porcine oral tissues with in vivo ultrasonography and to compare the difference between oral alveolar mucosa and gingival tissue concerning compressional and tensile mechanical strain. MATERIALS AND METHODS: Sinclair minipigs (6 females and 4 males, 6 to 18 months of age) were anesthetized for ultrasonography. In vivo high-frequency tissue harmonic ultrasound (12/24 MHz) cine-loops were obtained while inducing mechanical tissue stress (0 to 1 N). Post-processing strain analysis was performed in a cardiac speckle tracking software (EchoInsight®). Region of interest (ROI) was placed for gingival and alveolar mucosa tissues for longitudinal (compressional) and tensile strain analyses. A calibrated gel pad was employed to determine the absolute force (pressure) for the measured tissue strain response function. The resulting elasticity data was statistically analyzed using custom Matlab scripts. RESULTS: In total, 38 sonography cine-loops around the third premolars were included in the investigation. The longitudinal strain of alveolar mucosa εAML was found to be significantly (P < .05) larger than that of gingiva εGL . Across the measured force range, εAML ~ 1.7 × εGL . Significant differences between alveolar mucosa and gingiva tissues were found for all forces. The tensile strain of the alveolar mucosa εAMT was found to be ~2 × εGT (on the epithelial surface of the gingiva). Both were statistically significantly different for forces exceeding ~0.08 N. At depth, that is, 500 and 1000 μm below the epithelial surface, the gingiva was found to have less ability to stretch contrary to the alveolar mucosa. Gingival tissue at 500 μm depth has significantly less tensile strain than at its surface and more than at 1000 μm depth. In contrast, the tensile strain of alveolar mucosa is largely independent of depth. CONCLUSION: Ultrasonography can reveal significant differences in oral alveolar mucosal and gingival elastic properties, such as compressional and tensile strain. Under minute forces equivalent to 10 to 40 g, these differences can be observed. As dental ultrasound is a chairside, and noninvasive modality, obtaining real-time images might soon find clinical utility as a new diagnostic tool for the objective and quantitative assessment of periodontal and peri-implant soft tissues in clinical and research realms. As ultrasound is a safe modality with no known bioeffects, longitudinal monitoring of areas of concern would be particularly attractive."
2023 Sep 11,Applied physics letters,Appl Phys Lett. 2023 Sep 11;123(11):114101. doi: 10.1063/5.0159661.,"['Aliabouzar, Mitra', 'Abeid, Bachir A', 'Kripfgans, Oliver D', 'Fowlkes, J Brian', 'Estrada, Jonathan B', 'Fabiilli, Mario L']",[],Real-time spatiotemporal characterization of mechanics and sonoporation of acoustic droplet vaporization in acoustically responsive scaffolds.,"Phase-shift droplets provide a flexible and dynamic platform for therapeutic and diagnostic applications of ultrasound. The spatiotemporal response of phase-shift droplets to focused ultrasound, via the mechanism termed acoustic droplet vaporization (ADV), can generate a range of bioeffects. Although ADV has been used widely in theranostic applications, ADV-induced bioeffects are understudied. Here, we integrated ultra-high-speed microscopy, confocal microscopy, and focused ultrasound for real-time visualization of ADV-induced mechanics and sonoporation in fibrin-based, tissue-mimicking hydrogels. Three monodispersed phase-shift droplets-containing perfluoropentane (PFP), perfluorohexane (PFH), or perfluorooctane (PFO)-with an average radius of ∼6 μm were studied. Fibroblasts and tracer particles, co-encapsulated within the hydrogel, were used to quantify sonoporation and mechanics resulting from ADV, respectively. The maximum radial expansion, expansion velocity, induced strain, and displacement of tracer particles were significantly higher in fibrin gels containing PFP droplets compared to PFH or PFO. Additionally, cell membrane permeabilization significantly depended on the distance between the droplet and cell (d), decreasing rapidly with increasing d. Significant membrane permeabilization occurred when d was smaller than the maximum radius of expansion. Both ultra-high-speed and confocal images indicate a hyper-local region of influence by an ADV bubble, which correlated inversely with the bulk boiling point of the phase-shift droplets. The findings provide insight into developing optimal approaches for therapeutic applications of ADV."
2023 Oct,Placenta,Placenta. 2023 Oct;142:119-127. doi: 10.1016/j.placenta.2023.08.072. Epub 2023 ,"['Rubin, Jonathan M', 'Pinter, Stephen Z', 'Halloran, Katherine M', 'Pallas, Brooke D', 'Fowlkes, J Brian', 'Vyas, Arpita K', 'Padmanabhan, Vasantha', 'Kripfgans, Oliver D']","['sheep', 'pregnancy', 'animals', 'female', 'humans', ' placenta blood supply', ' fetus blood supply', 'umbilical veins', 'arteries', 'umbilical arteries', 'fetal growth retardation veterinary', 'fast fourier transform of umbilical venous doppler spectral envelope', 'hyperandrosterone sheep model', 'intrauterine growth restriction (iugr)', 'umbilical venous doppler spectral analysis', 'umbilical venous blood flow']",Placental assessment using spectral analysis of the envelope of umbilical venous waveforms in sheep.,"INTRODUCTION: This study was designed to test the efficacy of an ultrasound flow measurement method to evaluate placental function in a hyperandrogenic sheep model that produces placental morphologic changes and an intrauterine growth restriction (IUGR) phenotype. MATERIALS AND METHODS: Pregnant ewes were assigned randomly between control (n = 12) and testosterone-treatment (T-treated, n = 22) groups. The T-treated group was injected twice weekly intramuscularly (IM) with 100 mg testosterone propionate. Control sheep were injected with corn oil vehicle. Lambs were delivered at 119.5 ± 0.48 days gestation. At the time of delivery of each lamb, flow spectra were generated from one fetal artery and two fetal veins, and the spectral envelopes examined using fast Fourier transform analysis. Base 10 logarithms of the ratio of the amplitudes of the maternal and fetal spectral peaks (LRSP) in the venous power spectrum were compared in the T-treated and control populations. In addition, we calculated the resistive index (RI) for the artery defined as ((peak systole - min diastole)/peak systole). Two-tailed T-tests were used for comparisons. RESULTS: LRSPs, after removal of significant outliers, were -0.158 ± 0.238 for T-treated and 0.057 ± 0.213 for control (p = 0.015) animals. RIs for the T-treated sheep fetuses were 0.506 ± 0.137 and 0.497 ± 0.086 for controls (p = 0.792) DISCUSSION: LRSP analysis distinguishes between T-treated and control sheep, whereas RIs do not. LRSP has the potential to identify compromised pregnancies."
