time,journal,doi_info,authors,key words,title,abstract
2024 Jun,Journal of graduate medical education,J Grad Med Educ. 2024 Jun;16(3):379-382. doi: 10.4300/JGME-D-24-00388.1. Epub ,"['Friedrich, Jeffrey B', 'Cederna, Paul S', 'Fox, Chris', 'Song, David H']","[' accreditation standards', 'humans', ' internship and residency', ' surgery, plastic standards education', 'education, medical, graduate standards', 'united states']",Transparency in Plastic Surgery Program Accreditation.,
2024 Jun,Plastic and reconstructive surgery. Global open,Plast Reconstr Surg Glob Open. 2024 Jun 14;12(6):e5910. doi: ,"['Berberoglu, Ipek', 'Tang, Sherry Y Q', 'Kozlow, Jeffrey H', 'Sezgin, Billur', 'Sandhu, Gurjit', 'Cederna, Paul S']",[],Integration of Virtual and Traditional Medical Education: Scholarship Pivots from the COVID-19 Pandemic.,"BACKGROUND: The coronavirus disease 2019 (COVID-19) pandemic required an unprecedented transformation of medical education, shifting from traditional, in-person learning to distanced, online learning. This study aimed to review changes to medical education and describe the advantages and disadvantages of virtual medical education experienced by medical students during the pandemic. METHODS: An online survey study was conducted at two medical schools, University of Michigan Medical School in the United States and Koc University School of Medicine in Turkey. Medical students completed questionnaires regarding their educational experience before and during the pandemic. Survey instruments were designed to assess differences in the educational curriculum, study methods, clinical skills self-evaluations, perceptions of the quality of in-person and online learning, and overall satisfaction. RESULTS: A total of 184 medical students completed the survey. There was an increase in the use of online study tools since the pandemic. There was no statistically significant difference in self-reported assessments of clinical preparedness and overall clinical competence during surgical clerkship. The percentage of students interested in pursuing a career in surgery has nearly doubled from 34% to 63%. A majority of students (83%) believed that the time available for self-study and research increased during the pandemic. Fifty-two percent of students believed that online education is less efficacious than in-person education, but 86% of students still preferred a blended approach. CONCLUSIONS: Medical schools have continued to update their curricula following the COVID-19 pandemic. This study illustrates the transformations in medical education to ensure that the most effective and suitable teaching is delivered."
2024 Jun 14,Tissue engineering. Part A,Tissue Eng Part A. 2024 Jun 14. doi: 10.1089/ten.TEA.2024.0044.,"['Wroblewski, Olga Maria', 'Kennedy, Christopher Stephen', 'Vega-Soto, Emmanuel Enrique', 'Forester, Celeste Elise', 'Su, Eileen Yuhan', 'Nguyen, Matthew Hung', 'Cederna, Paul', 'Larkin, Lisa Marie']",[],Impact of Passaging Primary Skeletal Muscle Cell Isolates on the Engineering of Skeletal Muscle.,"Volumetric muscle loss (VML) is a clinical state that results in impaired skeletal muscle function. Engineered skeletal muscle can serve as a treatment for VML. Currently, large biopsies are required to achieve the cells necessary for the fabrication of engineered muscle, leading to donor site morbidity. Amplification of cell numbers using cell passaging may increase the usefulness of a single muscle biopsy for engineering muscle tissue. In this study, we evaluated the impact of passaging cells obtained from donor muscle tissue by analyzing characteristics of in-vitro cellular growth and tissue-engineered skeletal muscle unit (SMU) structure and function. Human skeletal muscle cell isolates from three separate donors (P0-Control) were compared to cells passaged once (P1), twice (P2), or three times (P3) by monitoring SMU force production and determining muscle content and structure using immunohistochemistry. Data indicated that passaging decreased the number of satellite cells and increased the population doubling time. P1 SMUs had slightly greater contractile force and P2 SMUs showed statistically significant greater force production compared to P0 SMUs with no change in SMU muscle content. In conclusion, human skeletal muscle cells can be passaged twice without negatively impacting SMU muscle content or contractile function, providing the opportunity to potentially create larger SMUs from smaller biopsies, thereby producing clinically relevant sized grafts to aid in VML repair."
2024 May 8,Annals of surgery,Ann Surg. 2024 May 8. doi: 10.1097/SLA.0000000000006327.,"['Mohanty, Ahneesh J', 'Cederna, Paul S', 'Kemp, Stephen W P', 'Kung, Theodore A']",[],Prophylactic Regenerative Peripheral Nerve Interface (RPNI) Surgery in Pediatric Lower Limb Amputation Patients.,"OBJECTIVE: To evaluate the prophylactic effect of Regenerative Peripheral Nerve Interface (RPNI) surgery on pediatric post-amputation pain. SUMMARY OF BACKGROUND DATA: Chronic post-amputation pain is a debilitating and refractory sequela of limb amputation affecting up to 83% of pediatric patients with limb loss, resulting in disability and decreased quality of life. We postulate that prophylactic RPNI surgery performed during amputation may decrease the incidence of symptomatic neuroma and development of phantom limb pain, as well as limit analgesic use among pediatric patients with limb loss. METHODS: Retrospective chart review was performed on pediatric patients between the ages of 8 and 21 years who underwent major lower limb amputation with and without RPNI surgery. Documented neuroma and phantom limb pain scores as well as analgesic use was recorded. Narcotic use was converted to milligrams morphine equivalents per day (MME/day) while overall analgesic use was converted to Medication Quantification Scale version III (MQSIII) scores. Analysis was performed using Stata. RESULTS: Forty-four pediatric patients were identified; 25 RPNI patients and 19 controls. Seventy-nine percent of control patients developed chronic post-amputation pain versus 21% of RPNI patients (P<0.001). Among the patients who developed post-amputation pain, 20% of controls developed clinical neuroma pain, compared to 0% of RPNI patients (P<0.001). Additionally, RPNI patients demonstrated a significant decrease in pain score (P=0.007) and narcotic usage (P<0.01), compared to controls. Overall analgesic use did not vary significantly between groups. CONCLUSIONS: Prophylactic RPNI surgery shows promise for pediatric patients undergoing major lower limb amputation by preventing both symptomatic neuromas and possibly the development of phantom limb pain."
2024 Mar 15,Journal of visualized experiments : JoVE,J Vis Exp. 2024 Mar 15;(205). doi: 10.3791/66378.,"['Pettersen, Emily', 'Sassu, Paolo', 'Pedrini, Francesca Alice', 'Granberg, Hannes', 'Reinholdt, Carina', 'Breyer, Juan Manuel', 'Roche, Aidan', 'Hart, Andrew', 'Ladak, Adil', 'Power, Hollie A', 'Leung, Michael', 'Lo, Michael', 'Valerio, Ian', 'Eberlin, Kyle R', 'Ko, Jason', 'Dumanian, Gregory A', 'Kung, Theodore A', 'Cederna, Paul', 'Ortiz-Catalan, Max']","['humans', 'amputation, surgical', ' neuralgia', ' neuroma surgery', 'peripheral nerves surgery physiology', 'randomized controlled trials as topic', 'retrospective studies']",Regenerative Peripheral Nerve Interface: Surgical Protocol for a Randomized Controlled Trial in Postamputation Pain.,"Surgical procedures, including nerve reconstruction and end-organ muscle reinnervation, have become more prominent in the prosthetic field over the past decade. Primarily developed to increase the functionality of prosthetic limbs, these surgical procedures have also been found to reduce postamputation neuropathic pain. Today, some of these procedures are performed more frequently for the management and prevention of postamputation pain than for prosthetic fitting, indicating a significant need for effective solutions to postamputation pain. One notable emerging procedure in this context is the Regenerative Peripheral Nerve Interface (RPNI). RPNI surgery involves an operative approach that entails splitting the nerve end longitudinally into its main fascicles and implanting these fascicles within free denervated and devascularized muscle grafts. The RPNI procedure takes a proactive stance in addressing freshly cut nerve endings, facilitating painful neuroma prevention and treatment by enabling the nerve to regenerate and innervate an end organ, i.e., the free muscle graft. Retrospective studies have shown RPNI's effectiveness in alleviating postamputation pain and preventing the formation of painful neuromas. The increasing frequency of utilization of this approach has also given rise to variations in the technique. This article aims to provide a step-by-step description of the RPNI procedure, which will serve as the standardized procedure employed in an international, randomized controlled trial (ClinicalTrials.gov, NCT05009394). In this trial, RPNI is compared to two other surgical procedures for postamputation pain management, specifically, Targeted Muscle Reinnervation (TMR) and neuroma excision coupled with intra-muscular transposition and burying."
2024 Mar 8,Journal of visualized experiments : JoVE,J Vis Exp. 2024 Mar 8;(205). doi: 10.3791/66379.,"['Pettersen, Emily', 'Sassu, Paolo', 'Pedrini, Francesca Alice', 'Granberg, Hannes', 'Reinholdt, Carina', 'Breyer, Juan Manuel', 'Roche, Aidan', 'Hart, Andrew', 'Ladak, Adil', 'Power, Hollie A', 'Leung, Michael', 'Lo, Michael', 'Valerio, Ian', 'Eberlin, Kyle R', 'Kung, Theodore A', 'Cederna, Paul', 'Souza, Jason M', 'Aszmann, Oskar', 'Ko, Jason', 'Dumanian, Gregory A', 'Ortiz-Catalan, Max']","['humans', 'amputation, surgical', 'muscle, skeletal innervation', ' neuralgia', 'neurosurgical procedures', ' phantom limb surgery', 'randomized controlled trials as topic']",Targeted Muscle Reinnervation: Surgical Protocol for a Randomized Controlled Trial in Postamputation Pain.,"Over the past decade, the field of prosthetics has witnessed significant progress, particularly in the development of surgical techniques to enhance the functionality of prosthetic limbs. Notably, novel surgical interventions have had an additional positive outcome, as individuals with amputations have reported neuropathic pain relief after undergoing such procedures. Subsequently, surgical techniques have gained increased prominence in the treatment of postamputation pain, including one such surgical advancement - targeted muscle reinnervation (TMR). TMR involves a surgical approach that reroutes severed nerves as a type of nerve transfer to ""target"" motor nerves and their accompanying motor end plates within nearby muscles. This technique originally aimed to create new myoelectric sites for amplified electromyography (EMG) signals to enhance prosthetic intuitive control. Subsequent work showed that TMR also could prevent the formation of painful neuromas as well as reduce postamputation neuropathic pain (e.g., Residual and Phantom Limb Pain). Indeed, multiple studies have demonstrated TMR's effectiveness in mitigating postamputation pain as well as improving prosthetic functional outcomes. However, technical variations in the procedure have been identified as it is adopted by clinics worldwide. The purpose of this article is to provide a detailed step-by-step description of the TMR procedure, serving as the foundation for an international, randomized controlled trial (ClinicalTrials.gov, NCT05009394), including nine clinics in seven countries. In this trial, TMR and two other surgical techniques for managing postamputation pain will be evaluated."
2024 Feb,Seminars in plastic surgery,Semin Plast Surg. 2024 Feb 5;38(1):3-9. doi: 10.1055/s-0043-1778035. eCollection ,"['Berberoglu, Ipek', 'Burke, Katherine L', 'Gilman, Robert H', 'Kasten, Steven', 'Cederna, Paul S', 'Kemp, Stephen W P']","['university of michigan', 'plastic surgery', 'residency']",60 Years of Michigan Plastic Surgery.,"In 1964, the Section of Plastic and Reconstructive Surgery at the University of Michigan opened its doors to future surgeons and leaders in the field. Today, we are celebrating the 60-year history of the program and its significant contributions to the field. Beginning under the leadership of Reed O. Dingman, MD, DDS, the program began with three faculty members and two independent surgical residents. Since that time, it has expanded dramatically to include 24 faculty members and 28 integrated plastic surgery residents. The goals of the program have always been to achieve excellence in all three of our academic missions including clinical care, teaching, and research. Annually, the program sees an average of 35,000 outpatient clinic visits, 4,000 major operations, 200 peer-reviewed publications, $5,000,000 in research spending, and residents who are well trained and highly competitive for fellowships of their choosing every single year. Through scientific collaborations, academic exchanges, and medical missions, the program's influence has spread beyond Michigan, reaching the entire world. In addition to training world-renowned surgeons, Michigan's faculty and graduates have assumed leadership roles in prestigious professional organizations, scientific journals, and research foundations. In this article, we explore the roots of the program and reflect on six decades of impact, innovation, and inspiration."
2024 Feb,Seminars in plastic surgery,Semin Plast Surg. 2024 Feb 6;38(1):10-18. doi: 10.1055/s-0044-1779028. ,"['Tian, Yucheng', 'Vaskov, Alex K', 'Adidharma, Widya', 'Cederna, Paul S', 'Kemp, Stephen W P']","['clinical neural engineering', 'neuroprosthetics', 'regenerative peripheral nerve interface', 'sensory feedback']",Merging Humans and Neuroprosthetics through Regenerative Peripheral Nerve Interfaces.,"Limb amputations can be devastating and significantly affect an individual's independence, leading to functional and psychosocial challenges in nearly 2 million people in the United States alone. Over the past decade, robotic devices driven by neural signals such as neuroprostheses have shown great potential to restore the lost function of limbs, allowing amputees to regain movement and sensation. However, current neuroprosthetic interfaces have challenges in both signal quality and long-term stability. To overcome these limitations and work toward creating bionic limbs, the Neuromuscular Laboratory at University of Michigan Plastic Surgery has developed the Regenerative Peripheral Nerve Interface (RPNI). This surgical construct embeds a transected peripheral nerve into a free muscle graft, effectively amplifying small peripheral nerve signals to provide enhanced control signals for a neuroprosthetic limb. Furthermore, the RPNI has the potential to provide sensory feedback to the user and facilitate neuroprosthesis embodiment. This review focuses on the animal studies and clinical trials of the RPNI to recapitulate the promising trajectory toward neurobionics where the boundary between an artificial device and the human body becomes indistinct. This paper also sheds light on the prospects of the improvement and dissemination of the RPNI technology."
2024 Jan-Mar,JBJS essential surgical techniques,JBJS Essent Surg Tech. 2024 Feb 12;14(1):e23.00009. doi: ,"['Best, Christine Sw', 'Cederna, Paul S', 'Kung, Theodore A']",[],Regenerative Peripheral Nerve Interface (RPNI) Surgery for Mitigation of Neuroma and Postamputation Pain.,"BACKGROUND: A neuroma occurs when a regenerating transected peripheral nerve has no distal target to reinnervate. Symptomatic neuromas are a common cause of postamputation pain that can lead to substantial disability(1-3). Regenerative peripheral nerve interface (RPNI) surgery may benefit patients through the use of free nonvascularized muscle grafts as physiologic targets for peripheral nerve reinnervation for mitigation of neuroma and postamputation pain. DESCRIPTION: An RPNI is constructed by implanting the distal end of a transected peripheral nerve into a free nonvascularized skeletal muscle graft. The neuroma or free end of the affected nerve is identified, transected, and skeletonized. A free muscle graft is then harvested from the donor thigh or from the existing amputation site, and the distal end of each transected nerve is implanted into the center of the free muscle graft with use of 6-0 nonabsorbable suture. This can be done acutely at the time of amputation or as an elective procedure at any time postoperatively. ALTERNATIVES: Nonsurgical treatments of neuromas include desensitization, chemical or anesthetic injections, biofeedback, transcutaneous electrical nerve stimulation, topical lidocaine, and/or other medications (e.g., antidepressants, anticonvulsants, and opioids). Surgical treatment of neuromas includes neuroma excision, nerve capping, excision with transposition into bone or muscle, nerve grafting, and targeted muscle reinnervation. RATIONALE: Creation of an RPNI is a simple and reproducible surgical option to prevent neuroma formation that leverages several biologic processes and addresses many limitations of existing neuroma-treatment strategies. Given the understanding that neuromas will form when regenerating axons are not presented with end organs for reinnervation, any strategy that reduces the number of aimless axons within a residual limb should serve to reduce symptomatic neuromas. The use of free muscle grafts offers a vast supply of denervated muscle targets for regenerating nerve axons and facilitates the reestablishment of neuromuscular junctions without sacrificing denervation of any residual muscles. EXPECTED OUTCOMES: Articles describing RPNI surgery for postamputation pain have shown favorable outcomes, with significant reduction in neuroma pain and phantom pain scores at approximately 7 months postoperatively(4,5). Neuroma pain scores were reduced by 71% and phantom pain scores were reduced by 53%(4). Prophylactic RPNI surgery is also associated with substantially lower incidence of symptomatic neuromas (0% versus 13.3%) and a lower rate of phantom limb pain (51.1% versus 91.1%)(5) compared with the rates in patients who did not undergo RPNI surgery. IMPORTANT TIPS: Ask the patient preoperatively to point at the site of maximal tenderness, as this can serve as a guide for where the symptomatic neuroma may be located. The incision can be made either through the previous site of the amputation or directly over the site of maximal tenderness longitudinally. The pitfall of incising directly over the site is creating another incision with its attendant risk of wound infection.Excise the terminal neuroma with a knife until healthy-appearing axons are visualized.The free nonvascularized skeletal muscle graft can be obtained from local muscle (preferred) or from a separate donor site. A separate donor site can introduce donor-site morbidity and complications, including hematoma and pain.The harvested skeletal muscle graft should ideally be approximately 35 mm long, 20 mm wide, and 5 mm thick in order to ensure survivability and to prevent central necrosis. The harvesting can be performed with curved Mayo scissors.The peripheral nerve should be implanted parallel to the direction of the muscle fibers, and the epineurium should be secured to the free muscle graft at 1 or 2 places. One suture should be utilized to tack the distal end of the epineurium to the middle of the bed of the muscle graft. Another suture should be utilized to start the wrapping of the muscle graft around the nerve using a bite through the muscle, a bite through the epineurium of the proximal end of the nerve, and another bite through the other muscle edge in order to form a cylindrical wrap around the nerve.Wrap the entire muscle graft by taking only bites of muscle graft around the nerve to secure the muscle graft in a cylindrical structure using 2 to 4 more sutures.Avoid locating the RPNI near weight-bearing surfaces of the residual limb when closing. The RPNI should be in the muscular tissue, deep to the subcutaneous tissue and dermis.Do perform intraneural dissection for large-caliber nerves to create several (normally 2 to 4) distinct RPNIs, to avoid too many regenerating axons in a single free muscle graft."
2023 Nov,Plastic and reconstructive surgery. Global open,Plast Reconstr Surg Glob Open. 2023 Nov 27;11(11):e5415. doi: ,"['Kubiak, Carrie A', 'Lee, Jennifer C', 'Hamill, Jennifer B', 'Kim, H Myra', 'Roth, Randy S', 'Cederna, Paul S', 'Geisser, Michael E', 'Kung, Theodore A', 'Kemp, Stephen W P']",[],Agreement between Patient-reported Pain Medication Use and Electronic Medical Record Data in Surgical Amputation Patients.,"BACKGROUND: Opioid misuse after surgery remains a public health crisis in the United States. Recent efforts have focused on tracking pain medication use in surgical populations. However, accurate interpretations of medication use remain quite challenging given inconsistent usage of different datasets. The purpose of this study was to investigate the agreement between electronic medical records (EMR) versus patient self-reported use of pain medications in a surgical amputation population. METHODS: Patients undergoing major lower extremity amputation or amputation-related procedures were included in this study. Both self-reported and EMR data for pain medication intake were obtained for each patient at three time points (preoperatively, 4 months postoperatively, and 12 months postoperatively). Percentage agreement and the kappa statistic were calculated for both usage (yes/no) and dose categories. RESULTS: Forty-five patients were included in this study, resulting in 108 pairs of self-reported and EMR datasets. Substantial levels of agreement (>70% agreement, kappa >0.61) for opioid use was seen at preoperative and 12 months postoperative. However, agreement dropped at 4 months postoperatively. Anticonvulsant medication showed high levels, whereas acetaminophen showed lower levels of agreements at all time points. CONCLUSIONS: Either self-reported or EMR data may be used in research and clinical settings for preoperative or 12-month postoperative patients with little concern for discrepancies. However, at time points immediately following the expected end of acute surgical pain, self-reported data may be needed for more accurate medication reporting. With these findings in mind, usage of datasets should be driven by study objectives and the dataset's strength (eg, accuracy, ease, lack of bias)."
