time,journal,doi_info,authors,key words,title,abstract
2024 Jun 6,bioRxiv : the preprint server for biology,bioRxiv [Preprint]. 2024 Jun 6:2024.06.04.597386. doi: 10.1101/2024.06.04.597386.,"['Chung, Carolina H', 'Chang, David C', 'Rhoads, Nicole M', 'Shay, Madeline R', 'Srinivasan, Karthik', 'Okezue, Mercy A', 'Brunaugh, Ashlee D', 'Chandrasekaran, Sriram']",[],Transfer learning predicts species-specific drug interactions in emerging pathogens.,"Machine learning (ML) algorithms are necessary to efficiently identify potent drug combinations within a large candidate space to combat drug resistance. However, existing ML approaches cannot be applied to emerging and under-studied pathogens with limited training data. To address this, we developed a transfer learning and crowdsourcing framework (TACTIC) to train ML models on data from multiple bacteria. TACTIC was built using 2,965 drug interactions from 12 bacterial strains and outperformed traditional ML models in predicting drug interaction outcomes for species that lack training data. Top TACTIC model features revealed genetic and metabolic factors that influence cross-species and species-specific drug interaction outcomes. Upon analyzing ~600,000 predicted drug interactions across 9 metabolic environments and 18 bacterial strains, we identified a small set of drug interactions that are selectively synergistic against Gram-negative (e.g., A. baumannii) and non-tuberculous mycobacteria (NTM) pathogens. We experimentally validated synergistic drug combinations containing clarithromycin, ampicillin, and mecillinam against M. abscessus, an emerging pathogen with growing levels of antibiotic resistance. Lastly, we leveraged TACTIC to propose selectively synergistic drug combinations to treat bacterial eye infections (endophthalmitis)."
2024 Feb 16,iScience,iScience. 2024 Jan 29;27(2):109025. doi: 10.1016/j.isci.2024.109025. eCollection ,"['Sambarey, Awanti', 'Smith, Kirk', 'Chung, Carolina', 'Arora, Harkirat Singh', 'Yang, Zhenhua', 'Agarwal, Prachi P', 'Chandrasekaran, Sriram']","['health informatics', 'health sciences', 'immunology', 'infection control in health technology', 'internal medicine', 'medical microbiology', 'medicine']",Integrative analysis of multimodal patient data identifies personalized predictors of tuberculosis treatment prognosis.,"Tuberculosis (TB) afflicted 10.6 million people in 2021, and its global burden is increasing due to multidrug-resistant TB (MDR-TB) and extensively resistant TB (XDR-TB). Here, we analyze multi-domain information from 5,060 TB patients spanning 10 countries with high burden of MDR-TB from the NIAID TB Portals database to determine predictors of TB treatment outcome. Our analysis revealed significant associations between radiological, microbiological, therapeutic, and demographic data modalities. Our machine learning model, built with 203 features across modalities outperforms models built using each modality alone in predicting treatment outcomes, with an accuracy of 83% and area under the curve of 0.84. Notably, our analysis revealed that the drug regimens Bedaquiline-Clofazimine-Cycloserine-Levofloxacin-Linezolid and Bedaquiline-Clofazimine-Linezolid-Moxifloxacin were associated with treatment success and failure, respectively, for MDR non-XDR-TB. Drug combinations predicted to be synergistic by the INDIGO algorithm performed better than antagonistic combinations. Our prioritized set of features predictive of treatment outcomes can ultimately guide the personalized clinical management of TB."
2024 Jan,PNAS nexus,PNAS Nexus. 2024 Jan 12;3(1):pgae013. doi: 10.1093/pnasnexus/pgae013. eCollection ,"['Eames, Alec', 'Chandrasekaran, Sriram']","['aging', 'cancer', 'genome-scale models', 'machine learning', 'quiescence deepening']",Leveraging metabolic modeling and machine learning to uncover modulators of quiescence depth.,"Quiescence, a temporary withdrawal from the cell cycle, plays a key role in tissue homeostasis and regeneration. Quiescence is increasingly viewed as a continuum between shallow and deep quiescence, reflecting different potentials to proliferate. The depth of quiescence is altered in a range of diseases and during aging. Here, we leveraged genome-scale metabolic modeling (GEM) to define the metabolic and epigenetic changes that take place with quiescence deepening. We discovered contrasting changes in lipid catabolism and anabolism and diverging trends in histone methylation and acetylation. We then built a multi-cell type machine learning model that accurately predicts quiescence depth in diverse biological contexts. Using both machine learning and genome-scale flux simulations, we performed high-throughput screening of chemical and genetic modulators of quiescence and identified novel small molecule and genetic modulators with relevance to cancer and aging."
2023 Oct 20,iScience,iScience. 2023 Sep 26;26(10):108059. doi: 10.1016/j.isci.2023.108059. eCollection ,"['Iqbal, Mohammad A', 'Siddiqui, Shumaila', 'Smith, Kirk', 'Singh, Prithvi', 'Kumar, Bhupender', 'Chouaib, Salem', 'Chandrasekaran, Sriram']","['medical informatics', 'cancer', 'computational bioinformatics']",Metabolic stratification of human breast tumors reveal subtypes of clinical and therapeutic relevance.,"Extensive metabolic heterogeneity in breast cancers has limited the deployment of metabolic therapies. To enable patient stratification, we studied the metabolic landscape in breast cancers (∼3000 patients combined) and identified three subtypes with increasing degrees of metabolic deregulation. Subtype M1 was found to be dependent on bile-acid biosynthesis, whereas M2 showed reliance on methionine pathway, and M3 engaged fatty-acid, nucleotide, and glucose metabolism. The extent of metabolic alterations correlated strongly with tumor aggressiveness and patient outcome. This pattern was reproducible in independent datasets and using in vivo tumor metabolite data. Using machine-learning, we identified robust and generalizable signatures of metabolic subtypes in tumors and cell lines. Experimental inhibition of metabolic pathways in cell lines representing metabolic subtypes revealed subtype-specific sensitivity, therapeutically relevant drugs, and promising combination therapies. Taken together, metabolic stratification of breast cancers can thus aid in predicting patient outcome and designing precision therapies."
2023 Aug,Clinical & experimental metastasis,Clin Exp Metastasis. 2023 Aug;40(4):373. doi: 10.1007/s10585-023-10215-9.,"['Orbach, Sophia M', 'Brooks, Michael D', 'Zhang, Yining', 'Campit, Scott E', 'Bushnell, Grace G', 'Decker, Joseph T', 'Rebernick, Ryan J', 'Chandrasekaran, Sriram', 'Wicha, Max S', 'Jeruss, Jacqueline S', 'Shea, Lonnie D']",[],Correction: Single-cell RNA-sequencing identifies anti-cancer immune phenotypes in the early lung metastatic niche during breast cancer.,
2023 May 18,Genome medicine,Genome Med. 2023 May 18;15(1):38. doi: 10.1186/s13073-023-01190-7.,"['Assante, Gabriella', 'Chandrasekaran, Sriram', 'Ng, Stanley', 'Tourna, Aikaterini', 'Chung, Carolina H', 'Isse, Kowsar A', 'Banks, Jasmine L', 'Soffientini, Ugo', 'Filippi, Celine', 'Dhawan, Anil', 'Liu, Mo', 'Rozen, Steven G', 'Hoare, Matthew', 'Campbell, Peter', 'Ballard, J William O', 'Turner, Nigel', 'Morris, Margaret J', 'Chokshi, Shilpa', 'Youngson, Neil A']",[],Correction: Acetyl-CoA metabolism drives epigenome change and contributes to carcinogenesis risk in fatty liver disease.,
2023 Mar 13,NPJ breast cancer,NPJ Breast Cancer. 2023 Mar 13;9(1):11. doi: 10.1038/s41523-023-00516-3.,"['Yadav, Shivangi', 'Virk, Ranya', 'Chung, Carolina H', 'Eduardo, Mariana Bustamante', 'VanDerway, David', 'Chen, Duojiao', 'Burdett, Kirsten', 'Gao, Hongyu', 'Zeng, Zexian', 'Ranjan, Manish', 'Cottone, Gannon', 'Xuei, Xiaoling', 'Chandrasekaran, Sriram', 'Backman, Vadim', 'Chatterton, Robert', 'Khan, Seema Ahsan', 'Clare, Susan E']",[],Author Correction: Lipid exposure activates gene expression changes associated with estrogen receptor negative breast cancer.,
2022 Dec 20,mSystems,mSystems. 2022 Dec 20;7(6):e0092522. doi: 10.1128/msystems.00925-22. Epub 2022 ,"['Gupta, Vinod K', 'Bakshi, Utpal', 'Chang, Daniel', 'Lee, Aileen R', 'Davis, John M 3rd', 'Chandrasekaran, Sriram', 'Jin, Yong-Su', 'Freeman, Michael F', 'Sung, Jaeyun']","['humans', 'metagenome genetics', ' microbiota genetics', ' gastrointestinal microbiome genetics', 'computational biology', 'multigene family genetics', 'bacteriocin', 'biomarkers', 'biosynthetic gene cluster', 'metagenomics', 'microbiome', 'natural product', 'secondary metabolite']",TaxiBGC: a Taxonomy-Guided Approach for Profiling Experimentally Characterized Microbial Biosynthetic Gene Clusters and Secondary Metabolite Production Potential in Metagenomes.,"Biosynthetic gene clusters (BGCs) in microbial genomes encode bioactive secondary metabolites (SMs), which can play important roles in microbe-microbe and host-microbe interactions. Given the biological significance of SMs and the current profound interest in the metabolic functions of microbiomes, the unbiased identification of BGCs from high-throughput metagenomic data could offer novel insights into the complex chemical ecology of microbial communities. Currently available tools for predicting BGCs from shotgun metagenomes have several limitations, including the need for computationally demanding read assembly, predicting a narrow breadth of BGC classes, and not providing the SM product. To overcome these limitations, we developed taxonomy-guided identification of biosynthetic gene clusters (TaxiBGC), a command-line tool for predicting experimentally characterized BGCs (and inferring their known SMs) in metagenomes by first pinpointing the microbial species likely to harbor them. We benchmarked TaxiBGC on various simulated metagenomes, showing that our taxonomy-guided approach could predict BGCs with much-improved performance (mean F(1) score, 0.56; mean PPV score, 0.80) compared with directly identifying BGCs by mapping sequencing reads onto the BGC genes (mean F(1) score, 0.49; mean PPV score, 0.41). Next, by applying TaxiBGC on 2,650 metagenomes from the Human Microbiome Project and various case-control gut microbiome studies, we were able to associate BGCs (and their SMs) with different human body sites and with multiple diseases, including Crohn's disease and liver cirrhosis. In all, TaxiBGC provides an in silico platform to predict experimentally characterized BGCs and their SM production potential in metagenomic data while demonstrating important advantages over existing techniques. IMPORTANCE Currently available bioinformatics tools to identify BGCs from metagenomic sequencing data are limited in their predictive capability or ease of use to even computationally oriented researchers. We present an automated computational pipeline called TaxiBGC, which predicts experimentally characterized BGCs (and infers their known SMs) in shotgun metagenomes by first considering the microbial species source. Through rigorous benchmarking techniques on simulated metagenomes, we show that TaxiBGC provides a significant advantage over existing methods. When demonstrating TaxiBGC on thousands of human microbiome samples, we associate BGCs encoding bacteriocins with different human body sites and diseases, thereby elucidating a possible novel role of this antibiotic class in maintaining the stability of microbial ecosystems throughout the human body. Furthermore, we report for the first time gut microbial BGC associations shared among multiple pathologies. Ultimately, we expect our tool to facilitate future investigations into the chemical ecology of microbial communities across diverse niches and pathologies."
2022 Dec 16,STAR protocols,STAR Protoc. 2022 Oct 29;3(4):101799. doi: 10.1016/j.xpro.2022.101799. ,"['Smith, Kirk', 'Rhoads, Nicole', 'Chandrasekaran, Sriram']","[' metabolomics methods', ' escherichia coli genetics', 'metabolic networks and pathways genetics', 'genome', 'machine learning', 'bioinformatics', 'computer sciences', 'genomics', 'metabolism', 'metabolomics', 'microbiology', 'proteomics', 'systems biology']",Protocol for CAROM: A machine learning tool to predict post-translational regulation from metabolic signatures.,"This protocol describes CAROM, a computational tool that combines genome-scale metabolic networks (GEMs) and machine learning to identify enzyme targets of post-translational modifications (PTMs). Condition-specific enzyme and reaction properties are used to predict targets of phosphorylation and acetylation in multiple organisms. CAROM is influenced by the accuracy of GEMs and associated flux-balance analysis (FBA), which generate the inputs of the model. We demonstrate the protocol using multi-omics data from E. coli. For complete details on the use and execution of this protocol, please refer to Smith et al. (2022)."
2022 Jul,PNAS nexus,PNAS Nexus. 2022 Jul 22;1(3):pgac132. doi: 10.1093/pnasnexus/pgac132. eCollection ,"['Chung, Carolina H', 'Chandrasekaran, Sriram']","['antibiotic resistance', 'drug combinations', 'genome-scale metabolic modeling', 'heterogeneity', 'machine learning']",A flux-based machine learning model to simulate the impact of pathogen metabolic heterogeneity on drug interactions.,"Drug combinations are a promising strategy to counter antibiotic resistance. However, current experimental and computational approaches do not account for the entire complexity involved in combination therapy design, such as the effect of pathogen metabolic heterogeneity, changes in the growth environment, drug treatment order, and time interval. To address these limitations, we present a comprehensive approach that uses genome-scale metabolic modeling and machine learning to guide combination therapy design. Our mechanistic approach (a) accommodates diverse data types, (b) accounts for time- and order-specific interactions, and (c) accurately predicts drug interactions in various growth conditions and their robustness to pathogen metabolic heterogeneity. Our approach achieved high accuracy (area under the receiver operating curve (AUROC) = 0.83 for synergy, AUROC = 0.98 for antagonism) in predicting drug interactions for Escherichia coli cultured in 57 metabolic conditions based on experimental validation. The entropy in bacterial metabolic response was predictive of combination therapy outcomes across time scales and growth conditions. Simulation of metabolic heterogeneity using population FBA identified two subpopulations of E. coli cells defined by the levels of three proteins (eno, fadB, and fabD) in glycolysis and lipid metabolism that influence cell tolerance to a broad range of antibiotic combinations. Analysis of the vast landscape of condition-specific drug interactions revealed a set of 24 robustly synergistic drug combinations with potential for clinical use."
