time,journal,doi_info,authors,key words,title,abstract
2024 Jun,Neuromodulation : journal of the International Neuromodulation Society,Neuromodulation. 2024 Jun;27(4):681-689. doi: 10.1016/j.neurom.2024.02.004. Epub ,"['Bottorff, Elizabeth C', 'Gupta, Priyanka', 'Ippolito, Giulia M', 'Moore, Mackenzie B', 'Rodriguez, Gianna M', 'Bruns, Tim M']","['humans', 'female', ' spinal cord injuries physiopathology therapy', 'adult', ' cross-over studies', 'pilot projects', 'middle aged', 'sexual dysfunction, physiological therapy etiology physiopathology', 'young adult', 'sexual arousal', 'transcutaneous electric nerve stimulation methods', 'tibial nerve physiology', 'pudendal nerve physiology physiopathology', 'dorsal genital nerve', 'female sexual dysfunction', 'neuromodulation', 'spinal cord injury', 'tibial nerve']",Short-Term Dorsal Genital Nerve Stimulation Increases Subjective Arousal in Women With and Without Spinal Cord Injury: A Preliminary Investigation.,"OBJECTIVES: Female sexual dysfunction (FSD) affects an estimated 40% of women. Unfortunately, FSD is understudied, leading to limited treatment options for FSD. Neuromodulation has shown some success in alleviating FSD symptoms. We developed a pilot study to investigate the short-term effect of electrical stimulation of the dorsal genital nerve and tibial nerve on sexual arousal in healthy women, women with FSD, and women with spinal cord injury (S"
2024 Feb 1,Journal of neurophysiology,J Neurophysiol. 2024 Feb 1;131(2):261-277. doi: 10.1152/jn.00385.2023. Epub 2024 ,"['Madden, Lauren R', 'Graham, Robert D', 'Lempka, Scott F', 'Bruns, Tim M']","[' ganglia, spinal physiology', 'microelectrodes', 'action potentials physiology', ' sensory receptor cells', 'computer simulation', 'computational model', 'dorsal root ganglia', 'electrophysiology', 'extracellular recording', 'microelectrode']",Multiformity of extracellular microelectrode recordings from Aδ neurons in the dorsal root ganglia: a computational modeling study.,"Microelectrodes serve as a fundamental tool in electrophysiology research throughout the nervous system, providing a means of exploring neural function with a high resolution of neural firing information. We constructed a hybrid computational model using the finite element method and multicompartment cable models to explore factors that contribute to extracellular voltage waveforms that are produced by sensory pseudounipolar neurons, specifically smaller A-type neurons, and that are recorded by microelectrodes in dorsal root ganglia. The finite element method model included a dorsal root ganglion, surrounding tissues, and a planar microelectrode array. We built a multicompartment neuron model with multiple trajectories of the glomerular initial segment found in many A-type sensory neurons. Our model replicated both the somatic intracellular voltage profile of Aδ low-threshold mechanoreceptor neurons and the unique extracellular voltage waveform shapes that are observed in experimental settings. Results from this model indicated that tortuous glomerular initial segment geometries can introduce distinct multiphasic properties into a neuron's recorded waveform. Our model also demonstrated how recording location relative to specific microanatomical components of these neurons, and recording distance from these components, can contribute to additional changes in the multiphasic characteristics and peak-to-peak voltage amplitude of the waveform. This knowledge may provide context for research employing microelectrode recordings of pseudounipolar neurons in sensory ganglia, including functional mapping and closed-loop neuromodulation. Furthermore, our simulations gave insight into the neurophysiology of pseudounipolar neurons by demonstrating how the glomerular initial segment aids in increasing the resistance of the stem axon and mitigating rebounding somatic action potentials.NEW & NOTEWORTHY We built a computational model of sensory neurons in the dorsal root ganglia to investigate factors that influence the extracellular waveforms recorded by microelectrodes. Our model demonstrates how the unique structure of these neurons can lead to diverse and often multiphasic waveform profiles depending on the location of the recording contact relative to microanatomical neural components. Our model also provides insight into the neurophysiological function of axon glomeruli that are often present in these neurons."
2023 Dec 23,medRxiv : the preprint server for health sciences,medRxiv [Preprint]. 2023 Dec 23:2023.04.24.23288935. doi: ,"['Bottorff, Elizabeth C', 'Gupta, Priyanka', 'Ippolito, Giulia M', 'Moore, Mackenzie B', 'Rodriguez, Gianna M', 'Bruns, Tim M']","['dorsal genital nerve', 'female sexual dysfunction', 'neuromodulation', 'spinal cord injury', 'tibial nerve']",Acute dorsal genital nerve stimulation increases subjective arousal in women with and without spinal cord injury: a preliminary investigation.,"INTRODUCTION: Female sexual dysfunction (FSD) impacts an estimated 40% of women. Unfortunately, female sexual function is understudied, leading to limited treatment options for FSD. Neuromodulation has demonstrated some success in improving FSD symptoms. We developed a pilot study to investigate the short-term effect of electrical stimulation of the dorsal genital nerve and tibial nerve on sexual arousal in healthy women, women with FSD, and women with spinal cord injury (S"
2024 Feb,Neuromodulation : journal of the International Neuromodulation Society,Neuromodulation. 2024 Feb;27(2):343-352. doi: 10.1016/j.neurom.2022.11.008. Epub ,"['Zimmerman, Lauren L', 'Mentzelopoulos, Georgios', 'Parrish, Hannah', 'Marcu, Vlad I', 'Luma, Brandon D', 'Becker, Jill B', 'Bruns, Tim M']","['humans', 'male', 'female', 'rats', 'animals', ' transcutaneous electric nerve stimulation', 'sexual behavior', 'tibial nerve physiology', 'motivation', 'hormones', 'treatment outcome', 'electric stimulation', 'rats', 'sexual behavior', 'sexual dysfunction', 'tibial nerve']",Immediate and Long-Term Effects of Tibial Nerve Stimulation on the Sexual Behavior of Female Rats.,"OBJECTIVES: There are limited treatment options for female sexual dysfunction (FSD). Percutaneous tibial nerve stimulation (PTNS) has shown improvements in FSD symptoms in neuromodulation clinical studies, but the direct effects on sexual function are not understood. This study evaluated the immediate and long-term effects of PTNS on sexual motivation and receptivity in a rat model of menopausal women. Our primary hypothesis was that long-term PTNS would yield greater changes in sexual behavior than short-term stimulation. MATERIALS AND METHODS: In two experiments, after receiving treatment, we placed ovariectomized female rats in an operant chamber in which the female controls access to a male by nose poking. We used five treatment conditions, which were with or without PTNS and no, partial, or full hormone priming. In experiment 1, we rotated rats through each condition twice with behavioral testing immediately following treatment for ten weeks. In experiment 2, we committed rats to one condition for six weeks and tracked sexual behavior over time. We quantified sexual motivation and sexual receptivity with standard measures. RESULTS: No primary comparisons were significant in this study. In experiment 1, we observed increased sexual motivation but not receptivity immediately following PTNS with partial hormone priming, as compared with priming without PTNS (linear mixed effect models; initial latency [p = 0.34], inter-interval latency [p = 0.77], nose poke frequency [p = 0.084]; eight rats). In experiment 2, we observed trends of increased sexual receptivity (linear correlation for weekly group means; mounts [p = 0.094 for trendline], intromissions [p = 0.073], lordosis quotient [p = 0.58], percent time spent with a male [p = 0.39], decreased percent time alone [p = 0.024]; four rats per condition), and some sexual motivation metrics (linear correlation for weekly group means; nose pokes per interval [p = 0.050], nose poke frequency [p = 0.039], decreased initial latency [p = 0.11]; four rats per condition) when PTNS was applied long-term with partial hormone priming, as compared with hormone-primed rats without stimulation. CONCLUSIONS: PTNS combined with hormone priming shows potential for increasing sexual motivation in the short-term and sexual receptivity in the long-term in rats. Further studies are needed to examine variability in rat behavior and to investigate PTNS as a treatment for FSD in menopausal women."
2023 Jul,International urogynecology journal,Int Urogynecol J. 2023 Jul;34(7):1477-1486. doi: 10.1007/s00192-022-05389-x. Epub ,"['Bottorff, Elizabeth C', 'Bruns, Tim M']","['rats', 'female', 'animals', 'rats, sprague-dawley', ' rodentia', 'vulva', ' pudendal nerve physiology', 'tibial nerve', 'perfusion', 'blood flow', 'laser speckle imaging', 'neuromodulation', 'pudendal nerve', 'tibial nerve', 'vulva']","Pudendal, but not tibial, nerve stimulation modulates vulvar blood perfusion in anesthetized rodents.","INTRODUCTION AND HYPOTHESIS: Preclinical studies have shown that neuromodulation can increase vaginal blood perfusion, but the effect on vulvar blood perfusion is unknown. We hypothesized that pudendal and tibial nerve stimulation could evoke an increase in vulvar blood perfusion. METHODS: We used female Sprague-Dawley rats for non-survival procedures under urethane anesthesia. We measured perineal blood perfusion in response to 20-minute periods of pudendal and tibial nerve stimulation using laser speckle contrast imaging (LS"
2022 May,"Small (Weinheim an der Bergstrasse, Germany)",Small. 2022 May;18(21):e2200311. doi: 10.1002/smll.202200311. Epub 2022 May 1.,"['Yan, Dongxiao', 'Jiman, Ahmad A', 'Bottorff, Elizabeth C', 'Patel, Paras R', 'Meli, Dilara', 'Welle, Elissa J', 'Ratze, David C', 'Havton, Leif A', 'Chestek, Cynthia A', 'Kemp, Stephen W P', 'Bruns, Tim M', 'Yoon, Euisik', 'Seymour, John P']","['animals', ' axons', 'electric stimulation', 'electrodes, implanted', 'rats', ' sciatic nerve physiology', 'x-ray microtomography', 'bioelectronics', 'intrafascicular recordings', 'microelectrode arrays', 'microneedles', 'neural interfaces, peripheral nerves', 'tissue reactivity']","Ultraflexible and Stretchable Intrafascicular Peripheral Nerve Recording Device with Axon-Dimension, Cuff-Less Microneedle Electrode Array.","Peripheral nerve mapping tools with higher spatial resolution are needed to advance systems neuroscience, and potentially provide a closed-loop biomarker in neuromodulation applications. Two critical challenges of microscale neural interfaces are 1) how to apply them to small peripheral nerves, and 2) how to minimize chronic reactivity. A flexible microneedle nerve array (MINA) is developed, which is the first high-density penetrating electrode array made with axon-sized silicon microneedles embedded in low-modulus thin silicone. The design, fabrication, acute recording, and chronic reactivity to an implanted MINA, are presented. Distinctive units are identified in the rat peroneal nerve. The authors also demonstrate a long-term, cuff-free, and suture-free fixation manner using rose bengal as a light-activated adhesive for two time-points. The tissue response is investigated at 1-week and 6-week time-points, including two sham groups and two MINA-implanted groups. These conditions are quantified in the left vagus nerve of rats using histomorphometry. Micro computed tomography (micro-CT) is added to visualize and quantify tissue encapsulation around the implant. MINA demonstrates a reduction in encapsulation thickness over previously quantified interfascicular methods. Future challenges include techniques for precise insertion of the microneedle electrodes and demonstrating long-term recording."
2022 May,Medical & biological engineering & computing,Med Biol Eng Comput. 2022 May;60(5):1527-1540. doi: 10.1007/s11517-022-02554-8. ,"['Ouyang, Zhonghua', 'Barrera, Nikolas', 'Sperry, Zachariah J', 'Bottorff, Elizabeth C', 'Bittner, Katie C', 'Zirpel, Lance', 'Bruns, Tim M']","['animals', 'cats', ' electric stimulation therapy', 'feedback, sensory', ' ganglia, spinal physiology', 'humans', 'quality of life', 'urinary bladder physiology', 'bladder', 'cat', 'closed-loop', 'dorsal root ganglia', 'electrical stimulation']",Closed-loop sacral neuromodulation for bladder function using dorsal root ganglia sensory feedback in an anesthetized feline model.,"Overactive bladder patients suffer from a frequent, uncontrollable urge to urinate, which can lead to a poor quality of life. We aim to improve open-loop sacral neuromodulation therapy by developing a conditional stimulation paradigm using neural recordings from dorsal root ganglia (DRG) as sensory feedback. Experiments were performed in 5 anesthetized felines. We implemented a Kalman filter-based algorithm to estimate the bladder pressure in real-time using sacral-level DRG neural recordings and initiated sacral root electrical stimulation when the algorithm detected an increase in bladder pressure. Closed-loop neuromodulation was performed during continuous cystometry and compared to bladder fills with continuous and no stimulation. Overall, closed-loop stimulation increased bladder capacity by 13.8% over no stimulation (p < 0.001) and reduced stimulation time versus continuous stimulation by 57.7%. High-confidence bladder single units had a reduced sensitivity during stimulation, with lower linear trendline fits and higher pressure thresholds for firing observed during stimulation trials. This study demonstrates the utility of decoding bladder pressure from neural activity for closed-loop control of sacral neuromodulation. An underlying mechanism for sacral neuromodulation may be a reduction in bladder sensory neuron activity during stimulation. Real-time validation during behavioral studies is necessary prior to clinical translation of closed-loop sacral neuromodulation."
2022 Dec,International urogynecology journal,Int Urogynecol J. 2022 Dec;33(12):3543-3553. doi: 10.1007/s00192-022-05125-5. ,"['Xu, Jiajie Jessica', 'Zimmerman, Lauren L', 'Soriano, Vanessa H', 'Mentzelopoulos, Georgios', 'Kennedy, Eric', 'Bottorff, Elizabeth C', 'Stephan, Chris', 'Kozloff, Kenneth', 'Devlin, Maureen J', 'Bruns, Tim M']","['humans', 'rats', 'female', 'animals', ' bone density', 'rats, sprague-dawley', ' blood glucose', 'tibial nerve physiology', 'menopause', 'estrogens', 'body weight', 'estradiol', 'perfusion', 'ovariectomy adverse effects', 'bone mineral density', 'electrical stimulation', 'menopause', 'neuromodulation', 'tibial nerve', 'vaginal blood perfusion']",Tibial nerve stimulation increases vaginal blood perfusion and bone mineral density and yield load in ovariectomized rat menopause model.,"INTRODUCTION AND HYPOTHESIS: Human menopause transition and post-menopausal syndrome, driven by reduced ovarian activity and estrogen levels, are associated with an increased risk for symptoms including but not limited to sexual dysfunction, metabolic disease, and osteoporosis. Current treatments are limited in efficacy and may have adverse consequences, so investigation for additional treatment options is necessary. Previous studies have demonstrated that percutaneous tibial nerve stimulation (PTNS) and electro-acupuncture near the tibial nerve are minimally invasive treatments that increase vaginal blood perfusion or serum estrogen in the rat model. We hypothesized that PTNS would protect against harmful reproductive and systemic changes associated with menopause. METHODS: We examined the effects of twice-weekly PTNS (0.2 ms pulse width, 20 Hz, 2× motor threshold) under ketamine-xylazine anesthesia in ovariectomized (OVX) female Sprague-Dawley rats on menopause-associated physiological parameters including serum estradiol, body weight, blood glucose, bone health, and vaginal blood perfusion. Rats were split into three groups (n = 10 per group): (1) intact control (no stimulation), (2) OVX control (no stimulation), and (3) OVX stimulation (treatment group). RESULTS: PTNS did not affect serum estradiol levels, body weight, or blood glucose. PTNS transiently increased vaginal blood perfusion during stimulation for up to 5 weeks after OVX and increased areal bone mineral density and yield load of the right femur (side of stimulation) compared to the unstimulated OVX control. CONCLUSIONS: PTNS may ameliorate some symptoms associated with menopause. Additional studies to elucidate the full potential of PTNS on menopause-associated symptoms under different experimental conditions are warranted."
2021 Mar 18,Journal of neural engineering,J Neural Eng. 2021 Mar 18;18(4). doi: 10.1088/1741-2552/abe398.,"['Sperry, Zachariah J', 'Na, Kyounghwan', 'Jun, James', 'Madden, Lauren R', 'Socha, Alec', 'Yoon, Eusik', 'Seymour, John P', 'Bruns, Tim M']","['animals', 'cats', 'electric stimulation', ' ganglia, spinal', 'microelectrodes', ' pudendal nerve', 'urinary bladder', 'drg', 'dorsal root ganglia', 'microelectrode', 'polyimide', 'spike sorting']",High-density neural recordings from feline sacral dorsal root ganglia with thin-film array.,"Objective. Dorsal root ganglia (DRG) are promising sites for recording sensory activity. Current technologies for DRG recording are stiff and typically do not have sufficient site density for high-fidelity neural data techniques.Approach. In acute experiments, we demonstrate single-unit neural recordings in sacral DRG of anesthetized felines using a 4.5µm thick, high-density flexible polyimide microelectrode array with 60 sites and 30-40µm site spacing. We delivered arrays into DRG with ultrananocrystalline diamond shuttles designed for high stiffness affording a smaller footprint. We recorded neural activity during sensory activation, including cutaneous brushing and bladder filling, as well as during electrical stimulation of the pudendal nerve and anal sphincter. We used specialized neural signal analysis software to sort densely packed neural signals.Main results. We successfully delivered arrays in five of six experiments and recorded single-unit sensory activity in four experiments. The median neural signal amplitude was 55μV peak-to-peak and the maximum unique units recorded at one array position was 260, with 157 driven by sensory or electrical stimulation. In one experiment, we used the neural analysis software to track eight sorted single units as the array was retracted ∼500μm.Significance. This study is the first demonstration of ultrathin, flexible, high-density electronics delivered into DRG, with capabilities for recording and tracking sensory information that are a significant improvement over conventional DRG interfaces."
2021 Feb 19,Journal of neural engineering,J Neural Eng. 2021 Feb 19;18(1). doi: 10.1088/1741-2552/abcb14.,"['Lubba, Carl H', 'Ouyang, Zhonghua', 'Jones, Nick S', 'Bruns, Tim M', 'Schultz, Simon R']","['aged', 'ganglia, spinal physiology', 'humans', 'reproducibility of results', 'sensory receptor cells', ' spinal cord injuries', ' urinary bladder innervation', 'bioelectronic medicines', 'bladder', 'closed-loop', 'decoding', 'dorsal root ganglia', 'encoding', 'neuromodulation']",Bladder pressure encoding by sacral dorsal root ganglion fibres: implications for decoding.,"Objective.We aim at characterising the encoding of bladder pressure (intravesical pressure) by a population of sensory fibres. This research is motivated by the possibility to restore bladder function in elderly patients or after spinal cord injury using implanted devices, so called bioelectronic medicines. For these devices, nerve-based estimation of intravesical pressure can enable a personalized and on-demand stimulation paradigm, which has promise of being more effective and efficient. In this context, a better understanding of the encoding strategies employed by the body might in the future be exploited by informed decoding algorithms that enable a precise and robust bladder-pressure estimation.Approach.To this end, we apply information theory to microelectrode-array recordings from the cat sacral dorsal root ganglion while filling the bladder, conduct surrogate data studies to augment the data we have, and finally decode pressure in a simple informed approach.Main results.We find an encoding scheme by different main bladder neuron types that we divide into three response types (slow tonic, phasic, and derivative fibres). We show that an encoding by different bladder neuron types, each represented by multiple cells, offers reliability through within-type redundancy and high information rates through semi-independence of different types. Our subsequent decoding study shows a more robust decoding from mean responses of homogeneous cell pools.Significance.We have here, for the first time, established a link between an information theoretic analysis of the encoding of intravesical pressure by a population of sensory neurons to an informed decoding paradigm. We show that even a simple adapted decoder can exploit the redundancy in the population to be more robust against cell loss. This work thus paves the way towards principled encoding studies in the periphery and towards a new generation of informed peripheral nerve decoders for bioelectronic medicines."
