time,journal,doi_info,authors,key words,title,abstract
2024 Aug,Ultrasound in medicine & biology,Ultrasound Med Biol. 2024 Aug;50(8):1155-1166. doi: ,"['Choi, Sang Won', 'Komaiha, Mahmoud', 'Choi, Dave', 'Lu, Ning', 'Gerhardson, Tyler I', 'Fox, Adam', 'Chaudhary, Neeraj', 'Camelo-Piragua, Sandra', 'Hall, Timothy L', 'Pandey, Aditya S', 'Xu, Zhen', 'Sukovich, Jonathan R']","['humans', ' neuronavigation methods', ' cadaver', 'brain diagnostic imaging surgery', 'equipment design', 'high-intensity focused ultrasound ablation methods', 'brain', 'histotripsy', 'neuronavigation guidance', 'transcranial']",Neuronavigation-Guided Transcranial Histotripsy (NaviTH) System.,"OBJECTIVE: The goal of the work described here was to develop the first neuronavigation-guided transcranial histotripsy (NaviTH) system and associated workflow for transcranial ablation. METHODS: The NaviTH system consists of a 360-element, 700 kHz transmitter-receiver-capable transcranial histotripsy array, a clinical neuronavigation system and associated equipment for patient-to-array co-registration and therapy planning and targeting software systems. A workflow for NaviTH treatments, including pre-treatment aberration correction, was developed. Targeting errors stemming from target registration errors (TREs) during the patient-to-array co-registration process, as well as focal shifts caused by skull-induced aberrations, were investigated and characterized. The NaviTH system was used in treatments of two <96 h post-mortem human cadavers and in experiments in two excised human skullcaps. RESULTS: The NaviTH was successfully used to create ablations in the cadaver brains as confirmed in post-treatment magnetic resonance imaging A total of three ablations were created in the cadaver brains, and targeting errors of 9, 3.4 and 4.4 mm were observed in corpus callosum, septum and thalamus targets, respectively. Errors were found to be caused primarily by TREs resulting from transducer tracking instrument design flaws and imperfections in the treatment workflow. Transducer tracking instrument design and workflow improvements reduced TREs to <2 mm, and skull-induced focal shifts, following pre-treatment aberration correction, were 0.3 mm. Total targeting errors of the NaviTH system following the noted improvements were 2.5 mm. CONCLUSIONS: The feasibility of using the first NaviTH system in a human cadaver model has been determined. Although accuracy still needs to be improved, the proposed system has the potential to allow for transcranial histotripsy therapies without requiring active magnetic resonance treatment guidance."
2024 Feb 12,Annual review of biomedical engineering,Annu Rev Biomed Eng. 2024 Feb 12. doi: 10.1146/annurev-bioeng-073123-022334.,"['Xu, Zhen', 'Khokhlova, Tatiana D', 'Cho, Clifford S', 'Khokhlova, Vera A']",[],Histotripsy: A Method for Mechanical Tissue Ablation with Ultrasound.,"Histotripsy is a relatively new therapeutic ultrasound technology to mechanically liquefy tissue into subcellular debris using high-amplitude focused ultrasound pulses. In contrast to conventional high-intensity focused ultrasound thermal therapy, histotripsy has specific clinical advantages: the capacity for real-time monitoring using ultrasound imaging, diminished heat sink effects resulting in lesions with sharp margins, effective removal of the treated tissue, a tissue-selective feature to preserve crucial structures, and immunostimulation. The technology is being evaluated in small and large animal models for treating cancer, thrombosis, hematomas, abscesses, and biofilms; enhancing tumor-specific immune response; and neurological applications. Histotripsy has been recently approved by the US Food and Drug Administration to treat liver tumors, with clinical trials undertaken for benign prostatic hyperplasia and renal tumors. This review outlines the physical principles of various types of histotripsy; presents major parameters of the technology and corresponding hardware and software, imaging methods, and bioeffects; and discusses the most promising preclinical and clinical applications. Expected final online publication date for the Annual Review of Biomedical Engineering, Volume 26 is May 2024. Please see http://www.annualreviews.org/page/journal/pubdates for revised estimates."
2024 May,Ultrasound in medicine & biology,Ultrasound Med Biol. 2024 May;50(5):639-646. doi: ,"['Duclos, Sarah', 'Choi, Sang Won', 'Andjelkovic, Anuska V', 'Chaudhary, Neeraj', 'Camelo-Piragua, Sandra', 'Pandey, Aditya', 'Xu, Zhen']","['mice', 'female', 'animals', ' blood-brain barrier diagnostic imaging metabolism', 'brain diagnostic imaging', 'liver surgery', ' high-intensity focused ultrasound ablation methods', 'skull', 'blood–brain barrier', 'claudin-5', 'gadolinium', 'histology', 'histotripsy', 'magnetic resonance imaging', 'tight junction protein', 'transcranial', 'zo-1']",Characterization of Blood-Brain Barrier Opening Induced by Transcranial Histotripsy in Murine Brains.,"OBJECTIVE: Transcranial histotripsy has shown promise as a non-invasive neurosurgical tool, as it has the ability to treat a wide range of locations in the brain without overheating the skull. One important effect of histotripsy in the brain is the blood-brain barrier (BBB) opening (BBBO) at the ablation site, but there is a knowledge gap concerning the extent of histotripsy-induced BBBO. Here we describe induction of BBBO by transcranial histotripsy and use of magnetic resonance imaging (MRI) and histology to quantify changes in BBBO at the periphery of the histotripsy ablation zone over time in the healthy mouse brain. METHODS: An eight-element, 1 MHz histotripsy transducer with a focal distance of 32.5 mm was used to treat the brains of 23 healthy female BL6 mice. T1-gadolinium (T1-Gd) MR images were acquired immediately following histotripsy treatment and during each of the subsequent 4 wk to quantify the size and intensity of BBB leakage. RESULTS: The T1-Gd MRI results revealed that the hyperintense BBBO volume increased over the first week and subsided gradually over the following 3 wk. Histology revealed complete loss of tight junction proteins and blood vessels in the center of the ablation region immediately after histotripsy, partial recovery in the periphery of the ablation zone 1 wk following histotripsy and near-complete recovery of tight junction complex after 4 wk. CONCLUSION: These results provide the first evidence of transcranial histotripsy-induced BBBO and repair at the periphery of the ablation zone."
2024,International journal of hyperthermia : the official journal of European Society ,Int J Hyperthermia. 2024;41(1):2297650. doi: 10.1080/02656736.2023.2297650. Epub ,"['Worlikar, Tejaswi', 'Hall, Timothy', 'Zhang, Man', 'Mendiratta-Lala, Mishal', 'Green, Michael', 'Cho, Clifford S', 'Xu, Zhen']","['animals', 'infant, newborn', 'humans', ' high-intensity focused ultrasound ablation methods', ' liver neoplasms', 'models, animal', ' kidney neoplasms', 'research design', 'histotripsy', 'boiling histotripsy', 'cancer', 'immune effects', 'in\xa0vivo', 'preclinical']",Insights from in vivo preclinical cancer studies with histotripsy.,"Histotripsy is the first noninvasive, non-ionizing, and non-thermal ablation technique that mechanically fractionates target tissue into acellular homogenate via controlled acoustic cavitation. Histotripsy has been evaluated for various preclinical applications requiring noninvasive tissue removal including cancer, brain surgery, blood clot and hematoma liquefaction, and correction of neonatal congenital heart defects. Promising preclinical results including local tumor suppression, improved survival outcomes, local and systemic anti-tumor immune responses, and histotripsy-induced abscopal effects have been reported in various animal tumor models. Histotripsy is also being investigated in veterinary patients with spontaneously arising tumors. Research is underway to combine histotripsy with immunotherapy and chemotherapy to improve therapeutic outcomes. In addition to preclinical cancer research, human clinical trials are ongoing for the treatment of liver tumors and renal tumors. Histotripsy has been recently approved by the FDA for noninvasive treatment of liver tumors. This review highlights key learnings from in vivo shock-scattering histotripsy, intrinsic threshold histotripsy, and boiling histotripsy cancer studies treating cancers of different anatomic locations and discusses the major considerations in planning in vivo histotripsy studies regarding instrumentation, tumor model, study design, treatment dose, and post-treatment tumor monitoring."
2024 Feb,Journal of thrombosis and haemostasis : JTH,J Thromb Haemost. 2024 Feb;22(2):558-564. doi: 10.1016/j.jtha.2023.10.013. Epub ,"['Xu, Zhen', 'Jobe, Shawn M', 'Ma, Yan-Qing', 'Shavit, Jordan A']","['animals', 'child, preschool', 'female', 'humans', 'mice', 'cell adhesion genetics', 'cytoskeletal proteins metabolism', ' ferm domains', ' leukocyte-adhesion deficiency syndrome genetics', 'leukocytes metabolism', 'mutation', ' platelet glycoprotein gpiib-iiia complex metabolism', 'blood platelets', 'genetic diseases (inborn)', 'hemostasis', 'leukocytes', 'thrombasthenia']",A novel leukocyte adhesion deficiency type III mutation manifests functional importance of the compact FERM domain in kindlin-3.,"BACKGROUND: Leukocyte adhesion deficiency III (LAD-III) is a rare autosomal recessive syndrome characterized by functional deficiencies of platelets and leukocytes that occurs due to mutations in the FERMT3 gene encoding kindlin-3. Kindlin-3 is a FERM domain-containing adaptor protein that is essential in integrin activation. We have previously demonstrated that the FERM domain of kindlin-3 is structurally compact and plays an important role in supporting integrin activation in a mouse model. The impact of destabilizing the compact FERM domain in kindlin-3 on the development of LAD-III in humans remains uncertain. OBJECTIVES: To use primary cells from a patient with LAD-III to validate the role of the compact FERM domain in kindlin-3 function in platelets and leukocytes. METHODS: The patient is a 4-year-old girl who since infancy has displayed clinical features of LAD-III. Patient platelets and leukocytes were functionally analyzed, and structural analysis of the kindlin-3 variant was conducted. RESULTS: We identified a novel homozygous missense mutation in the FERMT3 (c.412G>A, p.E138K) FERM domain. Substantially reduced levels of kindlin-3 were detected in the proband's platelets and leukocytes. Functional evaluation verified that integrin αIIbβ3-mediated platelet activation, spreading, and aggregation and β2-integrin-mediated neutrophil adhesion and spreading were significantly compromised. Structural analysis revealed that this newly identified E138K substitution in kindlin-3 destabilizes the compacted FERM domain, resulting in poor expression of kindlin-3 in blood cells and subsequent LAD-III. CONCLUSION: We have identified a novel missense mutation and verified the functional significance of the compact kindlin-3 FERM domain in supporting integrin functions in platelets and leukocytes."
2023,Translational gastroenterology and hepatology,Transl Gastroenterol Hepatol. 2023 Jun 27;8:29. doi: 10.21037/tgh-23-11. ,"['Sankar, Kamya', 'Pearson, Ashley N', 'Worlikar, Tejaswi', 'Perricone, Matthew D', 'Holcomb, Erin A', 'Mendiratta-Lala, Mishal', 'Xu, Zhen', 'Bhowmick, Neil', 'Green, Michael D']","['hepatocellular carcinoma (hcc)', 'immunotherapy in liver cancer', 'liver metastases', 'tumor immune microenvironment']",Impact of immune tolerance mechanisms on the efficacy of immunotherapy in primary and secondary liver cancers.,The liver is a functionally unique organ with an immunosuppressive microenvironment. The liver is the sixth most common site of primary cancer in humans and is a frequent site of metastasis from other solid tumors. The development of effective therapies for primary and metastatic liver cancer has been challenging due to the complex metabolic and immune microenvironment of the liver. The liver tumor microenvironment (TME) in primary and secondary (metastatic) liver cancers is heterogenous and consists of unique immune and stromal cell populations. Crosstalk between these cell populations and tumor cells creates an immunosuppressive microenvironment within the liver which potentiates cancer progression. Immune checkpoint inhibitors (I
2023,International journal of hyperthermia : the official journal of European Society ,Int J Hyperthermia. 2023;40(1):2237218. doi: 10.1080/02656736.2023.2237218.,"['Duclos, Sarah', 'Golin, Andrew', 'Fox, Adam', 'Chaudhary, Neeraj', 'Camelo-Piragua, Sandra', 'Pandey, Aditya', 'Xu, Zhen']","['animals', 'mice', ' high-intensity focused ultrasound ablation methods', 'mice, inbred c57bl', ' brain neoplasms diagnostic imaging therapy', 'cell line', 'brain', 'focused ultrasound', 'brain', 'glioblastoma', 'histotripsy', 'lung metastasis']",Transcranial histotripsy parameter study in primary and metastatic murine brain tumor models.,"OBJECTIVE: This study investigated the effect of various histotripsy dosages on tumor cell kill and associated bleeding in two murine brain tumor models (glioma [Gl261] and lung metastasis [LL/2-Luc2]). METHODS AND MATERIALS: GL261 or LL/2-Luc2 cells were cultured and implanted into the brains of C57BL/6 mice. Histotripsy (1-cycle pulses, 5 Hz PRF, 30 MPa-P) was performed using a 1 MHz transducer for five different dosages for each cell line: 5, 20 or 200 pulses per location (PPL) at a single treatment point, or 5 or 10-20 PPL at multiple treatment points. MRI, bioluminescence imaging and histology were used to assess tumor ablation and treatment effects within 4-6 h post-treatment. RESULTS: All treatment groups resulted in a reduction of BLI intensity for the LL/2-Luc2 tumors, with significant signal reductions for the multi-point groups. The average pre-/post-treatment BLI flux (photons/s, ×10(8)) for the different treatment groups were: 4.39/2.19 (5 PPL single-point), 5.49/1.80 (20 PPL single-point), 3.86/1.73 (200 PPL single-point), 2.44/1.11 (5 PPL multi-point) and 5.85/0.80 (10 PPL multi-point). MRI and H&E staining showed increased tumor damage and hemorrhagic effects with increasing histotripsy dose for both GL261 and LL/2-Luc2 tumors, but the increase in tumor damage was diminished beyond 10-20 PPL for single-point treatments and outweighed by increased hemorrhage. In general, hemorrhage was confined to be within 1 mm of the treatment boundary for all groups. CONCLUSIONS: Our results suggest that a lower number of histotripsy pulses at fewer focal locations can achieve substantial tumor kill while minimizing hemorrhage."
2023 Nov,Journal of vascular and interventional radiology : JVIR,J Vasc Interv Radiol. 2023 Nov;34(11):1986-1996. doi: 10.1016/j.jvir.2023.07.014. ,"['Couillard, Allison B', 'Zlevor, Annie M', 'Ziemlewicz, Timothy J', 'Kisting, Meridith A', 'Knott, Emily', 'Rossebo, Annika E', 'White, Jim', 'Lubner, Meghan G', 'Gettle, Lori Mankowski', 'Hinshaw, J Louis', 'Mao, Lu', 'Stoffregen, William', 'Swietlik, John F', 'Knavel-Koepsel, Erica', 'Stratchko, Lindsay', 'Abel, E Jason', 'Xu, Zhen', 'Lee, Fred T Jr', 'Laeseke, Paul F']","['humans', 'swine', 'female', 'animals', ' cryosurgery adverse effects methods', 'kidney pathology', ' kidney neoplasms pathology', 'tomography, x-ray computed', 'gastrointestinal hemorrhage etiology', 'treatment outcome']",A Comparison of Histotripsy and Percutaneous Cryoablation in a Chronic Healthy Swine Kidney Model.,"PURPOSE: To compare the safety and efficacy of histotripsy with cryoablation in a chronic human-scale normal porcine kidney model. MATERIALS AND METHODS: Eighteen female domestic swine were divided evenly into histotripsy and cryoablation treatment arms. A planned 2-3 cm diameter treatment was performed under ultrasound (histotripsy) or ultrasound and computed tomography (CT) guidance (cryoablation). Contrast-enhanced CT and serum blood analysis were performed immediately postprocedure and on day 7, with either immediate killing (n = 3) or continued survival to day 30 (n = 6), at which time contrast-enhanced CT, serum blood analysis, and necropsy were performed. Animal welfare, treatment zone appearance, procedure-related adverse events, and histopathology of the treatment zones and surrounding tissues were assessed. RESULTS: Histotripsy treatment zones (mean ±standard deviation diameters, 2.7 ± 0.12 × 2.4 ± 0.19 × 2.4 ± 0.26 cm; volume, 8.3 ± 1.9 cm(3)) were larger than cryoablation zones (mean diameters, 2.2 ± 0.19 × 1.9 ± 0.13 × 1.7 ± 0.19 cm; volume, 3.9 ± 0.8 cm(3); P < .001). At 30 days, histotripsy and cryoablation treatment zone volumes decreased by 96% and 83% on CT, respectively (P < .001). Perirenal hematomas were present after 8 of 9 (89%) cryoablation (mean volume, 22.2 cm(3)) and 1 of 9 (11%, P < .001) histotripsy (volume, 0.4 cm(3)) procedures, with active arterial extravasation in 4 of 9 (44%) cryoablation and no histotripsy animals (P = .206). All 9 histotripsy animals and 5 of 9 (56%) cryoablation animals had collecting system debris (P = .042). Changes in serum creatinine were similar between the groups (P = .321). CONCLUSIONS: Other than a higher rate of bleeding after cryoablation, the safety and early efficacy of histotripsy and cryoablation were comparable for creating treatment zones in a chronic normal porcine kidney model."
2023 Aug,Ultrasound in medicine & biology,Ultrasound Med Biol. 2023 Aug;49(8):1882-1891. doi: ,"['Choi, Sang Won', 'Duclos, Sarah', 'Camelo-Piragua, Sandra', 'Chaudhary, Neeraj', 'Sukovich, Jonathan', 'Hall, Timothy', 'Pandey, Aditya', 'Xu, Zhen']","['mice', 'animals', 'hemosiderin', 'magnetic resonance imaging methods', ' glioma diagnostic imaging therapy', ' brain neoplasms diagnostic imaging therapy', 'brain diagnostic imaging', 'histology', 'histotripsy', 'magnetic resonance imaging', 'mouse', 'transcranial']",Histotripsy Treatment of Murine Brain and Glioma: Temporal Profile of Magnetic Resonance Imaging and Histological Characteristics Post-treatment.,"OBJECTIVE: Currently, there is a knowledge gap in our understanding of the magnetic resonance imaging (MRI) characteristics of brain tumors treated with histotripsy to evaluate treatment response as well as treatment-related injuries. Our aim was to bridge this gap by investigating and correlating MRI with histological analysis after histotripsy treatment of mouse brain with and without brain tumors and evaluating the evolution of the histotripsy ablation zone on MRI over time. METHODS: An eight-element, 1 MHz histotripsy transducer with a focal distance of 32.5 mm was used to treat orthotopic glioma-bearing mice and normal mice. The tumor burden at the time of treatment was ∼5 mm(3). T2, T2*, T1 and T1-gadolinium (Gd) MR images and histology of the brain were acquired on days 0, 2 and 7 for tumor-bearing mice and days 0, 2, 7, 14, 21 and 28 post-histotripsy for normal mice. RESULTS: T2 and T2* sequences most accurately correlated with histotripsy treatment zone. The treatment-induced blood products, T1 along with T2, revealed blood product evolution from oxygenated, de-oxygenated blood and methemoglobin to hemosiderin. And T1-Gd revealed the state of the blood-brain barrier arising from the tumor or histotripsy ablation. Histotripsy leads to minor localized bleeding, which resolves within the first 7 d as evident on hematoxylin and eosin staining. By day 14, the ablation zone could be distinguished only by the macrophage-laden hemosiderin, which resides around the ablation zone, rendering the treated zone hypo-intense on all MR sequences. CONCLUSION: These results provide a library of radiological features on MRI sequences correlated to histology, thus allowing for non-invasive evaluation of histotripsy treatment effects in in vivo experiments."
2023,"Research (Washington, D.C.)",Research (Wash D C). 2023;6:0048. doi: 10.34133/research.0048. Epub 2023 Feb 9.,"['Zhang, Bohua', 'Wu, Huaiyu', 'Kim, Howuk', 'Welch, Phoebe J', 'Cornett, Ashley', 'Stocker, Greyson', 'Nogueira, Raul G', 'Kim, Jinwook', 'Owens, Gabe', 'Dayton, Paul A', 'Xu, Zhen', 'Shi, Chengzhi', 'Jiang, Xiaoning']",[],A Model of High-Speed Endovascular Sonothrombolysis with Vortex Ultrasound-Induced Shear Stress to Treat Cerebral Venous Sinus Thrombosis.,"This research aims to demonstrate a novel vortex ultrasound enabled endovascular thrombolysis method designed for treating cerebral venous sinus thrombosis (CVST). This is a topic of substantial importance since current treatment modalities for CVST still fail in as many as 20% to 40% of the cases, and the incidence of CVST has increased since the outbreak of the coronavirus disease 2019 pandemic. Compared with conventional anticoagulant or thrombolytic drugs, sonothrombolysis has the potential to remarkably shorten the required treatment time owing to the direct clot targeting with acoustic waves. However, previously reported strategies for sonothrombolysis have not demonstrated clinically meaningful outcomes (e.g., recanalization within 30 min) in treating large, completely occluded veins or arteries. Here, we demonstrated a new vortex ultrasound technique for endovascular sonothrombolysis utilizing wave-matter interaction-induced shear stress to enhance the lytic rate substantially. Our in vitro experiment showed that the lytic rate was increased by at least 64.3% compared with the nonvortex endovascular ultrasound treatment. A 3.1-g, 7.5-cm-long, completely occluded in vitro 3-dimensional model of acute CVST was fully recanalized within 8 min with a record-high lytic rate of 237.5 mg/min for acute bovine clot in vitro. Furthermore, we confirmed that the vortex ultrasound causes no vessel wall damage over ex vivo canine veins. This vortex ultrasound thrombolysis technique potentially presents a new life-saving tool for severe CVST cases that cannot be efficaciously treated using existing therapies."
