time,journal,doi_info,authors,key words,title,abstract
2024,Frontiers in human neuroscience,Front Hum Neurosci. 2024 May 22;18:1316117. doi: 10.3389/fnhum.2024.1316117. ,"['Malik, Myrah Anum', 'Weber, Alexander Mark', 'Lang, Donna', 'Vanderwal, Tamara', 'Zwicker, Jill G']","['co-op', 'mri', 'brain structure', 'children', 'developmental coordinator disorder', 'motor skills disorder', 'rehabilitation', 'voxel-based morphometry']",Changes in cortical grey matter volume with Cognitive Orientation to daily Occupational Performance intervention in children with developmental coordination disorder.,"INTRODUCTION: Cognitive Orientation to daily Occupational Performance (CO-OP) is a cognitive-based, task-specific intervention recommended for children with developmental coordination disorder (DCD). We recently showed structural and functional brain changes after CO-OP, including increased cerebellar grey matter. This study aimed to determine whether CO-OP intervention induced changes in cortical grey matter volume in children with DCD, and if these changes were associated with improvements in motor performance and movement quality. METHODS: This study is part of a randomized waitlist-control trial (ClinicalTrials.gov ID: NCT02597751). Children with DCD (N = 78) were randomized to either a treatment or waitlist group and underwent three MRIs over 6 months. The treatment group received intervention (once weekly for 10 weeks) between the first and second scan; the waitlist group received intervention between the second and third scan. Cortical grey matter volume was measured using voxel-based morphometry (VBM). Behavioral outcome measures included the Performance Quality Rating Scale (PQRS) and Bruininks-Oseretsky Test of Motor Proficiency-2 (BOT-2). Of the 78 children, 58 were excluded (mostly due to insufficient data quality), leaving a final N = 20 for analyses. Due to the small sample size, we combined both groups to examine treatment effects. Cortical grey matter volume differences were assessed using a repeated measures ANOVA, controlling for total intracranial volume. Regression analyses examined the relationship of grey matter volume changes to BOT-2 (motor performance) and PQRS (movement quality). RESULTS: After CO-OP, children had significantly decreased grey matter in the right superior frontal gyrus and middle/posterior cingulate gyri. We found no significant associations of grey matter volume changes with PQRS or BOT-2 scores. CONCLUSION: Decreased cortical grey matter volume generally reflects greater brain maturity. Decreases in grey matter volume after CO-OP intervention were in regions associated with self-regulation and motor control, consistent with our other studies. Decreased grey matter volume may be due to focal increases in synaptic pruning, perhaps as a result of strengthening networks in the brain via the repeated learning and actions in therapy. Findings from this study add to the growing body of literature demonstrating positive neuroplastic changes in the brain after CO-OP intervention."
2024,Frontiers in human neuroscience,Front Hum Neurosci. 2024 May 17;18:1276057. doi: 10.3389/fnhum.2024.1276057. ,"['Malik, Myrah', 'Weber, Alexander', 'Lang, Donna', 'Vanderwal, Tamara', 'Zwicker, Jill G']","['mri', 'brain structure', 'children', 'developmental coordinator disorder', 'grey matter', 'motor skills disorder', 'voxel-based morphometry']",Cortical grey matter volume differences in children with developmental coordination disorder compared to typically developing children.,"INTRODUCTION: The cause of Developmental Coordination Disorder (DCD) is unknown, but neuroimaging evidence suggests that DCD may be related to altered brain development. Children with DCD show less structural and functional connectivity compared to typically developing (TD) children, but few studies have examined cortical volume in children with DCD. The purpose of this study was to investigate cortical grey matter volume using voxel-based morphometry (VBM) in children with DCD compared to TD children. METHODS: This cross-sectional study was part of a larger randomized-controlled trial (ClinicalTrials.gov ID: NCT02597751) that involved various MRI scans of children with/without DCD. This paper focuses on the anatomical scans, performing VBM of cortical grey matter volume in 30 children with DCD and 12 TD children. Preprocessing and VBM data analysis were conducted using the Computational Anatomy Tool Box-12 and a study-specific brain template. Differences between DCD and TD groups were assessed using a one-way ANOVA, controlling for total intracranial volume. Regression analyses examined if motor and/or attentional difficulties predicted grey matter volume. We used threshold-free cluster enhancement (5,000 permutations) and set an alpha level of 0.05. Due to the small sample size, we did not correct for multiple comparisons. RESULTS: Compared to the TD group, children with DCD had significantly greater grey matter in the left superior frontal gyrus. Lower motor scores (meaning greater impairment) were related to greater grey matter volume in left superior frontal gyrus, frontal pole, and right middle frontal gyrus. Greater grey matter volume was also significantly correlated with higher scores on the Conners 3 ADHD Index in the left superior frontal gyrus, superior parietal lobe, and precuneus. These results indicate that greater grey matter volume in these regions is associated with poorer motor and attentional skills. DISCUSSION: Greater grey matter volume in the left superior frontal gyrus in children with DCD may be a result of delayed or absent healthy cortical thinning, potentially due to altered synaptic pruning as seen in other neurodevelopmental disorders. These findings provide further support for the hypothesis that DCD is related to altered brain development."
2024 Spring,Topics in spinal cord injury rehabilitation,Top Spinal Cord Inj Rehabil. 2024 Spring;30(2):78-95. doi: 10.46292/sci23-00068. ,"['Weber, Alexander Mark', 'Nightingale, Tom E', 'Jarrett, Michael', 'Lee, Amanda H X', 'Campbell, Olivia Lauren', 'Walter, Matthias', 'Lucas, Samuel J E', 'Phillips, Aaron', 'Rauscher, Alexander', 'Krassioukov, Andrei V']","['humans', ' spinal cord injuries physiopathology complications', 'male', 'adult', 'female', ' magnetic resonance imaging', 'middle aged', ' cerebrovascular circulation physiology', 'gray matter diagnostic imaging physiopathology', 'brain stem physiopathology diagnostic imaging', 'blood pressure', 'functional magnetic resonance imaging', 'spinal cord injuries', 'steady state cerebrovascular reactivity', 'tau']",Cerebrovascular Reactivity Following Spinal Cord Injury.,BACKGROUND: Spinal cord injuries (S
2022 Dec 1,NeuroImage,Neuroimage. 2022 Dec 1;264:119702. doi: 10.1016/j.neuroimage.2022.119702. Epub ,"['Bartels, Lara M', 'Doucette, Jonathan', 'Birkl, Christoph', 'Zhang, Yuting', 'Weber, Alexander M', 'Rauscher, Alexander']","['infant, newborn', 'humans', ' diffusion tensor imaging methods', 'image processing, computer-assisted methods', 'brain diagnostic imaging', ' white matter diagnostic imaging', 'myelin sheath', 'water', 'anisotropy', 'dipole- dipole interaction', 'fiber orientation', 'neonates', 't(2) anisotropy', 'white matter microstructure']",Orientation dependence of R(2) relaxation in the newborn brain.,"In MRI the transverse relaxation rate, R(2) = 1/T(2)(,) shows dependence on the orientation of ordered tissue relative to the main magnetic field. In previous studies, orientation effects of R(2) relaxation in the mature brain's white matter have been found to be described by a susceptibility-based model of diffusion through local magnetic field inhomogeneities created by the diamagnetic myelin sheaths. Orientation effects in human newborn white matter have not yet been investigated. The newborn brain is known to contain very little myelin and is therefore expected to exhibit a decrease in orientation dependence driven by susceptibility-based effects. We measured R(2) orientation dependence in the white matter of human newborns. R(2) data were acquired with a 3D Gradient and Spin Echo (GRASE) sequence and fiber orientation was mapped with diffusion tensor imaging (DTI). We found orientation dependence in newborn white matter that is not consistent with the susceptibility-based model and is best described by a model of residual dipolar coupling. In the near absence of myelin in the newborn brain, these findings suggest the presence of residual dipolar coupling between rotationally restricted water molecules. This has important implications for quantitative imaging methods such as myelin water imaging, and suggests orientation dependence of R(2) as a potential marker in early brain development."
2023 Jun,Journal of magnetic resonance imaging : JMRI,J Magn Reson Imaging. 2023 Jun;57(6):1696-1701. doi: 10.1002/jmri.28448. Epub ,"['Fothergill, Aisling', 'Birkl, Christoph', 'Kames, Christian', 'Su, Wayne', 'Weber, Alexander', 'Rauscher, Alexander']","['humans', 'male', 'female', ' masks', 'cohort studies', 'n95 respirators', 'sars-cov-2', ' covid-19', 'magnetic resonance imaging', 'cerebrovascular circulation physiology', 'spin labels', 'brain physiology', 'cbf', 'covid-19', 'mri', 'blood oxygenation', 'face masks']",The Effects of Wearing a 3-Ply or KN95 Face Mask on Cerebral Blood Flow and Oxygenation.,"BACKGROUND: The SARS-CoV-2 virus has impacted life in many ways, one change being the use of face masks. Their effect on MRI-based measurements of cerebral oxygen levels with quantitative susceptibility mapping (QSM) and cerebral blood flow (CBF) is not known. PURPOSE: This study investigated whether wearing a face mask leads to changes in CBF and cerebral venous oxygen saturation measured with MRI. STUDY TYPE: Repeated-measures cohort study. POPULATION: A total of 16 healthy volunteers (eight male, eight female; 22-36 years) were recruited for the 3-ply study. Ten of the 16 participants (five male, five female; 23-36 years) took part in the KN95 study. FIELD STRENGTH/SEQUENCE: A 3 T, single-delay 3D gradient-and spin-echo pseudo-continuous arterial spin labeling (pCASL) scan for CBF quantification, and gradient-echo for QSM and oxygenation quantification. ASSESSMENT: Gray matter CBF and magnetic susceptibility were assessed by masking the pCASL CBF map and the QSM map to the T(1) -weighted gray matter tissue segmentation. Venous oxygenation was determined from venous segmentation of QSM maximum intensity projections. STATISTICAL TESTS: Paired Student's t-tests and Cohen's d effect sizes were used to compare the face mask and no face mask scans for gray matter CBF, gray matter magnetic susceptibility, and cerebral venous oxygen saturation. Standard t-tests were used to assess whether the order of scanning with and without a mask had any impact. A statistical cut off of P < 0.05 was used. RESULTS: The 3-ply masks increased gray matter CBF from an average of 43.99 mL/(100 g*min) to 46.81 mL/(100 g*min). There were no significant changes in gray matter magnetic susceptibility (P = 0.07), or cerebral venous oxygen saturation (P = 0.36) for the 3-ply data set. The KN95 masks data set showed no statistically significant changes in gray matter CBF (P = 0.52) and magnetic susceptibility (P = 0.97), or cerebral venous oxygen saturation (P = 0.93). DATA CONCLUSION: The changes in blood flow and oxygenation due to face masks are small. Only CBF increased significantly due to wearing a 3-ply mask. EVIDENCE LEVEL: 2 TECHNICAL EFFICACY: Stage 3."
2022 Jun 1,Human brain mapping,Hum Brain Mapp. 2022 Jun 1;43(8):2693-2706. doi: 10.1002/hbm.25801. Epub 2022 Mar ,"['Campbell, Olivia Lauren', 'Weber, Alexander Mark']","['brain physiology', ' brain mapping methods', 'fractals', 'humans', ' magnetic resonance imaging methods', 'magnetic resonance spectroscopy', 'hurst exponent', 'complexity', 'fractal analysis', 'functional magnetic resonance imaging', 'neuroimaging', 'scale-free dynamics']",Monofractal analysis of functional magnetic resonance imaging: An introductory review.,"The following review will aid readers in providing an overview of scale-free dynamics and monofractal analysis, as well as its applications and potential in functional magnetic resonance imaging (fMRI) neuroscience and clinical research. Like natural phenomena such as the growth of a tree or crashing ocean waves, the brain expresses scale-invariant, or fractal, patterns in neural signals that can be measured. While neural phenomena may represent both monofractal and multifractal processes and can be quantified with many different interrelated parameters, this review will focus on monofractal analysis using the Hurst exponent (H). Monofractal analysis of fMRI data is an advanced analysis technique that measures the complexity of brain signaling by quantifying its degree of scale-invariance. As such, the H value of the blood oxygenation level-dependent (BOLD) signal specifies how the degree of correlation in the signal may mediate brain functions. This review presents a brief overview of the theory of fMRI monofractal analysis followed by notable findings in the field. Through highlighting the advantages and challenges of the technique, the article provides insight into how to best conduct fMRI fractal analysis and properly interpret the findings with physiological relevance. Furthermore, we identify the future directions necessary for its progression towards impactful functional neuroscience discoveries and widespread clinical use. Ultimately, this presenting review aims to build a foundation of knowledge among readers to facilitate greater understanding, discussion, and use of this unique yet powerful imaging analysis technique."
2021,Frontiers in physiology,Front Physiol. 2022 Jan 11;12:809943. doi: 10.3389/fphys.2021.809943. eCollection ,"['Campbell, Olivia', 'Vanderwal, Tamara', 'Weber, Alexander Mark']","['hcp 7t data', 'hurst exponent', 'default network', 'movie fmri', 'multistability', 'scale invariance', 'signal dynamics']",Fractal-Based Analysis of fMRI BOLD Signal During Naturalistic Viewing Conditions.,"Background: Temporal fractals are characterized by prominent scale-invariance and self-similarity across time scales. Monofractal analysis quantifies this scaling behavior in a single parameter, the Hurst exponent (H). Higher H reflects greater correlation in the signal structure, which is taken as being more fractal. Previous fMRI studies have observed lower H during conventional tasks relative to resting state conditions, and shown that H is negatively correlated with task difficulty and novelty. To date, no study has investigated the fractal dynamics of BOLD signal during naturalistic conditions. Methods: We performed fractal analysis on Human Connectome Project 7T fMRI data (n = 72, 41 females, mean age 29.46 ± 3.76 years) to compare H across movie-watching and rest. Results: In contrast to previous work using conventional tasks, we found higher H values for movie relative to rest (mean difference = 0.014; p = 5.279 × 10(-7); 95%"
2020 Mar,NMR in biomedicine,NMR Biomed. 2020 Mar;33(3):e4222. doi: 10.1002/nbm.4222. Epub 2019 Dec 17.,"['Weber, Alexander Mark', 'Zhang, Yuting', 'Kames, Christian', 'Rauscher, Alexander']","['adult', 'anisotropy', ' brain mapping', 'female', 'humans', 'image processing, computer-assisted', 'infant, newborn', 'male', 'myelin sheath  physiology', 'nonlinear dynamics', 'regression analysis', 'water  chemistry', 'white matter  diagnostic imaging', 'r2 ', 'magnetic susceptibility', 'myelin water imaging', 'neonates', 'white matter development', 'white matter fibre orientation']",Myelin water imaging and R(2)(*) mapping in neonates: Investigating R(2)(*) dependence on myelin and fibre orientation in whole brain white matter.,"R(2)(*) relaxation provides a semiquantitative method of detecting myelin, iron and white matter fibre orientation angles. Compared with standard histogram-based analyses, angle-resolved analysis of R(2)(*) has previously been shown to substantially improve the detection of subtle differences in the brain between healthy siblings of subjects with multiple sclerosis and unrelated healthy controls. Neonates, who are born with very little myelin and iron, and an underdeveloped connectome, provide researchers with an opportunity to investigate whether R(2)(*) is intimately linked with fibre-angle or myelin content as it is in adults, which may in future studies be explored as a potential white matter developmental biomarker. Five healthy adult volunteers (mean age [±SD] = 31.2 [±8.3] years; three males) were recruited from Vancouver, Canada. Eight term neonates (mean age = 38.6 ± 1.2 weeks; five males) were recruited from the Children's Hospital of Chongqing Medical University neonatal ward. All subjects were scanned on identical 3 T Philips Achieva scanners equipped with an eight-channel SENSE head coil and underwent a multiecho gradient echo scan, a 32-direction DTI scan and a myelin water imaging scan. For both neonates and adults, bin-averaged R(2)(*) variation across the brain's white matter was found to be best explained by fibre orientation. For adults, this represented a difference in R(2)(*) values of 3.5 Hz from parallel to perpendicular fibres with respect to the main magnetic field. In neonates, the fibre orientation dependency displayed a cosine wave shape, with a small R(2)(*) range of 0.4 Hz. This minor relationship in neonates provides further evidence for the key role myelin probably plays in creating this fibre orientation dependence later in life, but suggests limited clinical application in newborn populations. Future studies should investigate fibre-orientation dependency in infants in the first 5 years, when substantial myelin development occurs."
2018,Frontiers in neurology,Front Neurol. 2018 Aug 6;9:575. doi: 10.3389/fneur.2018.00575. eCollection 2018.,"['Weber, Alexander M', 'Pukropski, Anna', 'Kames, Christian', 'Jarrett, Michael', 'Dadachanji, Shiroy', 'Taunton, Jack', 'Li, David K B', 'Rauscher, Alexander']","['axial diffusivity', 'concussion', 'diffusion tensor imaging', 'magnetic resonance imaging', 'myelin', 'quantitative susceptibility mapping', 'radial diffusivity', 'white matter']",Pathological Insights From Quantitative Susceptibility Mapping and Diffusion Tensor Imaging in Ice Hockey Players Pre and Post-concussion.,"Myelin sensitive MRI techniques, such as diffusion tensor imaging and myelin water imaging, have previously been used to reveal changes in myelin after sports-related concussions. What is not clear from these studies, however, is how myelin is affected: whether it becomes degraded and possibly removed, or whether the myelin sheath loosens and becomes ""decompacted"". Previously, our team revealed myelin specific changes in ice hockey players 2 weeks post-concussion using myelin water imaging. In that study, 45 subjects underwent a pre-season baseline scan, 11 of which sustained a concussion during play and received follow-up scans: eight were scanned within 3 days, 10 were scanned at 14 days, and nine were scanned at 60 days. In the current retrospective analysis, we used quantitative susceptibility mapping, along with the diffusion tensor imaging measures axial diffusivity and radial diffusivity, to investigate this myelin disruption. If sports-related concussive hits lead to myelin fragmentation in regions of lowered MWF, this should result in a measurable increase in magnetic susceptibility, due to the anisotropic myelin fragmenting into isotropic myelin debris, and the diamagnetic myelin tissue being removed, while no such changes should be expected if the myelin sheath simply loosens and becomes decompacted. An increase in radial diffusivity would likewise reveal myelin fragmentation, as myelin sheaths block water diffusion out of the axon, with little to no changes expected for myelin sheath loosening. Statistical analysis of the same voxels-of-interest that were found to have reduced myelin water fraction 2 weeks post-concussion, revealed no statistically significant changes in magnetic susceptibility, axial diffusivity, or radial diffusivity at any time-point post-concussion. This suggests that myelin water fraction changes are likely due to a loosening of the myelin sheath structure, as opposed to fragmentation and removal of myelin debris."
2018 Feb,Neuroimaging clinics of North America,Neuroimaging Clin N Am. 2018 Feb;28(1):83-90. doi: 10.1016/j.nic.2017.09.005. ,"['Weber, Alexander Mark', 'Torres, Carlos', 'Rauscher, Alexander']","['brain diagnostic imaging', 'brain concussion  diagnostic imaging', 'diffusion tensor imaging methods', 'humans', 'magnetic resonance imaging  methods', 'magnetic resonance spectroscopy  methods', ' myelin sheath', 'brain', 'mild traumatic brain injury', 'myelin water imaging', 'white matter']",Imaging the Role of Myelin in Concussion.,"Myelin water imaging (MWI) provides mild traumatic brain injury (mTBI) researchers with a specific myelin biomarker and helps to further elucidate microstructural and microarchitectural changes of white matter after mTBI. Improvement of scanner hardware and software with the implementation of MWI across scanner platforms will likely result in increased research regarding the role of myelin in traumatic brain injury (TBI). Future research should include detailed investigation of myelin between 2 weeks and 2 months after injury, the use of MWI in moderate and severe TBI, and investigation of the role of myelin in chronic TBI."
