time,journal,doi_info,authors,key words,title,abstract
2023 Oct,European journal of haematology,Eur J Haematol. 2023 Oct;111(4):544-552. doi: 10.1111/ejh.14040. Epub 2023 Jul ,"['Mathias, Mary', 'Abraham, Aby', 'Belletrutti, Mark J', 'Carcao, Manuel', 'Carvalho, Manuela', 'Chambost, Hervé', 'Chan, Anthony K C', 'Dubey, Leonid', 'Ducore, Jonathan', 'Gattens, Michael', 'Gresele, Paolo', 'Gruel, Yves', 'Guillet, Benoit', 'Jiménez-Yuste, Victor', 'Kitanovski, Lidija', 'Klukowska, Anna', 'Lohade, Sunil', 'Mancuso, Maria Elisa', 'Oldenburg, Johannes', 'Pollio, Berardino', 'Sigaud, Marianne', 'Vilchevska, Kateryna', 'Wu, John K M', 'Jansen, Martina', 'Belyanskaya, Larisa', 'Walter, Olaf', 'Knaub, Sigurd', 'Neufeld, Ellis J']","['humans', ' hemophilia a drug therapy surgery', 'factor viii adverse effects genetics', 'hemorrhage prevention & control chemically induced', 'treatment outcome', 'fviii inhibitors', 'nuprotect', 'nuwiq', 'haemophilia a', 'simoctocog alfa']",Simoctocog alfa (Nuwiq®) in previously untreated patients with severe haemophilia A-Final efficacy and safety results from the NuProtect study.,"INTRODUCTION: Simoctocog alfa (Nuwiq®) is a 4th generation recombinant FVIII with proven efficacy for the prevention and treatment of bleeding episodes (BEs) in previously treated patients with severe haemophilia A. The NuProtect study assessed the immunogenicity, efficacy and safety of simoctocog alfa in 108 previously untreated patients (PUPs). The incidence of high-titre inhibitors was 16.2% and no patients with non-null F8 mutations developed inhibitors. AIM: To report the efficacy and safety results from the NuProtect study. METHODS: PUPs received simoctocog alfa for prophylaxis, treatment of BEs, or as surgical prophylaxis. The efficacy of prophylaxis (during inhibitor-free periods) was assessed using annualised bleeding rates (ABRs). The efficacy in treating BEs and in surgical prophylaxis was assessed using a 4-point scale. Adverse events were recorded throughout the study. RESULTS: Of 108 PUPs treated with simoctocog alfa, 103 received at least one prophylactic dose and 50 received continuous prophylaxis for at least 24 weeks. In patients on continuous prophylaxis, the median ABR was 0 (mean 0.5) for spontaneous BEs and 2.5 (mean 3.6) for all BEs. In 85 patients who had BEs, efficacy of BE treatment was excellent or good for 92.9% (747/804) of rated BEs; 92.3% of BEs were treated with 1 or 2 infusions. The efficacy of surgical prophylaxis was excellent or good for 94.7% (18/19) of rated procedures. There were no safety concerns and no thromboembolic events. CONCLUSION: Simoctocog alfa was efficacious and well tolerated as prophylaxis, surgical prophylaxis and for the treatment of BEs in PUPs with severe haemophilia A."
2023 Jul,Haemophilia : the official journal of the World Federation of Hemophilia,Haemophilia. 2023 Jul;29(4):1005-1012. doi: 10.1111/hae.14796. Epub 2023 Jun 19.,"['Mathias, Mary', 'Abashidze, Marina', 'Abraham, Aby', 'Belletrutti, Mark J', 'Carcao, Manuel', 'Chambost, Hervé', 'Chan, Anthony K C', 'Dubey, Leonid', 'Ducore, Jonathan', 'Lambert, Thierry', 'Kavardakova, Natalya', 'Lohade, Sunil', 'Turea, Valentin', 'Wu, John K M', 'Klukowska, Anna']","['child, preschool', 'humans', 'factor viii adverse effects', ' hemophilia a complications drug therapy', 'hemorrhage etiology prevention & control', 'prospective studies', 'treatment outcome', 'child', 'factor viii', 'haemophilia a', 'immunogenicity', 'paediatric', 'prophylaxis', 'simoctocog alfa']","Long-term immunogenicity, efficacy and tolerability of simoctocog alfa in patients with severe haemophilia A who had completed the NuProtect study in previously untreated patients.","BACKGROUND: The NuProtect study reported data on the immunogenicity, efficacy and tolerability of simoctocog alfa (Nuwiq(®) ) in 108 previously untreated patients with severe haemophilia A planned to be treated for ≥100 exposure days or up to 5 years. The NuProtect-Extension study collected long-term prophylaxis data in children with severe haemophilia A. METHODS: Patients who completed the NuProtect study according to the protocol were eligible for the NuProtect-Extension study, a prospective, multinational, non-controlled, Phase 3b study. RESULTS: Of 48 patients who entered the extension study, 47 (median age 2.8 years) received prophylaxis with simoctocog alfa for a median of 24 months, with 82%-88% on a twice-weekly or less regimen. No patient developed FVIII inhibitors during the extension study. The median (IQR) annualized bleeding rate (ABR) during prophylaxis was 0 (0-0.5) for spontaneous bleeding episodes (BEs) and 1.00 (0-1.95) for all BEs. ABRs estimated using a negative binomial model were .28 (95%"
2021 Oct,Research and practice in thrombosis and haemostasis,Res Pract Thromb Haemost. 2021 Oct 16;5(7):e12565. doi: 10.1002/rth2.12565. ,"['Stimec, Jennifer', 'Dover, Saunya', 'Pullenayegum, Eleanor', 'Blanchette, Victor S', 'Doria, Andrea S', 'Feldman, Brian M', 'Carcao, Manuel', 'Rivard, Georges E', 'Israels, Sara J', 'Chan, Anthony K', 'Steele, MacGregor', 'Cloutier, Stephanie', 'Klaassen, Robert J', 'Price, Victoria E', 'Sinha, Roona', 'Laferriere, Nicole', 'Paradis, Elizabeth', 'Wu, John K M', 'Babyn, Paul']","['x‐rays', 'hemophilia', 'magnetic resonance imaging', 'musculoskeletal system', 'prophylaxis']",Magnetic resonance imaging in boys with severe hemophilia A: Serial and end-of-study findings from the Canadian Hemophilia Primary Prophylaxis Study.,"BACKGROUND: This study examined the structural outcomes for joints of boys with severe hemophilia A receiving frequency/dose-escalated primary prophylaxis using magnetic resonance imaging (MRI), and the importance of interval MRI changes. METHODS: Forty-six subjects (27 with interval studies) were evaluated by radiographs (X-rays) and mid- and end-of-study MRIs (using the International Prophylaxis Study Group scale), as part of the Canadian Hemophilia Prophylaxis Study. The primary outcome was the presence of MRI osteochondral findings. RESULTS: The median (range) time on study at the end-of-study MRI examination was 9.6 (4.8-16.0) years, during which 18 of 46 subjects (39%) had osteochondral changes in at least one joint. An interval change in MRI score of at least 1 point was observed in 44% of joints (43 ankles, 21 elbows, 4 knees); at least one joint showed this change in all 27 subjects. Self-reported interval hemarthrosis was associated with a higher likelihood of interval osteochondral change (odds ratio [OR], 1.49; 95% confidence interval ["
2021 Jul 1,Blood coagulation & fibrinolysis : an international journal in haemostasis and ,Blood Coagul Fibrinolysis. 2021 Jul 1;32(5):305-311. doi: ,"['Chung, Jason', 'Stevic, Ivan', 'Gantioqui, Jorell', 'Atkinson, Helen', 'Chan, Anthony K C', 'Chan, Howard H W']","['anticoagulants  pharmacology', 'blood coagulation  drug effects', ' blood platelets drug effects', 'heparin  pharmacology', 'heparin, low-molecular-weight  pharmacology', 'humans', 'platelet count', 'thrombelastography', 'thrombocytopenia blood', 'venous thromboembolism blood']",Effect of unfractionated heparin and low molecular weight heparin on the clotting of platelet-reduced whole blood: an in-vitro study utilizing thromboelastography.,"Treatment of venous thromboembolism with concomitant thrombocytopenia is challenging. The platelet threshold for safe administration of anticoagulants is under debate, with minimum platelet count of 50 × 109/l being recommended as the safe cutoff. However, some evidence suggests administration of anticoagulants may still be safe at platelet levels of 30 × 109/l. Therefore, we developed an in-vitro thromboelastography (TEG) study to examine the effect of therapeutic or prophylactic levels of unfractionated heparin (UFH) and low molecular weight heparin (LMWH) on the clotting profile of platelet-reduced whole blood. Using magnetic bead-based antibody chromatography, platelets were removed to achieve platelet-depleted blood (<10 × 109/l of platelets). Platelet-depleted blood was then mixed with whole blood to produce blood samples with platelet counts of 30 × 109, 50 × 109 and 150 × 109/l. These blood samples were incubated with therapeutic or prophylactic levels of UFH or LMWH in disposable TEG cups. Clotting was initiated with 10 mmol/l calcium and optimized tissue factor levels for each anticoagulant used (2.25 pmol/l for UFH and 2.05 pmol/l for LMWH). Clotting was monitored by TEG at 37 °C for 180 min. The following TEG parameters were evaluated: R (time to clot), maximum amplitude (strength of clot) and area under the curve in 15 min (overall speed and strength of the clot at 15 min of clotting). No statistically significant differences were observed between platelet counts of 30 × 109 and 50 × 109/l for R, maximum amplitude or area under the curve in 15 min for most of the therapeutic and prophylactic doses of UFH and LMWH tested in this study. Use of anticoagulants compromised all of the TEG parameters relative to a normal platelet count of 150 × 109/l, in a dose dependent manner. The current study demonstrates that in-vitro clotting is impaired with use and increasing doses of anticoagulants. Despite this observation, we did not observe a significant difference in clotting between platelet levels of 30 × 109 and 50 × 109/l. Overall, this work provides further insight in the debated use of anticoagulants in patients with venous thromboembolism and concomitant thrombocytopenia, and provides support for possible use of anticoagulants at lower platelet thresholds."
2021 Jul,Haemophilia : the official journal of the World Federation of Hemophilia,Haemophilia. 2021 Jul;27(4):666-673. doi: 10.1111/hae.14345. Epub 2021 May 20.,"['Goren, Rachel', 'Pullenayegum, Eleanor', 'Blanchette, Victor S', 'Dover, Saunya', 'Carcao, Manuel', 'Israels, Sara J', 'Chan, Anthony', 'Rivard, Georges E', 'Steele, MacGregor', 'Cloutier, Stéphanie', 'Klaassen, Robert J', 'Sinha, Roona', 'Price, Victoria E', 'Laferriere, Nicole', 'Paradis, Elizabeth', 'Wu, John K', 'Feldman, Brian M']","['canada', 'factor viii therapeutic use', 'hemarthrosis etiology prevention & control', ' hemophilia a drug therapy', 'hemorrhage', 'humans', 'male', 'factor viii', 'haemophilia a', 'index joint bleed', 'latent class analysis', 'prophylaxis']",Patterns of joint damage in severe haemophilia A treated with prophylaxis.,"OBJECTIVE: The primary objective of this study was to assess whether there are different patterns (classes) of joint health in young boys with severe haemophilia A (SHA) prescribed primary tailored prophylaxis. We also assessed whether age at first index joint bleed, blood group, FVIII gene abnormality variant, factor VIII trough level, first-year bleeding rate and adherence to the prescribed prophylaxis regimen significantly predicted joint damage trajectory, and thus class membership. METHODS: Using data collected prospectively as part of the Canadian Hemophilia Primary Prophylaxis Study (CHPS), we implemented a latent class growth mixture model technique to determine how many joint damage classes existed within the cohort. We used a multinomial logistic regression to predict the odds of class membership based on the above predictors. We fitted a survival model to assess whether there were differences in the rate of dose escalation across the groups. RESULTS: We identified three distinct classes of trajectory: persistently low, moderately increasing and rapidly increasing joint scores. By multinomial regression, we found that only age at first index joint bleed predicted rapidly increasing joint scores. The rapidly increasing joint score class group moved through dose escalation significantly faster than the other two groups. CONCLUSIONS: Using tailored prophylaxis, boys with SHA follow one of three joint health trajectories. By using knowledge of disease trajectories, clinicians may be able to adjust treatment according to a subject's predicted long-term joint health and institute cost-effective programmes of prophylaxis targeted at the individual subject level."
2021 Nov,Thrombosis and haemostasis,Thromb Haemost. 2021 Nov;121(11):1400-1408. doi: 10.1055/s-0040-1722623. Epub ,"['Liesner, Ri J', 'Abraham, Aby', 'Altisent, Carmen', 'Belletrutti, Mark J', 'Carcao, Manuel', 'Carvalho, Manuela', 'Chambost, Hervé', 'Chan, Anthony K C', 'Dubey, Leonid', 'Ducore, Jonathan', 'Gattens, Michael', 'Gresele, Paolo', 'Gruel, Yves', 'Guillet, Benoit', 'Jimenez-Yuste, Victor', 'Kitanovski, Lidija', 'Klukowska, Anna', 'Lohade, Sunil', 'Mancuso, Maria Elisa', 'Oldenburg, Johannes', 'Pavlova, Anna', 'Pollio, Berardino', 'Sigaud, Marianne', 'Vdovin, Vladimir', 'Vilchevska, Kateryna', 'Wu, John K M', 'Jansen, Martina', 'Belyanskaya, Larisa', 'Walter, Olaf', 'Knaub, Sigurd', 'Neufeld, Ellis J']","['antibodies  blood', 'coagulants immunology  therapeutic use', 'factor viii genetics immunology  therapeutic use', 'genetic predisposition to disease', 'hemophilia a blood  drug therapy genetics', 'hemorrhage blood diagnosis genetics  prevention & control', 'humans', 'infant', 'male', 'mutation', 'prospective studies', 'recombinant proteins immunology therapeutic use', 'severity of illness index', 'time factors', 'treatment outcome']",Simoctocog Alfa (Nuwiq) in Previously Untreated Patients with Severe Haemophilia A: Final Results of the NuProtect Study.,"INTRODUCTION: FVIII inhibitor development is the most serious contemporary treatment complication in haemophilia A, particularly in previously untreated patients (PUPs). No inhibitors developed in clinical trials in previously treated patients treated with simoctocog alfa (Nuwiq), a fourth-generation recombinant FVIII produced in a human cell line. METHODS: The NuProtect study investigated the immunogenicity of simoctocog alfa in PUPs. NuProtect was a prospective, multinational, open-label, non-controlled, phase III study. PUPs with severe haemophilia A (FVIII:C <1%) of any age and ethnicity were treated with simoctocog alfa for 100 exposure days or a maximum of 5 years. Patients were true PUPs without prior exposure to FVIII concentrates or blood components. Inhibitor titres were measured with the Nijmegen-modified Bethesda assay; cut-off for positivity was 0.6 BU mL(-1) (≥0.6 to <5 low-titre, ≥5 high titre). RESULTS: A total of 108 PUPs with a median age at first treatment of 12.0 months (interquartile range: 8.0-23.5) were treated with simoctocog alfa. F8 mutation type was known for 102 patients (94.4%) of whom 90 (88.2%) had null F8 mutations and 12 (11.8%) had non-null mutations. Of 105 PUPs evaluable for inhibitor development, 28 (26.7%) developed inhibitors; 17 high titre (16.2%) and 11 low titre (10.5%). No PUPs with non-null F8 mutations developed inhibitors. CONCLUSION: In the NuProtect study, the rate of inhibitor development in PUPs with severe haemophilia A treated with simoctocog alfa was lower than the rate reported for hamster-cell-derived recombinant factor VIII products in other recent clinical trials. No inhibitors were reported in PUPs with non-null F8 mutations."
2020 Oct,Pediatric neurology,Pediatr Neurol. 2020 Oct;111:59-65. doi: 10.1016/j.pediatrneurol.2020.06.002. ,"['Sun, Lisa R', 'Linds, Alexandra', 'Sharma, Mukta', 'Rafay, Mubeen', 'Vadivelu, Sudhakar', 'Lee, Sarah', 'Brandão, Leonardo R', 'Appavu, Brian', 'Estepp, Jeremie H', 'Hukin, Juliette', 'Hassanein, Sahar M A', 'Chan, Anthony', 'Beslow, Lauren A']","['adolescent', 'anticoagulants  therapeutic use', 'antineoplastic agents  therapeutic use', ' brain neoplasms complications drug therapy epidemiology', 'child', 'child, preschool', 'comorbidity', 'female', 'fibrinolytic agents  therapeutic use', ' hematologic neoplasms complications drug therapy epidemiology', 'humans', 'infant', 'infant, newborn', ' ischemic stroke drug therapy epidemiology etiology', 'male', 'prevalence', ' sinus thrombosis, intracranial chemically induced drug', 'arterial ischemic stroke', 'cancer', 'cerebral sinovenous thrombosis', 'chemotherapy', 'childhood stroke', 'malignancy', 'pediatric stroke']",Cancer and Tumor-Associated Childhood Stroke: Results From the International Pediatric Stroke Study.,"BACKGROUND: The prevalence of cancer among children with stroke is unknown. This study sought to evaluate cancer- and tumor-associated childhood ischemic stroke in a multinational pediatric stroke registry. METHODS: Children aged 29 days to less than 19 years with arterial ischemic stroke or cerebral sinovenous thrombosis enrolled in the International Pediatric Stroke Study between January 2003 and June 2019 were included. Data including stroke treatment and recurrence were compared between subjects with and without cancer using Wilcoxon rank sum and chi-square tests. RESULTS: Cancer or tumor was present in 99 of 2968 children (3.3%) with arterial ischemic stroke and 64 of 596 children (10.7%) with cerebral sinovenous thrombosis. Among children in whom cancer type was identified, 42 of 88 arterial ischemic stroke cases (48%) had brain tumors and 35 (40%) had hematologic malignancies; 45 of 58 cerebral sinovenous thrombosis cases (78%) had hematologic malignancies and eight (14%) had brain tumors. Of 54 cancer-associated arterial ischemic stroke cases with a known cause, 34 (63%) were due to arteriopathy and nine (17%) were due to cardioembolism. Of 46 cancer-associated cerebral sinovenous thrombosis cases with a known cause, 41 (89%) were related to chemotherapy-induced or other prothrombotic states. Children with cancer were less likely than children without cancer to receive antithrombotic therapy for arterial ischemic stroke (58% vs 80%, P = 0.007) and anticoagulation for cerebral sinovenous thrombosis (71% vs 87%, P = 0.046). Recurrent arterial ischemic stroke (5% vs 2%, P = 0.04) and cerebral sinovenous thrombosis (5% vs 1%, P = 0.006) were more common among children with cancer. CONCLUSIONS: Cancer is an important risk factor for incident and recurrent childhood stroke. Stroke prevention strategies for children with cancer are needed."
2020 Feb,Research and practice in thrombosis and haemostasis,Res Pract Thromb Haemost. 2020 Jan 29;4(2):318-325. doi: 10.1002/rth2.12301. ,"['Dover, Saunya', 'Blanchette, Victor S', 'Wrathall, Darius', 'Pullenayegum, Eleanor', 'Kazandjian, Daniel', 'Song, Byron', 'Hawes, Sue Ann', 'Cloutier, Stéphanie', 'Rivard, Geroges E', 'Klaassen, Robert J', 'Paradis, Elizabeth', 'Laferriere, Nicole', 'Stain, Ann Marie', 'Chan, Anthony K', 'Israels, Sara J', 'Sinha, Roona', 'Steele, MacGregor', 'Wu, John K M', 'Feldman, Brian M']","['bleeding', 'factor viii', 'hemophilia a', 'prophylaxis', 'treatment adherence and compliance']","Hemophilia prophylaxis adherence and bleeding using a tailored, frequency-escalated approach: The Canadian Hemophilia Primary Prophylaxis Study.","BACKGROUND: Standard of care for persons with severe hemophilia A includes regular replacement of factor VIII (FVIII). Prophylaxis regimens using standard half-life (SHL) FVIII concentrates, while effective, are costly and require frequent intravenous infusions. AIM: This study evaluated the adherence of 56 boys with severe hemophilia A to tailored, frequency-escalated prophylaxis with an SHL recombinant FVIII concentrate. METHODS: We reviewed the factor infusion and bleeding logs of study subjects. Adherence to the prescribed regimen was calculated on a weekly basis, and bleeding rates were determined from self/proxy-reported bleeding logs. The primary outcome was adherence to the prescribed prophylaxis regimen. RESULTS: The median (range of values [ROV]) weekly adherence to prophylaxis was 85.7% (37.4%-99.8%). The median (ROV) adherent weeks on steps 1 (weekly), 2 (twice weekly), and 3 (alternate-day) were 92.9% (50%-100%), 80.3 (32%-96%), and 72.6% (14%-98%); relative to step 1, subjects were less likely to be adherent on steps 2 and 3 (P < 0.00). On step 1, our cohort had higher adherence than previously reported rates. The median (ROV) adherence to the breakthrough bleeding protocol was 47.1% (0%-100%). At any given time, bleeding risk was reduced by 15% for each 10% increase in adherence during the preceding 12 weeks (hazard ratio, 0.85; 95% confidence interval, 0.81-0.90). CONCLUSION: This cohort had high rates of adherence to the prescribed prophylaxis regimen. Initiating prophylaxis with once-weekly infusions facilitated adherence to the prophylaxis regimen in this cohort of boys with severe hemophilia A started on primary prophylaxis at a very young age."
2020 Jan,Modern pathology : an official journal of the United States and Canadian Academy ,Mod Pathol. 2020 Jan;33(1):4-17. doi: 10.1038/s41379-019-0327-4. Epub 2019 Aug 5.,"['Torlakovic, Emina', 'Lim, Hyun J', 'Adam, Julien', 'Barnes, Penny', 'Bigras, Gilbert', 'Chan, Anthony W H', 'Cheung, Carol C', 'Chung, Jin-Haeng', 'Couture, Christian', 'Fiset, Pierre O', 'Fujimoto, Daichi', 'Han, Gang', 'Hirsch, Fred R', 'Ilie, Marius', 'Ionescu, Diana', 'Li, Chao', 'Munari, Enrico', 'Okuda, Katsuhiro', 'Ratcliffe, Marianne J', 'Rimm, David L', 'Ross, Catherine', 'Røge, Rasmus', 'Scheel, Andreas H', 'Soo, Ross A', 'Swanson, Paul E', 'Tretiakova, Maria', 'To, Ka F', 'Vainer, Gilad W', 'Wang, Hangjun', 'Xu, Zhaolin', 'Zielinski, Dirk', 'Tsao, Ming-Sound']","['b7-h1 antigen  analysis', 'humans', 'immunohistochemistry  methods standards']","""Interchangeability"" of PD-L1 immunohistochemistry assays: a meta-analysis of diagnostic accuracy.","Different clones, protocol conditions, instruments, and scoring/readout methods may pose challenges in introducing different PD-L1 assays for immunotherapy. The diagnostic accuracy of using different PD-L1 assays interchangeably for various purposes is unknown. The primary objective of this meta-analysis was to address PD-L1 assay interchangeability based on assay diagnostic accuracy for established clinical uses/purposes. A systematic search of the MEDLINE database using PubMed platform was conducted using ""PD-L1"" as a search term for 01/01/2015 to 31/08/2018, with limitations ""English"" and ""human"". 2,515 abstracts were reviewed to select for original contributions only. 57 studies on comparison of two or more PD-L1 assays were fully reviewed. 22 publications were selected for meta-analysis. Additional data were requested from authors of 20/22 studies in order to enable the meta-analysis. Modified GRADE and QUADAS-2 criteria were used for grading published evidence and designing data abstraction templates for extraction by reviewers. PRISMA was used to guide reporting of systematic review and meta-analysis and STARD 2015 for reporting diagnostic accuracy study. CLSI EP12-A2 was used to guide test comparisons. Data were pooled using random-effects model. The main outcome measure was diagnostic accuracy of various PD-L1 assays. The 22 included studies provided 376 2×2 contingency tables for analyses. Results of our study suggest that, when the testing laboratory is not able to use an Food and Drug Administration-approved companion diagnostic(s) for PD-L1 assessment for its specific clinical purpose(s), it is better to develop a properly validated laboratory developed test for the same purpose(s) as the original PD-L1 Food and Drug Administration-approved immunohistochemistry companion diagnostic, than to replace the original PD-L1 Food and Drug Administration-approved immunohistochemistry companion diagnostic with a another PD-L1 Food and Drug Administration-approved companion diagnostic that was developed for a different purpose."
2018 Jun,The Lancet. Haematology,Lancet Haematol. 2018 Jun;5(6):e252-e260. doi: 10.1016/S2352-3026(18)30048-6. ,"['Feldman, Brian M', 'Rivard, Georges E', 'Babyn, Paul', 'Wu, John K M', 'Steele, MacGregor', 'Poon, Man-Chiu', 'Card, Robert T', 'Israels, Sara J', 'Laferriere, Nicole', 'Gill, Kulwant', 'Chan, Anthony K', 'Carcao, Manuel', 'Klaassen, Robert J', 'Cloutier, Stephanie', 'Price, Victoria E', 'Dover, Saunya', 'Blanchette, Victor S']","['adolescent', 'canada', 'child', 'child, preschool', 'disease progression', 'dose-response relationship, drug', 'drug administration schedule', 'factor viii administration & dosage  therapeutic use', 'hemarthrosis etiology  prevention & control', 'hemophilia a complications  drug therapy pathology', 'humans', 'infant', 'joints diagnostic imaging', 'longitudinal studies', 'male', 'patient compliance']",Tailored frequency-escalated primary prophylaxis for severe haemophilia A: results of the 16-year Canadian Hemophilia Prophylaxis Study longitudinal cohort.,"BACKGROUND: Severe haemophilia A has high morbidity, and treatment, while effective, is very expensive. We report the 16-year follow-up of the Canadian Hemophilia Prophylaxis Study, which examined the effectiveness of tailored frequency-escalated primary prophylaxis with a focus on health outcomes within the domains of body structures and functions, and activities and participation (according to the WHO International Classification of Functioning, Disability and Health [WHO-ICF] framework) and a view to reducing consumption of costly clotting factor, which accounts for more than 90% of the cost of care of severe haemophilia. METHODS: In this longitudinal study, boys with severe haemophilia A from 12 Canadian centres were enrolled at age 1·0-2·5 years. They were treated with standard half-life recombinant factor VIII (SHL-rFVIII), beginning as once-weekly prophylaxis with 50 IU/kg and escalating in frequency (with accompanying dose adjustments) in response to breakthrough bleeding as determined by the protocol. The primary endpoint for this analysis was joint health, as measured by the modified Colorado Child Physical Examination Scores (CCPES) at study end. All analyses were done by intention to treat. The trial is complete, and is registered with ClinicalTrials.gov, number NCT01085344. FINDINGS: Between June 26, 1997, and Jan 30, 2007, 56 boys were enrolled. They were followed for a median of 10·2 years (to a maximum of 16·1 years). Median rFVIII usage was about 3600 IU/kg per year. The median end-of-study CCPES physical examination score was 1 (IQR 1-3; range 0-12) for the left ankle and 1 (1-2; 0-12) for the right ankle, with all other joints having a median score of 0. No treatment-related safety events occurred over the duration of the study, including central venous catheter infections. The median annualised index joint bleeding rate was 0·95 per year (IQR 0·44-1·35; range 0·00-13·43), but 17 (30%) patients had protocol-defined unacceptable breakthrough bleeding at some point during the study. INTERPRETATION: Tailored frequency-escalated prophylaxis leads to very little arthropathy and very good health outcomes within the WHO-ICF domains, and only uses a moderate amount of expensive clotting factor as compared with standard prophylaxis protocols. Some sequelae of bleeding were observed in our cohort, and future studies should consider a more stringent protocol of escalation. FUNDING: This study was initially funded by grants from the Medical Research Council of Canada/Pharmaceutical Manufacturers Association of Canada Partnership Fund and the Bayer/Canadian Blood Services/Hema-Quebec Partnership Fund. Subsequent renewals were funded by Bayer."
