time,journal,doi_info,authors,key words,title,abstract
2024 Jun 18,British journal of sports medicine,Br J Sports Med. 2024 Jun 18:bjsports-2023-108056. doi: ,"['Shadgan, Babak', 'Molavi, Nima', 'Abaeva, Elena', 'Falahati, Saam', 'Sikimic, Stevan', 'Konstantinou, Loukas', 'Molnar, Szabolcs']","['athletic injuries', 'covid-19', 'injury prevention']",Wrestling injuries during the 2016 Rio and 2020 Tokyo Olympic Games.,"OBJECTIVES: To evaluate and compare the injuries of Olympic wrestlers during the 2016 Rio and 2020 Tokyo Olympic Games held in August 2021 due to the COVID-19 pandemic. METHODS: In this descriptive epidemiological study, injury report forms were used to collect and analyse injury data during the competitions. RESULTS: During 410 matches in the Rio Olympic Games, 21 injuries were recorded among 346 wrestlers (112=women), a rate of 5.1 injuries/100 bouts and 6.1 injuries/100 athletes. During 322 matches in the Tokyo Olympic Games, 28 injuries were recorded among 287 wrestlers (96=women), with 8.7 injuries/100 bouts and 9.8 injuries/100 athletes. However, these apparent differences in injury rates between Tokyo and Rio were not statistically significant (injuries/bout: p=0.057, 95%"
2024 May,Annals of biomedical engineering,Ann Biomed Eng. 2024 May;52(5):1136-1158. doi: 10.1007/s10439-024-03442-y. Epub ,"['Lingawi, Saud', 'Hutton, Jacob', 'Khalili, Mahsa', 'Shadgan, Babak', 'Christenson, Jim', 'Grunau, Brian', 'Kuo, Calvin']","['humans', ' cardiopulmonary resuscitation methods', ' out-of-hospital cardiac arrest diagnosis', ' emergency medical services', 'electrocardiography', 'photoplethysmography', 'cardiopulmonary', 'electrocardiography', 'out-of-hospital cardiac arrest', 'photoplethysmography', 'physiological monitoring', 'wearable sensors']",Cardiorespiratory Sensors and Their Implications for Out-of-Hospital Cardiac Arrest Detection: A Systematic Review.,"Out-of-hospital cardiac arrest (OHCA) is a major health problem, with a poor survival rate of 2-11%. For the roughly 75% of OHCAs that are unwitnessed, survival is approximately 2-4.4%, as there are no bystanders present to provide life-saving interventions and alert Emergency Medical Services. Sensor technologies may reduce the number of unwitnessed OHCAs through automated detection of OHCA-associated physiological changes. However, no technologies are widely available for OHCA detection. This review identifies research and commercial technologies developed for cardiopulmonary monitoring that may be best suited for use in the context of OHCA, and provides recommendations for technology development, testing, and implementation. We conducted a systematic review of published studies along with a search of grey literature to identify technologies that were able to provide cardiopulmonary monitoring, and could be used to detect OHCA. We searched MEDLINE, EMBASE, Web of Science, and Engineering Village using MeSH keywords. Following inclusion, we summarized trends and findings from included studies. Our searches retrieved 6945 unique publications between January, 1950 and May, 2023. 90 studies met the inclusion criteria. In addition, our grey literature search identified 26 commercial technologies. Among included technologies, 52% utilized electrocardiography (ECG) and 40% utilized photoplethysmography (PPG) sensors. Most wearable devices were multi-modal (59%), utilizing more than one sensor simultaneously. Most included devices were wearable technologies (84%), with chest patches (22%), wrist-worn devices (18%), and garments (14%) being the most prevalent. ECG and PPG sensors are heavily utilized in devices for cardiopulmonary monitoring that could be adapted to OHCA detection. Developers seeking to rapidly develop methods for OHCA detection should focus on using ECG- and/or PPG-based multimodal systems as these are most prevalent in existing devices. However, novel sensor technology development could overcome limitations in existing sensors and could serve as potential additions to or replacements for ECG- and PPG-based devices."
2023 Jun 15,"Sensors (Basel, Switzerland)",Sensors (Basel). 2023 Jun 15;23(12):5592. doi: 10.3390/s23125592.,"['Park, Jinho', 'Mah, Aaron James', 'Nguyen, Thien', 'Park, Soongho', 'Ghazi Zadeh, Leili', 'Shadgan, Babak', 'Gandjbakhche, Amir H']","['humans', ' deep learning', ' covid-19 diagnosis', 'neural networks, computer', ' communicable diseases', 'respiration', 'covid-19', 'nirs', 'convolutional neural network', 'deep learning', 'respiratory disease', 'wearable device']",Modification of a Conventional Deep Learning Model to Classify Simulated Breathing Patterns: A Step toward Real-Time Monitoring of Patients with Respiratory Infectious Diseases.,"The emergence of the global coronavirus pandemic in 2019 (COVID-19 disease) created a need for remote methods to detect and continuously monitor patients with infectious respiratory diseases. Many different devices, including thermometers, pulse oximeters, smartwatches, and rings, were proposed to monitor the symptoms of infected individuals at home. However, these consumer-grade devices are typically not capable of automated monitoring during both day and night. This study aims to develop a method to classify and monitor breathing patterns in real-time using tissue hemodynamic responses and a deep convolutional neural network (CNN)-based classification algorithm. Tissue hemodynamic responses at the sternal manubrium were collected in 21 healthy volunteers using a wearable near-infrared spectroscopy (NIRS) device during three different breathing conditions. We developed a deep CNN-based classification algorithm to classify and monitor breathing patterns in real time. The classification method was designed by improving and modifying the pre-activation residual network (Pre-ResNet) previously developed to classify two-dimensional (2D) images. Three different one-dimensional CNN (1D-CNN) classification models based on Pre-ResNet were developed. By using these models, we were able to obtain an average classification accuracy of 88.79% (without Stage 1 (data size reducing convolutional layer)), 90.58% (with 1 × 3 Stage 1), and 91.77% (with 1 × 5 Stage 1)."
2023 Mar 20,Scientific reports,Sci Rep. 2023 Mar 20;13(1):4537. doi: 10.1038/s41598-023-31637-1.,"['Raschdorf, Katharina', 'Mohseni, Arman', 'Hogle, Kaavya', 'Cheung, Amanda', 'So, Kitty', 'Manouchehri, Neda', 'Khalili, Mahsa', 'Lingawi, Saud', 'Grunau, Brian', 'Kuo, Calvin', 'Christenson, Jim', 'Shadgan, Babak']","['animals', 'swine', ' spectroscopy, near-infrared methods', 'pentobarbital', ' heart arrest diagnosis', 'spinal cord', 'models, animal', 'death, sudden, cardiac', 'oxygen']",Evaluation of transcutaneous near-infrared spectroscopy for early detection of cardiac arrest in an animal model.,"Sudden cardiac arrest (SCA) is a leading cause of mortality worldwide. The SCA-to-resuscitation interval is a key determinant of patient outcomes, highlighting the clinical need for reliable and timely detection of SCA. Near-infrared spectroscopy (NIRS), a non-invasive optical technique, may have utility for this application. We investigated transcutaneous NIRS as a method to detect pentobarbital-induced changes during cardiac arrest in eight Yucatan miniature pigs. NIRS measurements during cardiac arrest were compared to invasively acquired carotid blood pressure and partial oxygen pressure (PO(2)) of spinal cord tissues. We observed statistically significant decreases in mean arterial pressure (MAP) 64.68 mmHg ± 13.08, p < 0.0001), spinal cord PO(2) (38.16 mmHg ± 20.04, p = 0.0028), and NIRS-derived tissue oxygen saturation (TSI%) (14.50% ± 3.80, p < 0.0001) from baseline to 5 min after pentobarbital administration. Euthanasia-to-first change in hemodynamics for MAP and TSI (%) were similar [MAP (10.43 ± 4.73 s) vs TSI (%) (12.04 ± 1.85 s), p = 0.3714]. No significant difference was detected between NIRS and blood pressure-derived pulse rates during baseline periods (p > 0.99) and following pentobarbital administration (p = 0.97). Transcutaneous NIRS demonstrated the potential to identify rapid hemodynamic changes due to cardiac arrest in periods similar to invasive indices. We conclude that transcutaneous NIRS monitoring may present a novel, non-invasive approach for SCA detection, which warrants further investigation."
2022 Sep 26,"Sensors (Basel, Switzerland)",Sensors (Basel). 2022 Sep 26;22(19):7274. doi: 10.3390/s22197274.,"['Mah, Aaron James', 'Nguyen, Thien', 'Ghazi Zadeh, Leili', 'Shadgan, Atrina', 'Khaksari, Kosar', 'Nourizadeh, Mehdi', 'Zaidi, Ali', 'Park, Soongho', 'Gandjbakhche, Amir H', 'Shadgan, Babak']","['adult', ' covid-19 diagnosis', 'humans', 'monitoring, physiologic', 'respiration', 'spectroscopy, near-infrared', 'covid-19 monitoring', 'covid-19 screening', 'nirs', 'breathing patterns', 'optical monitoring', 'pneumonia', 'respiratory disease', 'respiratory monitoring', 'tissue oxygenation', 'wearable biosensor']",Optical Monitoring of Breathing Patterns and Tissue Oxygenation: A Potential Application in COVID-19 Screening and Monitoring.,"The worldwide outbreak of the novel Coronavirus (COVID-19) has highlighted the need for a screening and monitoring system for infectious respiratory diseases in the acute and chronic phase. The purpose of this study was to examine the feasibility of using a wearable near-infrared spectroscopy (NIRS) sensor to collect respiratory signals and distinguish between normal and simulated pathological breathing. Twenty-one healthy adults participated in an experiment that examined five separate breathing conditions. Respiratory signals were collected with a continuous-wave NIRS sensor (PortaLite, Artinis Medical Systems) affixed over the sternal manubrium. Following a three-minute baseline, participants began five minutes of imposed difficult breathing using a respiratory trainer. After a five minute recovery period, participants began five minutes of imposed rapid and shallow breathing. The study concluded with five additional minutes of regular breathing. NIRS signals were analyzed using a machine learning model to distinguish between normal and simulated pathological breathing. Three features: breathing interval, breathing depth, and O(2)Hb signal amplitude were extracted from the NIRS data and, when used together, resulted in a weighted average accuracy of 0.87. This study demonstrated that a wearable NIRS sensor can monitor respiratory patterns continuously and non-invasively and we identified three respiratory features that can distinguish between normal and simulated pathological breathing."
2022 Jul,Journal of biomedical optics,J Biomed Opt. 2022 Jul;27(7):077001. doi: 10.1117/1.JBO.27.7.077001.,"['Cheung, Amanda', 'Tu, Lorna', 'Macnab, Andrew', 'Kwon, Brian K', 'Shadgan, Babak']","['animals', 'hypoxia diagnostic imaging', ' oximetry methods', 'oxygen', ' spectroscopy, near-infrared methods', 'swine', 'swine, miniature', 'hypoxia', 'near-infrared spectroscopy', 'photoplethysmography', 'pulse oximetry', 'tissue oxygenation']",Detection of hypoxia by near-infrared spectroscopy and pulse oximetry: a comparative study.,"SIGNIFICANCE: Pulse oximetry is widely used in clinical practice to monitor changes in arterial oxygen saturation (SpO2). However, decreases in SpO2 can be delayed relative to the actual clinical event, and near-infrared spectroscopy (NIRS) may detect alterations in oxygenation earlier than pulse oximetry, as shown in previous cerebral oxygenation monitoring studies. AIM: We aim to compare the response of transcutaneous muscle NIRS measures of the tissue saturation index with pulse oximetry SpO2 during hypoxia. APPROACH: Episodes of acute hypoxia were induced in nine anesthetized Yucatan miniature pigs. A standard pulse oximeter was attached to the ear of the animal, and a transcutaneous NIRS sensor was placed on the hind limb muscle. Hypoxia was induced by detaching the ventilator from the animal and reattaching it once the pulse oximeter reported 70% SpO2. RESULTS: Twenty-four episodes of acute hypoxia were analyzed. Upon the start of hypoxia, the transcutaneous NIRS measures changed in 5.3 ± 0.4 s, whereas the pulse oximetry measures changed in 14.9 ± 1.0 s (p < 0.0001). CONCLUSIONS: Transcutaneous muscle NIRS can detect the effects of hypoxia significantly sooner than pulse oximetry in the Yucatan miniature pig. A transcutaneous NIRS sensor may be used as an earlier detector of oxygen saturation changes in the clinical setting than the standard pulse oximeter."
2022 Jun 19,Biology,Biology (Basel). 2022 Jun 19;11(6):932. doi: 10.3390/biology11060932.,"['Frank, Garrett', 'Askari, Shahbaz', 'Raschdorf, Katharina', 'Khosravi, Sadra', 'Kwon, Brian K', 'Shadgan, Babak']","['absorption', 'biosensor', 'diagnostics', 'direct measurement', 'implantable', 'phantom', 'reflection', 'scattering']",The Effects of Silicone Enclosure Colour on the Function of Optical Sensors.,"The colour of the silicone enclosure of an implantable reflectance-based optical probe plays a critical role in sensor performance. Red-coloured probes that are highly reflective to near-infrared light have been found to increase photodetector power by a factor of 6 for wavelengths between 660 and 950 nm and triple the magnitude of measured cardiac pulsations compared to traditional black probes. The increase in photodetector power and cardiac pulsation magnitude is presumably due to increased spatial range resulting from a higher magnitude of superficial tissue scattering. Conversely, probes with highly absorbent colours such as black and blue result in more stable signals and are expected to have higher spatial resolution and depth of penetration."
2022 Mar,Journal of sports science & medicine,J Sports Sci Med. 2022 Feb 15;21(1):74-81. doi: 10.52082/jssm.2022.74. ,"['Molnár, Szabolcs', 'Hunya, Zsolt', 'Gáspár, Krisztián', 'Szerb, Imre', 'Szabó, Noé', 'Mensch, Károly', 'Körösi, Éva', 'Bacskai, Katalin', 'Sántha, Ákos Kálmán', 'Janka, Eszter Anna', 'Shadgan, Babak']","[' athletic injuries epidemiology etiology', ' brain concussion', 'female', 'humans', ' sports', 'torso injuries', ' wrestling injuries', 'wrestling', 'extremities', 'head-and-trunk', 'incidenc', 'injuries', 'strangulation']",Moderate and Severe Injuries at Five International Olympic-Style Wrestling Tournaments during 2016-2019.,"As a contact sport, wrestling may result in injuries. Based on the severity, they are classified as mild, moderate, severe and critical. All injuries occurring at international competitions are documented in a cloud-based surveillance system. The purpose of this study was to analyze the incidence and characteristics of moderate and severe (including critical) wrestling injuries that occurred during five international Olympic-style wrestling competitions in 2016-2019. Three Wrestling World Championships and two European Wrestling tournaments were organized by the Hungarian Wrestling Federation in 2016-2019. A total of 2483 wrestlers in three Olympic wrestling styles have competed in 3007 matches. Data from all injuries were recorded and analyzed to define rates, locations, types and severity, and to compare with previous reports. A total of 53 wrestlers sustained 55 injuries, which is equivalent to an overall injury incidence rate of 9.1‰ (9.1/1000 athletic exposures). Greco-Roman and Women Wrestling had the same injury incidence rate, while Freestyle had a lower one (9.5‰ versus 8.5‰). The injury proportion by regions and anatomic locations were on head and face 29.1%, spine and trunk 16.4 % and the upper-and-lower extremity injuries equally 27.3%. The most common types of injuries included ligament lesions, joint injuries, skin lacerations, and contusions. Five wrestlers (0.8‰) sustained strangulation or concussion. Wrestling injury rates during United World Wrestling competitions are not high, but when happen they can be serious. Despite relatively low incidence rate of injuries, there is a need for continuous education for medical teams, referees and coaches to avoid wrestling injuries."
2021 Dec 15,Biology,Biology (Basel). 2021 Dec 15;10(12):1327. doi: 10.3390/biology10121327.,"['Mah, Aaron James', 'Ghazi Zadeh, Leili', 'Khoshnam Tehrani, Mahta', 'Askari, Shahbaz', 'Gandjbakhche, Amir H', 'Shadgan, Babak']","['biosensor', 'body temperature', 'digital thermometer', 'infrared thermography', 'infrared thermometer', 'remote monitoring', 'thermometry', 'tympanic thermometer', 'zero heat flux thermometer']",Studying the Accuracy and Function of Different Thermometry Techniques for Measuring Body Temperature.,"The purpose of this study was to determine which thermometry technique is the most accurate for regular measurement of body temperature. We compared seven different commercially available thermometers with a gold standard medical-grade thermometer (Welch-Allyn): four digital infrared thermometers (Wellworks, Braun, Withings, MOBI), one digital sublingual thermometer (Braun), one zero heat flux thermometer (3M), and one infrared thermal imaging camera (FLIR One). Thirty young healthy adults participated in an experiment that altered core body temperature. After baseline measurements, participants placed their feet in a cold-water bath while consuming cold water for 30 min. Subsequently, feet were removed and covered with a blanket for 30 min. Throughout the session, temperature was recorded every 10 min with all devices. The Braun tympanic thermometer (left ear) had the best agreement with the gold standard (mean error: 0.044 °C). The FLIR One thermal imaging camera was the least accurate device (mean error: -0.522 °C). A sign test demonstrated that all thermometry devices were significantly different than the gold standard except for the Braun tympanic thermometer (left ear). Our study showed that not all temperature monitoring techniques are equal, and suggested that tympanic thermometers are the most accurate commercially available system for the regular measurement of body temperature."
2021 Jan,"Journal of medical imaging (Bellingham, Wash.)",J Med Imaging (Bellingham). 2021 Jan;8(Suppl 1):010901. doi: ,"['Khaksari, Kosar', 'Nguyen, Thien', 'Hill, Brian', 'Quang, Timothy', 'Perreault, John', 'Gorti, Viswanath', 'Malpani, Ravi', 'Blick, Emily', 'González Cano, Tomás', 'Shadgan, Babak', 'Gandjbakhche, Amir H']","['core body temperature', 'coronavirus', 'fever screening', 'infectious disease', 'infrared thermography', 'thermal camera']",Review of the efficacy of infrared thermography for screening infectious diseases with applications to COVID-19.,"Purpose: The recent coronavirus disease 2019 (COVID-19) pandemic, which spread across the globe in a very short period of time, revealed that the transmission control of disease is a crucial step to prevent an outbreak and effective screening for viral infectious diseases is necessary. Since the severe acute respiratory syndrome (SARS) outbreak in 2003, infrared thermography (IRT) has been considered a gold standard method for screening febrile individuals at the time of pandemics. The objective of this review is to evaluate the efficacy of IRT for screening infectious diseases with specific applications to COVID-19. Approach: A literature review was performed in Google Scholar, PubMed, and ScienceDirect to search for studies evaluating IRT screening from 2002 to present using relevant keywords. Additional literature searches were done to evaluate IRT in comparison to traditional core body temperature measurements and assess the benefits of measuring additional vital signs for infectious disease screening. Results: Studies have reported on the unreliability of IRT due to poor sensitivity and specificity in detecting true core body temperature and its inability to identify asymptomatic carriers. Airport mass screening using IRT was conducted during occurrences of SARS, Dengue, Swine Flu, and Ebola with reported sensitivities as low as zero. Other studies reported that screening other vital signs such as heart and respiratory rates can lead to more robust methods for early infection detection. Conclusions: Studies evaluating IRT showed varied results in its efficacy for screening infectious diseases. This suggests the need to assess additional physiological parameters to increase the sensitivity and specificity of non-invasive biosensors."
