time,journal,doi_info,authors,key words,title,abstract
2024 May 14,Proceedings of the National Academy of Sciences of the United States of America,Proc Natl Acad Sci U S A. 2024 May 14;121(20):e2313971121. doi: ,"['Bosch, Thomas C G', 'Wigley, Mark', 'Colomina, Beatriz', 'Bohannan, Brendan', 'Meggers, Forrest', 'Amato, Katherine R', 'Azad, Meghan B', 'Blaser, Martin J', 'Brown, Kate', 'Dominguez-Bello, Maria Gloria', 'Ehrlich, Stanislav Dusko', 'Elinav, Eran', 'Finlay, B Brett', 'Geddie, Kate', 'Geva-Zatorsky, Naama', 'Giles-Vernick, Tamara', 'Gros, Philippe', 'Guillemin, Karen', 'Haraoui, Louis-Patrick', 'Johnson, Elizabeth', 'Keck, Frédéric', 'Lorimer, Jamie', 'McFall-Ngai, Margaret J', 'Nichter, Mark', 'Pettersson, Sven', 'Poinar, Hendrik', 'Rees, Tobias', 'Tropini, Carolina', 'Undurraga, Eduardo A', 'Zhao, Liping', 'Melby, Melissa K']","['animals', 'humans', ' built environment', ' microbiota physiology', 'anthropocene', 'architectural design', 'evolution', 'metaorganism', 'microbiome']",The potential importance of the built-environment microbiome and its impact on human health.,"There is increasing evidence that interactions between microbes and their hosts not only play a role in determining health and disease but also in emotions, thought, and behavior. Built environments greatly influence microbiome exposures because of their built-in highly specific microbiomes coproduced with myriad metaorganisms including humans, pets, plants, rodents, and insects. Seemingly static built structures host complex ecologies of microorganisms that are only starting to be mapped. These microbial ecologies of built environments are directly and interdependently affected by social, spatial, and technological norms. Advances in technology have made these organisms visible and forced the scientific community and architects to rethink gene-environment and microbe interactions respectively. Thus, built environment design must consider the microbiome, and research involving host-microbiome interaction must consider the built-environment. This paradigm shift becomes increasingly important as evidence grows that contemporary built environments are steadily reducing the microbial diversity essential for human health, well-being, and resilience while accelerating the symptoms of human chronic diseases including environmental allergies, and other more life-altering diseases. New models of design are required to balance maximizing exposure to microbial diversity while minimizing exposure to human-associated diseases. Sustained trans-disciplinary research across time (evolutionary, historical, and generational) and space (cultural and geographical) is needed to develop experimental design protocols that address multigenerational multispecies health and health equity in built environments."
2023 Dec 18,Current biology : CB,Curr Biol. 2023 Dec 18;33(24):R1272-R1274. doi: 10.1016/j.cub.2023.10.036.,"['Burckhardt, Juan C', 'Tropini, Carolina']","[' inovirus', ' bacteriophages']",Inoviruses.,Tropini and Burckhardt introduce inoviruses and discuss how they are unique amongst bacteriophages.
2023 Nov 17,mBio,mBio. 2023 Nov 17;14(6):e0109123. doi: 10.1128/mbio.01091-23.,"['Tropini, Carolina', 'Finlay, B Brett', 'Nichter, Mark', 'Melby, Melissa K', 'Metcalf, Jessica L', 'Dominguez-Bello, Maria Gloria', 'Zhao, Liping', 'McFall-Ngai, Margaret J', 'Geva-Zatorsky, Naama', 'Amato, Katherine R', 'Undurraga, Eduardo A', 'Poinar, Hendrik N', 'Gilbert, Jack A']","['artificial intelligence', 'early career researcher', 'peer review', 'peer review crisis', 'reviewer rewards']",Time to rethink academic publishing: the peer reviewer crisis.,"There is concern that the time taken to publish academic papers in microbiological science has significantly increased in recent years. While the data do not specifically support this, evidence suggests that editors are having to invite more and more reviewers to identify those willing to perform peer review."
2024 Feb,Nature reviews. Microbiology,Nat Rev Microbiol. 2024 Feb;22(2):105-118. doi: 10.1038/s41579-023-00969-0. Epub ,"['McCallum, Giselle', 'Tropini, Carolina']","['animals', ' gastrointestinal microbiome', ' microbiota', 'bacteria genetics', 'mammals']",The gut microbiota and its biogeography.,"Biogeography is the study of species distribution and diversity within an ecosystem and is at the core of how we understand ecosystem dynamics and interactions at the macroscale. In gut microbial communities, a historical reliance on bulk sequencing to probe community composition and dynamics has overlooked critical processes whereby microscale interactions affect systems-level microbiota function and the relationship with the host. In recent years, higher-resolution sequencing and novel single-cell level data have uncovered an incredible heterogeneity in microbial composition and have enabled a more nuanced spatial understanding of the gut microbiota. In an era when spatial transcriptomics and single-cell imaging and analysis have become key tools in mammalian cell and tissue biology, many of these techniques are now being applied to the microbiota. This fresh approach to intestinal biogeography has given important insights that span temporal and spatial scales, from the discovery of mucus encapsulation of the microbiota to the quantification of bacterial species throughout the gut. In this Review, we highlight emerging knowledge surrounding gut biogeography enabled by the observation and quantification of heterogeneity across multiple scales."
2023 Aug 31,mBio,mBio. 2023 Aug 31;14(4):e0075323. doi: 10.1128/mbio.00753-23. Epub 2023 Jul 11.,"['Ng, Katharine M', 'Pannu, Sagar', 'Liu, Sijie', 'Burckhardt, Juan C', 'Hughes, Thad', 'Van Treuren, Will', 'Nguyen, Jen', 'Naqvi, Kisa', 'Nguyen, Bachviet', 'Clayton, Charlotte A', 'Pepin, Deanna M', 'Collins, Samuel R', 'Tropini, Carolina']","['humans', 'animals', 'mice', ' gastrointestinal microbiome', ' microbiota', 'bacteria', 'osmolar concentration', 'hydrogen-ion concentration', 'acid stress', 'culturomics', 'machine learning', 'microbiota', 'osmolality', 'single-strain culture']",Single-strain behavior predicts responses to environmental pH and osmolality in the gut microbiota.,"Changes to gut environmental factors such as pH and osmolality due to disease or drugs correlate with major shifts in microbiome composition; however, we currently cannot predict which species can tolerate such changes or how the community will be affected. Here, we assessed the growth of 92 representative human gut bacterial strains spanning 28 families across multiple pH values and osmolalities in vitro. The ability to grow in extreme pH or osmolality conditions correlated with the availability of known stress response genes in many cases, but not all, indicating that novel pathways may participate in protecting against acid or osmotic stresses. Machine learning analysis uncovered genes or subsystems that are predictive of differential tolerance in either acid or osmotic stress. For osmotic stress, we corroborated the increased abundance of these genes in vivo during osmotic perturbation. The growth of specific taxa in limiting conditions in isolation in vitro correlated with survival in complex communities in vitro and in an in vivo mouse model of diet-induced intestinal acidification. Our data show that in vitro stress tolerance results are generalizable and that physical parameters may supersede interspecies interactions in determining the relative abundance of community members. This study provides insight into the ability of the microbiota to respond to common perturbations that may be encountered in the gut and provides a list of genes that correlate with increased ability to survive in these conditions. IMPORTANCE To achieve greater predictability in microbiota studies, it is crucial to consider physical environmental factors such as pH and particle concentration, as they play a pivotal role in influencing bacterial function and survival. For example, pH is significantly altered in various diseases, including cancers, inflammatory bowel disease, as well in the case of over-the-counter drug use. Additionally, conditions like malabsorption can affect particle concentration. In our study, we investigate how changes in environmental pH and osmolality can serve as predictive indicators of bacterial growth and abundance. Our research provides a comprehensive resource for anticipating shifts in microbial composition and gene abundance during complex perturbations. Moreover, our findings underscore the significance of the physical environment as a major driver of bacterial composition. Finally, this work emphasizes the necessity of incorporating physical measurements into animal and clinical studies to better understand the factors influencing shifts in microbiota abundance."
2023 Nov,Trends in microbiology,Trends Microbiol. 2023 Nov;31(11):1131-1142. doi: 10.1016/j.tim.2023.03.010. Epub ,"['Cotton, Sophie', 'Clayton, Charlotte A', 'Tropini, Carolina']","[' gonadal steroid hormones', 'hormones', ' microbiota physiology', 'steroids', 'androgens', 'endocrinology', 'estrogen', 'microbiota', 'testosterone']",Microbial endocrinology: the mechanisms by which the microbiota influences host sex steroids.,"Recent progress in microbial endocrinology has propelled this field from initially providing correlational links to defining the mechanisms by which microbes influence systemic sex hormones. Importantly, the interaction between the gut-resident bacteria and host-secreted hormones has been shown to be critical for host development as well as hormone-mediated disease progression. This review investigates how microbes affect active sex hormone levels, with a focus on gut-associated bacteria hormonal modifications and the resulting host physiological status. Specifically, we focus on the ability of the microbiota to reactivate estrogens and deactivate androgens and thereby influence systemic levels of host hormones in a clinically significant manner."
2023 Mar 30,Microbiome,Microbiome. 2023 Mar 30;11(1):65. doi: 10.1186/s40168-023-01496-z.,"['Burckhardt, Juan C', 'Chong, Derrick H Y', 'Pett, Nicola', 'Tropini, Carolina']","['mice', 'animals', 'humans', ' inovirus genetics', ' bacteriophages genetics', 'bacteria', 'prophages genetics', ' gastrointestinal microbiome', 'clostridiales', 'bacteriophages', 'filamentous phages', 'human gut phageome', 'human microbiome', 'inoviruses', 'phage-host interactions']",Gut commensal Enterocloster species host inoviruses that are secreted in vitro and in vivo.,"BACKGROUND: Bacteriophages in the family Inoviridae, or inoviruses, are under-characterized phages previously implicated in bacterial pathogenesis by contributing to biofilm formation, immune evasion, and toxin secretion. Unlike most bacteriophages, inoviruses do not lyse their host cells to release new progeny virions; rather, they encode a secretion system that actively pumps them out of the bacterial cell. To date, no inovirus associated with the human gut microbiome has been isolated or characterized. RESULTS: In this study, we utilized in silico, in vitro, and in vivo methods to detect inoviruses in bacterial members of the gut microbiota. By screening a representative genome library of gut commensals, we detected inovirus prophages in Enterocloster spp. (formerly Clostridium spp.). We confirmed the secretion of inovirus particles in in vitro cultures of these organisms using imaging and qPCR. To assess how the gut abiotic environment, bacterial physiology, and inovirus secretion may be linked, we deployed a tripartite in vitro assay that progressively evaluated bacterial growth dynamics, biofilm formation, and inovirus secretion in the presence of changing osmotic environments. Counter to other inovirus-producing bacteria, inovirus production was not correlated with biofilm formation in Enterocloster spp. Instead, the Enterocloster strains had heterogeneous responses to changing osmolality levels relevant to gut physiology. Notably, increasing osmolality induced inovirus secretion in a strain-dependent manner. We confirmed inovirus secretion in a gnotobiotic mouse model inoculated with individual Enterocloster strains in vivo in unperturbed conditions. Furthermore, consistent with our in vitro observations, inovirus secretion was regulated by a changed osmotic environment in the gut due to osmotic laxatives. CONCLUSION: In this study, we report on the detection and characterization of novel inoviruses from gut commensals in the Enterocloster genus. Together, our results demonstrate that human gut-associated bacteria can secrete inoviruses and begin to elucidate the environmental niche filled by inoviruses in commensal bacteria. Video Abstract."
2022 Jul 13,Cell host & microbe,Cell Host Microbe. 2022 Jul 13;30(7):905-907. doi: 10.1016/j.chom.2022.06.002.,"['Tropini, Carolina']","[' bacteria genetics', ' gastrointestinal microbiome', 'gene expression profiling  methods']",A bacterial record collection.,Gut microbiota transcripts are notoriously hard to record accurately during perturbations because it is difficult to collect the signals near the source and at the time of variation. A recent study by Schmidt et al. in Science demonstrates a technology that overcomes these barriers.
2022 Apr 26,mBio,mBio. 2022 Apr 26;13(2):e0294921. doi: 10.1128/mbio.02949-21. Epub 2022 Mar 10.,"['Wong, Erin Oi-Yan', 'Brownlie, Emma Joan Elizabeth', 'Ng, Katharine Michelle', 'Kathirgamanathan, Sornnujah', 'Yu, Feiqiao Brian', 'Merrill, Bryan D', 'Huang, Kerwyn Casey', 'Martin, Alberto', 'Tropini, Carolina', 'Navarre, William Wiley']","['animals', 'bacteria genetics', ' gastrointestinal microbiome physiology', 'inflammation', 'mice', ' microbiota', 'symbiosis', 'adlercreutzia', 'atopobiaceae', 'lachnospiraceae', 'muribaculaceae', 'prevotella', 'gut inflammation', 'microbial growth', 'microbiota']",The CIAMIB: a Large and Metabolically Diverse Collection of Inflammation-Associated Bacteria from the Murine Gut.,
2021 Aug 31,mSystems,mSystems. 2021 Aug 31;6(4):e0067521. doi: 10.1128/mSystems.00675-21. Epub 2021 ,"['Tropini, Carolina']","['gut biogeography', 'microbiota', 'physical perturbations']",How the Physical Environment Shapes the Microbiota.,"Living systems, from micro- to macro-scales, are strongly impacted by physical factors such as temperature, pH, and the concentration of compounds in their surrounding environment. In the macro-world, it is obvious that small changes in these parameters can have profound, and even devastating, impacts on an ecosystem. For example, in the case of global warming, a change in climate, and specifically a few degrees in temperature, has taken one million species of animals to the brink of extinction. Scale things down 6 orders of magnitude, our gut microbiota also experiences similar changes in temperature due to disease. In this highly competitive environment, physical perturbations inflict long-term consequences on the microbiota ecosystem and, in turn, on the host organism. My laboratory is exploring the feedback between the gut's physical environment, the microbiota, and disease. Our research highlights the importance of measuring physical parameters for the prediction of microbial dynamics and microbiota therapies."
