time,journal,doi_info,authors,key words,title,abstract
2024 May,Antiviral research,Antiviral Res. 2024 May;225:105869. doi: 10.1016/j.antiviral.2024.105869. Epub ,"['Pérez-Vargas, Jimena', 'Lemieux, Gabriel', 'Thompson, Connor A H', 'Désilets, Antoine', 'Ennis, Siobhan', 'Gao, Guang', 'Gordon, Danielle G', 'Schulz, Annika Lea', 'Niikura, Masahiro', 'Nabi, Ivan Robert', 'Krajden, Mel', 'Boudreault, Pierre-Luc', 'Leduc, Richard', 'Jean, François']","['humans', 'antibodies, neutralizing', 'antibodies, viral', 'antiviral agents', ' benzothiazoles', ' covid-19', 'sars-cov-2', 'serine endopeptidases', ' sulfonamides', 'combination therapy', 'host-directed antivirals', 'n-0385', 'sars-cov-2 omicron subvariants', 'tmprss2']",Nanomolar anti-SARS-CoV-2 Omicron activity of the host-directed TMPRSS2 inhibitor N-0385 and synergistic action with direct-acting antivirals.,"SARS-CoV-2 Omicron subvariants with increased transmissibility and immune evasion are spreading globally with alarming persistence. Whether the mutations and evolution of spike (S) Omicron subvariants alter the viral hijacking of human TMPRSS2 for viral entry remains to be elucidated. This is particularly important to investigate because of the large number and diversity of mutations of S Omicron subvariants reported since the emergence of BA.1. Here we report that human TMPRSS2 is a molecular determinant of viral entry for all the Omicron clinical isolates tested in human lung cells, including ancestral Omicron subvariants (BA.1, BA.2, BA.5), contemporary Omicron subvariants (BQ.1.1, XBB.1.5, EG.5.1) and currently circulating Omicron BA.2.86. First, we used a co-transfection assay to demonstrate the endoproteolytic cleavage by TMPRSS2 of spike Omicron subvariants. Second, we found that N-0385, a highly potent TMPRSS2 inhibitor, is a robust entry inhibitor of virus-like particles harbouring the S protein of Omicron subvariants. Third, we show that N-0385 exhibits nanomolar broad-spectrum antiviral activity against live Omicron subvariants in human Calu-3 lung cells and primary patient-derived bronchial epithelial cells. Interestingly, we found that N-0385 is 10-20 times more potent than the repositioned TMPRSS2 inhibitor, camostat, against BA.5, EG.5.1, and BA.2.86. We further found that N-0385 shows broad synergistic activity with clinically approved direct-acting antivirals (DAAs), i.e., remdesivir and nirmatrelvir, against Omicron subvariants, demonstrating the potential therapeutic benefits of a multi-targeted treatment based on N-0385 and DAAs."
2023,Bioinformatics advances,Bioinform Adv. 2023 Jun 1;3(1):vbad068. doi: 10.1093/bioadv/vbad068. eCollection ,"['Cardoen, Ben', 'Ben Yedder, Hanene', 'Lee, Sieun', 'Nabi, Ivan Robert', 'Hamarneh, Ghassan']",[],"DataCurator.jl: efficient, portable and reproducible validation, curation and transformation of large heterogeneous datasets using human-readable recipes compiled into machine-verifiable templates.","Large-scale processing of heterogeneous datasets in interdisciplinary research often requires time-consuming manual data curation. Ambiguity in the data layout and preprocessing conventions can easily compromise reproducibility and scientific discovery, and even when detected, it requires time and effort to be corrected by domain experts. Poor data curation can also interrupt processing jobs on large computing clusters, causing frustration and delays. We introduce DataCurator, a portable software package that verifies arbitrarily complex datasets of mixed formats, working equally well on clusters as on local systems. Human-readable TOML recipes are converted into executable, machine-verifiable templates, enabling users to easily verify datasets using custom rules without writing code. Recipes can be used to transform and validate data, for pre- or post-processing, selection of data subsets, sampling and aggregation, such as summary statistics. Processing pipelines no longer need to be burdened by laborious data validation, with data curation and validation replaced by human and machine-verifiable recipes specifying rules and actions. Multithreaded execution ensures scalability on clusters, and existing Julia, R and Python libraries can be reused. DataCurator enables efficient remote workflows, offering integration with Slack and the ability to transfer curated data to clusters using OwnCloud and SCP. Code available at: https://github.com/bencardoen/DataCurator.jl."
2023 May,Antiviral research,Antiviral Res. 2023 May;213:105577. doi: 10.1016/j.antiviral.2023.105577. Epub ,"['Perez-Vargas, Jimena', 'Shapira, Tirosh', 'Olmstead, Andrea D', 'Villanueva, Ivan', 'Thompson, Connor A H', 'Ennis, Siobhan', 'Gao, Guang', 'De Guzman, Joshua', 'Williams, David E', 'Wang, Meng', 'Chin, Aaleigha', 'Bautista-Sanchez, Diana', 'Agafitei, Olga', 'Levett, Paul', 'Xie, Xuping', 'Nuzzo, Genoveffa', 'Freire, Vitor F', 'Quintana-Bulla, Jairo I', 'Bernardi, Darlon I', 'Gubiani, Juliana R', 'Suthiphasilp, Virayu', 'Raksat, Achara', 'Meesakul, Pornphimol', 'Polbuppha, Isaraporn', 'Cheenpracha, Sarot', 'Jaidee, Wuttichai', 'Kanokmedhakul, Kwanjai', 'Yenjai, Chavi', 'Chaiyosang, Boonyanoot', 'Teles, Helder Lopes', 'Manzo, Emiliano', 'Fontana, Angelo', 'Leduc, Richard', 'Boudreault, Pierre-Luc', 'Berlinck, Roberto G S', 'Laphookhieo, Surat', 'Kanokmedhakul, Somdej', 'Tietjen, Ian', 'Cherkasov, Artem', 'Krajden, Mel', 'Nabi, Ivan Robert', 'Niikura, Masahiro', 'Shi, Pei-Yong', 'Andersen, Raymond J', 'Jean, François']",[],"Corrigendum to ""Discovery of lead natural products for developing pan-SARS-CoV-2 therapeutics"" ""Antiviral Research 209 (2023)/105484"".",
2022,PloS one,PLoS One. 2022 Dec 29;17(12):e0276726. doi: 10.1371/journal.pone.0276726. ,"['Cardoen, Ben', 'Wong, Timothy', 'Alan, Parsa', 'Lee, Sieun', 'Matsubara, Joanne Aiko', 'Nabi, Ivan Robert', 'Hamarneh, Ghassan']","['humans', 'microscopy, fluorescence methods', 'microscopy, confocal methods', ' algorithms', ' alzheimer disease diagnostic imaging', 'amyloid beta-peptides']",SPECHT: Self-tuning Plausibility based object detection Enables quantification of Conflict in Heterogeneous multi-scale microscopy.,"Identification of small objects in fluorescence microscopy is a non-trivial task burdened by parameter-sensitive algorithms, for which there is a clear need for an approach that adapts dynamically to changing imaging conditions. Here, we introduce an adaptive object detection method that, given a microscopy image and an image level label, uses kurtosis-based matching of the distribution of the image differential to express operator intent in terms of recall or precision. We show how a theoretical upper bound of the statistical distance in feature space enables application of belief theory to obtain statistical support for each detected object, capturing those aspects of the image that support the label, and to what extent. We validate our method on 2 datasets: distinguishing sub-diffraction limit caveolae and scaffold by stimulated emission depletion (STED) super-resolution microscopy; and detecting amyloid-β deposits in confocal microscopy retinal cross-sections of neuropathologically confirmed Alzheimer's disease donor tissue. Our results are consistent with biological ground truth and with previous subcellular object classification results, and add insight into more nuanced class transition dynamics. We illustrate the novel application of belief theory to object detection in heterogeneous microscopy datasets and the quantification of conflict of evidence in a joint belief function. By applying our method successfully to diffraction-limited confocal imaging of tissue sections and super-resolution microscopy of subcellular structures, we demonstrate multi-scale applicability."
2023 Jan,Antiviral research,Antiviral Res. 2023 Jan;209:105484. doi: 10.1016/j.antiviral.2022.105484. Epub ,"['Pérez-Vargas, Jimena', 'Shapira, Tirosh', 'Olmstead, Andrea D', 'Villanueva, Ivan', 'Thompson, Connor A H', 'Ennis, Siobhan', 'Gao, Guang', 'De Guzman, Joshua', 'Williams, David E', 'Wang, Meng', 'Chin, Aaleigha', 'Bautista-Sánchez, Diana', 'Agafitei, Olga', 'Levett, Paul', 'Xie, Xuping', 'Nuzzo, Genoveffa', 'Freire, Vitor F', 'Quintana-Bulla, Jairo I', 'Bernardi, Darlon I', 'Gubiani, Juliana R', 'Suthiphasilp, Virayu', 'Raksat, Achara', 'Meesakul, Pornphimol', 'Polbuppha, Isaraporn', 'Cheenpracha, Sarot', 'Jaidee, Wuttichai', 'Kanokmedhakul, Kwanjai', 'Yenjai, Chavi', 'Chaiyosang, Boonyanoot', 'Teles, Helder Lopes', 'Manzo, Emiliano', 'Fontana, Angelo', 'Leduc, Richard', 'Boudreault, Pierre-Luc', 'Berlinck, Roberto G S', 'Laphookhieo, Surat', 'Kanokmedhakul, Somdej', 'Tietjen, Ian', 'Cherkasov, Artem', 'Krajden, Mel', 'Nabi, Ivan Robert', 'Niikura, Masahiro', 'Shi, Pei-Yong', 'Andersen, Raymond J', 'Jean, François']","['humans', 'sars-cov-2', ' covid-19', 'pandemics', 'adenosine triphosphatases', 'antiviral agents pharmacology therapeutic use', ' biological products pharmacology', 'spike glycoprotein, coronavirus', 'host-directed antiviral', 'human tmprss2', 'human v-atpase', 'human protein kinase c', 'sars-cov-2 variants of concern']",Discovery of lead natural products for developing pan-SARS-CoV-2 therapeutics.,"The COVID-19 pandemic, caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), remains a global public health crisis. The reduced efficacy of therapeutic monoclonal antibodies against emerging SARS-CoV-2 variants of concern (VOCs), such as omicron BA.5 subvariants, has underlined the need to explore a novel spectrum of antivirals that are effective against existing and evolving SARS-CoV-2 VOCs. To address the need for novel therapeutic options, we applied cell-based high-content screening to a library of natural products (NPs) obtained from plants, fungi, bacteria, and marine sponges, which represent a considerable diversity of chemical scaffolds. The antiviral effect of 373 NPs was evaluated using the mNeonGreen (mNG) reporter SARS-CoV-2 virus in a lung epithelial cell line (Calu-3). The screening identified 26 NPs with half-maximal effective concentrations (EC(50)) below 50 μM against mNG-SARS-CoV-2; 16 of these had EC(50) values below 10 μM and three NPs (holyrine A, alotaketal C, and bafilomycin D) had EC(50) values in the nanomolar range. We demonstrated the pan-SARS-CoV-2 activity of these three lead antivirals against SARS-CoV-2 highly transmissible Omicron subvariants (BA.5, BA.2 and BA.1) and highly pathogenic Delta VOCs in human Calu-3 lung cells. Notably, holyrine A, alotaketal C, and bafilomycin D, are potent nanomolar inhibitors of SARS-CoV-2 Omicron subvariants BA.5 and BA.2. The pan-SARS-CoV-2 activity of alotaketal C [protein kinase C (PKC) activator] and bafilomycin D (V-ATPase inhibitor) suggest that these two NPs are acting as host-directed antivirals (HDAs). Future research should explore whether PKC regulation impacts human susceptibility to and the severity of SARS-CoV-2 infection, and it should confirm the important role of human V-ATPase in the VOC lifecycle. Interestingly, we observed a synergistic action of bafilomycin D and N-0385 (a highly potent inhibitor of human TMPRSS2 protease) against Omicron subvariant BA.2 in human Calu-3 lung cells, which suggests that these two highly potent HDAs are targeting two different mechanisms of SARS-CoV-2 entry. Overall, our study provides insight into the potential of NPs with highly diverse chemical structures as valuable inspirational starting points for developing pan-SARS-CoV-2 therapeutics and for unravelling potential host factors and pathways regulating SARS-CoV-2 VOC infection including emerging omicron BA.5 subvariants."
2022 May,Nature,Nature. 2022 May;605(7909):340-348. doi: 10.1038/s41586-022-04661-w. Epub 2022 ,"['Shapira, Tirosh', 'Monreal, I Abrrey', 'Dion, Sébastien P', 'Buchholz, David W', 'Imbiakha, Brian', 'Olmstead, Andrea D', 'Jager, Mason', 'Désilets, Antoine', 'Gao, Guang', 'Martins, Mathias', 'Vandal, Thierry', 'Thompson, Connor A H', 'Chin, Aaleigha', 'Rees, William D', 'Steiner, Theodore', 'Nabi, Ivan Robert', 'Marsault, Eric', 'Sahler, Julie', 'Diel, Diego G', 'Van de Walle, Gerlinde R', 'August, Avery', 'Whittaker, Gary R', 'Boudreault, Pierre-Luc', 'Leduc, Richard', 'Aguilar, Hector C', 'Jean, François']","['animals', ' covid-19 prevention & control virology', 'disease models, animal', 'humans', 'mice', 'mice, transgenic', ' sars-cov-2 drug effects', 'serine endopeptidases', ' serine proteinase inhibitors pharmacology therapeutic use', 'spike glycoprotein, coronavirus genetics metabolism', 'virus internalization drug effects']",A﻿ TMPRSS2 inhibitor acts as a pan-SARS-CoV-2 prophylactic and therapeutic.,"The COVID-19 pandemic caused by the SARS-CoV-2 virus remains a global public health crisis. Although widespread vaccination campaigns are underway, their efficacy is reduced owing to emerging variants of concern(1,2). Development of host-directed therapeutics and prophylactics could limit such resistance and offer urgently needed protection against variants of concern(3,4). Attractive pharmacological targets to impede viral entry include type-II transmembrane serine proteases (TTSPs) such as TMPRSS2; these proteases cleave the viral spike protein to expose the fusion peptide for cell entry, and thus have an essential role in the virus lifecycle(5,6). Here we identify and characterize a small-molecule compound, N-0385, which exhibits low nanomolar potency and a selectivity index of higher than 10(6) in inhibiting SARS-CoV-2 infection in human lung cells and in donor-derived colonoids(7). In Calu-3 cells it inhibits the entry of the SARS-CoV-2 variants of concern B.1.1.7 (Alpha), B.1.351 (Beta), P.1 (Gamma) and B.1.617.2 (Delta). Notably, in the K18-human ACE2 transgenic mouse model of severe COVID-19, we found that N-0385 affords a high level of prophylactic and therapeutic benefit after multiple administrations or even after a single administration. Together, our findings show that TTSP-mediated proteolytic maturation of the spike protein is critical for SARS-CoV-2 infection in vivo, and suggest that N-0385 provides an effective early treatment option against COVID-19 and emerging SARS-CoV-2 variants of concern."
2020 Jun 12,"Patterns (New York, N.Y.)",Patterns (N Y). 2020 Jun 12;1(3):100038. doi: 10.1016/j.patter.2020.100038. ,"['Khater, Ismail M', 'Nabi, Ivan Robert', 'Hamarneh, Ghassan']","['smlm', 'cluster analysis', 'localization microscopy', 'molecular complexes', 'point clouds', 'quantification of biological structures', 'single molecule', 'super-resolution nanoscopy']",A Review of Super-Resolution Single-Molecule Localization Microscopy Cluster Analysis and Quantification Methods.,"Single-molecule localization microscopy (SMLM) is a relatively new imaging modality, winning the 2014 Nobel Prize in Chemistry, and considered as one of the key super-resolution techniques. SMLM resolution goes beyond the diffraction limit of light microscopy and achieves resolution on the order of 10-20 nm. SMLM thus enables imaging single molecules and study of the low-level molecular interactions at the subcellular level. In contrast to standard microscopy imaging that produces 2D pixel or 3D voxel grid data, SMLM generates big data of 2D or 3D point clouds with millions of localizations and associated uncertainties. This unprecedented breakthrough in imaging helps researchers employ SMLM in many fields within biology and medicine, such as studying cancerous cells and cell-mediated immunity and accelerating drug discovery. However, SMLM data quantification and interpretation methods have yet to keep pace with the rapid advancement of SMLM imaging. Researchers have been actively exploring new computational methods for SMLM data analysis to extract biosignatures of various biological structures and functions. In this survey, we describe the state-of-the-art clustering methods adopted to analyze and quantify SMLM data and examine the capabilities and shortcomings of the surveyed methods. We classify the methods according to (1) the biological application (i.e., the imaged molecules/structures), (2) the data acquisition (such as imaging modality, dimension, resolution, and number of localizations), and (3) the analysis details (2D versus 3D, field of view versus region of interest, use of machine-learning and multi-scale analysis, biosignature extraction, etc.). We observe that the majority of methods that are based on second-order statistics are sensitive to noise and imaging artifacts, have not been applied to 3D data, do not leverage machine-learning formulations, and are not scalable for big-data analysis. Finally, we summarize state-of-the-art methodology, discuss some key open challenges, and identify future opportunities for better modeling and design of an integrated computational pipeline to address the key challenges."
2020 Jun,Cancer metastasis reviews,Cancer Metastasis Rev. 2020 Jun;39(2):333. doi: 10.1007/s10555-020-09893-8.,"['Nabi, Ivan Robert']","['history, 20th century', 'history, 21st century', 'humans', 'machine learning history', 'medical oncology  history', 'microscopy, confocal history', 'neoplasms pathology']",Biography-Ivan Robert Nabi.,
2020 Jun,Cancer metastasis reviews,Cancer Metastasis Rev. 2020 Jun;39(2):335. doi: 10.1007/s10555-020-09894-7.,"['Nabi, Ivan Robert']","['caveolin 1  metabolism', 'cellular senescence physiology', 'humans', 'lipid metabolism', 'membrane microdomains metabolism', 'neoplasms  metabolism pathology']",Preface.,
2020 Apr,Molecular cancer research : MCR,Mol Cancer Res. 2020 Apr;18(4):644-656. doi: 10.1158/1541-7786.MCR-19-0856. Epub ,"['Indira Chandran, Vineesh', 'Månsson, Ann-Sofie', 'Barbachowska, Magdalena', 'Cerezo-Magaña, Myriam', 'Nodin, Björn', 'Joshi, Bharat', 'Koppada, Neelima', 'Saad, Ola M', 'Gluz, Oleg', 'Isaksson, Karolin', 'Borgquist, Signe', 'Jirström, Karin', 'Nabi, Ivan Robert', 'Jernström, Helena', 'Belting, Mattias']","['antineoplastic agents, immunological pharmacology  therapeutic use', 'breast neoplasms  drug therapy pathology', 'caveolin 1  drug effects', 'cell hypoxia  drug effects', 'female', 'humans', 'maytansine pharmacology  therapeutic use', 'transfection', 'trastuzumab pharmacology  therapeutic use']",Hypoxia Attenuates Trastuzumab Uptake and Trastuzumab-Emtansine (T-DM1) Cytotoxicity through Redistribution of Phosphorylated Caveolin-1.,"The antibody-drug conjugate trastuzumab-emtansine (T-DM1) offers an additional treatment option for patients with HER2-amplified tumors. However, primary and acquired resistance is a limiting factor in a significant subset of patients. Hypoxia, a hallmark of cancer, regulates the trafficking of several receptor proteins with potential implications for tumor targeting. Here, we have investigated how hypoxic conditions may regulate T-DM1 treatment efficacy in breast cancer. The therapeutic effect of T-DM1 and its metabolites was evaluated in conjunction with biochemical, flow cytometry, and high-resolution imaging studies to elucidate the functional and mechanistic aspects of hypoxic regulation. HER2 and caveolin-1 expression was investigated in a well-annotated breast cancer cohort. We find that hypoxia fosters relative resistance to T-DM1 in HER2(+) cells (SKBR3 and BT474). This effect was not a result of deregulated HER2 expression or resistance to emtansine and its metabolites. Instead, we show that hypoxia-induced translocation of caveolin-1 from cytoplasmic vesicles to the plasma membrane contributes to deficient trastuzumab internalization and T-DM1 chemosensitivity. Caveolin-1 depletion mimicked the hypoxic situation, indicating that vesicular caveolin-1 is indispensable for trastuzumab uptake and T-DM1 cytotoxicity. In vitro studies suggested that HER2 and caveolin-1 are not coregulated, which was supported by IHC analysis in patient tumors. We find that phosphorylation-deficient caveolin-1 inhibits trastuzumab internalization and T-DM1 cytotoxicity, suggesting a specific role for caveolin-1 phosphorylation in HER2 trafficking. IMPLICATIONS: Together, our data for the first time identify hypoxic regulation of caveolin-1 as a resistance mechanism to T-DM1 with potential implications for individualized treatment of breast cancer."
