time,journal,doi_info,authors,key words,title,abstract
2023 Dec 8,Scientific reports,Sci Rep. 2023 Dec 8;13(1):21915. doi: 10.1038/s41598-023-49072-7.,"['Abbasi, Usama', 'Abbina, Srinivas', 'Gill, Arshdeep', 'Kizhakkedathu, Jayachandran N']","['humans', 'hep g2 cells', 'reactive oxygen species metabolism', ' iron overload metabolism', 'iron metabolism']",Development of an iron overload HepG2 cell model using ferrous ammonium citrate.,"Cell-based iron overload models provide tremendous utility for the investigations into the pathogenesis of different diseases as well as assessing efficacy of various therapeutic strategies. In the literature, establishing such models vary widely with regards to cell lines, iron source, iron treatment conditions and duration. Due to this diversity, researchers reported significant differences in the measured outcomes, either in cellular function or response to a stimulus. Herein, we report the process required to establish an iron overload HepG2 cell model to achieve a consistent and reproducible results such that the literature can strive towards a consensus. Iron loading in cells was achieved with 50 μM of iron every 24 h for 2 days, followed by an additional 24 h of maintenance in fresh media. We demonstrated that iron overloaded cells had significantly increased ROS generation, labile and total iron whilst having various cellular functions resemble cells without iron overload. The present report addresses key pitfalls with regards to the lack of consensus currently present in the literature."
2023 Apr 26,Nature communications,Nat Commun. 2023 Apr 26;14(1):2177. doi: 10.1038/s41467-023-37709-0.,"['La, Chanel C', 'Smith, Stephanie A', 'Vappala, Sreeparna', 'Adili, Reheman', 'Luke, Catherine E', 'Abbina, Srinivas', 'Luo, Haiming D', 'Chafeeva, Irina', 'Drayton, Matthew', 'Creagh, Louise A', 'de Guadalupe Jaraquemada-Peláez, Maria', 'Rhoads, Nicole', 'Kalathottukaren, Manu Thomas', 'Henke, Peter K', 'Straus, Suzana K', 'Du, Caigan', 'Conway, Edward M', 'Holinstat, Michael', 'Haynes, Charles A', 'Morrissey, James H', 'Kizhakkedathu, Jayachandran N']","['mice', 'animals', 'fibrinolytic agents pharmacology therapeutic use', 'ligands', ' thrombosis drug therapy prevention & control', 'anticoagulants adverse effects', 'hemorrhage chemically induced prevention & control drug therapy', 'platelet aggregation inhibitors pharmacology therapeutic use', ' drug-related side effects and adverse reactions']",Smart thrombosis inhibitors without bleeding side effects via charge tunable ligand design.,"Current treatments to prevent thrombosis, namely anticoagulants and platelets antagonists, remain complicated by the persistent risk of bleeding. Improved therapeutic strategies that diminish this risk would have a huge clinical impact. Antithrombotic agents that neutralize and inhibit polyphosphate (polyP) can be a powerful approach towards such a goal. Here, we report a design concept towards polyP inhibition, termed macromolecular polyanion inhibitors (MPI), with high binding affinity and specificity. Lead antithrombotic candidates are identified through a library screening of molecules which possess low charge density at physiological pH but which increase their charge upon binding to polyP, providing a smart way to enhance their activity and selectivity. The lead MPI candidates demonstrates antithrombotic activity in mouse models of thrombosis, does not give rise to bleeding, and is well tolerated in mice even at very high doses. The developed inhibitor is anticipated to open avenues in thrombosis prevention without bleeding risk, a challenge not addressed by current therapies."
2022 Oct,Journal of controlled release : official journal of the Controlled Release ,J Control Release. 2022 Oct;350:857-869. doi: 10.1016/j.jconrel.2022.08.056. Epub ,"['Abbina, Srinivas', 'Abbasi, Usama', 'Gill, Arshdeep', 'Leitch, Heather', 'Kizhakkedathu, Jayachandran N']","['biological transport, active', 'free radicals metabolism', 'humans', ' iron metabolism', ' iron overload drug therapy metabolism', 'liver metabolism', 'tissue distribution', 'hepatic iron overload', 'hepato-biliary excretion', 'iron chelation', 'iron excretion', 'nanochelators', 'sugar-based liver targeting']",Active transport nanochelators for the reduction of liver iron burden in iron overload.,"Liver dysfunction and failure account for a major portion of premature deaths in patients suffering from various iron associated pathogeneses, particularly primary and secondary iron overload disorders, despite intensive treatment. The liver is a central player in iron homeostasis and a major iron storage organ, and currently, there are no active approaches for the excretion of excess liver iron. Herein, we report a new method for the rapid reduction of iron burden in iron overload diseases by developing a new class of liver targeted nanochelators with favorable pharmacokinetics and biodistribution. The new nanochelators bypass the reticuloendothelial system and specifically target hepatocytes without non-specific accumulation in other organs. The targeted nanochelators bound and neutralized excess iron in the liver and from the vasculature and, eventually leading to rapid hepatobiliary excretion of labile iron. Further, these rapidly excreted nanochelators did not induce toxicity in the liver, were highly cytocompatible in both iron overload and non-loaded conditions, and were promising in mitigating iron triggered free radical oxidative damage. These studies provide key insights into the development of organ targeted nanochelating systems and the rapid reduction of iron burden in vivo. This methodology allows for further development of nanotherapeutics for specific iron overload diseases."
2021 Dec,Journal of the mechanical behavior of biomedical materials,J Mech Behav Biomed Mater. 2021 Dec;124:104851. doi: 10.1016/j.jmbbm.2021.104851. ,"['Yeh, Han Hung', 'Yu, Kai', 'Vappala, Sreeparna', 'Kalathottukaren, Manu Thomas', 'Abbina, Srinivas', 'Luo, Haiming D', 'Grecov, Dana', 'Kizhakkedathu, Jayachandran N']","['anticoagulants pharmacology', 'blood coagulation', 'heparin pharmacology', 'humans', ' protamines pharmacology', ' thrombosis', 'anticoagulant reversal', 'blood clot microstructure', 'coagulation dynamics', 'small amplitude oscillatory shear rheometry', 'universal heparin reversal agent']",Rheological and clot microstructure evaluation of heparin neutralization by UHRA and protamine.,"The current study reports the use of small amplitude oscillatory rheometry to investigate the dynamics of blood clot formation upon heparin neutralization under three different oscillatory frequencies, two of which were mimicking physiological heart rates. We utilized two different heparin antidotes, namely protamine and newly developed universal heparin reversal agent (UHRA-7), at different concentrations to determine the quality of blood clot formed upon heparin neutralization by analyzing several key rheological parameters. Scanning electron microscopy (SEM) was used to determine the morphology and microstructure of the blood clot after heparin neutralization to support the rheological observations. The current study revealed that the structure of blood clots formed had significant differences when an oscillatory frequency that mimicked the physiological heart rate was used in comparison to a lower frequency commonly used in current clinical measurements. The limited working dose range for protamine and its intrinsic anticoagulation behaviour was observed. The neutralization profile of UHRA-7 showed a large window of activity. The global assessment of rheological parameters and microstructure of the clot together revealed additional details describing anticoagulant reversal and blood coagulation dynamics by relating the blood clot's fiber thickness and the oscillatory measurements, including storage modulus and blood clot's contractile force. Additionally, a mechanical characterization was conducted to provide a further assessment of blood coagulation using the rheological data."
2021 Oct,Nature biomedical engineering,Nat Biomed Eng. 2021 Oct;5(10):1202-1216. doi: 10.1038/s41551-021-00777-y. Epub ,"['Siren, Erika M J', 'Luo, Haiming D', 'Tam, Franklin', 'Montgomery, Ashani', 'Enns, Winnie', 'Moon, Haisle', 'Sim, Lyann', 'Rey, Kevin', 'Guan, Qiunong', 'Wang, Jiao-Jing', 'Wardell, Christine M', 'Monajemi, Mahdis', 'Mojibian, Majid', 'Levings, Megan K', 'Zhang, Zheng J', 'Du, Caigan', 'Withers, Stephen G', 'Choy, Jonathan C', 'Kizhakkedathu, Jayachandran N']","['allografts', 'animals', ' glycocalyx', ' graft rejection prevention & control', 'immunosuppressive agents', 'mice', 'polymers']",Prevention of vascular-allograft rejection by protecting the endothelial glycocalyx with immunosuppressive polymers.,"Systemic immunosuppression for the mitigation of immune rejection after organ transplantation causes adverse side effects and constrains the long-term benefits of the transplanted graft. Here we show that protecting the endothelial glycocalyx in vascular allografts via the enzymatic ligation of immunosuppressive glycopolymers under cold-storage conditions attenuates the acute and chronic rejection of the grafts after transplantation in the absence of systemic immunosuppression. In syngeneic and allogeneic mice that received kidney transplants, the steric and immunosuppressive properties of the ligated polymers largely protected the transplanted grafts from ischaemic reperfusion injury, and from immune-cell adhesion and thereby immunocytotoxicity. Polymer-mediated shielding of the endothelial glycocalyx following organ procurement should be compatible with clinical procedures for transplant preservation and perfusion, and may reduce the damage and rejection of transplanted organs after surgery."
2021 Mar 16,Scientific reports,Sci Rep. 2021 Mar 16;11(1):6008. doi: 10.1038/s41598-021-85387-z.,"['Abbasi, Usama', 'Abbina, Srinivas', 'Gill, Arshdeep', 'Bhagat, Vriti', 'Kizhakkedathu, Jayachandran N']","['animals', 'colorimetry', 'hep g2 cells', 'humans', ' iron analysis metabolism', 'iron overload  metabolism', 'mice', 'organ specificity']",A facile colorimetric method for the quantification of labile iron pool and total iron in cells and tissue specimens.,"Quantification of iron is an important step to assess the iron burden in patients suffering from iron overload diseases, as well as tremendous value in understanding the underlying role of iron in the pathophysiology of these diseases. Current iron determination of total or labile iron, requires extensive sample handling and specialized instruments, whilst being time consuming and laborious. Moreover, there is minimal to no overlap between total iron and labile iron quantification methodologies-i.e. requiring entirely separate protocols, techniques and instruments. Herein, we report a unified-ferene (u-ferene) assay that enables a 2-in-1 quantification of both labile and total iron from the same preparation of a biological specimen. We demonstrate that labile iron concentrations determined from the u-ferene assay is in agreement with confocal laser scanning microscopy techniques employed within the literature. Further, this assay offers the same sensitivity as the current gold standard, inductively coupled plasma mass spectrometry (ICP-MS), for total iron measurements. The new u-ferene assay will have tremendous value for the wider scientific community as it offers an economic and readily accessible method for convenient 2-in-1 measurement of total and labile iron from biological samples, whilst maintaining the precision and sensitivity, as compared to ICP-MS."
2020 Jun 16,Nature communications,Nat Commun. 2020 Jun 16;11(1):3048. doi: 10.1038/s41467-020-16772-x.,"['Abbina, Srinivas', 'Takeuchi, Lily E', 'Anilkumar, Parambath', 'Yu, Kai', 'Rogalski, Jason C', 'Shenoi, Rajesh A', 'Constantinescu, Iren', 'Kizhakkedathu, Jayachandran N']","['administration, intravenous', 'animals', 'biocompatible materials  pharmacokinetics', 'blood circulation', 'female', 'half-life', 'humans', 'male', 'mice, inbred balb c', 'nanostructures  administration & dosage chemistry', 'opsonin proteins  blood chemistry metabolism', 'polymers chemistry  metabolism', 'protein corona chemistry metabolism', 'tandem mass spectrometry', 'tissue distribution']",Blood circulation of soft nanomaterials is governed by dynamic remodeling of protein opsonins at nano-biointerface.,"Nanomaterials in the blood must mitigate the immune response to have a prolonged vascular residency in vivo. The composition of the protein corona that forms at the nano-biointerface may be directing this, however, the possible correlation of corona composition with blood residency is currently unknown. Here' we report a panel of new soft single molecule polymer nanomaterials (SMPNs) with varying circulation times in mice (t(1/2β) ~ 22 to 65 h) and use proteomics to probe protein corona at the nano-biointerface to elucidate the mechanism of blood residency of nanomaterials. The composition of the protein opsonins on SMPNs is qualitatively and quantitatively dynamic with time in circulation. SMPNs that circulate longer are able to clear some of the initial surface-bound common opsonins, including immunoglobulins, complement, and coagulation proteins. This continuous remodelling of protein opsonins may be an important decisive step in directing elimination or residence of soft nanomaterials in vivo."
2020 Sep,"Colloids and surfaces. B, Biointerfaces",Colloids Surf B Biointerfaces. 2020 Sep;193:111116. doi: ,"['Ahmadabadi, Hossein Yazdani', 'Yu, Kai', 'Kizhakkedathu, Jayachandran N']","['anti-bacterial agents chemistry  pharmacology', 'bacteria  drug effects', 'bacterial adhesion drug effects', 'biofilms drug effects', 'hydrogels chemistry  pharmacology', 'polymers chemistry  pharmacology', 'anti-adhesive hydrogels', 'anti-fouling coatings', 'antibiotic releasing coatings', 'antimicrobial peptides', 'bactericide depots', 'biofilm formation', 'infection-resistant coatings', 'no releasing coatings', 'polymer brushes']",Surface modification approaches for prevention of implant associated infections.,"In this highlight, we summarize the surface modification approaches for development of infection-resistant coatings for biomedical devices and implants. We discuss the relevant key and highly cited research that have been published over the last five years which report the generation of infection-resistant coatings. An important strategy utilized to prevent bacterial adhesion and biofilm formation on device/implant surface is anti-adhesive protein repellant polymeric coatings based on polymer brushes or highly hydrated hydrogel networks. Further, the attachment of antimicrobial agents that can efficiently kill bacteria on the surface while also prevent bacterial adhesion on the surface is also investigated. Other approaches include the incorporation of antimicrobial agents to the surface coating resulting in a depot of bactericides which can be released on-demand or with time to prevent bacterial colonization on the surface that kill the adhered bacteria on the surface to make surface infection resistant."
2020 May 1,Nature communications,Nat Commun. 2020 May 1;11(1):2139. doi: 10.1038/s41467-020-15975-6.,"['Anilkumar, Parambath', 'Lawson, Taylor B', 'Abbina, Srinivas', 'Mäkelä, Janne T A', 'Sabatelle, Robert C', 'Takeuchi, Lily E', 'Snyder, Brian D', 'Grinstaff, Mark W', 'Kizhakkedathu, Jayachandran N']","['dendrimers  chemistry', 'glycerol  chemistry', 'lubricants  chemistry', 'macromolecular substances chemistry', 'nanotechnology  methods', 'polymers  chemistry', 'surface properties']",Mega macromolecules as single molecule lubricants for hard and soft surfaces.,"A longstanding goal in science and engineering is to mimic the size, structure, and functionality present in biology with synthetic analogs. Today, synthetic globular polymers of several million molecular weight are unknown, and, yet, these structures are expected to exhibit unanticipated properties due to their size, compactness, and low inter-chain interactions. Here we report the gram-scale synthesis of dendritic polymers, mega hyperbranched polyglycerols (mega HPGs), in million daltons. The mega HPGs are highly water soluble, soft, nanometer-scale single polymer particles that exhibit low intrinsic viscosities. Further, the mega HPGs are lubricants acting as interposed single molecule ball bearings to reduce the coefficient of friction between both hard and soft natural surfaces in a size dependent manner. We attribute this result to their globular and single particle nature together with its exceptional hydration. Collectively, these results set the stage for new opportunities in the design, synthesis, and evaluation of mega polymers."
2018 May 15,Scientific reports,Sci Rep. 2018 May 15;8(1):7581. doi: 10.1038/s41598-018-25870-2.,"['Siren, Erika M J', 'Chapanian, Rafi', 'Constantinescu, Iren', 'Brooks, Donald E', 'Kizhakkedathu, Jayachandran N']","['cd47 antigen chemistry  metabolism', 'cell membrane  chemistry metabolism', 'glycocalyx chemistry  metabolism', 'human umbilical vein endothelial cells', 'humans', 'protein binding', 'protein engineering', 'surface properties']",Oncotically Driven Control over Glycocalyx Dimension for Cell Surface Engineering and Protein Binding in the Longitudinal Direction.,"Here we present a simple technique for re-directing reactions on the cell surface to the outermost region of the glycocalyx. Macromolecular crowding with inert polymers was utilized to reversibly alter the accessibility of glycocalyx proteoglycans toward cell-surface reactive probes allowing for reactivity control in the longitudinal direction ('z'-direction) on the glycocalyx. Studies in HUVECs demonstrated an oncotically driven collapse of the glycocalyx brush structure in the presence of crowders as the mechanism responsible for re-directing reactivity. This phenomenon is consistent across a variety of macromolecular agents including polymers, protein markers and antibodies which all displayed enhanced binding to the outermost surface of multiple cell types. We then demonstrated the biological significance of the technique by increasing the camouflage of red blood cell surface antigens via a crowding-enhanced attachment of voluminous polymers to the exterior of the glycocalyx. The accessibility to Rhesus D (R(h)D) and CD47 proteins on the cell surface was significantly decreased in crowding-assisted polymer grafting in comparison to non-crowded conditions. This strategy is expected to generate new tools for controlled glycocalyx engineering, probing the glycocalyx structure and function, and improving the development of cell based therapies."
