time,journal,doi_info,authors,key words,title,abstract
2024 May,EMBO reports,EMBO Rep. 2024 May;25(5):2156-2161. doi: 10.1038/s44319-024-00129-2. Epub 2024 ,"['Nadler, R Roland', 'Spranger, Tade M', 'Rotenberg, Ari', 'Barretto, Tanya A', 'Hansmann, Julia', 'Hemmer, Anna', 'Kiss, Zelma Ht', 'Madden, John Dw', 'Strong, Michael J', 'Illes, Judy']","['humans', ' neurosciences ethics legislation & jurisprudence', ' human rights legislation & jurisprudence', ' patents as topic legislation & jurisprudence ethics', ' social responsibility']",Harmful uses of patentable neurotechnology: a new regulatory approach : Proposing a framework safeguarding human rights and social responsibility for patented applications of neuroscience.,The increasing ability of neuroscience to analyse and modulate human brain functions calls for a new regulatory approach to identify and deal with potential harmful applications in the early stages of development. [Image: see text]
2023 Oct 25,Scientific reports,Sci Rep. 2023 Oct 25;13(1):17390. doi: 10.1038/s41598-023-43714-6.,"['Sarwar, Mirza S', 'Ishizaki, Ryusuke', 'Morton, Kieran', 'Preston, Claire', 'Nguyen, Tan', 'Fan, Xu', 'Dupont, Bertille', 'Hogarth, Leanna', 'Yoshiike, Takahide', 'Qiu, Ruixin', 'Wu, Yiting', 'Mirabbasi, Shahriar', 'Madden, John D W']","['humans', 'mechanical phenomena', ' robotics', 'touch']","Touch, press and stroke: a soft capacitive sensor skin.","Soft sensors that can discriminate shear and normal force could help provide machines the fine control desirable for safe and effective physical interactions with people. A capacitive sensor is made for this purpose, composed of patterned elastomer and containing both fixed and sliding pillars that allow the sensor to deform and buckle, much like skin itself. The sensor differentiates between simultaneously applied normal force and shear using summation and differences of signals from four deformable capacitors. Cross talk from shear to normal force is less than 2.5%, and between shear axes is less than 10%. Normal and shear stress sensitivity is 0.49 kPa and 0.31 kPa respectively, with a minimum displacement resolution of 40 μm. In addition, finger proximity is detectable at a range of up to 15 mm. The operation is demonstrated on a simple gripper holding a cup. The combination of features and the straightforward fabrication method make this sensor a candidate for implementation as a sensing skin for humanoid robotics applications."
2023 Jun 14,ACS applied materials & interfaces,ACS Appl Mater Interfaces. 2023 Jun 14;15(23):28288-28299. doi: ,"['Preston, Claire', 'Dobashi, Yuta', 'Nguyen, Ngoc Tan', 'Sarwar, Mirza Saquib', 'Jun, Daniel', 'Plesse, Cédric', 'Sallenave, Xavier', 'Vidal, Frédéric', 'Aubert, Pierre-Henri', 'Madden, John D W']","['pedot', 'conducting polymer, ionic skin, electronic skin', 'display', 'electrochromic', 'stretchable']",Intrinsically Stretchable Integrated Passive Matrix Electrochromic Display Using PEDOT:PSS Ionic Liquid Composite.,"The low power consumption of electrochromism makes it widely used in actively shaded windows and mirrors, while flexible versions are attractive for use in wearable devices. Initial demonstration of stretchable electrochromic elements promises good conformability to complex surfaces. Here, fully integrated intrinsically stretchable electrochromic devices are demonstrated as single elements and 3 × 3 displays. Conductive and electrochromic ionic liquid-doped poly(3,4-ethylenedioxythiophene) polystyrene sulfonate is combined with poly(vinyl alcohol)-based electrolyte to form complete cells. A transmission change of 15% is demonstrated, along with a reflectance change of 25% for opaque reflective devices, with <7 s switching time, even under 30% strain. Stability under both electrochemical and mechanical strain cycling is demonstrated. A passive matrix display exhibits addressability and low cross-talk under strain. Comparable optical performance to flexible electrochromics and higher deformability provide attractive qualities for use in wearable, biometric monitoring, and robotic skin devices."
2023 May,Advanced healthcare materials,Adv Healthc Mater. 2023 May;12(12):e2202632. doi: 10.1002/adhm.202202632. Epub ,"['Dobashi, Yuta', 'Ku, Jerry C', 'Ramjist, Joel', 'Pasarikovski, Christopher', 'Walus, Konrad', 'Madden, John D W', 'Yang, Victor X D']","[' hydrogels', ' polyethylene glycols', 'drug delivery systems methods', 'doxorubicin', 'drug delivery', 'endovascular embolization', 'hydrogels', 'shear thinning']",Photomodulated Extrusion as a Localized Endovascular Hydrogel Deposition Method.,"Minimally invasive endovascular embolization is used to treat a wide range of diseases in neurology, oncology, and trauma where the vascular morphologies and corresponding hemodynamics vary greatly. Current techniques based on metallic coils, flow diverters, liquid embolics, and suspended microspheres are limited in their ability to address a wide variety of vasculature and can be plagued by complications including distal migration, compaction, and inappropriate vascular remodeling. Further, these endovascular devices currently offer limited therapeutic functions beyond flow control such as drug delivery. Herein, a novel in situ microcatheter-based photomodulated extrusion approach capable of dynamically tuning the physical and morphological properties of injectable hydrogels, optimizing for local hemodynamic environment and vascular morphology, is proposed and demonstrated. A shear thinning and photoactivated poly(ethylene glycol diacrylate)-nanosilicate (PEGDA-nSi) hydrogel is used to demonstrate multiple extrusion modes which are controlled by photokinetics and device configurations. Real-time photomodulation of injected hydrogel viscosity and modulus is successfully used for embolization in various vasculatures, including high-flow large vessels and arterial-to-arterial capillary shunts. Furthermore, a generalizable therapeutic delivery platform is proposed by demonstrating a core-shell structured extrusion encapsulating doxorubicin to achieve a more sustained release compared to unencapsulated payload."
2022 Apr 29,"Science (New York, N.Y.)",Science. 2022 Apr 29;376(6592):502-507. doi: 10.1126/science.aaw1974. Epub 2022 ,"['Dobashi, Yuta', 'Yao, Dickson', 'Petel, Yael', 'Nguyen, Tan Ngoc', 'Sarwar, Mirza Saquib', 'Thabet, Yacine', 'Ng, Cliff L W', 'Scabeni Glitz, Ettore', 'Nguyen, Giao Tran Minh', 'Plesse, Cédric', 'Vidal, Frédéric', 'Michal, Carl A', 'Madden, John D W']","['humans', ' hydrogels', 'mechanical phenomena', ' mechanoreceptors', 'skin', 'touch physiology']",Piezoionic mechanoreceptors: Force-induced current generation in hydrogels.,"The human somatosensory network relies on ionic currents to sense, transmit, and process tactile information. We investigate hydrogels that similarly transduce pressure into ionic currents, forming a piezoionic skin. As in rapid- and slow-adapting mechanoreceptors, piezoionic currents can vary widely in duration, from milliseconds to hundreds of seconds. These currents are shown to elicit direct neuromodulation and muscle excitation, suggesting a path toward bionic sensory interfaces. The signal magnitude and duration depend on cationic and anionic mobility differences. Patterned hydrogel films with gradients of fixed charge provide voltage offsets akin to cell potentials. The combined effects enable the creation of self-powered and ultrasoft piezoionic mechanoreceptors that generate a charge density four to six orders of magnitude higher than those of triboelectric and piezoelectric devices."
2021 Apr 28,Science robotics,Sci Robot. 2021 Apr 28;6(53):eabi5066. doi: 10.1126/scirobotics.abi5066.,"['Madden, John D W']","['dna genetics', ' muscle contraction', ' muscle, skeletal']",Unraveling DNA inspires artificial muscle.,Super-contractile artificial muscle that is inspired by DNA generates more work than skeletal muscle.
2017 Jan 1,Materials horizons,Mater Horiz. 2017 Jan 1;4(1):64-71. doi: 10.1039/c6mh00230g. Epub 2016 Aug 22.,"['Wang, Tiesheng', 'Farajollahi, Meisam', 'Henke, Sebastian', 'Zhu, Tongtong', 'Bajpe, Sneha R', 'Sun, Shijing', 'Barnard, Jonathan S', 'Lee, June Sang', 'Madden, John D W', 'Cheetham, Anthony K', 'Smoukov, Stoyan K']",[],Functional conductive nanomaterials via polymerisation in nano-channels: PEDOT in a MOF.,"Reactions inside the pores of metal-organic frameworks (MOFs) offer potential for controlling polymer structures with regularity to sub-nanometre scales. We report a wet-chemistry route to poly-3,4-ethylenedioxythiophene (PEDOT)-MOF composites. After a two-step removal of the MOF template we obtain unique and stable macroscale structures of this conductive polymer with some nanoscale regularity."
2017 Mar,Science advances,Sci Adv. 2017 Mar 15;3(3):e1602200. doi: 10.1126/sciadv.1602200. eCollection 2017 ,"['Sarwar, Mirza Saquib', 'Dobashi, Yuta', 'Preston, Claire', 'Wyss, Justin K M', 'Mirabbasi, Shahriar', 'Madden, John David Wyndham']","['flexible electronics', 'capacitive', 'flexible touch sensor', 'hydrogel', 'proximity', 'stretchable', 'touch sensor', 'transparent', 'wearable']","Bend, stretch, and touch: Locating a finger on an actively deformed transparent sensor array.","The development of bendable, stretchable, and transparent touch sensors is an emerging technological goal in a variety of fields, including electronic skin, wearables, and flexible handheld devices. Although transparent tactile sensors based on metal mesh, carbon nanotubes, and silver nanowires demonstrate operation in bent configurations, we present a technology that extends the operation modes to the sensing of finger proximity including light touch during active bending and even stretching. This is accomplished using stretchable and ionically conductive hydrogel electrodes, which project electric field above the sensor to couple with and sense a finger. The polyacrylamide electrodes are embedded in silicone. These two widely available, low-cost, transparent materials are combined in a three-step manufacturing technique that is amenable to large-area fabrication. The approach is demonstrated using a proof-of-concept 4 × 4 cross-grid sensor array with a 5-mm pitch. The approach of a finger hovering a few centimeters above the array is readily detectable. Light touch produces a localized decrease in capacitance of 15%. The movement of a finger can be followed across the array, and the location of multiple fingers can be detected. Touch is detectable during bending and stretch, an important feature of any wearable device. The capacitive sensor design can be made more or less sensitive to bending by shifting it relative to the neutral axis. Ultimately, the approach is adaptable to the detection of proximity, touch, pressure, and even the conformation of the sensor surface."
2016 Aug 6,Interface focus,Interface Focus. 2016 Aug 6;6(4):20160026. doi: 10.1098/rsfs.2016.0026.,"['Wang, Tiesheng', 'Farajollahi, Meisam', 'Choi, Yeon Sik', 'Lin, I-Ting', 'Marshall, Jean E', 'Thompson, Noel M', 'Kar-Narayan, Sohini', 'Madden, John D W', 'Smoukov, Stoyan K']","['conducting polymer', 'dielectric elastomer', 'electroactive polymer', 'liquid-crystal elastomer', 'piezoelectric polymer', 'sensor']",Electroactive polymers for sensing.,"Electromechanical coupling in electroactive polymers (EAPs) has been widely applied for actuation and is also being increasingly investigated for sensing chemical and mechanical stimuli. EAPs are a unique class of materials, with low-moduli high-strain capabilities and the ability to conform to surfaces of different shapes. These features make them attractive for applications such as wearable sensors and interfacing with soft tissues. Here, we review the major types of EAPs and their sensing mechanisms. These are divided into two classes depending on the main type of charge carrier: ionic EAPs (such as conducting polymers and ionic polymer-metal composites) and electronic EAPs (such as dielectric elastomers, liquid-crystal polymers and piezoelectric polymers). This review is intended to serve as an introduction to the mechanisms of these materials and as a first step in material selection for both researchers and designers of flexible/bendable devices, biocompatible sensors or even robotic tactile sensing units."
2015 Jul 1,ACS applied materials & interfaces,ACS Appl Mater Interfaces. 2015 Jul 1;7(25):13882-8. doi: 10.1021/acsami.5b02327. ,"['Mirvakili, Seyed M', 'Mirvakili, Mehr Negar', 'Englezos, Peter', 'Madden, John D W', 'Hunter, Ian W']","['bridged bicyclo compounds, heterocyclic chemistry', 'cellulose chemistry', 'electric capacitance', ' electrical equipment and supplies', 'nanowires  chemistry', 'niobium  chemistry', 'polymers chemistry', 'pedot', 'cellulosic separators', 'energy storage', 'flexible capacitors', 'metal nanowires', 'niobium nanowires', 'supercapacitors', 'yarn nanowires']",High-Performance Supercapacitors from Niobium Nanowire Yarns.,"The large-ion-accessible surface area of carbon nanotubes (CNTs) and graphene sheets formed as yarns, forests, and films enables miniature high-performance supercapacitors with power densities exceeding those of electrolytics while achieving energy densities equaling those of batteries. Capacitance and energy density can be enhanced by depositing highly pseudocapacitive materials such as conductive polymers on them. Yarns formed from carbon nanotubes are proposed for use in wearable supercapacitors. In this work, we show that high power, energy density, and capacitance in yarn form are not unique to carbon materials, and we introduce niobium nanowires as an alternative. These yarns show higher capacitance and energy per volume and are stronger and 100 times more conductive than similarly spun carbon multiwalled nanotube (MWNT) and graphene yarns. The long niobium nanowires, formed by repeated extrusion and drawing, achieve device volumetric peak power and energy densities of 55 MW·m(-3) (55 W·cm(-3)) and 25 MJ·m(-3) (7 mWh·cm(-3)), 2 and 5 times higher than that for state-of-the-art CNT yarns, respectively. The capacitance per volume of Nb nanowire yarn is lower than the 158 MF·m(-3) (158 F·cm(-3)) reported for carbon-based materials such as reduced graphene oxide (RGO) and CNT wet-spun yarns, but the peak power and energy densities are 200 and 2 times higher, respectively. Achieving high power in long yarns is made possible by the high conductivity of the metal, and achievement of high energy density is possible thanks to the high internal surface area. No additional metal backing is needed, unlike for CNT yarns and supercapacitors in general, saving substantial space. As the yarn is infiltrated with pseudocapacitive materials such as poly(3,4-ethylenedioxythiophene) (PEDOT), the energy density is further increased to 10 MJ·m(-3) (2.8 mWh·cm(-3)). Similar to CNT yarns, niobium nanowire yarns are highly flexible and show potential for weaving into textiles and use in wearable devices."
