time,journal,doi_info,authors,key words,title,abstract
2024 Jun 25,International immunology,Int Immunol. 2024 Jun 25:dxae037. doi: 10.1093/intimm/dxae037.,"['Ota, Ayami', 'Iguchi, Takahiro', 'Nitta, Sachiko', 'Muro, Ryunosuke', 'Mino, Nanami', 'Tsukasaki, Masayuki', 'Penninger, Josef M', 'Nitta, Takeshi', 'Takayanagi, Hiroshi']","['thymus', 'double-positive thymocytes', 'medullary thymic epithelial cells', 'transcriptome']",Synchronized development of thymic eosinophils and thymocytes.,"The thymus is an organ required for T cell development and is also an eosinophil-rich organ; however, the nature and function of thymic eosinophils remain unclear. Here, we characterized the gene expression and differentiation mechanism of thymic eosinophils in mice. Thymic eosinophils showed a distinct gene expression profile compared with other organ-resident eosinophils. The number of thymic eosinophils was controlled by medullary thymic epithelial cells. In Rag-deficient mice, the unique gene expression signature of thymic eosinophils was lost but restored by pre-T cell receptor signaling, which induces CD4+ CD8+ thymocyte differentiation, indicating that T cell differentiation beyond the CD4- CD8- stage is necessary and sufficient for the induction of thymic eosinophils. These results demonstrate that thymic eosinophils are quantitatively and qualitatively regulated by medullary thymic epithelial cells and developing thymocytes, respectively, suggesting that thymic eosinophils are a distinct, thymus-specific cell subset, induced by interactions with thymic cells."
2024 May 3,Acta neuropathologica communications,Acta Neuropathol Commun. 2024 May 3;12(1):70. doi: 10.1186/s40478-024-01761-8.,"['Lengacher, Nathalie A', 'Tomlinson, Julianna J', 'Jochum, Ann-Kristin', 'Franz, Jonas', 'Hasan Ali, Omar', 'Flatz, Lukas', 'Jochum, Wolfram', 'Penninger, Josef', 'Stadelmann, Christine', 'Woulfe, John M', 'Schlossmacher, Michael G']","['humans', ' covid-19 pathology complications', ' olfactory bulb pathology metabolism', 'aged', 'male', 'female', 'aged, 80 and over', 'middle aged', ' microglia pathology metabolism', 'alpha-synuclein metabolism', 'tau proteins metabolism', 'sars-cov-2', 'neurodegenerative diseases pathology metabolism', 'amyloidosis', 'anterior olfactory nucleus', 'covid-19', 'histiocytes', 'hyposmia', 'inflammation', 'microglia', 'neurodegeneration', 'olfaction', 'synucleinopathy', 'tauopathy']",Neuropathological assessment of the olfactory bulb and tract in individuals with COVID-19.,"The majority of patients with Parkinson disease (PD) experience a loss in their sense of smell and accumulate insoluble α-synuclein aggregates in their olfactory bulbs (OB). Subjects affected by a SARS-CoV-2-linked illness (COVID-19) also frequently experience hyposmia. We previously postulated that microglial activation as well as α-synuclein and tau misprocessing can occur during host responses following microbial encounters. Using semiquantitative measurements of immunohistochemical signals, we examined OB and olfactory tract specimens collected serially at autopsies between 2020 and 2023. Deceased subjects comprised 50 adults, which included COVID19 + patients (n = 22), individuals with Lewy body disease (e.g., PD; dementia with Lewy bodies (n = 6)), Alzheimer disease (AD; n = 3), and other neurodegenerative disorders (e.g., progressive supranuclear palsy (n = 2); multisystem atrophy (n = 1)). Further, we included neurologically healthy controls (n = 9), and added subjects with an inflammation-rich brain disorder as neurological controls (NCO; n = 7). When probing for microglial and histiocytic reactivity in the anterior olfactory nuclei (AON) by anti-CD68 immunostaining, scores were consistently elevated in NCO and AD cases. In contrast, microglial signals on average were not significantly altered in COVID19 + patients relative to healthy controls, although anti-CD68 reactivity in their OB and tracts declined with progression in age. Mild-to-moderate increases in phospho-α-synuclein and phospho-tau signals were detected in the AON of tauopathy- and synucleinopathy-afflicted brains, respectively, consistent with mixed pathology, as described by others. Lastly, when both sides were available for comparison in our case series, we saw no asymmetry in the degree of pathology of the left versus right OB and tracts. We concluded from our autopsy series that after a fatal course of COVID-19, microscopic changes in the rostral, intracranial portion of the olfactory circuitry -when present- reflected neurodegenerative processes seen elsewhere in the brain. In general, microglial reactivity correlated best with the degree of Alzheimer's-linked tauopathy and declined with progression of age in COVID19 + patients."
2024 Jun,Nature microbiology,Nat Microbiol. 2024 Jun;9(6):1499-1512. doi: 10.1038/s41564-024-01672-3. Epub ,"['Monteil, Vanessa M', 'Wright, Shane C', 'Dyczynski, Matheus', 'Kellner, Max J', 'Appelberg, Sofia', 'Platzer, Sebastian W', 'Ibrahim, Ahmed', 'Kwon, Hyesoo', 'Pittarokoilis, Ioannis', 'Mirandola, Mattia', 'Michlits, Georg', 'Devignot, Stephanie', 'Elder, Elizabeth', 'Abdurahman, Samir', 'Bereczky, Sándor', 'Bagci, Binnur', 'Youhanna, Sonia', 'Aastrup, Teodor', 'Lauschke, Volker M', 'Salata, Cristiano', 'Elaldi, Nazif', 'Weber, Friedemann', 'Monserrat, Nuria', 'Hawman, David W', 'Feldmann, Heinz', 'Horn, Moritz', 'Penninger, Josef M', 'Mirazimi, Ali']","['animals', 'humans', 'mice', ' apolipoproteins e metabolism genetics', ' hemorrhagic fever virus, crimean-congo genetics physiology', ' hemorrhagic fever, crimean virology metabolism', 'mice, knockout', ' receptors, ldl metabolism genetics', 'receptors, virus metabolism', 'ticks virology metabolism', ' virus internalization']",Crimean-Congo haemorrhagic fever virus uses LDLR to bind and enter host cells.,"Climate change and population densities accelerated transmission of highly pathogenic viruses to humans, including the Crimean-Congo haemorrhagic fever virus (CCHFV). Here we report that the Low Density Lipoprotein Receptor (LDLR) is a critical receptor for CCHFV cell entry, playing a vital role in CCHFV infection in cell culture and blood vessel organoids. The interaction between CCHFV and LDLR is highly specific, with other members of the LDLR protein family failing to bind to or neutralize the virus. Biosensor experiments demonstrate that LDLR specifically binds the surface glycoproteins of CCHFV. Importantly, mice lacking LDLR exhibit a delay in CCHFV-induced disease. Furthermore, we identified the presence of Apolipoprotein E (ApoE) on CCHFV particles. Our findings highlight the essential role of LDLR in CCHFV infection, irrespective of ApoE presence, when the virus is produced in tick cells. This discovery holds profound implications for the development of future therapies against CCHFV."
2024 May 1,American journal of physiology. Cell physiology,Am J Physiol Cell Physiol. 2024 May 1;326(5):C1437-C1450. doi: ,"['Kilpiö, Teemu', 'Skarp, Sini', 'Perjés, Ábel', 'Swan, Julia', 'Kaikkonen, Leena', 'Saarimäki, Samu', 'Szokodi, István', 'Penninger, Josef M', 'Szabó, Zoltán', 'Magga, Johanna', 'Kerkelä, Risto']","['animals', ' apelin metabolism genetics', ' mice, knockout', ' adaptation, physiological', 'mice', ' physical conditioning, animal physiology', ' muscle, skeletal metabolism', 'high-intensity interval training methods', 'male', 'myocytes, cardiac metabolism', 'energy metabolism', 'mice, inbred c57bl', 'muscle fibers, skeletal metabolism', 'muscle fibers, slow-twitch metabolism', 'cardiomegaly metabolism genetics physiopathology pathology', 'apelin', 'exercise', 'heart', 'metabolism', 'skeletal muscle']",Apelin regulates skeletal muscle adaptation to exercise in a high-intensity interval training model.,"Plasma apelin levels are reduced in aging and muscle wasting conditions. We aimed to investigate the significance of apelin signaling in cardiac and skeletal muscle responses to physiological stress. Apelin knockout (KO) and wild-type (WT) mice were subjected to high-intensity interval training (HIIT) by treadmill running. The effects of apelin on energy metabolism were studied in primary mouse skeletal muscle myotubes and cardiomyocytes. Apelin increased mitochondrial ATP production and mitochondrial coupling efficiency in myotubes and promoted the expression of mitochondrial genes both in primary myotubes and cardiomyocytes. HIIT induced mild concentric cardiac hypertrophy in WT mice, whereas eccentric growth was observed in the left ventricles of apelin KO mice. HIIT did not affect myofiber size in skeletal muscles of WT mice but decreased the myofiber size in apelin KO mice. The decrease in myofiber size resulted from a fiber type switch toward smaller slow-twitch type I fibers. The increased proportion of slow-twitch type I fibers in apelin KO mice was associated with upregulation of myosin heavy chain slow isoform expression, accompanied with upregulated expression of genes related to fatty acid transport and downregulated expression of genes related to glucose metabolism. Mechanistically, skeletal muscles of apelin KO mice showed defective induction of insulin-like growth factor-1 signaling in response to HIIT. In conclusion, apelin is required for proper skeletal and cardiac muscle adaptation to high-intensity exercise. Promoting apelinergic signaling may have benefits in aging- or disease-related muscle wasting conditions.NEW & NOTEWORTHY Apelin levels decline with age. This study demonstrates that in trained mice, apelin deficiency results in a switch from fast type II myofibers to slow oxidative type I myofibers. This is associated with a concomitant change in gene expression profile toward fatty acid utilization, indicating an aged-muscle phenotype in exercised apelin-deficient mice. These data are of importance in the design of exercise programs for aging individuals and could offer therapeutic target to maintain muscle mass."
2024 May,Nature methods,Nat Methods. 2024 May;21(5):868-881. doi: 10.1038/s41592-024-02172-2. Epub 2024 ,"['Frenz-Wiessner, Stephanie', 'Fairley, Savannah D', 'Buser, Maximilian', 'Goek, Isabel', 'Salewskij, Kirill', 'Jonsson, Gustav', 'Illig, David', 'Zu Putlitz, Benedicta', 'Petersheim, Daniel', 'Li, Yue', 'Chen, Pin-Hsuan', 'Kalauz, Martina', 'Conca, Raffaele', 'Sterr, Michael', 'Geuder, Johanna', 'Mizoguchi, Yoko', 'Megens, Remco T A', 'Linder, Monika I', 'Kotlarz, Daniel', 'Rudelius, Martina', 'Penninger, Josef M', 'Marr, Carsten', 'Klein, Christoph']","['humans', ' organoids cytology metabolism', ' induced pluripotent stem cells cytology metabolism', 'animals', 'mice', ' cell differentiation', ' hematopoiesis', 'hematopoietic stem cells cytology', 'bone marrow metabolism', 'bone marrow cells cytology metabolism', 'cell culture techniques methods', 'mesenchymal stem cells cytology metabolism']",Generation of complex bone marrow organoids from human induced pluripotent stem cells.,"The human bone marrow (BM) niche sustains hematopoiesis throughout life. We present a method for generating complex BM-like organoids (BMOs) from human induced pluripotent stem cells (iPSCs). BMOs consist of key cell types that self-organize into spatially defined three-dimensional structures mimicking cellular, structural and molecular characteristics of the hematopoietic microenvironment. Functional properties of BMOs include the presence of an in vivo-like vascular network, the presence of multipotent mesenchymal stem/progenitor cells, the support of neutrophil differentiation and responsiveness to inflammatory stimuli. Single-cell RNA sequencing revealed a heterocellular composition including the presence of a hematopoietic stem/progenitor (HSPC) cluster expressing genes of fetal HSCs. BMO-derived HSPCs also exhibited lymphoid potential and a subset demonstrated transient engraftment potential upon xenotransplantation in mice. We show that the BMOs could enable the modeling of hematopoietic developmental aspects and inborn errors of hematopoiesis, as shown for human VPS45 deficiency. Thus, iPSC-derived BMOs serve as a physiologically relevant in vitro model of the human BM microenvironment to study hematopoietic development and BM diseases."
2024 Feb 16,Nature communications,Nat Commun. 2024 Feb 16;15(1):1452. doi: 10.1038/s41467-024-45710-4.,"['Quintard, Clément', 'Tubbs, Emily', 'Jonsson, Gustav', 'Jiao, Jie', 'Wang, Jun', 'Werschler, Nicolas', 'Laporte, Camille', 'Pitaval, Amandine', 'Bah, Thierno-Sidy', 'Pomeranz, Gideon', 'Bissardon, Caroline', 'Kaal, Joris', 'Leopoldi, Alexandra', 'Long, David A', 'Blandin, Pierre', 'Achard, Jean-Luc', 'Battail, Christophe', 'Hagelkruys, Astrid', 'Navarro, Fabrice', 'Fouillet, Yves', 'Penninger, Josef M', 'Gidrol, Xavier']","[' microfluidics', 'organoids', 'tissue engineering methods', 'endothelium', ' islets of langerhans blood supply']",A microfluidic platform integrating functional vascularized organoids-on-chip.,"The development of vascular networks in microfluidic chips is crucial for the long-term culture of three-dimensional cell aggregates such as spheroids, organoids, tumoroids, or tissue explants. Despite rapid advancement in microvascular network systems and organoid technologies, vascularizing organoids-on-chips remains a challenge in tissue engineering. Most existing microfluidic devices poorly reflect the complexity of in vivo flows and require complex technical set-ups. Considering these constraints, we develop a platform to establish and monitor the formation of endothelial networks around mesenchymal and pancreatic islet spheroids, as well as blood vessel organoids generated from pluripotent stem cells, cultured for up to 30 days on-chip. We show that these networks establish functional connections with the endothelium-rich spheroids and vascular organoids, as they successfully provide intravascular perfusion to these structures. We find that organoid growth, maturation, and function are enhanced when cultured on-chip using our vascularization method. This microphysiological system represents a viable organ-on-chip model to vascularize diverse biological 3D tissues and sets the stage to establish organoid perfusions using advanced microfluidics."
2024 Jan,Nature aging,Nat Aging. 2024 Jan;4(1):80-94. doi: 10.1038/s43587-023-00551-6. Epub 2024 Jan ,"['Cikes, Domagoj', 'Leutner, Michael', 'Cronin, Shane J F', 'Novatchkova, Maria', 'Pfleger, Lorenz', 'Klepochová, Radka', 'Lair, Benjamin', 'Lac, Marlène', 'Bergoglio, Camille', 'Viguerie, Nathalie', 'Dürnberger, Gerhard', 'Roitinger, Elisabeth', 'Grivej, Mihaela', 'Rullman, Eric', 'Gustafsson, Thomas', 'Hagelkruys, Astrid', 'Tavernier, Geneviève', 'Bourlier, Virginie', 'Knauf, Claude', 'Krebs, Michael', 'Kautzky-Willer, Alexandra', 'Moro, Cedric', 'Krssak, Martin', 'Orthofer, Michael', 'Penninger, Josef M']","['aged', 'animals', 'humans', 'mice', 'aging metabolism', ' diabetes mellitus, type 2 metabolism', ' glucose metabolism', 'metabolic networks and pathways', 'muscle, skeletal metabolism', ' phospholipases metabolism', ' glycerylphosphorylcholine metabolism']",Gpcpd1-GPC metabolic pathway is dysfunctional in aging and its deficiency severely perturbs glucose metabolism.,"Skeletal muscle plays a central role in the regulation of systemic metabolism during lifespan. With aging, this function is perturbed, initiating multiple chronic diseases. Our knowledge of mechanisms responsible for this decline is limited. Glycerophosphocholine phosphodiesterase 1 (Gpcpd1) is a highly abundant muscle enzyme that hydrolyzes glycerophosphocholine (GPC). The physiological functions of Gpcpd1 remain largely unknown. Here we show, in mice, that the Gpcpd1-GPC metabolic pathway is perturbed in aged muscles. Further, muscle-specific, but not liver- or fat-specific, inactivation of Gpcpd1 resulted in severely impaired glucose metabolism. Western-type diets markedly worsened this condition. Mechanistically, Gpcpd1 muscle deficiency resulted in accumulation of GPC, causing an 'aged-like' transcriptomic signature and impaired insulin signaling in young Gpcpd1-deficient muscles. Finally, we report that the muscle GPC levels are markedly altered in both aged humans and patients with type 2 diabetes, displaying a high positive correlation between GPC levels and chronological age. Our findings reveal that the muscle GPCPD1-GPC metabolic pathway has an important role in the regulation of glucose homeostasis and that it is impaired during aging, which may contribute to glucose intolerance in aging."
2023 Nov 3,Science advances,Sci Adv. 2023 Nov 3;9(44):eadf5238. doi: 10.1126/sciadv.adf5238. Epub 2023 Nov 1.,"['Kondegowda, Nagesha Guthalu', 'Filipowska, Joanna', 'Do, Jeong-Su', 'Leon-Rivera, Nancy', 'Li, Rosemary', 'Hampton, Rollie', 'Ogyaadu, Selassie', 'Levister, Camilla', 'Penninger, Josef M', 'Reijonen, Helena', 'Levy, Carol J', 'Vasavada, Rupangi C']","['humans', 'mice', 'animals', ' osteoprotegerin metabolism', 'cytokines', ' diabetes mellitus, type 1 drug therapy', 'receptor activator of nuclear factor-kappa b metabolism', 'denosumab pharmacology', 'nf-kappa b metabolism', 'rodentia metabolism', 'rank ligand metabolism', 'cell death']","RANKL/RANK is required for cytokine-induced beta cell death; osteoprotegerin, a RANKL inhibitor, reverses rodent type 1 diabetes.","Treatment for type 1 diabetes (T1D) requires stimulation of functional β cell regeneration and survival under stress. Previously, we showed that inhibition of the RANKL/RANK [receptor activator of nuclear factor kappa Β (NF-κB) ligand] pathway, by osteoprotegerin and the anti-osteoporotic drug denosumab, induces rodent and human β cell proliferation. We demonstrate that the RANK pathway mediates cytokine-induced rodent and human β cell death through RANK-TRAF6 interaction and induction of NF-κB activation. Osteoprotegerin and denosumab protected β cells against this cytotoxicity. In human immune cells, osteoprotegerin and denosumab reduce proinflammatory cytokines in activated T-cells by inhibiting RANKL-induced activation of monocytes. In vivo, osteoprotegerin reversed recent-onset T1D in nonobese diabetic/Ltj mice, reduced insulitis, improved glucose homeostasis, and increased plasma insulin, β cell proliferation, and mass in these mice. Serum from T1D subjects induced human β cell death and dysfunction, but not α cell death. Osteoprotegerin and denosumab reduced T1D serum-induced β cell cytotoxicity and dysfunction. Inhibiting RANKL/RANK could have therapeutic potential."
2023 Nov 21,Cell reports. Medicine,Cell Rep Med. 2023 Nov 21;4(11):101254. doi: 10.1016/j.xcrm.2023.101254. Epub ,"['Wang, Kaiming', 'Khoramjoo, Mobin', 'Srinivasan, Karthik', 'Gordon, Paul M K', 'Mandal, Rupasri', 'Jackson, Dana', 'Sligl, Wendy', 'Grant, Maria B', 'Penninger, Josef M', 'Borchers, Christoph H', 'Wishart, David S', 'Prasad, Vinay', 'Oudit, Gavin Y']","['humans', ' post-acute covid-19 syndrome', 'convalescence', 'multiomics', ' covid-19', 'biomarkers', 'phenotype', 'covid-19', 'sars-cov-2', 'biomarkers', 'long covid', 'machine learning', 'metabolomics', 'outcomes', 'phenotyping', 'post-acute sequelae of covid-19', 'proteomics']",Sequential multi-omics analysis identifies clinical phenotypes and predictive biomarkers for long COVID.,"The post-acute sequelae of COVID-19 (PASC), also known as long COVID, is often associated with debilitating symptoms and adverse multisystem consequences. We obtain plasma samples from 117 individuals during and 6 months following their acute phase of infection to comprehensively profile and assess changes in cytokines, proteome, and metabolome. Network analysis reveals sustained inflammatory response, platelet degranulation, and cellular activation during convalescence accompanied by dysregulation in arginine biosynthesis, methionine metabolism, taurine metabolism, and tricarboxylic acid (TCA) cycle processes. Furthermore, we develop a prognostic model composed of 20 molecules involved in regulating T cell exhaustion and energy metabolism that can reliably predict adverse clinical outcomes following discharge from acute infection with 83% accuracy and an area under the curve (AUC) of 0.96. Our study reveals pertinent biological processes during convalescence that differ from acute infection, and it supports the development of specific therapies and biomarkers for patients suffering from long COVID."
2023 Oct 25,Nature communications,Nat Commun. 2023 Oct 25;14(1):6785. doi: 10.1038/s41467-023-42526-6.,"['Monteil, Vanessa', 'Kwon, Hyesoo', 'John, Lijo', 'Salata, Cristiano', 'Jonsson, Gustav', 'Vorrink, Sabine U', 'Appelberg, Sofia', 'Youhanna, Sonia', 'Dyczynski, Matheus', 'Leopoldi, Alexandra', 'Leeb, Nicole', 'Volz, Jennifer', 'Hagelkruys, Astrid', 'Kellner, Max J', 'Devignot, Stéphanie', 'Michlits, Georg', 'Foong-Sobis, Michelle', 'Weber, Friedemann', 'Lauschke, Volker M', 'Horn, Moritz', 'Feldmann, Heinz', 'Elling, Ulrich', 'Penninger, Josef M', 'Mirazimi, Ali']","['animals', 'humans', ' ebolavirus metabolism', ' hemorrhagic fever, ebola', 'lysosomes', ' marburg virus disease genetics metabolism', ' marburgvirus metabolism', ' vesicular transport proteins metabolism']",Identification of CCZ1 as an essential lysosomal trafficking regulator in Marburg and Ebola virus infections.,"Marburg and Ebola filoviruses are two of the deadliest infectious agents and several outbreaks have occurred in the last decades. Although several receptors and co-receptors have been reported for Ebola virus, key host factors remain to be elucidated. In this study, using a haploid cell screening platform, we identify the guanine nucleotide exchange factor CCZ1 as a key host factor in the early stage of filovirus replication. The critical role of CCZ1 for filovirus infections is validated in 3D primary human hepatocyte cultures and human blood-vessel organoids, both critical target sites for Ebola and Marburg virus tropism. Mechanistically, CCZ1 controls early to late endosomal trafficking of these viruses. In addition, we report that CCZ1 has a role in the endosomal trafficking of endocytosis-dependent SARS-CoV-2 infections, but not in infections by Lassa virus, which enters endo-lysosomal trafficking at the late endosome stage. Thus, we have identified an essential host pathway for filovirus infections in cell lines and engineered human target tissues. Inhibition of CCZ1 nearly completely abolishes Marburg and Ebola infections. Thus, targeting CCZ1 could potentially serve as a promising drug target for controlling infections caused by various viruses, such as SARS-CoV-2, Marburg, and Ebola."
