time,journal,doi_info,authors,key words,title,abstract
2022 Dec 29,Biosensors,Biosensors (Basel). 2022 Dec 29;13(1):53. doi: 10.3390/bios13010053.,"['Puumala, Lauren S', 'Grist, Samantha M', 'Morales, Jennifer M', 'Bickford, Justin R', 'Chrostowski, Lukas', 'Shekhar, Sudip', 'Cheung, Karen C']","[' silicon', 'optics and photonics', 'antibodies', 'lectins', ' biosensing techniques methods', 'soi biosensor', 'biofunctionalization', 'biopatterning', 'bioreceptor', 'evanescent field biosensor', 'functionalization', 'immobilization chemistry', 'microfluidics', 'silicon photonics']",Biofunctionalization of Multiplexed Silicon Photonic Biosensors.,"Silicon photonic (SiP) sensors offer a promising platform for robust and low-cost decentralized diagnostics due to their high scalability, low limit of detection, and ability to integrate multiple sensors for multiplexed analyte detection. Their CMOS-compatible fabrication enables chip-scale miniaturization, high scalability, and low-cost mass production. Sensitive, specific detection with silicon photonic sensors is afforded through biofunctionalization of the sensor surface; consequently, this functionalization chemistry is inextricably linked to sensor performance. In this review, we first highlight the biofunctionalization needs for SiP biosensors, including sensitivity, specificity, cost, shelf-stability, and replicability and establish a set of performance criteria. We then benchmark biofunctionalization strategies for SiP biosensors against these criteria, organizing the review around three key aspects: bioreceptor selection, immobilization strategies, and patterning techniques. First, we evaluate bioreceptors, including antibodies, aptamers, nucleic acid probes, molecularly imprinted polymers, peptides, glycans, and lectins. We then compare adsorption, bioaffinity, and covalent chemistries for immobilizing bioreceptors on SiP surfaces. Finally, we compare biopatterning techniques for spatially controlling and multiplexing the biofunctionalization of SiP sensors, including microcontact printing, pin- and pipette-based spotting, microfluidic patterning in channels, inkjet printing, and microfluidic probes."
2022 Nov 30,Cells,Cells. 2022 Nov 30;11(23):3854. doi: 10.3390/cells11233854.,"['Nasseri, S Soroush', 'Siren, Erika M J', 'Kizhakkedathu, Jayachandran N', 'Cheung, Karen']","[' organoids', ' microscopy', 'high-throughput screening assays', '3-d', 'dmso', 'hpg', 'microscopy', 'organoid', 'spheroid', 'tissue clearing']",HyClear: A Novel Tissue Clearing Solution for One-Step Clearing of Microtissues.,"3-D cell cultures are being increasingly used as in vitro models are capable of better mimicry of in vivo tissues, particularly in drug screenings where mass transfer limitations can affect the cancer biology and response to drugs. Three-dimensional microscopy techniques, such as confocal and multiphoton microscopy, have been used to elucidate data from 3-D cell cultures and whole organs, but their reach inside the 3-D tissues is restrained by the light scattering of the tissues, limiting their effective reach to 100-200 µm, which is simply not enough. Tissue clearing protocols, developed mostly for larger specimens usually involve multiple steps of viscous liquid submersion, and are not easily adaptable for much smaller spheroids and organoids. In this work, we have developed a novel tissue clearing solution tailored for small spheroids and organoids. Our tissue clearing protocol, called HyClear, uses a mixture of DMSO, HPG and urea to allow for one-step tissue clearing of spheroids and organoids, and is compatible with high-throughput screening studies due to its speed and simplicity. We have shown that our tissue clearing agent is superior to many of the commonly used tissue clearing agents and allows for elucidating better quality data from drug screening experiments."
2022 Sep 22,Micromachines,Micromachines (Basel). 2022 Sep 22;13(10):1573. doi: 10.3390/mi13101573.,"['Cameron, Tiffany C', 'Randhawa, Avineet', 'Grist, Samantha M', 'Bennet, Tanya', 'Hua, Jessica', 'Alde, Luis G', 'Caffrey, Tara M', 'Wellington, Cheryl L', 'Cheung, Karen C']","['cell culture', 'microfluidic', 'organ-on-chip', 'rapid prototyping']",PDMS Organ-On-Chip Design and Fabrication: Strategies for Improving Fluidic Integration and Chip Robustness of Rapidly Prototyped Microfluidic In Vitro Models.,"The PDMS-based microfluidic organ-on-chip platform represents an exciting paradigm that has enjoyed a rapid rise in popularity and adoption. A particularly promising element of this platform is its amenability to rapid manufacturing strategies, which can enable quick adaptations through iterative prototyping. These strategies, however, come with challenges; fluid flow, for example, a core principle of organs-on-chip and the physiology they aim to model, necessitates robust, leak-free channels for potentially long (multi-week) culture durations. In this report, we describe microfluidic chip fabrication methods and strategies that are aimed at overcoming these difficulties; we employ a subset of these strategies to a blood-brain-barrier-on-chip, with others applied to a small-airway-on-chip. Design approaches are detailed with considerations presented for readers. Results pertaining to fabrication parameters we aimed to improve (e.g., the thickness uniformity of molded PDMS), as well as illustrative results pertaining to the establishment of cell cultures using these methods will also be presented."
2022 Oct 8,Biosensors,Biosensors (Basel). 2022 Oct 8;12(10):840. doi: 10.3390/bios12100840.,"['Puumala, Lauren S', 'Grist, Samantha M', 'Wickremasinghe, Kithmin', 'Al-Qadasi, Mohammed A', 'Chowdhury, Sheri Jahan', 'Liu, Yifei', 'Mitchell, Matthew', 'Chrostowski, Lukas', 'Shekhar, Sudip', 'Cheung, Karen C']","[' silicon', 'optics and photonics', 'photons', ' biosensing techniques', 'soi biosensor', 'swg-assist waveguide', 'bridged swg waveguide', 'evanescent field biosensor', 'fishbone sub-wavelength grating waveguide', 'microfluidics', 'ring resonator', 'silicon photonics', 'sub-wavelength grating waveguide']",An Optimization Framework for Silicon Photonic Evanescent-Field Biosensors Using Sub-Wavelength Gratings.,"Silicon photonic (SiP) evanescent-field biosensors aim to combine the information-rich readouts offered by lab-scale diagnostics, at a significantly lower cost, and with the portability and rapid time to result offered by paper-based assays. While SiP biosensors fabricated with conventional strip waveguides can offer good sensitivity for label-free detection in some applications, there is still opportunity for improvement. Efforts have been made to design higher-sensitivity SiP sensors with alternative waveguide geometries, including sub-wavelength gratings (SWGs). However, SWG-based devices are fragile and prone to damage, limiting their suitability for scalable and portable sensing. Here, we investigate SiP microring resonator sensors designed with SWG waveguides that contain a ""fishbone"" and highlight the improved robustness offered by this design. We present a framework for optimizing fishbone-style SWG waveguide geometries based on numerical simulations, then experimentally measure the performance of ring resonator sensors fabricated with the optimized waveguides, targeting operation in the O-band and C-band. For the O-band and C-band devices, we report bulk sensitivities up to 349 nm/RIU and 438 nm/RIU, respectively, and intrinsic limits of detection as low as 5.1 × 10(-4) RIU and 7.1 × 10(-4) RIU, respectively. This performance is comparable to the state of the art in SWG-based sensors, positioning fishbone SWG resonators as an attractive, more robust, alternative to conventional SWG designs."
2022 Jun 13,"Annual review of analytical chemistry (Palo Alto, Calif.)",Annu Rev Anal Chem (Palo Alto Calif). 2022 Jun 13;15(1):221-246. doi: ,"['Grist, Samantha M', 'Bennewith, Kevin L', 'Cheung, Karen C']","[' oxygen metabolism', 'hypoxia', 'microfluidics', 'multianalyte measurements', 'optical oxygen sensor', 'organ-on-chip', 'oxygen microscopy']",Oxygen Measurement in Microdevices.,"Oxygen plays a fundamental role in respiration and metabolism, and quantifying oxygen levels is essential in many environmental, industrial, and research settings. Microdevices facilitate the study of dynamic, oxygen-dependent effects in real time. This review is organized around the key needs for oxygen measurement in microdevices, including integrability into microfabricated systems; sensor dynamic range and sensitivity; spatially resolved measurements to map oxygen over two- or three-dimensional regions of interest; and compatibility with multimodal and multianalyte measurements. After a brief overview of biological readouts of oxygen, followed by oxygen sensor types that have been implemented in microscale devices and sensing mechanisms, this review presents select recent applications in organs-on-chip in vitro models and new sensor capabilities enabling oxygen microscopy, bioprocess manufacturing, and pharmaceutical industries. With the advancement of multiplexed, interconnected sensors and instruments and integration with industry workflows, intelligent microdevice-sensor systems including oxygen sensors will have further impact in environmental science, manufacturing, and medicine."
2021 Jun 26,Cells,Cells. 2021 Jun 26;10(7):1602. doi: 10.3390/cells10071602.,"['Bennet, Tanya J', 'Randhawa, Avineet', 'Hua, Jessica', 'Cheung, Karen C']","['covid-19 pathology therapy virology', 'cells, cultured', 'extracellular matrix physiology', 'humans', ' lab-on-a-chip devices', 'lung cytology pathology  physiology', 'lung diseases  pathology physiopathology therapy', 'models, biological', 'regeneration  physiology', 'respiratory mucosa  cytology pathology physiology', 'sars-cov-2 pathogenicity', 'tissue culture techniques instrumentation methods', 'airway-on-a-chip', 'analysis methods', 'bio-imaging', 'cigarette smoke', 'electronic cigarettes', 'endothelial cells', 'epithelial cells', 'exposures', 'extracellular matrix', 'fibroblasts', 'microfluidics', 'remodeling']",Airway-On-A-Chip: Designs and Applications for Lung Repair and Disease.,"The lungs are affected by illnesses including asthma, chronic obstructive pulmonary disease, and infections such as influenza and SARS-CoV-2. Physiologically relevant models for respiratory conditions will be essential for new drug development. The composition and structure of the lung extracellular matrix (ECM) plays a major role in the function of the lung tissue and cells. Lung-on-chip models have been developed to address some of the limitations of current two-dimensional in vitro models. In this review, we describe various ECM substitutes utilized for modeling the respiratory system. We explore the application of lung-on-chip models to the study of cigarette smoke and electronic cigarette vapor. We discuss the challenges and opportunities related to model characterization with an emphasis on in situ characterization methods, both established and emerging. We discuss how further advancements in the field, through the incorporation of interstitial cells and ECM, have the potential to provide an effective tool for interrogating lung biology and disease, especially the mechanisms that involve the interstitial elements."
2021 Jun,FASEB journal : official publication of the Federation of American Societies for ,FASEB J. 2021 Jun;35(6):e21643. doi: 10.1096/fj.201802376RRRR.,"['Siren, Erika M J', 'Luo, Haiming D', 'Bajaj, Sargun', 'MacKenzie, Jordan', 'Daneshi, Masoud', 'Martinez, D Mark', 'Conway, Edward M', 'Cheung, Karen C', 'Kizhakkedathu, Jayachandran N']","['arteries  physiology', 'capillaries  physiology', 'glycocalyx  chemistry  metabolism', 'hemodynamics', 'human umbilical vein endothelial cells cytology  physiology', 'humans', 'microfluidics', 'shear strength', ' stress, mechanical', 'veins  physiology', 'blood', 'endothelial biology', 'mechanosensing', 'microfluidic', 'shear stress']","An improved in vitro model for studying the structural and functional properties of the endothelial glycocalyx in arteries, capillaries and veins.","The endothelial glycocalyx is a dynamic structure integral to blood vessel hemodynamics and capable of tightly regulating a range of biological processes (ie, innate immunity, inflammation, and coagulation) through dynamic changes in its composition of the brush structure. Evaluating the specific roles of the endothelial glycocalyx under a range of pathophysiologic conditions has been a challenge in vitro as it is difficult to generate functional glycocalyces using commonly employed 2D cell culture models. We present a new multi-height microfluidic platform that promotes the growth of functional glycocalyces by eliciting unique shear stress forces over a continuous human umbilical vein endothelial cell monolayer at magnitudes that recapitulate the physical environment in arterial, capillary and venous regions of the vasculature. Following 72 hours of shear stress, unique glycocalyx structures formed within each region that were distinct from that observed in short (3 days) and long-term (21 days) static cell culture. The model demonstrated glycocalyx-specific properties that match the characteristics of the endothelium in arteries, capillaries and veins, with respect to surface protein expression, platelet adhesion, lymphocyte binding and nanoparticle uptake. With artery-to-capillary-to-vein transition on a continuous endothelial monolayer, this in vitro platform is an improved system over static cell culture for more effectively studying the role of the glycocalyx in endothelial biology and disease."
2021 Apr 15,Micromachines,Micromachines (Basel). 2021 Apr 15;12(4):441. doi: 10.3390/mi12040441.,"['Cameron, Tiffany', 'Bennet, Tanya', 'Rowe, Elyn M', 'Anwer, Mehwish', 'Wellington, Cheryl L', 'Cheung, Karen C']","['astrocytes', 'basement membrane', 'brain-on-a-chip', 'endothelial cells', 'extracellular matrix', 'microfluidics', 'neurons', 'pericytes']",Review of Design Considerations for Brain-on-a-Chip Models.,"In recent years, the need for sophisticated human in vitro models for integrative biology has motivated the development of organ-on-a-chip platforms. Organ-on-a-chip devices are engineered to mimic the mechanical, biochemical and physiological properties of human organs; however, there are many important considerations when selecting or designing an appropriate device for investigating a specific scientific question. Building microfluidic Brain-on-a-Chip (BoC) models from the ground-up will allow for research questions to be answered more thoroughly in the brain research field, but the design of these devices requires several choices to be made throughout the design development phase. These considerations include the cell types, extracellular matrix (ECM) material(s), and perfusion/flow considerations. Choices made early in the design cycle will dictate the limitations of the device and influence the end-point results such as the permeability of the endothelial cell monolayer, and the expression of cell type-specific markers. To better understand why the engineering aspects of a microfluidic BoC need to be influenced by the desired biological environment, recent progress in microfluidic BoC technology is compared. This review focuses on perfusable blood-brain barrier (BBB) and neurovascular unit (NVU) models with discussions about the chip architecture, the ECM used, and how they relate to the in vivo human brain. With increased knowledge on how to make informed choices when selecting or designing BoC models, the scientific community will benefit from shorter development phases and platforms curated for their application."
2019 Nov 28,Scientific reports,Sci Rep. 2019 Nov 28;9(1):17782. doi: 10.1038/s41598-019-54001-8.,"['Grist, Samantha M', 'Nasseri, S Soroush', 'Laplatine, Loïc', 'Schmok, Jonathan C', 'Yao, Dickson', 'Hua, Jessica', 'Chrostowski, Lukas', 'Cheung, Karen C']","['antibiotics, antineoplastic pharmacokinetics', 'breast neoplasms drug therapy metabolism pathology', 'doxorubicin pharmacokinetics', 'equipment design', 'female', 'humans', 'mcf-7 cells', 'microfluidic analytical techniques  instrumentation', 'neoplasms drug therapy metabolism  pathology', 'oxygen metabolism', 'spheroids, cellular', 'tumor cells, cultured', ' tumor hypoxia drug effects']",Long-term monitoring in a microfluidic system to study tumour spheroid response to chronic and cycling hypoxia.,"We demonstrate the application of a microfluidic platform combining spatiotemporal oxygen control and long-term microscopy monitoring to observe tumour spheroid response to hypoxia. The platform is capable of recreating physiologically-relevant low and cycling oxygen levels not attainable in traditional cell culture environments, while image-based monitoring visualizes cell response to these physiologically-relevant conditions. Monitoring spheroid cultures during hypoxic exposure allows us to observe, for the first time, that spheroids swell and shrink in response to time-varying oxygen profiles switching between 0% and 10% O(2); this swelling-shrinkage behaviour appears to be driven by swelling of individual cells within the spheroids. We also apply the system to monitoring tumour models during anticancer treatment under varying oxygen conditions. We observe higher uptake of the anticancer agent doxorubicin under a cycling hypoxia profile than under either chronic hypoxia or in vitro normoxia, and the two-photon microscopy monitoring facilitated by our system also allows us to observe heterogeneity in doxorubicin uptake within spheroids at the single-cell level. Combining optical sectioning microscopy with precise spatiotemporal oxygen control and 3D culture opens the door for a wide range of future studies on microenvironmental mechanisms driving cancer progression and resistance to anticancer therapy. These types of studies could facilitate future improvements in cancer diagnostics and treatment."
2019 Sep 1,Biomedical optics express,Biomed Opt Express. 2019 Aug 26;10(9):4825-4838. doi: 10.1364/BOE.10.004825. ,"['Luan, Enxiao', 'Yun, Han', 'Ma, Minglei', 'Ratner, Daniel M', 'Cheung, Karen C', 'Chrostowski, Lukas']",[],Label-free biosensing with a multi-box sub-wavelength phase-shifted Bragg grating waveguide.,"Sub-wavelength grating (SWG) metamaterials have been considered to provide promising solutions in the development of next-generation photonic integrated circuits. In recent years, increasied interest has been paid to silicon photonic planar biosensors based on SWG geometries for performance enhancement. In this work, we demonstrate a highly sensitive label-free phase-shifted Bragg grating (PSBG) sensing configuration, which consists of sub-wavelength block arrays in both propagation and transverse directions. By introducing salt serial dilutions and electrostatic polymers assays, bulk and surface sensitivities of the proposed sensor are characterized, obtaining measured results up to 579.2 nm/RIU and 1914 pm/nm, respectively. Moreover, the proposed multi-box PSBG sensor presents an improved quality factor as high as ∼ 8000 , roughly 3-fold of the microring-based counterpart, which further improves the detection limit. At last, by employing a biotin-streptavidin affinity assay, the capability for small molecule monitoring is exemplified with a minimum detectable concentration of biotin down to 2.28 × 10-8 M ."
