time,journal,doi_info,authors,key words,title,abstract
2024 May,Biomedical engineering letters,Biomed Eng Lett. 2024 Feb 19;14(3):583-592. doi: 10.1007/s13534-024-00353-8. ,"['Searles, Kyle', 'Shalabi, Nabil', 'Hohert, Geoffrey', 'Gharib, Nirvana', 'Jayhooni, Sayed Mohammad Hashem', 'Lane, Pierre M', 'Takahata, Kenichi']","['electromagnetic actuator', 'endoscopic probe', 'ferrofluid', 'optical coherence tomography', 'optical scanner']",Distal planar rotary scanner for endoscopic optical coherence tomography.,"Optical coherence tomography (OCT) is becoming a more common endoscopic imaging modality for detecting and treating disease given its high resolution and image quality. To use OCT for 3-dimensional imaging of small lumen, embedding an optical scanner at the distal end of an endoscopic probe for circumferential scanning the probing light is a promising way to implement high-quality imaging unachievable with the conventional method of revolving an entire probe. To this end, the present work proposes a hollow and planar micro rotary actuator for its use as an endoscopic distal scanner. A miniaturized design of this ferrofluid-assisted electromagnetic actuator is prototyped to act as a full 360° optical scanner, which is integrated at the tip of a fiber-optic probe together with a gradient-index lens for use with OCT. The scanner is revealed to achieve a notably improved dynamic performance that shows a maximum speed of 6500 rpm, representing 325% of the same reported with the preceding design, while staying below the thermal limit for safe in-vivo use. The scanner is demonstrated to perform real-time OCT using human fingers as live tissue samples for the imaging tests. The acquired images display no shadows from the electrical wires to the scanner, given its hollow architecture that allows the probing light to pass through the actuator body, as well as the quality high enough to differentiate the dermis from the epidermis while resolving individual sweat glands, proving the effectiveness of the prototyped scanner design for endoscopic OCT application."
2023 Jul 10,ACS biomaterials science & engineering,ACS Biomater Sci Eng. 2023 Jul 10;9(7):4392-4403. doi: ,"['Yousefi Darestani, Mohammad Reza', 'Lange, Dirk', 'Chew, Ben H', 'Takahata, Kenichi']","['humans', ' hydronephrosis surgery etiology', 'kidney', ' ureteral obstruction diagnosis surgery complications', 'stents adverse effects', 'hydronephrosis', 'kidney pressure', 'micro sensor', 'radiofrequency antenna', 'ureteral stent']",Electromechanically Functionalized Ureteral Stents for Wireless Obstruction Monitoring.,"While millions of ureteral stents are placed in patients with urinary tract issues around the world every year, hydronephrosis still poses great danger to these patients as a common complication. In the present work, an intelligent double-J ureteral stent equipped with a micro pressure sensor and antenna circuitry is investigated and prototyped toward enabling continuous wireless monitoring of kidney pressure to detect a ureteral obstruction and the resultant hydronephrosis via the indwelling stent. This electromechanically functionalized ""intelligent"" ureteral stent acts as a radiofrequency resonator with a pressure-sensitive resonant frequency that can be interrogated using an external antenna to track the local pressure. The prototype passes mechanical bending tests of up to 15 cm radius of curvature and shows wireless sensing with a sensitivity of 3.1 kHz/mmHg in artificial urine, which represents 25× enhancement over the preceding design, using an in vitro model with test tissue layers and a pressure range that functions within the conditions found in hydronephrotic conditions. These promising results are expected to propel intelligent ureteral stent technology into further clinical research."
2022,Microsystems & nanoengineering,Microsyst Nanoeng. 2022 Dec 23;8:132. doi: 10.1038/s41378-022-00469-w. ,"['Shalabi, Nabil', 'Searles, Kyle', 'Takahata, Kenichi']","['electrical and electronic engineering', 'sensors']",Switch mode capacitive pressure sensors.,"Switch mode capacitive pressure sensors are proposed as a new class of microfabricated devices that transform pressure into a mechanically switching capacitance to form an analog-to-digital signal with zero power, high sensitivity, and a high signal-to-noise ratio. A pressure-sensitive gold membrane suspended over a capacitive cavity makes ohmic contact with patterned gold leads on the substrate, closing circuits to fixed on-chip capacitors outside the cavity and leading to significant step responses. This function is achieved by allocating the switch leads on the part of the counter electrode area, while the remaining area is used for touch mode analog capacitive sensing. The sensor microchip is prototyped through a novel design approach to surface micromachining that integrates micro-Tesla valves for vacuum sealing the sensor cavity, showing an unprecedented response to applied pressure. For a gauge pressure range of 0-120 mmHg, the sensor exhibits an increase of 13.21 pF with resultant switch events, each of which ranges from 2.53-3.96 pF every 12-38 mmHg, in addition to the touch mode linear capacitive increase between switches. The equivalent sensitivity is 80-240 fF/mmHg, which is 11-600× more than commercial and reported touch mode sensors operating in similar pressure ranges. The sensor is further demonstrated for wireless pressure tracking by creating a resonant tank with the sensor, showing a 32.5-101.6 kHz/mmHg sensitivity with frequency jumps led by the switch events. The developed sensor, with its promising performance, offers new application opportunities in a variety of device areas, including health care, robotics, industrial control, and environmental monitoring."
2021 Mar 18,Biomedical microdevices,Biomed Microdevices. 2021 Mar 18;23(1):18. doi: 10.1007/s10544-021-00548-1.,"['Bednar, Victor Bradley', 'Takahata, Kenichi']","['animals', 'drug delivery systems', ' pharmaceutical preparations', 'radio waves', 'reproducibility of results', ' stents', 'swine', 'atherosclerosis', 'controlled drug release', 'restenosis', 'vascular stent', 'wireless inductive coupling']",A thermosensitive material coated resonant stent for drug delivery on demand.,"An electromagnetic energy source in the radio-frequency range delivers power to a stent circuit via resonant inductive coupling, allowing a thermally triggered release of gel via Joule heating. A gold-electroplated, medical-grade stainless steel stent, serving as the base of the prototype device, melts a coating made from an emulsion composed mainly of dodecanoic acid. These coated devices produce wirelessly controllable releases of a gel into thermally regulated, stirred water that is near body temperature. The gel is made from salt, water, and gelatine from porcine skin and used to simulate drug release in this study. Thus, this system serves as a proof of concept to show the viability of controlling local drug delivery using this prototype device. Dodecanoic acid, a fatty acid, has a phase transition from solid to liquid near 43[Formula: see text]C and has relatively good biocompatibility. The average melting temperature of two different emulsions was 40.8±0.7[Formula: see text]C, a suitable value for the targeted application. Demonstration of controllable releases used electromagnetic pulses of approximately 180 seconds in duration, illustrating reproducibility of a controllable release phase while remaining relatively inert in the absence of stimuli. Releases were observable through measuring the conductivity of the water, the water temperature, and the stent temperature. This electrothermally active stent device enables wirelessly controlled local delivery with controlled dosage and timing, a concept with a wide range of potential applications. Some relevant examples include inhibiting restenosis or cancer treatment via targeted chemotherapy."
2020 Jan 8,Micromachines,Micromachines (Basel). 2020 Jan 8;11(1):68. doi: 10.3390/mi11010068.,"['Selvaraj, Madeshwaran', 'Takahata, Kenichi']","['electrothermal actuator', 'flex-circuit microfabrication', 'medical catheters', 'steerable tip', 'thermoresponsive hydrogel']",Electrothermally Driven Hydrogel-on-Flex-Circuit Actuator for Smart Steerable Catheters.,"This paper reports an active catheter-tip device functionalized by integrating a temperature-responsive smart polymer onto a microfabricated flexible heater strip, targeting at enabling the controlled steering of catheters through complex vascular networks. A bimorph-like strip structure is enabled by photo-polymerizing a layer of poly(N-isopropylacrylamide) hydrogel (PNIPAM), on top of a 20 × 3.5 mm(2) flexible polyimide film that embeds a micropatterned heater fabricated using a low-cost flex-circuit manufacturing process. The heater activation stimulates the PNIPAM layer to shrink and bend the tip structure. The bending angle is shown to be adjustable with the amount of power fed to the device, proving the device's feasibility to provide the integrated catheter with a controlled steering ability for a wide range of navigation angles. The powered device exhibits uniform heat distribution across the entire PNIPAM layer, with a temperature variation of <2 °C. The operation of fabricated prototypes assembled on commercial catheter tubes demonstrates their bending angles of up to 200°, significantly larger than those reported with other smart-material-based steerable catheters. The temporal responses and bending forces of their actuations are also characterized to reveal consistent and reproducible behaviors. This proof-of-concept study verifies the promising features of the prototyped approach to the targeted application area."
2019 Nov,Advanced healthcare materials,Adv Healthc Mater. 2019 Nov;8(22):e1900708. doi: 10.1002/adhm.201900708. Epub ,"['Yi, Ying', 'Chen, Jiaxu', 'Hsiang, York', 'Takahata, Kenichi']","['animals', 'female', 'humans', 'hyperthermia, induced  methods', ' stents', 'swine', ' wireless technology', 'hyperthermia', 'radiofrequency antennas', 'resonant stent heating', 'restenosis', 'stents', 'wireless power transfer']",Wirelessly Heating Stents via Radiofrequency Resonance toward Enabling Endovascular Hyperthermia.,"Thermal therapy known as hyperthermia has served as an effective method for cancer treatment. This therapeutic approach has also been attracting attention for treatment of in-stent restenosis, the most common complication of stenting. Mild heating of stents has been shown to be a possible path to addressing this problem. Despite various studies on stent-based thermotherapy, this area still lacks a clinically viable method and technology. Here, a radiofrequency-powered ""hot"" stent prototype is reported in vitro and in vivo. An implantable stent device based on medical-grade stainless steel acts as an electrical resonator, or an efficient wireless heater operating only when resonated using tuned external electromagnetic fields. The system architecture uses a custom-developed power transmitter for wireless resonant powering/heating of the stent. An eight-shaped antenna is shown to be highly effective for near-field power transfer to the device and potentially to other smart implants, revealing stent heating efficiencies of up to 120 °C W(-1) , 206% of the level provided by a conventional loop antenna. Testing with swine models, the prototyped system achieves stent heating in blood flow by powering through air and skin tissue in vivo in a fully controlled manner. The results advance stent hyperthermia technology toward possible future clinical application."
2018 May,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)",Adv Sci (Weinh). 2018 Feb 16;5(5):1700560. doi: 10.1002/advs.201700560. ,"['Chen, Xing', 'Assadsangabi, Babak', 'Hsiang, York', 'Takahata, Kenichi']","['angioplasty', 'restenosis', 'smart medical implants', 'stents', 'wireless sensing']","Enabling Angioplasty-Ready ""Smart"" Stents to Detect In-Stent Restenosis and Occlusion.","Despite the multitude of stents implanted annually worldwide, the most common complication called in-stent restenosis still poses a significant risk to patients. Here, a ""smart"" stent equipped with microscale sensors and wireless interface is developed to enable continuous monitoring of restenosis through the implanted stent. This electrically active stent functions as a radiofrequency wireless pressure transducer to track local hemodynamic changes upon a renarrowing condition. The smart stent is devised and constructed to fulfill both engineering and clinical requirements while proving its compatibility with the standard angioplasty procedure. Prototypes pass testing through assembly on balloon catheters withstanding crimping forces of >100 N and balloon expansion pressure up to 16 atm, and show wireless sensing with a resolution of 12.4 mmHg. In a swine model, this device demonstrates wireless detection of blood clot formation, as well as real-time tracking of local blood pressure change over a range of 108 mmHg that well covers the range involved in human. The demonstrated results are expected to greatly advance smart stent technology toward its clinical practice."
2015 Feb 21,Lab on a chip,Lab Chip. 2015 Feb 21;15(4):1050-8. doi: 10.1039/c4lc01290a.,"['Fong, Jeffrey', 'Xiao, Zhiming', 'Takahata, Kenichi']",[],Wireless implantable chip with integrated nitinol-based pump for radio-controlled local drug delivery.,"We demonstrate an active, implantable drug delivery device embedded with a microfluidic pump that is driven by a radio-controlled actuator for temporal drug delivery. The polyimide-packaged 10 × 10 × 2 mm(3) chip contains a micromachined pump chamber and check valves of Parylene C to force the release of the drug from a 76 μL reservoir by wirelessly activating the actuator using external radio-frequency (RF) electromagnetic fields. The rectangular-shaped spiral-coil actuator based on nitinol, a biocompatible shape-memory alloy, is developed to perform cantilever-like actuation for pumping operation. The nitinol-coil actuator itself forms a passive 185 MHz resonant circuit that serves as a self-heat source activated via RF power transfer to enable frequency-selective actuation and pumping. Experimental wireless operation of fabricated prototypes shows successful release of test agents from the devices placed in liquid and excited by radiating tuned RF fields with an output power of 1.1 W. These tests reveal a single release volume of 219 nL, suggesting a device's capacity of ~350 individual ejections of drug from its reservoir. The thermal behavior of the activated device is also reported in detail. This proof-of-concept prototype validates the effectiveness of wireless RF pumping for fully controlled, long-lasting drug delivery, a key step towards enabling patient-tailored, targeted local drug delivery through highly miniaturized implants."
2014 Jul 10,"Sensors (Basel, Switzerland)",Sensors (Basel). 2014 Jul 10;14(7):12399-409. doi: 10.3390/s140712399.,"['Ali, Mohamed Sultan Mohamed', 'AbuZaiter, Alaa', 'Schlosser, Colin', 'Bycraft, Brad', 'Takahata, Kenichi']","['equipment design instrumentation', 'magnetic fields', 'magnetic resonance spectroscopy  instrumentation', 'microtechnology instrumentation', 'miniaturization instrumentation', 'radio waves', 'wireless technology  instrumentation']",Wireless displacement sensing of micromachined spiral-coil actuator using resonant frequency tracking.,"This paper reports a method that enables real-time displacement monitoring and control of micromachined resonant-type actuators using wireless radiofrequency (RF). The method is applied to an out-of-plane, spiral-coil microactuator based on shape-memory-alloy (SMA). The SMA spiral coil forms an inductor-capacitor resonant circuit that is excited using external RF magnetic fields to thermally actuate the coil. The actuation causes a shift in the circuit's resonance as the coil is displaced vertically, which is wirelessly monitored through an external antenna to track the displacements. Controlled actuation and displacement monitoring using the developed method is demonstrated with the microfabricated device. The device exhibits a frequency sensitivity to displacement of 10 kHz/µm or more for a full out-of-plane travel range of 466 µm and an average actuation velocity of up to 155 µm/s. The method described permits the actuator to have a self-sensing function that is passively operated, thereby eliminating the need for separate sensors and batteries on the device, thus realizing precise control while attaining a high level of miniaturization in the device."
2014 Oct,Biomedical microdevices,Biomed Microdevices. 2014 Oct;16(5):745-59. doi: 10.1007/s10544-014-9879-8.,"['Chen, Xing', 'Brox, Daniel', 'Assadsangabi, Babak', 'Hsiang, York', 'Takahata, Kenichi']","['blood pressure determination instrumentation methods', ' blood pressure monitors', 'humans', ' remote sensing technology instrumentation methods', ' stents']",Intelligent telemetric stent for wireless monitoring of intravascular pressure and its in vivo testing.,"This paper reports a sensor-integrated telemetric stent targeted at wireless detection and monitoring of restenosis, a common vascular complication induced by stent implantation. The developed ""smart"" stent incorporates the design and fabrication approaches that raise the practicality of the device, being tested in an in vivo study that validates its operating principle. The stent is produced to have a gold-coated helical-like structure that serves as a high-performance inductor/antenna and integrated with a novel capacitive pressure sensor chip, all based on medical-grade stainless steel. The stent device forms an inductor-capacitor resonant tank that enables radio-frequency (RF) wireless pressure sensing in an operating frequency range of 30-80 MHz. With an overall length of 20 mm, the device is designed to be compatible with standard balloon catheters and necessary crimping process. The balloon-expanded devices are characterized in saline and blood to determine selective coating of passivation layer, Parylene C, with tailored thicknesses in order to maximize both RF and sensing abilities. In vitro testing of the devices reveals a frequency sensitivity up to 146 ppm/mmHg over a pressure range of 250 mmHg. Tests in pig models show wireless detection of device's resonance and frequency response to variations in local blood pressure, the targeted function of the device."
