time,journal,doi_info,authors,key words,title,abstract
2024 Jun 27,Journal of neurotrauma,J Neurotrauma. 2024 Jun 27. doi: 10.1089/neu.2023.0526.,"['Takagi, Ryan', 'Wanasundara, Chamin', 'Wu, Lyndia', 'Ipsiroglu, Osman', 'Kuo, Calvin']","['concussion', 'mtbi', 'recovery', 'sleep disorders', 'sleep monitoring', 'sleep sensing']",Sleep After Concussion: A Scoping Review of Sensor Technologies.,"Sleep disturbances following a concussion/mild traumatic brain injury are associated with longer recovery times and more comorbidities. Sensor technologies can directly monitor sleep-related physiology and provide objective sleep metrics. This scoping review determines how sensor technologies are currently used to monitor sleep following a concussion. We searched Ovid (Medline, Embase), Web of Science,"
2024 Mar,Computers in biology and medicine,Comput Biol Med. 2024 Mar;171:108109. doi: 10.1016/j.compbiomed.2024.108109. Epub ,"['Zhang, Chaokai', 'Bartels, Lara', 'Clansey, Adam', 'Kloiber, Julian', 'Bondi, Daniel', 'van Donkelaar, Paul', 'Wu, Lyndia', 'Rauscher, Alexander', 'Ji, Songbai']","['male', 'humans', ' brain concussion diagnostic imaging', ' brain injuries, traumatic diagnostic imaging', 'brain diagnostic imaging', 'axons', 'head', 'concussion', 'deep learning', 'displacement voxelization', 'fiber strain', 'multimodal analysis', 'multiscale modeling', 'traumatic axonal injury', 'traumatic brain injury']",A computational pipeline towards large-scale and multiscale modeling of traumatic axonal injury.,"Contemporary biomechanical modeling of traumatic brain injury (TBI) focuses on either the global brain as an organ or a representative tiny section of a single axon. In addition, while it is common for a global brain model to employ real-world impacts as input, axonal injury models have largely been limited to inputs of either tension or compression with assumed peak strain and strain rate. These major gaps between global and microscale modeling preclude a systematic and mechanistic investigation of how tissue strain from impact leads to downstream axonal damage throughout the white matter. In this study, a unique subject-specific multimodality dataset from a male ice-hockey player sustaining a diagnosed concussion is used to establish an efficient and scalable computational pipeline. It is then employed to derive voxelized brain deformation, maximum principal strains and white matter fiber strains, and finally, to produce diverse fiber strain profiles of various shapes in temporal history necessary for the development and application of a deep learning axonal injury model in the future. The pipeline employs a structured, voxelized representation of brain deformation with adjustable spatial resolution independent of model mesh resolution. The method can be easily extended to other head impacts or individuals. The framework established in this work is critical for enabling large-scale (i.e., across the entire white matter region, head impacts, and individuals) and multiscale (i.e., from organ to cell length scales) modeling for the investigation of traumatic axonal injury (TAI) triggering mechanisms. Ultimately, these efforts could enhance the assessment of concussion risks and design of protective headgear. Therefore, this work contributes to improved strategies for concussion detection, mitigation, and prevention."
2023 Dec,Brain multiphysics,Brain Multiphys. 2023 Dec;5:100086. doi: 10.1016/j.brain.2023.100086. Epub 2023 ,"['Grijalva, Carissa', 'Mullins, Veronica A', 'Michael, Bryce R', 'Hale, Dallin', 'Wu, Lyndia', 'Toosizadeh, Nima', 'Chilton, Floyd H', 'Laksari, Kaveh']","['functional near-infrared spectroscopy', 'hyperacute', 'sub-concussive impacts', 'transcranial doppler ultrasound']","Neuroimaging, wearable sensors, and blood-based biomarkers reveal hyperacute changes in the brain after sub-concussive impacts.","Impacts in mixed martial arts (MMA) have been studied mainly in regard to the long-term effects of concussions. However, repetitive sub-concussive head impacts at the hyperacute phase (minutes after impact), are not understood. The head experiences rapid acceleration similar to a concussion, but without clinical symptoms. We utilize portable neuroimaging technology - transcranial Doppler (TCD) ultrasound and functional near infrared spectroscopy (fNIRS) - to estimate the extent of pre- and post-differences following contact and non-contact sparring sessions in nine MMA athletes. In addition, the extent of changes in neurofilament light (NfL) protein biomarker concentrations, and neurocognitive/balance parameters were determined following impacts. Athletes were instrumented with sensor-based mouth guards to record head kinematics. TCD and fNIRS results demonstrated significantly increased blood flow velocity (p = 0.01) as well as prefrontal (p = 0.01) and motor cortex (p = 0.04) oxygenation, only following the contact sparring sessions. This increase after contact was correlated with the cumulative angular acceleration experienced during impacts (p = 0.01). In addition, the NfL biomarker demonstrated positive correlations with angular acceleration (p = 0.03), and maximum principal and fiber strain (p = 0.01). On average athletes experienced 23.9 ± 2.9 g peak linear acceleration, 10.29 ± 1.1 rad/s peak angular velocity, and 1,502.3 ± 532.3 rad/s(2) angular acceleration. Balance parameters were significantly increased following contact sparring for medial-lateral (ML) center of mass (COM) sway, and ML ankle angle (p = 0.01), illustrating worsened balance. These combined results reveal significant changes in brain hemodynamics and neurophysiological parameters that occur immediately after sub-concussive impacts and suggest that the physical impact to the head plays an important role in these changes."
2024 Jan 20,Scientific reports,Sci Rep. 2024 Jan 20;14(1):1796. doi: 10.1038/s41598-024-52163-8.,"['Kenny, Rebecca', 'Elez, Marko', 'Clansey, Adam', 'Virji-Babul, Naznin', 'Wu, Lyndia C']","['humans', 'female', ' soccer', ' brain concussion complications', 'head', 'athletes', 'brain']",Individualized monitoring of longitudinal heading exposure in soccer.,"There is growing concern that repetitive soccer headers may have negative long-term consequences on brain health. However, inconsistent and low-quality heading exposure measurements limit past investigations of this effect. Here we conducted a comprehensive heading exposure analysis across all players on a university women's soccer team for over two calendar years (36 unique athletes), quantifying both game and practice exposure during all in-season and off-season periods, with over ten thousand video-confirmed headers. Despite an average of approximately 2 headers per day, players' daily exposures ranged from 0 to 45 headers, accumulating to highly variable total exposure of 2-223 headers over each in-season/off-season period. Overall, practices and off-season periods accounted for 70% and 45% of headers, respectively. Impact sensor data showed that heading kinematics fell within a tight distribution, but sensors could not capture full heading exposure due to factors such as compliance. With first-of-its-kind complete heading exposure data, we recommend exposure assessments be made on an individual level and include practice/off-season collection in addition to games and competitive seasons. Commonly used group statistics do not capture highly variable exposures, and individualized complete heading exposure tracking needs to be incorporated in future study designs for confirming the potential brain injury risk associated with soccer heading."
2024 Jan,Journal of biomechanics,J Biomech. 2024 Jan;162:111889. doi: 10.1016/j.jbiomech.2023.111889. Epub 2023 ,"['Luke, David', 'Kenny, Rebecca', 'Bondi, Daniel', 'Clansey, Adam C', 'Wu, Lyndia C']","['male', 'humans', 'female', ' brain injuries', 'head', 'skull', ' hockey', ' mouth protectors', 'acceleration', ' brain concussion', 'data quality', 'head acceleration event', 'instrumented mouthguards', 'on-field coupling', 'proximity sensor']",On-field instrumented mouthguard coupling.,"Instrumented mouthguard (iMG) sensors have been developed to measure sports head acceleration events (HAE) in brain injury research. Laboratory validation studies show that effective coupling of iMGs with the human skull is crucial for accurate head kinematics measurements. However, iMG-skull coupling has not been investigated in on-field sports settings. The objective of this study was to assess on-field iMG coupling using infrared proximity sensing and to investigate coupling effects on kinematics signal characteristics. Forty-two university-level men's ice hockey (n = 21) and women's rugby (n = 21) athletes participated in the study, wearing iMGs during 6-7 month in-season periods. Proximity data classified video-verified HAE recordings into four main iMG coupling categories: coupled (on-teeth), decoupling (on-teeth to off-teeth), recoupling (off-teeth to on-teeth) and decoupled (off-teeth). Poorly-coupled HAEs showed significantly higher peak angular acceleration amplitudes and greater signal power in medium-high frequency bands compared with well-coupled HAEs, indicating potential iMG movements independent of the skull. Further, even video-verified true positives included poorly-coupled HAEs, and iMG coupling patterns varied between the men's hockey and women's rugby teams. Our findings show the potential of using proximity sensing in iMGs to identify poorly-coupled HAEs. Utilizing this data screening process in conjunction with video review may mitigate a key source of sensor noise and enhance the overall quality of on-field sports HAE datasets."
2023,Frontiers in human neuroscience,Front Hum Neurosci. 2023 Sep 14;17:1191284. doi: 10.3389/fnhum.2023.1191284. ,"['Grijalva, Carissa', 'Hale, Dallin', 'Wu, Lyndia', 'Toosizadeh, Nima', 'Laksari, Kaveh']","['tcd (transcranial doppler sonography)', 'dual task', 'fnirs (functional near infrared spectroscopy)', 'hyperacute', 'soccer', 'subconcussive']",Hyper-acute effects of sub-concussive soccer headers on brain function and hemodynamics.,"INTRODUCTION: Sub-concussive head impacts in soccer are drawing increasing research attention regarding their acute and long-term effects as players may experience thousands of headers in a single season. During these impacts, the head experiences rapid acceleration similar to what occurs during a concussion, but without the clinical implications. The physical mechanism and response to repetitive impacts are not completely understood. The objective of this work was to examine the immediate functional outcomes of sub-concussive level impacts from soccer heading in a natural, non-laboratory environment. METHODS: Twenty university level soccer athletes were instrumented with sensor-mounted bite bars to record impacts from 10 consecutive soccer headers. Pre- and post-header measurements were collected to determine hyper-acute changes, i.e., within minutes after exposure. This included measuring blood flow velocity using transcranial Doppler (TCD) ultrasound, oxyhemoglobin concentration using functional near infrared spectroscopy imaging (fNIRS), and upper extremity dual-task (UEF) neurocognitive testing. RESULTS: On average, the athletes experienced 30.7 ± 8.9 g peak linear acceleration and 7.2 ± 3.1 rad/s peak angular velocity, respectively. Results from fNIRS measurements showed an increase in the brain oxygenation for the left prefrontal cortex (PC) (p = 0.002), and the left motor cortex (MC) (p = 0.007) following the soccer headers. Additional analysis of the fNIRS time series demonstrates increased sample entropy of the signal after the headers in the right PC (p = 0.02), right MC (p = 0.004), and left MC (p = 0.04). DISCUSSION: These combined results reveal some variations in brain oxygenation immediately detected after repetitive headers. Significant changes in balance and neurocognitive function were not observed in this study, indicating a mild level of head impacts. This is the first study to observe hemodynamic changes immediately after sub-concussive impacts using non-invasive portable imaging technology. In combination with head kinematic measurements, this information can give new insights and a framework for immediate monitoring of sub-concussive impacts on the head."
2022 Nov,Annals of biomedical engineering,Ann Biomed Eng. 2022 Nov;50(11):1356-1371. doi: 10.1007/s10439-022-03066-0. Epub ,"['Gabler, Lee', 'Patton, Declan', 'Begonia, Mark', 'Daniel, Ray', 'Rezaei, Ahmad', 'Huber, Colin', 'Siegmund, Gunter', 'Rooks, Tyler', 'Wu, Lyndia']","['humans', 'biomechanical phenomena', 'consensus', 'acceleration', ' wearable electronic devices', 'head', ' brain injuries', 'accuracy', 'best practices', 'head impact kinematics', 'recommendations', 'validation']",Consensus Head Acceleration Measurement Practices (CHAMP): Laboratory Validation of Wearable Head Kinematic Devices.,"Wearable devices are increasingly used to measure real-world head impacts and study brain injury mechanisms. These devices must undergo validation testing to ensure they provide reliable and accurate information for head impact sensing, and controlled laboratory testing should be the first step of validation. Past validation studies have applied varying methodologies, and some devices have been deployed for on-field use without validation. This paper presents best practices recommendations for validating wearable head kinematic devices in the laboratory, with the goal of standardizing validation test methods and data reporting. Key considerations, recommended approaches, and specific considerations were developed for four main aspects of laboratory validation, including surrogate selection, test conditions, data collection, and data analysis. Recommendations were generated by a group with expertise in head kinematic sensing and laboratory validation methods and reviewed by a larger group to achieve consensus on best practices. We recommend that these best practices are followed by manufacturers, users, and reviewers to conduct and/or review laboratory validation of wearable devices, which is a minimum initial step prior to on-field validation and deployment. We anticipate that the best practices recommendations will lead to more rigorous validation of wearable head kinematic devices and higher accuracy in head impact data, which can subsequently advance brain injury research and management."
2022 Jun 3,Scientific reports,Sci Rep. 2022 Jun 3;12(1):9282. doi: 10.1038/s41598-022-13220-2.,"['Rezaei, Ahmad', 'Wu, Lyndia C']","[' brain injuries', ' deep learning', ' football', 'head', 'humans', ' soccer', 'video recording']",Automated soccer head impact exposure tracking using video and deep learning.,"Head impacts are highly prevalent in sports and there is a pressing need to investigate the potential link between head impact exposure and brain injury risk. Wearable impact sensors and manual video analysis have been utilized to collect impact exposure data. However, wearable sensors suffer from high deployment cost and limited accuracy, while manual video analysis is a long and resource-intensive task. Here we develop and apply DeepImpact, a computer vision algorithm to automatically detect soccer headers using soccer game videos. Our data-driven pipeline uses two deep learning networks including an object detection algorithm and temporal shift module to extract visual and temporal features of video segments and classify the segments as header or nonheader events. The networks were trained and validated using a large-scale professional-level soccer video dataset, with labeled ground truth header events. The algorithm achieved 95.3% sensitivity and 96.0% precision in cross-validation, and 92.9% sensitivity and 21.1% precision in an independent test that included videos of five professional soccer games. Video segments identified as headers in the test data set correspond to 3.5 min of total film time, which can be reviewed through additional manual video verification to eliminate false positives. DeepImpact streamlines the process of manual video analysis and can help to collect large-scale soccer head impact exposure datasets for brain injury research. The fully video-based solution is a low-cost alternative for head impact exposure monitoring and may also be expanded to other sports in future work."
2022 Nov,Annals of biomedical engineering,Ann Biomed Eng. 2022 Nov;50(11):1461-1472. doi: 10.1007/s10439-022-02914-3. Epub ,"['Kenny, Rebecca', 'Elez, Marko', 'Clansey, Adam', 'Virji-Babul, Naznin', 'Wu, Lyndia C']","['female', 'humans', ' soccer injuries', 'biomechanical phenomena', 'universities', 'acceleration', 'athletes', 'head', ' brain concussion', 'female athletes', 'head impact exposure', 'head impact kinematics', 'mouthpiece sensor', 'repetitive head impacts', 'soccer heading', 'video verification']",Head Impact Exposure and Biomechanics in University Varsity Women's Soccer.,"Soccer is a unique sport where players purposefully and voluntarily use their unprotected heads to manipulate the direction of the ball. There are limited soccer head impact exposure data to further study brain injury risks. The objective of the current study was to combine validated mouthpiece sensors with comprehensive video analysis methods to characterize head impact exposure and biomechanics in university varsity women's soccer. Thirteen female soccer athletes were instrumented with mouthpiece sensors to record on-field head impacts during practices, scrimmages, and games. Multi-angle video was obtained and reviewed for all on-field activity to verify mouthpiece impacts and identify contact scenarios. We recorded 1307 video-identified intentional heading impacts and 1011 video-verified sensor impacts. On average, athletes experienced 1.83 impacts per athlete-exposure, with higher exposure in practices than games/scrimmages. Median and 95th percentile peak linear and peak angular accelerations were 10.0, 22.2 g, and 765, 2296 rad/s(2), respectively. Long kicks, top of the head impacts and jumping headers resulted in the highest impact kinematics. Our results demonstrate the importance of investigating and monitoring head impact exposure during soccer practices, as well as the opportunity to limit high-kinematics impact exposure through heading technique training and reducing certain contact scenarios."
2021 Dec,Annals of biomedical engineering,Ann Biomed Eng. 2021 Dec;49(12):3189-3199. doi: 10.1007/s10439-021-02868-y. Epub ,"['Wang, Timothy', 'Kenny, Rebecca', 'Wu, Lyndia C']","['accelerometry  instrumentation', 'adolescent', 'adult', 'biomechanical phenomena', 'female', ' football', ' head movements', 'humans', 'male', ' mouth protectors', 'rotation', ' soccer', 'head impact exposure', 'head impact sensors', 'impact triggering', 'linear acceleration threshold', 'subconcussive impacts', 'triggering bias']",Head Impact Sensor Triggering Bias Introduced by Linear Acceleration Thresholding.,"Contact sports players frequently sustain head impacts, most of which are mild impacts exhibiting 10-30 g peak head center-of-gravity (CG) linear acceleration. Wearable head impact sensors are commonly used to measure exposure and typically detect impacts using a linear acceleration threshold. However, linear acceleration across the head can substantially vary during 6-degree-of-freedom motion, leading to triggering biases that depend on sensor location and impact condition. We conducted an analytical investigation with impact characteristics extracted from on-field American football and soccer data. We assumed typical mouthguard sensor locations and evaluated whether simulated multi-directional impacts would trigger recording based on per-axis or resultant acceleration thresholding. Across 1387 impact directions, a 10g peak CG linear acceleration impact would trigger at only 24.7% and 31.8% of directions based on a 10 g per-axis and resultant acceleration threshold, respectively. Anterior impact locations had lower trigger rates and even a 30 g impact would not trigger recording in some directions. Such triggering biases also varied by sensor location and linear-rotational head kinematics coupling. Our results show that linear acceleration-based impact triggering could lead to considerable bias in head impact exposure measurements. We propose a set of recommendations to consider for sensor manufacturers and researchers to mitigate this potential exposure measurement bias."
2021 Oct,Annals of biomedical engineering,Ann Biomed Eng. 2021 Oct;49(10):2693-2715. doi: 10.1007/s10439-021-02831-x. Epub ,"['Qiao, Calvin Z', 'Chen, Anthony', 'Blouin, Jean-Sébastien', 'Wu, Lyndia C']","['biomechanical phenomena', 'craniocerebral trauma  physiopathology', 'humans', 'postural balance  physiology', 'brain injury biomechanics', 'concussion', 'injury mechanisms', 'sensorimotor deficits', 'standing balance', 'subconcussive head impacts']",Potential Mechanisms of Acute Standing Balance Deficits After Concussions and Subconcussive Head Impacts: A Review.,"Standing balance deficits are prevalent after concussions and have also been reported after subconcussive head impacts. However, the mechanisms underlying such deficits are not fully understood. The objective of this review is to consolidate evidence linking head impact biomechanics to standing balance deficits. Mechanical energy transferred to the head during impacts may deform neural and sensory components involved in the control of standing balance. From our review of acute balance-related changes, concussions frequently resulted in increased magnitude but reduced complexity of postural sway, while subconcussive studies showed inconsistent outcomes. Although vestibular and visual symptoms are common, potential injury to these sensors and their neural pathways are often neglected in biomechanics analyses. While current evidence implies a link between tissue deformations in deep brain regions including the brainstem and common post-concussion balance-related deficits, this link has not been adequately investigated. Key limitations in current studies include inadequate balance sampling duration, varying test time points, and lack of head impact biomechanics measurements. Future investigations should also employ targeted quantitative methods to probe the sensorimotor and neural components underlying balance control. A deeper understanding of the specific injury mechanisms will inform diagnosis and management of balance deficits after concussions and subconcussive head impact exposure."
