time,journal,doi_info,authors,key words,title,abstract
2024 Apr 10,bioRxiv : the preprint server for biology,bioRxiv [Preprint]. 2024 Apr 10:2024.04.06.588414. doi: ,"['Wardell, Christine M', 'Fung, Vivian C W', 'Chen, Eleanor', 'Haque, Manjurul', 'Gillies, Jana', 'Spanier, Justin A', 'Mojibian, Majid', 'Fife, Brian T', 'Levings, Megan K']",[],Short Report: CAR Tregs mediate linked suppression and infectious tolerance in islet transplantation.,"Regulatory T cells (Tregs) have potential as a cell-based therapy to prevent or treat transplant rejection and autoimmunity. Using an HLA-A2-specific chimeric antigen receptor (A2-CAR), we previously showed that adoptive transfer of A2-CAR Tregs limited anti-HLA-A2 alloimmunity. However, it was unknown if A2-CAR Tregs could also limit immunity to autoantigens. Using a model of HLA-A2(+) islet transplantation into immunodeficient non-obese diabetic mice, we investigated if A2-CAR Tregs could control diabetes induced by islet-autoreactive (BDC2.5) T cells. In mice transplanted with HLA-A2(+) islets, A2-CAR Tregs reduced BDC2.5 T cell engraftment, proliferation and cytokine production, and protected mice from diabetes. Tolerance to islets was systemic, including protection of the HLA-A2(negative) endogenous pancreas. In tolerant mice, a significant proportion of BDC2.5 T cells gained FOXP3 expression suggesting that long-term tolerance is maintained by de novo Treg generation. Thus, A2-CAR Tregs mediate linked suppression and infectious tolerance and have potential therapeutic use to simultaneously control both allo- and autoimmunity in islet transplantation."
2024 Apr 18,Scientific reports,Sci Rep. 2024 Apr 18;14(1):8926. doi: 10.1038/s41598-024-59535-0.,"['Gaultier, Gabrielle N', 'McMillan, Brynn', 'Poloni, Chad', 'Lo, Mandy', 'Cai, Bing', 'Zheng, Jean J', 'Baer, Hannah M', 'Shulha, Hennady P', 'Simmons, Karen', 'Márquez, Ana Citlali', 'Bartlett, Sofia R', 'Cook, Laura', 'Levings, Megan K', 'Steiner, Theodore', 'Sekirov, Inna', 'Zlosnik, James E A', 'Morshed, Muhammad', 'Skowronski, Danuta M', 'Krajden, Mel', 'Jassem, Agatha N', 'Sadarangani, Manish']","['adult', 'humans', 'middle aged', 'aged', ' covid-19 vaccines', 'angiotensin-converting enzyme 2', 'bnt162 vaccine', 'prospective studies', ' covid-19 prevention & control', 'canada epidemiology', 'antibodies', 'chadox1 ncov-19', 'rna, messenger', 'antibodies, viral', 'vaccination']","Adaptive immune responses to two-dose COVID-19 vaccine series in healthy Canadian adults ≥ 50 years: a prospective, observational cohort study.","To evaluate immune responses to COVID-19 vaccines in adults aged 50 years and older, spike protein (S)-specific antibody concentration, avidity, and function (via angiotensin-converting enzyme 2 (ACE2) inhibition surrogate neutralization and antibody dependent cellular phagocytosis (ADCP)), as well as S-specific T cells were quantified via activation induced marker (AIM) assay in response to two-dose series. Eighty-four adults were vaccinated with either: mRNA/mRNA (mRNA-1273 and/or BNT162b2); ChAdOx1-S/mRNA; or ChAdOx1-S/ChAdOx1-S. Anti-S IgG concentrations, ADCP scores and ACE2 inhibiting antibody concentrations were highest at one-month post-second dose and declined by four-months post-second dose for all groups. mRNA/mRNA and ChAdOx1-S/mRNA schedules had significantly higher antibody responses than ChAdOx1-S/ChAdOx1-S. CD8(+) T-cell responses one-month post-second dose were associated with increased ACE2 surrogate neutralization. Antibody avidity (total relative avidity index) did not change between one-month and four-months post-second dose and did not significantly differ between groups by four-months post-second dose. In determining COVID-19 correlates of protection, a measure that considers both antibody concentration and avidity should be considered."
2024 Apr,Diabetologia,Diabetologia. 2024 Apr;67(4):611-622. doi: 10.1007/s00125-023-06076-2. Epub 2024 ,"['Tuomela, Karoliina', 'Levings, Megan K']","['humans', ' diabetes mellitus, type 1 genetics therapy', 't-lymphocytes, regulatory', ' autoimmune diseases', 'receptors, antigen, t-cell metabolism', 'genetic engineering', 'adoptive cell therapy', 'chimeric antigen receptor', 'gene editing', 'regulatory t cell', 'review', 't cell receptor']",Genetic engineering of regulatory T cells for treatment of autoimmune disorders including type 1 diabetes.,"Suppression of pathogenic immune responses is a major goal in the prevention and treatment of type 1 diabetes. Adoptive cell therapy using regulatory T cells (Tregs), a naturally suppressive immune subset that is often dysfunctional in type 1 diabetes, is a promising approach to achieving localised and specific immune suppression in the pancreas or site of islet transplant. However, clinical trials testing administration of polyclonal Tregs in recent-onset type 1 diabetes have observed limited efficacy despite an excellent safety profile. Several barriers to efficacy have been identified, including lack of antigen specificity, low cell persistence post-administration and difficulty in generating sufficient cell numbers. Fortunately, the emergence of advanced gene editing techniques has opened the door to new strategies to engineer Tregs with improved specificity and function. These strategies include the engineering of FOXP3 expression to produce a larger source of suppressive cells for infusion, expressing T cell receptors or chimeric antigen receptors to generate antigen-specific Tregs and improving Treg survival by targeting cytokine pathways. Although these approaches are being applied in a variety of autoimmune and transplant contexts, type 1 diabetes presents unique opportunities and challenges for the genetic engineering of Tregs for adoptive cell therapy. Here we discuss the role of Tregs in type 1 diabetes pathogenesis and the application of Treg engineering in the context of type 1 diabetes."
2024 Apr 1,Transplantation,Transplantation. 2024 Apr 1;108(4):e49-e62. doi: 10.1097/TP.0000000000004873. ,"['Halvorson, Torin', 'Ivison, Sabine', 'Huang, Qing', 'Ladua, Gale', 'Yotis, Demitra M', 'Mannar, Dhiraj', 'Subramaniam, Sriram', 'Ferreira, Victor H', 'Kumar, Deepali', 'Belga, Sara', 'Levings, Megan K']","['humans', 'aged', 'sars-cov-2', 'covid-19 vaccines', 'transplant recipients', ' covid-19 prevention & control', ' organ transplantation adverse effects', 'antibodies, viral', 'antibodies, neutralizing']",SARS-CoV-2 Variants Omicron BA.4/5 and XBB.1.5 Significantly Escape T Cell Recognition in Solid-organ Transplant Recipients Vaccinated Against the Ancestral Strain.,"BACKGROUND: Immune-suppressed solid-organ transplant recipients (SOTRs) display impaired humoral responses to COVID-19 vaccination, but T cell responses are incompletely understood. SARS-CoV-2 variants Omicron BA.4/5 (BA.4/5) and XBB.1.5 escape neutralization by antibodies induced by vaccination or infection with earlier strains, but T cell recognition of these lineages in SOTRs is unclear. METHODS: We characterized Spike-specific T cell responses to ancestral SARS-CoV-2 and BA.4/5 peptides in 42 kidney, liver, and lung transplant recipients throughout a 3- or 4-dose ancestral Spike mRNA vaccination schedule. As the XBB.1.5 variant emerged during the study, we tested vaccine-induced T cell responses in 10 additional participants using recombinant XBB.1.5 Spike protein. Using an optimized activation-induced marker assay, we quantified circulating Spike-specific CD4 + and CD8 + T cells based on antigen-stimulated expression of CD134, CD69, CD25, CD137, and/or CD107a. RESULTS: Vaccination strongly induced SARS-CoV-2-specific T cells, including BA.4/5- and XBB.1.5-reactive T cells, which remained detectable over time and further increased following a fourth dose. However, responses to BA.4/5 (1.34- to 1.67-fold lower) XBB.1.5 (2.0- to 18-fold lower) were significantly reduced in magnitude compared with ancestral strain responses. CD4 + responses correlated with anti-receptor-binding domain antibodies and predicted subsequent antibody responses in seronegative individuals. Lung transplant recipients receiving prednisone and older adults displayed weaker responses. CONCLUSIONS: Ancestral strain vaccination stimulates BA.4/5 and XBB.1.5-cross-reactive T cells in SOTRs, but at lower magnitudes. Antigen-specific T cells can predict future antibody responses. Our data support monitoring both humoral and cellular immunity in SOTRs to track COVID-19 vaccine immunogenicity against emerging variants."
2023 Dec 4,The Journal of experimental medicine,J Exp Med. 2023 Dec 4;220(12):e20231045. doi: 10.1084/jem.20231045. Epub 2023 Oct ,"['Bernaldo-de-Quirós, Esther', 'Camino, Manuela', 'Martínez-Bonet, Marta', 'Gil-Jaurena, Juan Miguel', 'Gil, Nuria', 'Hernández-Flórez, Diana', 'Fernández-Santos, Maria Eugenia', 'Butragueño, Laura', 'Dijke, I Esmé', 'Levings, Megan K', 'West, Lori J', 'Pion, Marjorie', 'Correa-Rocha, Rafael']","['adult', 'humans', 'infant', 'graft rejection', ' heart transplantation', ' t-lymphocytes, regulatory', 'transplantation, homologous']",First-in-human therapy with Treg produced from thymic tissue (thyTreg) in a heart transplant infant.,"Due to their suppressive capacity, regulatory T cells (Tregs) have attracted growing interest as an adoptive cellular therapy for the prevention of allograft rejection, but limited Treg recovery and lower quality of adult-derived Tregs could represent an obstacle to success. To address this challenge, we developed a new approach that provides large quantities of Tregs with high purity and excellent features, sourced from thymic tissue routinely removed during pediatric cardiac surgeries (thyTregs). We report on a 2-year follow-up of the first patient treated worldwide with thyTregs, included in a phase I/II clinical trial evaluating the administration of autologous thyTreg in infants undergoing heart transplantation. In addition to observing no adverse effects that could be attributed to thyTreg administration, we report that the Treg frequency in the periphery was preserved during the 2-year follow-up period. These initial results are consistent with the trial objective, which is to confirm safety of the autologous thyTreg administration and its capacity to restore the Treg pool."
2024 May 2,Inflammatory bowel diseases,Inflamm Bowel Dis. 2024 May 2;30(5):820-828. doi: 10.1093/ibd/izad238.,"['Cook, Laura', 'Wong, May Q', 'Rees, William D', 'Schick, Alana', 'Lisko, Daniel J', 'Lunken, Genelle R', 'Wang, Xiaojiao', 'Peters, Hannah', 'Oliveira, Laura', 'Lau, Torey', 'Mah, Regan', 'Bressler, Brian', 'Levings, Megan K', 'Steiner, Theodore S']","['humans', 'male', 'female', ' clostridioides difficile immunology', 'adult', ' clostridium infections immunology microbiology', 'case-control studies', 'middle aged', ' feces microbiology', ' gastrointestinal microbiome immunology', ' cd4-positive t-lymphocytes immunology', 'bacterial toxins immunology', 'colitis, ulcerative immunology microbiology', 'th17 cells immunology', 'inflammatory bowel diseases immunology microbiology', 'rna, ribosomal, 16s genetics analysis', 'crohn disease immunology microbiology', 'integrin beta chains metabolism', 'young adult', ' bacterial proteins', 'c. difficile', 'cd4+ t cell', 't cell memory', 'antimicrobial resistance', 'microbiome']",Dysregulated Immunity to Clostridioides difficile in IBD Patients Without a History of Recognized Infection.,"BACKGROUND & AIMS: Clostridioides difficile is a toxin-secreting bacteria that is an urgent antimicrobial resistance threat, with approximately 25% of patients developing recurrent infections. Inflammatory bowel disease (IBD) patients are at increased risk of severe, recurrent C. difficile infection. METHODS: To investigate a role for C. difficile infection in IBD pathogenesis, we collected peripheral blood and stool from 20 each of ulcerative colitis patients, Crohn's disease patients, and healthy control subjects. We used a flow cytometric activation induced marker assay to quantify C. difficile toxin-specific CD4+ T cells and 16S ribosomal RNA sequencing to study microbiome diversity. RESULTS: We found IBD patients had significantly increased levels of C. difficile toxin B-specific CD4+ T cells, but not immunoglobulin G or immunoglobulin A, compared with healthy control subjects. Within antigen-specific CD4+ T cells, T helper type 17 cells and cells expressing the gut homing receptor integrin β7 were reduced compared with healthy control subjects, similar to our previous study of non-IBD patients with recurrent C. difficile infection. Stool microbiome analysis revealed that gut homing, toxin-specific CD4+ T cells negatively associated with microbial diversity and, along with T helper type 17 cells, positively associated with bacteria enriched in healthy control subjects. CONCLUSIONS: These data suggest that IBD patients, potentially due to underlying intestinal dysbiosis, experience undiagnosed C. difficile infections that result in impaired toxin-specific immunity. This may contribute to the development of inflammatory T cell responses toward commensal bacteria and provide a rationale for C. difficile testing in IBD patients."
2024 Feb 5,medRxiv : the preprint server for health sciences,medRxiv [Preprint]. 2024 Feb 5:2023.08.30.23294092. doi: ,"['Trang, Khanh B', 'Pahl, Matthew C', 'Pippin, James A', 'Su, Chun', 'Littleton, Sheridan H', 'Sharma, Prabhat', 'Kulkarni, Nikhil N', 'Ghanem, Louis R', 'Terry, Natalie A', ""O'Brien, Joan M"", 'Wagley, Yadav', 'Hankenson, Kurt D', 'Jermusyk, Ashley', 'Hoskins, Jason W', 'Amundadottir, Laufey T', 'Xu, Mai', 'Brown, Kevin M', 'Anderson, Stewart A', 'Yang, Wenli', 'Titchenell, Paul M', 'Seale, Patrick', 'Cook, Laura', 'Levings, Megan K', 'Zemel, Babette S', 'Chesi, Alessandra', 'Wells, Andrew D', 'Grant, Struan F A']",[],3D genomic features across >50 diverse cell types reveal insights into the genomic architecture of childhood obesity.,"The prevalence of childhood obesity is increasing worldwide, along with the associated common comorbidities of type 2 diabetes and cardiovascular disease in later life. Motivated by evidence for a strong genetic component, our prior genome-wide association study (GWAS) efforts for childhood obesity revealed 19 independent signals for the trait; however, the mechanism of action of these loci remains to be elucidated. To molecularly characterize these childhood obesity loci we sought to determine the underlying causal variants and the corresponding effector genes within diverse cellular contexts. Integrating childhood obesity GWAS summary statistics with our existing 3D genomic datasets for 57 human cell types, consisting of high-resolution promoter-focused Capture-C/Hi-C, ATAC-seq, and RNA-seq, we applied stratified LD score regression and calculated the proportion of genome-wide SNP heritability attributable to cell type-specific features, revealing pancreatic alpha cell enrichment as the most statistically significant. Subsequent chromatin contact-based fine-mapping was carried out for genome-wide significant childhood obesity loci and their linkage disequilibrium proxies to implicate effector genes, yielded the most abundant number of candidate variants and target genes at the BDNF, ADCY3, TMEM18 and FTO loci in skeletal muscle myotubes and the pancreatic beta-cell line, EndoC-BH1. One novel implicated effector gene, ALKAL2 - an inflammation-responsive gene in nerve nociceptors - was observed at the key TMEM18 locus across multiple immune cell types. Interestingly, this observation was also supported through colocalization analysis using expression quantitative trait loci (eQTL) derived from the Genotype-Tissue Expression (GTEx) dataset, supporting an inflammatory and neurologic component to the pathogenesis of childhood obesity. Our comprehensive appraisal of 3D genomic datasets generated in a myriad of different cell types provides genomic insights into pediatric obesity pathogenesis."
2023 Oct 9,JCI insight,JCI Insight. 2023 Oct 9;8(19):e167215. doi: 10.1172/jci.insight.167215.,"['Rosado-Sánchez, Isaac', 'Haque, Manjurul', 'Salim, Kevin', 'Speck, Madeleine', 'Fung, Vivian Cw', 'Boardman, Dominic A', 'Mojibian, Majid', 'Raimondi, Giorgio', 'Levings, Megan K']","['mice', 'animals', ' receptors, chimeric antigen', 'cd28 antigens', 't-lymphocytes, regulatory', 'transplantation, homologous', 'allografts metabolism', 'costimulation', 'immunology', 'immunotherapy', 'tolerance', 'transplantation']",Tregs integrate native and CAR-mediated costimulatory signals for control of allograft rejection.,"Tregs expressing chimeric antigen receptors (CAR-Tregs) are a promising tool to promote transplant tolerance. The relationship between CAR structure and Treg function was studied in xenogeneic, immunodeficient mice, revealing advantages of CD28-encoding CARs. However, these models could underrepresent interactions between CAR-Tregs, antigen-presenting cells (APCs), and donor-specific Abs. We generated Tregs expressing HLA-A2-specific CARs with different costimulatory domains and compared their function in vitro and in vivo using an immunocompetent model of transplantation. In vitro, the CD28-encoding CAR had superior antigen-specific suppression, proliferation, and cytokine production. In contrast, in vivo, Tregs expressing CARs encoding CD28, ICOS, programmed cell death 1, and GITR, but not 4-1BB or OX40, all extended skin allograft survival. To reconcile in vitro and in vivo data, we analyzed effects of a CAR encoding CD3ζ but no costimulatory domain. These data revealed that exogenous costimulation from APCs can compensate for the lack of a CAR-encoded CD28 domain. Thus, Tregs expressing a CAR with or without CD28 are functionally equivalent in vivo, mediating similar extension of skin allograft survival and controlling the generation of anti-HLA-A2 alloantibodies. This study reveals a dimension of CAR-Treg biology and has important implications for the design of CARs for clinical use in Tregs."
2023 Sep 15,The Journal of clinical investigation,J Clin Invest. 2023 Sep 15;133(18):e168601. doi: 10.1172/JCI168601.,"['Spanier, Justin A', 'Fung, Vivian', 'Wardell, Christine M', 'Alkhatib, Mohannad H', 'Chen, Yixin', 'Swanson, Linnea A', 'Dwyer, Alexander J', 'Weno, Matthew E', 'Silva, Nubia', 'Mitchell, Jason S', 'Orban, Paul C', 'Mojibian, Majid', 'Verchere, C Bruce', 'Fife, Brian T', 'Levings, Megan K']","['mice', 'animals', ' diabetes mellitus, type 1 genetics prevention & control', ' receptors, chimeric antigen genetics metabolism', 'histocompatibility antigens class ii genetics metabolism', 'mice, inbred nod', 'insulin metabolism', 't-lymphocytes, regulatory', 'autoimmunity', 'diabetes', 'immunology', 'immunotherapy', 'tolerance']",Tregs with an MHC class II peptide-specific chimeric antigen receptor prevent autoimmune diabetes in mice.,
2023 Sep 1,Transplantation,Transplantation. 2023 Sep 1;107(9):e222-e233. doi: 10.1097/TP.0000000000004709. ,"['Ellis, Cara E', 'Mojibian, Majid', 'Ida, Shogo', 'Fung, Vivian C W', 'Skovsø, Søs', 'McIver, Emma', ""O'Dwyer, Shannon"", 'Webber, Travis D', 'Braam, Mitchell J S', 'Saber, Nelly', 'Sasaki, Shugo', 'Lynn, Francis C', 'Kieffer, Timothy J', 'Levings, Megan K']","['humans', 'mice', 'animals', 'hla-a2 antigen', ' receptors, chimeric antigen', 'leukocytes, mononuclear', ' graft vs host disease', ' islets of langerhans transplantation', ' insulins', 'graft rejection prevention & control']",Human A2-CAR T Cells Reject HLA-A2 + Human Islets Transplanted Into Mice Without Inducing Graft-versus-host Disease.,"BACKGROUND: Type 1 diabetes is an autoimmune disease characterized by T-cell-mediated destruction of pancreatic beta-cells. Islet transplantation is an effective therapy, but its success is limited by islet quality and availability along with the need for immunosuppression. New approaches include the use of stem cell-derived insulin-producing cells and immunomodulatory therapies, but a limitation is the paucity of reproducible animal models in which interactions between human immune cells and insulin-producing cells can be studied without the complication of xenogeneic graft-versus-host disease (xGVHD). METHODS: We expressed an HLA-A2-specific chimeric antigen receptor (A2-CAR) in human CD4 + and CD8 + T cells and tested their ability to reject HLA-A2 + islets transplanted under the kidney capsule or anterior chamber of the eye of immunodeficient mice. T-cell engraftment, islet function, and xGVHD were assessed longitudinally. RESULTS: The speed and consistency of A2-CAR T-cell-mediated islet rejection varied depending on the number of A2-CAR T cells and the absence/presence of coinjected peripheral blood mononuclear cells (PBMCs). When <3 million A2-CAR T cells were injected, coinjection of PBMCs accelerated islet rejection but also induced xGVHD. In the absence of PBMCs, injection of 3 million A2-CAR T cells caused synchronous rejection of A2 + human islets within 1 wk and without xGVHD for 12 wk. CONCLUSIONS: Injection of A2-CAR T cells can be used to study rejection of human insulin-producing cells without the complication of xGVHD. The rapidity and synchrony of rejection will facilitate in vivo screening of new therapies designed to improve the success of islet-replacement therapies."
