time,journal,doi_info,authors,key words,title,abstract
2024 Apr 10,Soft robotics,Soft Robot. 2024 Apr 10. doi: 10.1089/soro.2023.0102.,"['Gunawardane, Palpolage Don Shehan Hiroshan', 'Cheung, Phoebe', 'Zhou, Hao', 'Alici, Gursel', 'de Silva, Clarence W', 'Chiao, Mu']","['3d-printed soft pneumatic actuators', 'omni-purpose designs for soft pneumatic actuators', 'soft artificial muscles', 'soft crawling robots']",A Versatile 3D-Printable Soft Pneumatic Actuator Design for Multi-Functional Applications in Soft Robotics.,"Soft pneumatic actuators (SPAs) play a crucial role in generating movements and forces in soft robotic systems. However, existing SPA designs require significant structural modifications to be used in applications other than their original design. The present article proposes an omni-purpose fully 3D-printable SPA design inspired by membrane type mold and cast SPAs. The design features a spring-like zig-zag structure 3D-printed using an affordable 3D printer with thermoplastic polyurethane and a minimum wall thickness between 0.4 and 0.6 mm. The new SPA can perform unidirectional extension (30% extension) and bidirectional (rotation around same axis) bending (100°), with the ability to exert 10 N blocking force for 350 kPa pressure input. In addition, the design exhibits the capability to be scaled down for the purpose of accommodating limited spaces, while simultaneously enabling the reconfigurable interconnection of multiple SPAs to adapt to larger areas and navigate intricate trajectories that were not originally intended. The SPA's ability to be used in multiple applications without structural modification was validated through testing as a robot end-effector (gripper), artificial muscles in a soft tendon-driven prosthetic hand, a tube/tunnel navigator, and a robot crawler."
2024 Jan 15,"Sensors (Basel, Switzerland)",Sensors (Basel). 2024 Jan 15;24(2):0. doi: 10.3390/s24020540.,"['Gunawardane, Palpolage Don Shehan Hiroshan', 'MacNeil, Raymond Robert', 'Zhao, Leo', 'Enns, James Theodore', 'de Silva, Clarence Wilfred', 'Chiao, Mu']","['humans', 'electrooculography', ' saccades', ' acceleration', 'algorithms', 'brain', 'kalman filters', 'biomedical signal processing', 'corneo-retinal potential', 'electrooculography', 'eye tracking', 'filtering algorithms', 'saccades']",A Fusion Algorithm Based on a Constant Velocity Model for Improving the Measurement of Saccade Parameters with Electrooculography.,"Electrooculography (EOG) serves as a widely employed technique for tracking saccadic eye movements in a diverse array of applications. These encompass the identification of various medical conditions and the development of interfaces facilitating human-computer interaction. Nonetheless, EOG signals are often met with skepticism due to the presence of multiple sources of noise interference. These sources include electroencephalography, electromyography linked to facial and extraocular muscle activity, electrical noise, signal artifacts, skin-electrode drifts, impedance fluctuations over time, and a host of associated challenges. Traditional methods of addressing these issues, such as bandpass filtering, have been frequently utilized to overcome these challenges but have the associated drawback of altering the inherent characteristics of EOG signals, encompassing their shape, magnitude, peak velocity, and duration, all of which are pivotal parameters in research studies. In prior work, several model-based adaptive denoising strategies have been introduced, incorporating mechanical and electrical model-based state estimators. However, these approaches are really complex and rely on brain and neural control models that have difficulty processing EOG signals in real time. In this present investigation, we introduce a real-time denoising method grounded in a constant velocity model, adopting a physics-based model-oriented approach. This approach is underpinned by the assumption that there exists a consistent rate of change in the cornea-retinal potential during saccadic movements. Empirical findings reveal that this approach remarkably preserves EOG saccade signals, resulting in a substantial enhancement of up to 29% in signal preservation during the denoising process when compared to alternative techniques, such as bandpass filters, constant acceleration models, and model-based fusion methods."
2024 Jan 1,Acta biomaterialia,Acta Biomater. 2024 Jan 1;173:184-198. doi: 10.1016/j.actbio.2023.11.002. Epub ,"['Helisaz, Hamed', 'Belanger, Eric', 'Black, Peter', 'Bacca, Mattia', 'Chiao, Mu']","['male', 'humans', ' prostate', 'stress, mechanical', 'elastic modulus physiology', ' neoplasms', 'viscosity', 'elasticity', 'data analytics', 'mechanical properties of soft tissue', 'prostate cancer', 'quasi-linear viscoelastic model']",Quantifying the Impact of Cancer on the Viscoelastic Properties of the Prostate Gland using a Quasi-Linear Viscoelastic Model.,"Pathological disorders can alter the mechanical properties of biological tissues, and studying such changes can help to better understand the disease progression. The prostate gland is no exception, as previous studies have shown that cancer can affect its mechanical properties. However, most of these studies have focused on the elastic properties of the tissue and have overlooked the impact of cancer on its viscous response. To address this gap, we used a quasi-linear viscoelastic model to investigate the impact of cancer on both the elastic and viscous characteristics of the prostate gland. By comparing the viscoelastic properties of segments influenced by cancer and those unaffected by cancer in 49 fresh prostates, removed within two hours after prostatectomy surgery, we were able to determine the influence of cancer grade and tumor volume on the tissue. Our findings suggest that tumor volume significantly affects both the elastic modulus and viscosity of the prostate (p-value less than 2%). Specifically, we showed that cancer increases Young's modulus and shear relaxation modulus by 20%. These results have implications for using mechanical properties of the prostate as a potential biomarker for cancer. However, developing an in vivo apparatus to measure these properties remains a challenge that needs to be addressed in future research. STATEMENT OF SIGNIFICANCE: This study is the first to explore how cancer impacts the mechanical properties of prostate tissues using a quasi-linear viscoelastic model. We examined 49 fresh prostate samples collected immediately after surgery and correlated their properties with cancer presence identified in pathology reports. Our results demonstrate a 20% change in the viscoelastic properties of the prostate due to cancer. We initially validated our approach using tissue-mimicking phantoms and then applied it to differentiate between cancerous and normal prostate tissues. These findings offer potential for early cancer detection by assessing these properties. However, conducting these tests in vivo remains a challenge for future research."
2023 Aug 13,bioRxiv : the preprint server for biology,bioRxiv [Preprint]. 2023 Aug 13:2023.06.06.542948. doi: ,"['Shafaattalab, Sanam', 'Li, Alison Y', 'Jayousi, Farah', 'Maaref, Yasaman', 'Dababneh, Saif', 'Hamledari, Homa', 'Baygi, Dina Hosseini', 'Barszczewski, Tiffany', 'Ruprai, Balwinder', 'Jannati, Shayan', 'Nagalingam, Raghu', 'Cool, Austin M', 'Langa, Paulina', 'Chiao, Mu', 'Roston, Thomas', 'Solaro, R John', 'Sanatani, Shubhayan', 'Toepfer, Christopher', 'Lindert, Steffen', 'Lange, Philipp', 'Tibbits, Glen F']",[],Mechanisms of Pathogenicity of Hypertrophic Cardiomyopathy-Associated Troponin T (TNNT2) Variant R278C(+/-) During Development.,"Hypertrophic cardiomyopathy (HCM) is one of the most common heritable cardiovascular diseases and variants of TNNT2 (cardiac troponin T) are linked to increased risk of sudden cardiac arrest despite causing limited hypertrophy. In this study, a TNNT2 variant, R278C(+/-), was generated in both human cardiac recombinant/reconstituted thin filaments (hcRTF) and human- induced pluripotent stem cells (hiPSCs) to investigate the mechanisms by which the R278C(+/-) variant affects cardiomyocytes at the proteomic and functional levels. The results of proteomics analysis showed a significant upregulation of markers of cardiac hypertrophy and remodeling in R278C(+/-) vs. the isogenic control. Functional measurements showed that R278C(+/-) variant enhances the myofilament sensitivity to Ca(2+), increases the kinetics of contraction, and causes arrhythmia at frequencies >75 bpm. This study uniquely shows the profound impact of the TNNT2 R278C(+/-) variant on the cardiomyocyte proteomic profile, cardiac electrical and contractile function in the early stages of cardiac development."
2022 May,Journal of biomedical materials research. Part A,J Biomed Mater Res A. 2022 May;110(5):1036-1051. doi: 10.1002/jbm.a.37350. Epub ,"['Shademani, Ali', 'Jackson, John K', 'Thompson, Charles J', 'Chiao, Mu']","[' anti-bacterial agents chemistry', 'bone cements chemistry', 'gentamicins pharmacology therapeutic use', 'magnetic fields', 'magnetic phenomena', ' methicillin-resistant staphylococcus aureus', 'bone cement bead', 'drug delivery', 'gentamicin-silver synergy', 'magnetic actuation', 'osteomyelitis']",Controlled and localized antibiotics delivery using magnetic-responsive beads for synergistic treatment of orthopedic infection.,"Antibiotic-loaded bone cement beads have been a reliable passive delivery system for the localized treatment of osteomyelitis; however, low, and unregulated drug release rates limit the ability of this system to maintain therapeutic concentrations. This problem is further amplified by drug-resistant pathogens that might invade or evolve under these conditions. Furthermore, currently available bone cements are incompatible with some antibiotics. The proposed device resembles conventional bone cement beads but contains an on-demand drug delivery magnetic sponge that provides actively controlled release of antibiotics. The slightly porous structure facilitates some drug diffusion while further drug release may be controlled remotely via magnetic actuation. Additionally, a combination of silver nitrate and gentamicin are used in the device as these agents are shown to display a synergistic antibacterial activity in vitro using checkerboard and time-kill assays. The device releases gentamicin and silver in both actuation and diffusion modes over 7 days. The in vitro bacterial studies demonstrate the efficacy of the released agents alone, and synergistically in combination, against Methicillin-resistant Staphylococcus aureus and Escherichia coli. The proposed device offers a facile fabrication process which allows control of the release profile by engineering hole configurations or manipulating magnetic field strength to provide the most effective therapy."
2021 Nov 11,Polymers,Polymers (Basel). 2021 Nov 11;13(22):3899. doi: 10.3390/polym13223899.,"['Jackson, John', 'Moallemi, Ali', 'Chiao, Mu', 'Plackett, David']","['cationic polymer', 'drugs', 'membrane filtration', 'nanocrystalline cellulose', 'oil sands', 'water treatment']",The Use of Surface-Modified Nanocrystalline Cellulose Integrated Membranes to Remove Drugs from Waste Water and as Polymers to Clean Oil Sands Tailings Ponds.,"There is an urgent environmental need to remediate waste water. In this study, the use of surface-modified nanocrystalline cellulose (CNC) to remove polluting drugs or chemicals from waste water and oil sands tailing ponds has been investigated. CNC was modified by either surface adsorbing cationic or hydrophobic species or by covalent methods and integrated into membrane water filters. The removal of either diclofenac or estradiol from water was studied. Similar non-covalently modified CNC materials were used to flocculate clays from water or to bind naphthenic acids which are contaminants in tailing ponds. Estradiol bound well to hydrophobically modified CNC membrane filter systems. Similarly, diclofenac (anionic drug) bound well to covalently cationically modified CNC membranes. Non-covalent modified CNC effectively flocculated clay particles in water and bound two naphthenic acid chemicals (negatively charged and hydrophobic). Modified CNC integrated into water filter membranes may remove drugs from waste or drinking water and contaminants from tailing ponds water. Furthermore, the ability of modified CNC to flocculate clays particles and bind naphthenic acids may allow for the addition of modified CNC directly to tailing ponds to remove both contaminants. CNC offers an environmentally friendly, easily transportable and disposable novel material for water remediation purposes."
2021 Jun 1,Journal of biomechanical engineering,J Biomech Eng. 2021 Jun 1;143(6):061007. doi: 10.1115/1.4050036.,"['Helisaz, Hamed', 'Bacca, Mattia', 'Chiao, Mu']","[' elastic modulus', 'prostate cancer diagnosis', 'quasi-linear viscoelastic model', 'soft viscoelastic materials', 'tissue-mimicking phantoms']",Quasi-Linear Viscoelastic Characterization of Soft Tissue-Mimicking Materials.,"We present a novel method based on the quasi-linear viscoelastic (QLV) theory to describe the time-dependent behavior of soft materials. Unlike previous methods for deriving QLV parameters, we characterize the elastic and viscous behavior of materials separately by using two different sets of experiments. To model the nonlinear elastic behavior, we fit the elastic stress response with a one-term Ogden model. Then, we model the relaxation behavior with a Prony series to compare the stress relaxation of the material at different timescales. This new method allows us to characterize materials with narrow confidence intervals (high accuracy), independently from the loading conditions. We validate our model using samples made of phantom materials that mimic normal and cancerous prostate tissues in terms of Young's modulus. Our model is shown to distinguish materials with similar elastic (viscous) properties but different viscous (elastic) properties. Drawing a precise distinction between the phantoms, this method could be useful for prostate cancer (PCa) diagnosis; but significant clinical studies will be needed in the future."
2020 Nov,Advances in colloid and interface science,Adv Colloid Interface Sci. 2020 Nov;285:102280. doi: 10.1016/j.cis.2020.102280. ,"['Zhao, Changwen', 'Zhou, Ling', 'Chiao, Mu', 'Yang, Wantai']","['anti-bacterial agents  chemistry  pharmacology', 'hydrogels  chemistry  pharmacology', 'surface properties', 'antibacterial coating', 'biomedical application', 'crosslinking', 'hydrogels', 'surface modification']",Antibacterial hydrogel coating: Strategies in surface chemistry.,"Hydrogels have emerged as promising antimicrobial materials due to their unique three-dimensional structure, which provides sufficient capacity to accommodate various materials, including small molecules, polymers and particles. Coating substrates with antibacterial hydrogel layers has been recognized as an effective strategy to combat bacterial colonization. To prevent possible delamination of hydrogel coatings from substrates, it is crucial to attach hydrogel layers via stronger links, such as covalent bonds. To date, various surface chemical strategies have been developed to introduce hydrogel coatings on different substrates. In this review, we first give a brief introduction of the major strategies for designing antibacterial coatings. Then, we summarize the chemical methods used to fix the antibacterial hydrogel layer on the substrate, which include surface-initiated graft crosslinking polymerization, anchoring the hydrogel layer on the surface during crosslinking, and chemical crosslinking of layer-by-layer coating. The reaction mechanisms of each method and matched pretreatment strategies are systemically documented with the aim of introducing available protocols to researchers in related fields for designing hydrogel-coated antibacterial surfaces."
2020,PloS one,PLoS One. 2020 Apr 3;15(4):e0230966. doi: 10.1371/journal.pone.0230966. ,"['Chu, Axel J', 'Zhao, Eric Jiahua', 'Chiao, Mu', 'Lim, Chinten James']","['actinin metabolism', 'benzothiazoles pharmacology', 'biomarkers metabolism', 'cell communication', 'cell differentiation', 'cell line', 'cell transdifferentiation', 'cellular reprogramming', 'cellular reprogramming techniques methods', 'coculture techniques methods', 'green fluorescent proteins metabolism', 'humans', 'induced pluripotent stem cells  cytology drug effects metabolism', 'myocardial contraction', 'myocytes, cardiac  cytology drug effects metabolism', 'organometallic compounds pharmacology', 'pyridines pharmacology', 'pyrimidines pharmacology', 'wnt signaling pathway drug effects']",Co-culture of induced pluripotent stem cells with cardiomyocytes is sufficient to promote their differentiation into cardiomyocytes.,"Various types of stem cells and non-stem cells have been shown to differentiate or transdifferentiate into cardiomyocytes by way of co-culture with appropriate inducer cells. However, there is a limited demonstration of a co-culture induction system utilizing stem cell-derived cardiomyocytes as a stimulatory source for cardiac reprogramming (of stem cells or otherwise). In this study, we utilized an inductive co-culture method to show that previously differentiated induced pluripotent stem (iPS) cell-derived cardiomyocytes (iCMs), when co-cultivated with iPS cells, constituted a sufficient stimulatory system to induce cardiac differentiation. To enable tracking of both cell populations, we utilized GFP-labeled iPS cells and non-labeled iCMs pre-differentiated using inhibitors of GSK and Wnt signaling. Successful differentiation was assessed by the exhibition of spontaneous self-contractions, structural organization of α-actinin labeled sarcomeres, and expression of cardiac specific markers cTnT and α-actinin. We found that iCM-iPS cell-cell contact was essential for inductive differentiation, and this required overlaying already adherent iPS cells with iCMs. Importantly, this process was achieved without the exogenous addition of pathway inhibitors and morphogens, suggesting that 'older' iCMs serve as an adequate stimulatory source capable of recapitulating the necessary culture environment for cardiac differentiation."
2018 Jan 13,Micromachines,Micromachines (Basel). 2018 Jan 13;9(1):28. doi: 10.3390/mi9010028.,"['Jackson, John', 'Chen, Aurora', 'Zhang, Hongbin', 'Burt, Helen', 'Chiao, Mu']","['docetaxel', 'drug-release device', 'microelectromechanical systems (mems)', 'nanorod', 'near infrared (nir) laser actuation']",Design and Near-Infrared Actuation of a Gold Nanorod⁻Polymer Microelectromechanical Device for On-Demand Drug Delivery.,"Polymeric drug delivery systems usually deliver drugs by diffusion with an initial burst of release followed by a slower prolonged release phase. An optimal system would release exact doses of drugs using an on-demand external actuation system. The purpose of this study was to design and characterize a novel drug-delivery device that utilizes near infrared (NIR 800 nm) laser-actuated drug release. The device was constructed from biocompatible polymers comprising a reservoir of drug covered by an elastic perforated diaphragm composed of a bilayer of two polymers with different thermal expansion coefficients (ethylenevinylacetate (EVA) and polydimethylsiloxane (PDMS) containing gold nanoparticles). Upon illumination with a NIR laser, the gold nanoparticles rapidly heated the bilayer resulting in bending and a drug-pumping action through the perforated bilayer, following sequential laser-actuation cycles. Devices filled with the anti-proliferative drug docetaxel were seen to release only small amounts of drug by diffusion but to release large and reproducible amounts of drug over 20 s laser-actuation periods. Because NIR 800 nm is tissue-penetrating without heating tissue, suitable geometry drug-delivery devices might be implanted in the body to be actuated by an externally applied NIR laser to allow for on-demand exact drug dosing in vivo."
