time,journal,doi_info,authors,key words,title,abstract
2024 May 24,Science immunology,Sci Immunol. 2024 May 24;9(95):eade3814. doi: 10.1126/sciimmunol.ade3814. Epub ,"['Nakayama, Yukiteru', 'Fujiu, Katsuhito', 'Oshima, Tsukasa', 'Matsuda, Jun', 'Sugita, Junichi', 'Matsubara, Takumi James', 'Liu, Yuxiang', 'Goto, Kohsaku', 'Kani, Kunihiro', 'Uchida, Ryoko', 'Takeda, Norifumi', 'Morita, Hiroyuki', 'Xiao, Yingda', 'Hayashi, Michiko', 'Maru, Yujin', 'Hasumi, Eriko', 'Kojima, Toshiya', 'Ishiguro, Soh', 'Kijima, Yusuke', 'Yachie, Nozomu', 'Yamazaki, Satoshi', 'Yamamoto, Ryo', 'Kudo, Fujimi', 'Nakanishi, Mio', 'Iwama, Atsushi', 'Fujiki, Ryoji', 'Kaneda, Atsushi', 'Ohara, Osamu', 'Nagai, Ryozo', 'Manabe, Ichiro', 'Komuro, Issei']","['animals', ' heart failure immunology', 'mice', ' immunity, innate', ' mice, inbred c57bl', ' immunologic memory', 'male', 'multimorbidity', 'transforming growth factor beta metabolism', 'hematopoietic stem cells immunology', 'signal transduction immunology', 'macrophages immunology', 'trained immunity']",Heart failure promotes multimorbidity through innate immune memory.,"Patients with heart failure (HF) often experience repeated acute decompensation and develop comorbidities such as chronic kidney disease and frailty syndrome. Although this suggests pathological interaction among comorbidities, the mechanisms linking them are poorly understood. Here, we identified alterations in hematopoietic stem cells (HSCs) as a critical driver of recurrent HF and associated comorbidities. Bone marrow transplantation from HF-experienced mice resulted in spontaneous cardiac dysfunction and fibrosis in recipient mice, as well as increased vulnerability to kidney and skeletal muscle insults. HF enhanced the capacity of HSCs to generate proinflammatory macrophages. In HF mice, global chromatin accessibility analysis and single-cell RNA-seq showed that transforming growth factor-β (TGF-β) signaling was suppressed in HSCs, which corresponded with repressed sympathetic nervous activity in bone marrow. Transplantation of bone marrow from mice in which TGF-β signaling was inhibited similarly exacerbated cardiac dysfunction. Collectively, these results suggest that cardiac stress modulates the epigenome of HSCs, which in turn alters their capacity to generate cardiac macrophage subpopulations. This change in HSCs may be a common driver of repeated HF events and comorbidity by serving as a key carrier of ""stress memory."""
2024 Mar 25,Cell reports methods,Cell Rep Methods. 2024 Mar 25;4(3):100737. doi: 10.1016/j.crmeth.2024.100737.,"['Tsubouchi, Asako', 'An, Yuri', 'Kawamura, Yoko', 'Yanagihashi, Yuichi', 'Nakayama, Hirofumi', 'Murata, Yuri', 'Teranishi, Kazuki', 'Ishiguro, Soh', 'Aburatani, Hiroyuki', 'Yachie, Nozomu', 'Ota, Sadao']","['animals', ' clustered regularly interspaced short palindromic repeats', 'flow cytometry', 'phenotype', 'cell separation', ' genetic testing', 'mammals', 'cp: biotechnology', 'cp: imaging', 'cellular phenotyping', 'flow cytometry', 'high-content cell analysis', 'image-based cell sorter', 'label-free cell analysis', 'machine learning', 'pooled crispr screening']",Pooled CRISPR screening of high-content cellular phenotypes using ghost cytometry.,"Recent advancements in image-based pooled CRISPR screening have facilitated the mapping of diverse genotype-phenotype associations within mammalian cells. However, the rapid enrichment of cells based on morphological information continues to pose a challenge, constraining the capacity for large-scale gene perturbation screening across diverse high-content cellular phenotypes. In this study, we demonstrate the applicability of multimodal ghost cytometry-based cell sorting, including both fluorescent and label-free high-content phenotypes, for rapid pooled CRISPR screening within vast cell populations. Using the high-content cell sorter operating in fluorescence mode, we successfully executed kinase-specific CRISPR screening targeting genes influencing the nuclear translocation of RelA. Furthermore, using the multiparametric, label-free mode, we performed large-scale screening to identify genes involved in macrophage polarization. Notably, the label-free platform can enrich target phenotypes without requiring invasive staining, preserving untouched cells for downstream assays and expanding the potential for screening cellular phenotypes even when suitable markers are absent."
2023 Oct 26,Cell,Cell. 2023 Oct 26;186(22):4920-4935.e23. doi: 10.1016/j.cell.2023.08.031. Epub ,"['Hino, Tomohiro', 'Omura, Satoshi N', 'Nakagawa, Ryoya', 'Togashi, Tomoki', 'Takeda, Satoru N', 'Hiramoto, Takafumi', 'Tasaka, Satoshi', 'Hirano, Hisato', 'Tokuyama, Takeshi', 'Uosaki, Hideki', 'Ishiguro, Soh', 'Kagieva, Madina', 'Yamano, Hiroyuki', 'Ozaki, Yuki', 'Motooka, Daisuke', 'Mori, Hideto', 'Kirita, Yuhei', 'Kise, Yoshiaki', 'Itoh, Yuzuru', 'Matoba, Satoaki', 'Aburatani, Hiroyuki', 'Yachie, Nozomu', 'Karvelis, Tautvydas', 'Siksnys, Virginijus', 'Ohmori, Tsukasa', 'Hoshino, Atsushi', 'Nureki, Osamu']","['animals', 'humans', 'mice', ' crispr-cas systems', 'cryoelectron microscopy', ' gene editing', 'mutation', 'genetic therapy', 'crispr-cas', 'animal experiments', 'cryo-em', 'deep mutational scanning', 'gene therapy', 'genome editing', 'ips cells']",An AsCas12f-based compact genome-editing tool derived by deep mutational scanning and structural analysis.,"SpCas9 and AsCas12a are widely utilized as genome-editing tools in human cells. However, their relatively large size poses a limitation for delivery by cargo-size-limited adeno-associated virus (AAV) vectors. The type V-F Cas12f from Acidibacillus sulfuroxidans is exceptionally compact (422 amino acids) and has been harnessed as a compact genome-editing tool. Here, we developed an approach, combining deep mutational scanning and structure-informed design, to successfully generate two AsCas12f activity-enhanced (enAsCas12f) variants. Remarkably, the enAsCas12f variants exhibited genome-editing activities in human cells comparable with those of SpCas9 and AsCas12a. The cryoelectron microscopy (cryo-EM) structures revealed that the mutations stabilize the dimer formation and reinforce interactions with nucleic acids to enhance their DNA cleavage activities. Moreover, enAsCas12f packaged with partner genes in an all-in-one AAV vector exhibited efficient knock-in/knock-out activities and transcriptional activation in mice. Taken together, enAsCas12f variants could offer a minimal genome-editing platform for in vivo gene therapy."
2023 Oct 18,Cell systems,Cell Syst. 2023 Oct 18;14(10):844-859.e4. doi: 10.1016/j.cels.2023.08.005. Epub ,"['Greenstreet, Laura', 'Afanassiev, Anton', 'Kijima, Yusuke', 'Heitz, Matthieu', 'Ishiguro, Soh', 'King, Samuel', 'Yachie, Nozomu', 'Schiebinger, Geoffrey']","[' genomics methods', ' gene expression profiling', 'dna genetics', 'dna microscopy', 'manifold learning', 'spatial transcriptomics']",DNA-GPS: A theoretical framework for optics-free spatial genomics and synthesis of current methods.,"While single-cell sequencing technologies provide unprecedented insights into genomic profiles at the cellular level, they lose the spatial context of cells. Over the past decade, diverse spatial transcriptomics and multi-omics technologies have been developed to analyze molecular profiles of tissues. In this article, we categorize current spatial genomics technologies into three classes: optical imaging, positional indexing, and mathematical cartography. We discuss trade-offs in resolution and scale, identify limitations, and highlight synergies between existing single-cell and spatial genomics methods. Further, we propose DNA-GPS (global positioning system), a theoretical framework for large-scale optics-free spatial genomics that combines ideas from mathematical cartography and positional indexing. DNA-GPS has the potential to achieve scalable spatial genomics for multiple measurement modalities, and by eliminating the need for optical measurement, it has the potential to position cells in three-dimensions (3D)."
2023 Oct,Nature biotechnology,Nat Biotechnol. 2023 Oct;41(10):1375-1377. doi: 10.1038/s41587-023-01924-3.,"['Yachie, Nozomu', 'Shakiba, Nika']",[],Tenure time loopers.,
2023 May 22,Molecular brain,Mol Brain. 2023 May 22;16(1):44. doi: 10.1186/s13041-023-01033-x.,"['Darwish, Mohamed', 'Hattori, Satoko', 'Nishizono, Hirofumi', 'Miyakawa, Tsuyoshi', 'Yachie, Nozomu', 'Takao, Keizo']","['mice', 'humans', 'animals', ' receptors, glycine genetics metabolism', ' central nervous system metabolism', 'mammals metabolism', 'anxiety', 'brain', 'comprehensive behavioral analysis', 'glycine receptor alpha 4 subunit', 'mutant mice', 'social behavior', 'spatiotemporal expression', 'startle disease']",Comprehensive behavioral analyses of mice with a glycine receptor alpha 4 deficiency.,"Glycine receptors (GlyRs) are ligand-gated chloride channels comprising alpha (α1-4) and β subunits. The GlyR subunits play major roles in the mammalian central nervous system, ranging from regulating simple sensory information to modulating higher-order brain function. Unlike the other GlyR subunits, GlyR α4 receives relatively little attention because the human ortholog lacks a transmembrane domain and is thus considered a pseudogene. A recent genetic study reported that the GLRA4 pseudogene locus on the X chromosome is potentially involved in cognitive impairment, motor delay and craniofacial anomalies in humans. The physiologic roles of GlyR α4 in mammal behavior and its involvement in disease, however, are not known. Here we examined the temporal and spatial expression profile of GlyR α4 in the mouse brain and subjected Glra4 mutant mice to a comprehensive behavioral analysis to elucidate the role of GlyR α4 in behavior. The GlyR α4 subunit was mainly enriched in the hindbrain and midbrain, and had relatively lower expression in the thalamus, cerebellum, hypothalamus, and olfactory bulb. In addition, expression of the GlyR α4 subunit gradually increased during brain development. Glra4 mutant mice exhibited a decreased amplitude and delayed onset of the startle response compared with wild-type littermates, and increased social interaction in the home cage during the dark period. Glra4 mutants also had a low percentage of entries into open arms in the elevated plus-maze test. Although mice with GlyR α4 deficiency did not show motor and learning abnormalities reported to be associated in human genomics studies, they exhibited behavioral changes in startle response and social and anxiety-like behavior. Our data clarify the spatiotemporal expression pattern of the GlyR α4 subunit and suggest that glycinergic signaling modulates social, startle, and anxiety-like behaviors in mice."
2023 Jan 4,Science advances,Sci Adv. 2023 Jan 4;9(1):eadd2793. doi: 10.1126/sciadv.add2793. Epub 2023 Jan 4.,"['Kijima, Yusuke', 'Evans-Yamamoto, Daniel', 'Toyoshima, Hiromi', 'Yachie, Nozomu']",[],A universal sequencing read interpreter.,"Massively parallel DNA sequencing has led to the rapid growth of highly multiplexed experiments in biology. These experiments produce unique sequencing results that require specific analysis pipelines to decode highly structured reads. However, no versatile framework that interprets sequencing reads to extract their encoded information for downstream biological analysis has been developed. Here, we report INTERSTELLAR (interpretation, scalable transformation, and emulation of large-scale sequencing reads) that decodes data values encoded in theoretically any type of sequencing read and translates them into sequencing reads of another structure of choice. We demonstrated that INTERSTELLAR successfully extracted information from a range of short- and long-read sequencing reads and translated those of single-cell (sc)RNA-seq, scATAC-seq, and spatial transcriptomics to be analyzed by different software tools that have been developed for conceptually the same types of experiments. INTERSTELLAR will greatly facilitate the development of sequencing-based experiments and sharing of data analysis pipelines."
2022 Jul 29,"Science (New York, N.Y.)",Science. 2022 Jul 29;377(6605):469-470. doi: 10.1126/science.abo3471. Epub 2022 ,"['Masuyama, Nanami', 'Konno, Naoki', 'Yachie, Nozomu']","['animals', ' cell physiological phenomena', ' cell tracking methods', ' dna', 'humans']",Molecular recorders to track cellular events.,DNA tapes could be used to record dynamic molecular and cellular events in animals.
2022 May 24,Nature communications,Nat Commun. 2022 May 24;13(1):2894. doi: 10.1038/s41467-022-30588-x.,"['Mori, Hideto', 'Yachie, Nozomu']","[' dna genetics', 'databases, nucleic acid', ' software']",A framework to efficiently describe and share reproducible DNA materials and construction protocols.,"DNA constructs and their annotated sequence maps have been rapidly accumulating with the advancement of DNA cloning, synthesis, and assembly methods. Such resources have also been utilized in designing and building new DNA materials. However, as commonly seen in the life sciences, no framework exists to describe reproducible DNA construction processes. Furthermore, the use of previously developed DNA materials and building protocols is usually not appropriately credited. Here, we report a framework QUEEN (framework to generate quinable and efficiently editable nucleotide sequence resources) to resolve these issues and accelerate the building of DNA. QUEEN enables the flexible design of new DNA by using existing DNA material resource files and recording its construction process in an output file (GenBank file format). A GenBank file generated by QUEEN can regenerate the process code such that it perfectly clones itself and bequeaths the same process code to its successive GenBank files, recycling its partial DNA resources. QUEEN-generated GenBank files are compatible with existing DNA repository services and software. We propose QUEEN as a solution to start significantly advancing the material and protocol sharing of DNA resources."
2022,"Methods in molecular biology (Clifton, N.J.)",Methods Mol Biol. 2022;2477:331-348. doi: 10.1007/978-1-0716-2257-5_19.,"['Després, Philippe C', 'Dubé, Alexandre K', 'Yachie, Nozomu', 'Landry, Christian R']","['base sequence', ' crispr-cas systems genetics', ' gene editing', 'mutagenesis genetics', 'rna, guide, crispr-cas systems genetics', 'base editing', 'crispr-cas9', 'functional genomics', 'high-throughput', 'mutagenesis', 'systems biology', 'target-aid', 'yeast']",High-Throughput Gene Mutagenesis Screening Using Base Editing.,"Base editing is a CRISPR-Cas9 genome engineering tool that allows programmable mutagenesis without the creation of double-stranded breaks. Here, we describe the design and execution of large-scale base editing screens using the Target-AID base editor in yeast. Using this approach, thousands of sites can be mutated simultaneously. The effects of these mutations on fitness can be measured using a pooled growth competition assay followed by DNA sequencing of gRNAs as barcodes."
