time,journal,doi_info,authors,key words,title,abstract
2024 May 24,Cell stem cell,Cell Stem Cell. 2024 May 24:S1934-5909(24)00180-2. doi: ,"['Dattani, Anish', 'Corujo-Simon, Elena', 'Radley, Arthur', 'Heydari, Tiam', 'Taheriabkenar, Yasaman', 'Carlisle, Francesca', 'Lin, Simeng', 'Liddle, Corin', 'Mill, Jonathan', 'Zandstra, Peter W', 'Nichols, Jennifer', 'Guo, Ge']","['fgf', 'blastocyst', 'cell fate', 'embryo model', 'human naive pluripotent stem cells', 'hypoblast']",Naive pluripotent stem cell-based models capture FGF-dependent human hypoblast lineage specification.,"The hypoblast is an essential extraembryonic tissue set aside within the inner cell mass in the blastocyst. Research with human embryos is challenging. Thus, stem cell models that reproduce hypoblast differentiation provide valuable alternatives. We show here that human naive pluripotent stem cell (PSC) to hypoblast differentiation proceeds via reversion to a transitional ICM-like state from which the hypoblast emerges in concordance with the trajectory in human blastocysts. We identified a window when fibroblast growth factor (FGF) signaling is critical for hypoblast specification. Revisiting FGF signaling in human embryos revealed that inhibition in the early blastocyst suppresses hypoblast formation. In vitro, the induction of hypoblast is synergistically enhanced by limiting trophectoderm and epiblast fates. This finding revises previous reports and establishes a conservation in lineage specification between mice and humans. Overall, this study demonstrates the utility of human naive PSC-based models in elucidating the mechanistic features of early human embryogenesis."
2024 May 2,Cell stem cell,Cell Stem Cell. 2024 May 2;31(5):597-616. doi: 10.1016/j.stem.2024.03.012. Epub ,"['Stankiewicz, Laura N', 'Rossi, Fabio M V', 'Zandstra, Peter W']","['humans', ' stem cells immunology cytology', 'animals', 'stem cell transplantation', 'immunity', 'immune system', 'aging', 'bioengineering', 'biomaterials', 'immunity', 'immunotherapy', 'regenerative medicine', 'stem cell transplant', 'thymus involution']",Rebuilding and rebooting immunity with stem cells.,"Advances in modern medicine have enabled a rapid increase in lifespan and, consequently, have highlighted the immune system as a key driver of age-related disease. Immune regeneration therapies present exciting strategies to address age-related diseases by rebooting the host's primary lymphoid tissues or rebuilding the immune system directly via biomaterials or artificial tissue. Here, we identify important, unanswered questions regarding the safety and feasibility of these therapies. Further, we identify key design parameters that should be primary considerations guiding technology design, including timing of application, interaction with the host immune system, and functional characterization of the target patient population."
2023 Apr 1,GEN biotechnology,GEN Biotechnol. 2023 Apr 1;2(2):106-119. doi: 10.1089/genbio.2023.0008. Epub 2023 ,"['Michaels, Yale S', 'Durland, Lauren J', 'Zandstra, Peter W']",[],Engineering T Cell Development for the Next Generation of Stem Cell-Derived Immunotherapies.,"Engineered T cells are at the leading edge of clinical cell therapy. T cell therapies have had a remarkable impact on patient care for a subset of hematological malignancies. This foundation has motivated the development of off-the-shelf engineered cell therapies for a broad range of devastating indications. Achieving this vision will require cost-effective manufacturing of precision cell products capable of addressing multiple process and clinical-design challenges. Pluripotent stem cell (PSC)-derived engineered T cells are emerging as a solution of choice. To unleash the full potential of PSC-derived T cell therapies, the field will require technologies capable of robustly orchestrating the complex series of time- and dose-dependent signaling events needed to recreate functional T cell development in the laboratory. In this article, we review the current state of allogenic T cell therapies, focusing on strategies to generate engineered lymphoid cells from PSCs. We highlight exciting recent progress in this field and outline timely opportunities for advancement with an emphasis on niche engineering and synthetic biology."
2023 Jul 18,bioRxiv : the preprint server for biology,bioRxiv [Preprint]. 2023 Jul 18:2023.07.16.549116. doi: ,"['Li, Bin', 'Rodrigo-Torres, Daniel', 'Pelz, Carl', 'Innes, Brendan', 'Canaday, Pamela', 'Chai, Sunghee', 'Zandstra, Peter', 'Bader, Gary D', 'Grompe, Markus']","['facs', 'fstl1', 'sfrp1', 'stem cell', 'partial hepatectomy']",Cell networks in the mouse liver during partial hepatectomy.,"In solid tissues homeostasis and regeneration after injury involve a complex interplay between many different cell types. The mammalian liver harbors numerous epithelial and non-epithelial cells and little is known about the global signaling networks that govern their interactions. To better understand the hepatic cell network, we isolated and purified 10 different cell populations from normal and regenerative mouse livers. Their transcriptomes were analyzed by bulk RNA-seq and a computational platform was used to analyze the cell-cell and ligand-receptor interactions among the 10 populations. Over 50,000 potential cell-cell interactions were found in both the ground state and after partial hepatectomy. Importantly, about half of these differed between the two states, indicating massive changes in the cell network during regeneration. Our study provides the first comprehensive database of potential cell-cell interactions in mammalian liver cell homeostasis and regeneration. With the help of this prediction model, we identified and validated two previously unknown signaling interactions involved in accelerating and delaying liver regeneration. Overall, we provide a novel platform for investigating autocrine/paracrine pathways in tissue regeneration, which can be adapted to other complex multicellular systems."
2023 Nov,Nature biotechnology,Nat Biotechnol. 2023 Nov;41(11):1655. doi: 10.1038/s41587-023-01816-6.,"['Kirouac, Daniel C', 'Zmurchok, Cole', 'Deyati, Avisek', 'Sicherman, Jordan', 'Bond, Chris', 'Zandstra, Peter W']",[],Author Correction: Deconvolution of clinical variance in CAR-T cell pharmacology and response.,
2023 Nov,Nature biotechnology,Nat Biotechnol. 2023 Nov;41(11):1606-1617. doi: 10.1038/s41587-023-01687-x. Epub ,"['Kirouac, Daniel C', 'Zmurchok, Cole', 'Deyati, Avisek', 'Sicherman, Jordan', 'Bond, Chris', 'Zandstra, Peter W']","['humans', ' receptors, chimeric antigen genetics', 'receptors, antigen, t-cell genetics', 'immunotherapy, adoptive', 't-lymphocytes', 'antigens, cd19 genetics']",Deconvolution of clinical variance in CAR-T cell pharmacology and response.,"Chimeric antigen receptor T cell (CAR-T) expansion and persistence vary widely among patients and predict both efficacy and toxicity. However, the mechanisms underlying clinical outcomes and patient variability are poorly defined. In this study, we developed a mathematical description of T cell responses wherein transitions among memory, effector and exhausted T cell states are coordinately regulated by tumor antigen engagement. The model is trained using clinical data from CAR-T products in different hematological malignancies and identifies cell-intrinsic differences in the turnover rate of memory cells and cytotoxic potency of effectors as the primary determinants of clinical response. Using a machine learning workflow, we demonstrate that product-intrinsic differences can accurately predict patient outcomes based on pre-infusion transcriptomes, and additional pharmacological variance arises from cellular interactions with patient tumors. We found that transcriptional signatures outperform T cell immunophenotyping as predictive of clinical response for two CD19-targeted CAR-T products in three indications, enabling a new phase of predictive CAR-T product development."
2024,"Methods in molecular biology (Clifton, N.J.)",Methods Mol Biol. 2024;2767:251-262. doi: 10.1007/7651_2022_465.,"['Heydari, Tiam', 'Zandstra, Peter W']","[' gene regulatory networks', ' algorithms', 'boolean grns', 'causal inference', 'developmental trajectory', 'gene perturbations', 'gene regulation', 'scrna-seq']",Inferring Gene Regulatory Networks and Predicting the Effect of Gene Perturbations via IQCELL.,"IQCELL is a platform that infers Boolean gene regulatory networks from single-cell RNA sequencing data. Boolean networks can be simulated under normal and perturbed conditions. In this chapter, we provide a detailed guideline for implementing IQCELL from a raw dataset. The steps include processing data, inferring informative genes, inferring gene regulatory network, and simulating the resulted network under normal and perturbed conditions."
2022 Dec 6,Proceedings of the National Academy of Sciences of the United States of America,Proc Natl Acad Sci U S A. 2022 Dec 6;119(49):e2207824119. doi: ,"['Elbaz, Judith', 'Puri, Mira C', 'Faiz, Maryam', 'Bang, K W Annie', 'Nguyen, Lena', 'Makovoz, Bar', 'Gertsenstein, Marina', 'Hussein, Samer M I', 'Zandstra, Peter W', 'Briollais, Laurent', 'Shakiba, Nika', 'Nagy, Andras']","['animals', 'mice', 'mice, transgenic', ' cellular reprogramming genetics', 'transgenes', 'clone cells', ' doxycycline pharmacology', 'induced pluripotent stem cells', 'reprogrammable mouse', 'secondary reprogramming', 'somatic cell reprogramming', 'transgenic mouse']",Highly efficient reprogrammable mouse lines with integrated reporters to track the route to pluripotency.,"Revealing the molecular events associated with reprogramming different somatic cell types to pluripotency is critical for understanding the characteristics of induced pluripotent stem cell (iPSC) therapeutic derivatives. Inducible reprogramming factor transgenic cells or animals-designated as secondary (2°) reprogramming systems-not only provide excellent experimental tools for such studies but also offer a strategy to study the variances in cellular reprogramming outcomes due to different in vitro and in vivo environments. To make such studies less cumbersome, it is desirable to have a variety of efficient reprogrammable mouse systems to induce successful mass reprogramming in somatic cell types. Here, we report the development of two transgenic mouse lines from which 2° cells reprogram with unprecedented efficiency. These systems were derived by exposing primary reprogramming cells containing doxycycline-inducible Yamanaka factor expression to a transient interruption in transgene expression, resulting in selection for a subset of clones with robust transgene response. These systems also include reporter genes enabling easy readout of endogenous Oct4 activation (GFP), indicative of pluripotency, and reprogramming transgene expression (mCherry). Notably, somatic cells derived from various fetal and adult tissues from these 2° mouse lines gave rise to highly efficient and rapid reprogramming, with transgene-independent iPSC colonies emerging as early as 1 wk after induction. These mouse lines serve as a powerful tool to explore sources of variability in reprogramming and the mechanistic underpinnings of efficient reprogramming systems."
2022 Nov,Molecular systems biology,Mol Syst Biol. 2022 Nov;18(11):e10886. doi: 10.15252/msb.202110886.,"['Prochazka, Laura', 'Michaels, Yale S', 'Lau, Charles', 'Jones, Ross D', 'Siu, Mona', 'Yin, Ting', 'Wu, Diana', 'Jang, Esther', 'Vázquez-Cantú, Mercedes', 'Gilbert, Penney M', 'Kaul, Himanshu', 'Benenson, Yaakov', 'Zandstra, Peter W']","['humans', 'genes, synthetic', 'cell differentiation genetics', ' pluripotent stem cells metabolism', 'gene regulatory networks', ' micrornas genetics metabolism', 'proteins metabolism', 'cell fate control', 'classification', 'human pluripotent stem cells', 'protein tuning', 'synthetic gene circuits']",Synthetic gene circuits for cell state detection and protein tuning in human pluripotent stem cells.,"During development, cell state transitions are coordinated through changes in the identity of molecular regulators in a cell type- and dose-specific manner. The ability to rationally engineer such transitions in human pluripotent stem cells (hPSC) will enable numerous applications in regenerative medicine. Herein, we report the generation of synthetic gene circuits that can detect a desired cell state using AND-like logic integration of endogenous miRNAs (classifiers) and, upon detection, produce fine-tuned levels of output proteins using an miRNA-mediated output fine-tuning technology (miSFITs). Specifically, we created an ""hPSC ON"" circuit using a model-guided miRNA selection and circuit optimization approach. The circuit demonstrates robust PSC-specific detection and graded output protein production. Next, we used an empirical approach to create an ""hPSC-Off"" circuit. This circuit was applied to regulate the secretion of endogenous BMP4 in a state-specific and fine-tuned manner to control the composition of differentiating hPSCs. Our work provides a platform for customized cell state-specific control of desired physiological factors in hPSC, laying the foundation for programming cell compositions in hPSC-derived tissues and beyond."
2023 Jan 10,Stem cell reports,Stem Cell Reports. 2023 Jan 10;18(1):377-393. doi: 10.1016/j.stemcr.2022.10.004. ,"['Kaul, Himanshu', 'Werschler, Nicolas', 'Jones, Ross D', 'Siu, M Mona', 'Tewary, Mukul', 'Hagner, Andrew', 'Ostblom, Joel', 'Aguilar-Hidalgo, Daniel', 'Zandstra, Peter W']","['humans', ' pluripotent stem cells', 'gastrulation genetics', 'signal transduction', 'gene regulatory networks', 'mesoderm', 'cell differentiation', 'endoderm', 'gene expression regulation, developmental', 'agent-based model', 'development', 'digital twin', 'ectoderm', 'endoderm', 'gastrulation', 'gene regulatory network', 'mesoderm', 'multiscale model', 'reaction diffusion']",Virtual cells in a virtual microenvironment recapitulate early development-like patterns in human pluripotent stem cell colonies.,"The mechanism by which morphogenetic signals engage the regulatory networks responsible for early embryonic tissue patterning is incompletely understood. Here, we developed a minimal gene regulatory network (GRN) model of human pluripotent stem cell (hPSC) lineage commitment and embedded it into ""cellular"" agents that respond to a dynamic morphogenetic signaling microenvironment. Simulations demonstrated that GRN wiring had significant non-intuitive effects on tissue pattern order, composition, and dynamics. Experimental perturbation of GRN connectivities supported model predictions and demonstrated the role of OCT4 as a master regulator of peri-gastrulation fates. Our so-called GARMEN strategy provides a multiscale computational platform to understand how single-cell-based regulatory interactions scale to tissue domains. This foundation provides new opportunities to simulate the impact of network motifs on normal and aberrant tissue development."
