time,journal,doi_info,authors,key words,title,abstract
2024 Jun 15,Medical image analysis,Med Image Anal. 2024 Jun 15;97:103239. doi: 10.1016/j.media.2024.103239.,"['Ayromlou, Sana', 'Tsang, Teresa', 'Abolmaesumi, Purang', 'Li, Xiaoxiao']","['class incremental learning', 'computed tomography', 'data synthesis', 'echo-cardiograms', 'microscopy imaging']",CCSI: Continual Class-Specific Impression for data-free class incremental learning.,"In real-world clinical settings, traditional deep learning-based classification methods struggle with diagnosing newly introduced disease types because they require samples from all disease classes for offline training. Class incremental learning offers a promising solution by adapting a deep network trained on specific disease classes to handle new diseases. However, catastrophic forgetting occurs, decreasing the performance of earlier classes when adapting the model to new data. Prior proposed methodologies to overcome this require perpetual storage of previous samples, posing potential practical concerns regarding privacy and storage regulations in healthcare. To this end, we propose a novel data-free class incremental learning framework that utilizes data synthesis on learned classes instead of data storage from previous classes. Our key contributions include acquiring synthetic data known as Continual Class-Specific Impression (CCSI) for previously inaccessible trained classes and presenting a methodology to effectively utilize this data for updating networks when introducing new classes. We obtain CCSI by employing data inversion over gradients of the trained classification model on previous classes starting from the mean image of each class inspired by common landmarks shared among medical images and utilizing continual normalization layers statistics as a regularizer in this pixel-wise optimization process. Subsequently, we update the network by combining the synthesized data with new class data and incorporate several losses, including an intra-domain contrastive loss to generalize the deep network trained on the synthesized data to real data, a margin loss to increase separation among previous classes and new ones, and a cosine-normalized cross-entropy loss to alleviate the adverse effects of imbalanced distributions in training data. Extensive experiments show that the proposed framework achieves state-of-the-art performance on four of the public MedMNIST datasets and in-house echocardiography cine series, with an improvement in classification accuracy of up to 51% compared to baseline data-free methods. Our code is available at https://github.com/ubc-tea/Continual-Impression-CCSI."
2024 Jun 26,Nature communications,Nat Commun. 2024 Jun 26;15(1):4973. doi: 10.1038/s41467-024-49017-2.,"['Darbandsari, Amirali', 'Farahani, Hossein', 'Asadi, Maryam', 'Wiens, Matthew', 'Cochrane, Dawn', 'Khajegili Mirabadi, Ali', 'Jamieson, Amy', 'Farnell, David', 'Ahmadvand, Pouya', 'Douglas, Maxwell', 'Leung, Samuel', 'Abolmaesumi, Purang', 'Jones, Steven J M', 'Talhouk, Aline', 'Kommoss, Stefan', 'Gilks, C Blake', 'Huntsman, David G', 'Singh, Naveena', 'McAlpine, Jessica N', 'Bashashati, Ali']","['humans', 'female', ' endometrial neoplasms pathology genetics', ' artificial intelligence', 'middle aged', 'aged', 'image processing, computer-assisted methods', 'prognosis', 'dna copy number variations', 'whole genome sequencing', 'tumor suppressor protein p53 genetics', 'cohort studies']",AI-based histopathology image analysis reveals a distinct subset of endometrial cancers.,"Endometrial cancer (EC) has four molecular subtypes with strong prognostic value and therapeutic implications. The most common subtype (NSMP; No Specific Molecular Profile) is assigned after exclusion of the defining features of the other three molecular subtypes and includes patients with heterogeneous clinical outcomes. In this study, we employ artificial intelligence (AI)-powered histopathology image analysis to differentiate between p53abn and NSMP EC subtypes and consequently identify a sub-group of NSMP EC patients that has markedly inferior progression-free and disease-specific survival (termed 'p53abn-like NSMP'), in a discovery cohort of 368 patients and two independent validation cohorts of 290 and 614 from other centers. Shallow whole genome sequencing reveals a higher burden of copy number abnormalities in the 'p53abn-like NSMP' group compared to NSMP, suggesting that this group is biologically distinct compared to other NSMP ECs. Our work demonstrates the power of AI to detect prognostically different and otherwise unrecognizable subsets of EC where conventional and standard molecular or pathologic criteria fall short, refining image-based tumor classification. This study's findings are applicable exclusively to females."
2024 May,International journal of computer assisted radiology and surgery,Int J Comput Assist Radiol Surg. 2024 May;19(5):841-849. doi: ,"['Wilson, Paul F R', 'Harmanani, Mohamed', 'To, Minh Nguyen Nhat', 'Gilany, Mahdi', 'Jamzad, Amoon', 'Fooladgar, Fahimeh', 'Wodlinger, Brian', 'Abolmaesumi, Purang', 'Mousavi, Parvin']","['humans', 'male', ' prostatic neoplasms diagnostic imaging pathology diagnosis', ' deep learning', 'image-guided biopsy methods', 'ultrasonography methods', 'neural networks, computer', 'ultrasonography, interventional methods', 'deep learning', 'prostate cancer', 'ultrasound', 'uncertainty calibration']",Toward confident prostate cancer detection using ultrasound: a multi-center study.,"PURPOSE: Deep learning-based analysis of micro-ultrasound images to detect cancerous lesions is a promising tool for improving prostate cancer (PCa) diagnosis. An ideal model should confidently identify cancer while responding with appropriate uncertainty when presented with out-of-distribution inputs that arise during deployment due to imaging artifacts and the biological heterogeneity of patients and prostatic tissue. METHODS: Using micro-ultrasound data from 693 patients across 5 clinical centers who underwent micro-ultrasound guided prostate biopsy, we train and evaluate convolutional neural network models for PCa detection. To improve robustness to out-of-distribution inputs, we employ and comprehensively benchmark several state-of-the-art uncertainty estimation methods. RESULTS: PCa detection models achieve performance scores up to 76% average AUROC with a 10-fold cross validation setup. Models with uncertainty estimation obtain expected calibration error scores as low as 2% , indicating that confident predictions are very likely to be correct. Visualizations of the model output demonstrate that the model correctly identifies healthy versus malignant tissue. CONCLUSION: Deep learning models have been developed to confidently detect PCa lesions from micro-ultrasound. The performance of these models, determined from a large and diverse dataset, is competitive with visual analysis of magnetic resonance imaging, the clinical benchmark to identify PCa lesions for targeted biopsy. Deep learning with micro-ultrasound should be further studied as an avenue for targeted prostate biopsy."
2024 Jun,International journal of computer assisted radiology and surgery,Int J Comput Assist Radiol Surg. 2024 Jun;19(6):1129-1136. doi: ,"['Connolly, Laura', 'Fooladgar, Fahimeh', 'Jamzad, Amoon', 'Kaufmann, Martin', 'Syeda, Ayesha', 'Ren, Kevin', 'Abolmaesumi, Purang', 'Rudan, John F', 'McKay, Doug', 'Fichtinger, Gabor', 'Mousavi, Parvin']","['humans', ' margins of excision', ' mass spectrometry methods', ' carcinoma, basal cell surgery diagnostic imaging pathology', ' skin neoplasms surgery diagnostic imaging', 'supervised machine learning', 'deep learning', 'basal cell carcinoma', 'contrastive loss', 'deep learning', 'image conversion', 'mass spectrometry', 'self-supervised learning']",ImSpect: Image-driven self-supervised learning for surgical margin evaluation with mass spectrometry.,"PURPOSE: Real-time assessment of surgical margins is critical for favorable outcomes in cancer patients. The iKnife is a mass spectrometry device that has demonstrated potential for margin detection in cancer surgery. Previous studies have shown that using deep learning on iKnife data can facilitate real-time tissue characterization. However, none of the existing literature on the iKnife facilitate the use of publicly available, state-of-the-art pretrained networks or datasets that have been used in computer vision and other domains. METHODS: In a new framework we call ImSpect, we convert 1D iKnife data, captured during basal cell carcinoma (BCC) surgery, into 2D images in order to capitalize on state-of-the-art image classification networks. We also use self-supervision to leverage large amounts of unlabeled, intraoperative data to accommodate the data requirements of these networks. RESULTS: Through extensive ablation studies, we show that we can surpass previous benchmarks of margin evaluation in BCC surgery using iKnife data, achieving an area under the receiver operating characteristic curve (AUC) of 81%. We also depict the attention maps of the developed DL models to evaluate the biological relevance of the embedding space CONCLUSIONS: We propose a new method for characterizing tissue at the surgical margins, using mass spectrometry data from cancer surgery."
2024 Jun,International journal of computer assisted radiology and surgery,Int J Comput Assist Radiol Surg. 2024 Jun;19(6):1121-1128. doi: ,"['To, Minh Nguyen Nhat', 'Fooladgar, Fahimeh', 'Wilson, Paul', 'Harmanani, Mohamed', 'Gilany, Mahdi', 'Sojoudi, Samira', 'Jamzad, Amoon', 'Chang, Silvia', 'Black, Peter', 'Mousavi, Parvin', 'Abolmaesumi, Purang']","['humans', 'male', ' prostatic neoplasms diagnostic imaging pathology diagnosis', ' neural networks, computer', 'image-guided biopsy methods', 'sensitivity and specificity', 'ultrasonography methods', 'deep learning', 'ultrasonography, interventional methods', 'image-guided interventions', 'noisy labels', 'out of distribution data', 'prostate biopsy', 'ultrasound imaging']",LensePro: label noise-tolerant prototype-based network for improving cancer detection in prostate ultrasound with limited annotations.,"PURPOSE: The standard of care for prostate cancer (PCa) diagnosis is the histopathological analysis of tissue samples obtained via transrectal ultrasound (TRUS) guided biopsy. Models built with deep neural networks (DNNs) hold the potential for direct PCa detection from TRUS, which allows targeted biopsy and subsequently enhances outcomes. Yet, there are ongoing challenges with training robust models, stemming from issues such as noisy labels, out-of-distribution (OOD) data, and limited labeled data. METHODS: This study presents LensePro, a unified method that not only excels in label efficiency but also demonstrates robustness against label noise and OOD data. LensePro comprises two key stages: first, self-supervised learning to extract high-quality feature representations from abundant unlabeled TRUS data and, second, label noise-tolerant prototype-based learning to classify the extracted features. RESULTS: Using data from 124 patients who underwent systematic prostate biopsy, LensePro achieves an AUROC, sensitivity, and specificity of 77.9%, 85.9%, and 57.5%, respectively, for detecting PCa in ultrasound. Our model shows it is effective for detecting OOD data in test time, critical for clinical deployment. Ablation studies demonstrate that each component of our method improves PCa detection by addressing one of the three challenges, reinforcing the benefits of a unified approach. CONCLUSION: Through comprehensive experiments, LensePro demonstrates its state-of-the-art performance for TRUS-based PCa detection. Although further research is necessary to confirm its clinical applicability, LensePro marks a notable advancement in enhancing automated computer-aided systems for detecting prostate cancer in ultrasound."
2024 Mar 28,Echo research and practice,Echo Res Pract. 2024 Mar 28;11(1):9. doi: 10.1186/s44156-024-00043-2.,"['Luong, Christina L', 'Jafari, Mohammad H', 'Behnami, Delaram', 'Shah, Yaksh R', 'Straatman, Lynn', 'Van Woudenberg, Nathan', 'Christoff, Leah', 'Gwadry, Nancy', 'Hawkins, Nathaniel M', 'Sayre, Eric C', 'Yeung, Darwin', 'Tsang, Michael', 'Gin, Ken', 'Jue, John', 'Nair, Parvathy', 'Abolmaesumi, Purang', 'Tsang, Teresa']","['artificial intelligence', 'echocardiography', 'heart failure', 'machine learning', 'point-of-care ultrasound']",Validation of machine learning models for estimation of left ventricular ejection fraction on point-of-care ultrasound: insights on features that impact performance.,"BACKGROUND: Machine learning (ML) algorithms can accurately estimate left ventricular ejection fraction (LVEF) from echocardiography, but their performance on cardiac point-of-care ultrasound (POCUS) is not well understood. OBJECTIVES: We evaluate the performance of an ML model for estimation of LVEF on cardiac POCUS compared with Level III echocardiographers' interpretation and formal echo reported LVEF. METHODS: Clinicians at a tertiary care heart failure clinic prospectively scanned 138 participants using hand-carried devices. Video data were analyzed offline by an ML model for LVEF. We compared the ML model's performance with Level III echocardiographers' interpretation and echo reported LVEF. RESULTS: There were 138 participants scanned, yielding 1257 videos. The ML model generated LVEF predictions on 341 videos. We observed a good intraclass correlation (ICC) between the ML model's predictions and the reference standards (ICC = 0.77-0.84). When comparing LVEF estimates for randomized single POCUS videos, the ICC between the ML model and Level III echocardiographers' estimates was 0.772, and it was 0.778 for videos where quantitative LVEF was feasible. When the Level III echocardiographer reviewed all POCUS videos for a participant, the ICC improved to 0.794 and 0.843 when only accounting for studies that could be segmented. The ML model's LVEF estimates also correlated well with LVEF derived from formal echocardiogram reports (ICC = 0.798). CONCLUSION: Our results suggest that clinician-driven cardiac POCUS produces ML model LVEF estimates that correlate well with expert interpretation and echo reported LVEF."
2024 Feb 9,"Diseases (Basel, Switzerland)",Diseases. 2024 Feb 9;12(2):35. doi: 10.3390/diseases12020035.,"['Lu, Nelson', 'Vaseli, Hooman', 'Mahdavi, Mobina', 'Taheri Dezaki, Fatemah', 'Luong, Christina', 'Yeung, Darwin', 'Gin, Ken', 'Tsang, Michael', 'Nair, Parvathy', 'Jue, John', 'Barnes, Marion', 'Behnami, Delaram', 'Abolmaesumi, Purang', 'Tsang, Teresa S M']","['artificial intelligence', 'atrial fibrillation', 'deep learning', 'echocardiography']",Automated Atrial Fibrillation Diagnosis by Echocardiography without ECG: Accuracy and Applications of a New Deep Learning Approach.,"BACKGROUND: Automated rhythm detection on echocardiography through artificial intelligence (AI) has yet to be fully realized. We propose an AI model trained to identify atrial fibrillation (AF) using apical 4-chamber (AP4) cines without requiring electrocardiogram (ECG) data. METHODS: Transthoracic echocardiography studies of consecutive patients ≥ 18 years old at our tertiary care centre were retrospectively reviewed for AF and sinus rhythm. The study was first interpreted by level III-trained echocardiography cardiologists as the gold standard for rhythm diagnosis based on ECG rhythm strip and imaging assessment, which was also verified with a 12-lead ECG around the time of the study. AP4 cines with three cardiac cycles were then extracted from these studies with the rhythm strip and Doppler information removed and introduced to the deep learning model ResNet(2+1)D with an 80:10:10 training-validation-test split ratio. RESULTS: 634 patient studies (1205 cines) were included. After training, the AI model achieved high accuracy on validation for detection of both AF and sinus rhythm (mean F1-score = 0.92; AUROC = 0.95). Performance was consistent on the test dataset (mean F1-score = 0.94, AUROC = 0.98) when using the cardiologist's assessment of the ECG rhythm strip as the gold standard, who had access to the full study and external ECG data, while the AI model did not. CONCLUSIONS: AF detection by AI on echocardiography without ECG appears accurate when compared to an echocardiography cardiologist's assessment of the ECG rhythm strip as the gold standard. This has potential clinical implications in point-of-care ultrasound and stroke risk stratification."
2023 Oct,Journal of the American Society of Echocardiography : official publication of the ,J Am Soc Echocardiogr. 2023 Oct;36(10):1079-1082. doi: ,"['Yeung, Darwin F', 'Abolmaesumi, Purang', 'Tsang, Teresa S M']",[],Artificial Intelligence for Left Ventricular Diastolic Function Assessment: A New Paradigm on the Horizon.,
2023 Jul,Journal of cardiovascular imaging,J Cardiovasc Imaging. 2023 Jul;31(3):125-132. doi: 10.4250/jcvi.2022.0120.,"['Yim, Jeffrey', 'Tsang, Michael Y C', 'Venkataraman, Anand', 'Balthazaar, Shane', 'Gin, Ken', 'Jue, John', 'Nair, Parvathy', 'Luong, Christina', 'Yeung, Darwin F', 'Moss, Robb', 'Virani, Sean A', 'McKay, Jane', 'Williams, Margot', 'Sayre, Eric C', 'Abolmaesumi, Purang', 'Tsang, Teresa S M']","['covid-19', 'echocardiography', 'sars-cov-2', 'speckle tracking echocardiography', 'strain imaging']",Cardiac Phenotyping of SARS-CoV-2 in British Columbia: A Prospective Echo Study With Strain Imaging.,"BACKGROUND: There is limited data on the residual echocardiographic findings including strain analysis among post-coronavirus disease (COVID) patients. The aim of our study is to prospectively phenotype post-COVID patients. METHODS: All patients discharged following acute COVID infection were systematically followed in the post-COVID-19 Recovery Clinic at Vancouver General Hospital and St. Paul's Hospital. At 4-18 weeks post diagnosis, patients underwent comprehensive echocardiographic assessment. Left ventricular ejection fraction (LVEF) was assessed by 3D, 2D Biplane Simpson's, or visual estimate. LV global longitudinal strain (GLS) was measured using a vendor-independent 2D speckle-tracking software (TomTec). RESULTS: A total of 127 patients (53% female, mean age 58 years) were included in our analyses. At baseline, cardiac conditions were present in 58% of the patients (15% coronary artery disease, 4% heart failure, 44% hypertension, 10% atrial fibrillation) while the remainder were free of cardiac conditions. COVID-19 serious complications were present in 79% of the patients (76% pneumonia, 37% intensive care unit admission, 21% intubation, 1% myocarditis). Normal LVEF was seen in 96% of the cohort and 97% had normal right ventricular systolic function. A high proportion (53%) had abnormal LV GLS defined as < 18%. Average LV GLS of septal and inferior segments were lower compared to that of other segments. Among patients without pre-existing cardiac conditions, LVEF was abnormal in only 1.9%, but LV GLS was abnormal in 46% of the patients. CONCLUSIONS: Most post-COVID patients had normal LVEF at 4-18 weeks post diagnosis, but over half had abnormal LV GLS."
2023 Jul,International journal of computer assisted radiology and surgery,Int J Comput Assist Radiol Surg. 2023 Jul;18(7):1193-1200. doi: ,"['Gilany, Mahdi', 'Wilson, Paul', 'Perera-Ortega, Andrea', 'Jamzad, Amoon', 'To, Minh Nguyen Nhat', 'Fooladgar, Fahimeh', 'Wodlinger, Brian', 'Abolmaesumi, Purang', 'Mousavi, Parvin']","['male', 'humans', ' prostate diagnostic imaging pathology', 'image-guided biopsy methods', ' prostatic neoplasms diagnostic imaging pathology', 'ultrasonography methods', 'pelvis', 'micro-ultrasound', 'prostate cancer', 'self-attention', 'self-supervised learning']",TRUSformer: improving prostate cancer detection from micro-ultrasound using attention and self-supervision.,"PURPOSE: A large body of previous machine learning methods for ultrasound-based prostate cancer detection classify small regions of interest (ROIs) of ultrasound signals that lie within a larger needle trace corresponding to a prostate tissue biopsy (called biopsy core). These ROI-scale models suffer from weak labeling as histopathology results available for biopsy cores only approximate the distribution of cancer in the ROIs. ROI-scale models do not take advantage of contextual information that are normally considered by pathologists, i.e., they do not consider information about surrounding tissue and larger-scale trends when identifying cancer. We aim to improve cancer detection by taking a multi-scale, i.e., ROI-scale and biopsy core-scale, approach. METHODS: Our multi-scale approach combines (i) an ""ROI-scale"" model trained using self-supervised learning to extract features from small ROIs and (ii) a ""core-scale"" transformer model that processes a collection of extracted features from multiple ROIs in the needle trace region to predict the tissue type of the corresponding core. Attention maps, as a by-product, allow us to localize cancer at the ROI scale. RESULTS: We analyze this method using a dataset of micro-ultrasound acquired from 578 patients who underwent prostate biopsy, and compare our model to baseline models and other large-scale studies in the literature. Our model shows consistent and substantial performance improvements compared to ROI-scale-only models. It achieves [Formula: see text] AUROC, a statistically significant improvement over ROI-scale classification. We also compare our method to large studies on prostate cancer detection, using other imaging modalities. CONCLUSIONS: Taking a multi-scale approach that leverages contextual information improves prostate cancer detection compared to ROI-scale-only models. The proposed model achieves a statistically significant improvement in performance and outperforms other large-scale studies in the literature. Our code is publicly available at www.github.com/med-i-lab/TRUSFormer ."
