time,journal,doi_info,authors,key words,title,abstract
2023 Feb 15,ACS nanoscience Au,ACS Nanosci Au. 2022 Oct 28;3(1):67-83. doi: 10.1021/acsnanoscienceau.2c00040. ,"['Yazdani-Ahmadabadi, Hossein', 'Yu, Kai', 'Khoddami, Sara', 'F Felix, Demian', 'Yeh, Han H', 'Luo, Haiming D', 'Moskalev, Igor', 'Wang, Qiong', 'Wang, Rizhi', 'Grecov, Dana', 'Fazli, Ladan', 'Lange, Dirk', 'Kizhakkedathu, Jayachandran N']",[],Robust Nanoparticle-Derived Lubricious Antibiofilm Coating for Difficult-to-Coat Medical Devices with Intricate Geometry.,"A major medical device-associated complication is the biofilm-related infection post-implantation. One promising approach to prevent this is to coat already commercialized medical devices with effective antibiofilm materials. However, developing a robust high-performance antibiofilm coating on devices with a nonflat geometry remains unmet. Here, we report the development of a facile scalable nanoparticle-based antibiofilm silver composite coating with long-term activity applicable to virtually any objects including difficult-to-coat commercially available medical devices utilizing a catecholic organic-aqueous mixture. Using a screening approach, we have identified a combination of the organic-aqueous buffer mixture which alters polycatecholamine synthesis, nanoparticle formation, and stabilization, resulting in controlled deposition of in situ formed composite silver nanoparticles in the presence of an ultra-high-molecular-weight hydrophilic polymer on diverse objects irrespective of its geometry and chemistry. Methanol-mediated synthesis of polymer-silver composite nanoparticles resulted in a biocompatible lubricious coating with high mechanical durability, long-term silver release (∼90 days), complete inhibition of bacterial adhesion, and excellent killing activity against a diverse range of bacteria over the long term. Coated catheters retained their excellent activity even after exposure to harsh mechanical challenges (rubbing, twisting, and stretching) and storage conditions (>3 months stirring in water). We confirmed its excellent bacteria-killing efficacy (>99.999%) against difficult-to-kill bacteria (Proteus mirabilis) and high biocompatibility using percutaneous catheter infection mice and subcutaneous implant rat models, respectively, in vivo. The developed coating approach opens a new avenue to transform clinically used medical devices (e.g., urinary catheters) to highly infection-resistant devices to prevent and treat implant/device-associated infections."
2021 Sep 1,Acta biomaterialia,Acta Biomater. 2021 Sep 1;131:581-594. doi: 10.1016/j.actbio.2021.06.039. Epub ,"['Eltit, Felipe', 'Noble, Jake', 'Sharma, Manju', 'Benam, Niloufar', 'Haegert, Anne', 'Bell, Robert H', 'Simon, Felipe', 'Duncan, Clive P', 'Garbuz, Donald S', 'Greidanus, Nelson V', 'Masri, Bassam A', 'Ng, Tony L', 'Wang, Rizhi', 'Cox, Michael E']","[' arthroplasty, replacement, hip', 'chemokines', 'chromium', 'cobalt toxicity', 'cytokines', 'fibroblasts', ' hip prosthesis adverse effects', 'humans', 'ions', ' metal-on-metal joint prostheses', 'prosthesis design', 'prosthesis failure', 'stress, physiological', 'cytokine storm', 'hip arthroplasty', 'hip pseudotumors', 'il-16', 'metal ions', 'mitophagy']",Cobalt ions induce metabolic stress in synovial fibroblasts and secretion of cytokines/chemokines that may be diagnostic markers for adverse local tissue reactions to hip implants.,"Adverse local tissue reactions (ALTRs) are a prominent cause of hip implant failure. ALTRs are characterized by aseptic necrosis and leukocyte infiltration of synovial tissue. The prevalence of ALTRs in hips with failing metal implants, with highest rates occurring in patients with metal-on-metal articulations, suggests a role for CoCrMo corrosion in ALTR formation. Although hypersensitivity reactions are the most accepted etiology, the precise cellular mechanism driving ALTR pathogenesis remains enigmatic. Here we show that cobalt ions released by failing hip implants induce mitochondrial stress and cytokine secretion by synovial fibroblasts: the presumptive initiators of ALTR pathogenesis. We found that in-vitro treatment of synovial fibroblasts with cobalt, but not chromium, generated gene expression changes indicative of hypoxia and mitophagy responses also observed in ALTRs biopsies. Inflammatory factors secreted by cobalt-exposed synovial fibroblasts were among those most concentrated in ALTR synovial fluid. Furthermore, both conditioned media from cobalt-exposed synovial fibroblasts, and synovial fluid from ALTRs patients, elicit endothelial activation and monocyte migration. Finally, we identify the IL16/CTACK ratio in synovial fluid as a possible diagnostic marker of ALTRs. Our results provide evidence suggesting that metal ions induce cell stress in synovial fibroblasts that promote an inflammatory response consistent with initiating ALTR formation. STATEMENT OF SIGNIFICANCE: We demonstrate that the cytotoxic effects of cobalt ions on the synovial cells (fibroblast) is sufficient to trigger inflammation on hip joints with metal implants. Cobalt ions affect mitochondrial function, leading to the auto phagocytosis of mitochondria and trigger a hypoxic response. The cell's hypoxic response includes secretion of cytokines that are capable of trigger inflammation by activating blood vessels and enhancing leukocyte migration. Among the secreted cytokines is IL-16, which is highly concentrated in the synovial fluid of the patients with adverse local tissue reactions and could be use as diagnostic marker. In conclusion we define the cells of the hip joint as key players in triggering the adverse reactions to hip implants and providing biomarkers for early diagnosis of adverse reactions to hip implants."
2021 Apr 21,ACS applied materials & interfaces,ACS Appl Mater Interfaces. 2021 Apr 21;13(15):17207-17219. doi: ,"['Chen, Sijia', 'Wang, Qiong', 'Eltit, Felipe', 'Guo, Yubin', 'Cox, Michael', 'Wang, Rizhi']","['alendronate administration & dosage pharmacology', 'ammonia  chemistry', 'animals', 'bone and bones drug effects  pathology', 'calcium phosphates  chemistry', 'cell differentiation drug effects', 'drug carriers chemistry', 'humans', 'membranes, artificial', 'mice', 'nanostructures  chemistry', 'osteoclasts drug effects pathology', 'osteoporosis metabolism pathology  physiopathology', 'pc-3 cells', 'porosity', 'raw 264.7 cells', 'ammonia-induced calcium phosphate insert', 'drug delivery', 'osteoclasts', 'prostate cancer', 'resorption assay']",An Ammonia-Induced Calcium Phosphate Nanostructure: A Potential Assay for Studying Osteoporosis and Bone Metastasis.,"Osteoclastic resorption of bones plays a central role in both osteoporosis and bone metastasis. A reliable in vitro assay that simulates osteoclastic resorption in vivo would significantly speed up the process of developing effective therapeutic solutions for those diseases. Here, we reported the development of a novel and robust nanostructured calcium phosphate coating with unique functions on the track-etched porous membrane by using an ammonia-induced mineralization (AiM) technique. The calcium phosphate coating uniformly covers one side of the PET membrane, enabling testing for osteoclastic resorption. The track-etched pores in the PET membrane allow calcium phosphate mineral pins to grow inside, which, on the one hand, enhances coating integration with a membrane substrate and, on the other hand, provides diffusion channels for delivering drugs from the lower chamber of a double-chamber cell culture system. The applications of the processed calcium phosphate coating were first demonstrated as a drug screening device by using alendronate, a widely used drug for osteoporosis. It was confirmed that the delivery of alendronate significantly decreased both the number of monocyte-differentiated osteoclasts and coating resorption. To demonstrate the application in studying bone metastasis, we delivered a PC3 prostate cancer-conditioned medium and confirmed that both the differentiation of monocytes into osteoclasts and the osteoclastic resorption of the calcium phosphate coating were significantly enhanced. This novel assay thus provides a new platform for studying osteoclastic activities and assessing drug efficacy in vitro."
2021 Dec,Journal of orthopaedic research : official publication of the Orthopaedic ,J Orthop Res. 2021 Dec;39(12):2581-2594. doi: 10.1002/jor.24998. Epub 2021 Feb ,"['Eltit, Felipe', 'Mohammad, Nissreen', 'Medina, Indira', 'Haegert, Anne', 'Duncan, Clive P', 'Garbuz, Donald S', 'Greidanus, Nelson V', 'Masri, Bassam A', 'Ng, Tony L', 'Wang, Rizhi', 'Cox, Michael E']","[' arthroplasty, replacement, hip adverse effects', 'cd8-positive t-lymphocytes', 'chemokine ccl3', 'chemokine cxcl10', ' hip prosthesis adverse effects', 'humans', 'interleukin-6', 'interleukin-8', 'lymphocytes', ' metal-on-metal joint prostheses adverse effects', 'metals', 'polyethylene', 'prosthesis design', 'prosthesis failure', 'reoperation', 't-cell exhaustion', 'adverse local tissue reactions', 'cytokines', 'hip implants', 'perivascular aggregates']",Perivascular lymphocytic aggregates in hip prosthesis-associated adverse local tissue reactions demonstrate Th1 and Th2 activity and exhausted CD8(+) cell responses.,"Hip implants are a successful solution for osteoarthritis; however, some individuals with metal-on-metal (MoM) and metal-on-polyethylene (MoP) prosthetics develop adverse local tissue reactions (ALTRs). While MoM and MoP ALTRs are presumed to be delayed hypersensitivity reactions to corrosion products, MoM- and MoP-associated ALTRs present with different histological characteristics. We compared MoM- and MoP-associated ALTRs histopathology with cobalt and chromium levels in serum and synovial fluid. We analyzed the gene expression levels of leukocyte aggregates and synovial fluid chemokines/cytokines to resolve potential pathophysiologic differences. In addition, we classified ALTRs from 79 patients according to their leukocyte infiltrates as macrophage-dominant, mixed, and lymphocyte-dominant. Immune-related transcript profiles from lymphocyte-dominant MoM- and MoP-associated ALTR patients with perivascular lymphocytic aggregates were similar. Cell signatures indicated predominantly macrophage, Th1 and Th2 lymphocytic infiltrate, with strong exhausted CD8(+) signature, and low Th17 and B cell, relative to healthy lymph nodes. Lymphocyte-dominant ALTR-associated synovial fluid contained higher levels of induced protein 10 (IP-10), interleukin-1 receptor antagonist (IL-1RN), IL-8, IL-6, IL-16, macrophage inflammatory protein 1 (MIP-1α), IL-18, MCP-2, and lower cell-attracting chemokine levels, when compared with prosthetic revisions lacking ALTRs. In addition, the higher levels of IP-10, IL-8, IL-6, MIP-1α, and MCP-2 were observed within the synovial fluid of the lymphocyte-dominant ALTRs relative to the macrophage-dominant ALTRs. Not all cytokines/chemokines were detected in the perivascular aggregate transcripts, suggesting the existence of other sources in the affected synovia. Our results support the hypothesis of common hypersensitivity pathogenesis in lymphocyte-dominant MoM and MoP ALTRs. The exhausted lymphocyte signature indicates chronic processes and an impaired immune response, although the cause of the persistent T-cell activation remains unclear. The cytokine/chemokine signature of lymphocyte-dominant-associated ATLRs may be of utility for diagnosing this more aggressive pathogenesis."
2021 Feb,Journal of the mechanical behavior of biomedical materials,J Mech Behav Biomed Mater. 2021 Feb;114:104233. doi: 10.1016/j.jmbbm.2020.104233. ,"['Tsai, Chen-En', 'Hung, James', 'Hu, Youxin', 'Wang, Da-Yung', 'Pilliar, Robert M', 'Wang, Rizhi']","[' alloys', 'corrosion', ' hip prosthesis', 'humans', 'materials testing', 'surface properties', 'cathodic arc evaporation', 'cocrmo alloy', 'fretting corrosion', 'hip implants', 'zrn coating']",Improving fretting corrosion resistance of CoCrMo alloy with TiSiN and ZrN coatings for orthopedic applications.,"Total hip replacement is the most effective treatment for late stage osteoarthritis. However, adverse local tissue reactions (ALTRs) have been observed in patients with modular total hip implants. Although the detailed mechanisms of ALTRs are still unknown, fretting corrosion and the associated metal ion release from the CoCrMo femoral head at the modular junction has been reported to be a major factor. The purpose of this study is to increase the fretting corrosion resistance of the CoCrMo alloy and the associated metal ion release by applying hard coatings to the surface. Cathodic arc evaporation technique (arc-PVD) was used to deposit TiSiN and ZrN hard coatings on CoCrMo substrates. The morphology, chemical composition, crystal structures and residual stress of the coatings were characterized by scanning electron microscopy, energy dispersive X-ray spectroscopy, and X-ray diffractometry. Hardness, elastic modulus, and adhesion of the coatings were measured by nano-indentation, nano-scratch test, and the Rockwell C test. Fretting corrosion resistance tests of coated and uncoated CoCrMo discs against Ti6Al4V spheres were conducted on a four-station fretting testing machine in simulated body fluid at 1Hz for 1 million cycles. Post-fretting samples were analyzed for morphological changes, volume loss and metal ion release. Our analyses showed better surface finish and lower residual stress for ZrN coating, but higher hardness and better scratch resistance for TiSiN coating. Fretting results demonstrated substantial improvement in fretting corrosion resistance of CoCrMo with both coatings. ZrN and TiSiN decreased fretting volume loss by more than 10 times and 1000 times, respectively. Both coatings showed close to 90% decrease of Co ion release during fretting corrosion tests. Our results suggest that hard coating deposition on CoCrMo alloy can significantly improve its fretting corrosion resistance and could thus potentially alleviate ALTRs in metal hip implants."
2021 Feb,Electrophoresis,Electrophoresis. 2021 Feb;42(4):350-359. doi: 10.1002/elps.202000228. Epub 2020 ,"['Zhao, Tingting', 'Wang, Lingyu', 'Li, Yueyang', 'Chen, Sijia', 'Wang, Rizhi', 'Chen, David Da Yong']","['alendronate  analysis', 'electrophoresis, capillary  methods', 'hydrogen-ion concentration', 'linear models', 'mass spectrometry  methods', 'reproducibility of results', 'sensitivity and specificity', 'tablets', 'alendronate', 'ce', 'dynamic ph barrage junction focusing', 'ms']",Quantification of the bisphosphonate alendronate using capillary electrophoresis mass spectrometry with dynamic pH barrage junction focusing.,"A quantitative method was developed for the direct identity confirmation and quantification of alendronate using CE-MS combined with a pH-assisted focusing technique, dynamic pH barrage junction focusing. A pH-induced variation in electrophoretic mobility led to online focusing of alendronate at the sample/pH barrage boundary, significantly improving the detection sensitivity. In addition, the use of a flow-through microvial CE electrospray interface and the multiple reaction monitoring mode of MS further improved the specificity and quantification capability of this technology. This quantitative method presented a wide linear dynamic range over 8-2000 ng/mL and an LOD of 2 ng/mL. A 460-fold improvement in sensitivity was obtained when pH barrage junction focusing was applied during the CE process, in comparison to when normal CE was conducted without online sample stacking. The superior detection sensitivity over previously reported methods enables direct analysis of bisphosphonate compounds, eliminating tedious pre-column sample enrichment and derivatization. Validation of alendronate content in a commercial drug tablet further proved the reliability and power of this method. This simple method with no sample derivatization, superior sensitivity, and short run time (<8 min) is a promising alternative for accurate quantification of alendronate and other types of bisphosphonate compounds in both drug formulations and plasma samples."
2020 Nov 1,Journal of structural biology,J Struct Biol. 2020 Nov 1;212(2):107606. doi: 10.1016/j.jsb.2020.107606. Epub ,"['Wang, Qiong', 'Tang, Tengteng', 'Cooper, David', 'Eltit, Felipe', 'Fratzl, Peter', 'Guy, Pierre', 'Wang, Rizhi']","['aged, 80 and over', 'aging metabolism physiology', 'bone density physiology', 'calcification, physiologic  physiology', 'female', 'femur neck  metabolism  physiology', 'humans', 'minerals  metabolism', 'synchrotrons', 'x-ray microtomography methods', 'fib-sem', 'hip fracture', 'human femoral neck', 'hypermineralization', 'mineral globules', 'synchrotron micro-ct']",Globular structure of the hypermineralized tissue in human femoral neck.,"Bone becomes more fragile with ageing. Among many structural changes, a thin layer of highly mineralized and brittle tissue covers part of the external surface of the thin femoral neck cortex in older people and has been proposed to increase hip fragility. However, there have been very limited reports on this hypermineralized tissue in the femoral neck, especially on its ultrastructure. Such information is critical to understanding both the mineralization process and its contributions to hip fracture. Here, we use multiple advanced techniques to characterize the ultrastructure of the hypermineralized tissue in the neck across various length scales. Synchrotron radiation micro-CT found larger but less densely distributed cellular lacunae in hypermineralized tissue than in lamellar bone. When examined under FIB-SEM, the hypermineralized tissue was mainly composed of mineral globules with sizes varying from submicron to a few microns. Nano-sized channels were present within the mineral globules and oriented with the surrounding organic matrix. Transmission electron microscopy showed the apatite inside globules were poorly crystalline, while those at the boundaries between the globules had well-defined lattice structure with crystallinity similar to the apatite mineral in lamellar bone. No preferred mineral orientation was observed both inside each globule and at the boundaries. Collectively, we conclude based on these new observations that the hypermineralized tissue is non-lamellar and has less organized mineral, which may contribute to the high brittleness of the tissue."
2020 May 1,Biomedical optics express,Biomed Opt Express. 2020 Apr 27;11(5):2745-2760. doi: 10.1364/BOE.387242. ,"['Zhou, Xin', 'Eltit, Felipe', 'Yang, Xiao', 'Maloufi, Sina', 'Alousaimi, Hanadi', 'Liu, Qihao', 'Huang, Lin', 'Wang, Rizhi', 'Tang, Shuo']",[],Detecting human articular cartilage degeneration in its early stage with polarization-sensitive optical coherence tomography.,"Detecting articular cartilage (AC) degeneration in its early stage plays a critical role in the diagnosis and treatment of osteoarthritis (OA). Polarization-sensitive optical coherence tomography (PS-OCT) is sensitive to the alteration and disruption of collagen organization that happens during OA progression. This study proposes an effective OA evaluating method based on PS-OCT imaging. A slope-based analysis is applied on the phase retardation images to segment articular cartilage into three zones along the depth direction. The boundaries and birefringence coefficients (BRCs) of each zone are quantified. Two parameters, namely phase homogeneity index (PHI) and zonal distinguishability (Dz), are further developed to quantify the fluctuation within each zone and the zone-to-zone variation of the tissue birefringence properties. The PS-OCT based evaluating method then combines PHI and Dz to provide a G (PS) score for the severity of OA. The proposed method is applied to human hip joint samples and the results are compared with the grading by histology images. The G (PS) score shows very strong statistical significance in differentiating different stages of OA. Compared to using the BRC of each zone or a single BRC for the entire depth, the G (PS) score shows great improvement in differentiating early-stage OA. The proposed method is shown to have great potential to be developed as a clinical tool for detecting OA."
2020 May,"Journal of biomedical materials research. Part B, Applied biomaterials",J Biomed Mater Res B Appl Biomater. 2020 May;108(4):1213-1228. doi: ,"['Wang, Qiong', 'Eltit, Felipe', 'Garbuz, Donald', 'Duncan, Clive', 'Masri, Bassam', 'Greidanus, Nelson', 'Wang, Rizhi']","['adult', 'aged', 'aged, 80 and over', ' arthroplasty, replacement, hip', 'corrosion', ' equipment failure analysis', 'female', 'hip prosthesis  adverse effects', 'humans', 'male', 'middle aged', 'polyethylene  chemistry', ' prosthesis failure', 'vitallium  chemistry', 'cocrmo alloys', 'adverse local tissue reactions', 'fretting corrosion', 'hip implants', 'metal release', 'metal-on-polyethylene', 'tribocorrosion']",CoCrMo metal release in metal-on-highly crosslinked polyethylene hip implants.,"Increasing cases of adverse local tissue reactions (ALTRs) associated with metal release have been observed in patients with metal-on-highly crosslinked polyethylene (MoP) hip implants, the most common design in total hip replacements. Studies have demonstrated the metal release from fretting corrosion at the head-neck junction, but rarely investigated tribocorrosion associated metal release at articulating surfaces in MoP hip implants. The objective of this study is to investigate both tribocorrosion at the articulating surfaces and fretting corrosion at the head-neck junction in CoCrMo femoral heads, as well as their association with metal species released in periprosthetic tissues and body fluids in MoP hip systems. Twenty-three patients with ALTRs associated with MoP implants were included. Systematic analyses were performed on the wear damage in articulation, corrosion at the head-neck junction and their correlation with degradation products observed in synovial fluid, periprosthetic tissues, and serum. Results showed that tribocorrosion at the articulating surfaces contributed to the elevated concentration of both Co and Cr ions in serum, while fretting corrosion at the head-neck junction mainly released Co ions to serum. Both tribocorrosion at the articulating surfaces and fretting corrosion at the head-neck junction released particles rich in chromium and phosphate, the dominant particles found in synovial fluids and tissues. This study provides strong evidence that tribocorrosion at the articulating surfaces in MoP hip implants could result in significant metal release. This information should be taken into account when studying the mechanisms of ALTRs and developing strategies of preventing metal release in total hip replacements."
2019,Frontiers in bioengineering and biotechnology,Front Bioeng Biotechnol. 2019 Jul 30;7:176. doi: 10.3389/fbioe.2019.00176. ,"['Eltit, Felipe', 'Wang, Qiong', 'Wang, Rizhi']","['adverse local tissue reactions', 'corrosion', 'fretting corrosion', 'metal hypersensitivity', 'mitochondrial stress', 'pseudotumors', 'total hip implants', 'tribocorrosion']",Mechanisms of Adverse Local Tissue Reactions to Hip Implants.,"Adverse Local Tissue Reactions (ALTRs) are one of the main causes of hip implant failures. Although the metal release from the implants is considered as a main etiology, the mechanisms, and the roles of the released products are topics of ongoing research. The alloys used in the hip implants are considered biocompatible and show negligible corrosion in the body environment under static conditions. However, modularity and its associated mechanically assisted corrosion have been shown to release metal species into the body fluids. ALTRs associated with metal release have been observed in hip implants with metal-on-metal articulation initially, and later with metal-on-polyethylene articulation, the most commonly used design in current hip replacement. The etiological factors in ALTRs have been the topics of many studies. One commonly accepted theory is that the interactions between the metal species and body proteins and cells generate a delayed type IV hypersensitivity reaction leading to ALTRs. However, lymphocyte reactions are not always observed in ALTRS, and the molecular mechanisms have not been clearly demonstrated. A more accepted mechanism is that cell damage generated by metal ions may trigger the secretion of cytokines leading to the inflammatory reactions observed in ALTRs. In this inflammatory environment, some patients would develop hypersensitivity that is associated with poor outcomes. Concerns over ALTRS have brought significant impact to both the clinical selection and development of hip implants. This review is focused on the mechanisms of ALTRs, specifically, the metal release process and the roles of the metal species released in the etiology and pathogenesis of the disease. Hopefully, our presentation and discussion of this biological process from a material perspective could improve our current understanding on the ALTRs and provide useful guidance in developing preventive solutions."
