time,journal,doi_info,authors,key words,title,abstract
2023 Dec 30,The Canadian journal of cardiology,Can J Cardiol. 2023 Dec 30:S0828-282X(23)02044-5. doi: ,"['Christie, Simon', 'Tam, Roger', 'Laksman, Zachary']",[],Artificial Intelligence in Cardiology Research: How to Upskill.,
2023,Journal of Alzheimer's disease reports,J Alzheimers Dis Rep. 2023 Jun 19;7(1):627-639. doi: 10.3233/ADR-220113. ,"['Oh, Jean', 'Crockett, Rachel A', 'Hsu, Chun-Liang', 'Dao, Elizabeth', 'Tam, Roger', 'Liu-Ambrose, Teresa']","['aged', 'alzheimer’s disease', 'cerebral small vessel diseases', 'dementia', 'magnetic resonance imaging', 'randomized controlled trial', 'resistance training', 'white matter']",Resistance Training Maintains White Matter and Physical Function in Older Women with Cerebral Small Vessel Disease: An Exploratory Analysis of a Randomized Controlled Trial.,"BACKGROUND: As the aging population grows, there is an increasing need to develop accessible interventions against risk factors for cognitive impairment and dementia, such as cerebral small vessel disease (CSVD). The progression of white matter hyperintensities (WMHs), a key hallmark of CSVD, can be slowed by resistance training (RT). We hypothesize RT preserves white matter integrity and that this preservation is associated with improved cognitive and physical function. OBJECTIVE: To determine if RT preserves regional white matter integrity and if any changes are associated with cognitive and physical outcomes. METHODS: Using magnetic resonance imaging data from a 12-month randomized controlled trial, we compared the effects of a twice-weekly 60-minute RT intervention versus active control on T1-weighted over T2-weighted ratio (T1w/T2w; a non-invasive proxy measure of white matter integrity) in a subset of study participants (N = 21 females, mean age = 69.7 years). We also examined the association between changes in T1w/T2w with two key outcomes of the parent study: (1) selective attention and conflict resolution, and (2) peak muscle power. RESULTS: Compared with an active control group, RT increased T1w/T2w in the external capsule (p = 0.024) and posterior thalamic radiations (p = 0.013) to a greater degree. Increased T1w/T2w in the external capsule was associated with an increase in peak muscle power (p = 0.043) in the RT group. CONCLUSION: By maintaining white matter integrity, RT may be a promising intervention to counteract the pathological changes that accompany CSVD, while improving functional outcomes such as muscle power."
2023,Frontiers in neurology,Front Neurol. 2023 May 26;14:1165267. doi: 10.3389/fneur.2023.1165267. ,"['Tayyab, Maryam', 'Metz, Luanne M', 'Li, David K B', 'Kolind, Shannon', 'Carruthers, Robert', 'Traboulsee, Anthony', 'Tam, Roger C']","['mri', 'clinical prediction', 'label uncertainty', 'machine learning', 'missing labels', 'multiple sclerosis', 'noisy labels']",Accounting for uncertainty in training data to improve machine learning performance in predicting new disease activity in early multiple sclerosis.,"INTRODUCTION: Machine learning (ML) has great potential for using health data to predict clinical outcomes in individual patients. Missing data are a common challenge in training ML algorithms, such as when subjects withdraw from a clinical study, leaving some samples with missing outcome labels. In this study, we have compared three ML models to determine whether accounting for label uncertainty can improve a model's predictions. METHODS: We used a dataset from a completed phase-III clinical trial that evaluated the efficacy of minocycline for delaying the conversion from clinically isolated syndrome to multiple sclerosis (MS), using the McDonald 2005 diagnostic criteria. There were a total of 142 participants, and at the 2-year follow-up 81 had converted to MS, 29 remained stable, and 32 had uncertain outcomes. In a stratified 7-fold cross-validation, we trained three random forest (RF) ML models using MRI volumetric features and clinical variables to predict the conversion outcome, which represented new disease activity within 2 years of a first clinical demyelinating event. One RF was trained using subjects with the uncertain labels excluded (RF(exclude)), another RF was trained using the entire dataset but with assumed labels for the uncertain group (RF(naive)), and a third, a probabilistic RF (PRF, a type of RF that can model label uncertainty) was trained on the entire dataset, with probabilistic labels assigned to the uncertain group. RESULTS: Probabilistic random forest outperformed both the RF models with the highest AUC (0.76, compared to 0.69 for RF(exclude) and 0.71 for RF(naive)) and F1-score (86.6% compared to 82.6% for RF(exclude) and 76.8% for RF(naive)). CONCLUSION: Machine learning algorithms capable of modeling label uncertainty can improve predictive performance in datasets in which a substantial number of subjects have unknown outcomes."
2023 May 9,"Diagnostics (Basel, Switzerland)",Diagnostics (Basel). 2023 May 9;13(10):1664. doi: 10.3390/diagnostics13101664.,"['Huang, Yijin', 'Lin, Li', 'Cheng, Pujin', 'Lyu, Junyan', 'Tam, Roger', 'Tang, Xiaoying']","['classification', 'diabetic retinopathy', 'training setting']",Identifying the Key Components in ResNet-50 for Diabetic Retinopathy Grading from Fundus Images: A Systematic Investigation.,"Although deep learning-based diabetic retinopathy (DR) classification methods typically benefit from well-designed architectures of convolutional neural networks, the training setting also has a non-negligible impact on prediction performance. The training setting includes various interdependent components, such as an objective function, a data sampling strategy, and a data augmentation approach. To identify the key components in a standard deep learning framework (ResNet-50) for DR grading, we systematically analyze the impact of several major components. Extensive experiments are conducted on a publicly available dataset EyePACS. We demonstrate that (1) the DR grading framework is sensitive to input resolution, objective function, and composition of data augmentation; (2) using mean square error as the loss function can effectively improve the performance with respect to a task-specific evaluation metric, namely the quadratically weighted Kappa; (3) utilizing eye pairs boosts the performance of DR grading and; (4) using data resampling to address the problem of imbalanced data distribution in EyePACS hurts the performance. Based on these observations and an optimal combination of the investigated components, our framework, without any specialized network design, achieves a state-of-the-art result (0.8631 for Kappa) on the EyePACS test set (a total of 42,670 fundus images) with only image-level labels. We also examine the proposed training practices on other fundus datasets and other network architectures to evaluate their generalizability. Our codes and pre-trained model are available online."
2023 Jun,"Multiple sclerosis (Houndmills, Basingstoke, England)",Mult Scler. 2023 Jun;29(7):866-874. doi: 10.1177/13524585231164295. Epub 2023 Apr ,"['Rodriguez Llorian, Elisabet', 'Zhang, Wei', 'Khakban, Amir', 'Michaux, Kristina', 'Patten, Scott', 'Traboulsee, Anthony', 'Oh, Jiwon', 'Kolind, Shannon', 'Prat, Alexandre', 'Tam, Roger', 'Lynd, Larry D']","['humans', ' multiple sclerosis psychology', 'prospective studies', 'canada', 'employment', 'unemployment', 'employment status', 'multiple sclerosis', 'productivity loss']","Employment status, productivity loss, and associated factors among people with multiple sclerosis.","BACKGROUND: Multiple Sclerosis (MS) affects people in their most productive years of life. Consequently, MS can substantially affect employment and work-related outcomes. OBJECTIVES: This study characterizes productivity loss and employment status of people with multiple sclerosis (pwMS) and investigates associated factors. METHODS: We used baseline data collected as part of the Canadian Prospective Cohort Study to Understand Progression in Multiple Sclerosis (CanProCo). Using the Valuation of Lost Productivity questionnaire, we measured MS-related paid work productivity loss for those employed, productivity losses incurred by those unemployed (i.e. lost employment time), and unpaid work productivity losses for all. A set of sociodemographic, disease, and performance-related factors were investigated using a two-part regression model for productivity loss and a multinomial logistic model for employment status. RESULTS: From the cohort of 888 pwMS enrolled at baseline (mostly showing mild to moderate disability), 75% were employed, and of those unemployed, 69% attributed their unemployment to health-related issues. Total productivity loss over a 3-month period averaged 64 and 395 hours for those employed and unemployed, respectively. Some factors that affected productivity loss and employment status included use of disease-modifying therapies, fatigue, and performance indicators such as cognitive processing speed. CONCLUSION: Productivity loss experienced by employed and unemployed pwMS is substantial. Targeting the identified modifiable factors is likely to improve work productivity and permanence of MS patients in the workforce."
2023 Apr 3,Biology of sex differences,Biol Sex Differ. 2023 Apr 3;14(1):16. doi: 10.1186/s13293-023-00499-7.,"['Barha, Cindy K', 'Starkey, Samantha Y', 'Hsiung, G Y Robin', 'Tam, Roger', 'Liu-Ambrose, Teresa']","[' exercise genetics', 'humans', 'male', 'female', 'aged', 'middle aged', 'aged, 80 and over', ' polymorphism, genetic genetics', ' executive function physiology', 'sex factors', 'single-blind method', 'neuropsychological tests', 'genotype', ' brain-derived neurotrophic factor genetics', 'aerobic exercise', 'bdnf val66met polymorphism', 'executive function', 'randomized controlled trial', 'sex differences', 'vascular cognitive impairment']","Aerobic exercise improves executive functions in females, but not males, without the BDNF Val66Met polymorphism.","BACKGROUND: Aerobic exercise promotes cognitive function in older adults; however, variability exists in the degree of benefit. The brain-derived neurotropic factor (BDNF) Val66Met polymorphism and biological sex are biological factors that have been proposed as important modifiers of exercise efficacy. Therefore, we assessed whether the effect of aerobic exercise on executive functions was dependent on the BDNFval66met genotype and biological sex. METHODS: We used data from a single-blind randomized controlled trial in older adults with subcortical ischemic vascular cognitive impairment (NCT01027858). Fifty-eight older adults were randomly assigned to either the 6 months, three times per week progressive aerobic training (AT) group or the usual care plus education control (CON) group. The secondary aim of the parent study included executive functions which were assessed with the Trail Making Test (B-A) and the Digit Symbol Substitution Test at baseline and trial completion at 6 months. RESULTS: Analysis of covariance, controlling for baseline global cognition and baseline executive functions performance (Trail Making Test or Digit Symbol Substitution Test), tested the three-way interaction between experimental group (AT, CON), BDNFval66met genotype (Val/Val carrier, Met carrier), and biological sex (female, male). Significant three-way interactions were found for the Trail Making Test (F(1,48) = 4.412, p < 0.04) and Digit Symbol Substitution Test (F(1,47) = 10.833, p < 0.002). Posthoc analyses showed female Val/Val carriers benefited the most from 6 months of AT compared with CON for Trail Making Test and Digit Symbol Substitution Test performance. Compared with CON, AT did not improve Trail Making Test performance in male Val/Val carriers or Digit Symbol Substitution Test performance in female Met carriers. CONCLUSIONS: These results suggest that future randomized controlled trials should take into consideration BDNF genotype and biological sex to better understand the beneficial effects of AT on cognitive function in vascular cognitive impairment to maximize the beneficial effects of exercise and help establish exercise as medicine for cognitive health."
2023 Mar,Journal of neuroimaging : official journal of the American Society of ,J Neuroimaging. 2023 Mar;33(2):227-234. doi: 10.1111/jon.13069. Epub 2022 Nov 28.,"['Johnson, Poljanka', 'Vavasour, Irene M', 'Stojkova, Biljana Jonoska', 'Abel, Shawna', 'Lee, Lisa Eunyoung', 'Laule, Cornelia', 'Tam, Roger', 'Li, David K B', 'Ackermans, Nathalie', 'Schabas, Alice J', 'Chan, Jillian', 'Cross, Helen', 'Sayao, Ana-Luiza', 'Devonshire, Virginia', 'Carruthers, Robert', 'Traboulsee, Anthony', 'Kolind, Shannon H']","['humans', ' multiple sclerosis pathology', 'myelin sheath pathology', ' white matter pathology', 'magnetic resonance imaging methods', 'water', 'brain pathology', 'mri', 'demyelination', 'disability', 'multiple sclerosis', 'myelin water imaging', 'neuroimaging']",Myelin heterogeneity for assessing normal appearing white matter myelin damage in multiple sclerosis.,"BACKGROUND AND PURPOSE: Conventional MRI measures of multiple sclerosis (MS) disease severity, such as lesion volume and brain atrophy, do not provide information about microstructural tissue changes, which may be driving physical and cognitive progression. Myelin damage in normal-appearing white matter (NAWM) is likely an important contributor to MS disability. Myelin water fraction (MWF) provides quantitative measurements of myelin. Mean MWF reflects average myelin content, while MWF standard deviation (SD) describes variation in myelin within regions. The myelin heterogeneity index (MHI = SD/mean MWF) is a composite metric of myelin content and myelin variability. We investigated how mean MWF, SD, and MHI compare in differentiating MS from controls and their associations with physical and cognitive disability. METHODS: Myelin water imaging data were acquired from 91 MS participants and 31 healthy controls (HC). Segmented whole-brain NAWM and corpus callosum (CC) NAWM, mean MWF, SD, and MHI were compared between groups. Associations of mean MWF, SD, and MHI with Expanded Disability Status Scale and Symbol Digit Modalities Test were assessed. RESULTS: NAWM and CC MHI had the highest area under the curve: .78 (95% confidence interval ["
2022,Journal of Alzheimer's disease : JAD,J Alzheimers Dis. 2022;90(2):553-563. doi: 10.3233/JAD-220142.,"['Crockett, Rachel A', 'Hsu, Chun Liang', 'Dao, Elizabeth', 'Tam, Roger', 'Eng, Janice J', 'Handy, Todd C', 'Liu-Ambrose, Teresa']","['humans', 'female', 'aged', ' white matter diagnostic imaging pathology', ' resistance training', 'executive function physiology', 'accidental falls prevention & control', ' cognitive dysfunction pathology', 'magnetic resonance imaging', 'cognition physiology', 'cognition', 'executive functions', 'exercise', 'falls risk', 'functional connectivity', 'resistance training']",Weight for It: Resistance Training Mitigates White Matter Hyperintensity-Related Disruption to Functional Networks in Older Females.,"BACKGROUND: White matter hyperintensities (WMH) are associated with impaired cognition and increased falls risk. Resistance training (RT) is a promising intervention to reduce WMH progression, improve executive functions, and reduce falls. However, the underlying neurobiological process by which RT improves executive functions and falls risk remain unclear. We hypothesized that: 1) RT reduces the level of WMH-related disruption to functional networks; and 2) reduced disruption to the sensorimotor and attention networks will be associated with improved executive function and reduced falls risk. OBJECTIVE: Investigate the impact of 52 weeks of RT on WMH-related disruption to functional networks. METHODS: Thirty-two older females (65-75 years) were included in this exploratory analysis of a 52-week randomized controlled trial. Participants received either twice-weekly RT or balance and tone training (control). We used lesion network mapping to assess changes in WMH-related disruption to the sensorimotor, dorsal attention, and ventral attention networks. Executive function was measured using the Stroop Colour-Word Test. Falls risk was assessed using the Physiological Profile Assessment (PPA) and the foam sway test. RESULTS: RT significantly reduced the level of WMH-related disruption to the sensorimotor network (p = 0.012). Reduced disruption to the dorsal attention network was associated with improvements in Stroop performance (r = 0.527, p = 0.030). Reduced disruption to the ventral attention network was associated with reduced PPA score (r = 0.485, p = 0.049)Conclusion:RT may be a promising intervention to mitigate WMH-related disruption to the sensorimotor network. Additionally, reducing disruption to the dorsal and ventral attention networks may contribute to improved executive function and reduced falls risk respectively."
2022 Nov,Neurobiology of aging,Neurobiol Aging. 2022 Nov;119:56-66. doi: 10.1016/j.neurobiolaging.2022.03.020. ,"['Boa Sorte Silva, Nárlon C', 'Dao, Elizabeth', 'Hsu, Chun Liang', 'Tam, Roger C', 'Stein, Ryan', 'Alkeridy, Walid', 'Laule, Cornelia', 'Vavasour, Irene M', 'Liu-Ambrose, Teresa']","['aged', ' cerebral small vessel diseases complications diagnostic imaging', ' cognitive dysfunction complications etiology', 'cross-sectional studies', 'female', 'gait', 'humans', 'magnetic resonance imaging', 'male', 'myelin sheath', 'water', ' white matter diagnostic imaging', 'mobility', 'cerebrovascular disease', 'functional decline', 'white matter lesion']",Myelin Content and Gait Impairment in Older Adults with Cerebral Small Vessel Disease and Mild Cognitive Impairment.,"We investigated whether myelin is associated with gait parameters in older adults with cerebral small vessel disease (cSVD). Cross-sectional data from sixty-four participants with cSVD and mild cognitive impairment were analyzed. Myelin was assessed via MRI multi-echo gradient and spin echo T(2) relaxation sequence, indexed as myelin water fraction (MWF). Gait was assessed using an electronic walkway. Hierarchical regression models adjusting for total intracranial volume, age, sex, Mini-Mental State Examination, and body mass index were conducted to determine associations between MWF and gait parameters. Significant models were further adjusted for white matter hyperintensities. Sixty-four participants were included (mean [SD], age = 75.2y [5.4], 62.5% female). In adjusted models, lower MWF in the cingulum (p = 0.015), superior longitudinal fasciculus (p = 0.034), posterior corona radiata (p = 0.039), and body of the corpus callosum (p = 0.040) was associated with higher cycle time variability. White matter hyperintensities weakened these associations. Lower myelin in specific white matter tracts may contribute to higher gait variability, increasing the overall risk of mobility impairment."
2022,NeuroImage. Clinical,Neuroimage Clin. 2022;35:103109. doi: 10.1016/j.nicl.2022.103109. Epub 2022 Jul ,"['Kolind, Shannon', 'Abel, Shawna', 'Taylor, Carolyn', 'Tam, Roger', 'Laule, Cornelia', 'Li, David K B', 'Garren, Hideki', 'Gaetano, Laura', 'Bernasconi, Corrado', 'Clayton, David', 'Vavasour, Irene', 'Traboulsee, Anthony']","['antibodies, monoclonal, humanized', 'brain diagnostic imaging pathology', 'double-blind method', 'humans', 'interferon beta-1a analysis therapeutic use', 'magnetic resonance imaging methods', ' multiple sclerosis pathology', ' multiple sclerosis, relapsing-remitting diagnostic imaging drug', 'myelin sheath pathology', 'recurrence', 'water analysis', 'demyelination', 'interferon beta-1a', 'multiple sclerosis', 'myelin water imaging', 'ocrelizumab', 'remyelination']",Myelin water imaging in relapsing multiple sclerosis treated with ocrelizumab and interferon beta-1a.,"BACKGROUND: Myelin water imaging is a magnetic resonance imaging (MRI) technique ﻿that quantifies myelin damage and repair in multiple sclerosis (MS) via the myelin water fraction (MWF). OBJECTIVE: In this substudy of a phase 3 therapeutic trial, OPERA II, MWF was assessed in relapsing MS participants assigned to interferon beta-1a (IFNb-1a) or ocrelizumab (OCR) during a two-year double-blind period (DBP) followed by a two-year open label extension (OLE) with ocrelizumab treatment. METHODS: MWF in normal appearing white matter (NAWM), including both whole brain NAWM and 5 white matter structures, and chronic lesions, was assessed in 29 OCR and 26 IFNb-1a treated participants at weeks 0, 24, 48 and 96 (DBP), and weeks 144 and 192 (OLE), and in white matter for 23 healthy control participants at weeks 0, 48 and 96. RESULTS: Linear mixed-effects models of data from baseline to week 96 showed a difference in the change in MWF over time favouring ocrelizumab in all NAWM regions. At week 192, lesion MWF was lower for participants originally randomised to IFNb-1a compared to those originally randomised to OCR. Controls showed no change in MWF over 96 weeks in any region. CONCLUSION: Ocrelizumab appears to protect against demyelination in MS NAWM and chronic lesions and may allow for a more permissive micro environment for remyelination to occur in focal and diffusely damaged tissue."
