time,journal,doi_info,authors,key words,title,abstract
2024 Jun,Nature reviews. Molecular cell biology,Nat Rev Mol Cell Biol. 2024 Jun;25(6):488-509. doi: 10.1038/s41580-024-00700-8. ,"['S Mesquita, Francisco', 'Abrami, Laurence', 'Linder, Maurine E', 'Bamji, Shernaz X', 'Dickinson, Bryan C', 'van der Goot, F Gisou']","['humans', 'animals', 'acylation', ' protein processing, post-translational', 'signal transduction', 'lipoylation', 'proteins metabolism']",Mechanisms and functions of protein S-acylation.,"Over the past two decades, protein S-acylation (often referred to as S-palmitoylation) has emerged as an important regulator of vital signalling pathways. S-Acylation is a reversible post-translational modification that involves the attachment of a fatty acid to a protein. Maintenance of the equilibrium between protein S-acylation and deacylation has demonstrated profound effects on various cellular processes, including innate immunity, inflammation, glucose metabolism and fat metabolism, as well as on brain and heart function. This Review provides an overview of current understanding of S-acylation and deacylation enzymes, their spatiotemporal regulation by sophisticated multilayered mechanisms, and their influence on protein function, cellular processes and physiological pathways. Furthermore, we examine how disruptions in protein S-acylation are associated with a broad spectrum of diseases from cancer to autoinflammatory disorders and neurological conditions."
2023 Apr 1,Journal of cell science,J Cell Sci. 2023 Apr 1;136(7):jcs260629. doi: 10.1242/jcs.260629. Epub 2023 Apr ,"['Abazari, Danya', 'Wild, Angela R', 'Qiu, Tian', 'Dickinson, Bryan C', 'Bamji, Shernaz X']","['animals', 'rats', ' hippocampus metabolism', 'lipoylation', ' neurons metabolism', ' protein processing, post-translational', 'rats, sprague-dawley', 'signal transduction', 'chemical long-term potentiation', 'palmitoylation', 'post-translational modification', 'synapse activity', 'zdhhc enzymes']",Activity-dependent post-translational regulation of palmitoylating and depalmitoylating enzymes in the hippocampus.,"Activity-induced changes in protein palmitoylation can regulate the plasticity of synaptic connections, critically impacting learning and memory. Palmitoylation is a reversible post-translational modification regulated by both palmitoyl-acyl transferases that mediate palmitoylation and palmitoyl thioesterases that depalmitoylate proteins. However, it is not clear how fluctuations in synaptic activity can mediate the dynamic palmitoylation of neuronal proteins. Using primary hippocampal cultures, we demonstrate that synaptic activity does not impact the transcription of palmitoylating and depalmitoylating enzymes, changes in thioesterase activity, or post-translational modification of the depalmitoylating enzymes of the ABHD17 family and APT2 (also known as LYPLA2). In contrast, synaptic activity does mediate post-translational modification of the palmitoylating enzymes ZDHHC2, ZDHHC5 and ZDHHC9 (but not ZDHHC8) to influence protein-protein interactions, enzyme stability and enzyme function. Post-translational modifications of the ZDHHC enzymes were also observed in the hippocampus following fear conditioning. Taken together, our findings demonstrate that signaling events activated by synaptic activity largely impact activity of the ZDHHC family of palmitoyl-acyl transferases with less influence on the activity of palmitoyl thioesterases."
2023,Frontiers in physiology,Front Physiol. 2023 Jan 24;14:1110550. doi: 10.3389/fphys.2023.1110550. ,"['Wild, Angela R', 'Hogg, Peter W', 'Flibotte, Stephane', 'Kochhar, Shruti', 'Hollman, Rocio B', 'Haas, Kurt', 'Bamji, Shernaz X']","['rnaseq', 'zdhhc', 'cancer', 'cell line', 'depalmitoylating enzyme', 'expression', 'human', 'palmitoylation']",CellPalmSeq: A curated RNAseq database of palmitoylating and de-palmitoylating enzyme expression in human cell types and laboratory cell lines.,"The reversible lipid modification protein S-palmitoylation can dynamically modify the localization, diffusion, function, conformation and physical interactions of substrate proteins. Dysregulated S-palmitoylation is associated with a multitude of human diseases including brain and metabolic disorders, viral infection and cancer. However, the diverse expression patterns of the genes that regulate palmitoylation in the broad range of human cell types are currently unexplored, and their expression in commonly used cell lines that are the workhorse of basic and preclinical research are often overlooked when studying palmitoylation dependent processes. We therefore created CellPalmSeq (https://cellpalmseq.med.ubc.ca), a curated RNAseq database and interactive webtool for visualization of the expression patterns of the genes that regulate palmitoylation across human single cell types, bulk tissue, cancer cell lines and commonly used laboratory non-human cell lines. This resource will allow exploration of these expression patterns, revealing important insights into cellular physiology and disease, and will aid with cell line selection and the interpretation of results when studying important cellular processes that depend on protein S-palmitoylation."
2022 Dec 6,Science signaling,Sci Signal. 2022 Dec 6;15(763):eadd2519. doi: 10.1126/scisignal.add2519. Epub ,"['Nasseri, Glory G', 'Matin, Nusrat', 'Wild, Angela R', 'Tosefsky, Kira', 'Flibotte, Stephane', 'Stacey, R Greg', 'Hollman, Rocio B', 'Foster, Leonard J', 'Bamji, Shernaz X']","['animals', 'male', 'mice', 'rats', ' hippocampus']",Synaptic activity-dependent changes in the hippocampal palmitoylome.,"Dynamic protein S-palmitoylation is critical for neuronal function, development, and synaptic plasticity. Synaptic activity-dependent changes in palmitoylation have been reported for a small number of proteins. Here, we characterized the palmitoylome in the hippocampi of male mice before and after context-dependent fear conditioning. Of the 121 differentially palmitoylated proteins identified, just over half were synaptic proteins, whereas others were associated with metabolic functions, cytoskeletal organization, and signal transduction. The synapse-associated proteins generally exhibited increased palmitoylation after fear conditioning. In contrast, most of the proteins that exhibited decreased palmitoylation were associated with metabolic processes. Similar results were seen in cultured rat hippocampal neurons in response to chemically induced long-term potentiation. Furthermore, we found that the palmitoylation of one of the synaptic proteins, plasticity-related gene-1 (PRG-1), also known as lipid phosphate phosphatase-related protein type 4 (LPPR4), was important for synaptic activity-induced insertion of α-amino-3-hydroxy-5-methyl-4-isoxazolepropionic acid receptors (AMPARs) into the postsynaptic membrane. The findings identify proteins whose dynamic palmitoylation may regulate their role in synaptic plasticity, learning, and memory."
2022 Jul 12,eLife,Elife. 2022 Jul 12;11:e75804. doi: 10.7554/eLife.75804.,"['Wild, Angela R', 'Hogg, Peter W', 'Flibotte, Stephane', 'Nasseri, Glory G', 'Hollman, Rocio B', 'Abazari, Danya', 'Haas, Kurt', 'Bamji, Shernaz X']","['acyltransferases metabolism', 'animals', 'brain metabolism', ' lipoylation', 'mice', 'protein processing, post-translational', ' proteins metabolism', 'rna-seq', 'rnaseq', 'zdhhc enzymes', 'brain', 'database', 'expression patterns', 'human', 'mouse', 'neuroscience', 'palmitoylation']",Exploring the expression patterns of palmitoylating and de-palmitoylating enzymes in the mouse brain using the curated RNA-seq database BrainPalmSeq.,"Protein S-palmitoylation is a reversible post-translational lipid modification that plays a critical role in neuronal development and plasticity, while dysregulated S-palmitoylation underlies a number of severe neurological disorders. Dynamic S-palmitoylation is regulated by a large family of ZDHHC palmitoylating enzymes, their accessory proteins, and a small number of known de-palmitoylating enzymes. Here, we curated and analyzed expression data for the proteins that regulate S-palmitoylation from publicly available RNAseq datasets, providing a comprehensive overview of their distribution in the mouse nervous system. We developed a web-tool that enables interactive visualization of the expression patterns for these proteins in the nervous system (http://brainpalmseq.med.ubc.ca/), and explored this resource to find region and cell-type specific expression patterns that give insight into the function of palmitoylating and de-palmitoylating enzymes in the brain and neurological disorders. We found coordinated expression of ZDHHC enzymes with their accessory proteins, de-palmitoylating enzymes and other brain-expressed genes that included an enrichment of S-palmitoylation substrates. Finally, we utilized ZDHHC expression patterns to predict and validate palmitoylating enzyme-substrate interactions."
2022 Jun 6,eLife,Elife. 2022 Jun 6;11:e64742. doi: 10.7554/eLife.64742.,"['Dhume, Shreya H', 'Connor, Steven A', 'Mills, Fergil', 'Tari, Parisa Karimi', 'Au-Yeung, Sarah H M', 'Karimi, Benjamin', 'Oku, Shinichiro', 'Roppongi, Reiko T', 'Kawabe, Hiroshi', 'Bamji, Shernaz X', 'Wang, Yu Tian', 'Brose, Nils', 'Jackson, Michael F', 'Craig, Ann Marie', 'Siddiqui, Tabrez J']","['animals', 'hippocampus physiology', 'long-term potentiation physiology', 'membrane proteins  metabolism', 'mice', 'nerve tissue proteins  metabolism', ' neural cell adhesion molecules metabolism', 'synapses physiology', 'lrrtms', 'cognition', 'hippocampus', 'mouse', 'neuroscience', 'synapse development', 'synapse organization', 'synaptic plasticity']",Distinct but overlapping roles of LRRTM1 and LRRTM2 in developing and mature hippocampal circuits.,"LRRTMs are postsynaptic cell adhesion proteins that have region-restricted expression in the brain. To determine their role in the molecular organization of synapses in vivo, we studied synapse development and plasticity in hippocampal neuronal circuits in mice lacking both Lrrtm1 and Lrrtm2. We found that LRRTM1 and LRRTM2 regulate the density and morphological integrity of excitatory synapses on CA1 pyramidal neurons in the developing brain but are not essential for these roles in the mature circuit. Further, they are required for long-term-potentiation in the CA3-CA1 pathway and the dentate gyrus, and for enduring fear memory in both the developing and mature brain. Our data show that LRRTM1 and LRRTM2 regulate synapse development and function in a cell-type and developmental-stage-specific manner, and thereby contribute to the fine-tuning of hippocampal circuit connectivity and plasticity."
2021 May 1,Journal of cell science,J Cell Sci. 2021 May 1;134(9):jcs254276. doi: 10.1242/jcs.254276. Epub 2021 May ,"['Shimell, Jordan J', 'Globa, Andrea', 'Sepers, Marja D', 'Wild, Angela R', 'Matin, Nusrat', 'Raymond, Lynn A', 'Bamji, Shernaz X']","[' acyltransferases genetics metabolism', 'animals', 'cell membrane metabolism', 'hippocampus metabolism', 'humans', 'lipoylation', 'mice', ' synapses metabolism', 'hippocampus', 'lipid', 'palmitate', 'palmitoyl acyltransferase', 'palmitoylation', 'synapse']",Regulation of hippocampal excitatory synapses by the Zdhhc5 palmitoyl acyltransferase.,"Palmitoylation is the most common post-translational lipid modification in the brain; however, the role of palmitoylation and palmitoylating enzymes in the nervous system remains elusive. One of these enzymes, Zdhhc5, has previously been shown to regulate synapse plasticity. Here, we report that Zdhhc5 is also essential for the formation of excitatory, but not inhibitory, synapses both in vitro and in vivo. We demonstrate in vitro that this is dependent on the enzymatic activity of Zdhhc5, its localization at the plasma membrane and its C-terminal domain, which has been shown to be truncated in a patient with schizophrenia. Loss of Zdhhc5 in mice results in a decrease in the density of excitatory hippocampal synapses accompanied by alterations in membrane capacitance and synaptic currents, consistent with an overall decrease in spine number and silent synapses. These findings reveal an important role for Zdhhc5 in the formation and/or maintenance of excitatory synapses."
2020 Apr 29,Nature communications,Nat Commun. 2020 Apr 29;11(1):2073. doi: 10.1038/s41467-020-15943-0.,"['Post, Kathryn L', 'Belmadani, Manuel', 'Ganguly, Payel', 'Meili, Fabian', 'Dingwall, Riki', 'McDiarmid, Troy A', 'Meyers, Warren M', 'Herrington, Caitlin', 'Young, Barry P', 'Callaghan, Daniel B', 'Rogic, Sanja', 'Edwards, Matthew', 'Niciforovic, Ana', 'Cau, Alessandro', 'Rankin, Catharine H', ""O'Connor, Timothy P"", 'Bamji, Shernaz X', 'Loewen, Christopher J R', 'Allan, Douglas W', 'Pavlidis, Paul', 'Haas, Kurt']","['animals', 'behavior, animal', 'caenorhabditis elegans physiology', 'cells, cultured', 'dendrites physiology', 'disease  genetics', 'drosophila genetics growth & development', 'enzyme assays', 'hek293 cells', 'humans', ' models, genetic', 'mutation, missense  genetics', 'neoplasms genetics', 'nervous system growth & development', 'pten phosphohydrolase  genetics', 'phosphorylation', 'protein stability', 'proto-oncogene proteins c-akt metabolism', 'pyramidal cells metabolism', 'rats, sprague-dawley', 'saccharomyces cerevisiae metabolism']",Multi-model functionalization of disease-associated PTEN missense mutations identifies multiple molecular mechanisms underlying protein dysfunction.,"Functional variomics provides the foundation for personalized medicine by linking genetic variation to disease expression, outcome and treatment, yet its utility is dependent on appropriate assays to evaluate mutation impact on protein function. To fully assess the effects of 106 missense and nonsense variants of PTEN associated with autism spectrum disorder, somatic cancer and PTEN hamartoma syndrome (PHTS), we take a deep phenotypic profiling approach using 18 assays in 5 model systems spanning diverse cellular environments ranging from molecular function to neuronal morphogenesis and behavior. Variants inducing instability occur across the protein, resulting in partial-to-complete loss-of-function (LoF), which is well correlated across models. However, assays are selectively sensitive to variants located in substrate binding and catalytic domains, which exhibit complete LoF or dominant negativity independent of effects on stability. Our results indicate that full characterization of variant impact requires assays sensitive to instability and a range of protein functions."
2019 Nov 19,Cell reports,Cell Rep. 2019 Nov 19;29(8):2422-2437.e8. doi: 10.1016/j.celrep.2019.10.065.,"['Shimell, Jordan J', 'Shah, Bhavin S', 'Cain, Stuart M', 'Thouta, Samrat', 'Kuhlmann, Naila', 'Tatarnikov, Igor', 'Jovellar, D Blair', 'Brigidi, G Stefano', 'Kass, Jennifer', 'Milnerwood, Austen J', 'Snutch, Terrance P', 'Bamji, Shernaz X']","['acyltransferases genetics  metabolism', 'animals', 'cells, cultured', 'dendrites  metabolism', 'epilepsy genetics metabolism', 'genes, x-linked genetics  physiology', 'hippocampus metabolism', 'humans', 'intellectual disability genetics  metabolism', 'lipoylation genetics physiology', 'mice', 'mice, knockout', 'synapses genetics  metabolism', 'ras proteins metabolism', 'rho gtp-binding proteins genetics metabolism', 'ras gtpase', 'tc10 gtpase', 'x-linked intellectual disability', 'zdhhc9', 'dendrite growth', 'dendrite retraction', 'epilepsy', 'hippocampal culture', 'neuron morphology', 'palmitoylation', 'synapse']",The X-Linked Intellectual Disability Gene Zdhhc9 Is Essential for Dendrite Outgrowth and Inhibitory Synapse Formation.,"Palmitoylation is a reversible post-translational lipid modification that facilitates vesicular transport and subcellular localization of modified proteins. This process is catalyzed by ZDHHC enzymes that are implicated in several neurological and neurodevelopmental disorders. Loss-of-function mutations in ZDHHC9 have been identified in patients with X-linked intellectual disability (XLID) and associated with increased epilepsy risk. Loss of Zdhhc9 function in hippocampal cultures leads to shorter dendritic arbors and fewer inhibitory synapses, altering the ratio of excitatory-to-inhibitory inputs formed onto Zdhhc9-deficient cells. While Zdhhc9 promotes dendrite outgrowth through the palmitoylation of the GTPase Ras, it promotes inhibitory synapse formation through the palmitoylation of another GTPase, TC10. Zdhhc9 knockout mice exhibit seizure-like activity together with increased frequency and amplitude of both spontaneous and miniature excitatory and inhibitory postsynaptic currents. These findings present a plausible mechanism for how the loss of ZDHHC9 function may contribute to XLID and epilepsy."
2019 Jul 5,Journal of cell science,J Cell Sci. 2019 Jul 5;132(13):jcs230052. doi: 10.1242/jcs.230052.,"['Shah, Bhavin S', 'Shimell, Jordan J', 'Bamji, Shernaz X']","['acyltransferases genetics  physiology', 'animals', 'dna-binding proteins  metabolism', 'dendrites  metabolism', 'dendritic spines metabolism', 'disks large homolog 4 protein metabolism', 'golgi apparatus metabolism', 'hek293 cells', 'hippocampus metabolism', 'humans', 'mice', 'rats, sprague-dawley', 'synapses  metabolism', 'dlg4', 'dendrite morphology', 'excitatory synapses', 'psd-95', 'palmitoyl transferases', 'palmitoylation', 'zdhhc15']",Regulation of dendrite morphology and excitatory synapse formation by zDHHC15.,"Protein palmitoylation is the most common post-translational lipid modification in the brain and is mediated by a family of 24 zDHHC enzymes. There has been growing interest in zDHHCs due to mounting evidence that these enzymes play key roles in the development and function of neuronal connections, and the fact that a number of zDHHCs have been associated with neurodevelopmental and neurodegenerative diseases. Loss-of-function variants in several zDHHCs, including zDHHC15, have been identified in patients with intellectual disabilities; however, the function of zDHHC15 in the brain has not been well studied. Here, we demonstrate that knocking down zDHHC15 in primary rat hippocampal cultures reduces dendritic outgrowth and arborization, as well as spine maturation. Moreover, knockdown of zDHHC15 reduces palmitoylation of PSD-95 and its trafficking into dendrites, resulting in an overall decrease in the density of excitatory synapses being formed onto mutant cells."
