time,journal,doi_info,authors,key words,title,abstract
2024 Mar 1,Biomedical optics express,Biomed Opt Express. 2024 Feb 22;15(3):1813-1814. doi: 10.1364/BOE.521511. ,"['Tang, Shuo', 'Elson, Daniel', 'Durr, Nicholas']",[],Novel Techniques in Microscopy: introduction to the feature issue.,"The editors introduce the feature issue on ""Novel Techniques in Microscopy,"" which was the topic of a symposium held on April 24-27, 2023, in Vancouver, BC. This symposium was part of the Optics in the Life Sciences Congress."
2024 Jan 1,Biomedical optics express,Biomed Opt Express. 2023 Dec 6;15(1):114-130. doi: 10.1364/BOE.504550. ,"['Wu, Wentao', 'Brandt, Christoph', 'Zhou, Xin', 'Tang, Shuo']",[],Label-free multimodal imaging with simultaneous two-photon and three-photon microscopy and kernel-based nonlinear scaling denoising.,"We report on a compact multimodal imaging system that can acquire two-photon microscopy (2PM) and three-photon microscopy (3PM) images simultaneously. With dual excitation wavelengths, multiple contrasts including two-photon-excitation-fluorescence (2PEF), second harmonic generation (SHG), and third harmonic generation (THG) are acquired simultaneously from cells, collagen fibers, and interfaces, all label-free. Challenges related to the excitation by two wavelengths and the effective separation of 2PM and 3PM signals are discussed and addressed. The data processing challenge where multiple contrasts can have significantly varying signal levels is also addressed. A kernel-based nonlinear scaling (KNS) denoising method is introduced to reduce noise from ultra-low signal images and generate high-quality multimodal images. Simultaneous 2PM and 3PM imaging is demonstrated on various tissue samples. The simultaneous acquisition speeds up the imaging process and minimizes the commonly encountered problem of motion artifacts and mechanical drift in sequential acquisition. Multimodal imaging with simultaneous 2PM and 3PM will have great potential for label-free in-vivo imaging of biological tissues."
2022 May 1,Biomedical optics express,Biomed Opt Express. 2022 Apr 11;13(5):2754-2771. doi: 10.1364/BOE.456390. ,"['Wu, Wentao', 'Liu, Qihao', 'Brandt, Christoph', 'Tang, Shuo']",[],Dual-wavelength multimodal multiphoton microscope with SMA-based depth scanning.,"We report on a multimodal multiphoton microscopy (MPM) system with depth scanning. The multimodal capability is realized by an Er-doped femtosecond fiber laser with dual output wavelengths of 1580 nm and 790 nm that are responsible for three-photon and two-photon excitation, respectively. A shape-memory-alloy (SMA) actuated miniaturized objective enables the depth scanning capability. Image stacks combined with two-photon excitation fluorescence (TPEF), second harmonic generation (SHG), and third harmonic generation (THG) signals have been acquired from animal, fungus, and plant tissue samples with a maximum depth range over 200 µm."
2021 Sep,Journal of biomedical optics,J Biomed Opt. 2021 Sep;26(9):096009. doi: 10.1117/1.JBO.26.9.096009.,"['Ai, Min', 'Cheng, Jiayi', 'Karimi, Davood', 'Salcudean, Septimiu E', 'Rohling, Robert', 'Abolmaesumi, Purang', 'Tang, Shuo']","['algorithms', 'artifacts', 'phantoms, imaging', ' photoacoustic techniques', 'tomography', 'tomography, x-ray computed', 'iterative reconstruction', 'linear array transducer', 'photoacoustic tomography']",Investigation of photoacoustic tomography reconstruction with a limited view from linear array.,"SIGNIFICANCE: As linear array transducers are widely used in clinical ultrasound imaging, photoacoustic tomography (PAT) with linear arrays is similarly suitable for clinical applications. However, due to the limited-view problem, a linear array has limited performance and leads to artifacts and blurring, which has hindered its broader application. There is a need to address the limited-view problem in PAT imaging with linear arrays. AIM: We investigate potential approaches for improving PAT reconstruction from linear array, by optimizing the detection geometry and implementing iterative reconstruction. APPROACH: PAT imaging with a single-array, dual-probe configurations in parallel-shape and L-shape, and square-shape configuration are compared in simulations and phantom experiments. An iterative model-based algorithm based on the variance-reduced stochastic gradient descent (VR-SGD) method is implemented. The optimum configuration found in simulation is validated on phantom experiments. RESULTS: PAT imaging with dual-probe detection and VR-SGD algorithm is found to improve the limited-view problem compared to a single probe and provide comparable performance as full-view geometry in simulation. This configuration is validated in experiments where more complete structure is obtained with reduced artifacts compared with a single array. CONCLUSIONS: PAT with dual-probe detection and iterative reconstruction is a promising solution to the limited-view problem of linear arrays."
2021 Aug 1,Biomedical optics express,Biomed Opt Express. 2021 Jul 20;12(8):5073-5088. doi: 10.1364/BOE.424709. ,"['Zhou, Xin', 'Maloufi, Sina', 'Louie, Daniel C', 'Zhang, Ning', 'Liu, Qihao', 'Lee, Tim K', 'Tang, Shuo']",[],Investigating the depolarization property of skin tissue by degree of polarization uniformity contrast using polarization-sensitive optical coherence tomography.,"The depolarization property of skin has been found to be important for skin cancer detection. Previous techniques based on light polarization lack the capability of depth differentiation. Polarization-sensitive optical coherence tomography (PS-OCT) has the advantage of both depth-resolved 3D imaging and high sensitivity to polarization. In this study, we investigate the depolarization property of skin tissue using PS-OCT, especially with the degree of polarization uniformity (DOPU) contrast. Well designed skin phantoms with various surface roughness levels and optical properties mimicking skin are imaged by PS-OCT and the DOPU values are quantified. The result shows a correlation between DOPU and surface roughness, where a higher roughness corresponds to a lower DOPU value. An index matching experiment with a water layer confirms the impact of surface condition on light depolarization. Refraction of backscattered photons on the surface boundary is attributed to the broadening of backscattering angle and thus depolarization. To the best of our knowledge, this is the first time the impact of surface roughness on DOPU is reported and its mechanism explained. Furthermore, through preliminary in vivo skin imaging, the capability of DOPU in detecting depolarization in skin is demonstrated. By utilizing the 3D imaging from PS-OCT, DOPU can offer a high-resolution depth differentiation and quantification of depolarization in skin tissue."
2021 Feb,Tissue engineering and regenerative medicine,Tissue Eng Regen Med. 2021 Feb;18(1):81-87. doi: 10.1007/s13770-020-00323-y. Epub ,"['Xin, Zhou', 'Kim, Sung Won', 'Oak, Chulho', 'Kwon, Daa Young', 'Choi, Jin Hyuk', 'Ko, Taek Yong', 'Kim, Jun Hyeong', 'Tang, Shuo', 'Ahn, Yeh-Chan']","['animals', 'birefringence', 'collagen', ' laryngeal neoplasms diagnostic imaging', 'rabbits', ' tomography, optical coherence', 'vocal cords diagnostic imaging', 'biomedical engineering', 'birefringence', 'collagen', 'laryngeal cancer', 'optical tomography']",Investigation of the Clinical Potential of Polarization-Sensitive Optical Coherence Tomography in a Laryngeal Tumor Model.,"BACKGROUND: The vocal cord tissue consists of three anatomical layers from the surface to deep inside: the epithelium that contains almost no collagen, the lamina propria that is composed of abundant collagen, and the vocalis muscle layer. It is clinically important to visualize the tissue microstructure using a non-invasive method, especially in the case of vocal cord nodules or cancer, since histological changes in each layer of the vocal cord cause changes in the voice. Polarization-sensitive optical coherence tomography (PS-OCT) enables phase retardation measurement to evaluate birefringence of tissue with varied organization of collagen fibers in different tissue layers. Therefore, PS-OCT can visualize structural changes between normal and abnormal vocal cord tissue. METHOD: A rabbit laryngeal tumor model with different stages of tumor progression was investigated ex-vivo by PS-OCT. A phase retardation slope-based analysis, which quantifies the birefringence in different layers, was conducted to distinguish the epithelium, lamina propria, and muscle layers. RESULTS: The PS-OCT images showed a gradual decrease in birefringence from normal tissue to advanced tumor tissue. The quantitative analysis provided a more detailed comparison among different stages of the rabbit laryngeal tumor model, which was validated by the corresponding histological findings. CONCLUSION: Differences in tissue birefringence was evaluated by PS-OCT phase retardation measurement. It is also possible to indirectly infer the dysplastic changes based on the mucosal and submucosal alterations."
2021 Feb,Tissue engineering and regenerative medicine,Tissue Eng Regen Med. 2021 Feb;18(1):61-69. doi: 10.1007/s13770-020-00318-9. Epub ,"['Park, Jung-Eun', 'Xin, Zhou', 'Kwon, Daa Young', 'Kim, Sung Won', 'Lee, Haeyoung', 'Jung, Min-Jung', 'Tang, Shuo', 'Ko, Taek Yong', 'Choi, Jin Hyuk', 'Kim, Jun Hyeong', 'Ahn, Yeh-Chan', 'Oak, Chulho']","['animals', 'male', ' neoplasms', 'rabbits', 'refraction, ocular', ' tomography, optical coherence', 'optical coherence tomography', 'polarization sensitive', 'subpleural cancer']",Application of Polarization Sensitive-Optical Coherence Tomography to the Assessment of Phase Retardation in Subpleural Cancer in Rabbits.,"BACKGROUND: Polarization sensitive-optical coherence tomography (PS-OCT) provides the unique advantage of being able to measure the optical characteristics of tissues by using polarized light. Although the well-organized fibers of healthy muscle can change the polarization states of passing light, damaged tissue has different behaviors. There are studies on optical imaging methods applied to the respiratory organs; however, they are restricted to structural imaging. In particular, the intercostal muscle situated under the pleura is very challenging to visualize due to the difficulty of access. METHOD: In this study, PS-OCT was used to identify subpleural cancer in male New Zealand white rabbits (3.2-3.4 kg) and to assess the phase retardation changes in normal and cancerous chest walls. VX2 cell suspension was injected between the intercostal muscle and parietal pleura and a tented area was observed by thoracic scope. A group of rabbits (n = 3) were sacrificed at day 7 after injection and another group (n = 3) at day 14. RESULTS: In the PS-OCT images, pleura thickness changes and muscle damage were criteria to understand the stages of the disease. The results of image and phase retardation analysis matched well with the pathologic examinations. CONCLUSION: We were able to visualize and analyze subpleural cancer by PS-OCT, which provided structural and functional information. The measured phase retardation could help to identify the margin of the tumor. For further studies, various approaches into other diseases using polarization light are expected to have positive results."
2020 May 1,Biomedical optics express,Biomed Opt Express. 2020 Apr 27;11(5):2745-2760. doi: 10.1364/BOE.387242. ,"['Zhou, Xin', 'Eltit, Felipe', 'Yang, Xiao', 'Maloufi, Sina', 'Alousaimi, Hanadi', 'Liu, Qihao', 'Huang, Lin', 'Wang, Rizhi', 'Tang, Shuo']",[],Detecting human articular cartilage degeneration in its early stage with polarization-sensitive optical coherence tomography.,"Detecting articular cartilage (AC) degeneration in its early stage plays a critical role in the diagnosis and treatment of osteoarthritis (OA). Polarization-sensitive optical coherence tomography (PS-OCT) is sensitive to the alteration and disruption of collagen organization that happens during OA progression. This study proposes an effective OA evaluating method based on PS-OCT imaging. A slope-based analysis is applied on the phase retardation images to segment articular cartilage into three zones along the depth direction. The boundaries and birefringence coefficients (BRCs) of each zone are quantified. Two parameters, namely phase homogeneity index (PHI) and zonal distinguishability (Dz), are further developed to quantify the fluctuation within each zone and the zone-to-zone variation of the tissue birefringence properties. The PS-OCT based evaluating method then combines PHI and Dz to provide a G (PS) score for the severity of OA. The proposed method is applied to human hip joint samples and the results are compared with the grading by histology images. The G (PS) score shows very strong statistical significance in differentiating different stages of OA. Compared to using the BRC of each zone or a single BRC for the entire depth, the G (PS) score shows great improvement in differentiating early-stage OA. The proposed method is shown to have great potential to be developed as a clinical tool for detecting OA."
2020 Feb 1,Biomedical optics express,Biomed Opt Express. 2020 Jan 6;11(2):624-635. doi: 10.1364/BOE.381473. ,"['Huang, Lin', 'Zhou, Xin', 'Liu, Qihao', 'MacAulay, Calum E', 'Tang, Shuo']",[],Miniaturized multimodal multiphoton microscope for simultaneous two-photon and three-photon imaging with a dual-wavelength Er-doped fiber laser.,"A multimodal multiphoton microscopy (MPM) is developed to acquire both two-photon microscopy (2PM) and three-photon microscopy (3PM) signals. A dual-wavelength Er-doped fiber laser is used as the light source, which provides the fundamental pulse at 1580 nm to excite third harmonic generation (THG) and the frequency-doubled pulse at 790 nm to excite intrinsic two-photon excitation fluorescence (TPEF) and second harmonic generation (SHG). Due to their different contrast mechanisms, the TPEF, SHG, and THG images can acquire complementary information about tissues, including cells, collagen fibers, lipids, and interfaces, all label-free. The compact MPM imaging probe is developed using miniature objective lens and a micro-electro-mechanical scanner. Furthermore, the femtosecond laser pulses are delivered by a single mode fiber and the signals are collected by a multimode fiber, which makes the miniaturized MPM directly fiber-coupled, compact, and portable. Design considerations on using the dual excitation wavelengths are discussed. Multimodal and label-free imaging by TPEF, SHG, and THG are demonstrated on biological samples. The miniaturized multimodal MPM is shown to have great potential for label-free imaging of thick and live tissues."
2019 May 1,Biomedical optics express,Biomed Opt Express. 2019 Apr 26;10(5):2588-2605. doi: 10.1364/BOE.10.002588. ,"['Ai, Min', 'Youn, Jong-In', 'Salcudean, Septimiu E', 'Rohling, Robert', 'Abolmaesumi, Purang', 'Tang, Shuo']",[],Photoacoustic tomography for imaging the prostate: a transurethral illumination probe design and application.,"In vivo imaging of prostate cancer with photoacoustic tomography is currently limited by the lack of sufficient local fluence for deep tissue penetration and the risk of over-irradiation near the laser-tissue contact surface. We propose the design of a transurethral illumination probe that addresses those limitations. A high energy of 50 mJ/pulse is coupled into a 1000-µm-core diameter multimode fiber. A 2 cm diffusing end is fabricated, which delivers light in radial illumination. The radial illumination is then reflected and reshaped by a parabolic cylindrical mirror to obtain nearly parallel side illumination with a doubled fluence. The fiber assembly is housed in a 25 Fr cystoscope sheath to provide protection of the fiber and maintain a minimal laser-tissue contact distance of 5 mm. A large laser-tissue contact surface area of 4 cm(2) is obtained and the fluence on the tissue surface is kept below the maximum permissible exposure. By imaging a prostate mimicking phantom, a penetration depth of 3.5 cm at 10 mJ/cm(2) fluence and 700 nm wavelength is demonstrated. The results indicate that photoacoustic tomography with the proposed transurethral probe has the potential to image the entire prostate while satisfying the fluence maximum permissible exposure and delivering a high power to the tissue."
