time,journal,doi_info,authors,key words,title,abstract
2024 Apr 13,Biomechanics and modeling in mechanobiology,Biomech Model Mechanobiol. 2024 Apr 13. doi: 10.1007/s10237-024-01841-7.,"['Huang, Yun-Han', 'Vaez Ghaemi, Roza', 'Cheon, James', 'Yadav, Vikramaditya G', 'Frostad, John M']","['cantilevered-capillary force apparatus', 'chemical stimulation', 'microparticle', 'neurospheres', 'soft matter']",The mechanical effects of chemical stimuli on neurospheres.,"The formulation of more accurate models to describe tissue mechanics necessitates the availability of tools and instruments that can precisely measure the mechanical response of tissues to physical loads and other stimuli. In this regard, neuroscience has trailed other life sciences owing to the unavailability of representative live tissue models and deficiency of experimentation tools. We previously addressed both challenges by employing a novel instrument called the cantilevered-capillary force apparatus (CCFA) to elucidate the mechanical properties of mouse neurospheres under compressive forces. The neurospheres were derived from murine stem cells, and our study was the first of its kind to investigate the viscoelasticity of living neural tissues in vitro. In the current study, we demonstrate the utility of the CCFA as a broadly applicable tool to evaluate tissue mechanics by quantifying the effect that oxidative stress has on the mechanical properties of neurospheres. We treated mouse neurospheres with non-cytotoxic levels of hydrogen peroxide and subsequently evaluated the storage and loss moduli of the tissues under compression and tension. We observed that the neurospheres exhibit viscoelasticity consistent with neural tissue and show that elastic modulus decreases with increasing size of the neurosphere. Our study yields insights for establishing rheological measurements as biomarkers by laying the groundwork for measurement techniques and showing that the influence of a particular treatment may be misinterpreted if the size dependence is ignored."
2024 Feb,Biochemical genetics,Biochem Genet. 2024 Feb;62(1):413-435. doi: 10.1007/s10528-023-10428-3. Epub 2023 ,"['Kaur, Arshpreet', 'Yadav, Vikramaditya G', 'Pawar, Sandip V', 'Sembi, Jaspreet K']","[' phenylalanine ammonia-lyase genetics chemistry metabolism', 'secondary metabolism', 'phylogeny', ' transcriptome', 'sequence alignment', 'orchids', 'phenylalanine ammonia lyase', 'phenylpropanoids', 'secondary metabolism']",Insights to Phenylalanine Ammonia Lyase (PAL) and Secondary Metabolism in Orchids: An in silico Approach.,"The phenylalanine ammonia lyase (PAL) catalyses the first step of phenylpropanoid metabolic pathway which leads to the biosynthesis of a diverse group of secondary metabolites. Orchids serve as a rich source of metabolites and the availability of genome or transcriptome for selected orchid species provides an opportunity to analyse the PAL genes in orchids. In the present study, 21 PAL genes were characterized using bioinformatics tools in nine orchid species (Apostasia shenzhenica, Cypripedium formosanum, Dendrobium catenatum, Phalaenopsis aphrodite, Phalaenopsis bellina, Phalaenopsis equestris, Phalaenopsis lueddemanniana, Phalaenopsis modesta and Phalaenopsis schilleriana). Multiple sequence alignment confirmed the presence of PAL-specific conserved domains (N-terminal, MIO, core, shielding and C-terminal domain). All these proteins were predicted to be hydrophobic in nature and to have cytoplasmic localisation. Structural modelling depicted the presence of alpha helices, extended strands, beta turns and random coils in their structure. Ala-Ser-Gly triad known for substrate binding and catalysis of MIO-domain was found to be completely conserved in all the proteins. Phylogenetic study showed that the PALs of pteridophytes, gymnosperms and angiosperms clustered together in separate clades. Expression profiling showed tissue-specific expression for all the 21 PAL genes in the various reproductive and vegetative tissues which suggested their diverse role in growth and development. This study provides insights to the molecular characterization of PAL genes which may help in developing biotechnological strategies to enhance the synthesis of phenylpropanoids in orchids and other heterologous systems for pharmaceutical applications."
2023 Feb 28,International journal of biological macromolecules,Int J Biol Macromol. 2023 Feb 28;229:684-695. doi: ,"['Pathania, Khushboo', 'Sah, Sangeeta P', 'Salunke, Deepak B', 'Jain, Manish', 'Yadav, Ashok Kumar', 'Yadav, Vikramaditya G', 'Pawar, Sandip V']","['humans', 'female', 'methotrexate chemistry', 'lignin', ' nanoparticles chemistry', 'drug delivery systems methods', ' breast neoplasms drug therapy', 'polymers', 'biovalorization', 'chemotherapy', 'lignin', 'magnetic nanoparticles', 'targeted drug delivery', 'theranostics']",Green synthesis of lignin-based nanoparticles as a bio-carrier for targeted delivery in cancer therapy.,"Polymeric magnetic nanoparticles have shown higher efficacy in cancer diagnosis and treatment than conventional chemotherapies. Lignin is an abundantly available natural polymer that can be selectively modified using a rapidly expanding toolkit of biocatalytic and chemical reactions to yield 'intelligent' theranostic-nanoprobes. We aim to valorize lignin to develop a natural polymeric-magnetic-nano-system for the targeted delivery of methotrexate. In the current study, we synthesized nanoparticles of lignin and iron oxide with methotrexate using a new approach of anti-solvent precipitation with ultrasonication. The ensuing nanoparticles are magnetic, smooth, polyhedral with characteristic dimension of 110-130 nm. The drug loading and encapsulation efficiencies were calculated to be 66.06 % and 64.88 %, respectively. The nanoparticles exhibit a concentration-dependent release of methotrexate for the initial 24 h, followed by sustained release. Moreover, formulation is non-hemolytic and scavenges radicals owing to the antioxidant property of lignin. Additionally, methotrexate delivered using the nanoparticles exhibited higher cytotoxicity in cellular-viability assays employing breast cancer and macrophage cell lines compared to the pure form of the drug. Synergistic action of lignin, iron oxide, and methotrexate contribute to enhanced caspase-3 activity and reduced glutathione levels in the breast cancer cells, as well as elevated internalization of the drug on account of increased receptor-mediated endocytosis."
2023 Jul-Aug,Journal of biomolecular structure & dynamics,J Biomol Struct Dyn. 2023 Jul-Aug;41(12):5486-5498. doi: ,"['Kaur, Arshpreet', 'Ghai, Devina', 'Yadav, Vikramaditya G', 'Pawar, Sandip V', 'Sembi, Jaspreet K']","[' polyketide synthases genetics', 'secondary metabolism genetics', 'phylogeny', 'plants genetics', ' polyketides metabolism', 'chalcone synthase', 'orchids', 'polyketides', 'secondary metabolism']",Polyketide synthases (PKSs) of secondary metabolism: in silico identification and characterization in orchids.,"Type III polyketide synthases (PKSs) catalyse the formation of an array of polyketides with diverse structures that play an important role in secondary metabolism in plants. This group of enzymes is encoded by a multigene family, the Type III polyketide synthase (PKS) gene family. Vast reserves of secondary metabolites in orchids make these plants suitable candidates for research in the area. In this study, genome-wide searches lead to the identification of five PeqPKS, eight DcaPKS and six AshPKS genes in Phalaenopsis equestris, Dendrobium catenatum and Apostasia shenzhenica, respectively. All the members showed the presence of two characteristic conserved domains (Chal_sti_synt_N and Chal_sti_synt_C) and were generally localised in the cytoplasm. The phylogenetic analysis led to the classification of these proteins into two groups: CHS (chalcone synthase (CHS) and non-CHS. A single protein in P. equestris and two proteins each in D. catenatum and A. shenzhenica clustered within the CHS clade. The majority of the genes exhibited similar structural patterns with a single intron. Expression profiling revealed the tissue-specific expression of these genes with high expression in reproductive tissues for most genes. A number of stress-responsive cis-regulatory elements were predicted, noteworthy amongst these are, ABRE and CGTCA that are chiefly responsible for responding to abscisic acid and methyl jasmonate, respectively. Our study provides a reference framework for future studies involving functional elucidation of PKS genes and biotechnological production of polyketides.Communicated by Ramaswamy H. Sarma."
2022 Aug,The Canadian journal of chemical engineering,Can J Chem Eng. 2022 Aug;100(8):1670-1675. doi: 10.1002/cjce.24399. Epub 2022 May ,"['Kritharis, Athanasios', 'Tamer, I Melih', 'Yadav, Vikramaditya G']","['covid‐19', 'biomanufacturing', 'bioprocessing 4.0', 'biotechnology', 'vaccines']",Vaccine production and supply need a paradigm change.,"We discuss the impact of COVID-19, the journey towards developing vaccines against the disease, and how biomanufacturing should evolve in order to meet similar challenges in the future."
2021 Oct 9,Microorganisms,Microorganisms. 2021 Oct 9;9(10):2124. doi: 10.3390/microorganisms9102124.,"['Chegounian, Parisa', 'Flibotte, Stephane', 'Peru, Kerry', 'Headley, John', 'McMartin, Dena', 'Gramlich, Bryne', 'Yadav, Vikramaditya G']","['biodegradation', 'bioinformatics', 'microbial consortia', 'naphthenic acids', 'pseudomonads', 'transcriptomics']",Transcriptome Analysis of Environmental Pseudomonas Isolates Reveals Mechanisms of Biodegradation of Naphthenic Acid Fraction Compounds (NAFCs) in Oil Sands Tailings.,"Naphthenic acid fraction compounds (NAFCs) are highly recalcitrant constituents of oil sands tailings. Although some microorganisms in the tailings can individually and synergistically metabolize NAFCs, the biochemical mechanisms that underpin these processes are hitherto unknown. To this end, we isolated two microorganisms, Pseudomonas protegens and Pseudomonas putida, from oils sands tailings and analyzed their transcriptomes to shed light on the metabolic processes employed by them to degrade and detoxify NAFCs. We identified 1048, 521 and 1434 genes that are upregulated in P. protegens, P. putida and a 1:1 co-culture of the strains, respectively. We subsequently enumerated the biochemical activities of enriched genes and gene products to reveal the identities of the enzymes that are associated with NAFC degradation. Separately, we analyzed the NAFCs that are degraded by the two pseudomonads and their 1:1 co-culture and determined the composition of the molecules using mass spectrometry. We then compared these molecular formulas to those of the cognate substrates of the enriched enzymes to chart the metabolic network and understand the mechanisms of degradation that are employed by the microbial cultures. Not only does the consortium behave differently than the pure cultures, but our analysis also revealed the mechanisms responsible for accelerated rate of degradation of NAFCs by the co-culture. Our findings provide new directions for engineering or evolving microorganisms and their consortia for degrading NAFCs more stably and aggressively."
2021 Jan,MicrobiologyOpen,Microbiologyopen. 2021 Jan;10(1):e1139. doi: 10.1002/mbo3.1139. Epub 2020 Dec 2.,"['Varela, Julia Nogueira', 'Yadav, Vikramaditya G']","['animals', 'anopheles  physiology', 'biosensing techniques  methods', 'calcium metabolism', 'high-throughput screening assays', 'humans', 'insect proteins genetics metabolism', 'insect repellents  chemistry pharmacology', 'ion transport physiology', 'odorants analysis', 'receptors, odorant genetics  metabolism', 'saccharomycetales genetics  metabolism', 'smell physiology', 'mosquito', 'odor biosensor', 'olfactory receptor co-receptor', 'public health', 'repellant', 'synthetic biology', 'yeast']",A Pichia biosensor for high-throughput analyses of compounds that can influence mosquito behavior.,"Mosquitoes utilize their sense of smell to locate prey and feed on their blood. Repellents interfere with the biochemical cascades that detect odors. Consequently, repellants are highly effective and resource-efficient alternatives for controlling the spread of mosquito-borne illnesses. Unfortunately, the discovery of repellents is slow, laborious, and error-prone. To this end, we have taken a giant stride toward improving the speed and accuracy of repellant discovery by constructing a prototypical whole-cell biosensor for accurate detection of mosquito behavior-modifying compounds such as repellants. As a proof-of-concept, we genetically engineered Pichia pastoris to express the olfactory receptor co-receptor (Orco) of Anopheles gambiae mosquitoes. This transmembrane protein behaves like a cationic channel upon activation by stimulatory odorants. When the engineered Pichia cells are cultured in calcium-containing Hank's buffer, induction of the medium with a stimulatory odorant results in an influx of calcium ions into the cells, and the stimulatory effect is quantifiable using the calcium-sequestering fluorescent dye, fluo-4-acetoxymethyl ester. Moreover, the stimulatory effect can be titrated by adjusting either the concentration of calcium ions in the medium or the level of induction of the stimulatory odorant. Subsequent exposure of the activated Pichia cells to a repellant molecule inhibits the stimulatory effect and quenches the fluorescent signal, also in a titratable manner. Significantly, the modular architecture of the biosensor allows easy and efficient expansion of its detection range by co-expressing Orco with other olfactory receptors. The high-throughput assay is also compatible with robotic screening infrastructure, and our development represents a paradigm change for the discovery of mosquito repellants."
2020,Clean technologies and environmental policy,Clean Technol Environ Policy. 2020;22(9):1757-1774. doi: ,"['Yadav, Vikramaditya G', 'Yadav, Ganapati D', 'Patankar, Saurabh C']","['biomass', 'energy', 'environment', 'hydrogen economy', 'methane', 'methanol economy', 'petroleum', 'renewable sources', 'shale oil and gas', 'sustainability', 'valorization']",The production of fuels and chemicals in the new world: critical analysis of the choice between crude oil and biomass vis-à-vis sustainability and the environment.,"ABSTRACT: Energy and the environment are intimately related and hotly debated issues. Today's crude oil-based economy for the manufacture of fuels, chemicals and materials will not have a sustainable future. The over-use of oil products has done a great damage to the environment. Faced with the twin challenges of sustaining socioeconomic development and shrinking the environmental footprint of chemicals and fuel manufacturing, a major emphasis is on either converting biomass into low-value, high-volume biofuels or refining it into a wide spectrum of products. Using carbon for fuel is a flawed approach and unlikely to achieve any nation's socioeconomic or environmental targets. Biomass is chemically and geographically incompatible with the existing refining and pipeline infrastructure, and biorefining and biofuels production in their current forms will not achieve economies of scale in most nations. Synergistic use of crude oil, biomass, and shale gas to produce fuels, value-added chemicals, and commodity chemicals, respectively, can continue for some time. However, carbon should not be used as a source of fuel or energy but be valorized to other products. In controlling CO(2) emissions, hydrogen will play a critical role. Hydrogen is best suited for converting waste biomass and carbon dioxide emanated from different sources, whether it be fossil fuel-derived carbon or biomass-derived carbon, into fuels and chemicals as well as it will also lead, on its own as energy source, to the carbon negative scenario in conjunction with other renewable non-carbon sources. This new paradigm for production of fuels and chemicals not only offers the greatest monetization potential for biomass and shale gas, but it could also scale down output and improve the atom and energy economies of oil refineries. We have also highlighted the technology gaps with the intention to drive R&D in these directions. We believe this article will generate a considerable debate in energy sector and lead to better energy and material policy across the world."
2020 Sep 18,ACS synthetic biology,ACS Synth Biol. 2020 Sep 18;9(9):2291-2300. doi: 10.1021/acssynbio.9b00454. Epub ,"['Raghavan, Adhithi R', 'Salim, Kevin', 'Yadav, Vikramaditya G']","['arabidopsis proteins genetics metabolism', 'basic helix-loop-helix transcription factors genetics metabolism', 'biosynthetic pathways genetics', 'dna-directed rna polymerases genetics', 'dimerization', 'escherichia coli genetics  metabolism', ' light', 'metabolic engineering', 'optogenetics  methods', 'phytochrome b genetics metabolism', 'plasmids genetics metabolism', 'vacuolar proton-translocating atpases genetics metabolism', 'viral proteins genetics', 't7 rna polymerase', 'chromophores', 'inteins', 'metabolic control engineering', 'optogenetics', 'phytochromes']",Optogenetic Control of Heterologous Metabolism in E. coli.,"Multiobjective optimization of microbial chassis for the production of xenobiotic compounds requires the implementation of metabolic control strategies that permit dynamic distribution of cellular resources between biomass and product formation. We addressed this need in a previous study by engineering the T7 RNA polymerase to be thermally responsive. The modified polymerase is activated only after the temperature of the host cell falls below 18 °C, and Escherichia coli cells that employ the protein to transcribe the heterologous lycopene biosynthetic pathway exhibit impressive improvements in productivity. We have expanded our toolbox of metabolic switches in the current study by engineering a version of the T7 RNA polymerase that drives the transition between biomass and product formation upon stimulation with red light. The engineered polymerase is expressed as two distinct polypeptide chains. Each chain comprises one of two photoactive components from Arabidopsis thaliana, phytochrome B (PhyB) and phytochrome-integrating factor 3 (PIF3), as well as the N- or C-terminus domains of both, the vacuolar ATPase subunit (VMA) intein of Saccharomyces cerevisiae and the polymerase. Red light drives photodimerization of PhyB and PIF3, which then brings together the N- and C-terminus domains of the VMA intein. Trans-splicing of the intein follows suit and produces an active form of the polymerase that subsequently transcribes any sequence that is under the control of a T7 promoter. The photodimerization also involves a third element, the cyanobacterial chromophore phycocyanobilin (PCB), which too is expressed heterologously by E. coli. We deployed this version of the T7 RNA polymerase to control the production of lycopene in E. coli and observed tight control of pathway expression. We tested a variety of expression configurations to identify one that imposes the lowest metabolic burden on the strain, and we subsequently optimized key parameters such as the source, moment, and duration of photostimulation. We also identified targets for future refinement of the circuit. In summary, our work is a significant advance for the field and greatly expands on previous work by other groups that have used optogenetic circuits to control heterologous metabolism in prokaryotic hosts."
2020 Nov,Trends in biotechnology,Trends Biotechnol. 2020 Nov;38(11):1192-1196. doi: 10.1016/j.tibtech.2020.04.007. ,"['Chegounian, Parisa', 'Zerriffi, Hisham', 'Yadav, Vikramaditya G']","[' bacteria genetics metabolism', ' biodegradation, environmental', ' environmental microbiology', 'genetic engineering', ' oil and gas fields microbiology', 'synthetic biology', ' water pollutants, chemical metabolism', 'adaptive laboratory evolution', 'commercialization and deployment of environmental biotechnologies', 'engineered bioremediation platforms', 'management and regulation of tailings ponds', 'oil sands process-affected water (ospw)', 'risk assessment']",Engineering Microbes for Remediation of Oil Sands Tailings.,"Synthetic biology and adaptive laboratory evolution are key tools for developing biotechnology platforms for the remediation of oil sands tailings. However, field deployment and subsequent regulation of engineered and/or evolved strains is rife with uncertainties and risks. Here, we detail an innovation strategy to derisk and deploy engineered bioremediation platforms."
2019 Oct,Advanced healthcare materials,Adv Healthc Mater. 2019 Oct;8(19):e1900538. doi: 10.1002/adhm.201900538. Epub ,"['Ghaemi, Roza Vaez', 'Siang, Lim C', 'Yadav, Vikramaditya G']","['algorithms', 'cell- and tissue-based therapy trends', 'databases, factual', 'genetic therapy trends', 'humans', ' machine learning', 'organ culture techniques', 'organ transplantation instrumentation', 'regenerative medicine trends', 'tissue engineering methods  trends', 'translational research, biomedical methods  trends', 'biopharmaceutical industry', 'innovation', 'machine learning', 'tissue engineering', 'translation']",Improving the Rate of Translation of Tissue Engineering Products.,"Over 100 000 research articles and 9000 patents have been published on tissue engineering (TE) in the past 20 years. Yet, very few TE products have made their way to the market during the same period. Experts have proposed a variety of strategies to address the lack of translation of TE products. However, since these proposals are guided by qualitative insights, they are limited in scope and impact. Machine learning is utilized in the current study to analyze the entire body of patents that have been published over the past twenty years and understand patenting trends, topics, areas of application, and exemplifications. This analysis yields surprising and little-known insights about the differences in research priorities and perceptions of innovativeness of tissue engineers in academia and industry, as well as aids to chart true advances in the field during the past twenty years. It is hoped that this analysis and subsequent proposal to improve translational rates of TE products will spur much needed dialogue about this important pursuit."
