time,journal,doi_info,authors,key words,title,abstract
2024 Jun 8,Analytica chimica acta,Anal Chim Acta. 2024 Jun 8;1307:342560. doi: 10.1016/j.aca.2024.342560. Epub 2024 ,"['Wang, Qin', 'Gilligan-Steinberg, Shane D', 'Kim, Wookyeom', 'Kline, Enos C', 'Hull, Ian T', 'Lai, James J', 'Lutz, Barry R']","[' nucleic acid amplification techniques methods', 'humans', ' rna, viral blood', 'hiv infections blood diagnosis virology', 'hiv-1 genetics isolation & purification', 'limit of detection', 'molecular diagnostic techniques', 'extraction-free amplification', 'fingerstick blood', 'inhibitor', 'isothermal amplification', 'point-of-care', 'reaction volume']",Large-volume RT-LAMP enables extraction-free amplification of HIV RNA from fingerstick plasma.,"BACKGROUND: Point-of-care (POC) nucleic acid amplification tests (NAAT) can significantly expand testing coverage, which is critical for infectious disease diagnostics and monitoring. The development of various isothermal amplification techniques greatly simplifies NAATs, but the cumbersome nucleic acid extraction step remains a bottleneck for the POC. Alternatively, extraction-free amplification, where crude samples are directly added into the assay, substantially simplifies the workflow. However, sample dilution is often needed in extraction-free amplification to reduce assay inhibition from sample matrices. Since NAATs are typically run at small volumes around 20 μL, the input sample quantity is therefore limited, resulting in an inevitable sensitivity loss. RESULTS: Here we explore the potential to perform isothermal amplification in larger reaction volumes to accommodate larger sample quantities, thereby improving sensitivity in extraction-free amplification. We demonstrated the approach by developing large-volume reverse transcription loop-mediated isothermal amplification (RT-LAMP) for HIV RNA detection from fingerstick plasma. We found that LAMP at reaction volumes up to 1 mL maintained the same performance. We then identified plasma dilution conditions needed to maintain the limit of detection in RT-LAMP. Subsequently, using inactivated HIV virus, we showed the successful detection of 24 HIV RNA copies in a 500 μL RT-LAMP reaction in the presence of 20 μL plasma (fingerstick volumes), translating to a viral load of 1200 copies per mL. To reduce the increased reagent cost with expanded reaction volumes, we further identified lower-cost reagents with maintained assay performance. Moreover, we showed that large-volume LAMP, compared to 20 μL reactions, could tolerate higher concentrations of various inhibitors in the sample, such as albumin and GuSCN. SIGNIFICANCE AND NOVELTY: NAATs are conventionally conducted at small reaction volumes. Here we demonstrated that LAMP can be run at large reaction volumes (over 100 μL) with maintained assay performance, allowing sample inhibition to be mitigated while accommodating larger sample quantities. The same strategy of expanding reaction volumes could be applied to other isothermal amplification methods and various POC applications, to streamline test workflows and/or improve assay sensitivity."
2024 Apr 1,medRxiv : the preprint server for health sciences,medRxiv [Preprint]. 2024 Apr 1:2024.03.29.24305085. doi: ,"['Wang, Qin', 'Kline, Enos C', 'Gilligan-Steinberg, Shane D', 'Lai, James J', 'Hull, Ian T', 'Olanrewaju, Ayokunle O', 'Panpradist, Nuttada', 'Lutz, Barry R']",[],Sensitive Pathogen Detection and Drug Resistance Characterization Using Pathogen-Derived Enzyme Activity Amplified by LAMP or CRISPR-Cas.,"Pathogens encapsulate or encode their own suite of enzymes to facilitate replication in the host. The pathogen-derived enzymes possess specialized activities that are essential for pathogen replication and have naturally been candidates for drug targets. Phenotypic assays detecting the activities of pathogen-derived enzymes and characterizing their inhibition under drugs offer an opportunity for pathogen detection, drug resistance testing for individual patients, and as a research tool for new drug development. Here, we used HIV as an example to develop assays targeting the reverse transcriptase (RT) enzyme encapsulated in HIV for sensitive detection and phenotypic characterization, with the potential for point-of-care (POC) applications. Specifically, we targeted the complementary (cDNA) generation activity of the HIV RT enzyme by adding engineered RNA as substrates for HIV RT enzyme to generate cDNA products, followed by cDNA amplification and detection facilitated by loop-mediated isothermal amplification (LAMP) or CRISPR-Cas systems. To guide the assay design, we first used qPCR to characterize the cDNA generation activity of HIV RT enzyme. In the LAMP-mediated Product-Amplified RT activity assay (LamPART), the cDNA generation and LAMP amplification were combined into one pot with novel assay designs. When coupled with direct immunocapture of HIV RT enzyme for sample preparation and endpoint lateral flow assays for detection, LamPART detected as few as 20 copies of HIV RT enzyme spiked into 25μL plasma (fingerstick volume), equivalent to a single virion. In the Cas-mediated Product-Amplified RT activity assay (CasPART), we tailored the substrate design to achieve a LoD of 2e4 copies (1.67fM) of HIV RT enzyme. Furthermore, with its phenotypic characterization capability, CasPART was used to characterize the inhibition of HIV RT enzyme under antiretroviral drugs and differentiate between wild-type and mutant HIV RT enzyme for potential phenotypic drug resistance testing. Moreover, the CasPART assay can be readily adapted to target the activity of other pathogen-derived enzymes. As a proof-of-concept, we successfully adapted CasPART to detect HIV integrase with a sensitivity of 83nM. We anticipate the developed approach of detecting enzyme activity with product amplification has the potential for a wide range of pathogen detection and phenotypic characterization."
2024 Jan 1,"AIDS (London, England)",AIDS. 2024 Jan 1;38(1):39-47. doi: 10.1097/QAD.0000000000003719. Epub 2023 Sep ,"['Onyango, Dickens Otieno', 'van der Sande, Marianne A B', 'Yuen, Courtney M', 'Were, Joyce', 'Mecha, Jerphason', 'Njagi, Lilian N', 'Panpradist, Nuttada', 'Matemo, Daniel', 'Leon, Daniel', 'Lutz, Barry', 'Kinuthia, John', 'John-Stewart, Grace', 'Lacourse, Sylvia M']","['child', 'humans', 'isoniazid therapeutic use', 'antitubercular agents therapeutic use', ' tuberculosis diagnosis prevention & control drug therapy', 'prospective studies', 'kenya', ' hiv infections drug therapy prevention & control', 'biomarkers']",Biomarker-confirmed suboptimal adherence to isoniazid preventive therapy among children with HIV in western Kenya.,"OBJECTIVES: The aim of this study was to assess the level and correlates of biomarker-confirmed adherence to isoniazid (INH) preventive therapy (IPT) among children with HIV (CLHIV). DESIGN: This prospective cohort study assessed adherence among CLHIV on IPT in public sector HIV clinics from 2019 through 2020. METHODS: Adherence was assessed by pill counts or caregiver or self-reports, and urine biomarkers (in-house dipstick and Isoscreen). Both urine biomarker tests detect INH metabolites within 48 h of ingestion. Consistent adherence was defined as having positive results on either biomarker at all visits. Correlates of biomarker-confirmed nonadherence at each visit were evaluated using generalized estimating equations. The in-house dipstick was validated using Isoscreen as the reference. RESULTS: Among 97 CLHIV on IPT with adherence assessments, median age was 10 years (IQR 7-13). All were on ART at IPT initiation (median duration 46 months [IQR 4-89]); 81% were virally suppressed (<1000 copies/ml). At all visits, 59% ( n = 57) of CLHIV reported taking at least 80% of their doses, while 39% ( n = 38) had biomarker-confirmed adherence. Viral nonsuppression (adjusted risk ratio [aRR] = 1.65; 95% confidence interval [95%"
2023 Oct 9,Analytica chimica acta,Anal Chim Acta. 2023 Oct 9;1277:341674. doi: 10.1016/j.aca.2023.341674. Epub 2023 ,"['Wang, Qin', 'Panpradist, Nuttada', 'Kotnik, Jack Henry', 'Willson, Richard C', 'Kourentzi, Katerina', 'Chau, Zoe L', 'Liu, Joanne K', 'Lutz, Barry R', 'Lai, James J']","['humans', ' covid-19 testing', ' covid-19 diagnosis', 'sars-cov-2', 'antibodies', 'biotin', 'agglutination', 'agglutination', 'analyte enrichment', 'covid-19 rapid antigen test', 'lateral flow assay', 'saliva', 'sensitivity enhancement']",A simple agglutination system for rapid antigen detection from large sample volumes with enhanced sensitivity.,"Lateral flow assays (LFAs) provide a simple and quick option for diagnosis and are widely adopted for point-of-care or at-home tests. However, their sensitivity is often limited. Most LFAs only allow 50 μL samples while various sample types such as saliva could be collected in much larger volumes. Adapting LFAs to accommodate larger sample volumes can improve assay sensitivity by increasing the number of target analytes available for detection. Here, a simple agglutination system comprising biotinylated antibody (Ab) and streptavidin (SA) is presented. The Ab and SA agglutinate into large aggregates due to multiple biotins per Ab and multiple biotin binding sites per SA. Dynamic light scattering (DLS) measurements showed that the agglutinated aggregate could reach a diameter of over 0.5 μm and over 1.5 μm using poly-SA. Through both experiments and Monte Carlo modeling, we found that high valency and equivalent concentrations of the two aggregating components were critical for successful agglutination. The simple agglutination system enables antigen capture from large sample volumes with biotinylated Ab and a swift transition into aggregates that can be collected via filtration. Combining the agglutination system with conventional immunoassays, an agglutination assay is proposed that enables antigen detection from large sample volumes using an in-house 3D-printed device. As a proof-of-concept, we developed an agglutination assay targeting SARS-CoV-2 nucleocapsid antigen for COVID-19 diagnosis from saliva. The assay showed a 10-fold sensitivity enhancement when increasing sample volume from 50 μL to 2 mL, with a final limit of detection (LoD) of 10 pg mL(-1) (∼250 fM). The assay was further validated in negative saliva spiked with gamma-irradiated SARS-CoV-2 and showed an LoD of 250 genome copies per μL. The proposed agglutination assay can be easily developed from existing LFAs to facilitate the processing of large sample volumes for improved sensitivity."
2022,PLOS global public health,PLOS Glob Public Health. 2022 Feb 16;2(2):e0000185. doi: ,"['Vrana, Justin D', 'Panpradist, Nuttada', 'Higa, Nikki', 'Ko, Daisy', 'Ruth, Parker', 'Kanthula, Ruth', 'Lai, James J', 'Yang, Yaoyu', 'Sakr, Samar R', 'Chohan, Bhavna', 'Chung, Michael H', 'Frenkel, Lisa M', 'Lutz, Barry R', 'Klavins, Eric', 'Beck, Ingrid A']",[],Implementation of an interactive mobile application to pilot a rapid assay to detect HIV drug resistance mutations in Kenya.,"Usability is an overlooked aspect of implementing lab-based assays, particularly novel assays in low-resource-settings. Esoteric instructions can lead to irreproducible test results and patient harm. To address these issues, we developed a software application based on ""Aquarium"", a laboratory-operating system run on a computer tablet that provides step-by-step digital interactive instructions, protocol management, and sample tracking. Aquarium was paired with a near point-of-care HIV drug resistance test, ""OLA-Simple"", that detects mutations associated with virologic failure. In this observational study we evaluated the performance of Aquarium in guiding untrained users through the multi-step laboratory protocol with little supervision. To evaluate the training by Aquarium software we conducted a feasibility study in a laboratory at Coptic Hope Center in Nairobi, Kenya. Twelve volunteers who were unfamiliar with the kit performed the test on blinded samples (2 blood specimens; 5 codons/sample). Steps guided by Aquarium included: CD4+ T-Cell separation, PCR, ligation, detection, and interpretation of test results. Participants filled out a short survey regarding their demographics and experience with the software and kit. None of the laboratory technicians had prior experience performing CD4+ separation and 7/12 had no experience performing laboratory-based molecular assays. 12/12 isolated CD4+ T cells from whole blood with yields comparable to isolations performed by trained personnel. The OLA-Simple workflow was completed by all, with genotyping results interpreted correctly by unaided-eye in 108/120 (90%) and by software in 116/120 (97%) of codons analyzed. In the surveys, participants favorably assessed the use of software guidance. The Aquarium digital instructions enabled first-time users in Kenya to complete the OLA-simple kit workflow with minimal training. Aquarium could increase the accessibility of laboratory assays in low-resource-settings and potentially standardize implementation of clinical laboratory tests."
2022 Sep,Lancet regional health. Americas,Lancet Reg Health Am. 2022 Sep;13:100291. doi: 10.1016/j.lana.2022.100291. Epub ,"['Iribarren, Sarah J', 'Milligan, Hannah', 'Chirico, Cristina', 'Goodwin, Kyle', 'Schnall, Rebecca', 'Telles, Hugo', 'Iannizzotto, Alejandra', 'Sanjurjo, Myrian', 'Lutz, Barry R', 'Pike, Kenneth', 'Rubinstein, Fernando', 'Rhodehamel, Marcus', 'Leon, Daniel', 'Keyes, Jesse', 'Demiris, George']","['argentina', 'tuberculosis', 'digital adherence technology', 'direct drug metabolite test', 'treatment adherence']","Patient-centered mobile tuberculosis treatment support tools (TB-TSTs) to improve treatment adherence: A pilot randomized controlled trial exploring feasibility, acceptability and refinement needs.","BACKGROUND: Digital adherence technologies hold promise to improve patient-centered tuberculosis (TB) monitoring, yet few studies have incorporated direct adherence monitoring or assessed patients' experiences with these technologies. We explored acceptability, feasibility, and refinement needs of the TB Treatment Support Tools (TB-TSTs) intervention linking a mobile app, a urine drug metabolite test, and interactive communication with a treatment supporter. METHODS: This pilot study was a parallel-designed single-center randomized controlled trial with exit interviews. Newly diagnosed TB patients were randomized 1:1 using a treatment allocation button in the REDCap software preloaded with a random allocation sequence to usual care or usual care plus the TB-TSTs intervention from a respiratory medicine hospital in the province of Buenos Aires, Argentina and followed for 6-months. Due to the nature of the intervention, blinding to the group allocation could not be achieved for the recruiter or patients. The treatment outcome data extractor was blinded to the group allocation of the participants. Intervention participants used the app to report self-administering medication, potential side effects, submit photos of the urine test, and interact with a treatment supporter. Outcomes were feasibility, acceptability, and treatment outcomes. FINDINGS: Forty-two patients were enrolled and evenly assigned to each group. Intervention participants submitted 147·2±58 (mean, SD) medication self-administration and 144·5±55 side effect reports out of 180 and 47.5±38·4 photos of the urine test out of 77. Treatment success for usual care was 81% [17/21] and 95% [20/21] for the TB-TSTs intervention. Thirty-three themes were identified within the main categories of motivation, what worked, issues experienced, and recommendations. Participants (n=12) rated it as 'easy to use' (4.57/5), 'would highly recommend to others' (4·43/5) and reported that access to the treatment support was a critical component. Recommendations included adding an alarm, appointment reminders, and off-line functionality. INTERPRETATION: Findings suggest that the TB-TSTs intervention was feasible and acceptable and further refinement and testing is warranted. FUNDING: National Institute of Health K23NR017210."
2022 Jul 12,The Analyst,Analyst. 2022 Jul 12;147(14):3315-3327. doi: 10.1039/d2an00405d.,"['Gulati, Gaurav K', 'Panpradist, Nuttada', 'Stewart, Samuel W A', 'Beck, Ingrid A', 'Boyce, Ceejay', 'Oreskovic, Amy K', 'García-Morales, Claudia', 'Avila-Ríos, Santiago', 'Han, Peter D', 'Reyes-Terán, Gustavo', 'Starita, Lea M', 'Frenkel, Lisa M', 'Lutz, Barry R', 'Lai, James J']","[' covid-19 diagnosis', ' hiv infections diagnosis', 'humans', 'pandemics', 'rna, viral analysis', 'sars-cov-2 genetics', 'sensitivity and specificity', 'viral load methods', 'workflow']",Simultaneous monitoring of HIV viral load and screening of SARS-CoV-2 employing a low-cost RT-qPCR test workflow.,"The COVID-19 pandemic interrupted routine care for individuals living with HIV, putting them at risk of virologic failure and HIV-associated illness. Often this population is at high risk for exposure to SARS-CoV-2 infection, and once infected, for severe disease. Therefore, close monitoring of HIV plasma viral load (VL) and screening for SARS-CoV-2 infection are needed. We developed a non-proprietary method to isolate RNA from plasma, nasal secretions (NS), or both. The extracted RNA is then submitted to RT-qPCR to estimate the VL and classify HIV/SARS-CoV-2 status (i.e., HIV virologic failure or suppressed; SARS-CoV-2 as positive, presumptive positive, negative, or indeterminate). In contrived samples, the in-house RNA extraction workflow achieved a detection limit of 200-copies per mL for HIV RNA in plasma and 100-copies per mL for SARS-CoV-2 RNA in NS. Similar detection limits were observed for HIV and SARS-CoV-2 in pooled plasma/NS contrived samples. When comparing in-house with standard extraction methods, we found high agreement (>0.91) between input and measured RNA copies for HIV LTR in contrived plasma; SARS-CoV-2 N1/N2 in contrived NS; and LTR, N1, and N2 in pooled plasma/NS samples. We further evaluated this workflow on 133 clinical specimens: 40 plasma specimens (30 HIV-positive), 67 NS specimens (31 SARS-CoV-2-positive), and 26 combined plasma/NS specimens (26 HIV-positive with 10 SARS-CoV-2-positive), and compared the results obtained using the in-house RNA extraction to those using a commercial kit (standard extraction method). The in-house extraction and standard extraction of clinical specimens were positively correlated: plasma HIV VL (R(2) of 0.81) and NS SARS-CoV-2 VL (R(2) of 0.95 and 0.99 for N1 and N2 genes, respectively); and pooled plasma/NS HIV VL (R(2) of 0.71) and SARS-CoV-2 VL (R(2) of 1 both for N1 and N2 genes). Our low-cost molecular test workflow ($1.85 per pooled sample extraction) for HIV RNA and SARS-CoV-2 RNA could serve as an alternative to current standard assays ($12 per pooled sample extraction) for laboratories in low-resource settings."
2022 Aug 31,Microbiology spectrum,Microbiol Spectr. 2022 Aug 31;10(4):e0158321. doi: 10.1128/spectrum.01583-21. ,"['Kline, Enos C', 'Panpradist, Nuttada', 'Hull, Ian T', 'Wang, Qin', 'Oreskovic, Amy K', 'Han, Peter D', 'Starita, Lea M', 'Lutz, Barry R']","[' covid-19 diagnosis', 'covid-19 testing', 'clinical laboratory techniques methods', 'fluorescent dyes', 'humans', 'molecular diagnostic techniques methods', 'nucleic acid amplification techniques', 'pandemics', ' sars-cov-2 genetics', 'sensitivity and specificity', 'coronavirus', 'diagnostics', 'molecular methods']",Multiplex Target-Redundant RT-LAMP for Robust Detection of SARS-CoV-2 Using Fluorescent Universal Displacement Probes.,"The increasing prevalence of variant lineages during the COVID-19 pandemic has the potential to disrupt molecular diagnostics due to mismatches between primers and variant templates. Point-of-care molecular diagnostics, which often lack the complete functionality of their high-throughput laboratory counterparts, are particularly susceptible to this type of disruption, which can result in false-negative results. To address this challenge, we have developed a robust Loop Mediated Isothermal Amplification assay with single tube multiplexed multitarget redundancy and an internal amplification control. A convenient and cost-effective target-specific fluorescence detection system allows amplifications to be grouped by signal using adaptable probes for pooled reporting of SARS-CoV-2 target amplifications or differentiation of the Internal Amplification Control. Over the course of the pandemic, primer coverage of viral lineages by the three redundant sub-assays has varied from assay to assay as they have diverged from the Wuhan-Hu-1 isolate sequence, but aggregate coverage has remained high for all variant sequences analyzed, with a minimum of 97.4% (Variant of Interest: Eta). In three instances (Delta, Gamma, Eta), a high-frequency mismatch with one of the three sub-assays was observed, but overall coverage remained high due to multitarget redundancy. When challenged with extracted human samples the multiplex assay showed 87% or better sensitivity (of 30 positive samples), with 100% sensitivity for samples containing greater than 30 copies of viral RNA per reaction (of 21 positive samples), and 100% specificity (of 60 negative samples). These results are further evidence that conventional laboratory methodologies can be leveraged at the point of care for robust performance and diagnostic stability over time. IMPORTANCE The COVID-19 pandemic has had tremendous impact, and the ability to perform molecular diagnostics in resource limited settings has emerged as a key resource for mitigating spread of the disease. One challenge in COVID-19 diagnosis, as well as other viruses, is ongoing mutation that can allow viruses to evade detection by diagnostic tests. We developed a test that detects multiple parts of the virus genome in a single test to reduce the chance of missing a virus due to mutation, and it is designed to be simpler and faster than typical laboratory tests while maintaining high sensitivity. This capability is enabled by a novel fluorescent probe technology that works with a simple constant temperature reaction condition."
2022 May 24,Analytical chemistry,Anal Chem. 2022 May 24;94(20):7278-7285. doi: 10.1021/acs.analchem.2c00554. Epub ,"['Yang, Lucy F', 'Kacherovsky, Nataly', 'Panpradist, Nuttada', 'Wan, Ruixuan', 'Liang, Joey', 'Zhang, Bo', 'Salipante, Stephen J', 'Lutz, Barry R', 'Pun, Suzie H']","['antibodies, viral', ' aptamers, nucleotide chemistry', ' covid-19 diagnosis', 'covid-19 vaccines', 'humans', 'pandemics', 'sars-cov-2', 'spike glycoprotein, coronavirus']",Aptamer Sandwich Lateral Flow Assay (AptaFlow) for Antibody-Free SARS-CoV-2 Detection.,"The COVID-19 pandemic is among the greatest health and socioeconomic crises in recent history. Although COVID-19 vaccines are being distributed, there remains a need for rapid testing to limit viral spread from infected individuals. We previously identified the SARS-CoV-2 spike protein N-terminal domain (NTD) binding DNA aptamer 1 (SNAP1) for detection of SARS-CoV-2 virus by aptamer-antibody sandwich enzyme-linked immunoassay (ELISA) and lateral flow assay (LFA). In this work, we identify a new aptamer that also binds at the NTD, named SARS-CoV-2 spike protein NTD-binding DNA aptamer 4 (SNAP4). SNAP4 binds with high affinity (<30 nM) for the SARS-CoV-2 spike protein, a 2-fold improvement over SNAP1. Furthermore, we utilized both SNAP1 and SNAP4 in an aptamer sandwich LFA (AptaFlow), which detected SARS-CoV-2 UV-inactivated virus at concentrations as low as 10(6) copies/mL. AptaFlow costs <$1 per test to produce, provides results in <1 h, and detects SARS-CoV-2 at concentrations that indicate higher viral loads and a high probability of contagious transmission. AptaFlow is a potential approach for a low-cost, convenient antigen test to aid the control of the COVID-19 pandemic."
2022 Apr 13,BMC primary care,BMC Prim Care. 2022 Apr 13;23(1):75. doi: 10.1186/s12875-022-01675-1.,"['Cai, Xinyan', 'Ebell, Mark H', 'Geyer, Rachel E', 'Thompson, Matthew', 'Gentile, Nicole L', 'Lutz, Barry']","['clinical decision-making', 'humans', ' influenza, human diagnosis', 'models, statistical', 'prognosis', ' telemedicine', 'decision thresholds', 'decision-making', 'home testing', 'influenza', 'telehealth']",The impact of a rapid home test on telehealth decision-making for influenza: a clinical vignette study.,"BACKGROUND: Home testing for influenza has the potential to aid triage and management decisions for patients with influenza-like illness. As yet, little is known about the effect of the home influenza testing on clinical decision-making via telehealth. The goal of this study was to determine the clinicians' decision thresholds for influenza and whether the availability of a home influenza test affects clinical decisions. METHODS: We identified primary care physicians at 4 different sites in the US, largely via in-person continuing education meetings. Clinicians were asked for each vignette whether to treat empirically (""rule in""), ask the patient come to the clinic for further evaluation (""test""), or neither test nor treat (""rule out""). They were then given the results of a home influenza test, and were again asked to select from these three options. We measured the agreement of physician estimates of the likelihood of influenza with the probability based on a clinical prediction model. The test and treatment thresholds of influenza were determined based on mixed-effect logistic regressions. RESULTS: In total, 202 clinicians made 570 sets of clinical decisions. Agreement between estimated and actual probability of influenza was fair. The test and treatment thresholds were 24% (95%"
