time,journal,doi_info,authors,key words,title,abstract
2024 Apr 8,Journal of the American Society of Nephrology : JASN,J Am Soc Nephrol. 2024 Apr 8. doi: 10.1681/ASN.0000000000000363.,"['Himmelfarb, Jonathan', 'Ratner, Buddy D']",[],An Innovation Ecosystem.,
2024 Apr,Tissue engineering. Part A,Tissue Eng Part A. 2024 Apr;30(7-8):287-298. doi: 10.1089/ten.TEA.2023.0144. Epub ,"['Chan, Nathan R', 'Hwang, Billanna', 'Mulligan, Michael S', 'Ratner, Buddy D', 'Bryers, James D']","['humans', 'porosity', ' myeloid differentiation factor 88 metabolism', ' toll-like receptors metabolism', 'signal transduction', 'macrophages metabolism', 'nf-kappa b metabolism', 'foreign-body reaction pathology', 'fibrosis', 'wound healing', 'myd88', 'biomaterial scaffolds', 'cell phenotype', 'fibrosis', 'foreign body response', 'macrophage polarization']",Porous Precision-Templated 40 μm Pore Scaffolds Promote Healing through Synergy in Macrophage Receptor with Collagenous Structure and Toll-Like Receptor Signaling.,"Porous precision-templated scaffolds (PTS) with uniform, interconnected, 40 μm pores have shown favorable healing outcomes and a reduced foreign body reaction (FBR). Macrophage receptor with collagenous structure (MARCO) and toll-like receptors (TLRs) have been identified as key surface receptors in the initial inflammatory phase of wound healing. However, the role of MARCO and TLRs in modulating monocyte and macrophage phenotypes within PTS remains uncharacterized. In this study, we demonstrate a synergetic relationship between MARCO and TLR signaling in cells inhabiting PTS, where induction with TLR3 or TLR4 agonists to 40 μm scaffold-resident cells upregulates the transcription of MARCO. Upon deletion of MARCO, the prohealing phenotype within 40 μm PTS polarizes to a proinflammatory and profibrotic phenotype. Analysis of downstream TLR signaling shows that MARCO is required to attenuate nuclear factor kappa B (NF-κB) inflammation in 40 μm PTS by regulating the transcription of inhibitory NFKB inhibitor alpha (NFKBIA) and interleukin-1 receptor-associated kinase 3 (IRAK-M), primarily through a MyD88-dependent signaling pathway. Investigation of implant outcome in the absence of MARCO demonstrates an increase in collagen deposition within the scaffold and the development of tissue fibrosis. Overall, these results further our understanding of the molecular mechanisms underlying MARCO and TLR signaling within PTS. Impact statement Monocyte and macrophage phenotypes in the foreign body reaction (FBR) are essential for the development of a proinflammatory, prohealing, or profibrotic response to implanted biomaterials. Identification of key surface receptors and signaling mechanisms that give rise to these phenotypes remain to be elucidated. In this study, we report a synergistic relationship between macrophage receptor with collagenous structure (MARCO) and toll-like receptor (TLR) signaling in scaffold-resident cells inhabiting porous precision-templated 40 μm pore scaffolds through a MyD88-dependent pathway that promotes healing. These findings advance our understanding of the FBR and provide further evidence that suggests MARCO, TLRs, and fibrosis may be interconnected."
2024 Aug,Journal of biomedical materials research. Part A,J Biomed Mater Res A. 2024 Aug;112(8):1241-1249. doi: 10.1002/jbm.a.37627. Epub ,"['Chen, Alex C', 'Ciridon, Winston', 'Creason, Sharon', 'Ratner, Buddy D']","['animals', ' macrophages metabolism drug effects', 'mice', ' foreign-body reaction', ' orosomucoid metabolism', ' cell polarity drug effects', 'surface properties', 'immobilized proteins pharmacology', 'polyhydroxyethyl methacrylate chemistry', 'mice, inbred c57bl', 'lipopolysaccharides pharmacology', 'foreign body capsule', 'foreign body reaction', 'macrophage polarization', 'plasma deposition', 'surface modification']",Surface immobilized α-1 acid glycoprotein and collagen VI modulate mouse macrophage polarization and reduce the foreign body capsule.,"Macrophages are widely recognized in modulating the foreign body response, and the manner in which they do so largely depends on their activation state, often referred to as their polarization. This preliminary study demonstrates that surface immobilized α-1 acid glycoprotein (AGP), as well as collagen VI (Col6) in conjunction with AGP, can direct macrophages towards the M2 polarization state in vitro and modify the foreign body response in vivo. AGP and Col6 are immobilized onto poly(2-hydroxyethyl methacrylate) (pHEMA) surfaces using carbonyl diimidazole chemistry. Mouse bone marrow derived macrophages are cultured on modified surfaces with or without lipopolysaccharide stimulation. Surface modified pHEMA discs are implanted subcutaneously into mice to observe differences in the foreign body response. After stimulation with lipopolysaccharide, macrophages cultured on AGP or Col6 modified surfaces showed a reduction in TNF-α expression compared to controls. Arg1 expression was also increased in macrophages cultured on modified surfaces. Explanted tissues showed that the foreign body capsule around implants with AGP or AGP and Col6 modification had reduced thickness, while also being more highly vascularized. These data demonstrate that α-1 acid glycoprotein and collagen VI could potentially be used for the surface modification of medical devices to influence macrophage polarization leading to a reduced and modulated foreign body response."
2023 Sep,Journal of biomedical materials research. Part A,J Biomed Mater Res A. 2023 Sep;111(9):1459-1467. doi: 10.1002/jbm.a.37547. Epub ,"['Chan, Nathan R', 'Hwang, Billanna', 'Waworuntu, Rachel L', 'Tran, An J', 'Ratner, Buddy D', 'Bryers, James D']","['mice', 'animals', 'porosity', ' myeloid differentiation factor 88 metabolism', ' biocompatible materials', 'prostheses and implants', 'phenotype', 'tissue scaffolds', 'myd88', 'biomaterial scaffolds', 'cell phenotype', 'foreign body response', 'macrophage polarization']",Novel HALO® image analysis to determine cell phenotype in porous precision-templated scaffolds.,"Image analysis platforms have gained increasing popularity in the last decade for the ability to automate and conduct high-throughput, multiplex, and quantitative analyses of a broad range of pathological tissues. However, imaging tissues with unique morphology or tissues containing implanted biomaterial scaffolds remain a challenge. Using HALO®, an image analysis platform specialized in quantitative tissue analysis, we have developed a novel method to determine multiple cell phenotypes in porous precision-templated scaffolds (PTS). PTS with uniform spherical pores between 30 and 40 μm in diameter have previously exhibited a specific immunomodulation of macrophages toward a pro-healing phenotype and an overall diminished foreign body response (FBR) compared to PTS with larger or smaller pore sizes. However, signaling pathways orchestrating this pro-healing in 40 μm PTS remain unclear. Here, we use HALO® to phenotype PTS resident cells and found a decrease in pro-inflammatory CD86 and an increase in pro-healing CD206 expression in 40 μm PTS compared to 100 μm PTS. To understand the mechanisms that drive these outcomes, we investigated the role of myeloid-differentiation-primary-response gene 88 (MyD88) in regulating the pro-healing phenomenon observed only in 40 μm PTS. When subcutaneously implanted in MyD88KO mice, 40 μm PTS reduced the expression of CD206, and the scaffold resident cells displayed an average larger nuclear size compared to 40 μm PTS implanted in mice expressing MyD88. Overall, this study demonstrates a novel image analysis method for phenotyping cells within PTS and identifies MyD88 as a critical mediator in the pore-size-dependent regenerative healing and host immune response to PTS."
2022 Mar,Journal of tissue engineering and regenerative medicine,J Tissue Eng Regen Med. 2022 Mar;16(3):297-310. doi: 10.1002/term.3280. Epub 2022 ,"['Chan, Nathan R', 'Hwang, Billanna', 'Ratner, Buddy D', 'Bryers, James D']","['animals', 'macrophages', 'mice', ' monocytes', 'porosity', ' tissue scaffolds chemistry', 'wound healing', 'biomaterial scaffolds', 'cellular morphology', 'immune polarization', 'macrophages', 'monocytes']","Monocytes contribute to a pro-healing response in 40 μm diameter uniform-pore, precision-templated scaffolds.","Porous precision-templated scaffolds (PTS) with uniformly distributed 40 μm spherical pores have shown a remarkable ability in immunomodulating resident cells for tissue regeneration. While the pore size mediated pro-healing response observed only in 40 μm pore PTS has been attributed to selective macrophage polarization, monocyte recruitment and phenotype have largely been uncharacterized in regulating implant outcome. Here, we employ a double transgenic mouse model for myeloid characterization and a multifaceted phenotyping approach to quantify monocyte dynamics within subcutaneously implanted PTS. Within 40 μm PTS, myeloid cells were found to preferentially infiltrate into the scaffold. Additionally, macrophage receptor with collagenous structure (MARCO), an innate activation marker, was significantly upregulated within 40 μm PTS. When 40 μm PTS were implanted in monocyte-depleted mice, the transcription of MARCO was significantly decreased and an increase in pro-inflammatory inducible nitric oxide synthase (iNOS) and tumor necrosis factor alpha (TNFα) were observed. Typical of a foreign body response (FBR), 100 μm PTS significantly upregulated pro-inflammatory iNOS, secreted higher amounts of TNFα, and displayed a pore size dependent morphology compared to 40 μm PTS. Overall, these results identify a pore size dependent modulation of circulating monocytes and implicates MARCO expression as a defining subset of monocytes that appears to be responsible for regulating a pro-healing host response."
2021 Dec,Biomaterials,Biomaterials. 2021 Dec;279:121174. doi: 10.1016/j.biomaterials.2021.121174. Epub ,"['Zhen, Le', 'Creason, Sharon A', 'Simonovsky, Felix I', 'Snyder, Jessica M', 'Lindhartsen, Sarah L', 'Mecwan, Marvin M', 'Johnson, Brian W', 'Himmelfarb, Jonathan', 'Ratner, Buddy D']","['animals', 'biocompatible materials', 'blood vessel prosthesis', ' elastomers', 'mice', ' polyurethanes', 'porosity', 'tissue engineering', 'tissue scaffolds', 'foreign body capsule', 'healing', 'polyurethane', 'porous', 'scaffold', 'vascular graft']","Precision-porous polyurethane elastomers engineered for application in pro-healing vascular grafts: Synthesis, fabrication and detailed biocompatibility assessment.","Unmet needs for small diameter, non-biologic vascular grafts and the less-than-ideal performance of medium diameter grafts suggest opportunities for major improvements. Biomaterials that are mechanically matched to native blood vessels, reduce the foreign body capsule (FBC) and demonstrate improved integration and healing are expected to improve graft performance. In this study, we developed biostable, crosslinked polyurethane formulations and used them to fabricate scaffolds with precision-engineered 40 μm pores. We matched the scaffold mechanical properties with those of native blood vessels by optimizing the polyurethane compositions. We hypothesized that such scaffolds promote healing and mitigate the FBC. To test our hypothesis, polyurethanes with 40 μm pores, 100 μm pores, and non-porous slabs were implanted subcutaneously in mice for 3 weeks, and then were examined histologically. Our results show that 40 μm porous scaffolds elicit the highest level of angiogenesis, cellularization, and the least severe foreign body capsule (based on a refined assessment method). This study presents the first biomaterial with tuned mechanical properties and a precision engineered porous structure optimized for healing, thus can be ideal for pro-healing vascular grafts and in situ vascular engineering. In addition, these scaffolds may have wide applications in tissue engineering, drug delivery, and implantable device."
2022 May,Advanced healthcare materials,Adv Healthc Mater. 2022 May;11(9):e2100894. doi: 10.1002/adhm.202100894. Epub ,"['Zorn, Gilad', 'Simonovsky, Felix I', 'Ratner, Buddy D', 'Castner, David G']","['biocompatible materials chemistry', 'peptides', 'photoelectron spectroscopy', 'polymers chemistry', 'polyurethanes chemistry', ' spectrometry, mass, secondary ion', 'surface properties', ' urea', 'x-ray photoelectron spectroscopy', 'biodegradable polymers', 'polyurethane polymers', 'surface analysis', 'time-of-flight secondary ion mass spectrometry']",XPS and ToF-SIMS Characterization of New Biodegradable Poly(Peptide-Urethane-Urea) Block Copolymers.,"New, linear, segmented poly(peptide-urethane-urea) (PPUU) block copolymers are synthesized and their surface compositions are characterized with angle dependent X-ray photoelectron spectroscopy (ADXPS) and time-of-flight secondary ion mass spectrometry (ToF-SIMS). These new PPUU block copolymers contain three types of segments. The soft segment (SS) is poly(caprolactone diol) (PCL). The hard segment is lysine diisocyanate with a hydrazine chain extender. The oligopeptide segment (OPS) contains three types of amino acids (proline, hydroxyproline, and glycine). Incorporation of the OPS into the polyurethane backbone is done to provide a synthetic polymer material with controllable biodegradation properties. As biodegradation processes normally are initiated at the interface between the biomaterial and the living tissue, it is important to characterize the surface composition of biomaterials. ADXPS and ToF-SIMS results show that the surfaces of all four polymers are enriched with the PCL SS, the most hydrophobic component of the three polymer segments."
2020 Dec,Surface and interface analysis : SIA,Surf Interface Anal. 2020 Dec;52(12):1122-1127. doi: 10.1002/sia.6754. Epub 2020 ,"['Castner, David G', 'Ratner, Buddy D']",[],Polymer Surface Analysis: The Leadership and Contributions of David Briggs.,"David Briggs was a surface analysis pioneer. Starting in 1970 and continuing throughout his career, Dave used his expertise, vision and ability to quickly master new surface analysis methods and solve important industrial problems. It certainly helped that he was an outstanding fund raiser in both industrial and academic settings, which ensured he always had an impressive array of the latest, most advanced surface analysis instrumentation at his disposal. He insisted on doing surface analysis correctly and through his publications, databases and books he provided the community with the needed guidelines and methods to do so. In the 1970s Dave's research was largely focused on x-ray photoelectron spectroscopy (XPS, also known as electron spectroscopy for chemical analysis (ESCA)) characterization of polymers and catalysts. He added secondary ion mass spectrometry (SIMS) to his instrumentation arsenal in the 1980s and provided many of the key, pioneering publications that described how to use this method to characterize polymer surfaces. He also did some of the first surface analysis imaging experiments in the 1980s. In the 1990s he continued his XPS and SIMS research on polymers and advanced the surface analysis community's ability to properly interpret surface analysis data through data bases and advanced data processing methods. Dave continued to publish polymer and catalysis surface analysis papers in the 2000s, but also expanded his surface analysis studies to several other topics."
2021 Apr,Journal of pharmaceutical sciences,J Pharm Sci. 2021 Apr;110(4):1710-1717. doi: 10.1016/j.xphs.2020.10.057. Epub ,"['Mecwan, Marvin M', 'Dong, Xia', 'Shi, Galen H', 'Ratner, Buddy D']","['adsorption', ' pharmaceutical preparations', 'polymerization', 'siloxanes', 'surface properties', ' syringes', 'glass vials', 'hmdso', 'hypodermic syringes', 'igg', 'protein adsorption', 'protein retention', 'rfgd plasma polymerization', 'silicone oil']",Plasma Polymerized HMDSO Coatings For Syringes To Minimize Protein Adsorption.,"Current parenteral containers used for the storage and delivery of protein-based drugs, contain silicone oil which may seep into the protein solution and can result in adsorption, aggregation and denaturation of the protein. Tightly adherent surface coatings prepared by radio frequency glow-discharge (RFGD) plasma polymerization are described in this paper. Using this robust technique, methacrylic acid (MA) (hydrophilic), hexamethyldisiloxane (HMDSO) (hydrophobic), tetraglyme (TG) (hydrophilic) were plasma polymerized onto glass. In addition, HMDSO and MA were copolymerized to create a plasma polymerized HMDSO-MA (hydrophobic) surface. Untreated glass and glass dip-coated in PDMS were used as controls. TG and MA plasma coatings adsorbed the least amount of protein in all pH conditions. Interestingly HMDSO-MA retained significantly lesser protein compared to HMDSO and dip-coated PDMS samples. In the presence of Polysorbate 80 (PS80) all plasma polymerized coatings adsorbed and retained negligible amounts of protein, compared to controls. Furthermore, the peak glide force of plasma coated syringes did not significantly increase compared to syringes without plasma coating. Due to the versatility of RFGD plasma, this process is scalable and could potentially be used for the treatment of hypodermic syringes used for the storage and delivery of protein-based therapeutics."
2020 Sep 16,ACS applied materials & interfaces,ACS Appl Mater Interfaces. 2020 Sep 16;12(37):41026-41037. doi: ,"['Lin, Xiaojie', 'Wu, Kan', 'Zhou, Qiong', 'Jain, Priyesh', ""Boit, Mary O'Kelly"", 'Li, Bowen', 'Hung, Hsiang-Chieh', 'Creason, Sharon A', 'Himmelfarb, Jonathan', 'Ratner, Buddy D', 'Jiang, Shaoyi']","['adsorption', 'animals', 'biocompatible materials  chemistry', 'mice', 'molecular structure', 'nih 3t3 cells', 'particle size', 'photochemical processes', 'plasticizers  chemistry', 'polymers chemical synthesis  chemistry', 'surface properties', 'carboxybetaine (cb) copolymers', 'photoreactive', 'plasticizer leaching', 'surface modification', 'ultra-low fouling']",Photoreactive Carboxybetaine Copolymers Impart Biocompatibility and Inhibit Plasticizer Leaching on Polyvinyl Chloride.,"Protein and cell interactions on implanted, blood-contacting medical device surfaces can lead to adverse biological reactions. Medical-grade poly(vinyl chloride) (PVC) materials have been used for decades, particularly as blood-contacting tubes and containers. However, there are numerous concerns with their performance including platelet activation, complement activation, and thrombin generation and also leaching of plasticizers, particularly in clinical applications. Here, we report a surface modification method that can dramatically prevent blood protein adsorption, human platelet activation, and complement activation on commercial medical-grade PVC materials under various test conditions. The surface modification can be accomplished through simple dip-coating followed by light illumination utilizing biocompatible polymers comprising zwitterionic carboxybetaine (CB) moieties and photosensitive cross-linking moieties. This surface treatment can be manufactured routinely at small or large scales and can impart to commercial PVC materials superhydrophilicity and nonfouling capability. Furthermore, the polymer effectively prevented leaching of plasticizers out from commercial medical-grade PVC materials. This coating technique is readily applicable to many other polymers and medical devices requiring surfaces that will enhance performance in clinical settings."
