time,journal,doi_info,authors,key words,title,abstract
2024,Frontiers in bioengineering and biotechnology,Front Bioeng Biotechnol. 2024 Apr 12;12:1382389. doi: 10.3389/fbioe.2024.1382389. ,"['Wang, Hao', 'Kim, Raehyun', 'Wang, Yuli', 'Furtado, Kathleen L', 'Sims, Christopher E', 'Tamayo, Rita', 'Allbritton, Nancy L']","['bile acid', 'enterotoxin', 'gut microbiome', 'interactions', 'intestine', 'multi-species culture', 'oxygen gradient']",In vitro co-culture of Clostridium scindens with primary human colonic epithelium protects the epithelium against Staphylococcus aureus.,"A complex and dynamic network of interactions exists between human gastrointestinal epithelium and intestinal microbiota. Therefore, comprehending intestinal microbe-epithelial cell interactions is critical for the understanding and treatment of intestinal diseases. Primary human colonic epithelial cells derived from a healthy human donor were co-cultured with Clostridium scindens (C. scindens), a probiotic obligate anaerobe; Staphylococcus aureus (S. aureus), a facultative anaerobe and intestinal pathogen; or both bacterial species in tandem. The co-culture hanging basket platform used for these experiments possessed walls of controlled oxygen (O(2)) permeability to support the formation of an O(2) gradient across the intestinal epithelium using cellular O(2) consumption, resulting in an anaerobic luminal and aerobic basal compartment. Both the colonic epithelial cells and C. scindens remained viable over 48 h during co-culture. In contrast, co-culture with S. aureus elicited significant damage to colonic epithelial cells within 24 h. To explore the influence of the intestinal pathogen on the epithelium in the presence of the probiotic bacteria, colonic epithelial cells were inoculated sequentially with the two bacterial species. Under these conditions, C. scindens was capable of repressing the production of S. aureus enterotoxin. Surprisingly, although C. scindens converted cholic acid to secondary bile acids in the luminal medium, the growth of S. aureus was not significantly inhibited. Nevertheless, this combination of probiotic and pathogenic bacteria was found to benefit the survival of the colonic epithelial cells compared with co-culture of the epithelial cells with S. aureus alone. This platform thus provides an easy-to-use and low-cost tool to study the interaction between intestinal bacteria and colonic cells in vitro to better understand the interplay of intestinal microbiota with human colonic epithelium."
2024 Sep,Biomaterials,Biomaterials. 2024 Sep;309:122577. doi: 10.1016/j.biomaterials.2024.122577. Epub ,"['Wang, Alan S', 'Villegas-Novoa, Cecilia', 'Wang, Yuli', 'Sims, Christopher E', 'Allbritton, Nancy L']","[' mucus metabolism', 'animals', ' colon physiology', ' intestinal mucosa metabolism cytology', ' feces chemistry', 'swine', 'hydrogels chemistry', 'shear strength', 'sulfones chemistry', 'stress, mechanical', 'polyethylene glycols chemistry', 'colon', 'fecal surrogate', 'hydrogel', 'magnetic', 'michael addition', 'mucus', 'primary cells', 'vinyl sulfone']","Mucus-coated, magnetically-propelled fecal surrogate to mimic fecal shear forces on colonic epithelium.","The relationship between the mechanical forces associated with bowel movement and colonic mucosal physiology is understudied. This is partly due to the limited availability of physiologically relevant fecal models that can exert these mechanical stimuli in in vitro colon models in a simple-to-implement manner. In this report, we created a mucus-coated fecal surrogate that was magnetically propelled to produce a controllable sweeping mechanical stimulation on primary intestinal epithelial cell monolayers. The mucus layer was derived from purified porcine stomach mucins, which were first modified with reactive vinyl sulfone (VS) groups followed by reaction with a thiol crosslinker (PEG-4SH) via a Michael addition click reaction. Formation of mucus hydrogel network was achieved at the optimal mixing ratio at 2.5 % w/v mucin-VS and 0.5 % w/v PEG-4SH. The artificial mucus layer possessed similar properties as the native mucus in terms of its storage modulus (66 Pa) and barrier function (resistance to penetration by 1-μm microbeads). This soft, but mechanically resilient mucus layer was covalently linked to a stiff fecal hydrogel surrogate (based on agarose and magnetic particles, with a storage modulus of 4600 Pa). The covalent bonding between the mucus and agarose ensured its stability in the subsequent fecal sliding movement when tested at travel distances as long as 203 m. The mucus layer served as a lubricant and protected epithelial cells from the moving fecal surrogate over a 1 h time without cell damage. To demonstrate its utility, this mucus-coated fecal surrogate was used to mechanically stimulate a fully differentiated, in vitro primary colon epithelium, and the physiological stimulated response of mucin-2 (MUC2), interleukin-8 (IL-8) and serotonin (5HT) secretion was quantified. Compared with a static control, mechanical stimulation caused a significant increase in MUC2 secretion into luminal compartment (6.4 × ), a small but significant increase in IL-8 secretion (2.5 × and 3.5 × , at both luminal and basal compartments, respectively), and no detectable alteration in 5HT secretion. This mucus-coated fecal surrogate is expected to be useful in in vitro colon organ-on-chips and microphysiological systems to facilitate the investigation of feces-induced mechanical stimulation on intestinal physiology and pathology."
2022 Oct 4,Analytical chemistry,Anal Chem. 2022 Oct 4;94(39):13489-13497. doi: 10.1021/acs.analchem.2c02622. Epub ,"['Wang, Yuli', 'Yao, Ming', 'Sims, Christopher E', 'Allbritton, Nancy L']","['chromatography, thin layer methods', ' fluorescent dyes', 'lipids', 'porosity', ' silicon dioxide chemistry']",Monolithic Silica Microbands Enable Thin-Layer Chromatography Analysis of Single Cells.,"A picoliter thin-layer chromatography (pTLC) platform was developed for analyzing extremely miniature specimens, such as assay of the contents of a single cell of 1 picoliter volume. The pTLC chip consisted of an array of microscale bands made from highly porous monolithic silica designed to accept picoliter-scale volume samples. pTLC bands were fabricated by combining sol-gel chemistry and microfabrication technology. The width (60-80 μm) and depth (13 μm) of each band is comparable to the size of single cells and acted to reduce the lateral diffusion and confine the movement of compounds along the microbands. Ultrasmall volumes (tens of pL) of model fluorescent compounds were spotted onto the microband by a piezoelectric microdispenser and successfully separated by pTLC. The separation resolution and analyte migration were dependent on the macropore size (ranging from 0.3 to 2.3 μm), which was adjustable by changing the porogen concentration during the sol-gel process. For a 0.3 μm macropore size, attomoles of analyte were detectable by fluorescence using standard microscopy methods. The separation resolution, theoretical plate number, and separation times ranged from 1.3 to 2.1, 4 to 357, and 2 to 8 min, respectively, for the chosen model biological lipids. To demonstrate the capability of pTLC for separating analytes from single mammalian cells, cells loaded with fluorescent lipophilic dyes or sphingosine kinase reporter were spotted on microbands, and the single-cell contents separated by pTLC were detected from their fluorescence. These results demonstrate the potential of pTLC for applications in many areas where miniature specimens and high-throughput parallel analyses are needed."
2022 Nov,Advanced biology,Adv Biol (Weinh). 2022 Nov;6(11):e2200129. doi: 10.1002/adbi.202200129. Epub 2022 ,"['Hinman, Samuel S', 'Massaro, Angelo', 'Wang, Yuli', 'Sims, Christopher E', 'Kim, Raehyun', 'Allbritton, Nancy L']","['humans', ' hydrogels pharmacology', 'cells, cultured', ' colon', 'collagen', 'cell communication', 'chemotaxis', 'collagen', 'colon epithelium', 'hydrogels', 'immune response', 'immune system']",Suspended Collagen Hydrogels to Replicate Human Colonic Epithelial Cell Interactions with Immune Cells.,"The human colon plays a critical role in fluid and salt absorption and harbors the largest immune compartment. There is a widespread need for in vitro models of human colon physiology with its innate immune system. A method is described to produce a cassette with a network of struts supporting a suspended, non-chemically cross-linked collagen hydrogel scaffold compatible with the co-culture of primary gastrointestinal epithelium and migratory inflammatory cells. The epithelial monolayer cultured on the suspended collagen possesses a population of polarized and differentiated cells similar to that present in vivo. This epithelial layer displays proper barrier function with a transepithelial electrical resistance (TEER) ≥ 1,500 Ω cm(2) and an apparent permeability ≤10(-5) cm(2) s(-1) . Immune cells plated on the basal face of the scaffold transmigrated over a period of 24 h to the epithelial layer in response to epithelial production of IL-8 induced by luminal stimulation of Clostridium difficile Toxin A. These studies demonstrate that this in vitro platform possesses a functional primary colonic epithelial layer with an immune cell compartment capable of recruitment in response to pro-inflammatory cues coming from the epithelium."
2022 Jul 12,Analytical chemistry,Anal Chem. 2022 Jul 12;94(27):9648-9655. doi: 10.1021/acs.analchem.2c00912. Epub ,"['Villegas-Novoa, Cecilia', 'Wang, Yuli', 'Sims, Christopher E', 'Allbritton, Nancy L']","['animals', ' diabetes mellitus, type 2 metabolism', 'enteroendocrine cells metabolism', ' glucagon-like peptide 1 metabolism', 'humans', 'intestinal mucosa metabolism', 'l cells', 'mice']",Development of a Primary Human Intestinal Epithelium Enriched in L-Cells for Assay of GLP-1 Secretion.,"Type 2 diabetes mellitus is a chronic disease associated with obesity and dysregulated human feeding behavior. The hormone glucagon-like peptide 1 (GLP-1), a critical regulator of body weight, food intake, and blood glucose levels, is secreted by enteroendocrine L-cells. The paucity of L-cells in primary intestinal cell cultures including organoids and monolayers has made assays of GLP-1 secretion from primary human cells challenging. In the current paper, an analytical assay pipeline consisting of an optimized human intestinal tissue construct enriched in L-cells paired with standard antibody-based GLP-1 assays was developed to screen compounds for the development of pharmaceuticals to modulate L-cell signaling. The addition of the serotonin receptor agonist Bimu 8, optimization of R-spondin and Noggin concentrations, and utilization of vasoactive intestinal peptide (VIP) increased the density of L-cells in a primary human colonic epithelial monolayer. Additionally, the incorporation of an air-liquid interface culture format increased the L-cell number so that the signal-to-noise ratio of conventional enzyme-linked immunoassays could be used to monitor GLP-1 secretion in compound screens. To demonstrate the utility of the optimized analytical method, 21 types of beverage sweeteners were screened for their ability to stimulate GLP-1 secretion. Stevioside and cyclamate were found to be the most potent inducers of GLP-1 secretion. This platform enables the quantification of GLP-1 secretion from human primary L-cells and will have broad application in understanding L-cell formation and physiology and will improve the identification of modulators of human feeding behavior."
2022,Frontiers in bioengineering and biotechnology,Front Bioeng Biotechnol. 2022 Jun 8;10:890396. doi: 10.3389/fbioe.2022.890396. ,"['Kim, Raehyun', 'Wang, Yuli', 'Sims, Christopher E', 'Allbritton, Nancy L']","['bacterial co-culture', 'butyrate', 'gut microbiome', 'intestine', 'organ on a chip', 'oxygen gradient', 'probiotics']",A Platform for Co-Culture of Primary Human Colonic Epithelium With Anaerobic Probiotic Bacteria.,"An in vitro platform was designed and optimized for the co-culture of probiotic anaerobic bacteria with a primary human colonic epithelium having a goal of assessing the anti-inflammatory impact of the probiotic bacteria. The device maintained a luminal O(2) concentration at <1% while also supporting an oxygenated basal compartment at 10% for at least 72 h. Measurement of the transepithelial resistance of a confluent colonic epithelium showed high monolayer integrity while fluorescence assays demonstrated that the monolayer was comprised primarily of goblet cells and colonocytes, the two major differentiated cell subtypes of the colonic epithelium. High monolayer barrier function and viability were maintained during co-culture of the epithelium with the probiotic obligate anaerobe Anaerobutyricum hallii (A. hallii). Importantly the device supported a static co-culture of microbes and colonic epithelium mimicking the largely static or low flow conditions within the colonic lumen. A model inflamed colonic epithelium was generated by the addition of tumor necrosis factor-α (TNF-α) and lipopolysaccharide (LPS) to the basal and luminal epithelium sides, respectively. Co-culture of A. hallii with the LPS/TNF-α treated intestine diminished IL-8 secretion by ≥40% which could be mimicked by co-culture with the A. hallii metabolite butyrate. In contrast, co-culture of the inflamed epithelium with two strains of lactic acid-producing bacteria, Lactobacillus rhamnosus GG (LGG) and Bifidobacterium adolescentis (B. adolescentis), did not diminish epithelial IL-8 secretion. Co-culture with colonic epithelial cells from different donors demonstrated a consistent anti-inflammatory effect by A. hallii, but distinct responses to co-culture with LGG and B. adolescentis. The demonstrated system offers a simple and easily adopted platform for examining the physiologic impact of alterations in the intestinal epithelium that occur in the presence of probiotic bacteria and their metabolites."
2022 Jul 5,Analytical chemistry,Anal Chem. 2022 Jul 5;94(26):9345-9354. doi: 10.1021/acs.analchem.2c00905. Epub ,"['Wang, Yuli', 'Sims, Christopher E', 'Allbritton, Nancy L']","['adult', 'cell differentiation', 'cell movement', 'cell proliferation', ' collagen', 'humans', ' intestinal mucosa']",Human 2D Crypt Model for Assaying Intestinal Stem Cell Proliferation and Differentiation.,"Intestine is a common site of adverse drug effects in clinical trials; thus, improved in vitro models for preclinical screening of pharmaceutical compounds are sought. A planar, self-renewing human intestinal monolayer platform based on primary adult gastrointestinal stem cells, termed the 2D crypt model, has been developed to screen for the effects of various compounds on the intestinal epithelium. The 2D crypt platform is based on a standard 12-well plate format and consists of cell culture inserts with a collagen film overlaying an impermeable film patterned with an array of micron-scale holes. This two-chamber format enables a gradient of growth factors to be applied such that the tissue self-organizes into spatially segregated stem and differentiated cell compartments. The patterned monolayer mimics a gut epithelium in possessing a stem cell niche, migrating proliferative and differentiated cells. Once established, the 2D crypts replicate many aspects of in vivo physiology, including cell migration, maturation, and apoptotic cell death. The planar geometry of the system simplifies dosing, sampling, and imaging during assay. An immunofluorescence-based assay was established to quantitatively assess cell density, proliferation, migration, viability, and the abundance and localization of postmitotic lineages as a function of time. The model was used to perform a small-scale screen of compounds, including signaling molecules, endogenous hormones/cytokines, and microbial metabolites, on tissue homeostasis. Hit compounds that significantly impacted proliferation and/or differentiation were readily identified. The 2D crypt platform represents a significant innovation in the development of microphysiological systems for emulating the gut epithelium for compound screens."
2021 Sep 7,Lab on a chip,Lab Chip. 2021 Sep 7;21(17):3204-3218. doi: 10.1039/d1lc00506e. Epub 2021 Aug 4.,"['Cortés-Llanos, Belén', 'Wang, Yuli', 'Sims, Christopher E', 'Allbritton, Nancy L']","['cell movement', 'cell separation', ' high-throughput screening assays', 'sequence analysis, rna', ' technology']",A technology of a different sort: microraft arrays.,"A common procedure performed throughout biomedical research is the selection and isolation of biological entities such as organelles, cells and organoids from a mixed population. In this review, we describe the development and application of microraft arrays, an analysis and isolation platform which enables a vast range of criteria and strategies to be used when separating biological entities. The microraft arrays are comprised of elastomeric microwells with detachable polymer bases (microrafts) that act as capture and culture sites as well as supporting carriers during cell isolation. The technology is elegant in its simplicity and can be implemented for samples possessing tens to millions of objects yielding a flexible platform for applications such as single-cell RNA sequencing, subcellular organelle capture and assay, high-throughput screening and development of CRISPR gene-edited cell lines, and organoid manipulation and selection. The transparent arrays are compatible with a multitude of imaging modalities enabling selection based on 2D or 3D spatial phenotypes or temporal properties. Each microraft can be individually isolated on demand with retention of high viability due to the near zero hydrodynamic stress imposed upon the cells during microraft release, capture and deposition. The platform has been utilized as a simple manual add-on to a standard microscope or incorporated into fully automated instruments that implement state-of-the-art imaging algorithms and machine learning. The vast array of selection criteria enables separations not possible with conventional sorting methods, thus garnering widespread interest in the biological and pharmaceutical sciences."
2021 Jun 15,Integrative biology : quantitative biosciences from nano to macro,Integr Biol (Camb). 2021 Jun 15;13(6):139-152. doi: 10.1093/intbio/zyab008.,"['Dutton, Johanna S', 'Hinman, Samuel S', 'Kim, Raehyun', 'Attayek, Peter J', 'Maurer, Mallory', 'Sims, Christopher S', 'Allbritton, Nancy L']","['colon', 'epithelial cells', 'humans', ' hyperglycemia', 'intestinal mucosa', ' tumor necrosis factor-alpha', 'tnfα', 'colon', 'glucose', 'hyperglycemia', 'intestinal epithelium', 'large intestine', 'primary tissue']",Hyperglycemia minimally alters primary self-renewing human colonic epithelial cells while TNFα-promotes severe intestinal epithelial dysfunction.,"Hyperglycemia is thought to increase production of inflammatory cytokines and permeability of the large intestine. Resulting intestinal inflammation is then often characterized by excess secretion of tumor necrosis factor alpha (TNFα). Thus, hyperglycemia in hospitalized patients suffering from severe trauma or disease is frequently accompanied by TNFα secretion, and the combined impact of these insults on the intestinal epithelium is poorly understood. This study utilized a simple yet elegant model of the intestinal epithelium, comprised of primary human intestinal stem cells and their differentiated progeny, to investigate the impact of hyperglycemia and inflammatory factors on the colonic epithelium. When compared to epithelium cultured under conditions of physiologic glucose, cells under hyperglycemic conditions displayed decreased mucin-2 (MUC2), as well as diminished alkaline phosphatase (ALP) activity. Conditions of 60 mM glucose potentiated secretion of the cytokine IL-8 suggesting that cytokine secretion during hyperglycemia may be a source of tissue inflammation. TNFα measurably increased secretion of IL-8 and IL-1β, which was enhanced at 60 mM glucose. Surprisingly, intestinal permeability and paracellular transport were not altered by even extreme levels of hyperglycemia. The presence of TNFα increased MUC2 presence, decreased ALP activity, and negatively impacted monolayer barrier function. When TNFα hyperglycemia and ≤30 mM glucose and were combined, MUC2 and ALP activity remained similar to that of TNFα alone, although synergistic effects were seen at 60 mM glucose. An automated image analysis pipeline was developed to assay changes in properties of the zonula occludens-1 (ZO-1)-demarcated cell boundaries. While hyperglycemia alone had little impact on cell shape and size, cell morphologic properties were extraordinarily sensitive to soluble TNFα. These results suggest that TNFα acted as the dominant modulator of the epithelium relative to glucose, and that control of inflammation rather than glucose may be key to maintaining intestinal homeostasis."
2021 Jun,Trends in biotechnology,Trends Biotechnol. 2021 Jun;39(6):613-623. doi: 10.1016/j.tibtech.2020.10.006. ,"['LaBelle, Cody A', 'Massaro, Angelo', 'Cortés-Llanos, Belén', 'Sims, Christopher E', 'Allbritton, Nancy L']","[' cell physiological phenomena', ' cell separation instrumentation methods', ' microfluidics', 'cell sorting', 'cytometry', 'imaging', 'microarrays', 'microdevice', 'microfluidics']",Image-Based Live Cell Sorting.,"Technologies capable of cell separation based on cell images provide powerful tools enabling cell selection criteria that rely on spatially or temporally varying properties. Image-based cell sorting (IBCS) systems utilize microfluidic or microarray platforms, each having unique characteristics and applications. The advent of IBCS marks a new paradigm in which cell phenotype and behavior can be explored with high resolution and tied to cellular physiological and omics data, providing a deeper understanding of single-cell physiology and the creation of cell lines with unique properties. Cell sorting guided by high-content image information has far-reaching implications in biomedical research, clinical medicine, and pharmaceutical development."
