time,journal,doi_info,authors,key words,title,abstract
2024 Jun 19,Bioconjugate chemistry,Bioconjug Chem. 2024 Jun 19;35(6):750-757. doi: 10.1021/acs.bioconjchem.4c00223. ,"['Gharios, Ryan', 'Li, Annabella', 'Kopyeva, Irina', 'Francis, Ryan M', 'DeForest, Cole A']","[' inteins', 'green fluorescent proteins chemistry metabolism genetics', 'beta-lactamases metabolism chemistry', 'luminescent proteins chemistry', 'epidermal growth factor metabolism chemistry', 'red fluorescent protein', 'proteins chemistry']",One-Step Purification and N-Terminal Functionalization of Bioactive Proteins via Atypically Split Inteins.,"Site-specific installation of non-natural functionality onto proteins has enabled countless applications in biotechnology, chemical biology, and biomaterials science. Though the N-terminus is an attractive derivatization location, prior methodologies targeting this site have suffered from low selectivity, a limited selection of potential chemical modifications, and/or challenges associated with divergent protein purification/modification steps. In this work, we harness the atypically split VidaL intein to simultaneously N-functionalize and purify homogeneous protein populations in a single step. Our method─referred to as VidaL-tagged expression and protein ligation (VEPL)─enables modular and scalable production of N-terminally modified proteins with native bioactivity. Demonstrating its flexibility and ease of use, we employ VEPL to combinatorially install 4 distinct (multi)functional handles (e.g., biotin, alkyne, fluorophores) to the N-terminus of 4 proteins that span three different classes: fluorescent (Enhanced Green Fluorescent Protein, mCherry), enzymatic (β-lactamase), and growth factor (epidermal growth factor). Moving forward, we anticipate that VEPL's ability to rapidly generate and isolate N-modified proteins will prove useful across the growing fields of applied chemical biology."
2024 May 10,bioRxiv : the preprint server for biology,bioRxiv [Preprint]. 2024 May 10:2024.05.07.592971. doi: ,"['Gregorio, Nicole E', 'DeForest, Cole A']",[],PhoCoil: An Injectable and Photodegradable Single-component Recombinant Protein Hydrogel for Localized Therapeutic Cell Delivery.,"Hydrogel biomaterials offer great promise for 3D cell culture and therapeutic delivery. Despite many successes, challenges persist in that gels formed from natural proteins are only marginally tunable while those derived from synthetic polymers lack intrinsic bioinstructivity. Towards the creation of biomaterials with both excellent biocompatibility and customizability, recombinant protein-based hydrogels have emerged as molecularly defined and user-programmable platforms that mimic the proteinaceous nature of the extracellular matrix. Here, we introduce PhoCoil, a dynamically tunable recombinant hydrogel formed from a single protein component with unique multi-stimuli responsiveness. Physical crosslinking through coiled-coil interactions promotes rapid shear-thinning and self-healing behavior, rendering the gel injectable, while an included photodegradable motif affords on-demand network dissolution via visible light. PhoCoil gel photodegradation can be spatiotemporally and lithographically controlled in a dose-dependent manner, through complex tissue, and without harm to encapsulated cells. We anticipate that PhoCoil will enable new applications in tissue engineering and regenerative medicine."
2024 Apr 8,bioRxiv : the preprint server for biology,bioRxiv [Preprint]. 2024 Apr 8:2024.04.04.588191. doi: 10.1101/2024.04.04.588191.,"['Kopyeva, Irina', 'Goldner, Ethan C', 'Hoye, Jack W', 'Yang, Shiyu', 'Regier, Mary C', 'Vera, Kaitlyn R', 'Bretherton, Ross C', 'DeForest, Cole A']","['bioorthogonal', 'hydrogel', 'mechanomemory', 'sortase', 'stimuli-responsive']",Stepwise Stiffening/Softening of and Cell Recovery from Reversibly Formulated Hydrogel Double Networks.,"Biomechanical contributions of the ECM underpin cell growth and proliferation, differentiation, signal transduction, and other fate decisions. As such, biomaterials whose mechanics can be spatiotemporally altered - particularly in a reversible manner - are extremely valuable for studying these mechanobiological phenomena. Herein, we introduce a poly(ethylene glycol) (PEG)-based hydrogel model consisting of two interpenetrating step-growth networks that are independently formed via largely orthogonal bioorthogonal chemistries and sequentially degraded with distinct bacterial transpeptidases, affording reversibly tunable stiffness ranges that span healthy and diseased soft tissues (e.g., 500 Pa - 6 kPa) alongside terminal cell recovery for pooled and/or single-cell analysis in a near ""biologically invisible"" manner. Spatiotemporal control of gelation within the primary supporting network was achieved via mask-based and two-photon lithography; these stiffened patterned regions could be subsequently returned to the original soft state following sortase-based secondary network degradation. Using this approach, we investigated the effects of 4D-triggered network mechanical changes on human mesenchymal stem cell (hMSC) morphology and Hippo signaling, as well as Caco-2 colorectal cancer cell mechanomemory at the global transcriptome level via RNAseq. We expect this platform to be of broad utility for studying and directing mechanobiological phenomena, patterned cell fate, as well as disease resolution in softer matrices."
2024 Jun,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)",Adv Sci (Weinh). 2024 Jun;11(24):e2301708. doi: 10.1002/advs.202301708. Epub 2024 ,"['Bennett, Jennifer I', ""Boit, Mary O'Kelly"", 'Gregorio, Nicole E', 'Zhang, Fan', 'Kibler, Ryan D', 'Hoye, Jack W', 'Prado, Olivia', 'Rapp, Peter B', 'Murry, Charles E', 'Stevens, Kelly R', 'DeForest, Cole A']","[' hydrogels chemistry', 'humans', ' biocompatible materials chemistry', 'cell- and tissue-based therapy methods', 'elasticity', 'animals', 'viscosity', 'mice', 'elastin genetics chemistry metabolism', 'xten', 'biomaterial', 'biopolymer', 'coiled‐coil', 'hydrogels', 'injectable', 'protein']",Genetically Encoded XTEN-based Hydrogels with Tunable Viscoelasticity and Biodegradability for Injectable Cell Therapies.,"While direct cell transplantation holds great promise in treating many debilitating diseases, poor cell survival and engraftment following injection have limited effective clinical translation. Though injectable biomaterials offer protection against membrane-damaging extensional flow and supply a supportive 3D environment in vivo that ultimately improves cell retention and therapeutic costs, most are created from synthetic or naturally harvested polymers that are immunogenic and/or chemically ill-defined. This work presents a shear-thinning and self-healing telechelic recombinant protein-based hydrogel designed around XTEN - a well-expressible, non-immunogenic, and intrinsically disordered polypeptide previously evolved as a genetically encoded alternative to PEGylation to ""eXTENd"" the in vivo half-life of fused protein therapeutics. By flanking XTEN with self-associating coil domains derived from cartilage oligomeric matrix protein, single-component physically crosslinked hydrogels exhibiting rapid shear thinning and self-healing through homopentameric coiled-coil bundling are formed. Individual and combined point mutations that variably stabilize coil association enables a straightforward method to genetically program material viscoelasticity and biodegradability. Finally, these materials protect and sustain viability of encapsulated human fibroblasts, hepatocytes, embryonic kidney (HEK), and embryonic stem-cell-derived cardiomyocytes (hESC-CMs) through culture, injection, and transcutaneous implantation in mice. These injectable XTEN-based hydrogels show promise for both in vitro cell culture and in vivo cell transplantation applications."
2023 Dec 6,Matter,Matter. 2023 Dec 6;6(12):4195-4244. doi: 10.1016/j.matt.2023.10.012. Epub 2023 ,"['Gharios, Ryan', 'Francis, Ryan M', 'DeForest, Cole A']","['biofunctional', 'biomaterials', 'bioresponsive', 'drug delivery', 'hydrogels', 'synthetic biology', 'tissue engineering']",Chemical and Biological Engineering Strategies to Make and Modify Next-Generation Hydrogel Biomaterials.,"There is a growing interest in the development of technologies to probe and direct in vitro cellular function for fundamental organoid and stem cell biology, functional tissue and metabolic engineering, and biotherapeutic formulation. Recapitulating many critical aspects of the native cellular niche, hydrogel biomaterials have proven to be a defining platform technology in this space, catapulting biological investigation from traditional two-dimensional (2D) culture into the 3D world. Seeking to better emulate the dynamic heterogeneity characteristic of all living tissues, global efforts over the last several years have centered around upgrading hydrogel design from relatively simple and static architectures into stimuli-responsive and spatiotemporally evolvable niches. Towards this end, advances from traditionally disparate fields including bioorthogonal click chemistry, chemoenzymatic synthesis, and DNA nanotechnology have been co-opted and integrated to construct 4D-tunable systems that undergo preprogrammed functional changes in response to user-defined inputs. In this Review, we highlight how advances in synthetic, semisynthetic, and bio-based chemistries have played a critical role in the triggered creation and customization of next-generation hydrogel biomaterials. We also chart how these advances stand to energize the translational pipeline of hydrogels from bench to market and close with an outlook on outstanding opportunities and challenges that lay ahead."
2024 Feb 6,Proceedings of the National Academy of Sciences of the United States of America,Proc Natl Acad Sci U S A. 2024 Feb 6;121(6):e2309457121. doi: ,"['Mout, Rubul', 'Bretherton, Ross C', 'Decarreau, Justin', 'Lee, Sangmin', 'Gregorio, Nicole', 'Edman, Natasha I', 'Ahlrichs, Maggie', 'Hsia, Yang', 'Sahtoe, Danny D', 'Ueda, George', 'Sharma, Alee', 'Schulman, Rebecca', 'DeForest, Cole A', 'Baker, David']","['animals', ' hydrogels chemistry', 'biopolymers', ' biocompatible materials', 'mammals', 'biomolecular condensate', 'de novo protein design', 'protein hydrogels', 'self-assembly', 'viscoelasticity']",De novo design of modular protein hydrogels with programmable intra- and extracellular viscoelasticity.,"Relating the macroscopic properties of protein-based materials to their underlying component microstructure is an outstanding challenge. Here, we exploit computational design to specify the size, flexibility, and valency of de novo protein building blocks, as well as the interaction dynamics between them, to investigate how molecular parameters govern the macroscopic viscoelasticity of the resultant protein hydrogels. We construct gel systems from pairs of symmetric protein homo-oligomers, each comprising 2, 5, 24, or 120 individual protein components, that are crosslinked either physically or covalently into idealized step-growth biopolymer networks. Through rheological assessment, we find that the covalent linkage of multifunctional precursors yields hydrogels whose viscoelasticity depends on the crosslink length between the constituent building blocks. In contrast, reversibly crosslinking the homo-oligomeric components with a computationally designed heterodimer results in viscoelastic biomaterials exhibiting fluid-like properties under rest and low shear, but solid-like behavior at higher frequencies. Exploiting the unique genetic encodability of these materials, we demonstrate the assembly of protein networks within living mammalian cells and show via fluorescence recovery after photobleaching (FRAP) that mechanical properties can be tuned intracellularly in a manner similar to formulations formed extracellularly. We anticipate that the ability to modularly construct and systematically program the viscoelastic properties of designer protein-based materials could have broad utility in biomedicine, with applications in tissue engineering, therapeutic delivery, and synthetic biology."
2024 Apr,Nature protocols,Nat Protoc. 2024 Apr;19(4):1015-1052. doi: 10.1038/s41596-023-00938-0. Epub 2024 ,"['Munoz-Robles, Brizzia G', 'DeForest, Cole A']","['animals', ' escherichia coli genetics metabolism', 'recombinant proteins genetics', ' protein engineering methods', 'amino acids', 'mammals']",Irreversible light-activated SpyLigation mediates split-protein assembly in 4D.,"The conditional assembly of split-protein pairs to modulate biological activity is commonly achieved by fusing split-protein fragments to dimerizing components that bring inactive pairs into close proximity in response to an exogenous trigger. However, current methods lack full spatial and temporal control over reconstitution, require sustained activation and lack specificity. Here light-activated SpyLigation (LASL), based on the photoregulation of the covalent SpyTag (ST)/SpyCatcher (SC) peptide-protein reaction, assembles nonfunctional split fragment pairs rapidly and irreversibly in solution, in engineered biomaterials and intracellularly. LASL introduces an ortho-nitrobenzyl(oNB)-caged lysine into SC's reactive site to generate a photoactivatable SC (pSC). Split-protein pairs of interest fused to pSC and ST are conditionally assembled via near-ultraviolet or pulsed near-infrared irradiation, as the uncaged SC can react with ST to ligate appended fragments. We describe procedures for the efficient synthesis of the photocaged amino acid that is incorporated within pSC (<5 days) as well as the design and cloning of LASL plasmids (1-4 days) for recombinant protein expression in either Escherichia coli (5-6 days) or mammalian cells (4-6 days), which require some prior expertise in protein engineering. We provide a chemoenzymatic scheme for appending bioorthogonal reactive handles onto E. coli-purified pSC protein (<4 days) that permits LASL component incorporation and patterned protein activation within many common biomaterial platforms. Given that LASL is irreversible, the photolithographic patterning procedures are fast and do not require sustained light exposure. Overall, LASL can be used to interrogate and modulate cell signaling in various settings."
2023 Sep 1,bioRxiv : the preprint server for biology,bioRxiv [Preprint]. 2023 Sep 1:2023.09.01.554391. doi: 10.1101/2023.09.01.554391.,"['Nealy, Eric S', 'Reed, Steven J', 'Adelmund, Steve M', 'Badeau, Barry A', 'Shadish, Jared A', 'Girard, Emily J', 'Pakiam, Fiona J', 'Mhyre, Andrew J', 'Price, Jason P', 'Sarkar, Surojit', 'Kalia, Vandana', 'DeForest, Cole A', 'Olson, James M']","['chemokines', 'controlled release', 'drug delivery', 'hydrogel', 'melanoma', 'spaac', 'sortase', 'therapeutic']",Versatile Tissue-Injectable Hydrogels with Extended Hydrolytic Release of Bioactive Protein Therapeutics.,"Hydrogels generally have broad utilization in healthcare due to their tunable structures, high water content, and inherent biocompatibility. FDA-approved applications of hydrogels include spinal cord regeneration, skin fillers, and local therapeutic delivery. Drawbacks exist in the clinical hydrogel space, largely pertaining to inconsistent therapeutic exposure, short-lived release windows, and difficulties inserting the polymer into tissue. In this study, we engineered injectable, biocompatible hydrogels that function as a local protein therapeutic depot with a high degree of user-customizability. We showcase a PEG-based hydrogel functionalized with bioorthogonal strain-promoted azide-alkyne cycloaddition (SPAAC) handles for its polymerization and functionalization with a variety of payloads. Small-molecule and protein cargos, including chemokines and antibodies, were site-specifically modified with hydrolysable ""azidoesters"" of varying hydrophobicity via direct chemical conjugation or sortase-mediated transpeptidation. These hydrolysable esters afforded extended release of payloads linked to our hydrogels beyond diffusion; with timescales spanning days to months dependent on ester hydrophobicity. Injected hydrogels polymerize in situ and remain in tissue over extended periods of time. Hydrogel-delivered protein payloads elicit biological activity after being modified with SPAAC-compatible linkers, as demonstrated by the successful recruitment of murine T-cells to a mouse melanoma model by hydrolytically released murine CXCL10. These results highlight a highly versatile, customizable hydrogel-based delivery system for local delivery of protein therapeutics with payload release profiles appropriate for a variety of clinical needs."
2023 Aug 29,Nature communications,Nat Commun. 2023 Aug 29;14(1):5250. doi: 10.1038/s41467-023-40805-w.,"['Rapp, Teresa L', 'DeForest, Cole A']","[' hydrogels', ' biocompatible materials', 'biophysics', 'drug delivery systems', 'light']",Tricolor visible wavelength-selective photodegradable hydrogel biomaterials.,"Photodynamic hydrogel biomaterials have demonstrated great potential for user-triggered therapeutic release, patterned organoid development, and four-dimensional control over advanced cell fates in vitro. Current photosensitive materials are constrained by their reliance on high-energy ultraviolet light (<400 nm) that offers poor tissue penetrance and limits access to the broader visible spectrum. Here, we report a family of three photolabile material crosslinkers that respond rapidly and with unique tricolor wavelength-selectivity to low-energy visible light (400-617 nm). We show that when mixed with multifunctional poly(ethylene glycol) macromolecular precursors, ruthenium polypyridyl- and ortho-nitrobenzyl (oNB)-based crosslinkers yield cytocompatible biomaterials that can undergo spatiotemporally patterned, uniform bulk softening, and multiplexed degradation several centimeters deep through complex tissue. We demonstrate that encapsulated living cells within these photoresponsive gels show high viability and can be successfully recovered from the hydrogels following photodegradation. Moving forward, we anticipate that these advanced material platforms will enable new studies in 3D mechanobiology, controlled drug delivery, and next-generation tissue engineering applications."
2023 Aug 11,RSC advances,RSC Adv. 2023 Aug 15;13(35):24487-24490. doi: 10.1039/d3ra04046a. eCollection ,"['Wu, Kun-Lin', 'Bretherton, Ross C', 'Davis, Jennifer', 'DeForest, Cole A']",[],Pharmacological regulation of protein-polymer hydrogel stiffness.,"The extracellular matrix (ECM) undergoes constant physiochemical change. User-programmable biomaterials afford exciting opportunities to study such dynamic processes in vitro. Herein, we introduce a protein-polymer hydrogel whose stiffness can be pharmacologically and reversibly regulated with conventional antibiotics. Specifically, a coumermycin-mediated homodimerization of gel-tethered DNA gyrase subunit B (GyrB) creates physical crosslinking and a rheological increase in hydrogel mechanics, while competitive displacement of coumermycin with novobiocin returns the material to its softened state. These unique platforms could potentially be modulated in vivo and are expected to prove useful in elucidating the effects of ECM-presented mechanical signals on cell function."
