time,journal,doi_info,authors,key words,title,abstract
2024 Apr 17,Research square,Res Sq [Preprint]. 2024 Apr 17:rs.3.rs-3974015. doi: 10.21203/rs.3.rs-3974015/v1.,"['Berndt, Andre', 'Lee, Justin', 'Nguyen, Amanda', 'Jin, Zheyu', 'Moghadasi, Aida', 'Gibbs, Chelsea', 'Wait, Sarah', 'Evitts, Kira', 'Asencio, Anthony', 'Bremner, Samantha', 'Zuniga, Shani', 'Chavan, Vedant', 'Williams, Andy', 'Smith, Annette', 'Moussavi-Harami, Farid', 'Regnier, Michael', 'Young, Jessica', 'Mack, David', 'Nance, Elizabeth', 'Boyle, Patrick']",[],Far-red and sensitive sensor for monitoring real time H(2)O(2) dynamics with subcellular resolution and in multi-parametric imaging applications.,"H(2)O(2) is a key oxidant in mammalian biology and a pleiotropic signaling molecule at the physiological level, and its excessive accumulation in conjunction with decreased cellular reduction capacity is often found to be a common pathological marker. Here, we present a red fluorescent Genetically Encoded H(2)O(2) Indicator (GEHI) allowing versatile optogenetic dissection of redox biology. Our new GEHI, oROS-HT, is a chemigenetic sensor utilizing a HaloTag and Janelia Fluor (JF) rhodamine dye as fluorescent reporters. We developed oROS-HT through a structure-guided approach aided by classic protein structures and recent protein structure prediction tools. Optimized with JF(635), oROS-HT is a sensor with 635 nm excitation and 650 nm emission peaks, allowing it to retain its brightness while monitoring intracellular H(2)O(2) dynamics. Furthermore, it enables multi-color imaging in combination with blue-green fluorescent sensors for orthogonal analytes and low auto-fluorescence interference in biological tissues. Other advantages of oROS-HT over alternative GEHIs are its fast kinetics, oxygen-independent maturation, low pH sensitivity, lack of photo-artifact, and lack of intracellular aggregation. Here, we demonstrated efficient subcellular targeting and how oROS-HT can map inter and intracellular H(2)O(2) diffusion at subcellular resolution. Lastly, we used oROS-HT with other green fluorescence reporters to investigate the transient effect of the anti-inflammatory agent auranofin on cellular redox physiology and calcium levels via multi-parametric, dual-color imaging."
2024 Feb 8,bioRxiv : the preprint server for biology,bioRxiv [Preprint]. 2024 Feb 8:2024.02.06.579232. doi: 10.1101/2024.02.06.579232.,"['Lee, Justin Daho', 'Nguyen, Amanda', 'Jin, Zheyu Ruby', 'Moghadasi, Aida', 'Gibbs, Chelsea E', 'Wait, Sarah J', 'Evitts, Kira M', 'Asencio, Anthony', 'Bremner, Samantha B', 'Zuniga, Shani', 'Chavan, Vedant', 'Williams, Andy', 'Smith, Netta', 'Regnier, Michael', 'Young, Jessica E', 'Mack, David', 'Nance, Elizabeth', 'Boyle, Patrick M', 'Berndt, Andre']",[],Far-red and sensitive sensor for monitoring real time H(2)O(2) dynamics with subcellular resolution and in multi-parametric imaging applications.,"H(2)O(2) is a key oxidant in mammalian biology and a pleiotropic signaling molecule at the physiological level, and its excessive accumulation in conjunction with decreased cellular reduction capacity is often found to be a common pathological marker. Here, we present a red fluorescent Genetically Encoded H(2)O(2) Indicator (GEHI) allowing versatile optogenetic dissection of redox biology. Our new GEHI, oROS-HT, is a chemigenetic sensor utilizing a HaloTag and Janelia Fluor (JF) rhodamine dye as fluorescent reporters. We developed oROS-HT through a structure-guided approach aided by classic protein structures and recent protein structure prediction tools. Optimized with JF(635), oROS-HT is a sensor with 635 nm excitation and 650 nm emission peaks, allowing it to retain its brightness while monitoring intracellular H(2)O(2) dynamics. Furthermore, it enables multi-color imaging in combination with blue-green fluorescent sensors for orthogonal analytes and low auto-fluorescence interference in biological tissues. Other advantages of oROS-HT over alternative GEHIs are its fast kinetics, oxygen-independent maturation, low pH sensitivity, lack of photo-artifact, and lack of intracellular aggregation. Here, we demonstrated efficient subcellular targeting and how oROS-HT can map inter and intracellular H(2)O(2) diffusion at subcellular resolution. Lastly, we used oROS-HT with the green fluorescent calcium indicator Fluo-4 to investigate the transient effect of the anti-inflammatory agent auranofin on cellular redox physiology and calcium levels via multi-parametric, dual-color imaging."
2024 Mar,Nature nanotechnology,Nat Nanotechnol. 2024 Mar;19(3):273-274. doi: 10.1038/s41565-023-01531-y.,"['Nance, Elizabeth']",[],Intracerebral fate of engineered nanoparticles.,
2023 Nov,Bioengineering & translational medicine,Bioeng Transl Med. 2023 Sep 15;8(6):e10594. doi: 10.1002/btm2.10594. eCollection ,"['Liu, Hsuan-Chen', 'Capuani, Simone', 'Badachhape, Andrew A', 'Di Trani, Nicola', 'Davila Gonzalez, Daniel', 'Vander Pol, Robin S', 'Viswanath, Dixita I', 'Saunders, Shani', 'Hernandez, Nathanael', 'Ghaghada, Ketan B', 'Chen, Shu-Hsia', 'Nance, Elizabeth', 'Annapragada, Ananth V', 'Chua, Corrine Ying Xuan', 'Grattoni, Alessandro']","['ct', 'tnbc', 'anti pd‐l1', 'biodistribution', 'drug delivery', 'radiotherapy', 'tumor microenvironment']",Intratumoral nanofluidic system enhanced tumor biodistribution of PD-L1 antibody in triple-negative breast cancer.,Immune checkpoint inhibitors (I
2023 Sep 18,ACS applied bio materials,ACS Appl Bio Mater. 2023 Sep 18;6(9):3617-3632. doi: 10.1021/acsabm.3c00364. Epub ,"['Floryanzia, Sydney D', 'Nance, Elizabeth']","[' blood-brain barrier pathology', ' microfluidics', 'brain', 'astrocytes', 'blood−brain barrier', 'endothelial cells', 'in vitro models', 'microenvironment', 'microfluidics', 'microphysiological systems', 'pericytes', 'vasculature']",Applications and Considerations for Microfluidic Systems To Model the Blood-Brain Barrier.,"In a myriad of developmental and degenerative brain diseases, characteristic pathological biomarkers are often associated with cerebral blood flow and vasculature. However, the relationship between vascular dysfunction and markers of brain disease is not well-defined. Additionally, it is difficult to deliver effective therapeutics to the brain due to the highly regulated blood-brain barrier (BBB) at the microvasculature interface of the brain. This Review first covers the need for modeling the BBB and the challenges of modeling the BBB. In vitro models of the BBB enable the study of the relationship between vascular dysfunction, BBB function, and disease progression and can serve as a platform to screen therapeutics. In particular, microfluidic-based in vitro BBB models are useful for studying brain vasculature as they support cell culture within the presence of continuous perfusion, which mirrors the in vivo flow and associated stress conditions in the brain. Early microfluidic models of the BBB created the most simplistic models possible that still displayed some functional aspects of the in vivo BBB. Therefore, this Review also discusses the emerging unique ways in which microfluidics in tandem with recent advancements in cell culture, biomaterials, and in vitro modeling can be used to develop more complex and physiologically relevant models of the BBB. Finally, we discuss the current and future state-of-the-art application of microfluidic BBB models for drug development and disease modeling, and the ongoing areas of needed innovation in this field."
2023,Frontiers in cellular neuroscience,Front Cell Neurosci. 2023 Jul 20;17:1188858. doi: 10.3389/fncel.2023.1188858. ,"['Helmbrecht, Hawley', 'Lin, Teng-Jui', 'Janakiraman, Sanjana', 'Decker, Kaleb', 'Nance, Elizabeth']","['brain cells', 'cell biology', 'data science', 'fluorescent imaging', 'image processing', 'segmentation', 'thresholding']",Prevalence and practices of immunofluorescent cell image processing: a systematic review.,"BACKGROUND: We performed a systematic review that identified at least 9,000 scientific papers on PubMed that include immunofluorescent images of cells from the central nervous system (CNS). These CNS papers contain tens of thousands of immunofluorescent neural images supporting the findings of over 50,000 associated researchers. While many existing reviews discuss different aspects of immunofluorescent microscopy, such as image acquisition and staining protocols, few papers discuss immunofluorescent imaging from an image-processing perspective. We analyzed the literature to determine the image processing methods that were commonly published alongside the associated CNS cell, microscopy technique, and animal model, and highlight gaps in image processing documentation and reporting in the CNS research field. METHODS: We completed a comprehensive search of PubMed publications using Medical Subject Headings (MeSH) terms and other general search terms for CNS cells and common fluorescent microscopy techniques. Publications were found on PubMed using a combination of column description terms and row description terms. We manually tagged the comma-separated values file (CSV) metadata of each publication with the following categories: animal or cell model, quantified features, threshold techniques, segmentation techniques, and image processing software. RESULTS: Of the almost 9,000 immunofluorescent imaging papers identified in our search, only 856 explicitly include image processing information. Moreover, hundreds of the 856 papers are missing thresholding, segmentation, and morphological feature details necessary for explainable, unbiased, and reproducible results. In our assessment of the literature, we visualized current image processing practices, compiled the image processing options from the top twelve software programs, and designed a road map to enhance image processing. We determined that thresholding and segmentation methods were often left out of publications and underreported or underutilized for quantifying CNS cell research. DISCUSSION: Less than 10% of papers with immunofluorescent images include image processing in their methods. A few authors are implementing advanced methods in image analysis to quantify over 40 different CNS cell features, which can provide quantitative insights in CNS cell features that will advance CNS research. However, our review puts forward that image analysis methods will remain limited in rigor and reproducibility without more rigorous and detailed reporting of image processing methods. CONCLUSION: Image processing is a critical part of CNS research that must be improved to increase scientific insight, explainability, reproducibility, and rigor."
2023 Apr 7,Pharmaceutics,Pharmaceutics. 2023 Apr 7;15(4):1176. doi: 10.3390/pharmaceutics15041176.,"['Xu, Nuo', 'Wong, Megan', 'Balistreri, Gabrielle', 'Nance, Elizabeth']","['clinical translation', 'drug delivery', 'half-life', 'nanomedicine', 'nanoparticle accumulation', 'pediatrics']",Neonatal Pharmacokinetics and Biodistribution of Polymeric Nanoparticles and Effect of Surfactant.,"The development of therapeutics for pediatric use has advanced in the last few decades, yet the off-label use of adult medications in pediatrics remains a significant clinical problem. Nano-based medicines are important drug delivery systems that can improve the bioavailability of a range of therapeutics. However, the use of nano-based medicines for application in pediatric populations is challenged by the lack of pharmacokinetic (PK) data in this population. To address this data gap, we investigated the PK of polymer-based nanoparticles in term-equivalent neonatal rats. We used poly(lactic-co-glycolic acid)-poly(ethylene glycol) (PLGA-PEG) nanoparticles, which are polymer nanoparticles that have been extensively studied in adult populations but less commonly applied in neonates and pediatrics. We quantified the PK parameters and biodistribution of PLGA-PEG nanoparticles in term-equivalent healthy rats and revealed the PK and biodistribution of polymeric nanoparticles in neonatal rats. We further explored the effects of surfactant used to stabilize PLGA-PEG particles on PK and biodistribution. We showed that 4 h post intraperitoneal injection, nanoparticles had the highest accumulation in serum, at 54.0% of the injected dose for particles with Pluronic(®) F127 (F127) as the stabilizer and at 54.6% of the injected dose for particles with Poloxamer 188 (P80) as the stabilizer. The half-life of the F127-formulated PLGA-PEG particles was 5.9 h, which was significantly longer than the 1.7 h half-life of P80-formulated PLGA-PEG particles. Among all organs, the liver had the highest nanoparticle accumulation. At 24 h after administration, the accumulation of F127-formulated PLGA-PEG particles was at 26.2% of the injected dose, and the accumulation of P80-formulated particles was at 24.1% of the injected dose. Less than 1% of the injected nanoparticles was observed in healthy rat brain for both F127- and P80-formulated particles. These PK data inform the use of polymer nanoparticle applications in the neonate and provide a foundation for the translation of polymer nanoparticles for drug delivery in pediatric populations."
2022 Nov 4,Polymers,Polymers (Basel). 2022 Nov 4;14(21):4730. doi: 10.3390/polym14214730.,"['Nyambura, Chris W', 'Nance, Elizabeth', 'Pfaendtner, Jim']","['drug delivery', 'molecular dynamics', 'nanomedicine', 'theory and modeling']",Examining the Effect of Polymer Extension on Protein-Polymer Interactions That Occur during Formulation of Protein-Loaded Poly(lactic acid-co-glycolic acid)-polyethylene Glycol Nanoparticles.,"Protein therapeutics have the potential to treat a wide range of ailments due to the high specificity in their function and their ability to replace missing or mutated genes that encode for key cellular processes. Despite these advantages, protein drugs alone can cause adverse effects, such as the development of cross-reactive neutralizing antibodies. Through the encapsulation of proteins into nanoparticles, adverse effects and protein degradation can be minimized, thus improving protein delivery to sites of interest in the body. Nanoparticles comprised of poly(lactic acid-co-glycolic acid)-polyethylene glycol (PLGA-PEG) diblock copolymer are promising protein delivery systems as they are well characterized, non-toxic, and biocompatible. Desirable nanoparticle characteristics, such as neutral surface charge and uniformity in size and dispersity, can be achieved but often require the iterative manipulation of formulation parameters. Chain conformations in the formulation process are very important, and determining whether or not an extended or semi-collapsed polymer chain in the presence of a protein results in more favorable binding has yet to be investigated experimentally. Therefore, this work used atomistic molecular dynamics to examine the role of polymer extension on protein binding and its impact on the encapsulation process within PLGA-PEG nanoparticles. Three polymers (PLGA-PEG, PLGA, and PEG) were evaluated and iduronate-2-sulphatase (ID2S) was used as a model protein. We found highly expanded PLGA-PEG conformations led to more favorable binding with ID2S. Furthermore, PEG oligomers were observed to undergo transient binding with ID2S that was generally less favorable when compared to the other polymer types. The results also suggest that the relaxation times of the PLGA homopolymer and the PLGA-PEG copolymer at different molecular weights in relevant solvent mediums should be considered."
2022 Aug 25,"Life (Basel, Switzerland)",Life (Basel). 2022 Aug 25;12(9):1308. doi: 10.3390/life12091308.,"['Dahl, Victoria', 'Helmbrecht, Hawley', 'Rios Sigler, Ana', 'Hildahl, Kate', 'Sullivan, Holly', 'Janakiraman, Sanjana', 'Jasti, Saahiti', 'Nance, Elizabeth']","['autism spectrum disorders (asds)', 'extracellular matrix', 'machine learning', 'microglia', 'neurodevelopmental disorders', 'neuroinflammation']",Characterization of a mGluR5 Knockout Rat Model with Hallmarks of Fragile X Syndrome.,"The number of reported cases of neurodevelopmental disorders has increased significantly in the last few decades, but the etiology of these diseases remains poorly understood. There is evidence of a fundamental link between genetic abnormalities and symptoms of autism spectrum disorders (ASDs), and the most common monogenetic inheritable form of ASDs is Fragile X Syndrome (FXS). Previous studies indicate that FXS is linked to glutamate signaling regulation by the G-protein-coupled metabotropic glutamate receptor 5 (mGluR5), which has been shown to have a regulatory role in neuroinflammation. We characterized the effect of knocking out mGluR5 in an organism known to have complex cognitive functions-the rat. The heterozygous phenotype is the most clinically relevant; therefore, we performed analysis in heterozygous pups. We showed developmental abnormalities in heterozygous mGluR5 knockout rats, as well as a significant increase in chemokine (C-X-C motif) ligand 1 (CXCL) expression, a hallmark indicator of early onset inflammation. We quantified an increase in microglial density in the knockout pups and quantified morphological phenotypes representative of greater reactivity in the male vs. female and postnatal day 28 heterozygous pups compared to postnatal day 14 heterozygous pups. In response to injury, reactive microglia release matrix metalloproteases, contribute to extracellular matrix (ECM) breakdown, and are responsible for eradicating cellular and molecular debris. In our study, the changes in microglial density and reactivity correlated with abnormalities in the mRNA expression levels of ECM proteins and with the density of perineuronal nets. We saw atypical neuropsychiatric behavior in open field and elevated plus tests in heterozygous pups compared to wild-type litter and age-matched controls. These results demonstrate the pathological potential of the mGluR5 knockout in rats and further support the presence of neuroinflammatory roots in ASDs."
2022 Jun 13,Journal of biological engineering,J Biol Eng. 2022 Jun 13;16(1):14. doi: 10.1186/s13036-022-00293-w.,"['McKenna, Michael', 'Filteau, Jeremy R', 'Butler, Brendan', 'Sluis, Kenneth', 'Chungyoun, Michael', 'Schimek, Nels', 'Nance, Elizabeth']","['brain microenvironment', 'brain slices', 'extracellular', 'nanoparticle diffusion', 'organotypic', 'particle tracking']",Organotypic whole hemisphere brain slice models to study the effects of donor age and oxygen-glucose-deprivation on the extracellular properties of cortical and striatal tissue.,"BACKGROUND: The brain extracellular environment is involved in many critical processes associated with neurodevelopment, neural function, and repair following injury. Organization of the extracellular matrix and properties of the extracellular space vary throughout development and across different brain regions, motivating the need for platforms that provide access to multiple brain regions at different stages of development. We demonstrate the utility of organotypic whole hemisphere brain slices as a platform to probe regional and developmental changes in the brain extracellular environment. We also leverage whole hemisphere brain slices to characterize the impact of cerebral ischemia on different regions of brain tissue. RESULTS: Whole hemisphere brain slices taken from postnatal (P) day 10 and P17 rats retained viable, metabolically active cells through 14 days in vitro (DIV). Oxygen-glucose-deprivation (OGD), used to model a cerebral ischemic event in vivo, resulted in reduced slice metabolic activity and elevated cell death, regardless of slice age. Slices from P10 and P17 brains showed an oligodendrocyte and microglia-driven proliferative response after OGD exposure, higher than the proliferative response seen in DIV-matched normal control slices. Multiple particle tracking in oxygen-glucose-deprived brain slices revealed that oxygen-glucose-deprivation impacts the extracellular environment of brain tissue differently depending on brain age and brain region. In most instances, the extracellular space was most difficult to navigate immediately following insult, then gradually provided less hindrance to extracellular nanoparticle diffusion as time progressed. However, changes in diffusion were not universal across all brain regions and ages. CONCLUSIONS: We demonstrate whole hemisphere brain slices from P10 and P17 rats can be cultured up to two weeks in vitro. These brain slices provide a viable platform for studying both normal physiological processes and injury associated mechanisms with control over brain age and region. Ex vivo OGD impacted cortical and striatal brain tissue differently, aligning with preexisting data generated in in vivo models. These data motivate the need to account for both brain region and age when investigating mechanisms of injury and designing potential therapies for cerebral ischemia."
