time,journal,doi_info,authors,key words,title,abstract
2024 Apr,Tissue engineering. Part A,Tissue Eng Part A. 2024 Apr;30(7-8):287-298. doi: 10.1089/ten.TEA.2023.0144. Epub ,"['Chan, Nathan R', 'Hwang, Billanna', 'Mulligan, Michael S', 'Ratner, Buddy D', 'Bryers, James D']","['humans', 'porosity', ' myeloid differentiation factor 88 metabolism', ' toll-like receptors metabolism', 'signal transduction', 'macrophages metabolism', 'nf-kappa b metabolism', 'foreign-body reaction pathology', 'fibrosis', 'wound healing', 'myd88', 'biomaterial scaffolds', 'cell phenotype', 'fibrosis', 'foreign body response', 'macrophage polarization']",Porous Precision-Templated 40 μm Pore Scaffolds Promote Healing through Synergy in Macrophage Receptor with Collagenous Structure and Toll-Like Receptor Signaling.,"Porous precision-templated scaffolds (PTS) with uniform, interconnected, 40 μm pores have shown favorable healing outcomes and a reduced foreign body reaction (FBR). Macrophage receptor with collagenous structure (MARCO) and toll-like receptors (TLRs) have been identified as key surface receptors in the initial inflammatory phase of wound healing. However, the role of MARCO and TLRs in modulating monocyte and macrophage phenotypes within PTS remains uncharacterized. In this study, we demonstrate a synergetic relationship between MARCO and TLR signaling in cells inhabiting PTS, where induction with TLR3 or TLR4 agonists to 40 μm scaffold-resident cells upregulates the transcription of MARCO. Upon deletion of MARCO, the prohealing phenotype within 40 μm PTS polarizes to a proinflammatory and profibrotic phenotype. Analysis of downstream TLR signaling shows that MARCO is required to attenuate nuclear factor kappa B (NF-κB) inflammation in 40 μm PTS by regulating the transcription of inhibitory NFKB inhibitor alpha (NFKBIA) and interleukin-1 receptor-associated kinase 3 (IRAK-M), primarily through a MyD88-dependent signaling pathway. Investigation of implant outcome in the absence of MARCO demonstrates an increase in collagen deposition within the scaffold and the development of tissue fibrosis. Overall, these results further our understanding of the molecular mechanisms underlying MARCO and TLR signaling within PTS. Impact statement Monocyte and macrophage phenotypes in the foreign body reaction (FBR) are essential for the development of a proinflammatory, prohealing, or profibrotic response to implanted biomaterials. Identification of key surface receptors and signaling mechanisms that give rise to these phenotypes remain to be elucidated. In this study, we report a synergistic relationship between macrophage receptor with collagenous structure (MARCO) and toll-like receptor (TLR) signaling in scaffold-resident cells inhabiting porous precision-templated 40 μm pore scaffolds through a MyD88-dependent pathway that promotes healing. These findings advance our understanding of the FBR and provide further evidence that suggests MARCO, TLRs, and fibrosis may be interconnected."
2023 Jun 7,Scientific reports,Sci Rep. 2023 Jun 7;13(1):9272. doi: 10.1038/s41598-023-36343-6.,"['Bleem, Alissa', 'Prosswimmer, Tatum', 'Chen, Ruying', 'Hady, Thomas F', 'Li, Jinzheng', 'Bryers, James D', 'Daggett, Valerie']","[' uropathogenic escherichia coli metabolism', ' escherichia coli proteins metabolism', 'amyloid metabolism', 'biofilms', 'peptides chemistry', 'bacterial proteins metabolism']",Designed α-sheet peptides disrupt uropathogenic E. coli biofilms rendering bacteria susceptible to antibiotics and immune cells.,"Uropathogenic Escherichia coli account for the largest proportion of nosocomial infections in the United States. Nosocomial infections are a major source of increased costs and treatment complications. Many infections are biofilm associated, rendering antibiotic treatments ineffective or cause additional complications (e.g., microbiome depletion). This work presents a potentially complementary non-antibiotic strategy to fight nosocomial infections by inhibiting the formation of amyloid fibrils, a proteinaceous structural reinforcement known as curli in E. coli biofilms. Despite extensive characterization of the fibrils themselves and their associated secretion system, mechanistic details of curli assembly in vivo remain unclear. We hypothesized that, like other amyloid fibrils, curli polymerization involves a unique secondary structure termed ""α-sheet"". Biophysical studies herein confirmed the presence of α-sheet structure in prefibrillar species of CsgA, the major component of curli, as it aggregated. Binding of synthetic α-sheet peptides to the soluble α-sheet prefibrillar species inhibited CsgA aggregation in vitro and suppressed amyloid fibril formation in biofilms. Application of synthetic α-sheet peptides also enhanced antibiotic susceptibility and dispersed biofilm-resident bacteria for improved uptake by phagocytic cells. The ability of synthetic α-sheet peptides to reduce biofilm formation, improve antibiotic susceptibility, and enhance clearance by macrophages has broad implications for combating biofilm-associated infections."
2023 Sep,Journal of biomedical materials research. Part A,J Biomed Mater Res A. 2023 Sep;111(9):1459-1467. doi: 10.1002/jbm.a.37547. Epub ,"['Chan, Nathan R', 'Hwang, Billanna', 'Waworuntu, Rachel L', 'Tran, An J', 'Ratner, Buddy D', 'Bryers, James D']","['mice', 'animals', 'porosity', ' myeloid differentiation factor 88 metabolism', ' biocompatible materials', 'prostheses and implants', 'phenotype', 'tissue scaffolds', 'myd88', 'biomaterial scaffolds', 'cell phenotype', 'foreign body response', 'macrophage polarization']",Novel HALO® image analysis to determine cell phenotype in porous precision-templated scaffolds.,"Image analysis platforms have gained increasing popularity in the last decade for the ability to automate and conduct high-throughput, multiplex, and quantitative analyses of a broad range of pathological tissues. However, imaging tissues with unique morphology or tissues containing implanted biomaterial scaffolds remain a challenge. Using HALO®, an image analysis platform specialized in quantitative tissue analysis, we have developed a novel method to determine multiple cell phenotypes in porous precision-templated scaffolds (PTS). PTS with uniform spherical pores between 30 and 40 μm in diameter have previously exhibited a specific immunomodulation of macrophages toward a pro-healing phenotype and an overall diminished foreign body response (FBR) compared to PTS with larger or smaller pore sizes. However, signaling pathways orchestrating this pro-healing in 40 μm PTS remain unclear. Here, we use HALO® to phenotype PTS resident cells and found a decrease in pro-inflammatory CD86 and an increase in pro-healing CD206 expression in 40 μm PTS compared to 100 μm PTS. To understand the mechanisms that drive these outcomes, we investigated the role of myeloid-differentiation-primary-response gene 88 (MyD88) in regulating the pro-healing phenomenon observed only in 40 μm PTS. When subcutaneously implanted in MyD88KO mice, 40 μm PTS reduced the expression of CD206, and the scaffold resident cells displayed an average larger nuclear size compared to 40 μm PTS implanted in mice expressing MyD88. Overall, this study demonstrates a novel image analysis method for phenotyping cells within PTS and identifies MyD88 as a critical mediator in the pore-size-dependent regenerative healing and host immune response to PTS."
2022 Mar,Journal of tissue engineering and regenerative medicine,J Tissue Eng Regen Med. 2022 Mar;16(3):297-310. doi: 10.1002/term.3280. Epub 2022 ,"['Chan, Nathan R', 'Hwang, Billanna', 'Ratner, Buddy D', 'Bryers, James D']","['animals', 'macrophages', 'mice', ' monocytes', 'porosity', ' tissue scaffolds chemistry', 'wound healing', 'biomaterial scaffolds', 'cellular morphology', 'immune polarization', 'macrophages', 'monocytes']","Monocytes contribute to a pro-healing response in 40 μm diameter uniform-pore, precision-templated scaffolds.","Porous precision-templated scaffolds (PTS) with uniformly distributed 40 μm spherical pores have shown a remarkable ability in immunomodulating resident cells for tissue regeneration. While the pore size mediated pro-healing response observed only in 40 μm pore PTS has been attributed to selective macrophage polarization, monocyte recruitment and phenotype have largely been uncharacterized in regulating implant outcome. Here, we employ a double transgenic mouse model for myeloid characterization and a multifaceted phenotyping approach to quantify monocyte dynamics within subcutaneously implanted PTS. Within 40 μm PTS, myeloid cells were found to preferentially infiltrate into the scaffold. Additionally, macrophage receptor with collagenous structure (MARCO), an innate activation marker, was significantly upregulated within 40 μm PTS. When 40 μm PTS were implanted in monocyte-depleted mice, the transcription of MARCO was significantly decreased and an increase in pro-inflammatory inducible nitric oxide synthase (iNOS) and tumor necrosis factor alpha (TNFα) were observed. Typical of a foreign body response (FBR), 100 μm PTS significantly upregulated pro-inflammatory iNOS, secreted higher amounts of TNFα, and displayed a pore size dependent morphology compared to 40 μm PTS. Overall, these results identify a pore size dependent modulation of circulating monocytes and implicates MARCO expression as a defining subset of monocytes that appears to be responsible for regulating a pro-healing host response."
2021 Jun,Advanced healthcare materials,Adv Healthc Mater. 2021 Jun;10(11):e2002153. doi: 10.1002/adhm.202002153. Epub ,"['Crawford, Lars', 'Wyatt, Meghan', 'Bryers, James', 'Ratner, Buddy']","[' biocompatible materials toxicity', ' foreign-body reaction', 'humans', 'prostheses and implants', 'wound healing', 'biocompatibility', 'biointegration', 'biomaterials', 'healing', 'toxicology']",Biocompatibility Evolves: Phenomenology to Toxicology to Regeneration.,"The word ""biocompatibility,"" is inconsistent with the observations of healing for so-called biocompatible biomaterials. The vast majority of the millions of medical implants in humans today, presumably ""biocompatible,"" are walled off by a dense, avascular, crosslinked collagen capsule, hardly suggestive of life or compatibility. In contrast, one is now seeing examples of implant biomaterials that lead to a vascularized reconstruction of localized tissue, a biological reaction different from traditional biocompatible materials that generate a foreign body capsule. Both the encapsulated biomaterials and the reconstructive biomaterials qualify as ""biocompatible"" by present day measurements of biocompatibility. Yet, this new generation of materials would seem to heal ""compatibly"" with the living organism, where older biomaterials are isolated from the living organism by the dense capsule. This review/perspective article will explore this biocompatibility etymological conundrum by reviewing the history of the concepts around biocompatibility, today's standard methods for assessing biocompatibility, a contemporary view of the foreign body reaction and finally, a compendium of new biomaterials that heal without the foreign body capsule. A new definition of biocompatibility is offered here to address advances in biomaterials design leading to biomaterials that heal into the body in a facile manner."
2021 Feb,The Journal of thoracic and cardiovascular surgery,J Thorac Cardiovasc Surg. 2021 Feb;161(2):e129-e134. doi: ,"['Hwang, Billanna', 'Bryers, James', 'Mulligan, Michael S']","['adaptive immunity', 'animals', 'antigen-presenting cells immunology', 'exosomes immunology  metabolism', 'graft rejection immunology  metabolism', 'humans', 'immunity, innate', 'lung  immunology', 'lung transplantation  adverse effects']",Potential role of exosome-based allorecognition pathways involved in lung transplant rejection.,"Innate and adaptive immunity both contribute to allorecognition mechanisms that drive rejection after lung transplantation. Classic allorecognition pathways have been extensively described, but there continues to be several unanswered questions. Exosome research appears to be a novel and potentially significant area of allorecognition research and could be the missing link that answers some existing questions. This article reviews literature that is associated with allorecognition pathways and the role of exosomes in alloreactivity."
2021 Jan,Journal of tissue engineering and regenerative medicine,J Tissue Eng Regen Med. 2021 Jan;15(1):24-36. doi: 10.1002/term.3160. Epub 2020 ,"['Hady, Thomas F', 'Hwang, Billanna', 'Pusic, A D', 'Waworuntu, Racheal L', 'Mulligan, Michael', 'Ratner, Buddy', 'Bryers, James D']","['animals', 'cell communication  immunology', 'extracellular vesicles  immunology', 'foreign-body reaction immunology prevention & control', 'macrophages  immunology', 'mice', 'mice, transgenic', 'porosity', 't-lymphocytes, regulatory  immunology', 'th1 cells  immunology', 'tissue scaffolds  chemistry', 'wound healing  immunology', 't cells', 'biomaterial implant', 'extracellular vesicles', 'immune polarization', 'macrophages', 'sev']",Uniform 40-µm-pore diameter precision templated scaffolds promote a pro-healing host response by extracellular vesicle immune communication.,"Implanted porous precision templated scaffolds (PTS) with 40-µm spherical pores reduce inflammation and foreign body reaction (FBR) while increasing vascular density upon implantation. Larger or smaller pores, however, promote chronic inflammation and FBR. While macrophage (MØ) recruitment and polarization participates in perpetuating this pore-size-mediated phenomenon, the driving mechanism of this unique pro-healing response is poorly characterized. We hypothesized that the primarily myeloid PTS resident cells release small extracellular vesicles (sEVs) that induce pore-size-dependent pro-healing effects in surrounding T cells. Upon profiling resident immune cells and their sEVs from explanted 40-µm- (pro-healing) and 100-µm-pore diameter (inflammatory) PTS, we found that PTS pore size did not affect PTS resident immune cell population ratios or the proportion of myeloid sEVs generated from explanted PTS. However, quantitative transcriptomic assessment indicated cell and sEV phenotype were pore size dependent. In vitro experiments demonstrated the ability of PTS cell-derived sEVs to stimulate T cells transcriptionally and proliferatively. Specifically, sEVs isolated from cells inhabiting explanted 100 μm PTS significantly upregulated T(h1) inflammatory gene expression in immortalized T cells. sEVs isolated from cell inhabiting both 40- and 100-μm PTS upregulated essential T(reg) transcriptional markers in both primary and immortalized T cells. Finally, we investigated the effects of T(reg) depletion on explanted PTS resident cells. FoxP3+ cell depletion suggests T(regs) play a unique role in balancing T cell subset ratios, thus driving host response in 40-μm PTS. These results indicate that predominantly 40-µm PTS myeloid cell-derived sEVs affect T cells through a distinct, pore-size-mediated modality."
2019 Feb,Macromolecular bioscience,Macromol Biosci. 2019 Feb;19(2):e1800242. doi: 10.1002/mabi.201800242. Epub 2018 ,"['Yan, Jingxuan', 'Chen, Ruying', 'Zhang, Hong', 'Bryers, James D']","['alginates chemistry therapeutic use', 'animals', 'cell line', 'cell proliferation', 'chitosan chemistry therapeutic use', 'drug carriers chemistry  therapeutic use', 'female', 'gels chemistry therapeutic use', 'immunization', 'immunoglobulin g blood', 'interferon-gamma metabolism', 'luciferases biosynthesis genetics', 'male', 'mice', 'mice, inbred c57bl', 'ovalbumin administration & dosage immunology', 'rna, messenger  administration & dosage', 't-lymphocytes cytology', 'vaccines, synthetic  administration & dosage chemistry  therapeutic use', 'biodegradable', 'injectable immunizing scaffold', 'mrna vaccine delivery']",Injectable Biodegradable Chitosan-Alginate 3D Porous Gel Scaffold for mRNA Vaccine Delivery.,"mRNA vaccines have proven to be more stable, effective, and specific than protein/peptide-based vaccines in stimulating both humoral and cellular immune response. However, mRNA's fast degradation rate and low-transfection efficiency in vivo impede its potential in vaccination. Recent research in gene delivery has focused on nonviral vaccine carriers and either implantable or injectable delivery systems to improve transgene expression in vivo. Here, an injectable chitosan-alginate gel scaffold for the local delivery of mRNA vaccines is reported. Gel scaffold biodegradation rates and biocompatibility are quantified. Scaffold-mediated mRNA in vivo transgene expression as well as ovalbumin antigen specific cellular and humoral immune responses are evaluated in vivo. Luciferase reporter protein expression resulting from mRNA lipoplex-loaded gel scaffolds is five times higher than systemic injection. Compared to systemic injections of naked mRNA or mRNA:lipoplexes, elevated levels of T cell proliferation and IFN-γ secretion are seen with in vivo scaffold-mediated mRNA lipoplex delivery. Furthermore, a humoral response (ovalbumin antigen specific IgG levels) is observed as early as week 1 for scaffold-mediated mRNA lipoplex delivery, while protein-based immunization did not elicit IgG production until 2 weeks post-injection. Results suggest that injectable scaffold mRNA vaccine delivery maybe a viable alternative to traditional nucleic acid immunization methods."
2018 Dec,Gene therapy,Gene Ther. 2018 Dec;25(8):556-567. doi: 10.1038/s41434-018-0040-9. Epub 2018 Sep ,"['Chen, Ruying', 'Zhang, Hong', 'Yan, Jingxuan', 'Bryers, James D']","['animals', 'cell line', 'cells, cultured', 'cricetinae', 'female', 'male', 'mesocricetus', 'mice', 'mice, inbred c57bl', 'nanoparticles  chemistry', 'polyhydroxyethyl methacrylate chemistry', 'rna, messenger  genetics metabolism', 'vaccines, synthetic  administration & dosage genetics metabolism']",Scaffold-mediated delivery for non-viral mRNA vaccines.,"mRNA is increasingly being recognized as a promising alternative to pDNA in gene vaccinations. Only recently, owing to the needs of cancer immunotherapies, has the biomaterials/gene delivery community begun to develop new biomaterial strategies for immunomodulation. Here, we report a novel way to use implantable porous scaffolds as a local gene delivery depot to enhance mRNA vaccine immunization in vitro, and in vivo when compared with conventional bolus injections. We first evaluated transfection efficiencies of single-stranded mRNA condensed and charge neutralized with two lipids (Lipofectamine Messenger MAX(TM) LM-MM and Stemfect(TM) SF) and two cationic polymers (in vivo-jetPEI™, Poly (β-amino ester)) as gene carriers. As SF demonstrated highest in vitro transfection and cell viability, it was selected for subsequent porous polymer scaffold-loading trials. Enhanced in vitro transfection of SF:mRNA nanoparticle-loaded poly (2-hydroxyethyl methacrylate) (pHEMA) scaffolds was also observed with a DC2.4 cell line. Improved sustained local release and local transgene expression were also demonstrated with SF:mRNA nanoparticle-loaded pHEMA scaffolds in vivo compared with bolus injections. Our results suggest that mRNA polyplex-loaded scaffolds may be a superior alternative to either repeated bolus immunizations or ex vivo transfection cell immunotherapies."
2018 Oct 12,Journal of molecular biology,J Mol Biol. 2018 Oct 12;430(20):3751-3763. doi: 10.1016/j.jmb.2018.06.043. Epub ,"['Bleem, Alissa', 'Christiansen, Gunna', 'Madsen, Daniel J', 'Maric, Hans', 'Strømgaard, Kristian', 'Bryers, James D', 'Daggett, Valerie', 'Meyer, Rikke L', 'Otzen, Daniel E']","['amino acid sequence', 'amyloid chemistry genetics  metabolism ultrastructure', 'amyloidogenic proteins chemistry genetics metabolism', 'bacterial proteins chemistry genetics  metabolism', ' biofilms', 'conserved sequence', 'disulfides', 'extracellular matrix', 'hydrogen-ion concentration', 'kinetics', 'protein aggregates', 'protein binding', ' protein engineering', 'protein multimerization', 'pseudomonas aeruginosa  genetics  metabolism', 'bacterial amyloid', 'extracellular matrix', 'peptide microarray', 'protein aggregation', 'protein sequence analysis']",Protein Engineering Reveals Mechanisms of Functional Amyloid Formation in Pseudomonas aeruginosa Biofilms.,"Amyloids are typically associated with neurodegenerative diseases, but recent research demonstrates that several bacteria utilize functional amyloid fibrils to fortify the biofilm extracellular matrix and thereby resist antibiotic treatments. In Pseudomonas aeruginosa, these fibrils are composed predominantly of FapC, a protein with high-sequence conservation among the genera. Previous studies established FapC as the major amyloid subunit, but its mechanism of fibril formation in P. aeruginosa remained largely unexplored. Here, we examine the FapC sequence in greater detail through a combination of bioinformatics and protein engineering, and we identify specific motifs that are implicated in amyloid formation. Sequence regions of high evolutionary conservation tend to coincide with regions of high amyloid propensity, and mutation of amyloidogenic motifs to a designed, non-amyloidogenic motif suppresses fibril formation in a pH-dependent manner. We establish the particular significance of the third repeat motif in promoting fibril formation and also demonstrate emergence of soluble oligomer species early in the aggregation pathway. The insights reported here expand our understanding of the mechanism of amyloid polymerization in P. aeruginosa, laying the foundation for development of new amyloid inhibitors to combat recalcitrant biofilm infections."
