time,journal,doi_info,authors,key words,title,abstract
2024 Jul 1,The Journal of clinical investigation,J Clin Invest. 2024 Jul 1;134(13):e181996. doi: 10.1172/JCI181996.,"['Nagle, Abigail', 'Regnier, Michael', 'Davis, Jennifer']","[' sarcomeres metabolism pathology', 'animals', ' ribosomal proteins genetics metabolism', 'mice', ' protein biosynthesis', ' myocytes, cardiac metabolism pathology', 'ribosomes metabolism genetics', 'humans', 'microtubules metabolism']",Keeping it fresh: ribosomal protein SA sustains sarcomeric function via localized translation.,
2024,Nature cardiovascular research,Nat Cardiovasc Res. 2024;3(4):441-459. doi: 10.1038/s44161-024-00460-w. Epub 2024 ,"['Hu, Shuaishuai', 'Chapski, Douglas J', 'Gehred, Natalie D', 'Kimball, Todd H', 'Gromova, Tatiana', 'Flores, Angelina', 'Rowat, Amy C', 'Chen, Junjie', 'Packard, René R Sevag', 'Olszewski, Emily', 'Davis, Jennifer', 'Rau, Christoph D', 'McKinsey, Timothy A', 'Rosa-Garrido, Manuel', 'Vondriska, Thomas M']","['cardiovascular diseases', 'cell biology', 'histone post-translational modifications', 'physiology']",Histone H1.0 couples cellular mechanical behaviors to chromatin structure.,"Tuning of genome structure and function is accomplished by chromatin-binding proteins, which determine the transcriptome and phenotype of the cell. Here we investigate how communication between extracellular stress and chromatin structure may regulate cellular mechanical behaviors. We demonstrate that histone H1.0, which compacts nucleosomes into higher-order chromatin fibers, controls genome organization and cellular stress response. We show that histone H1.0 has privileged expression in fibroblasts across tissue types and that its expression is necessary and sufficient to induce myofibroblast activation. Depletion of histone H1.0 prevents cytokine-induced fibroblast contraction, proliferation and migration via inhibition of a transcriptome comprising extracellular matrix, cytoskeletal and contractile genes, through a process that involves locus-specific H3K27 acetylation. Transient depletion of histone H1.0 in vivo prevents fibrosis in cardiac muscle. These findings identify an unexpected role of linker histones to orchestrate cellular mechanical behaviors, directly coupling force generation, nuclear organization and gene transcription."
2024 May 2,Cell stem cell,Cell Stem Cell. 2024 May 2;31(5):589-590. doi: 10.1016/j.stem.2024.04.009.,"['Bugg, Darrian', 'Davis, Jennifer']","[' sox9 transcription factor metabolism', ' fibrosis', 'humans', 'animals', 'fibroblasts metabolism pathology']",Sox9-coordinated cellular neighborhoods generate fibrosis.,"Poorly regenerative organs deposit scar tissue to mend damage. Aggarwal et al. establish that transient Sox9 activity is necessary for early proximal tubule epithelial regeneration, while Trogisch et al. and Aggarwal et al. show that persistent Sox9 activity in epithelial and endothelial cells activates fibroblasts creating fibrotic microdomains in multiple organs."
2024 Jun,Journal of molecular and cellular cardiology,J Mol Cell Cardiol. 2024 Jun;191:27-39. doi: 10.1016/j.yjmcc.2024.04.010. Epub ,"['Steczina, Sonette', 'Mohran, Saffie', 'Bailey, Logan R J', 'McMillen, Timothy S', 'Kooiker, Kristina B', 'Wood, Neil B', 'Davis, Jennifer', 'Previs, Michael J', 'Olivotto, Iacopo', 'Pioner, Josè Manuel', 'Geeves, Michael A', 'Poggesi, Corrado', 'Regnier, Michael']","['humans', ' cardiomyopathy, hypertrophic genetics metabolism', ' myocytes, cardiac metabolism', ' haploinsufficiency', ' carrier proteins genetics metabolism', ' induced pluripotent stem cells metabolism', ' mutation', 'myosins metabolism genetics', 'cell differentiation genetics', 'kinetics', 'cardiac myosin binding protein-c', 'cross-bridge cycling', 'haploinsufficiency', 'hypertrophic cardiomyopathy', 'truncation']",MYBPC3-c.772G>A mutation results in haploinsufficiency and altered myosin cycling kinetics in a patient induced stem cell derived cardiomyocyte model of hypertrophic cardiomyopathy.,"Approximately 40% of hypertrophic cardiomyopathy (HCM) mutations are linked to the sarcomere protein cardiac myosin binding protein-C (cMyBP-C). These mutations are either classified as missense mutations or truncation mutations. One mutation whose nature has been inconsistently reported in the literature is the MYBPC3-c.772G > A mutation. Using patient-derived human induced pluripotent stem cells differentiated to cardiomyocytes (hiPSC-CMs), we have performed a mechanistic study of the structure-function relationship for this MYBPC3-c.772G > A mutation versus a mutation corrected, isogenic cell line. Our results confirm that this mutation leads to exon skipping and mRNA truncation that ultimately suggests ∼20% less cMyBP-C protein (i.e., haploinsufficiency). This, in turn, results in increased myosin recruitment and accelerated myofibril cycling kinetics. Our mechanistic studies suggest that faster ADP release from myosin is a primary cause of accelerated myofibril cross-bridge cycling due to this mutation. Additionally, the reduction in force generating heads expected from faster ADP release during isometric contractions is outweighed by a cMyBP-C phosphorylation mediated increase in myosin recruitment that leads to a net increase of myofibril force, primarily at submaximal calcium activations. These results match well with our previous report on contractile properties from myectomy samples of the patients from whom the hiPSC-CMs were generated, demonstrating that these cell lines are a good model to study this pathological mutation and extends our understanding of the mechanisms of altered contractile properties of this HCM MYBPC3-c.772G > A mutation."
2024 Jun 4,Circulation,Circulation. 2024 Jun 4;149(23):1812-1829. doi: ,"['Bailey, Logan R J', 'Bugg, Darrian', 'Reichardt, Isabella M', 'Ortaç, C Dessirée', 'Nagle, Abigail', 'Gunaje, Jagadambika', 'Martinson, Amy', 'Johnson, Richard', 'MacCoss, Michael J', 'Sakamoto, Tomoya', 'Kelly, Daniel P', 'Regnier, Michael', 'Davis, Jennifer']","['animals', ' myocytes, cardiac metabolism', ' regeneration', ' rna-binding proteins genetics metabolism', ' cell differentiation', 'mice', 'cell proliferation', 'signal transduction', 'myeloid ecotropic viral integration site 1 protein genetics metabolism', 'dna-binding proteins', 'rna stability', 'cell differentiation', 'heart regeneration', 'postnatal development', 'transcriptome stabilization']",MBNL1 Regulates Programmed Postnatal Switching Between Regenerative and Differentiated Cardiac States.,
2023,PloS one,PLoS One. 2023 Dec 20;18(12):e0293700. doi: 10.1371/journal.pone.0293700. ,"['Fontana, Francesca', 'Esser, Alison K', 'Egbulefu, Christopher', 'Karmakar, Partha', 'Su, Xinming', 'Allen, John S', 'Xu, Yalin', 'Davis, Jennifer L', 'Gabay, Ariel', 'Xiang, Jingyu', 'Kwakwa, Kristin A', 'Manion, Brad', 'Bakewell, Suzanne', 'Li, Shunqiang', 'Park, Haeseong', 'Lanza, Gregory M', 'Achilefu, Samuel', 'Weilbaecher, Katherine N']","['animals', 'female', 'humans', 'mice', ' breast neoplasms drug therapy genetics', 'chelating agents', 'gene expression', 'molecular targeted therapy', 'receptors, transferrin metabolism', 'transferrin metabolism']",Transferrin receptor in primary and metastatic breast cancer: Evaluation of expression and experimental modulation to improve molecular targeting.,"BACKGROUND: Conjugation of transferrin (Tf) to imaging or nanotherapeutic agents is a promising strategy to target breast cancer. Since the efficacy of these biomaterials often depends on the overexpression of the targeted receptor, we set out to survey expression of transferrin receptor (TfR) in primary and metastatic breast cancer samples, including metastases and relapse, and investigate its modulation in experimental models. METHODS: Gene expression was investigated by datamining in twelve publicly-available datasets. Dedicated Tissue microarrays (TMAs) were generated to evaluate matched primary and bone metastases as well as and pre and post chemotherapy tumors from the same patient. TMA were stained with the FDA-approved MRQ-48 antibody against TfR and graded by staining intensity (H-score). Patient-derived xenografts (PDX) and isogenic metastatic mouse models were used to study in vivo TfR expression and uptake of transferrin. RESULTS: TFRC gene and protein expression were high in breast cancer of all subtypes and stages, and in 60-85% of bone metastases. TfR was detectable after neoadjuvant chemotherapy, albeit with some variability. Fluorophore-conjugated transferrin iron chelator deferoxamine (DFO) enhanced TfR uptake in human breast cancer cells in vitro and proved transferrin localization at metastatic sites and correlation of tumor burden relative to untreated tumor mice. CONCLUSIONS: TfR is expressed in breast cancer, primary, metastatic, and after neoadjuvant chemotherapy. Variability in expression of TfR suggests that evaluation of the expression of TfR in individual patients could identify the best candidates for targeting. Further, systemic iron chelation with DFO may upregulate receptor expression and improve uptake of therapeutics or tracers that use transferrin as a homing ligand."
2023 Oct 20,eLife,Elife. 2023 Oct 20;12:e86105. doi: 10.7554/eLife.86105.,"['Miura, Akihiro', 'Sarmah, Hemanta', 'Tanaka, Junichi', 'Hwang, Youngmin', 'Sawada, Anri', 'Shimamura, Yuko', 'Otoshi, Takehiro', 'Kondo, Yuri', 'Fang, Yinshan', 'Shimizu, Dai', 'Ninish, Zurab', 'Suer, Jake Le', 'Dubois, Nicole C', 'Davis, Jennifer', 'Toyooka, Shinichi', 'Wu, Jun', 'Que, Jianwen', 'Hawkins, Finn J', 'Lin, Chyuan-Sheng', 'Mori, Munemasa']","['mice', 'humans', 'animals', 'adult', ' endothelial cells', ' pluripotent stem cells metabolism', 'cell differentiation', 'lung', 'blastocyst metabolism', 'hepatocyte nuclear factor 3-beta genetics metabolism', 'conditional blastocyst complementation', 'developmental biology', 'human', 'lung generation', 'lung mesenchyme precursors', 'mesendoderm', 'mouse', 'thymus generation', 'whole organ generation']",Conditional blastocyst complementation of a defective Foxa2 lineage efficiently promotes the generation of the whole lung.,"Millions suffer from incurable lung diseases, and the donor lung shortage hampers organ transplants. Generating the whole organ in conjunction with the thymus is a significant milestone for organ transplantation because the thymus is the central organ to educate immune cells. Using lineage-tracing mice and human pluripotent stem cell (PSC)-derived lung-directed differentiation, we revealed that gastrulating Foxa2 lineage contributed to both lung mesenchyme and epithelium formation. Interestingly, Foxa2 lineage-derived cells in the lung mesenchyme progressively increased and occupied more than half of the mesenchyme niche, including endothelial cells, during lung development. Foxa2 promoter-driven, conditional Fgfr2 gene depletion caused the lung and thymus agenesis phenotype in mice. Wild-type donor mouse PSCs injected into their blastocysts rescued this phenotype by complementing the Fgfr2-defective niche in the lung epithelium and mesenchyme and thymic epithelium. Donor cell is shown to replace the entire lung epithelial and robust mesenchymal niche during lung development, efficiently complementing the nearly entire lung niche. Importantly, those mice survived until adulthood with normal lung function. These results suggest that our Foxa2 lineage-based model is unique for the progressive mobilization of donor cells into both epithelial and mesenchymal lung niches and thymus generation, which can provide critical insights into studying lung transplantation post-transplantation shortly."
2023 Aug 11,RSC advances,RSC Adv. 2023 Aug 15;13(35):24487-24490. doi: 10.1039/d3ra04046a. eCollection ,"['Wu, Kun-Lin', 'Bretherton, Ross C', 'Davis, Jennifer', 'DeForest, Cole A']",[],Pharmacological regulation of protein-polymer hydrogel stiffness.,"The extracellular matrix (ECM) undergoes constant physiochemical change. User-programmable biomaterials afford exciting opportunities to study such dynamic processes in vitro. Herein, we introduce a protein-polymer hydrogel whose stiffness can be pharmacologically and reversibly regulated with conventional antibiotics. Specifically, a coumermycin-mediated homodimerization of gel-tethered DNA gyrase subunit B (GyrB) creates physical crosslinking and a rheological increase in hydrogel mechanics, while competitive displacement of coumermycin with novobiocin returns the material to its softened state. These unique platforms could potentially be modulated in vivo and are expected to prove useful in elucidating the effects of ECM-presented mechanical signals on cell function."
2023 Aug 18,Circulation research,Circ Res. 2023 Aug 18;133(5):430-443. doi: 10.1161/CIRCRESAHA.123.322629. Epub ,"['Kooiker, Kristina B', 'Mohran, Saffie', 'Turner, Kyrah L', 'Ma, Weikang', 'Martinson, Amy', 'Flint, Galina', 'Qi, Lin', 'Gao, Chengqian', 'Zheng, Yahan', 'McMillen, Timothy S', 'Mandrycky, Christian', 'Mahoney-Schaefer, Max', 'Freeman, Jeremy C', 'Costales Arenas, Elijah Gabriela', 'Tu, An-Yu', 'Irving, Thomas C', 'Geeves, Michael A', 'Tanner, Bertrand C W', 'Regnier, Michael', 'Davis, Jennifer', 'Moussavi-Harami, Farid']","['mice', 'animals', 'swine', ' cardiomyopathy, dilated drug therapy', 'calcium physiology', 'myocardium', 'myosins', 'myocytes, cardiac', 'cardiotonic agents', 'calcium', 'cardiomyopathies', 'myofibrils', 'myosin', 'sarcomeres']",Danicamtiv Increases Myosin Recruitment and Alters Cross-Bridge Cycling in Cardiac Muscle.,
2023 Apr 21,iScience,iScience. 2023 Mar 27;26(4):106502. doi: 10.1016/j.isci.2023.106502. eCollection ,"['Nelson, Anders R', 'Bugg, Darrian', 'Davis, Jennifer', 'Saucerman, Jeffrey J']","['cell biology', 'network modeling', 'systems biology']",Network model integrated with multi-omic data predicts MBNL1 signals that drive myofibroblast activation.,"RNA-binding protein muscleblind-like1 (MBNL1) was recently identified as a central regulator of cardiac wound healing and myofibroblast activation. To identify putative MBNL1 targets, we integrated multiple genome-wide screens with a fibroblast network model. We expanded the model to include putative MBNL1-target interactions and recapitulated published experimental results to validate new signaling modules. We prioritized 14 MBNL1 targets and developed novel fibroblast signaling modules for p38 MAPK, Hippo, Runx1, and Sox9 pathways. We experimentally validated MBNL1 regulation of p38 expression in mouse cardiac fibroblasts. Using the expanded fibroblast model, we predicted a hierarchy of MBNL1 regulated pathways with strong influence on αSMA expression. This study lays a foundation to explore the network mechanisms of MBNL1 signaling central to fibrosis."
