time,journal,doi_info,authors,key words,title,abstract
2024 Mar,Journal of controlled release : official journal of the Controlled Release ,J Control Release. 2024 Mar;367:649-660. doi: 10.1016/j.jconrel.2024.01.062. Epub ,"['Creighton, Rachel L', 'Faber, Kate A', 'Tobos, Carmen I', 'Doan, My-Anh', 'Guo, Teri', 'Woodrow, Kim A']","[' mouth mucosa', ' antigens', 'vaccination methods', 'immunity, mucosal', 'needles', 'drug delivery systems', 'administration, cutaneous', 'electrospun fibers', 'microneedle', 'mucosal immunization', 'oral mucosal delivery', 'ovalbumin', 'vaccine']",Oral mucosal vaccination using integrated fiber microneedles.,"The oral mucosa is an attractive site for immunization due to its accessibility and ability to elicit local and systemic immune responses. However, evaluating oral mucosal immunogenicity has proven challenging due to the physical barriers and immunological complexity of the oral mucosa. Microneedles can overcome these physical barriers, but previous work has been limited in the scope of microneedle delivery site, geometry, and release kinetics, all of which are expected to affect physiological responses. Here, we develop integrated fiber microneedle devices, an oral dosage form with tunable geometries and material configurations capable of both burst and sustained release to controlled depths in the oral mucosa. Integrated fiber microneedles administered to either the buccal or sublingual mucosa result in seroconversion and antigen-specific interferon-γ secretion in splenocytes. The dynamics and magnitude of the resulting immune response can be modulated by tuning microneedle release kinetics. Optimal microneedle geometry is site-specific, with longer microneedles eliciting greater immunogenicity in the buccal mucosa, and shorter microneedles eliciting greater immunogenicity in the sublingual mucosa. The Th1/Th2 phenotype of the resulting immune response is also dependent on integrated fiber microneedle length. Together, these results establish integrated fiber microneedles as a multifunctional delivery system for the oral mucosa and motivate further exploration using tunable delivery systems to better understand oral mucosal immunity."
2023 Jul,Advanced drug delivery reviews,Adv Drug Deliv Rev. 2023 Jul;198:114860. doi: 10.1016/j.addr.2023.114860. Epub ,"['Chien, Shin-Tian', 'Suydam, Ian T', 'Woodrow, Kim A']","['humans', ' prodrugs therapeutic use', 'drug delivery systems', 'conjugate', 'dendrimers', 'drugamers', 'duration of action', 'hydrogel', 'long-acting', 'micelles', 'nanocrystal', 'nanoparticle', 'polymers', 'prodrugs', 'sustained release']",Prodrug approaches for the development of a long-acting drug delivery systems.,"Long-acting formulations are designed to reduce dosing frequency and simplify dosing schedules by providing an extended duration of action. One approach to obtain long-acting formulations is to combine long-acting prodrugs (LA-prodrug) with existing or emerging drug delivery technologies (DDS). The design criteria for long-acting prodrugs are distinct from conventional prodrug strategies that alter absorption, distribution, metabolism, and excretion (ADME) parameters. Our review focuses on long-acting prodrug delivery systems (LA-prodrug DDS), which is a subcategory of long-acting formulations where prodrug design enables DDS formulation to achieve an extended duration of action that is greater than the parent drug. Here, we define LA-prodrugs as the conjugation of an active pharmaceutical ingredient (API) to a promoiety group via a cleavable covalent linker, where both the promoiety and linker are selected to enable formulation and administration from a drug delivery system (DDS) to achieve an extended duration of action. These LA-prodrug DDS results in an extended interval where the API is within a therapeutic range without necessarily altering ADME as is typical of conventional prodrugs. The conversion of the LA-prodrug to the API is dependent on linker cleavage, which can occur before or after release from the DDS. The requirement for linker cleavage provides an additional tool to prolong release from these LA-prodrug DDS. In addition, the physicochemical properties of drugs can be tuned by promoiety selection for a particular DDS. Conjugation with promoieties that are carriers or amenable to assembly into carriers can also provide access to formulations designed for extending duration of action. LA-prodrugs have been applied to a wide variety of drug delivery strategies and are categorized in this review by promoiety size and complexity. Small molecule promoieties (typically MW < 1000 Da) have been used to improve encapsulation or partitioning as well as broaden APIs for use with traditional long-acting formulations such as solid drug dispersions. Macromolecular promoieties (typically MW > 1000 Da) have been applied to hydrogels, nanoparticles, micelles, dendrimers, and polymerized prodrug monomers. The resulting LA-prodrug DDS enable extended duration of action for active pharmaceuticals across a wide range of applications, with target release timescales spanning days to years."
2022 Jul 11,ACS biomaterials science & engineering,ACS Biomater Sci Eng. 2022 Jul 11;8(7):2995-3009. doi: ,"['VanBenschoten, Hannah', 'Yao, Shan', 'Jensen, Jeffrey T', 'Woodrow, Kim A']","['animals', 'contraception', ' fallopian tubes', 'female', 'guinea pigs', 'humans', 'polymers', ' sclerosing solutions pharmacology', 'controlled release', 'drug delivery', 'electrospinning', 'permanent contraception', 'sclerosing agents']",Drug Eluting Embolization Particles for Permanent Contraception.,"Medical technology that blocks the fallopian tubes nonsurgically could increase access to permanent contraception and address current unmet needs in family planning. To achieve total occlusion of the fallopian tube via scar tissue formation, acute trauma to the tubal epithelium must first occur followed by a sustained and ultimately fibrotic inflammatory response. Here, we developed drug-eluting fiber-based microparticles that provide tunable dose and release of potent sclerosing agents. This fabrication strategy demonstrates high encapsulation of physicochemically diverse agents and the potential for scalable manufacturing by utilizing free-surface electrospinning to generate material for fiber micronization. Manipulation of nanofiber formulation such as drug loading, drug hydrophobicity, polymer hydrophobicity, and crystallinity allowed for modulation of the sustained release properties of our fiber microparticles. We assessed various fibrous microparticle formulations in vivo using a newly developed and validated guinea pig model for contraception. We found that fiber microparticles with bolus release doxycycline effectively elicited acute trauma and those formulated with highly loaded phenyl benzoate caused sustained inflammation in the target organs. The demonstrated potency of these electrospun microparticles, as well as their embolic size and shape, suggests potential for proximal agglomeration and inflammatory activity in the fallopian tubes following transcervical delivery."
2021,Frontiers in oral health,Front Oral Health. 2022 Feb 11;2:821812. doi: 10.3389/froh.2021.821812. ,"['Hernandez, Jamie L', 'Park, Jaehyung', 'Hughes, Sean M', 'Hladik, Florian', 'Woodrow, Kim A']","['buccal', 'flow cytometry', 'immune cell populations', 'leukocytes', 'lingual tonsil', 'non-human primate', 'oral mucosa', 'sublingual']",Characterization of Immune Cells in Oral Tissues of Non-human Primates.,"The oral mucosa contains distinct tissue sites with immune niches capable of either immunogenic or tolerogenic responses. However, immune cell compositions within oral mucosal tissues at homeostasis have not been well-characterized in human relevant tissues. Non-human primates (NHP) are a major model for the human immune system and oral anatomy, and therefore improved understanding of NHP oral immune cell populations can provide important insights for studying disease pathologies and developing therapies. Herein, we characterize immune cell types of three sites within the oral cavity (buccal, sublingual, lingual tonsil) sampled by biopsy and cytobrush in pigtail macaques. Tonsil biopsies had more T-cells, dendritic cells (DCs), DC subtypes, and CD4+ T-cells than buccal or sublingual biopsies when normalized by tissue mass. Biopsy proved to collect more immune cells than cytobrushes, however frequencies of CD45+ subpopulations were comparable between methods. Live cells isolated from biopsied tonsils had greater CD45+ leukocyte frequencies (mean 31.6 ± SD 20.4%) than buccal (13.8 ± 4.6%) or sublingual (10.0 ± 5.1%) tissues. T-cells composed more than half of the CD45+ population in sublingual tissue (60.1 ± 9.6%) and the tonsil (54.6 ± 7.5%), but only 31.9 ± 7.2% in buccal samples. CD20+ B-cells composed a greater percentage of CD45+ leukocytes in the tonsil (12.8 ± 9.1%) than buccal (1.2 ± 1.0%) or sublingual tissues (0.8 ± 1.2%). Immune population comparisons are also made between sex and age. These results present an important step for understanding the oral immune environment, oral disease, and site-specific therapy development."
2022 May,Advanced healthcare materials,Adv Healthc Mater. 2022 May;11(9):e2102087. doi: 10.1002/adhm.202102087. Epub ,"['Hernandez, Jamie L', 'Woodrow, Kim A']","['biocompatible materials', ' calcification, physiologic', ' calcinosis', 'female', 'foreign-body reaction', 'humans', 'porosity', 'biofilms', 'biomaterials', 'foreign body reaction', 'hemocompatibility', 'porosity']",Medical Applications of Porous Biomaterials: Features of Porosity and Tissue-Specific Implications for Biocompatibility.,"Porosity is an important material feature commonly employed in implants and tissue scaffolds. The presence of material voids permits the infiltration of cells, mechanical compliance, and outward diffusion of pharmaceutical agents. Various studies have confirmed that porosity indeed promotes favorable tissue responses, including minimal fibrous encapsulation during the foreign body reaction (FBR). However, increased biofilm formation and calcification is also described to arise due to biomaterial porosity. Additionally, the relevance of host responses like the FBR, infection, calcification, and thrombosis are dependent on tissue location and specific tissue microenvironment. In this review, the features of porous materials and the implications of porosity in the context of medical devices is discussed. Common methods to create porous materials are also discussed, as well as the parameters that are used to tune pore features. Responses toward porous biomaterials are also reviewed, including the various stages of the FBR, hemocompatibility, biofilm formation, and calcification. Finally, these host responses are considered in tissue specific locations including the subcutis, bone, cardiovascular system, brain, eye, and female reproductive tract. The effects of porosity across the various tissues of the body is highlighted and the need to consider the tissue context when engineering biomaterials is emphasized."
2021 Nov,Advanced drug delivery reviews,Adv Drug Deliv Rev. 2021 Nov;178:113956. doi: 10.1016/j.addr.2021.113956. Epub ,"['VanBenschoten, Hannah M', 'Woodrow, Kim A']","['adaptive immunity immunology', 'female', 'humans', 'immune tolerance immunology', 'vaccination', 'vaccines  immunology', 'vagina  immunology', 'drug delivery', 'mucosal adjuvants', 'mucosal immunology', 'sexually transmitted infections', 'vaginal vaccines']",Vaginal delivery of vaccines.,"Recent estimates suggest that one in two sexually active individuals will acquire a sexually transmitted infection by age 25, an alarming statistic that amounts to over 1 million new infections per day worldwide. Vaccination against STIs is highly desirable for alleviating this global burden of disease. Vaginal immunization is a promising strategy to combat transmission via the vaginal mucosa. The vagina is typically considered a poor inductive site for common correlates of adaptive immunity. However, emerging evidence suggests that immune tolerance may be overcome by precisely engineered vaccination schemes that orchestrate cell-mediated immunity and establish tissue resident memory immune cells. In this review, we will discuss the unique immunological milieu of the vaginal mucosa and our current understanding of correlates of pathogenesis and protection for several common STIs. We then present a summary of recent vaginal vaccine studies and explore the role that mucosal adjuvants and delivery systems play in enhancing protection according to requisite features of immunity. Finally, we offer perspectives on the challenges and future directions of vaginal vaccine delivery, discussing remaining physiological barriers and innovative vaccine formulations that may overcome them."
2021 Jun,Biomaterials,Biomaterials. 2021 Jun;273:120806. doi: 10.1016/j.biomaterials.2021.120806. Epub ,"['Hernandez, Jamie L', 'Park, Jaehyung', 'Yao, Shan', 'Blakney, Anna K', 'Nguyen, Hienschi V', 'Katz, Bob H', 'Jensen, Jeffrey T', 'Woodrow, Kim A']","['animals', ' biocompatible materials', 'fibrosis', ' foreign-body reaction etiology pathology', 'mice', 'prostheses and implants', 'subcutaneous tissue pathology', 'electrospun fibers', 'female reproductive tract', 'foreign body reaction', 'immune privilege', 'intrauterine device', 'sclerosing agents']",Effect of tissue microenvironment on fibrous capsule formation to biomaterial-coated implants.,"Within tissue exposed to the systemic immune system, lymphocytes and fibroblasts act against biomaterials via the development of a fibrous capsule, known as the foreign body reaction (FBR). Inspired by the natural tolerance that the uterine cavity has to foreign bodies, our study explores the role of microenvironment across classical (subcutaneous) and immune privileged (uterine) tissues in the development of the FBR. As a model biomaterial, we used electrospun fibers loaded with sclerosing agents to provoke scar tissue growth. Additionally, we integrated these materials onto an intrauterine device as a platform for intrauterine biomaterial studies. Polyester materials in vitro achieved drug release up to 10 days, greater pro-inflammatory and pro-healing cytokine expression, and the addition of gelatin enabled greater fibroblast attachment. We observed the materials that induced the greatest FBR in the mouse, had no effect when inserted at the utero-tubal junction of non-human primates. These results suggest that the FBR varies across different tissue microenvironments, and a dampened fibrotic response exists in the uterine cavity, possibly due to immune privilege. Further study of immune privileged tissue factors on biomaterials could broaden our understanding of the FBR and inform new methods for achieving biocompatibility in vivo."
2021 Jan 10,Journal of controlled release : official journal of the Controlled Release ,J Control Release. 2021 Jan 10;329:782-793. doi: 10.1016/j.jconrel.2020.10.012. ,"['Park, Jaehyung', 'Frizzell, Hannah', 'Zhang, Hangyu', 'Cao, Shijie', 'Hughes, Sean M', 'Hladik, Florian', 'Koelle, David M', 'Woodrow, Kim A']","['animals', ' antigen presentation', 'cd8-positive t-lymphocytes', ' dendritic cells', 'female', 'genitalia', 'mice', 'mice, inbred c57bl', 'mucous membrane', 'chitosan', 'dendritic cell', 'draining lymph node', 'mucosal vaccine', 'reproductive tract']",Flt3-L enhances trans-epithelial migration and antigen presentation of dendritic cells adoptively transferred to genital mucosa.,"Dendritic cells (DCs) play a critical role in shaping adaptive immunity. Systemic transfer of DCs by intravenous injection has been widely investigated to inform the development of immunogenic DCs for use as cellular therapies. Adoptive transfer of DCs to mucosal sites has been limited but serves as a valuable tool to understand the role of the microenvironment on mucosal DC activation, maturation and antigen presentation. Here, we show that chitosan facilitates transmigration of DCs across the vaginal epithelium in the mouse female reproductive tract (FRT). In addition, ex vivo programming of DCs with fms-related tyrosine kinase 3 ligand (Flt3-L) was found to enhance translocation of intravaginally administered DCs to draining lymph nodes (dLNs) and stimulate in vivo proliferation of both antigen-specific CD4+ and CD8+ T cells (cross-presentation). Mucosal priming with chitosan and DC programming may hold great promise to enhance efficacy of DC-based vaccination to the female genital mucosa."
2019 Aug 12,ACS biomaterials science & engineering,ACS Biomater Sci Eng. 2019 Aug 12;5(8):4013-4022. doi: ,"['Creighton, Rachel L', 'Suydam, Ian T', 'Ebner, Mikaela E', 'Afunugo, Wilma E', 'Bever, Alaina M', 'Cao, Shijie', 'Jiang, Yonghou', 'Woodrow, Kim A']","['plga', 'antiretroviral', 'drug-delivery', 'encapsulation', 'intracellular concentration', 'liquid chromatography-tandem mass spectrometry', 'nanoparticle', 'prodrug', 'raltegravir']",Sustained Intracellular Raltegravir Depots Generated with Prodrugs Designed for Nanoparticle Delivery.,"Polymeric nanocarriers have been extensively used to improve the delivery of hydrophobic drugs, but often provide low encapsulation efficiency and percent loading for hydrophilic compounds. In particular, insufficient loading of hydrophilic antiretroviral drugs such as the integrase inhibitor raltegravir (RAL) has limited the development of sustained-release therapeutics or prevention strategies against HIV. To address this, we developed a generalizable prodrug strategy using RAL as a model where loading, release and subsequent hydrolysis can be tuned by promoiety selection. Prodrugs with large partition coefficients increased the encapsulation efficiency up to 25-fold relative to RAL, leading to significant dose reductions in antiviral activity assays. The differential hydrolysis rates of these prodrugs led to distinct patterns of RAL availability and observed antiviral activity. We also developed a method to monitor the temporal distribution of both prodrug and RAL in cells treated with free prodrug or prodrug-NPs. Results of these studies indicated that prodrug-NPs create an intracellular drug reservoir capable of sustained intracellular drug release. Overall, our results suggest that the design of prodrugs for specific polymeric nanocarrier systems could provide a more generalized strategy to formulate physicochemically diverse hydrophilic drugs with a number of biomedical applications."
2019 Mar,Science advances,Sci Adv. 2019 Mar 27;5(3):eaav6322. doi: 10.1126/sciadv.aav6322. eCollection 2019 ,"['Cao, Shijie', 'Slack, Sarah D', 'Levy, Claire N', 'Hughes, Sean M', 'Jiang, Yonghou', 'Yogodzinski, Christopher', 'Roychoudhury, Pavitra', 'Jerome, Keith R', 'Schiffer, Joshua T', 'Hladik, Florian', 'Woodrow, Kim A']","['animals', 'anti-hiv agents  administration & dosage chemistry', 'cd4-positive t-lymphocytes  drug effects immunology virology', 'cells, cultured', 'chemical phenomena', 'drug carriers chemistry', 'hiv infections  drug therapy immunology virology', 'hiv-1  drug effects immunology physiology', 'humans', 'leukocytes, mononuclear drug effects immunology virology', 'lymphocyte activation drug effects immunology', 'macaca', 'mice, inbred c57bl', 'nanostructures  administration & dosage chemistry', 'virus latency  drug effects immunology']",Hybrid nanocarriers incorporating mechanistically distinct drugs for lymphatic CD4(+) T cell activation and HIV-1 latency reversal.,"A proposed strategy to cure HIV uses latency-reversing agents (LRAs) to reactivate latent proviruses for purging HIV reservoirs. A variety of LRAs have been identified, but none has yet proven effective in reducing the reservoir size in vivo. Nanocarriers could address some major challenges by improving drug solubility and safety, providing sustained drug release, and simultaneously delivering multiple drugs to target tissues and cells. Here, we formulated hybrid nanocarriers that incorporate physicochemically diverse LRAs and target lymphatic CD4(+) T cells. We identified one LRA combination that displayed synergistic latency reversal and low cytotoxicity in a cell model of HIV and in CD4(+) T cells from virologically suppressed patients. Furthermore, our targeted nanocarriers selectively activated CD4(+) T cells in nonhuman primate peripheral blood mononuclear cells as well as in murine lymph nodes, and substantially reduced local toxicity. This nanocarrier platform may enable new solutions for delivering anti-HIV agents for an HIV cure."
