time,journal,doi_info,authors,key words,title,abstract
2023 Sep 1,Acta biomaterialia,Acta Biomater. 2023 Sep 1;167:121-134. doi: 10.1016/j.actbio.2023.06.007. Epub ,"['Voutouri, Chrysovalantis', 'Mpekris, Fotios', 'Panagi, Myrofora', 'Krolak, Connor', 'Michael, Christina', 'Martin, John D', 'Averkiou, Michalakis A', 'Stylianopoulos, Triantafyllos']","['humans', 'immune checkpoint inhibitors', 'tumor burden', ' melanoma therapy', 'biomarkers', ' elasticity imaging techniques', 'immunotherapy methods', 'perfusion', 'tumor microenvironment', 'breast cancer', 'contrast-enhanced ultrasound', 'immune checkpoint inhibition', 'melanoma', 'sarcoma', 'shear wave elastography']",Ultrasound stiffness and perfusion markers correlate with tumor volume responses to immunotherapy.,"Immunotherapy has revolutionized the treatment of dozens of cancers and became a standard of care for some tumor types. However, the majority of patients do not benefit from current immunotherapeutics and many develop severe toxicities. Therefore, the identification of biomarkers to classify patients as likely responders or non-responders to immunotherapy is a timely task. Here, we test ultrasound imaging markers of tumor stiffness and perfusion. Ultrasound imaging is non-invasive and clinically available and can be used both for stiffness and perfusion evaluation. In this study, we employed syngeneic orthotopic models of two breast cancers, a fibrosarcoma and a melanoma, to demonstrate that ultrasound-derived measures of tumor stiffness and perfusion (i.e., blood volume) correlate with the efficacy of immune checkpoint inhibition (I"
2023 Aug,Ultrasound in medicine & biology,Ultrasound Med Biol. 2023 Aug;49(8):1852-1860. doi: ,"['Juang, Eric K', 'De Koninck, Lance H', 'Vuong, Kaleb S', 'Gnanaskandan, Aswin', 'Hsiao, Chao-Tsung', 'Averkiou, Michalakis A']","['animals', 'swine', 'microbubbles', 'contrast media', 'ultrasonography', 'liver diagnostic imaging surgery', ' hyperthermia, induced methods', ' high-intensity focused ultrasound ablation methods', 'acoustic shadowing', 'heated area', 'high-intensity focused ultrasound', 'hyperthermia', 'microbubbles', 'perfusion', 'thermal lesion', 'ultrasound contrast agents']",Controlled Hyperthermia With High-Intensity Focused Ultrasound and Ultrasound Contrast Agent Microbubbles in Porcine Liver.,"OBJECTIVE: The objective of this work was to study microbubble-enhanced temperature elevation with high-intensity focused ultrasound (HIFU) at different acoustic pressures and under image guidance. The microbubbles were administered with either local or vascular injections (that mimic systemic injections) in perfused and non-perfused ex vivo porcine liver under ultrasound image guidance. METHODS: Porcine liver was insonified for 30 s with a single-element HIFU transducer (0.9 MHz, 0.413 ms, 82% duty cycle, focal pressures of 0.6-3.5 MPa). Contrast microbubbles were injected either locally or through the vasculature. A needle thermocouple at the focus measured temperature elevation. Diagnostic ultrasound (Philips iU22, C5-1 probe) guided placement of the thermocouple and delivery of microbubbles and monitored the procedure in real time. RESULTS: At lower acoustic pressures (0.6 and 1.2 MPa) in non-perfused liver, inertial cavitation of the injected microbubbles led to greater temperatures at the focus compared with HIFU-only treatments. At higher pressures (2.4 and 3.5 MPa) native inertial cavitation in the tissue (without injecting microbubbles) resulted in temperature elevations similar to those after injecting microbubbles. The heated area was larger when using microbubbles at all pressures. In the presence of perfusion, only local injections provided a sufficiently high concentration of microbubbles necessary for significant temperature enhancement. CONCLUSION: Local injections of microbubbles provide a higher concentration of microbubbles in a smaller area, avoiding acoustic shadowing, and can lead to higher temperature elevation at lower pressures and increase the size of the heated area at all pressures."
2023 Jan,Ultrasound in medicine & biology,Ultrasound Med Biol. 2023 Jan;49(1):186-202. doi: ,"['Lai, Ting-Yu', 'Averkiou, Michalakis A']","['animals', 'swine', ' microbubbles', 'ultrasonography', 'phantoms, imaging', ' liver diagnostic imaging', 'amplitude modulation', 'contrast-enhanced ultrasound', 'microbubble echo phase', 'tissue suppression', 'tissue–bubble segmentation', 'ultrafast imaging']",Contrast-Enhanced Ultrasound with Optimized Aperture Patterns and Bubble Segmentation Based on Echo Phase.,"Amplitude modulation (AM) suppresses tissue signals and detects microbubble signals in contrast-enhanced ultrasound (CEUS) and is often implemented with checkerboard apertures. However, possible crosstalk between transmitting and non-transmitting array elements may compromise tissue suppression in AM. Using AM aperture patterns other than the conventional checkerboard approach (one on, one off) may reduce the degree of crosstalk and increase the contrast-to-tissue-ratio (CTR) compared with conventional AM. Furthermore, previous studies have reported that the phase difference between the echoes in AM pulsing sequences may be used to segment tissue and microbubbles and improve tissue signal suppression and the CTR of CEUS images. However, the CTR of the image produced by alternative AM aperture patterns and the effect of segmentation approach on these alternative apertures have not been investigated. We evaluated a number of AM aperture patterns to find an optimal AM aperture pattern that provides the highest CTR. We found that the aperture that uses alternating groups of two elements, AM2, had the highest CTR for the probe evaluated. In addition, a segmentation technique based on echo phase differences (between the full and half-pulses, ΔΦ(AM), between the complementary half-pulses, ΔΦ(half), and the maximum of the two ΔΦ(max)) was also considered in the AM aperture optimization process. The segmentation approach increases the CTR by about 25 dB for all apertures. Finally, AM2 segmented with ΔΦ(max) had a 7-dB higher CTR in a flow phantom and a 6-dB higher contrast in a perfused pig liver than conventional AM segmented with ΔΦ(AM), and it is the optimal transmit aperture design."
2022 Jun 15,Bioconjugate chemistry,Bioconjug Chem. 2022 Jun 15;33(6):1049-1056. doi: ,"['Keller, Sara B', 'Averkiou, Michalakis A']","['drug delivery systems', ' extracellular fluid', 'humans', 'microbubbles', ' neoplasms drug therapy', 'tumor microenvironment', 'ultrasonography']",The Role of Ultrasound in Modulating Interstitial Fluid Pressure in Solid Tumors for Improved Drug Delivery.,"The unique microenvironment of solid tumors, including desmoplasia within the extracellular matrix, enhanced vascular permeability, and poor lymphatic drainage, leads to an elevated interstitial fluid pressure which is a major barrier to drug delivery. Reducing tumor interstitial fluid pressure is one proposed method of increasing drug delivery to the tumor. The goal of this topical review is to describe recent work using focused ultrasound with or without microbubbles to modulate tumor interstitial fluid pressure, through either thermal or mechanical effects on the extracellular matrix and the vasculature. Furthermore, we provide a review on techniques in which ultrasound imaging may be used to diagnose elevated interstitial fluid pressure within solid tumors. Ultrasound-based techniques show high promise in diagnosing and treating elevated interstitial pressure to enhance drug delivery."
2021 Nov,Ultrasound in medicine & biology,Ultrasound Med Biol. 2021 Nov;47(11):3211-3220. doi: ,"['Keller, Sara B', 'Wang, Yak-Nam', 'Totten, Stephanie', 'Yeung, Raymond S', 'Averkiou, Michalakis A']","['animals', ' contrast media', 'drug delivery systems', 'liver diagnostic imaging', ' microbubbles', 'swine', 'ultrasonography', 'cavitation', 'drug delivery', 'microbubbles', 'safety']",Safety of Image-Guided Treatment of the Liver with Ultrasound and Microbubbles in an in Vivo Porcine Model.,"Ultrasound and microbubbles are useful for both diagnostic imaging and targeted drug delivery, making them ideal conduits for theranostic interventions. Recent reports have indicated the preclinical success of microbubble cavitation for enhancement of chemotherapy in abdominal tumors; however, there have been limited studies and variable efficacy in clinical implementation of this technique. This is likely because in contrast to the high pressures and long cycle lengths seen in successful preclinical work, current clinical implementation of microbubble cavitation for drug delivery generally involves low acoustic pressures and short cycle lengths to fit within clinical guidelines. To translate the preclinical parameter space to clinical adoption, a relevant safety study in a healthy large animal is required. Therefore, the purpose of this work was to evaluate the safety of ultrasound cavitation treatment (USCTx) in a healthy porcine model using a modified Philips EPIQ with S5-1 as the focused source. We performed USCTx on eight healthy pigs and monitored health over the course of 1 wk. We then performed an acute study of USCTx to evaluate immediate tissue damage. Contrast-enhanced ultrasound exams were performed before and after each treatment to investigate perfusion changes within the treated areas, and blood and urine were evaluated for liver damage biomarkers. We illustrate, through quantitative analysis of contrast-enhanced ultrasound data, blood and urine analyses and histology, that this technique and the parameter space considered are safe within the time frame evaluated. With its safety confirmed using a clinical-grade ultrasound scanner and contrast agent, USCTx could be easily translated into clinical trials for improvement of chemotherapy delivery. This represents the first safety study assessing the bio-effects of microbubble cavitation from relevant ultrasound parameters in a large animal model."
2020,Frontiers in pharmacology,Front Pharmacol. 2020 Sep 30;11:584344. doi: 10.3389/fphar.2020.584344. ,"['Keller, Sara B', 'Suo, Dingjie', 'Wang, Yak-Nam', 'Kenerson, Heidi', 'Yeung, Raymond S', 'Averkiou, Michalakis A']","['doxorubicin', 'drug delivery', 'hepatocellular carcinoma', 'microbubbles', 'ultrasound', 'vascular disruption']",Image-Guided Treatment of Primary Liver Cancer in Mice Leads to Vascular Disruption and Increased Drug Penetration.,"Despite advances in interventional procedures and chemotherapeutic drug development, hepatocellular carcinoma (HCC) is still the fourth leading cause of cancer-related deaths worldwide with a <30% 5-year survival rate. This poor prognosis can be attributed to the fact that HCC most commonly occurs in patients with pre-existing liver conditions, rendering many treatment options too aggressive. Patient survival rates could be improved by a more targeted approach. Ultrasound-induced cavitation can provide a means for overcoming traditional barriers defining drug uptake. The goal of this work was to evaluate preclinical efficacy of image-guided, cavitation-enabled drug delivery with a clinical ultrasound scanner. To this end, ultrasound conditions (unique from those used in imaging) were designed and implemented on a Philips EPIQ and S5-1 phased array probe to produced focused ultrasound for cavitation treatment. Sonovue(®) microbubbles which are clinically approved as an ultrasound contrast agent were used for both imaging and cavitation treatment. A genetically engineered mouse model was bred and used as a physiologically relevant preclinical analog to human HCC. It was observed that image-guided and targeted microbubble cavitation resulted in selective disruption of the tumor blood flow and enhanced doxorubicin uptake and penetration. Histology results indicate that no gross morphological damage occurred as a result of this process. The combination of these effects may be exploited to treat HCC and other challenging malignancies and could be implemented with currently available ultrasound scanners and reagents."
2020 Oct,Investigative radiology,Invest Radiol. 2020 Oct;55(10):643-656. doi: 10.1097/RLI.0000000000000702.,"['Averkiou, Michalakis A', 'Juang, Eric K', 'Gallagher, Madison K', 'Cuevas, Maria Alejandra', 'Wilson, Stephanie R', 'Barr, Richard G', 'Carson, Paul L']","['biomarkers metabolism', ' contrast media', 'humans', 'image processing, computer-assisted', 'male', 'phantoms, imaging', 'reproducibility of results', ' software', 'ultrasonography  instrumentation']",Evaluation of the Reproducibility of Bolus Transit Quantification With Contrast-Enhanced Ultrasound Across Multiple Scanners and Analysis Software Packages-A Quantitative Imaging Biomarker Alliance Study.,"OBJECTIVES: Contrast enhanced ultrasound (CEUS) is now broadly used clinically for liver lesion detection and characterization. Obstacles to the efforts to quantify perfusion with CEUS have been the lack of a standardized approach and undocumented reproducibility. The use of multiple scanners and different analysis software packages compounds the degree of variability. Our objectives were to standardize a CEUS-based approach for quantification of perfusion-related parameters of liver lesions and to evaluate the variability of bolus transit parameters (rise time [RT], mean transit time [MTT], peak intensity, and area under the curve) obtained from various clinical ultrasound scanners and analysis software. MATERIALS AND METHODS: Bolus transit as a way of evaluating perfusion has been investigated both in vivo and in vitro in the past but without establishing its reproducibility. We developed a tissue flow phantom that produces time-intensity curves very similar to those extracted from clinical cine loops of liver lesions. We evaluated the variability of the bolus transit parameters with 4 commercial scanners (Philips iU22, Philips EPIQ, GE LOGIQ E9, and Siemens Acuson Sequoia) and 3 different analysis software packages in multiple trials (15 per scanner). RESULTS: The variability (coefficient of variation) from repeated trials and while using a single scanner and software was less than 8% for RT, less than 12% for MTT, less than 49% for peak intensity, and less than 50% for area under the curve. Currently, it is not possible to directly compare amplitude values from different scanners and analysis software packages owing to the arbitrary linearization algorithm used among manufacturers; however, it is possible for time parameters (RT and MTT). The variability when using a different scanner with the same analysis software package was less than 9% for RT and less than 21% for MTT. The variability when using a different analysis software with the same scanner was less than 9% for RT and less than 15% for MTT. In all the evaluations we have performed, RT is the least variable parameter, while MTT is only slightly more variable. CONCLUSIONS: The present study will lay the groundwork for multicenter patient evaluations with CEUS quantification of perfusion-related parameters with the bolus transit technique. When using the protocol and method developed here, it is possible to perform perfusion quantification on different scanners and analysis software and be able to compare the results. The current work is the first study that presents a comparison of bolus transit parameters derived from multiple systems and software packages."
2020 Mar-Apr,Radiographics : a review publication of the Radiological Society of North ,Radiographics. 2020 Mar-Apr;40(2):562-588. doi: 10.1148/rg.2020190183.,"['Malone, Christopher D', 'Fetzer, David T', 'Monsky, Wayne L', 'Itani, Malak', 'Mellnick, Vincent M', 'Velez, Philip A', 'Middleton, William D', 'Averkiou, Michalakis A', 'Ramaswamy, Raja S']","['contrast media  administration & dosage', 'humans', 'microbubbles', ' ultrasonography, interventional']",Contrast-enhanced US for the Interventional Radiologist: Current and Emerging Applications.,"US is a powerful and nearly ubiquitous tool in the practice of interventional radiology. Use of contrast-enhanced US (CEUS) has gained traction in diagnostic imaging given the recent approval by the U.S. Food and Drug Administration (FDA) of microbubble contrast agents for use in the liver, such as sulfur hexafluoride lipid-type A microspheres. Adoption of CEUS by interventional radiologists can enhance not only procedure guidance but also preprocedure patient evaluation and assessment of treatment response across a wide spectrum of oncologic, vascular, and nonvascular procedures. In addition, the unique physical properties of microbubble contrast agents make them amenable as therapeutic vehicles in themselves, which can lay a foundation for future therapeutic innovations in the field in drug delivery, thrombolysis, and vascular flow augmentation. The purpose of this article is to provide an introduction to and overview of CEUS aimed at the interventional radiologist, highlighting its role before, during, and after frequently practiced oncologic and vascular interventions such as biopsy, ablation, transarterial chemoembolization, detection and control of hemorrhage, evaluation of transjugular intrahepatic portosystemic shunts (TIPS), detection of aortic endograft endoleak, thrombus detection and evaluation, evaluation of vascular malformations, lymphangiography, and percutaneous drain placement. Basic physical principles of CEUS, injection and scanning protocols, and logistics for practice implementation are also discussed. Early adoption of CEUS by the interventional radiology community will ensure rapid innovation of the field and development of future novel procedures. Online supplemental material is available for this article. (©)RSNA, 2020."
2020 Mar,Ultrasound in medicine & biology,Ultrasound Med Biol. 2020 Mar;46(3):498-517. doi: ,"['Averkiou, Michalakis A', 'Bruce, Matthew F', 'Powers, Jeffry E', 'Sheeran, Paul S', 'Burns, Peter N']","[' contrast media', 'humans', ' microbubbles', 'ultrasonography  methods', 'contrast agents', 'contrast-enhanced ultrasound', 'microbubbles', 'non-linear imaging']",Imaging Methods for Ultrasound Contrast Agents.,"Microbubble contrast agents were introduced more than 25 years ago with the objective of enhancing blood echoes and enabling diagnostic ultrasound to image the microcirculation. Cardiology and oncology waited anxiously for the fulfillment of that objective with one clinical application each: myocardial perfusion, tumor perfusion and angiogenesis imaging. What was necessary though at first was the scientific understanding of microbubble behavior in vivo and the development of imaging technology to deliver the original objective. And indeed, for more than 25 years bubble science and imaging technology have evolved methodically to deliver contrast-enhanced ultrasound. Realization of the basic bubbles properties, non-linear response and ultrasound-induced destruction, has led to a plethora of methods; algorithms and techniques for contrast-enhanced ultrasound (CEUS) and imaging modes such as harmonic imaging, harmonic power Doppler, pulse inversion, amplitude modulation, maximum intensity projection and many others were invented, developed and validated. Today, CEUS is used everywhere in the world with clinical indications both in cardiology and in radiology, and it continues to mature and evolve and has become a basic clinical tool that transforms diagnostic ultrasound into a functional imaging modality. In this review article, we present and explain in detail bubble imaging methods and associated artifacts, perfusion quantification approaches, and implementation considerations and regulatory aspects."
2019 Mar,Ultrasound in medicine & biology,Ultrasound Med Biol. 2019 Mar;45(3):833-845. doi: ,"['Keller, Sara', 'Bruce, Matthew', 'Averkiou, Michalakis A']","['cell membrane permeability  physiology', 'drug delivery systems', 'in vitro techniques', ' microbubbles', 'sonication  methods', 'ultrasonography methods', 'cavitation imaging', 'drug delivery', 'microbubble attenuation', 'sonoporation']",Ultrasound Imaging of Microbubble Activity during Sonoporation Pulse Sequences.,"Ultrasound-mediated drug delivery using the mechanical action of oscillating and/or collapsing microbubbles has been studied on many different experimental platforms, both in vitro and in vivo; however, the mechanisms remain to be elucidated. Many groups use sterile, enclosed chambers, such as Opticells and Clinicells, to optimize acoustic parameters in vitro needed for effective drug delivery in vivo, as well as for mechanistic investigation of sonoporation or the use of sound to permeate cell membranes. In these containers, cell monolayers are seeded on one side, and the remainder of the volume is filled with a solution containing microbubbles and a model drug. Ultrasound is then applied to study the effect of different parameters on model drug uptake in cell monolayers. Despite the simplicity of this system, the field has been unable to appropriately address what parameters and microbubble concentrations are most effective at enhancing drug uptake and minimizing cellular toxicity. In this work, a common in vitro sonoporation experimental setup was characterized through quantitative analysis of microbubble-dependent acoustic attenuation in combination with high-frame-rate and high-resolution imaging of bubble activity during sonoporation pulse sequences. The goal was to visualize the effect that ultrasound parameters have on microbubble activity. It was observed that under literature-derived sonoporation conditions (0.1-1 MPa, 20-1000 cycles and 10,000 to 10,000,000 microbubbles/mL), there is strong and non-linear acoustic attenuation, as well as bubble destruction, gas diffusion and bubble motion resulting in spatiotemporal pressure and concentration gradients. Ultimately, it was found that the acoustic conditions in common in vitro sonoporation setups are much more complex and confounding than often assumed."
