time,journal,doi_info,authors,key words,title,abstract
2024 Jun 25,mSphere,mSphere. 2024 Jun 25;9(6):e0008124. doi: 10.1128/msphere.00081-24. Epub 2024 Jun ,"['Furtado, Kathleen L', 'Plott, Lucas', 'Markovetz, Matthew', 'Powers, Deborah', 'Wang, Hao', 'Hill, David B', 'Papin, Jason', 'Allbritton, Nancy L', 'Tamayo, Rita']","[' clostridioides difficile genetics physiology metabolism', ' biofilms growth & development', 'humans', ' mucus microbiology metabolism', ' gene expression regulation, bacterial', 'epithelial cells microbiology', 'intestinal mucosa microbiology metabolism', 'clostridium infections microbiology', 'clostridioides difficile', 'clostridium difficile', 'biofilm', 'metabolic modeling', 'mucus', 'transcriptomics']","Clostridioides difficile-mucus interactions encompass shifts in gene expression, metabolism, and biofilm formation.","In a healthy colon, the stratified mucus layer serves as a crucial innate immune barrier to protect the epithelium from microbes. Mucins are complex glycoproteins that serve as a nutrient source for resident microflora and can be exploited by pathogens. We aimed to understand how the intestinal pathogen, Clostridioides difficile, independently uses or manipulates mucus to its benefit, without contributions from members of the microbiota. Using a 2-D primary human intestinal epithelial cell model to generate physiologic mucus, we assessed C. difficile-mucus interactions through growth assays, RNA-Seq, biophysical characterization of mucus, and contextualized metabolic modeling. We found that host-derived mucus promotes C. difficile growth both in vitro and in an infection model. RNA-Seq revealed significant upregulation of genes related to central metabolism in response to mucus, including genes involved in sugar uptake, the Wood-Ljungdahl pathway, and the glycine cleavage system. In addition, we identified differential expression of genes related to sensing and transcriptional control. Analysis of mutants with deletions in highly upregulated genes reflected the complexity of C. difficile-mucus interactions, with potential interplay between sensing and growth. Mucus also stimulated biofilm formation in vitro, which may in turn alter the viscoelastic properties of mucus. Context-specific metabolic modeling confirmed differential metabolism and the predicted importance of enzymes related to serine and glycine catabolism with mucus. Subsequent growth experiments supported these findings, indicating mucus is an important source of serine. Our results better define responses of C. difficile to human gastrointestinal mucus and highlight flexibility in metabolism that may influence pathogenesis. IMPORTANCE: Clostridioides difficile results in upward of 250,000 infections and 12,000 deaths annually in the United States. Community-acquired infections continue to rise, and recurrent disease is common, emphasizing a vital need to understand C. difficile pathogenesis. C. difficile undoubtedly interacts with colonic mucus, but the extent to which the pathogen can independently respond to and take advantage of this niche has not been explored extensively. Moreover, the metabolic complexity of C. difficile remains poorly understood but likely impacts its capacity to grow and persist in the host. Here, we demonstrate that C. difficile uses native colonic mucus for growth, indicating C. difficile possesses mechanisms to exploit the mucosal niche. Furthermore, mucus induces metabolic shifts and biofilm formation in C. difficile, which has potential ramifications for intestinal colonization. Overall, our work is crucial to better understand the dynamics of C. difficile-mucus interactions in the context of the human gut."
2024 May 28,Cell reports,Cell Rep. 2024 May 28;43(5):114206. doi: 10.1016/j.celrep.2024.114206. Epub 2024 ,"['Singh, Ankita', 'Beaupre, Michael', 'Villegas-Novoa, Cecilia', 'Shiomitsu, Kiyoshi', 'Gaudino, Stephen J', 'Tawch, Suzanne', 'Damle, Ruhee', 'Kempen, Cody', 'Choudhury, Biswa', 'McAleer, Jeremy P', 'Sheridan, Brian S', 'Denoya, Paula', 'Blumberg, Richard S', 'Hearing, Patrick', 'Allbritton, Nancy L', 'Kumar, Pawan']","['animals', ' interleukin-22', ' interleukins metabolism', 'mice', 'glycosylation', ' colitis metabolism pathology chemically induced', ' receptors, interleukin metabolism', ' dextran sulfate', 'mucins metabolism', 'basic helix-loop-helix transcription factors metabolism', 'humans', 'signal transduction', 'mice, inbred c57bl', 'inflammation pathology metabolism', 'intestinal mucosa metabolism pathology', 'mice, knockout', 'galactosyltransferases metabolism genetics', 'stem cells metabolism', 'b3galt5', 'cp: immunology', 'il-22', 'il-22ra1', 'math1', 'o-glycan', 'stat3', 'colitis', 'epithelium', 'mucin', 'regeneration']",IL-22 promotes mucin-type O-glycosylation and MATH1(+) cell-mediated amelioration of intestinal inflammation.,"The interleukin (IL)-22 cytokine can be protective or inflammatory in the intestine. It is unclear if IL-22 receptor (IL-22Ra1)-mediated protection involves a specific type of intestinal epithelial cell (IEC). By using a range of IEC type-specific Il22Ra1 conditional knockout mice and a dextran sulfate sodium (DSS) colitis model, we demonstrate that IL-22Ra1 signaling in MATH1(+) cells (goblet and progenitor cells) is essential for maintaining the mucosal barrier and intestinal tissue regeneration. The IL-22Ra1 signaling in IECs promotes mucin core-2 O-glycan extension and induces beta-1,3-galactosyltransferase 5 (B3GALT5) expression in the colon. Adenovirus-mediated expression of B3galt5 is sufficient to rescue Il22Ra1(IEC) mice from DSS colitis. Additionally, we observe a reduction in the expression of B3GALT5 and the Tn antigen, which indicates defective mucin O-glycan, in the colon tissue of patients with ulcerative colitis. Lastly, IL-22Ra1 signaling in MATH1(+) progenitor cells promotes organoid regeneration after DSS injury. Our findings suggest that IL-22-dependent protective responses involve O-glycan modification, proliferation, and differentiation in MATH1(+) progenitor cells."
2024,Frontiers in bioengineering and biotechnology,Front Bioeng Biotechnol. 2024 Apr 12;12:1382389. doi: 10.3389/fbioe.2024.1382389. ,"['Wang, Hao', 'Kim, Raehyun', 'Wang, Yuli', 'Furtado, Kathleen L', 'Sims, Christopher E', 'Tamayo, Rita', 'Allbritton, Nancy L']","['bile acid', 'enterotoxin', 'gut microbiome', 'interactions', 'intestine', 'multi-species culture', 'oxygen gradient']",In vitro co-culture of Clostridium scindens with primary human colonic epithelium protects the epithelium against Staphylococcus aureus.,"A complex and dynamic network of interactions exists between human gastrointestinal epithelium and intestinal microbiota. Therefore, comprehending intestinal microbe-epithelial cell interactions is critical for the understanding and treatment of intestinal diseases. Primary human colonic epithelial cells derived from a healthy human donor were co-cultured with Clostridium scindens (C. scindens), a probiotic obligate anaerobe; Staphylococcus aureus (S. aureus), a facultative anaerobe and intestinal pathogen; or both bacterial species in tandem. The co-culture hanging basket platform used for these experiments possessed walls of controlled oxygen (O(2)) permeability to support the formation of an O(2) gradient across the intestinal epithelium using cellular O(2) consumption, resulting in an anaerobic luminal and aerobic basal compartment. Both the colonic epithelial cells and C. scindens remained viable over 48 h during co-culture. In contrast, co-culture with S. aureus elicited significant damage to colonic epithelial cells within 24 h. To explore the influence of the intestinal pathogen on the epithelium in the presence of the probiotic bacteria, colonic epithelial cells were inoculated sequentially with the two bacterial species. Under these conditions, C. scindens was capable of repressing the production of S. aureus enterotoxin. Surprisingly, although C. scindens converted cholic acid to secondary bile acids in the luminal medium, the growth of S. aureus was not significantly inhibited. Nevertheless, this combination of probiotic and pathogenic bacteria was found to benefit the survival of the colonic epithelial cells compared with co-culture of the epithelial cells with S. aureus alone. This platform thus provides an easy-to-use and low-cost tool to study the interaction between intestinal bacteria and colonic cells in vitro to better understand the interplay of intestinal microbiota with human colonic epithelium."
2024 Sep,Biomaterials,Biomaterials. 2024 Sep;309:122577. doi: 10.1016/j.biomaterials.2024.122577. Epub ,"['Wang, Alan S', 'Villegas-Novoa, Cecilia', 'Wang, Yuli', 'Sims, Christopher E', 'Allbritton, Nancy L']","[' mucus metabolism', 'animals', ' colon physiology', ' intestinal mucosa metabolism cytology', ' feces chemistry', 'swine', 'hydrogels chemistry', 'shear strength', 'sulfones chemistry', 'stress, mechanical', 'polyethylene glycols chemistry', 'colon', 'fecal surrogate', 'hydrogel', 'magnetic', 'michael addition', 'mucus', 'primary cells', 'vinyl sulfone']","Mucus-coated, magnetically-propelled fecal surrogate to mimic fecal shear forces on colonic epithelium.","The relationship between the mechanical forces associated with bowel movement and colonic mucosal physiology is understudied. This is partly due to the limited availability of physiologically relevant fecal models that can exert these mechanical stimuli in in vitro colon models in a simple-to-implement manner. In this report, we created a mucus-coated fecal surrogate that was magnetically propelled to produce a controllable sweeping mechanical stimulation on primary intestinal epithelial cell monolayers. The mucus layer was derived from purified porcine stomach mucins, which were first modified with reactive vinyl sulfone (VS) groups followed by reaction with a thiol crosslinker (PEG-4SH) via a Michael addition click reaction. Formation of mucus hydrogel network was achieved at the optimal mixing ratio at 2.5 % w/v mucin-VS and 0.5 % w/v PEG-4SH. The artificial mucus layer possessed similar properties as the native mucus in terms of its storage modulus (66 Pa) and barrier function (resistance to penetration by 1-μm microbeads). This soft, but mechanically resilient mucus layer was covalently linked to a stiff fecal hydrogel surrogate (based on agarose and magnetic particles, with a storage modulus of 4600 Pa). The covalent bonding between the mucus and agarose ensured its stability in the subsequent fecal sliding movement when tested at travel distances as long as 203 m. The mucus layer served as a lubricant and protected epithelial cells from the moving fecal surrogate over a 1 h time without cell damage. To demonstrate its utility, this mucus-coated fecal surrogate was used to mechanically stimulate a fully differentiated, in vitro primary colon epithelium, and the physiological stimulated response of mucin-2 (MUC2), interleukin-8 (IL-8) and serotonin (5HT) secretion was quantified. Compared with a static control, mechanical stimulation caused a significant increase in MUC2 secretion into luminal compartment (6.4 × ), a small but significant increase in IL-8 secretion (2.5 × and 3.5 × , at both luminal and basal compartments, respectively), and no detectable alteration in 5HT secretion. This mucus-coated fecal surrogate is expected to be useful in in vitro colon organ-on-chips and microphysiological systems to facilitate the investigation of feces-induced mechanical stimulation on intestinal physiology and pathology."
2024 Feb 3,bioRxiv : the preprint server for biology,bioRxiv [Preprint]. 2024 Feb 3:2024.02.01.578425. doi: 10.1101/2024.02.01.578425.,"['Furtado, Kathleen L', 'Plott, Lucas', 'Markovetz, Matthew', 'Powers, Deborah', 'Wang, Hao', 'Hill, David B', 'Papin, Jason', 'Allbritton, Nancy L', 'Tamayo, Rita']",[],"Clostridioides difficile-mucus interactions encompass shifts in gene expression, metabolism, and biofilm formation.","In a healthy colon, the stratified mucus layer serves as a crucial innate immune barrier to protect the epithelium from microbes. Mucins are complex glycoproteins that serve as a nutrient source for resident microflora and can be exploited by pathogens. We aimed to understand how the intestinal pathogen, Clostridioides diffiicile, independently uses or manipulates mucus to its benefit, without contributions from members of the microbiota. Using a 2-D primary human intestinal epithelial cell model to generate physiologic mucus, we assessed C. difficile-mucus interactions through growth assays, RNA-Seq, biophysical characterization of mucus, and contextualized metabolic modeling. We found that host-derived mucus promotes C. difficile growth both in vitro and in an infection model. RNA-Seq revealed significant upregulation of genes related to central metabolism in response to mucus, including genes involved in sugar uptake, the Wood-Ljungdahl pathway, and the glycine cleavage system. In addition, we identified differential expression of genes related to sensing and transcriptional control. Analysis of mutants with deletions in highly upregulated genes reflected the complexity of C. difficile-mucus interactions, with potential interplay between sensing and growth. Mucus also stimulated biofilm formation in vitro, which may in turn alter viscoelastic properties of mucus. Context-specific metabolic modeling confirmed differential metabolism and predicted importance of enzymes related to serine and glycine catabolism with mucus. Subsequent growth experiments supported these findings, indicating mucus is an important source of serine. Our results better define responses of C. difficile to human gastrointestinal mucus and highlight a flexibility in metabolism that may influence pathogenesis."
2023 Dec 8,Science advances,Sci Adv. 2023 Dec 8;9(49):eade1370. doi: 10.1126/sciadv.ade1370. Epub 2023 Dec 8.,"['Nyangahu, Donald D', 'Happel, Anna-Ursula', 'Wendoh, Jerome', 'Kiravu, Agano', 'Wang, Yuli', 'Feng, Colin', 'Plumlee, Courtney', 'Cohen, Sara', 'Brown, Bryan P', 'Djukovic, Danijel', 'Ganief, Tariq', 'Gasper, Melanie', 'Raftery, Daniel', 'Blackburn, Jonathan M', 'Allbritton, Nancy L', 'Gray, Clive M', 'Paik, Jisun', 'Urdahl, Kevin B', 'Jaspan, Heather B']","['humans', 'infant', 'mice', 'animals', ' bifidobacterium longum subspecies infantis', 'bcg vaccine', 't-lymphocytes', ' gastrointestinal microbiome', 'feces microbiology']",Bifidobacterium infantis associates with T cell immunity in human infants and is sufficient to enhance antigen-specific T cells in mice.,"Bacille Calmette-Guerin (BCG) vaccine can elicit good T(H)1 responses in neonates. We hypothesized that the pioneer gut microbiota affects vaccine T cell responses. Infants who are HIV exposed but uninfected (iHEU) display an altered immunity to vaccination. BCG-specific immune responses were analyzed at 7 weeks of age in iHEU, and responses were categorized as high or low. Bifidobacterium longum subsp. infantis was enriched in the stools of high responders, while Bacteroides thetaiotaomicron was enriched in low responders at time of BCG vaccination. Neonatal germ-free or SPF mice orally gavaged with live B. infantis exhibited significantly higher BCG-specific T cells compared with pups gavaged with B. thetaiotaomicron. B. infantis and B. thetaiotaomicron differentially affected stool metabolome and colonic transcriptome. Human colonic epithelial cells stimulated with B. infantis induced a unique gene expression profile versus B. thetaiotaomicron. We thus identified a causal role of B. infantis in early-life antigen-specific immunity."
2023 Sep,Bioengineering & translational medicine,Bioeng Transl Med. 2023 Jun 21;8(5):e10551. doi: 10.1002/btm2.10551. eCollection ,"['Cortés-Llanos, Belén', 'Jain, Vaibhav', 'Cooper-Volkheimer, Alicia', 'Browne, Edward P', 'Murdoch, David M', 'Allbritton, Nancy L']","['hiv latency reactivation', 'microarrays', 'single‐cell', 'time‐lapse imaging']",Automated microarray platform for single-cell sorting and collection of lymphocytes following HIV reactivation.,"A promising strategy to cure HIV-infected individuals is to use latency reversing agents (LRAs) to reactivate latent viruses, followed by host clearance of infected reservoir cells. However, reactivation of latent proviruses within infected cells is heterogeneous and often incomplete. This fact limits strategies to cure HIV which may require complete elimination of viable virus from all cellular reservoirs. For this reason, understanding the mechanism(s) of reactivation of HIV within cellular reservoirs is critical to achieve therapeutic success. Methodologies enabling temporal tracking of single cells as they reactivate followed by sorting and molecular analysis of those cells are urgently needed. To this end, microraft arrays were adapted to image T-lymphocytes expressing mCherry under the control of the HIV long terminal repeat (LTR) promoter, in response to the application of LRAs (prostratin, iBET151, and SAHA). In response to prostratin, iBET151, and SAHA, 30.5%, 11.2%, and 12.1% percentage of cells, respectively. The arrays enabled large numbers of single cells (>25,000) to be imaged over time. mCherry fluorescence quantification identified cell subpopulations with differing reactivation kinetics. Significant heterogeneity was observed at the single-cell level between different LRAs in terms of time to reactivation, rate of mCherry fluorescence increase upon reactivation, and peak fluorescence attained. In response to prostratin, subpopulations of T lymphocytes with slow and fast reactivation kinetics were identified. Single T-lymphocytes that were either fast or slow reactivators were sorted, and single-cell RNA-sequencing was performed. Different genes associated with inflammation, immune activation, and cellular and viral transcription factors were found."
2023 Jun 8,Annual review of biomedical engineering,Annu Rev Biomed Eng. 2023 Jun 8;25:281-309. doi: ,"['Yao, Ming', 'Vaithiyanathan, Manibarathi', 'Allbritton, Nancy L']","['humans', ' lipids analysis chemistry', 'mass spectrometry methods', ' signal transduction', 'lipid metabolism', 'raman imaging', 'capillary electrophoresis', 'lipids', 'mass spectrometry', 'single cell', 'thin layer chromatography']",Analytical Techniques for Single-Cell Biochemical Assays of Lipids.,"Lipids are essential cellular components forming membranes, serving as energy reserves, and acting as chemical messengers. Dysfunction in lipid metabolism and signaling is associated with a wide range of diseases including cancer and autoimmunity. Heterogeneity in cell behavior including lipid signaling is increasingly recognized as a driver of disease and drug resistance. This diversity in cellular responses as well as the roles of lipids in health and disease drive the need to quantify lipids within single cells. Single-cell lipid assays are challenging due to the small size of cells (∼1 pL) and the large numbers of lipid species present at concentrations spanning orders of magnitude. A growing number of methodologies enable assay of large numbers of lipid analytes, perform high-resolution spatial measurements, or permit highly sensitive lipid assays in single cells. Covered in this review are mass spectrometry, Raman imaging, and fluorescence-based assays including microscopy and microseparations."
2022 Aug 25,Micromachines,Micromachines (Basel). 2022 Aug 25;13(9):1392. doi: 10.3390/mi13091392.,"['DiSalvo, Matthew', 'Cortés-Llanos, Belén', 'LaBelle, Cody A', 'Murdoch, David M', 'Allbritton, Nancy L']","['barcoding', 'bioimaging', 'microarray analysis', 'microfabrication', 'single-cell analysis']",Scalable Additive Construction of Arrayed Microstructures with Encoded Properties for Bioimaging.,"Microarrays are essential components of analytical instruments. The elements of microarrays may be imbued with additional functionalities and encodings using composite materials and structures, but traditional microfabrication methods present substantial barriers to fabrication, design, and scalability. In this work, a tool-free technique was reported to additively batch-construct micromolded, composite, and arrayed microstructures. The method required only a compatible carrier fluid to deposit a material onto a substrate with some topography. Permutations of this basic fabrication approach were leveraged to gain control over the volumes and positions of deposited materials within the microstructures. As a proof of concept, cell micro-carrier arrays were constructed to demonstrate a range of designs, compositions, functionalities, and applications for composite microstructures. This approach is envisioned to enable the fabrication of complex composite biological and synthetic microelements for biosensing, cellular analysis, and biochemical screening."
2022 Oct 4,Analytical chemistry,Anal Chem. 2022 Oct 4;94(39):13489-13497. doi: 10.1021/acs.analchem.2c02622. Epub ,"['Wang, Yuli', 'Yao, Ming', 'Sims, Christopher E', 'Allbritton, Nancy L']","['chromatography, thin layer methods', ' fluorescent dyes', 'lipids', 'porosity', ' silicon dioxide chemistry']",Monolithic Silica Microbands Enable Thin-Layer Chromatography Analysis of Single Cells.,"A picoliter thin-layer chromatography (pTLC) platform was developed for analyzing extremely miniature specimens, such as assay of the contents of a single cell of 1 picoliter volume. The pTLC chip consisted of an array of microscale bands made from highly porous monolithic silica designed to accept picoliter-scale volume samples. pTLC bands were fabricated by combining sol-gel chemistry and microfabrication technology. The width (60-80 μm) and depth (13 μm) of each band is comparable to the size of single cells and acted to reduce the lateral diffusion and confine the movement of compounds along the microbands. Ultrasmall volumes (tens of pL) of model fluorescent compounds were spotted onto the microband by a piezoelectric microdispenser and successfully separated by pTLC. The separation resolution and analyte migration were dependent on the macropore size (ranging from 0.3 to 2.3 μm), which was adjustable by changing the porogen concentration during the sol-gel process. For a 0.3 μm macropore size, attomoles of analyte were detectable by fluorescence using standard microscopy methods. The separation resolution, theoretical plate number, and separation times ranged from 1.3 to 2.1, 4 to 357, and 2 to 8 min, respectively, for the chosen model biological lipids. To demonstrate the capability of pTLC for separating analytes from single mammalian cells, cells loaded with fluorescent lipophilic dyes or sphingosine kinase reporter were spotted on microbands, and the single-cell contents separated by pTLC were detected from their fluorescence. These results demonstrate the potential of pTLC for applications in many areas where miniature specimens and high-throughput parallel analyses are needed."
