time,journal,doi_info,authors,key words,title,abstract
2024 May 13,JACC. Clinical electrophysiology,JACC Clin Electrophysiol. 2024 May 13:S2405-500X(24)00196-8. doi: ,"['Kassar, Ahmad', 'Akoum, Nazem', 'Boyle, Patrick M']","['anisotropy', 'atrial fibrillation', 'conduction velocity', 'epicardial mapping']",Navigating the Stormy Sea of Anisotropy: How Electroanatomic Properties Influence Complex Propagation in Atrial Fibrillation.,
2024 Feb 8,bioRxiv : the preprint server for biology,bioRxiv [Preprint]. 2024 Feb 8:2024.02.06.579232. doi: 10.1101/2024.02.06.579232.,"['Lee, Justin Daho', 'Nguyen, Amanda', 'Jin, Zheyu Ruby', 'Moghadasi, Aida', 'Gibbs, Chelsea E', 'Wait, Sarah J', 'Evitts, Kira M', 'Asencio, Anthony', 'Bremner, Samantha B', 'Zuniga, Shani', 'Chavan, Vedant', 'Williams, Andy', 'Smith, Netta', 'Regnier, Michael', 'Young, Jessica E', 'Mack, David', 'Nance, Elizabeth', 'Boyle, Patrick M', 'Berndt, Andre']",[],Far-red and sensitive sensor for monitoring real time H(2)O(2) dynamics with subcellular resolution and in multi-parametric imaging applications.,"H(2)O(2) is a key oxidant in mammalian biology and a pleiotropic signaling molecule at the physiological level, and its excessive accumulation in conjunction with decreased cellular reduction capacity is often found to be a common pathological marker. Here, we present a red fluorescent Genetically Encoded H(2)O(2) Indicator (GEHI) allowing versatile optogenetic dissection of redox biology. Our new GEHI, oROS-HT, is a chemigenetic sensor utilizing a HaloTag and Janelia Fluor (JF) rhodamine dye as fluorescent reporters. We developed oROS-HT through a structure-guided approach aided by classic protein structures and recent protein structure prediction tools. Optimized with JF(635), oROS-HT is a sensor with 635 nm excitation and 650 nm emission peaks, allowing it to retain its brightness while monitoring intracellular H(2)O(2) dynamics. Furthermore, it enables multi-color imaging in combination with blue-green fluorescent sensors for orthogonal analytes and low auto-fluorescence interference in biological tissues. Other advantages of oROS-HT over alternative GEHIs are its fast kinetics, oxygen-independent maturation, low pH sensitivity, lack of photo-artifact, and lack of intracellular aggregation. Here, we demonstrated efficient subcellular targeting and how oROS-HT can map inter and intracellular H(2)O(2) diffusion at subcellular resolution. Lastly, we used oROS-HT with the green fluorescent calcium indicator Fluo-4 to investigate the transient effect of the anti-inflammatory agent auranofin on cellular redox physiology and calcium levels via multi-parametric, dual-color imaging."
2024 Apr,Journal of cardiovascular electrophysiology,J Cardiovasc Electrophysiol. 2024 Apr;35(4):737-746. doi: 10.1111/jce.16213. Epub ,"['Chahine, Yaacoub', 'Afroze, Tanzina', 'Bifulco, Savannah F', 'Tekmenzhi, Demyan V', 'Jafarvand, Mahbod', 'Boyle, Patrick M', 'Akoum, Nazem']","['humans', 'male', 'female', ' atrial fibrillation diagnosis surgery epidemiology', 'esophagoscopy', 'temperature', 'esophagus injuries', ' catheter ablation adverse effects', ' burns epidemiology', ' pulmonary veins surgery', 'atrial fibrillation', 'catheter ablation', 'endoscopically detected esophageal lesion', 'multisensor probe']",Machine learning identifies esophageal luminal temperature patterns associated with thermal injury in catheter ablation for atrial fibrillation.,"INTRODUCTION: Luminal esophageal temperature (LET) monitoring during atrial fibrillation (AF) ablation is widely used to reduce the incidence of endoscopically detected esophageal lesion (EDEL). We sought to assess whether specific patterns of LET variation are associated with EDEL. METHODS: A high-fidelity multisensor probe was used to record LET in AF patients undergoing radiofrequency ablation (RFA) or cryoballoon ablation (CBA). Explainable machine learning and SHapley Additive exPlanations (SHAP) analysis were used to predict EDEL and assess feature importance. RESULTS: A total of 94 patients (38.3% persistent AF, 71.3% male, 72 RFA, and 22 CBA) were included. EDEL was detected in 11 patients (10 RFA and one CBA). In the RFA group, the highest LET recorded was similar between patients with and without EDEL (40.6 [40.1-41]°C vs. 40.2 [39.1-40.9]°C; p = .313), however, the rate of LET rise for the highest recorded peak was higher (0.08 [0.03-0.12]°C/s vs. 0.02 [0.01-0.05]°C/s; p = .033), and the area under the curve (AUC) for the highest peak was smaller (412.5 [206.8-634.1] vs. 588.6 [380.4-861.1]; p = .047) in patients who had EDEL. In case of CBA, the patient with EDEL had a faster LET decline (0.12 vs. 0.07 [0.02-0.14]°C/s), and a smaller AUC for the lowest trough (2491.3 vs. 2629.3 [1712.6-5283.2]). SHAP analysis revealed that a rate of LET change higher than 0.05°C/s and an AUC less than 600 were more predictive of EDEL in RFA. CONCLUSION: The rate of LET change and AUC for the recorded temperature predicted EDEL, whereas absolute peak temperatures did not."
2024,"Methods in molecular biology (Clifton, N.J.)",Methods Mol Biol. 2024;2735:105-115. doi: 10.1007/978-1-0716-3527-8_6.,"['Bifulco, Savannah F', 'Boyle, Patrick M']","['humans', ' atrial fibrillation pathology', ' atrial remodeling', 'models, cardiovascular', 'action potentials', 'heart atria surgery', 'computer simulation', 'fibrosis', 'atrial fibrillation', 'computational modeling', 'electrophysiology', 'fibrosis']",Computational Modeling and Simulation of the Fibrotic Human Atria.,"Patient-specific modeling of atrial electrical activity enables the execution of simulations that can provide mechanistic insights and provide novel solutions to vexing clinical problems. The geometry and fibrotic remodeling of the heart can be reconstructed from clinical-grade medical scans and used to inform personalized models with detail incorporated at the cell- and tissue-scale to represent changes in image-identified diseased regions. Here, we provide a rubric for the reconstruction of realistic atrial models from pre-segmented 3D renderings of the left atrium with fibrotic tissue regions delineated, which are the output from clinical-grade systems for quantifying fibrosis. We then provide a roadmap for using those models to carry out patient-specific characterization of the fibrotic substrate in terms of its potential to harbor reentrant drivers via cardiac electrophysiology simulations."
2023 Jul-Dec,Expert review of cardiovascular therapy,Expert Rev Cardiovasc Ther. 2023 Jul-Dec;21(11):817-837. doi: ,"['Telle, Åshild', 'Bargellini, Clarissa', 'Chahine, Yaacoub', 'Del Álamo, Juan C', 'Akoum, Nazem', 'Boyle, Patrick M']","['humans', ' atrial fibrillation', 'reproducibility of results', 'heart atria', 'fibrosis', ' stroke etiology prevention & control', 'atrial fibrillation', 'atrial fibrosis', 'biomechanics', 'medical imaging', 'multiphysics modeling', 'patient-specific care', 'patient-specific modeling']",Personalized biomechanical insights in atrial fibrillation: opportunities & challenges.,"INTRODUCTION: Atrial fibrillation (AF) is an increasingly prevalent and significant worldwide health problem. Manifested as an irregular atrial electrophysiological activation, it is associated with many serious health complications. AF affects the biomechanical function of the heart as contraction follows the electrical activation, subsequently leading to reduced blood flow. The underlying mechanisms behind AF are not fully understood, but it is known that AF is highly correlated with the presence of atrial fibrosis, and with a manifold increase in risk of stroke. AREAS COVERED: In this review, we focus on biomechanical aspects in atrial fibrillation, current and emerging use of clinical images, and personalized computational models. We also discuss how these can be used to provide patient-specific care. EXPERT OPINION: Understanding the connection betweenatrial fibrillation and atrial remodeling might lead to valuable understanding of stroke and heart failure pathophysiology. Established and emerging imaging modalities can bring us closer to this understanding, especially with continued advancements in processing accuracy, reproducibility, and clinical relevance of the associated technologies. Computational models of cardiac electromechanics can be used to glean additional insights on the roles of AF and remodeling in heart function."
2023 Aug,Cellular and molecular bioengineering,Cell Mol Bioeng. 2023 Aug 24;16(4):243-259. doi: 10.1007/s12195-023-00781-z. ,"['Ochs, Alexander R', 'Boyle, Patrick M']","['cardiac electrophysiology', 'cardiac optogenetics', 'cardiomyocyte', 'chr2', 'channelrhodopsin', 'computational modeling', 'early afterdepolarization', 'gtacr1', 'myocardial infarction', 'reduced repolarization reserve']",Optogenetic Modulation of Arrhythmia Triggers: Proof-of-Concept from Computational Modeling.,"INTRODUCTION: Early afterdepolarizations (EADs) are secondary voltage depolarizations associated with reduced repolarization reserve (RRR) that can trigger lethal arrhythmias. Relating EADs to triggered activity is difficult to study, so the ability to suppress or provoke EADs would be experimentally useful. Here, we use computational simulations to assess the feasibility of subthreshold optogenetic stimulation modulating the propensity for EADs (cell-scale) and EAD-associated ectopic beats (organ-scale). METHODS: We modified a ventricular ionic model by reducing rapid delayed rectifier potassium (0.25-0.1 × baseline) and increasing L-type calcium (1.0-3.5 × baseline) currents to create RRR conditions with varying severity. We ran simulations in models of single cardiomyocytes and left ventricles from post-myocardial infarction patient MRI scans. Optogenetic stimulation was simulated using either ChR2 (depolarizing) or GtACR1 (repolarizing) opsins. RESULTS: In cell-scale simulations without illumination, EADs were seen for 164 of 416 RRR conditions. Subthreshold stimulation of GtACR1 reduced EAD incidence by up to 84.8% (25/416 RRR conditions; 0.1 μW/mm(2)); in contrast, subthreshold ChR2 excitation increased EAD incidence by up to 136.6% (388/416 RRR conditions; 50 μW/mm(2)). At the organ scale, we assumed simultaneous, uniform illumination of the epicardial and endocardial surfaces. GtACR1-mediated suppression (10-50 μW/mm(2)) and ChR2-mediated unmasking (50-100 μW/mm(2)) of EAD-associated ectopic beats were feasible in three distinct ventricular models. CONCLUSIONS: Our findings suggest that optogenetics could be used to silence or provoke both EADs and EAD-associated ectopic beats. Validation in animal models could lead to exciting new experimental regimes and potentially to novel anti-arrhythmia treatments. SUPPLEMENTARY INFORMATION: The online version contains supplementary material available at 10.1007/s12195-023-00781-z."
2023 Oct,JACC. Clinical electrophysiology,JACC Clin Electrophysiol. 2023 Oct;9(10):2149-2162. doi: ,"['Macheret, Fima', 'Bifulco, Savannah F', 'Scott, Griffin D', 'Kwan, Kirsten T', 'Chahine, Yaacoub', 'Afroze, Tanzina', 'McDonagh, Rosemary', 'Akoum, Nazem', 'Boyle, Patrick M']","['humans', ' atrial fibrillation surgery', 'heart atria diagnostic imaging surgery', ' atrial flutter surgery', 'fibrosis', 'computer simulation', 'mri', 'atrial fibrillation', 'computational modeling', 'conduction velocity', 'fibrosis']",Comparing Inducibility of Re-Entrant Arrhythmia in Patient-Specific Computational Models to Clinical Atrial Fibrillation Phenotypes.,"BACKGROUND: Computational models of fibrosis-mediated, re-entrant left atrial (LA) arrhythmia can identify possible substrate for persistent atrial fibrillation (AF) ablation. Contemporary models use a 1-size-fits-all approach to represent electrophysiological properties, limiting agreement between simulations and patient outcomes. OBJECTIVES: The goal of this study was to test the hypothesis that conduction velocity (ϴ) modulation in persistent AF models can improve simulation agreement with clinical arrhythmias. METHODS: Patients with persistent AF (n = 37) underwent ablation and were followed up for ≥2 years to determine post-ablation outcomes: AF, atrial flutter (AFL), or no recurrence. Patient-specific LA models (n = 74) were constructed using pre-ablation and ≥90 days' post-ablation magnetic resonance imaging data. Simulated pacing gauged in silico arrhythmia inducibility due to AF-like rotors or AFL-like macro re-entrant tachycardias. A physiologically plausible range of ϴ values (±10 or 20% vs. baseline) was tested, and model/clinical agreement was assessed. RESULTS: Fifteen (41%) patients had a recurrence with AF and 6 (16%) with AFL. Arrhythmia was induced in 1,078 of 5,550 simulations. Using baseline ϴ, model/clinical agreement was 46% (34 of 74 models), improving to 65% (48 of 74) when any possible ϴ value was used (McNemar's test, P = 0.014). ϴ modulation improved model/clinical agreement in both pre-ablation and post-ablation models. Pre-ablation model/clinical agreement was significantly greater for patients with extensive LA fibrosis (>17.2%) and an elevated body mass index (>32.0 kg/m(2)). CONCLUSIONS: Simulations in persistent AF models show a 41% relative improvement in model/clinical agreement when ϴ is modulated. Patient-specific calibration of ϴ values could improve model/clinical agreement and model usefulness, especially in patients with higher body mass index or LA fibrosis burden. This could ultimately facilitate better personalized modeling, with immediate clinical implications."
2023 Aug 15,Journal of the American Heart Association,J Am Heart Assoc. 2023 Aug 15;12(16):e030500. doi: 10.1161/JAHA.123.030500. Epub ,"['Bifulco, Savannah F', 'Macheret, Fima', 'Scott, Griffin D', 'Akoum, Nazem', 'Boyle, Patrick M']","['humans', ' atrial fibrillation diagnosis surgery pathology', 'cicatrix', 'heart atria diagnostic imaging surgery pathology', 'fibrosis', 'computer simulation', 'machine learning', ' catheter ablation adverse effects methods', 'recurrence', 'treatment outcome', 'ablation', 'atrial fibrillation', 'computational modeling', 'machine learning', 'recurrent arrhythmia']",Explainable Machine Learning to Predict Anchored Reentry Substrate Created by Persistent Atrial Fibrillation Ablation in Computational Models.,"Background Postablation arrhythmia recurrence occurs in ~40% of patients with persistent atrial fibrillation. Fibrotic remodeling exacerbates arrhythmic activity in persistent atrial fibrillation and can play a key role in reentrant arrhythmia, but emergent interaction between nonconductive ablation-induced scar and native fibrosis (ie, residual fibrosis) is poorly understood. Methods and Results We conducted computational simulations in pre- and postablation left atrial models reconstructed from late gadolinium enhanced magnetic resonance imaging scans to test the hypothesis that ablation in patients with persistent atrial fibrillation creates new substrate conducive to recurrent arrhythmia mediated by anchored reentry. We trained a random forest machine learning classifier to accurately pinpoint specific nonconductive tissue regions (ie, areas of ablation-delivered scar or vein/valve boundaries) with the capacity to serve as substrate for anchored reentry-driven recurrent arrhythmia (area under the curve: 0.91±0.03). Our analysis suggests there is a distinctive nonconductive tissue pattern prone to serving as arrhythmogenic substrate in postablation models, defined by a specific size and proximity to residual fibrosis. Conclusions Overall, this suggests persistent atrial fibrillation ablation transforms substrate that favors functional reentry (ie, rotors meandering in excitable tissue) into an arrhythmogenic milieu more conducive to anchored reentry. Our work also indicates that explainable machine learning and computational simulations can be combined to effectively probe mechanisms of recurrent arrhythmia."
2023 Aug,Nature biomedical engineering,Nat Biomed Eng. 2023 Aug;7(8):961-968. doi: 10.1038/s41551-023-01076-4.,"['Cosgriff-Hernandez, Elizabeth M', 'Aguado, Brian A', 'Akpa, Belinda', 'Fleming, Gabriella Coloyan', 'Moore, Erika', 'Porras, Ana Maria', 'Boyle, Patrick M', 'Chan, Deva D', 'Chesler, Naomi', 'Christman, Karen L', 'Desai, Tejal A', 'Harley, Brendan A C', 'Hudalla, Gregory A', 'Killian, Megan L', 'Maisel, Katharina', 'Maitland, Kristen C', 'Peyton, Shelly R', 'Pruitt, Beth L', 'Stabenfeldt, Sarah E', 'Stevens, Kelly R', 'Bowden, Audrey K']","['humans', ' faculty', ' personnel selection']",Equitable hiring strategies towards a diversified faculty.,
2023,Arrhythmia & electrophysiology review,Arrhythm Electrophysiol Rev. 2023 Apr 12;12:e07. doi: 10.15420/aer.2022.34. ,"['Chahine, Yaacoub', 'Magoon, Matthew J', 'Maidu, Bahetihazi', 'Del Álamo, Juan C', 'Boyle, Patrick M', 'Akoum, Nazem']","['cardiovascular disease', 'atrial fibrillation', 'computational fluid dynamics', 'computational modelling', 'multiscale modelling', 'neural networks', 'thromboembolism']",Machine Learning and the Conundrum of Stroke Risk Prediction.,"Stroke is a leading cause of death worldwide. With escalating healthcare costs, early non-invasive stroke risk stratification is vital. The current paradigm of stroke risk assessment and mitigation is focused on clinical risk factors and comorbidities. Standard algorithms predict risk using regression-based statistical associations, which, while useful and easy to use, have moderate predictive accuracy. This review summarises recent efforts to deploy machine learning (ML) to predict stroke risk and enrich the understanding of the mechanisms underlying stroke. The surveyed body of literature includes studies comparing ML algorithms with conventional statistical models for predicting cardiovascular disease and, in particular, different stroke subtypes. Another avenue of research explored is ML as a means of enriching multiscale computational modelling, which holds great promise for revealing thrombogenesis mechanisms. Overall, ML offers a new approach to stroke risk stratification that accounts for subtle physiologic variants between patients, potentially leading to more reliable and personalised predictions than standard regression-based statistical associations."
