time,journal,doi_info,authors,key words,title,abstract
2024 Apr,JCO precision oncology,JCO Precis Oncol. 2024 Apr;8:e2300687. doi: 10.1200/PO.23.00687.,"['Nakajima, Erica C', 'Simpson, Amber', 'Bogaerts, Jan', 'de Vries, Elisabeth G E', 'Do, Richard', 'Garalda, Elena', 'Goldmacher, Greg', 'Kinahan, Paul E', 'Lambin, Philippe', 'LeStage, Barbara', 'Li, Qin', 'Lin, Frank', 'Litière, Saskia', 'Perez-Lopez, Raquel', 'Petrick, Nicholas', 'Schwartz, Lawrence', 'Seymour, Lesley', 'Shankar, Lalitha', 'Laurie, Scott A']","['humans', ' precision medicine methods', 'response evaluation criteria in solid tumors', 'radiomics', 'medical oncology', ' neoplasms diagnostic imaging drug therapy']",Tumor Size Is Not Everything: Advancing Radiomics as a Precision Medicine Biomarker in Oncology Drug Development and Clinical Care. A Report of a Multidisciplinary Workshop Coordinated by the RECIST Working Group.,
2024 Mar 27,EJNMMI research,EJNMMI Res. 2024 Mar 27;14(1):32. doi: 10.1186/s13550-024-01093-7.,"['Muzi, Mark', 'Peterson, Lanell M', 'Specht, Jennifer M', 'Hippe, Daniel S', 'Novakova-Jiresova, Alena', 'Lee, Jean H', 'Kurland, Brenda F', 'Mankoff, David A', 'Obuchowski, Nancy', 'Linden, Hannah M', 'Kinahan, Paul E']","['18f-fdg pet', 'bone metastases', 'breast cancer', 'repeatability', 'test-retest']",Repeatability of (18)F-FDG uptake in metastatic bone lesions of breast cancer patients and implications for accrual to clinical trials.,"BACKGROUND: Standard measures of response such as Response Evaluation Criteria in Solid Tumors are ineffective for bone lesions, often making breast cancer patients that have bone-dominant metastases ineligible for clinical trials with potentially helpful therapies. In this study we prospectively evaluated the test-retest uptake variability of 2-deoxy-2-[18F]fluoro-D-glucose ((18)F-FDG) in a cohort of breast cancer patients with bone-dominant metastases to determine response criteria. The thresholds for 95% specificity of change versus no-change were then applied to a second cohort of breast cancer patients with bone-dominant metastases. METHODS: For this study, nine patients with 38 bone lesions were imaged with (18)F-FDG in the same calibrated scanner twice within 14 days. Tumor uptake was quantified by the most commonly used PET parameter, the maximum tumor voxel normalized by dose and body weight (SUVmax) and also by the mean of a 1-cc maximal uptake volume normalized by dose and lean-body-mass (SULpeak). The asymmetric repeatability coefficients with confidence intervals for SUVmax and SULpeak were used to determine the limits of (18)F-FDG uptake variability. A second cohort of 28 breast cancer patients with bone-dominant metastases that had 146 metastatic bone lesions was imaged with (18)F-FDG before and after standard-of-care therapy for response assessment. RESULTS: The mean relative difference of SUVmax and SULpeak in 38 bone tumors of the first cohort were 4.3% and 6.7%. The upper and lower asymmetric limits of the repeatability coefficient were 19.4% and - 16.3% for SUVmax, and 21.2% and - 17.5% for SULpeak. (18)F-FDG repeatability coefficient confidence intervals resulted in the following patient stratification using SULpeak for the second patient cohort: 11-progressive disease, 5-stable disease, 7-partial response, and 1-complete response with three inevaluable patients. The asymmetric repeatability coefficients response criteria for SULpeak changed the status of 3 patients compared to the standard Positron Emission Tomography Response Criteria in Solid Tumors of ± 30% SULpeak. CONCLUSION: In evaluating bone tumor response for breast cancer patients with bone-dominant metastases using (18)F-FDG SUVmax, the repeatability coefficients from test-retest studies show that reductions of more than 17% and increases of more than 20% are unlikely to be due to measurement variability. Serial (18)F-FDG imaging in clinical trials investigating bone lesions in these patients, such as the ECOG-ACRIN EA1183 trial, benefit from confidence limits that allow interpretation of response."
2024 Jan 16,Research square,Res Sq [Preprint]. 2024 Jan 16:rs.3.rs-3818932. doi: 10.21203/rs.3.rs-3818932/v1.,"['Muzi, Mark', 'Peterson, Lanell M', 'Specht, Jennifer M', 'Hippe, Daniel S', 'Novakova-Jiresova, Alena', 'Lee, Jean H', 'Kurland, Brenda F', 'Mankoff, David A', 'Obuchowski, Nancy', 'Linden, Hannah M', 'Kinahan, Paul E']","['fdg-pet', 'bone metastases', 'breast cancer', 'repeatability', 'test-retest']",Repeatability of 18F-FDG uptake in metastatic bone lesions of breast cancer patients and implications for accrual to clinical trials.,"BACKGROUND: Standard measures of response such as Response Evaluation Criteria in Solid Tumors are ineffective for bone lesions, often making breast cancer patients with bone-dominant metastases ineligible for clinical trials with potentially helpful therapies. In this study we prospectively evaluated the test-retest uptake variability of 2-deoxy-2-[(18)F]fluoro-D-glucose ((18)F-FDG) in a cohort of breast cancer patients with bone-dominant metastases to determine response criteria. The thresholds for 95% specificity of change versus no-change were then applied to a second cohort of breast cancer patients with bone-dominant metastases.In this study, nine patients with 38 bone lesions were imaged with (18)F-FDG in the same calibrated scanner twice within 14 days. Tumor uptake was quantified as the maximum tumor voxel normalized by dose and body weight (SUVmax) and the mean of a 1-cc maximal uptake volume normalized by dose and lean-body-mass (SULpeak). The asymmetric repeatability coefficients with confidence intervals of SUVmax and SULpeak were used to determine limits of (18)F-FDG uptake variability. A second cohort of 28 breast cancer patients with bone-dominant metastases that had 146 metastatic bone lesions was imaged with (18)F-FDG before and after standard-of-care therapy for response assessment. RESULTS: The mean relative difference of SUVmax in 38 bone tumors of the first cohort was 4.3%. The upper and lower asymmetric limits of the repeatability coefficient were 19.4% and -16.3%, respectively. The (18)F-FDG repeatability coefficient confidence intervals resulted in the following patient stratification for the second patient cohort: 11-progressive disease, 5-stable disease, 7-partial response, and 1-complete response with three inevaluable patients. The asymmetric repeatability coefficients response criteria changed the status of 3 patients compared to standard the standard Positron Emission Tomography Response Criteria in Solid Tumors of ±30% SULpeak. CONCLUSIONS: In evaluating bone tumor response for breast cancer patients with bone-dominant metastases using (18)F-FDG uptake, the repeatability coefficients from test-retest studies show that reductions of more than 17% and increases of more than 20% are unlikely to be due to measurement variability. Serial (18)F-FDG imaging in clinical trials investigating bone lesions from these patients, such as the ECOG-ACRIN EA1183 trial, benefit from confidence limits that allow interpretation of response."
2023 Jun 29,Cancers,Cancers (Basel). 2023 Jun 29;15(13):3418. doi: 10.3390/cancers15133418.,"['Lastwika, Kristin J', 'Wu, Wei', 'Zhang, Yuzheng', 'Ma, Ningxin', 'Zečević, Mladen', 'Pipavath, Sudhakar N J', 'Randolph, Timothy W', 'Houghton, A McGarry', 'Nair, Viswam S', 'Lampe, Paul D', 'Kinahan, Paul E']","['autoantibodies', 'biomarkers', 'glycomics', 'indeterminate pulmonary nodules', 'lung cancer', 'proteomics', 'radiomics', 'semantic features']",Multi-Omic Biomarkers Improve Indeterminate Pulmonary Nodule Malignancy Risk Assessment.,"The clinical management of patients with indeterminate pulmonary nodules is associated with unintended harm to patients and better methods are required to more precisely quantify lung cancer risk in this group. Here, we combine multiple noninvasive approaches to more accurately identify lung cancer in indeterminate pulmonary nodules. We analyzed 94 quantitative radiomic imaging features and 41 qualitative semantic imaging variables with molecular biomarkers from blood derived from an antibody-based microarray platform that determines protein, cancer-specific glycan, and autoantibody-antigen complex content with high sensitivity. From these datasets, we created a PSR (plasma, semantic, radiomic) risk prediction model comprising nine blood-based and imaging biomarkers with an area under the receiver operating curve (AUROC) of 0.964 that when tested in a second, independent cohort yielded an AUROC of 0.846. Incorporating known clinical risk factors (age, gender, and smoking pack years) for lung cancer into the PSR model improved the AUROC to 0.897 in the second cohort and was more accurate than a well-characterized clinical risk prediction model (AUROC = 0.802). Our findings support the use of a multi-omics approach to guide the clinical management of indeterminate pulmonary nodules."
2023 Apr,IEEE transactions on radiation and plasma medical sciences,IEEE Trans Radiat Plasma Med Sci. 2023 Apr;7(4):333-343. doi: ,"['Rajagopal, Abhejit', 'Natsuaki, Yutaka', 'Wangerin, Kristen', 'Hamdi, Mahdjoub', 'An, Hongyu', 'Sunderland, John J', 'Laforest, Richard', 'Kinahan, Paul E', 'Larson, Peder E Z', 'Hope, Thomas A']","['digital phantoms', 'pet mri qualification', 'full-convolutional neural networks', 'standardized uptake value (suv) quantification']",Synthetic PET via Domain Translation of 3-D MRI.,"Historically, patient datasets have been used to develop and validate various reconstruction algorithms for PET/MRI and PET/CT. To enable such algorithm development, without the need for acquiring hundreds of patient exams, in this article we demonstrate a deep learning technique to generate synthetic but realistic whole-body PET sinograms from abundantly available whole-body MRI. Specifically, we use a dataset of 56 (18)F-FDG-PET/MRI exams to train a 3-D residual UNet to predict physiologic PET uptake from whole-body T1-weighted MRI. In training, we implemented a balanced loss function to generate realistic uptake across a large dynamic range and computed losses along tomographic lines of response to mimic the PET acquisition. The predicted PET images are forward projected to produce synthetic PET (sPET) time-of-flight (ToF) sinograms that can be used with vendor-provided PET reconstruction algorithms, including using CT-based attenuation correction (CTAC) and MR-based attenuation correction (MRAC). The resulting synthetic data recapitulates physiologic (18)F-FDG uptake, e.g., high uptake localized to the brain and bladder, as well as uptake in liver, kidneys, heart, and muscle. To simulate abnormalities with high uptake, we also insert synthetic lesions. We demonstrate that this sPET data can be used interchangeably with real PET data for the PET quantification task of comparing CTAC and MRAC methods, achieving ≤ 7.6% error in mean-SUV compared to using real data. These results together show that the proposed sPET data pipeline can be reasonably used for development, evaluation, and validation of PET/MRI reconstruction methods."
2023 May 11,"Tomography (Ann Arbor, Mich.)",Tomography. 2023 May 11;9(3):995-1009. doi: 10.3390/tomography9030081.,"['Moore, Stephen M', 'Quirk, James D', 'Lassiter, Andrew W', 'Laforest, Richard', 'Ayers, Gregory D', 'Badea, Cristian T', 'Fedorov, Andriy Y', 'Kinahan, Paul E', 'Holbrook, Matthew', 'Larson, Peder E Z', 'Sriram, Renuka', 'Chenevert, Thomas L', 'Malyarenko, Dariya', 'Kurhanewicz, John', 'Houghton, A McGarry', 'Ross, Brian D', 'Pickup, Stephen', 'Gee, James C', 'Zhou, Rong', 'Gammon, Seth T', 'Manning, Henry Charles', 'Roudi, Raheleh', 'Daldrup-Link, Heike E', 'Lewis, Michael T', 'Rubin, Daniel L', 'Yankeelov, Thomas E', 'Shoghi, Kooresh I']","['animals', 'mice', 'humans', ' metadata', 'reproducibility of results', 'diagnostic imaging', ' neoplasms diagnostic imaging', 'reference standards', 'digital imaging and communications in medicine (dicom)', 'co-clinical imaging', 'metadata', 'open science', 'preclinical imaging', 'reproducibility', 'standardization']","Co-Clinical Imaging Metadata Information (CIMI) for Cancer Research to Promote Open Science, Standardization, and Reproducibility in Preclinical Imaging.",
2023 Mar 27,"Tomography (Ann Arbor, Mich.)",Tomography. 2023 Mar 27;9(2):750-758. doi: 10.3390/tomography9020060.,"['Gammon, Seth T', 'Cohen, Allison S', 'Lehnert, Adrienne L', 'Sullivan, Daniel C', 'Malyarenko, Dariya', 'Manning, Henry Charles', 'Hormuth, David A', 'Daldrup-Link, Heike E', 'An, Hongyu', 'Quirk, James D', 'Shoghi, Kooresh', 'Pagel, Mark David', 'Kinahan, Paul E', 'Miyaoka, Robert S', 'Houghton, A McGarry', 'Lewis, Michael T', 'Larson, Peder', 'Sriram, Renuka', 'Blocker, Stephanie J', 'Pickup, Stephen', 'Badea, Alexandra', 'Badea, Cristian T', 'Yankeelov, Thomas E', 'Chenevert, Thomas L']","[' tomography, x-ray computed', ' positron-emission tomography', 'magnetic resonance imaging', 'consortia', 'quantitative imaging', 'reproducibility', 'templates']",An Online Repository for Pre-Clinical Imaging Protocols (PIPs).,"Providing method descriptions that are more detailed than currently available in typical peer reviewed journals has been identified as an actionable area for improvement. In the biochemical and cell biology space, this need has been met through the creation of new journals focused on detailed protocols and materials sourcing. However, this format is not well suited for capturing instrument validation, detailed imaging protocols, and extensive statistical analysis. Furthermore, the need for additional information must be counterbalanced by the additional time burden placed upon researchers who may be already overtasked. To address these competing issues, this white paper describes protocol templates for positron emission tomography (PET), X-ray computed tomography (CT), and magnetic resonance imaging (MRI) that can be leveraged by the broad community of quantitative imaging experts to write and self-publish protocols in protocols.io. Similar to the Structured Transparent Accessible Reproducible (STAR) or Journal of Visualized Experiments (JoVE) articles, authors are encouraged to publish peer reviewed papers and then to submit more detailed experimental protocols using this template to the online resource. Such protocols should be easy to use, readily accessible, readily searchable, considered open access, enable community feedback, editable, and citable by the author."
2023 Mar 16,"Tomography (Ann Arbor, Mich.)",Tomography. 2023 Mar 16;9(2):657-680. doi: 10.3390/tomography9020053.,"['Peehl, Donna M', 'Badea, Cristian T', 'Chenevert, Thomas L', 'Daldrup-Link, Heike E', 'Ding, Li', 'Dobrolecki, Lacey E', 'Houghton, A McGarry', 'Kinahan, Paul E', 'Kurhanewicz, John', 'Lewis, Michael T', 'Li, Shunqiang', 'Luker, Gary D', 'Ma, Cynthia X', 'Manning, H Charles', 'Mowery, Yvonne M', ""O'Dwyer, Peter J"", 'Pautler, Robia G', 'Rosen, Mark A', 'Roudi, Raheleh', 'Ross, Brian D', 'Shoghi, Kooresh I', 'Sriram, Renuka', 'Talpaz, Moshe', 'Wahl, Richard L', 'Zhou, Rong']","['animals', 'mice', 'humans', ' neoplasms diagnostic imaging therapy pathology', 'disease models, animal', 'diagnostic imaging', 'animal models', 'breast cancer', 'co-clinical trials', 'colorectal cancer', 'imaging', 'lung cancer', 'myelofibrosis', 'osteosarcoma', 'pancreatic cancer', 'prostate cancer', 'sarcoma']",Animal Models and Their Role in Imaging-Assisted Co-Clinical Trials.,"The availability of high-fidelity animal models for oncology research has grown enormously in recent years, enabling preclinical studies relevant to prevention, diagnosis, and treatment of cancer to be undertaken. This has led to increased opportunities to conduct co-clinical trials, which are studies on patients that are carried out parallel to or sequentially with animal models of cancer that mirror the biology of the patients' tumors. Patient-derived xenografts (PDX) and genetically engineered mouse models (GEMM) are considered to be the models that best represent human disease and have high translational value. Notably, one element of co-clinical trials that still needs significant optimization is quantitative imaging. The National Cancer Institute has organized a Co-Clinical Imaging Resource Program ("
2023 Feb 7,"Tomography (Ann Arbor, Mich.)",Tomography. 2023 Feb 7;9(1):375-386. doi: 10.3390/tomography9010030.,"['Malyarenko, Dariya', 'Amouzandeh, Ghoncheh', 'Pickup, Stephen', 'Zhou, Rong', 'Manning, Henry Charles', 'Gammon, Seth T', 'Shoghi, Kooresh I', 'Quirk, James D', 'Sriram, Renuka', 'Larson, Peder', 'Lewis, Michael T', 'Pautler, Robia G', 'Kinahan, Paul E', 'Muzi, Mark', 'Chenevert, Thomas L']","['humans', 'phantoms, imaging', 'reproducibility of results', ' diffusion magnetic resonance imaging methods', ' magnetic resonance imaging', 'benchmarking', 'adc', 'adc bias', 'apparent diffusion coefficient', 'diffusion phantom', 'preclinical mri', 'repeatability', 'reproducibility']",Evaluation of Apparent Diffusion Coefficient Repeatability and Reproducibility for Preclinical MRIs Using Standardized Procedures and a Diffusion-Weighted Imaging Phantom.,"Relevant to co-clinical trials, the goal of this work was to assess repeatability, reproducibility, and bias of the apparent diffusion coefficient (ADC) for preclinical MRIs using standardized procedures for comparison to performance of clinical MRIs. A temperature-controlled phantom provided an absolute reference standard to measure spatial uniformity of these performance metrics. Seven institutions participated in the study, wherein diffusion-weighted imaging (DWI) data were acquired over multiple days on 10 preclinical scanners, from 3 vendors, at 6 field strengths. Centralized versus site-based analysis was compared to illustrate incremental variance due to processing workflow. At magnet isocenter, short-term (intra-exam) and long-term (multiday) repeatability were excellent at within-system coefficient of variance, wCV [±"
2023 May,Medical physics,Med Phys. 2023 May;50(5):2998-3007. doi: 10.1002/mp.16187. Epub 2023 Jan 11.,"['Wollenweber, Scott D', 'Alessio, Adam M', 'Kinahan, Paul E']","[' positron emission tomography computed tomography', ' tomography, x-ray computed', 'algorithms', 'phantoms, imaging', 'positron-emission tomography methods', 'image processing, computer-assisted methods', 'detection', 'image quality', 'positron emission tomography (pet)']",Phantom and methodology for comparison of small lesion detectability in PET.,"PURPOSE: The main goal of this work is to describe a phantom design, data acquisition and data analysis methodology enabling comparison of small lesion detectability between PET imaging systems and reconstruction algorithms. Several methods are currently available to characterize intrinsic and image quality performance, but none focus exclusively on small lesion detectability. METHODS: We previously developed a small-lesion detection phantom and described initial results using a head-size phantom. Unlike most fillable nuclear medicine phantoms, this phantom offers a semi-realistic heterogenous background and wall-less contrast features. In this work, the methodology is extended to include (a) the use of both head- and body-sized phantoms and (b) a multi-scan data collection and analysis method. We present an example use case of the phantom and detection estimation methodology, comparing the small-lesion detection performance across four commercial PET/CT systems. RESULTS: Repeat acquisitions of the phantom enabled estimation of model observer performance and surrogates of detectability. As anticipated, estimated detectability increased with the square root of system sensitivity and TOF offered marked improvement in detectability, especially for the body sized object. The proposed approach characterizing detectability at different times during the decay of the phantom enabled comparison of small lesion detectability at matched activity concentrations (and scan durations) across different scanners. CONCLUSION: The proposed approach offers a reproducible tool for evaluating relative tradeoffs of system performance on small lesion detectability."
