time,journal,doi_info,authors,key words,title,abstract
2024 Jun 27,American journal of ophthalmology,Am J Ophthalmol. 2024 Jun 27:S0002-9394(24)00268-X. doi: ,"['Berni, Alessandro', 'Shen, Mengxi', 'Cheng, Yuxuan', 'Herrera, Gissel', 'Hiya, Farhan', 'Liu, Jeremy', 'Wang, Liang', 'Li, Jianqing', 'Zhou, Sandy Wenting', 'Trivizki, Omer', 'Waheed, Nadia K', ""O'Brien, Robert"", 'Gregori, Giovanni', 'Wang, Ruikang K', 'Rosenfeld, Philip J']","['hyperreflective foci', 'en face', 'geographic atrophy', 'hyperpigmentation', 'optical coherence tomography angiography', 'persistent choroidal hypertransmission defects', 'retinal pigment epithelium', 'swept-source']",The Total Macular Burden of Hyperreflective Foci and the Onset of Persistent Choroidal Hypertransmission Defects in Intermediate AMD.,PURPOSE: The association between the total macular burden of hyperreflective foci (HRF) in eyes with intermediate AMD (iAMD) and the onset of persistent choroidal hypertransmission defects (hyperTDs) was studied using swept-source optical coherence tomography (SS-OCT). DESIGN: Post hoc subgroup analysis of a prospective study. METHODS: A retrospective review of iAMD eyes from subjects enrolled in a prospective SS-OCT study was performed. All eyes underwent 6×6 mm SS-OCT angiography (SS-OCTA) imaging at baseline and follow-up visits. En face sub-retinal pigment epithelium (subRPE) slabs with segmentation boundaries positioned 64-400 µm beneath Bruch's membrane (BM) were used to identify persistent choroidal hyperTDs. None of the eyes had persistent hyperTDs at baseline. The same subRPE slab was used to identify choroidal hypotransmission defects (hypoTDs) attributable to HRF located either intraretinally (iHRF) or along the RPE (rpeHRF) based on corresponding B-scans. A semiautomated algorithm was used by two independent graders to validate and refine the HRF outlines. The HRF area and the drusen volume within a 5mm fovea-centered circle were measured at each visit. RESULTS: The median follow-up time for the 171 eyes from 121 patients included in this study was 59.1 months (95%
2024 May 27,"Diagnostics (Basel, Switzerland)",Diagnostics (Basel). 2024 May 27;14(11):1107. doi: 10.3390/diagnostics14111107.,"['Díaz-Aljaro, Pablo', 'Valldeperas, Xavier', 'Broc-Iturralde, Laura', 'Romanic-Bubalo, Nevena', 'Díaz-Aljaro, Ignacio', 'Chu, Zhongdi', 'Wang, Ruikang K', 'Zarranz-Ventura, Javier']",[],"Correction: Díaz-Aljaro et al. Quantitative Microvascular Change Analysis Using a Semi-Automated Algorithm in Macula-on Rhegmatogenous Retinal Detachment Assessed by Swept-Source Optical Coherence Tomography Angiography. Diagnostics 2024, 14, 750.",In the original publication [...].
2024 Jun 3,Investigative ophthalmology & visual science,Invest Ophthalmol Vis Sci. 2024 Jun 3;65(6):26. doi: 10.1167/iovs.65.6.26.,"['Cheng, Yuxuan', 'Hiya, Farhan', 'Li, Jianqing', 'Shen, Mengxi', 'Liu, Jeremy', 'Herrera, Gissel', 'Berni, Alessandro', 'Morin, Rosalyn', 'Joseph, Joan', 'Zhang, Qinqin', 'Gregori, Giovanni', 'Rosenfeld, Philip J', 'Wang, Ruikang K']","['humans', ' tomography, optical coherence methods', ' choroid blood supply diagnostic imaging', ' retinal drusen diagnostic imaging diagnosis', 'female', 'aged', 'male', ' fluorescein angiography methods', 'regional blood flow physiology', 'calcinosis diagnostic imaging diagnosis', 'aged, 80 and over', 'macular degeneration diagnosis physiopathology diagnostic imaging', 'middle aged', 'phantoms, imaging', 'fundus oculi']",Calcified Drusen Prevent the Detection of Underlying Choriocapillaris Using Swept-Source Optical Coherence Tomography Angiography.,"PURPOSE: In age-related macular degeneration (AMD), choriocapillaris flow deficits (CCFDs) under soft drusen can be measured using established compensation strategies. This study investigated whether CCFDs can be quantified under calcified drusen (CaD). METHODS: CCFDs were measured in normal eyes (n = 30) and AMD eyes with soft drusen (n = 30) or CaD (n = 30). CCFD density masks were generated to highlight regions with higher CCFDs. Masks were also generated for soft drusen and CaD based on both structural en face OCT images and corresponding B-scans. Dice similarity coefficients were calculated between the CCFD density masks and both the soft drusen and CaD masks. A phantom experiment was conducted to simulate the impact of light scattering that arises from CaD. RESULTS: Area measurements of CCFDs were highly correlated with those of CaD but not soft drusen, suggesting an association between CaD and underlying CCFDs. However, unlike soft drusen, the detected optical coherence tomography (OCT) signals underlying CaD did not arise from the defined CC layer but were artifacts caused by the multiple scattering property of CaD. Phantom experiments showed that the presence of highly scattering material similar to the contents of CaD caused an artifactual scattering tail that falsely generated a signal in the CC structural layer but the underlying flow could not be detected. Similarly, CaD also caused an artifactual scattering tail and prevented the penetration of light into the choroid, resulting in en face hypotransmission defects and an inability to detect blood flow within the choriocapillaris. Upon resolution of the CaD, the CC perfusion became detectable. CONCLUSIONS: The high scattering property of CaD leads to a scattering tail under these drusen that gives the illusion of a quantifiable optical coherence tomography angiography signal, but this signal does not contain the angiographic information required to assess CCFDs. For this reason, CCFDs cannot be reliably measured under CaD, and CaD must be identified and excluded from macular CCFD measurements."
2024 Jun 3,Investigative ophthalmology & visual science,Invest Ophthalmol Vis Sci. 2024 Jun 3;65(6):21. doi: 10.1167/iovs.65.6.21.,"['Gim, Nayoon', 'Wu, Yue', 'Blazes, Marian', 'Lee, Cecilia S', 'Wang, Ruikang K', 'Lee, Aaron Y']","[' ophthalmology', 'humans', ' information dissemination', ' artificial intelligence']",A Clinician's Guide to Sharing Data for AI in Ophthalmology.,"Data is the cornerstone of using AI models, because their performance directly depends on the diversity, quantity, and quality of the data used for training. Using AI presents unique potential, particularly in medical applications that involve rich data such as ophthalmology, encompassing a variety of imaging methods, medical records, and eye-tracking data. However, sharing medical data comes with challenges because of regulatory issues and privacy concerns. This review explores traditional and nontraditional data sharing methods in medicine, focusing on previous works in ophthalmology. Traditional methods involve direct data transfer, whereas newer approaches prioritize security and privacy by sharing derived datasets, creating secure research environments, or using model-to-data strategies. We examine each method's mechanisms, variations, recent applications in ophthalmology, and their respective advantages and disadvantages. By empowering medical researchers with insights into data sharing methods and considerations, this review aims to assist informed decision-making while upholding ethical standards and patient privacy in medical AI development."
2024 May 1,Biomedical optics express,Biomed Opt Express. 2024 Apr 29;15(5):3426-3440. doi: 10.1364/BOE.523835. ,"['Gong, Zhaoyu', 'Bojikian, Karine D', 'Chen, Andrew', 'Chen, Philip P', 'Rezaei, Kasra A', 'Olmos, Lisa C', 'Mudumbai, Raghu C', 'Li, Jonathan', 'Schwartz, Daniel M', 'Wang, Ruikang K']",[],In-vivo characterization of scleral rigidity in myopic eyes using fundus-pulsation optical coherence elastography.,"The sclera plays an important role in the structural integrity of the eye. However, as myopia progresses, the elongation of the eyeball exerts stretching forces on the posterior sclera, which typically happens in conjunction with scleral remodeling that causes rigidity loss. These biomechanical alterations can cause localized eyeball deformation and vision impairment. Therefore, monitoring scleral rigidity is clinically important for the management and risk assessment of myopia. In this study, we propose fundus pulsation optical coherence elastography (FP-OCE) to characterize posterior scleral rigidity in living humans. This methodology is based on a choroidal pulsation model, where the scleral rigidity is inversely associated with the choroidal max strain obtained through phase-sensitive optical coherence tomography (PhS-OCT) measurement of choroidal deformation and thickness. Using FP-OCE, we conducted a pilot clinical study to explore the relationship between choroidal strain and myopia severity. The results revealed a significant increase in choroidal max strain in pathologic myopia, indicating a critical threshold beyond which scleral rigidity decreases significantly. Our findings offer a potential new method for monitoring myopia progression and evaluating therapies that alter scleral mechanical properties."
2024 May 1,Biomedical optics express,Biomed Opt Express. 2024 Apr 24;15(5):3329-3343. doi: 10.1364/BOE.517826. ,"['Tang, Peijun', 'Wang, Ruikang K', 'Chao, Qing']",[],Digital calibration method to enable depth-resolved all-fiber polarization sensitive optical coherence tomography with an arbitrary input polarization state.,"We present a fully integrated depth-resolved all fiber-based polarization sensitive optical coherence tomography (PSOCT). In contrast to conventional fiber-based PSOCT systems, which require additional modules to generate two or more input polarization states, or a pre-adjustment procedure to generate a circularly polarized light, the proposed all-fiber PSOCT system can provide depth-resolved birefringent imaging using an arbitrary single input polarization state. Utilizing the discrete differential geometry (DDG)-based polarization state tracing (PST) method, combined with several geometric rotations and transformations in the Stokes space, two problems induced by the optical fibers can be mitigated: 1) The change in the polarization state introduced by the optical fibers can be effectively compensated using a calibration target at the distal end of the probe, and the computations of the local axis orientation and local phase retardation can be achieved with a single arbitrary input polarization state, eliminating the need for a pre-defined input polarization state, allowing a flexible system design and user-friendly experimental procedure; 2) The polarization mode dispersion (PMD) induced by the optical fibers can be compensated digitally without the requirement of additional input polarization states, providing an accurate PSOCT imaging result. To demonstrate the performance of the proposed method, the depth resolved PSOCT results of a plastic phantom and in vivo skin imaging are obtained using the proposed all-fiber PSOCT system."
2024 May 11,Journal of clinical medicine,J Clin Med. 2024 May 11;13(10):2835. doi: 10.3390/jcm13102835.,"['Díaz-Aljaro, Pablo', 'Zarranz-Ventura, Javier', 'Broc-Iturralde, Laura', 'Romanic-Bubalo, Nevena', 'Díaz-Aljaro, Ignacio', 'Chu, Zhongdi', 'Wang, Ruikang K', 'Valldeperas, Xavier']","['octa', 'macula off', 'microvascular changes', 'rhegmatogenous retinal detachment']",Quantitative Microvascular Change Analysis Using a Semi-Automated Software in Macula-off Rhegmatogenous Retinal Detachment Assessed by Swept-Source Optical Coherence Tomography Angiography.,"Objective: To analyze the performance of custom semi-automated software for quantitative analysis of retinal capillaries in eyes with macula-off rhegmatogenous retinal detachment (RRD) and the role of these microvascular measures as potential biomarkers of postoperative visual outcomes. Methods: A prospective, observational, and single-center study was conducted on consecutive patients who underwent 25G pars-plana vitrectomy for primary uncomplicated macula-off RRD. Optical coherence tomography angiography (OCTA) was performed in the fellow and RRD eyes before surgery and in months 1, 3, and 6 after surgery. The preoperative values of the fellow eyes were used as surrogates of macula-off ones. The primary endpoints were the mean vessel diameter index (VDI); vessel area density (VAD); and vessel skeleton density (VSD) at month 6. Results: Forty-four eyes (44 patients) were included in the study. Considering the fellow eyes as a surrogate of preoperative values of macula-off eyes, VDI in superficial (SCP) and deep (DCP) capillary plexuses was significantly reduced at month 6 (p = 0.0087 and p = 0.0402, respectively); whereas VSD in SCP increased significantly from preoperative values (p = 0.0278). OCTA built-in software parameters were significantly reduced from month 1 to month 6 in both SCP and DCP (p values ranged between 0.0235 and <0.0001). At month 6, 25 (56.8%) eyes achieved a best-corrected visual acuity BCVA ≥ 0.3 (LogMAR). The greater the preoperative BCVA, the greater the probability of achieving good visual outcomes (Odds ratio: 11.06; p = 0.0037). However, none of the OCTA parameters were associated with the probability of achieving a BCVA improvement ≥ 0.3. Conclusions: Quantitative evaluation of capillary density and morphology through OCTA and semi-automated software represents a valuable tool for clinical assessment and managing the disease comprehensively."
2024 Apr 18,Ophthalmology. Retina,Ophthalmol Retina. 2024 Apr 18:S2468-6530(24)00187-8. doi: ,"['Rosenfeld, Philip J', 'Shen, Mengxi', 'Trivizki, Omer', 'Liu, Jeremy', 'Herrera, Gissel', 'Hiya, Farhan E', 'Li, Jianqing', 'Berni, Alessandro', 'Wang, Liang', 'El-Mulki, Omar S', 'Cheng, Yuxuan', 'Lu, Jie', 'Zhang, Qinqin', ""O'Brien, Robert C"", 'Gregori, Giovanni', 'Wang, Ruikang K']","['age-related macular degeneration', 'spectral-domain oct', 'spectral-domain oct angiography', 'swept-source oct', 'swept-source oct angiography']","Rediscovering Age-Related Macular Degeneration with Swept-Source OCT Imaging: The 2022 Charles L. Schepens, MD, Lecture.","PURPOSE: Swept-source OCT angiography (SS-OCTA) scans of eyes with age-related macular degeneration (AMD) were used to replace color, autofluorescence, infrared reflectance, and dye-based fundus angiographic imaging for the diagnosis and staging of AMD. Through the use of different algorithms with the SS-OCTA scans, both structural and angiographic information can be viewed and assessed using both cross sectional and en face imaging strategies. DESIGN: Presented at the 2022 Charles L. Schepens, MD, Lecture at the American Academy of Ophthalmology Retina Subspecialty Day, Chicago, Illinois, on September 30, 2022. PARTI"
2024 Apr 1,"Diagnostics (Basel, Switzerland)",Diagnostics (Basel). 2024 Apr 1;14(7):750. doi: 10.3390/diagnostics14070750.,"['Díaz-Aljaro, Pablo', 'Valldeperas, Xavier', 'Broc-Iturralde, Laura', 'Romanic-Bubalo, Nevena', 'Díaz-Aljaro, Ignacio', 'Chu, Zhongdi', 'Wang, Ruikang K', 'Zarranz-Ventura, Javier']","['microvascular changes', 'optical coherence tomography angiography', 'rhegmatogenous retinal detachment']",Quantitative Microvascular Change Analysis Using a Semi-Automated Algorithm in Macula-on Rhegmatogenous Retinal Detachment Assessed by Swept-Source Optical Coherence Tomography Angiography.,"PURPOSE: The purpose of this study was to objectively evaluate the longitudinal changes observed in the retinal capillaries in eyes with macula-on rhegmatogenous retinal detachment (RRD), assessed with optical coherence tomography angiography (OCTA), and to assess the role of these microvascular measures as potential biomarkers of postoperative visual outcomes. METHODS: This was a prospective, longitudinal study conducted on consecutive patients who underwent 25 G pars plana vitrectomy for primary RRD. The vessel area density (VAD), vessel skeleton density (VSD), and vessel diameter index (VDI) were assessed in the superficial (SCP) and deep (DCP) capillary plexuses. RESULTS: Twenty-three eyes with macula-on RRD were included in the study. The mean preoperative VDI, VAD, and VSD of the RRD eye were 18.6 ± 1.1, 0.43 ± 0.02, and 0.17 ± 0.01 in the SCP; and 18.6 ± 0.6, 0.38 ± 0.03, and 0.15 ± 0.01 in the DCP, respectively. At month 6, eight (34.8%) eyes achieved a best-corrected visual acuity (BCVA) gain ≥ 0.1 LogMAR. A preoperative VDI > 17.80, VSD > 0.170, and VDI-change > -0.395 in the SCP; and VDI > 18.11 and VDI change > -0.039 in the DCP were predictors of achieving a BCVA-gain ≥ 0.1 LogMAR. CONCLUSIONS: The preoperative VDI in SCP and DCP, the preoperative VSD in SCP, and their changes from preoperative values were predictors of visual outcomes. A quantitative OCTA analysis of capillary density and morphology may represent a potential predictive tool for surgical outcomes in RRD. The results reported in this study suggest that OCTA is a useful ancillary test for clinical disease management."
2024 Jan 1,Biomedical optics express,Biomed Opt Express. 2023 Dec 22;15(1):413-427. doi: 10.1364/BOE.512359. ,"['Lu, Jie', 'Cheng, Yuxuan', 'Hiya, Farhan E', 'Shen, Mengxi', 'Herrera, Gissel', 'Zhang, Qinqin', 'Gregori, Giovanni', 'Rosenfeld, Philip J', 'Wang, Ruikang K']",[],"Deep-learning-based automated measurement of outer retinal layer thickness for use in the assessment of age-related macular degeneration, applicable to both swept-source and spectral-domain OCT imaging.","Effective biomarkers are required for assessing the progression of age-related macular degeneration (AMD), a prevalent and progressive eye disease. This paper presents a deep learning-based automated algorithm, applicable to both swept-source OCT (SS-OCT) and spectral-domain OCT (SD-OCT) scans, for measuring outer retinal layer (ORL) thickness as a surrogate biomarker for outer retinal degeneration, e.g., photoreceptor disruption, to assess AMD progression. The algorithm was developed based on a modified TransUNet model with clinically annotated retinal features manifested in the progression of AMD. The algorithm demonstrates a high accuracy with an intersection of union (IoU) of 0.9698 in the testing dataset for segmenting ORL using both SS-OCT and SD-OCT datasets. The robustness and applicability of the algorithm are indicated by strong correlation (r = 0.9551, P < 0.0001 in the central-fovea 3 mm-circle, and r = 0.9442, P < 0.0001 in the 5 mm-circle) and agreement (the mean bias = 0.5440 um in the 3-mm circle, and 1.392 um in the 5-mm circle) of the ORL thickness measurements between SS-OCT and SD-OCT scans. Comparative analysis reveals significant differences (P < 0.0001) in ORL thickness among 80 normal eyes, 30 intermediate AMD eyes with reticular pseudodrusen, 49 intermediate AMD eyes with drusen, and 40 late AMD eyes with geographic atrophy, highlighting its potential as an independent biomarker for predicting AMD progression. The findings provide valuable insights into the ORL alterations associated with different stages of AMD and emphasize the potential of ORL thickness as a sensitive indicator of AMD severity and progression."
