time,journal,doi_info,authors,key words,title,abstract
2024 Mar 1,Journal of biomechanical engineering,J Biomech Eng. 2024 Mar 1;146(5):051002. doi: 10.1115/1.4063819.,"['Mollica, Molly Y', 'Olszewski, Emily', 'Kiyohara, Casey L', 'Matusalem, Danafe D', 'Ochs, Alexander R', 'Imoukhuede, Princess I', 'Regnier, Michael', 'Yasuhara, Ken', 'Thomas, Wendy E', 'Taylor, Alyssa C']","['humans', ' diversity, equity, inclusion', ' curriculum', 'students', 'bioengineering']","Incorporating Diversity, Equity, and Inclusion Content Into Bioengineering Curricula: A Program-Level Approach.","Diversity, equity, and inclusion (DEI) are interconnected with bioengineering, yet have historically been absent from accreditation standards and curricula. Toward educating DEI-competent bioengineers and meeting evolving accreditation requirements, we took a program-level approach to incorporate, catalog, and assess DEI content through the bioengineering undergraduate program. To support instructors in adding DEI content and inclusive pedagogy, our team developed a DEI planning worksheet and surveyed instructors pre- and post-course. Over the academic year, 74% of instructors provided a pre-term and/or post-term response. Of responding instructors, 91% described at least one DEI curricular content improvement, and 88% incorporated at least one new inclusive pedagogical approach. Based on the curricular adjustments reported by instructors, we grouped the bioengineering-related DEI content into five DEI competency categories: bioethics, inclusive design, inclusive scholarship, inclusive professionalism, and systemic inequality. To assess the DEI content incorporation, we employed direct assessment via course assignments, end-of-module student surveys, end-of-term course evaluations, and an end-of-year program review. When asked how much their experience in the program helped them develop specific DEI competencies, students reported a relatively high average of 3.79 (scale of 1 = ""not at all"" to 5 = ""very much""). Additionally, based on student performance in course assignments and other student feedback, we found that instructors were able to effectively incorporate DEI content into a wide variety of courses. We offer this framework and lessons learned to be adopted by programs similarly motivated to train DEI-competent engineering professionals and provide an equitable, inclusive engineering education for all students."
2023 Jul 15,"Pathogens (Basel, Switzerland)",Pathogens. 2023 Jul 15;12(7):941. doi: 10.3390/pathogens12070941.,"['Hogan, Kayla', 'Paul, Sai', 'Lin, Guanyou', 'Fuerte-Stone, Jay', 'Sokurenko, Evgeni V', 'Thomas, Wendy E']","['escherichia coli', 'adhesion', 'bacteria', 'hydrodynamics']",Effect of Gravity on Bacterial Adhesion to Heterogeneous Surfaces.,"Bacterial adhesion is the first step in the formation of surface biofilms. The number of bacteria that bind to a surface from the solution depends on how many bacteria can reach the surface (bacterial transport) and the strength of interactions between bacterial adhesins and surface receptors (adhesivity). By using microfluidic channels and video microscopy as well as computational simulations, we investigated how the interplay between bacterial transport and adhesivity affects the number of the common human pathogen Escherichia coli that bind to heterogeneous surfaces with different receptor densities. We determined that gravitational sedimentation causes bacteria to concentrate at the lower surface over time as fluid moves over a non-adhesive region, so bacteria preferentially adhere to adhesive regions on the lower, inflow-proximal areas that are downstream of non-adhesive regions within the entered compartments. Also, initial bacterial attachment to an adhesive region of a heterogeneous lower surface may be inhibited by shear due to mass transport effects alone rather than shear forces per se, because higher shear washes out the sedimented bacteria. We also provide a conceptual framework and theory that predict the impact of sedimentation on adhesion between and within adhesive regions in flow, where bacteria would likely bind both in vitro and in vivo, and how to normalize the bacterial binding level under experimental set-ups based on the flow compartment configuration."
2023 Sep 19,Biophysical journal,Biophys J. 2023 Sep 19;122(18):3738-3748. doi: 10.1016/j.bpj.2023.07.006. Epub ,"['Mollica, Molly Y', 'Beussman, Kevin M', 'Kandasamy, Adithan', 'Rodríguez, Lesley Martínez', 'Morales, Francisco R', 'Chen, Junmei', 'Manohar, Krithika', 'Del Álamo, Juan C', 'López, José A', 'Thomas, Wendy E', 'Sniadecki, Nathan J']","[' von willebrand factor metabolism', 'fibrinogen metabolism', 'blood platelets metabolism', 'actins metabolism', 'traction', 'platelet membrane glycoproteins metabolism', ' hemostatics metabolism', 'actin cytoskeleton metabolism']",Distinct platelet F-actin patterns and traction forces on von Willebrand factor versus fibrinogen.,"Upon vascular injury, platelets form a hemostatic plug by binding to the subendothelium and to each other. Platelet-to-matrix binding is initially mediated by von Willebrand factor (VWF) and platelet-to-platelet binding is mediated mainly by fibrinogen and VWF. After binding, the actin cytoskeleton of a platelet drives its contraction, generating traction forces that are important to the cessation of bleeding. Our understanding of the relationship between adhesive environment, F-actin morphology, and traction forces is limited. Here, we examined F-actin morphology of platelets attached to surfaces coated with fibrinogen and VWF. We identified distinct F-actin patterns induced by these protein coatings and found that these patterns were identifiable into three classifications via machine learning: solid, nodular, and hollow. We observed that traction forces for platelets were significantly higher on VWF than on fibrinogen coatings and these forces varied by F-actin pattern. In addition, we analyzed the F-actin orientation in platelets and noted that their filaments were more circumferential when on fibrinogen coatings and having a hollow F-actin pattern, while they were more radial on VWF and having a solid F-actin pattern. Finally, we noted that subcellular localization of traction forces corresponded to protein coating and F-actin pattern: VWF-bound, solid platelets had higher forces at their central region while fibrinogen-bound, hollow platelets had higher forces at their periphery. These distinct F-actin patterns on fibrinogen and VWF and their differences in F-actin orientation, force magnitude, and force localization could have implications in hemostasis, thrombus architecture, and venous versus arterial thrombosis."
2021 Dec 8,Biophysical reports,Biophys Rep (N Y). 2021 Dec 8;1(2):100031. doi: 10.1016/j.bpr.2021.100031. Epub ,"['Carlucci, Laura A', 'Thomas, Wendy E']",[],Modification to axial tracking for mobile magnetic microspheres.,"Three-dimensional particle tracking is a routine experimental procedure for various biophysical applications including magnetic tweezers. A common method for tracking the axial position of particles involves the analysis of diffraction rings whose pattern depends sensitively on the axial position of the bead relative to the focal plane. To infer the axial position, the observed rings are compared with reference images of a bead at known axial positions. Often the precision or accuracy of these algorithms is measured on immobilized beads over a limited axial range, while many experiments are performed using freely mobile beads. This inconsistency raises the possibility of incorrect estimates of experimental uncertainty. By manipulating magnetic beads in a bidirectional magnetic tweezer setup, we evaluated the error associated with tracking mobile magnetic beads and found that the error of tracking a moving magnetic bead increases by almost an order of magnitude compared to the error of tracking a stationary bead. We found that this additional error can be ameliorated by excluding the center-most region of the diffraction ring pattern from tracking analysis. Evaluation of the limitations of a tracking algorithm is essential for understanding the error associated with a measurement. These findings promise to bring increased resolution to three-dimensional bead tracking of magnetic microspheres."
2022 Sep 15,Journal of molecular biology,J Mol Biol. 2022 Sep 15;434(17):167717. doi: 10.1016/j.jmb.2022.167717. Epub 2022 ,"['Sokurenko, Evgeni V', 'Tchesnokova, Veronika', 'Interlandi, Gianluca', 'Klevit, Rachel', 'Thomas, Wendy E']","[' adhesins, escherichia coli chemistry immunology', 'allosteric regulation', ' antibodies, neutralizing chemistry immunology', ' fimbriae proteins chemistry immunology', 'protein conformation', 'fimh', 'adhesin', 'attachment', 'conformation', 'inhibition']",Neutralizing Antibodies Against Allosteric Proteins: Insights From a Bacterial Adhesin.,"Allosteric proteins transition between 'inactive' and 'active' states. In general, such proteins assume distinct conformational states at the level of secondary, tertiary and/or quaternary structure. Different conformers of an allosteric protein can be antigenically dissimilar and induce antibodies with a highly distinctive specificities and neutralizing functional effects. Here we summarize studies on various functional types of monoclonal antibodies obtained against different allosteric conformers of the mannose-specific bacterial adhesin FimH - the most common cell attachment protein of Escherichia coli and other enterobacterial pathogens. Included are types of antibodies that activate the FimH function via interaction with ligand-induced binding sites or by wedging between domains as well as antibodies that inhibit FimH through orthosteric, parasteric, or novel dynasteric mechanisms. Understanding the molecular mechanism of antibody action against allosteric proteins provides insights on how to design antibodies with a desired functional effect, including those with neutralizing activity against bacterial and viral cell attachment proteins."
2022 Sep 15,Journal of molecular biology,J Mol Biol. 2022 Sep 15;434(17):167681. doi: 10.1016/j.jmb.2022.167681. Epub 2022 ,"['Thomas, Wendy E', 'Carlucci, Laura', 'Yakovenko, Olga', 'Interlandi, Gianluca', 'Le Trong, Isolde', 'Aprikian, Pavel', 'Magala, Pearl', 'Larson, Lydia', 'Sledneva, Yulia', 'Tchesnokova, Veronika', 'Stenkamp, Ronald E', 'Sokurenko, Evgeni V']","[' adhesins, escherichia coli chemistry genetics physiology', 'allosteric regulation', ' bacterial adhesion physiology', ' escherichia coli physiology', ' fimbriae proteins chemistry genetics', 'mannose metabolism', 'protein domains', 'recombinant proteins chemistry genetics metabolism', 'shear strength', 'escherichia coli', 'fimh adhesin', 'catch bond', 'molecular dynamics simulations']",Recombinant FimH Adhesin Demonstrates How the Allosteric Catch Bond Mechanism Can Support Fast and Strong Bacterial Attachment in the Absence of Shear.,"The FimH protein of Escherichia coli is a model two-domain adhesin that is able to mediate an allosteric catch bond mechanism of bacterial cell attachment, where the mannose-binding lectin domain switches from an 'inactive' conformation with fast binding to mannose to an 'active' conformation with slow detachment from mannose. Because mechanical tensile force favors separation of the domains and, thus, FimH activation, it has been thought that the catch bonds can only be manifested in a fluidic shear-dependent mode of adhesion. Here, we used recombinant FimH variants with a weakened inter-domain interaction and show that a fast and sustained allosteric activation of FimH can also occur under static, non-shear conditions. Moreover, it appears that lectin domain conformational activation happens intrinsically at a constant rate, independently from its ability to interact with the pilin domain or mannose. However, the latter two factors control the rate of FimH deactivation. Thus, the allosteric catch bond mechanism can be a much broader phenomenon involved in both fast and strong cell-pathogen attachments under a broad range of hydrodynamic conditions. This concept that allostery can enable more effective receptor-ligand interactions is fundamentally different from the conventional wisdom that allostery provides a mechanism to turn binding off under specific conditions."
2023 Jun,Acta biomaterialia,Acta Biomater. 2023 Jun;163:302-311. doi: 10.1016/j.actbio.2021.11.013. Epub 2021 ,"['Beussman, Kevin M', 'Mollica, Molly Y', 'Leonard, Andrea', 'Miles, Jeffrey', 'Hocter, John', 'Song, Zizhen', 'Stolla, Moritz', 'Han, Sangyoon J', 'Emery, Ashley', 'Thomas, Wendy E', 'Sniadecki, Nathan J']","['humans', ' blood platelets', 'microscopy, atomic force', ' traction', 'mechanical phenomena', 'actins', 'cell adhesion physiology', 'cell mechanics', 'microcontact printing', 'platelets', 'polydimethylsiloxane (pdms)', 'traction force microscopy']",Black dots: High-yield traction force microscopy reveals structural factors contributing to platelet forces.,"Measuring the traction forces produced by cells provides insight into their behavior and physiological function. Here, we developed a technique (dubbed 'black dots') that microcontact prints a fluorescent micropattern onto a flexible substrate to measure cellular traction forces without constraining cell shape or needing to detach the cells. To demonstrate our technique, we assessed human platelets, which can generate a large range of forces within a population. We find platelets that exert more force have more spread area, are more circular, and have more uniformly distributed F-actin filaments. As a result of the high yield of data obtainable by this technique, we were able to evaluate multivariate mixed effects models with interaction terms and conduct a clustering analysis to identify clusters within our data. These statistical techniques demonstrated a complex relationship between spread area, circularity, F-actin dispersion, and platelet force, including cooperative effects that significantly associate with platelet traction forces. STATEMENT OF SIGNIFICANCE: Cells produce contractile forces during division, migration, or wound healing. Measuring cellular forces provides insight into their health, behavior, and function. We developed a technique that calculates cellular forces by seeding cells onto a pattern and quantifying how much each cell displaces the pattern. This technique is capable of measuring hundreds of cells without needing to detach them. Using this technique to evaluate human platelets, we find that platelets exerting more force tend to have more spread area, are more circular in shape, and have more uniformly distributed cytoskeletal filaments. Due to our high yield of data, we were able to apply statistical techniques that revealed combinatorial effects between these factors."
2021 Apr,PLoS pathogens,PLoS Pathog. 2021 Apr 7;17(4):e1009440. doi: 10.1371/journal.ppat.1009440. ,"['Kisiela, Dagmara I', 'Magala, Pearl', 'Interlandi, Gianluca', 'Carlucci, Laura A', 'Ramos, Angelo', 'Tchesnokova, Veronika', 'Basanta, Benjamin', 'Yarov-Yarovoy, Vladimir', 'Avagyan, Hovhannes', 'Hovhannisyan, Anahit', 'Thomas, Wendy E', 'Stenkamp, Ronald E', 'Klevit, Rachel E', 'Sokurenko, Evgeni V']","['adhesins, bacterial  metabolism', 'adhesins, escherichia coli metabolism', 'bacterial adhesion  physiology', 'escherichia coli metabolism', 'fimbriae proteins  metabolism', 'fimbriae, bacterial  metabolism', 'models, molecular', 'protein binding']",Toggle switch residues control allosteric transitions in bacterial adhesins by participating in a concerted repacking of the protein core.,"Critical molecular events that control conformational transitions in most allosteric proteins are ill-defined. The mannose-specific FimH protein of Escherichia coli is a prototypic bacterial adhesin that switches from an 'inactive' low-affinity state (LAS) to an 'active' high-affinity state (HAS) conformation allosterically upon mannose binding and mediates shear-dependent catch bond adhesion. Here we identify a novel type of antibody that acts as a kinetic trap and prevents the transition between conformations in both directions. Disruption of the allosteric transitions significantly slows FimH's ability to associate with mannose and blocks bacterial adhesion under dynamic conditions. FimH residues critical for antibody binding form a compact epitope that is located away from the mannose-binding pocket and is structurally conserved in both states. A larger antibody-FimH contact area is identified by NMR and contains residues Leu-34 and Val-35 that move between core-buried and surface-exposed orientations in opposing directions during the transition. Replacement of Leu-34 with a charged glutamic acid stabilizes FimH in the LAS conformation and replacement of Val-35 with glutamic acid traps FimH in the HAS conformation. The antibody is unable to trap the conformations if Leu-34 and Val-35 are replaced with a less bulky alanine. We propose that these residues act as molecular toggle switches and that the bound antibody imposes a steric block to their reorientation in either direction, thereby restricting concerted repacking of side chains that must occur to enable the conformational transition. Residues homologous to the FimH toggle switches are highly conserved across a diverse family of fimbrial adhesins. Replacement of predicted switch residues reveals that another E. coli adhesin, galactose-specific FmlH, is allosteric and can shift from an inactive to an active state. Our study shows that allosteric transitions in bacterial adhesins depend on toggle switch residues and that an antibody that blocks the switch effectively disables adhesive protein function."
2021 Jan 12,Journal of biological engineering,J Biol Eng. 2021 Jan 12;15(1):3. doi: 10.1186/s13036-020-00253-2.,"['Ludwig, Shivani Gupta', 'Kiyohara, Casey L', 'Carlucci, Laura A', 'Kisiela, Dagmara', 'Sokurenko, Evgeni V', 'Thomas, Wendy Evelyn']","['allostery', 'conformational change', 'fimh', 'parasteric', 'recognition molecules', 'regulation']",FimH as a scaffold for regulated molecular recognition.,"BACKGROUND: Recognition proteins are critical in many biotechnology applications and would be even more useful if their binding could be regulated. The current gold standard for recognition molecules, antibodies, lacks convenient regulation. Alternative scaffolds can be used to build recognition proteins with new functionalities, including regulated recognition molecules. Here we test the use of the bacterial adhesin FimH as a scaffold for regulated molecular recognition. FimH binds to its native small molecule target mannose in a conformation-dependent manner that can be regulated by two types of noncompetitive regulation: allosteric and parasteric. RESULTS: We demonstrate that conformational regulation of FimH can be maintained even after reengineering the binding site to recognize the non-mannosylated targets nickel or Penta-His antibody, resulting in an up to 7-fold difference in K(D) between the two conformations. Moreover, both the allosteric and parasteric regulatory mechanisms native to FimH can be used to regulate binding to its new target. In one mutant, addition of the native ligand mannose parasterically improves the mutant's affinity for Penta-His 4-fold, even as their epitopes overlap. In another mutant, the allosteric antibody mab21 reduces the mutant's affinity for Penta-His 7-fold. The advantage of noncompetitive regulation is further illustrated by the ability of this allosteric regulator to induce 98% detachment of Penta-His, even with modest differences in affinity. CONCLUSIONS: This illustrates the potential of FimH, with its deeply studied conformation-dependent binding, as a scaffold for conformationally regulated binding via multiple mechanisms."
2020,"Temperature (Austin, Tex.)",Temperature (Austin). 2020 Mar 19;7(2):191-214. doi: ,"['Vanos, Jennifer K', 'Thomas, Wendy Marie', 'Grundstein, Andrew J', 'Hosokawa, Yuri', 'Liu, Ying', 'Casa, Douglas J']","['enso', 'tokyo', 'athletes', 'extreme heat', 'wet bulb globe temperature']",A multi-scalar climatological analysis in preparation for extreme heat at the Tokyo 2020 Olympic and Paralympic Games.,"Extreme heat can be harmful to human health and negatively affect athletic performance. The Tokyo Olympic and Paralympic Games are predicted to be the most oppressively hot Olympics on record. An interdisciplinary multi-scale perspective is provided concerning extreme heat in Tokyo-from planetary atmospheric dynamics, including El Niño Southern Oscillation (ENSO), to fine-scale urban temperatures-as relevant for heat preparedness efforts by sport, time of day, and venue. We utilize stochastic methods to link daytime average wet bulb globe temperature (WBGT) levels in Tokyo in August (from meteorological reanalysis data) with large-scale atmospheric dynamics and regional flows from 1981 to 2016. Further, we employ a mesonet of Tokyo weather stations (2009-2018) to interpolate the spatiotemporal variability in near-surface air temperatures at outdoor venues. Using principal component analysis, two planetary (ENSO) regions in the Pacific Ocean explain 70% of the variance in Tokyo's August daytime WBGT across 35 years, varying by 3.95°C WGBT from the coolest to warmest quartile. The 10-year average daytime and maximum intra-urban air temperatures vary minimally across Tokyo (<1.2°C and 1.7°C, respectively), and less between venues (0.6-0.7°C), with numerous events planned for the hottest daytime period (1200-1500 hr). For instance, 45% and 38% of the Olympic and Paralympic road cycling events (long duration and intense) occur midday. Climatologically, Tokyo will present oppressive weather conditions, and March-May 2020 is the critical observation period to predict potential anomalous late-summer WBGT in Tokyo. Proactive climate assessment of expected conditions can be leveraged for heat preparedness across the Game's period."
