time,journal,doi_info,authors,key words,title,abstract
2022 Feb 16,Bioconjugate chemistry,Bioconjug Chem. 2022 Feb 16;33(2):363-368. doi: 10.1021/acs.bioconjchem.1c00598. ,"['Zhao, Pengfei', 'Liu, Sangmo', 'Koriath, Alexandra True', 'Gao, Xiaohu']","['antibodies metabolism', 'cytosol metabolism', ' endocytosis', ' endosomes metabolism', 'proteins metabolism']",Partial Magneto-Endosomalysis for Cytosolic Delivery of Antibodies.,"Modulation of protein functions and interactions is the most direct and effective means to intervene in cellular processes and pathogenesis. The majority of the critical intracellular signaling pathways, however, are considered undruggable using small molecules. In this regard, antibodies are superior in structural and functional diversity and are significantly easier to raise compared to the screening of small molecules. Despite these advantages, the uses of antibodies in live cells (either as an imaging agent or as a therapeutic compound) are substantially undermined, only acting on extracellular targets. The inability of targeting intracellular proteins is because of a fundamental issue: antibodies enter cells through endocytosis where the vast majority are trapped in endosomes for degradation. Here, we report a nanoparticle self-assembly strategy enabling antibody endosomal escape. We demonstrate the intracellular bioavailability of antibodies and the preserved binding specificity to their cytosolic targets. This technology is simple and opens exciting opportunities for live-cell imaging, therapeutics development, and cell engineering."
2022 May,Advanced healthcare materials,Adv Healthc Mater. 2022 May;11(9):e2101010. doi: 10.1002/adhm.202101010. Epub ,"['Zhao, Pengfei', 'Han, Yan', 'Nguyen, Holly', 'Corey, Eva', 'Gao, Xiaohu']","['humans', 'magnetic fields', 'magnetics', ' nanoparticles therapeutic use', ' neoplasms therapy', 'feraheme', 'cancer', 'endosomalytic', 'magnetic nanoparticles', 'therapy', 'translation']",Magneto-Endosomalytic Therapy for Cancer.,"A remarkably simple yet effective mode of cancer treatment is reported by repurposing clinically approved magnetic nanoparticles (MNPs). Intracellular nanoparticle self-assembly directed by static parallel magnetic fields leads to cell death in targeted tissues while leaving other cells and organs intact. This simple concept opens a new avenue to treat cancer, capitalizing on nanosciences and the nanoparticle (NP) design principles accumulated in the past decades."
2020 Jun,Science advances,Sci Adv. 2020 Jun 19;6(25):eabb0310. doi: 10.1126/sciadv.abb0310. eCollection ,"['Tai, Wanyi', 'Zhao, Pengfei', 'Gao, Xiaohu']","['cholesterol metabolism', 'cytoplasm metabolism', 'cytosol metabolism', ' endocytosis', ' proteins metabolism']",Cytosolic delivery of proteins by cholesterol tagging.,"Protein-based imaging agents and therapeutics are superior in structural and functional diversity compared to small molecules and are much easier to design or screen. Antibodies or antibody fragments can be easily raised against virtually any target. Despite these fundamental advantages, the power and impact of protein-based agents are substantially undermined, only acting on a limited number of extracellular targets because macrobiomolecules cannot spontaneously cross the cell membrane. Conventional protein delivery techniques fail to address this fundamental problem in that protein cargos are predominantly delivered inside cells via endocytosis, a remarkably effective cell defense mechanism developed by Mother Nature to prevent intact biomolecules from entering the cytoplasm. Here, we report a unique concept, noncovalent cholesterol tagging, enabling virtually any compact proteins to permeate through the cell membrane, completely bypassing endocytosis. This simple plug-and-play platform greatly expands the biological target space and has the potential to transform basic biology studies and drug discovery."
2020 Jul,"Advanced materials (Deerfield Beach, Fla.)",Adv Mater. 2020 Jul;32(30):e1908410. doi: 10.1002/adma.201908410. Epub 2020 Jun ,"['Zhou, Wen', 'Han, Yan', 'Beliveau, Brian J', 'Gao, Xiaohu']","['dna  chemistry', 'hela cells', 'humans', 'molecular imaging  methods', 'nanotechnology  methods', 'nucleic acid hybridization', 'quantum dots  chemistry', 'single-cell analysis  methods', 'dna nanotechnology', 'imaging', 'multiplexing', 'quantum dots', 'single cells']",Combining Qdot Nanotechnology and DNA Nanotechnology for Sensitive Single-Cell Imaging.,"Immunohistochemistry (IHC) can provide detailed information about protein expression within the cell microenvironment and is one of the most common techniques in biology and medicine due to the broad availability of highly specific antibodies and well-established bioconjugation methods for modification of these antibodies with chromogens and fluorophores. Despite recent advances in this field, it remains challenging to simultaneously achieve high multiplexing, sensitivity, and throughput in single-cell profiling experiments. Here, the combination of two powerful technologies is reported, quantum dot and signal amplification by exchange reaction (QD-SABER), for sensitive and multiplexed imaging of endogenous proteins. Compared to the conventional IHC process using dye-labeled secondary antibodies (which already has a built-in signal amplification mechanism), QD-SABER provides an additional 7.6-fold signal amplification. In addition, the DNA hybridization-based IHC can be rapidly removed to regenerate the sample for subsequent cycles of immunostaining (>10 cycles), greatly expanding the multiplexing capability."
2019 Jun 25,ACS nano,ACS Nano. 2019 Jun 25;13(6):7333-7344. doi: 10.1021/acsnano.9b03846. Epub 2019 ,"['Chen, Xiaoxia', 'Chen, Tianshu', 'Ren, Lingjie', 'Chen, Guifang', 'Gao, Xiaohu', 'Li, Genxi', 'Zhu, Xiaoli']","['animals', 'antineoplastic agents  administration & dosage therapeutic use', 'aptamers, nucleotide chemistry', 'dna  chemistry', ' drug liberation', 'hela cells', 'humans', 'hydrogen-ion concentration', 'mcf-7 cells', 'mice', 'nanoparticles  chemistry', 'neoplasms, experimental drug therapy', 'stimuli responsive polymers  chemistry', 'dna', 'cancer therapy', 'drug delivery', 'nanomaterials', 'stimuli-response']",Triplex DNA Nanoswitch for pH-Sensitive Release of Multiple Cancer Drugs.,"A DNA-based stimulus-responsive drug delivery system for synergetic cancer therapy has been developed. The system is built on a triplex-DNA nanoswitch capable of precisely responding to pH variations in the range of ∼5.0-7.0. In extracellular neutral pH space, the DNA nanoswitch keeps a linear conformation, immobilizing multiple therapeutics such as small molecules and antisense compounds simultaneously. Following targeted cancer cell uptake via endocytosis, the nanoswitch inside acidic intracellular compartments goes through a conformational change from linear to triplex, leading to smart release of the therapeutic combination. This stimuli-responsive drug delivery system does not rely on artificial responsive materials, making it biocompatible. Furthermore, it enables simultaneous delivery of multiple therapeutics for enhanced efficacy. Using tumor-bearing mouse models, we show efficient gene silencing and significant inhibition of tumor growth upon intravenous administration of the smart nanoswitch, providing opportunities for combinatorial cancer therapy."
2018 Aug,Nature biomedical engineering,Nat Biomed Eng. 2018 Aug;2(8):622. doi: 10.1038/s41551-018-0272-4.,"['Tai, Wanyi', 'Li, Junwei', 'Corey, Eva', 'Gao, Xiaohu']",[],Publisher Correction: A ribonucleoprotein octamer for targeted siRNA delivery.,"In the version of this Article originally published, in Fig. 3b, middle row, the units 'nM' were incorrect and should have been 'min'. And, in Fig. 4f, in the bottom row, the data in the middle and right panels were mistakenly duplicated from the panels above. These errors have now been corrected."
2018 May,Nature biomedical engineering,Nat Biomed Eng. 2018 May;2(5):326-337. doi: 10.1038/s41551-018-0214-1. Epub 2018 ,"['Tai, Wanyi', 'Li, Junwei', 'Corey, Eva', 'Gao, Xiaohu']","['antineoplastic agents chemistry pharmacokinetics', 'cell line, tumor', 'drug delivery systems  methods', 'gene silencing', 'humans', 'polyethylene glycols chemistry', ' rna, small interfering chemistry genetics pharmacokinetics', ' ribonucleoproteins chemistry pharmacokinetics']",A ribonucleoprotein octamer for targeted siRNA delivery.,"Hurdles in cell-specific delivery of small interfering RNA (siRNA) in vivo hinder the clinical translation of RNA interference (RNAi). A fundamental problem concerns conflicting requirements for the design of the delivery vehicles: cationic materials facilitate cargo condensation and endosomolysis, yet hinder in vivo targeting and colloidal stability. Here, we describe a self-assembled, compact (~30 nm) and biocompatible ribonucleoprotein-octamer nanoparticle that achieves endosomal destabilization and targeted delivery. The protein octamer consists of a poly(ethylene glycol) scaffold, a sterically masked endosomolytic peptide and a double-stranded RNA-binding domain, providing a discrete number of siRNA loading sites and a high siRNA payload (>30 wt%), and offering flexibility in both siRNA and targeting-ligand selection. We show that a ribonucleoprotein octamer against the polo-like kinase 1 gene and bearing a ligand that binds to prostate-specific membrane antigen leads to efficient gene silencing in prostate tumour cells in vitro and when intravenously injected in mouse models of prostate cancer. The octamer's versatile nanocarrier design should offer opportunities for the clinical translation of therapies based on intracellularly acting biologics."
2019 May 20,Angewandte Chemie (International ed. in English),Angew Chem Int Ed Engl. 2019 May 20;58(21):7087-7091. doi: ,"['Han, Guangmei', 'Zhao, Jun', 'Zhang, Ruilong', 'Tian, Xiaohe', 'Liu, Zhengjie', 'Wang, Aidong', 'Liu, Renyong', 'Liu, Bianhua', 'Han, Ming-Yong', 'Gao, Xiaohu', 'Zhang, Zhongping']","['animals', 'caenorhabditis elegans genetics  metabolism', 'carbon  chemistry', ' cell membrane permeability', 'chromatin chemistry genetics metabolism', 'dna analysis  chemistry', 'fluorescence', 'hela cells', 'humans', 'nucleic acid conformation', 'optical imaging  methods', 'quantum dots  chemistry', 'rna analysis  chemistry', 'carbon quantum dots', 'imaging', 'in\u2005vivo imaging', 'membrane-penetrating probes', 'nucleic acids']",Membrane-Penetrating Carbon Quantum Dots for Imaging Nucleic Acid Structures in Live Organisms.,"The dynamics of DNA and RNA structures in live cells are important for understanding cell behaviors, such as transcription activity, protein expression, cell apoptosis, and hereditary disease, but are challenging to monitor in live organisms in real time. The difficulty is largely due to the lack of photostable imaging probes that can distinguish between DNA and RNA, and more importantly, are capable of crossing multiple membrane barriers ranging from the cell/organelle to the tissue/organ level. We report the discovery of a cationic carbon quantum dot (cQD) probe that emits spectrally distinguishable fluorescence upon binding with double-stranded DNA and single-stranded RNA in live cells, thereby enabling real-time monitoring of DNA and RNA localization and motion. A surprising finding is that the probe can penetrate through various types of biological barriers in vitro and in vivo. Combined with standard and super-resolution microscopy, photostable cQDs allow time-lapse imaging of chromatin and nucleoli during cell division and Caenorhabditis elegans (C. elegans) growth."
2019 Mar,Advanced healthcare materials,Adv Healthc Mater. 2019 Mar;8(6):e1900225. doi: 10.1002/adhm.201900225.,"['Zhang, Can', 'Gao, Xiaohu']","['artificial intelligence', ' biomedical engineering', ' nanomedicine', 'nanotechnology']",Molecular Engineering: From Molecules to Medicine.,
2019 Apr 1,Toxicology and applied pharmacology,Toxicol Appl Pharmacol. 2019 Apr 1;368:55-62. doi: 10.1016/j.taap.2019.01.018. ,"['Scoville, David K', 'Nolin, James D', 'Ogden, H Luke', 'An, Dowon', 'Afsharinejad, Zahra', 'Johnson, Brian W', 'Bammler, Theo K', 'Gao, Xiaohu', 'Frevert, Charles W', 'Altemeier, William A', 'Hallstrand, Teal S', 'Kavanagh, Terrance J']","['animals', 'antigens, dermatophagoides  immunology', 'cytokines immunology metabolism', 'disease models, animal', 'genotype', 'inflammation mediators immunology metabolism', 'insect proteins  immunology', 'lung  drug effects immunology metabolism physiopathology', 'male', 'mice, inbred c57bl', 'phenotype', 'pyroglyphidae  immunology', 'quantum dots  toxicity', 'respiratory hypersensitivity  chemically', 'risk factors', 'species specificity']",Quantum dots and mouse strain influence house dust mite-induced allergic airway disease.,"Quantum dot nanoparticles (QDs) are engineered nanomaterials (ENMs) that have utility in many industries due to unique optical properties not available in small molecules or bulk materials. QD-induced acute lung inflammation and toxicity in rodent models raise concerns about potential human health risks. Recent studies have also shown that some ENMs can exacerbate allergic airway disease (AAD). In this study, C57BL/6J and A/J mice were exposed to saline, house dust mite (HDM), or a combination of HDM and QDs on day 1 of the sensitization protocol. Mice were then challenged on days 8, 9 and 10 with HDM or saline only. Significant differences in cellular and molecular markers of AAD induced by both HDM and HDM + QD were observed between C57BL/6J and A/J mice. Among A/J mice, HDM + QD co-exposure, but not HDM exposure alone, significantly increased levels of bronchoalveolar lavage fluid (BALF). IL-33 compared to saline controls. BALF total protein levels in both mouse strains were also only significantly increased by HDM + QD co-exposure. In addition, A/J mice had significantly more lung type 2 innate lymphoid cells (ILC2s) cells than C57BL/6J mice. A/J lung ILC2s were inversely correlated with lung glutathione and MHC-II(high) resident macrophages, and positively correlated with MHC-II(low) resident macrophages. The results from this study suggest that 1) QDs influence HDM-induced AAD by potentiating and/or enhancing select cytokine production; 2) that genetic background modulates the impact of QDs on HDM sensitization; and 3) that potential ILC2 contributions to HDM induced AAD are also likely to be modulated by genetic background."
