time,journal,doi_info,authors,key words,title,abstract
2024 Mar 20,Physical chemistry chemical physics : PCCP,Phys Chem Chem Phys. 2024 Mar 20;26(12):9578-9585. doi: 10.1039/d3cp06025j.,"['von Witte, Gevin', 'Himmler, Aaron', 'Kozerke, Sebastian', 'Ernst, Matthias']",[],Relaxation enhancement by microwave irradiation may limit dynamic nuclear polarization.,"Dynamic nuclear polarization enables the hyperpolarization of nuclear spins beyond the thermal-equilibrium Boltzmann distribution. However, it is often unclear why the experimentally measured hyperpolarization is below the theoretically achievable maximum polarization. We report a (near-) resonant relaxation enhancement by microwave (MW) irradiation, leading to a significant increase in the nuclear polarization decay compared to measurements without MW irradiation. For example, the increased nuclear relaxation limits the achievable polarization levels to around 35% instead of hypothetical 60%, measured in the DNP material TEMPO in (1)H glassy matrices at 3.3 K and 7 T. Applying rate-equation models to published build-up and decay data indicates that such relaxation enhancement is a common issue in many samples when using different radicals at low sample temperatures and high Boltzmann polarizations of the electrons. Accordingly, quantification and a better understanding of the relaxation processes under MW irradiation might help to design samples and processes towards achieving higher nuclear hyperpolarization levels."
2024 Summer,Journal of cardiovascular magnetic resonance : official journal of the Society ,J Cardiovasc Magn Reson. 2024 Summer;26(1):101031. doi: ,"['Hoh, Tobias', 'Margolis, Isabel', 'Weine, Jonathan', 'Joyce, Thomas', 'Manka, Robert', 'Weisskopf, Miriam', 'Cesarovic, Nikola', 'Fuetterer, Maximilian', 'Kozerke, Sebastian']","['animals', ' contrast media administration & dosage', ' myocardial infarction diagnostic imaging physiopathology pathology', ' predictive value of tests', ' cicatrix diagnostic imaging pathology physiopathology', ' myocardium pathology', ' image interpretation, computer-assisted', ' disease models, animal', ' sus scrofa', 'reproducibility of results', 'neural networks, computer', 'automation', 'organometallic compounds administration & dosage', 'magnetic resonance imaging, cine', 'deep learning', 'magnetic resonance imaging', 'datasets as topic', 'automatic segmentation', 'cardiovascular magnetic resonance', 'deep learning', 'lge imaging', 'neural networks', 'scar quantification']",Impact of late gadolinium enhancement image acquisition resolution on neural network based automatic scar segmentation.,"BACKGROUND: Automatic myocardial scar segmentation from late gadolinium enhancement (LGE) images using neural networks promises an alternative to time-consuming and observer-dependent semi-automatic approaches. However, alterations in data acquisition, reconstruction as well as post-processing may compromise network performance. The objective of the present work was to systematically assess network performance degradation due to a mismatch of point-spread function between training and testing data. METHODS: Thirty-six high-resolution (0.7×0.7×2.0 mm(3)) LGE k-space datasets were acquired post-mortem in porcine models of myocardial infarction. The in-plane point-spread function and hence in-plane resolution Δx was retrospectively degraded using k-space lowpass filtering, while field-of-view and matrix size were kept constant. Manual segmentation of the left ventricle (LV) and healthy remote myocardium was performed to quantify location and area (% of myocardium) of scar by thresholding (≥ SD5 above remote). Three standard U-Nets were trained on training resolutions Δx(train) = 0.7, 1.2 and 1.7 mm to predict endo- and epicardial borders of LV myocardium and scar. The scar prediction of the three networks for varying test resolutions (Δx(test) = 0.7 to 1.7 mm) was compared against the reference SD5 thresholding at 0.7 mm. Finally, a fourth network trained on a combination of resolutions (Δx(train) = 0.7 to 1.7 mm) was tested. RESULTS: The prediction of relative scar areas showed the highest precision when the resolution of the test data was identical to or close to the resolution used during training. The median fractional scar errors and precisions (IQR) from networks trained and tested on the same resolution were 0.0 percentage points (p.p.) (1.24 - 1.45), and - 0.5 - 0.0 p.p. (2.00 - 3.25) for networks trained and tested on the most differing resolutions, respectively. Deploying the network trained on multiple resolutions resulted in reduced resolution dependency with median scar errors and IQRs of 0.0 p.p. (1.24 - 1.69) for all investigated test resolutions. CONCLUSION: A mismatch of the imaging point-spread function between training and test data can lead to degradation of scar segmentation when using current U-Net architectures as demonstrated on LGE porcine myocardial infarction data. Training networks on multi-resolution data can alleviate the resolution dependency."
2024 Jun,Magnetic resonance in medicine,Magn Reson Med. 2024 Jun;91(6):2621-2637. doi: 10.1002/mrm.30010. Epub 2024 Jan ,"['Weine, Jonathan', 'McGrath, Charles', 'Dirix, Pietro', 'Buoso, Stefano', 'Kozerke, Sebastian']","[' diffusion tensor imaging', ' heart diagnostic imaging', 'computer simulation', 'motion', 'phantoms, imaging', 'gpu', 'mri simulation', 'python', 'cardiovascular', 'motion', 'open source']",CMRsim-A python package for cardiovascular MR simulations incorporating complex motion and flow.,"PURPOSE: To present an open-source MR simulation framework that facilitates the incorporation of complex motion and flow for studying cardiovascular MR (CMR) acquisition and reconstruction. METHODS: CMRsim is a Python package that allows simulation of CMR images using dynamic digital phantoms with complex motion as input. Two simulation paradigms are available, namely, numerical and analytical solutions to the Bloch equations, using a common motion representation. Competitive simulation speeds are achieved using TensorFlow for GPU acceleration. To demonstrate the capability of the package, one introductory and two advanced CMR simulation experiments are presented. The latter showcase phase-contrast imaging of turbulent flow downstream of a stenotic section and cardiac diffusion tensor imaging on a contracting left ventricle. Additionally, extensive documentation and example resources are provided. RESULTS: The Bloch simulation with turbulent flow using approximately 1.5 million particles and a sequence duration of 710 ms for each of the seven different velocity encodings took a total of 29 min on a NVIDIA Titan RTX GPU. The results show characteristic phase contrast and magnitude modulation present in real data. The analytical simulation of cardiac diffusion tensor imaging with bulk-motion phase sensitivity took approximately 10 s per diffusion-weighted image, including preparation and loading steps. The results exhibit the expected alteration of diffusion metrics due to strain. CONCLUSION: CMRsim is the first simulation framework that allows one to feasibly incorporate complex motion, including turbulent flow, to systematically study advanced CMR acquisition and reconstruction approaches. The open-source package features modularity and transparency, facilitating maintainability and extensibility in support of reproducible research."
2024 Apr,Magnetic resonance in medicine,Magn Reson Med. 2024 Apr;91(4):1498-1511. doi: 10.1002/mrm.29957. Epub 2024 Jan ,"['Dillinger, Hannes', 'Peereboom, Sophie M', 'Kozerke, Sebastian']","[' echo-planar imaging methods', 'image processing, computer-assisted methods', ' data compression', 'phantoms, imaging', 'magnetic fields', 'brain', 'epi', 'girf', 'gmtf', 'gradient fidelity', 'gradient transfer function', 'mechanical resonances']",Beat phenomena of oscillating readouts.,"PURPOSE: To demonstrate slowly varying, erroneous magnetic field gradients for oscillating readouts due to the mechanically resonant behavior of gradient systems. METHODS: Projections of a static phantom were acquired using a one-dimensional (1D) EPI sequence with varying EPI frequencies ranging from 1121 to 1580 Hz on clinical 3T systems (30 mT/m, 200 T/m/s). Phase due to static B(0) inhomogeneities was eliminated by a complex division of two separate scans with different polarities of the EPI readout. The temporal evolution of phase was evaluated and related to the mechanical resonances of the gradient systems derived from the gradient modulation transfer function. Additionally, the impact of temporally varying mechanical resonance effects on EPI was evaluated using an echo-planar spectroscopic imaging sequence. RESULTS: A beat phenomenon resulting in a slowly varying phase was observed. Its temporal frequency was given by the difference between the EPI frequency and the mechanical resonance frequency of the activated gradient axis. The maximum erroneous, oscillating phase during phase encoding was ±0.5 rad for an EPI frequency of 1281 Hz. Echo-planar spectroscopic imaging images showed the resulting time-dependent stretching/compression of the FOV. CONCLUSION: Oscillating readouts such as those used in EPI can result in low-frequency, erroneous phase contributions, which are explained by the beat phenomenon. Therefore, EPI phase-correction approaches may need to include beat effects for accurate image reconstruction."
2022,"Magnetic resonance (Gottingen, Germany)",Magn Reson (Gott). 2022 Oct 6;3(2):203-209. doi: 10.5194/mr-3-203-2022. ,"['Himmler, Aaron', 'Albannay, Mohammed M', 'von Witte, Gevin', 'Kozerke, Sebastian', 'Ernst, Matthias']",[],Electroplated waveguides to enhance DNP and EPR spectra of silicon and diamond particles.,"Electroplating the waveguide of a 7 T polarizer in a simple innovative way increased microwave power delivered to the sample by 3.1 dB. Silicon particles, while interesting for hyperpolarized MRI applications, are challenging to polarize due to inefficient microwave multipliers at the electron Larmor frequency at high magnetic fields and fast electronic relaxation times. Improving microwave transmission directly translates to more efficient EPR excitation at high-field, low-temperature conditions and promises faster and higher 29Si polarization buildup through dynamic nuclear polarization (DNP)."
2023,"Magnetic resonance (Gottingen, Germany)",Magn Reson (Gott). 2023 Jul 13;4(2):175-186. doi: 10.5194/mr-4-175-2023. ,"['von Witte, Gevin', 'Ernst, Matthias', 'Kozerke, Sebastian']",[],Modelling and correcting the impact of RF pulses for continuous monitoring of hyperpolarized NMR.,"Monitoring the build-up or decay of hyperpolarization in nuclear magnetic resonance requires radio-frequency (RF) pulses to generate observable nuclear magnetization. However, the pulses also lead to a depletion of the polarization and, thus, alter the spin dynamics. To simulate the effects of RF pulses on the polarization build-up and decay, we propose a first-order rate-equation model describing the dynamics of the hyperpolarization process through a single source and a relaxation term. The model offers a direct interpretation of the measured steady-state polarization and build-up time constant. Furthermore, the rate-equation model is used to study three different methods to correct the errors introduced by RF pulses: (i) a 1/cos⁡n-1θ correction (θ denoting the RF pulse flip angle), which is only applicable to decays; (ii) an analytical model introduced previously in the literature; and (iii) an iterative correction approach proposed here. The three correction methods are compared using simulated data for a range of RF flip angles and RF repetition times. The correction methods are also tested on experimental data obtained with dynamic nuclear polarization (DNP) using 4-oxo-TEMPO in 1H glassy matrices. It is demonstrated that the analytical and iterative corrections allow us to obtain accurate build-up times and steady-state polarizations (enhancements) for RF flip angles of up to 25∘ during the polarization build-up process within ±10 % error when compared to data acquired with small RF flip angles ( < 3 ∘). For polarization decay experiments, corrections are shown to be accurate for RF flip angles of up to 12∘. In conclusion, the proposed iterative correction allows us to compensate for the impact of RF pulses offering an accurate estimation of polarization levels, build-up and decay time constants in hyperpolarization experiments."
2024 Jan,Magnetic resonance in medicine,Magn Reson Med. 2024 Jan;91(1):174-189. doi: 10.1002/mrm.29837. Epub 2023 Sep 5.,"['McGrath, Charles', 'Bieri, Oliver', 'Kozerke, Sebastian', 'Bauman, Grzegorz']","['humans', ' magnetic resonance imaging, cine methods', ' heart', 'magnetic resonance imaging methods', 'electrocardiography', 'respiration', '0.55\u2009t', 'balanced steady-state free precession (bssfp)', 'cardiac phase contrast mri', 'flow quantification', 'low field', 'self-gating']",Self-gated cine phase-contrast balanced SSFP flow quantification at 0.55 T.,"PURPOSE: To implement cine phase-contrast balanced SSFP (PC-bSSFP) for low-field 0.55T cardiac MRI by exploiting the intrinsic flow sensitivity of the bSSFP slice-select gradient and the in-plane phase-cancelation properties of radial trajectories, enabling self-gated and referenceless PC-bSSFP flow quantification at 0.55 T. METHODS: A free-running, tiny golden-angle radial PC-bSSFP approach was implemented on 0.55T and 1.5T systems. Cardiac and respiratory self-gating was incorporated to enable electrocardiogram-free scanning during breath-hold and free-breathing. By exploiting the intrinsic in-plane phase-cancelation properties of radial acquisitions and background phase fitting, referenceless single-point PC-bSSFP was realized. In vivo data were acquired in the ascending aorta of healthy subjects at 0.55 T and 1.5 T during breath-hold and free-breathing. Flow data, SNR, and velocity-to-noise ratio were compared relative to data obtained with phase-contrast spoiled gradient-echo variants. RESULTS: Velocities acquired with PC-bSSFP compared well with data from phase-contrast spoiled gradient-echo (RMSE(v) = 5.8 cm/s). PC-bSSFP at 0.55 T resulted in high-quality cine magnitude images and phase maps with sufficient SNR and velocity-to-noise ratio. Breath-hold and free-breathing PC-bSSFP performed very similarly, with comparable flow quantification (RMSE(v) = 5.7 cm/s). Referenceless single-point PC-bSSFP results agreed well with two-point PC-bSSFP (-1.8 ± 5.2 cm/s) while reducing scan times 2-fold. CONCLUSION: PC-bSSFP is feasible on low-field 0.55T systems, producing high-quality cine images while permitting simultaneous aortic flow measurements during breath-hold and free-breathing and without the need for electrocardiogram gating."
2023 Jul 20,Journal of cardiovascular magnetic resonance : official journal of the Society ,J Cardiovasc Magn Reson. 2023 Jul 20;25(1):40. doi: 10.1186/s12968-023-00942-z.,"['Bissell, Malenka M', 'Raimondi, Francesca', 'Ait Ali, Lamia', 'Allen, Bradley D', 'Barker, Alex J', 'Bolger, Ann', 'Burris, Nicholas', 'Carhäll, Carl-Johan', 'Collins, Jeremy D', 'Ebbers, Tino', 'Francois, Christopher J', 'Frydrychowicz, Alex', 'Garg, Pankaj', 'Geiger, Julia', 'Ha, Hojin', 'Hennemuth, Anja', 'Hope, Michael D', 'Hsiao, Albert', 'Johnson, Kevin', 'Kozerke, Sebastian', 'Ma, Liliana E', 'Markl, Michael', 'Martins, Duarte', 'Messina, Marci', 'Oechtering, Thekla H', 'van Ooij, Pim', 'Rigsby, Cynthia', 'Rodriguez-Palomares, Jose', 'Roest, Arno A W', 'Roldán-Alzate, Alejandro', 'Schnell, Susanne', 'Sotelo, Julio', 'Stuber, Matthias', 'Syed, Ali B', 'Töger, Johannes', 'van der Geest, Rob', 'Westenberg, Jos', 'Zhong, Liang', 'Zhong, Yumin', 'Wieben, Oliver', 'Dyverfeldt, Petter']","['humans', 'blood flow velocity', 'predictive value of tests', ' cardiovascular system', 'heart', 'magnetic resonance imaging', 'magnetic resonance spectroscopy', '4d flow cmr', '4d flow mri', 'cardiovascular', 'clinical', 'flow quantification', 'flow visualization', 'heart disease', 'hemodynamics', 'mr flow imaging', 'phase-contrast magnetic resonance imaging', 'recommendations']",4D Flow cardiovascular magnetic resonance consensus statement: 2023 update.,"Hemodynamic assessment is an integral part of the diagnosis and management of cardiovascular disease. Four-dimensional cardiovascular magnetic resonance flow imaging (4D Flow CMR) allows comprehensive and accurate assessment of flow in a single acquisition. This consensus paper is an update from the 2015 '4D Flow CMR Consensus Statement'. We elaborate on 4D Flow CMR sequence options and imaging considerations. The document aims to assist centers starting out with 4D Flow CMR of the heart and great vessels with advice on acquisition parameters, post-processing workflows and integration into clinical practice. Furthermore, we define minimum quality assurance and validation standards for clinical centers. We also address the challenges faced in quality assurance and validation in the research setting. We also include a checklist for recommended publication standards, specifically for 4D Flow CMR. Finally, we discuss the current limitations and the future of 4D Flow CMR. This updated consensus paper will further facilitate widespread adoption of 4D Flow CMR in the clinical workflow across the globe and aid consistently high-quality publication standards."
2023 Jul 21,Circulation research,Circ Res. 2023 Jul 21;133(3):291-293. doi: 10.1161/CIRCRESAHA.123.322850. Epub ,"['Cesarovic, Nikola', 'Weisskopf, Miriam', 'Stolte, Thorald', 'Trimmel, Nina', 'Hierweger, Melanie M', 'Hoh, Tobias', 'Iske, Jasper', 'Waschkies, Conny', 'Chen, Jia Lu', 'van Gelder, Eva', 'Leuthardt, Andrea', 'Glaus, Lukas', 'Rösch, Yannick', 'Stoeck, Christian T', 'Wolint, Petra', 'Obrist, Dominik', 'Kozerke, Sebastian', 'Falk, Volkmar', 'Emmert, Maximilian Y']","['swine', 'animals', 'minoca', ' coronary artery disease', ' myocardial infarction', 'coronary angiography', 'coronary vessels', 'risk factors', 'prognosis', 'minoca', 'angiography', 'biomarkers', 'catheters', 'hemodynamics', 'models, animal', 'myocardial infarction']",Development of a Translational Autologous Microthrombi-Induced MINOCA Pig Model.,
2023 Oct,Magnetic resonance in medicine,Magn Reson Med. 2023 Oct;90(4):1446-1464. doi: 10.1002/mrm.29735. Epub 2023 Jun ,"['Guenthner, Christian', 'Stimm, Johanna', 'Kozerke, Sebastian']","[' image processing, computer-assisted methods', ' algorithms', 'phantoms, imaging', 'brain diagnostic imaging', 'magnetic resonance imaging methods', 'mr fingerprinting', 'artifacts', 'encoding efficiency', 'relaxometry']",Analysis of temporal encoding efficiency of MR fingerprinting sequences.,"PURPOSE: MR Fingerprinting (MRF) relies on highly-undersampled images to simultaneously estimate multiple tissue parameters of interest. While a good understanding of the encoding principle behind MRF exists, we want to shed light on the question of when parameters are encoded during an MRF acquisition. THEORY AND METHODS: We analyze the importance of each time point by leaving it out during matching (leave-one-out, LOO) assuming linear reconstruction is applied and study its influence on the reconstructed parameter map. To accelerate the analysis, we treat LOO as a small perturbation (LOOP) to the full matching problem and derive an analytical formula by leveraging Stolk and Sbrizzi's analysis on the interplay of k-space sampling and transient state dynamics. To study the influence of geometry and parameter distribution, we deploy LOOP on randomly sliced 3D brain geometries with randomized T1/T2 values to identify primary encoding regions independent of geometry. RESULTS: LOOP can be evaluated orders of magnitude faster than conventional matching and visualizes temporal encoding efficiency. We use the findings to accelerate an MRF sequence by truncation as well as to remove undersampling artifacts through an iterative omission scheme in an ill-working MRF sequence in both in-silico and in-vivo experiments. CONCLUSION: LOOP is an analytical approach to quantify and visualize parameter encoding in MRF."
