time,journal,doi_info,authors,key words,title,abstract
2024 Jun 27,PLoS computational biology,PLoS Comput Biol. 2024 Jun 27;20(6):e1012195. doi: 10.1371/journal.pcbi.1012195.,"['Perrone, Matthew C', 'Lerner, Michael G', 'Dunworth, Matthew', 'Ewald, Andrew J', 'Bader, Joel S']",[],Prioritizing drug targets by perturbing biological network response functions.,"Therapeutic interventions are designed to perturb the function of a biological system. However, there are many types of proteins that cannot be targeted with conventional small molecule drugs. Accordingly, many identified gene-regulatory drivers and downstream effectors are currently undruggable. Drivers and effectors are often connected by druggable signaling and regulatory intermediates. Methods to identify druggable intermediates therefore have general value in expanding the set of targets available for hypothesis-driven validation. Here we identify and prioritize potential druggable intermediates by developing a network perturbation theory, termed NetPert, for response functions of biological networks. Dynamics are defined by a network structure in which vertices represent genes and proteins, and edges represent gene-regulatory interactions and protein-protein interactions. Perturbation theory for network dynamics prioritizes targets that interfere with signaling from driver to response genes. Applications to organoid models for metastatic breast cancer demonstrate the ability of this mathematical framework to identify and prioritize druggable intermediates. While the short-time limit of the perturbation theory resembles betweenness centrality, NetPert is superior in generating target rankings that correlate with previous wet-lab assays and are more robust to incomplete or noisy network data. NetPert also performs better than a related graph diffusion approach. Wet-lab assays demonstrate that drugs for targets identified by NetPert, including targets that are not themselves differentially expressed, are active in suppressing additional metastatic phenotypes."
2024 Apr 3,medRxiv : the preprint server for health sciences,medRxiv [Preprint]. 2024 Apr 3:2024.03.27.24304930. doi: ,"['Kuiper, Lieke M', 'Shi, Wen', 'Verlouw, Joost', 'Hong, Yun Soo', 'Arp, Pascal', 'Puiu, Daniela', 'Broer, Linda', 'Xie, Jiaqi', 'Newcomb, Charles', 'Rich, Stephen S', 'Taylor, Kent D', 'Rotter, Jerome I', 'Bader, Joel S', 'Guallar, Eliseo', 'van Meurs, Joyce B J', 'Arking, Dan E']",[],Longitudinal change in mitochondrial heteroplasmy exhibits positive selection for deleterious variants.,"A common feature of human aging is the acquisition of somatic mutations, and mitochondria are particularly prone to mutation due to their inefficient DNA repair and close proximity to reactive oxygen species, leading to a state of mitochondrial DNA heteroplasmy(1,2). Cross-sectional studies have demonstrated that detection of heteroplasmy increases with participant age(3), a phenomenon that has been attributed to genetic drift(4-7). In this first large-scale longitudinal study, we measured heteroplasmy in two prospective cohorts (combined n=1405) at two timepoints (mean time between visits, 8.6 years), demonstrating that deleterious heteroplasmies were more likely to increase in variant allele fraction (VAF). We further demonstrated that increase in VAF was associated with increased risk of overall mortality. These results challenge the claim that somatic mtDNA mutations arise mainly due to genetic drift, instead demonstrating positive selection for predicted deleterious mutations at the cellular level, despite an negative impact on overall mortality."
2024 Apr 19,ACS synthetic biology,ACS Synth Biol. 2024 Apr 19;13(4):1105-1115. doi: 10.1021/acssynbio.3c00398. Epub ,"['Adler, Aaron', 'Bader, Joel S', 'Basnight, Brian', 'Booth, Benjamin W', 'Cai, Jitong', 'Cho, Elizabeth', 'Collins, Joseph H', 'Ge, Yuchen', 'Grothendieck, John', 'Keating, Kevin', 'Marshall, Tyler', 'Persikov, Anton', 'Scott, Helen', 'Siegelmann, Roy', 'Singh, Mona', 'Taggart, Allison', 'Toll, Benjamin', 'Wan, Kenneth H', 'Wyschogrod, Daniel', 'Yaman, Fusun', 'Young, Eric M', 'Celniker, Susan E', 'Roehner, Nicholas']","['sequence analysis, dna', ' dna genetics', 'artificial intelligence', 'bioinformatics', 'biosecurity', 'engineering detection', 'machine learning']",Ensemble Detection of DNA Engineering Signatures.,"Synthetic biology is creating genetically engineered organisms at an increasing rate for many potentially valuable applications, but this potential comes with the risk of misuse or accidental release. To begin to address this issue, we have developed a system called GUARDIAN that can automatically detect signatures of engineering in DNA sequencing data, and we have conducted a blinded test of this system using a curated Test and Evaluation (T&E) data set. GUARDIAN uses an ensemble approach based on the guiding principle that no single approach is likely to be able to detect engineering with perfect accuracy. Critically, ensembling enables GUARDIAN to detect sequence inserts in 13 target organisms with a high degree of specificity that requires no subject matter expert (SME) review."
2023 Nov 8,Cell genomics,Cell Genom. 2023 Nov 9;3(11):100379. doi: 10.1016/j.xgen.2023.100379. eCollection ,"['Williams, Thomas C', 'Kroukamp, Heinrich', 'Xu, Xin', 'Wightman, Elizabeth L I', 'Llorente, Briardo', 'Borneman, Anthony R', 'Carpenter, Alexander C', 'Van Wyk, Niel', 'Meier, Felix', 'Collier, Thomas R V', 'Espinosa, Monica I', 'Daniel, Elizabeth L', 'Walker, Roy S K', 'Cai, Yizhi', 'Nevalainen, Helena K M', 'Curach, Natalie C', 'Deveson, Ira W', 'Mercer, Timothy R', 'Johnson, Daniel L', 'Mitchell, Leslie A', 'Bader, Joel S', 'Stracquadanio, Giovanni', 'Boeke, Jef D', 'Goold, Hugh D', 'Pretorius, Isak S', 'Paulsen, Ian T']","['scramble', 'tar1', 'adaptive laboratory evolution', 'directed evolution', 'synthetic biology', 'synthetic genome', 'yeast']",Parallel laboratory evolution and rational debugging reveal genomic plasticity to S. cerevisiae synthetic chromosome XIV defects.,"Synthetic chromosome engineering is a complex process due to the need to identify and repair growth defects and deal with combinatorial gene essentiality when rearranging chromosomes. To alleviate these issues, we have demonstrated novel approaches for repairing and rearranging synthetic Saccharomyces cerevisiae genomes. We have designed, constructed, and restored wild-type fitness to a synthetic 753,096-bp version of S. cerevisiae chromosome XIV as part of the Synthetic Yeast Genome project. In parallel to the use of rational engineering approaches to restore wild-type fitness, we used adaptive laboratory evolution to generate a general growth-defect-suppressor rearrangement in the form of increased TAR1 copy number. We also extended the utility of the synthetic chromosome recombination and modification by loxPsym-mediated evolution (SCRaMbLE) system by engineering synthetic-wild-type tetraploid hybrid strains that buffer against essential gene loss, highlighting the plasticity of the S. cerevisiae genome in the presence of rational and non-rational modifications."
2023 Nov 8,Cell genomics,Cell Genom. 2023 Nov 9;3(11):100419. doi: 10.1016/j.xgen.2023.100419. eCollection ,"['McCulloch, Laura H', 'Sambasivam, Vijayan', 'Hughes, Amanda L', 'Annaluru, Narayana', 'Ramalingam, Sivaprakash', 'Fanfani, Viola', 'Lobzaev, Evgenii', 'Mitchell, Leslie A', 'Cai, Jitong', 'Jiang, Hua', 'LaCava, John', 'Taylor, Martin S', 'Bishai, William R', 'Stracquadanio, Giovanni', 'Steinmetz, Lars M', 'Bader, Joel S', 'Zhang, Weimin', 'Boeke, Jef D', 'Chandrasegaran, Srinivasan']","['est3', 'saccharomyces cerevisiae', 'centromere destabilization', 'chromoduction', 'chromosome debugging', 'chromosome substitution', 'megachunk assembly', 'synix', 'transcriptomics']",Consequences of a telomerase-related fitness defect and chromosome substitution technology in yeast synIX strains.,"We describe the complete synthesis, assembly, debugging, and characterization of a synthetic 404,963 bp chromosome, synIX (synthetic chromosome IX). Combined chromosome construction methods were used to synthesize and integrate its left arm (synIXL) into a strain containing previously described synIXR. We identified and resolved a bug affecting expression of EST3, a crucial gene for telomerase function, producing a synIX strain with near wild-type fitness. To facilitate future synthetic chromosome consolidation and increase flexibility of chromosome transfer between distinct strains, we combined chromoduction, a method to transfer a whole chromosome between two strains, with conditional centromere destabilization to substitute a chromosome of interest for its native counterpart. Both steps of this chromosome substitution method were efficient. We observed that wild-type II tended to co-transfer with synIX and was co-destabilized with wild-type IX, suggesting a potential gene dosage compensation relationship between these chromosomes."
2023 Nov 8,Cell genomics,Cell Genom. 2023 Nov 9;3(11):100418. doi: 10.1016/j.xgen.2023.100418. eCollection ,"['Blount, Benjamin A', 'Lu, Xinyu', 'Driessen, Maureen R M', 'Jovicevic, Dejana', 'Sanchez, Mateo I', 'Ciurkot, Klaudia', 'Zhao, Yu', 'Lauer, Stephanie', 'McKiernan, Robert M', 'Gowers, Glen-Oliver F', 'Sweeney, Fiachra', 'Fanfani, Viola', 'Lobzaev, Evgenii', 'Palacios-Flores, Kim', 'Walker, Roy S K', 'Hesketh, Andy', 'Cai, Jitong', 'Oliver, Stephen G', 'Cai, Yizhi', 'Stracquadanio, Giovanni', 'Mitchell, Leslie A', 'Bader, Joel S', 'Boeke, Jef D', 'Ellis, Tom']","['sc2.0', 'yeast 2.0', 'eccdna', 'extrachromosomal circular dna', 'genome editing', 'stress adaptation', 'synthetic biology', 'synthetic genomics']",Synthetic yeast chromosome XI design provides a testbed for the study of extrachromosomal circular DNA dynamics.,"We describe construction of the synthetic yeast chromosome XI (synXI) and reveal the effects of redesign at non-coding DNA elements. The 660-kb synthetic yeast genome project (Sc2.0) chromosome was assembled from synthesized DNA fragments before CRISPR-based methods were used in a process of bug discovery, redesign, and chromosome repair, including precise compaction of 200 kb of repeat sequence. Repaired defects were related to poor centromere function and mitochondrial health and were associated with modifications to non-coding regions. As part of the Sc2.0 design, loxPsym sequences for Cre-mediated recombination are inserted between most genes. Using the GAP1 locus from chromosome XI, we show that these sites can facilitate induced extrachromosomal circular DNA (eccDNA) formation, allowing direct study of the effects and propagation of these important molecules. Construction and characterization of synXI contributes to our understanding of non-coding DNA elements, provides a useful tool for eccDNA study, and will inform future synthetic genome design."
2023 Nov 8,Cell genomics,Cell Genom. 2023 Nov 9;3(11):100435. doi: 10.1016/j.xgen.2023.100435. eCollection ,"['Foo, Jee Loon', 'Kitano, Shohei', 'Susanto, Adelia Vicanatalita', 'Jin, Zhu', 'Lin, Yicong', 'Luo, Zhouqing', 'Huang, Linsen', 'Liang, Zhenzhen', 'Mitchell, Leslie A', 'Yang, Kun', 'Wong, Adison', 'Cai, Yizhi', 'Cai, Jitong', 'Stracquadanio, Giovanni', 'Bader, Joel S', 'Boeke, Jef D', 'Dai, Junbiao', 'Chang, Matthew Wook']","['crispr-cas9', 'saccharomyces cerevisiae', 'chromosome reconfiguration', 'design-build-test-learn', 'mitotic recombination', 'synthetic biology', 'synthetic chromosome', 'synthetic genomics', 'synthetic yeast']",Establishing chromosomal design-build-test-learn through a synthetic chromosome and its combinatorial reconfiguration.,"Chromosome-level design-build-test-learn cycles (chrDBTLs) allow systematic combinatorial reconfiguration of chromosomes with ease. Here, we established chrDBTL with a redesigned synthetic Saccharomyces cerevisiae chromosome XV, synXV. We designed and built synXV to harbor strategically inserted features, modified elements, and synonymously recoded genes throughout the chromosome. Based on the recoded chromosome, we developed a method to enable chrDBTL: CRISPR-Cas9-mediated mitotic recombination with endoreduplication (CRIMiRE). CRIMiRE allowed the creation of customized wild-type/synthetic combinations, accelerating genotype-phenotype mapping and synthetic chromosome redesign. We also leveraged synXV as a ""build-to-learn"" model organism for translation studies by ribosome profiling. We conducted a locus-to-locus comparison of ribosome occupancy between synXV and the wild-type chromosome, providing insight into the effects of codon changes and redesigned features on translation dynamics in vivo. Overall, we established synXV as a versatile reconfigurable system that advances chrDBTL for understanding biological mechanisms and engineering strains."
2023 Nov 8,Cell genomics,Cell Genom. 2023 Nov 9;3(11):100437. doi: 10.1016/j.xgen.2023.100437. eCollection ,"['Lauer, Stephanie', 'Luo, Jingchuan', 'Lazar-Stefanita, Luciana', 'Zhang, Weimin', 'McCulloch, Laura H', 'Fanfani, Viola', 'Lobzaev, Evgenii', 'Haase, Max A B', 'Easo, Nicole', 'Zhao, Yu', 'Yu, Fangzhou', 'Cai, Jitong', 'Bader, Joel S', 'Stracquadanio, Giovanni', 'Boeke, Jef D']","['crispr', 'saccharomyces cerevisiae', 'aneuploidy', 'centromere', 'chromosomal stability', 'genome engineering', 'genome rearrangements', 'pericentromere', 'synviii']",Context-dependent neocentromere activity in synthetic yeast chromosome VIII.,"Pioneering advances in genome engineering, and specifically in genome writing, have revolutionized the field of synthetic biology, propelling us toward the creation of synthetic genomes. The Sc2.0 project aims to build the first fully synthetic eukaryotic organism by assembling the genome of Saccharomyces cerevisiae. With the completion of synthetic chromosome VIII (synVIII) described here, this goal is within reach. In addition to writing the yeast genome, we sought to manipulate an essential functional element: the point centromere. By relocating the native centromere sequence to various positions along chromosome VIII, we discovered that the minimal 118-bp CEN8 sequence is insufficient for conferring chromosomal stability at ectopic locations. Expanding the transplanted sequence to include a small segment (∼500 bp) of the CDEIII-proximal pericentromere improved chromosome stability, demonstrating that minimal centromeres display context-dependent functionality."
2023 Nov 8,Cell genomics,Cell Genom. 2023 Nov 9;3(11):100364. doi: 10.1016/j.xgen.2023.100364. eCollection ,"['Shen, Yue', 'Gao, Feng', 'Wang, Yun', 'Wang, Yuerong', 'Zheng, Ju', 'Gong, Jianhui', 'Zhang, Jintao', 'Luo, Zhouqing', 'Schindler, Daniel', 'Deng, Yang', 'Ding, Weichao', 'Lin, Tao', 'Swidah, Reem', 'Zhao, Hongcui', 'Jiang, Shuangying', 'Zeng, Cheng', 'Chen, Shihong', 'Chen, Tai', 'Wang, Yong', 'Luo, Yisha', 'Mitchell, Leslie', 'Bader, Joel S', 'Zhang, Guojie', 'Shen, Xia', 'Wang, Jian', 'Fu, Xian', 'Dai, Junbiao', 'Boeke, Jef D', 'Yang, Huanming', 'Xu, Xun', 'Cai, Yizhi']","['scramble', 'aneuploidy phenotypes', 'aneuploidy recovery approaches', 'growth rate', 'synvii', 'synthetic disomic yeast', 'synthetic genomics']",Dissecting aneuploidy phenotypes by constructing Sc2.0 chromosome VII and SCRaMbLEing synthetic disomic yeast.,"Aneuploidy compromises genomic stability, often leading to embryo inviability, and is frequently associated with tumorigenesis and aging. Different aneuploid chromosome stoichiometries lead to distinct transcriptomic and phenotypic changes, making it helpful to study aneuploidy in tightly controlled genetic backgrounds. By deploying the engineered SCRaMbLE (synthetic chromosome rearrangement and modification by loxP-mediated evolution) system to the newly synthesized megabase Sc2.0 chromosome VII (synVII), we constructed a synthetic disomic yeast and screened hundreds of SCRaMbLEd derivatives with diverse chromosomal rearrangements. Phenotypic characterization and multi-omics analysis revealed that fitness defects associated with aneuploidy could be restored by (1) removing most of the chromosome content or (2) modifying specific regions in the duplicated chromosome. These findings indicate that both chromosome copy number and specific chromosomal regions contribute to the aneuploidy-related phenotypes, and the synthetic chromosome resource opens new paradigms in studying aneuploidy."
2023 Nov 8,Cell genomics,Cell Genom. 2023 Nov 9;3(11):100439. doi: 10.1016/j.xgen.2023.100439. eCollection ,"['Luo, Jingchuan', 'Vale-Silva, Luis A', 'Raghavan, Adhithi R', 'Mercy, Guillaume', 'Heldrich, Jonna', 'Sun, Xiaoji', 'Li, Mingyu Kenneth', 'Zhang, Weimin', 'Agmon, Neta', 'Yang, Kun', 'Cai, Jitong', 'Stracquadanio, Giovanni', 'Thierry, Agnès', 'Zhao, Yu', 'Coelho, Camila', 'McCulloch, Laura H', 'Lauer, Stephanie', 'Kaback, David B', 'Bader, Joel S', 'Mitchell, Leslie A', 'Mozziconacci, Julien', 'Koszul, Romain', 'Hochwagen, Andreas', 'Boeke, Jef D']","['red1', 'centromere', 'chromosome fusion', 'chromosome splitting', 'meiosis', 'synthetic chromosome']",Synthetic chromosome fusion: Effects on mitotic and meiotic genome structure and function.,"We designed and synthesized synI, which is ∼21.6% shorter than native chrI, the smallest chromosome in Saccharomyces cerevisiae. SynI was designed for attachment to another synthetic chromosome due to concerns surrounding potential instability and karyotype imbalance and is now attached to synIII, yielding the first synthetic yeast fusion chromosome. Additional fusion chromosomes were constructed to study nuclear function. ChrIII-I and chrIX-III-I fusion chromosomes have twisted structures, which depend on silencing protein Sir3. As a smaller chromosome, chrI also faces special challenges in assuring meiotic crossovers required for efficient homolog disjunction. Centromere deletions into fusion chromosomes revealed opposing effects of core centromeres and pericentromeres in modulating deposition of the crossover-promoting protein Red1. These effects extend over 100 kb and promote disproportionate Red1 enrichment, and thus crossover potential, on small chromosomes like chrI. These findings reveal the power of synthetic genomics to uncover new biology and deconvolute complex biological systems."
